Abhijit Naskar, Wise Mating: A Treatise on Monogamy|Sex is only a tool in love, not love itself.
Joseph Barbera|I'm probably a bit romantic about it, but I think we humans miss having contact with fire. We need it.
Henri Cartier-Bresson, Henri Cartier-Bresson: The Mind's Eye: Writings on Photography and Photographers|I see myself forever and ever as the ridiculous [person], the lonely soul, the wanderer, the restless frustrated artist, the [person] in love with love, always in search of the absolute, always seeking the unattainable.
Dan Brown|My desire to be a physician had a lot to do with that sense of medicine as a ministry of healing, not just a science. And not even just a science and an art, but also a calling, also a ministry.
Anyaele Sam Chiyson, The Sagacity of Sage|It`s Okay to Play or Work Alone in the Information Age But If We Must Make Headway in this Transformation Age, Collaboration is the Way to Go.
Veronica Roth, The Son|But the king was frowning. "I expected you a month ago."Aedion actually had the nerve to shrug. "Apologies. The Staghorns were slammed with a final winter storm. I left when I could."Every person in the hall held their breath.
Rob Liano|If not love, what?
Nike Thaddeus|Be persistent, be persistent, they say. But please, do not mistake being a pest for being persistent.
Emma Goldman|Anytime someone says your God is ugly and you release your God and join their God, there is no hope for your freedom until you once more believe in your own concept of the 'deity.'
Taylor Swift|Good night, and good luck.
V.S. Carnes|She’d said she loved him. She'd put that impossible, unimaginably beautiful gift in his hands and he’d thrown it back at her. To save her. To save himself.
Jack Dangermond|I want to have all that scientific information that we're building be used in designing the future so that people who make geographic decisions - and here it's not just land-use planners, but it's everyone: foresters, transportation engineers, people who buy a house - can analyze all of these information layers and design a future.
Jordan Hoechlin|I've been toldThat it's not enough toWish for dreams, that IHave to work themInto reality.
Virginia Woolf, Orlando|There were mountains; there were valleys; there were streams. She climbed the mountains; roamed the valleys; sat on the banks of streams.....when, from the mountain-top, she beheld, far off, across the Sea of Marmara the plains of Greece, and made out (her eyes were admirable) the Acropolis with a white streak or two which must, she thought, be the Parthenon, her soul expanded with her eyeballs, and she prayed she might share the majesty of the hills, know the serenity of the plains, etc. etc., as all such believers do.
Umberto Eco, How to Travel with a Salmon and Other Essays|The taxi driver is someone who spends all day driving in city traffic (an activity that provokes either heart attack or delirium), in constant conflict with other human drivers. Consequently, he is nervous and hates every anthropomorphic creature.
Richard Branson, Losing My Virginity: How I've Survived, Had Fun, and Made a Fortune Doing Business My Way|I don’t believe it can be taught as if it were a recipe. There aren’t ingredients and techniques that will guarantee success. Parameters exist that, if followed, will ensure a business can continue, but you cannot clearly define our business success and then bottle it as you would a perfume. It’s not that simple: to be successful, you have to be out there, you have to hit the ground running; and, if you have a good team round you and more than your fair share of luck, you might make something happen. But you certainly can’t guarantee it just by following someone else’s formula. Business is a fluid, changing substance.
Mohamed Latiff Mohamed, Confrontation|During the Japanese invasion, bombs had fallen from the sky and people could run for cover. Now, they exploded in the middle of the road, or in the fields while people were playing soccer.
Mary Balogh, Simply Magic|There is nothing worse, is there," she said, "than a past that has never been fully dealt with. One can convince oneself, that it is all safely in the past and forgotten about, but the very fact that we can tell ourselves that it is forgotten proves that it is not.
Claire Cook, Must Love Dogs|I just figured that was the life I picked, so I had to make the most of it.
Colleen Hoover, Slammed|Does he treat you with respect at all times? That's the first question. The second question is, if he is the exact same person twenty years from now that he is today, would you still want to marry him? And finally, does he inspire to be a better person? You find someone you can answer yes to all three, then you've found a good man.
Scott Stabile|A great giftwe can giveto ourselvesis a willingnessto love everyone,no matter what.This frees us completely from the toxicjustificationswe use to hate.
Ron Currie Jr., Flimsy Little Plastic Miracles|In the depth of our heart, we already know that we are perfect as we are. In the depth of our inner being, we already know that life is perfect as it is.
Nicki Elson, Hans & Greta: a Twisted Fairy Tale Novella|Time is like a zombie. It moves slow, but all of a sudden 'BOO! Got your brains!
Kathryn Schulz, Being Wrong: Adventures in the Margin of Error|Reliance on other people's knowledge. . . . buys us all a lot of time. It also buys us, in essence, many billions of prosthetic brains.
Carrie Ann Ryan, An Immortal's Song|Sitting in a bar for hours on end wouldn’t help matters, but Tristan Archer figured he might as well try it out. It may take him far longer to get drunk than it would if he were human, yet he figured he’d give it a go. After the hellish few months he’d had, he would try anything at this point.He ran a hand through his short, auburn hair that tended to look brown in the bar’s lighting and sighed. He shouldn’t have accepted his friend Levi’s invitation to dinner and drinks at Dante’s Circle in the human realm. He should have rejected the offer and gone back to the thousand other things he had to do within the fae realm and inside the Conclave.Tristan wasn’t just any fae. He was a nine-hundred-year-old fae prince with responsibilities that lay heavily on his shoulders. He was also a Conclave member, where he helped govern every paranormal realm in existence with another fae member and two others from each race. That was how he’d become friends with Levi, a wizard and prince in his own right.So here he was, in Dante’s Circle, a bar owned and named after a royal blue dragon; the meeting place of seven women and their mates with a history he couldn’t immediately comprehend.Of course, it was because one of those women that he’d rather be in the fae realm instead of the dark bar with oak paneling and photos on the walls that spoke of generations of memories and connections. He’d been here a few times in the past, always on the outside of the circle of lightning-struck woman and their mates, but never fully excluded.They’d welcomed Tristan into their fold, even if they didn’t understand why it hurt him so to be that close to what he couldn’t have.Or maybe they understood all too well. After all, one of their own was the reason for his confusion, his torture. The object of his desire.“If you keep glowering at her over in the corner, you’ll end up scaring her more than she already is,” Seth said from his side.Tristan closed his eyes and took a deep breath, immediately regretting the action as soon as he did. The man next to him smelled of the sea. And hope. His heart ached and his dick filled.Seth Oceanus was a merman, a friend, and his mate.His true half.Or at least one of them.Not that he or Seth could do anything about it when the other part of their triad didn’t feel the same way.
Nutan Bajracharya|​"But you can thank God the Lord for His inconceivable goodness, which can be recognized daily and hourly throughout your entire existence, if only you honestly try! Your whole life shall therefore become a thanksgiving!
Amit Kalantri|Dance was her style, dance was her fashion.
Don A. Martinez, Dinétah Dragon|As Ariel recounted the events of her dream, two magnificent, batlike wings grew from the backs of her shoulders, stretched as if preparing to fly, then retreated back into their host. The sound heard when the wings disappear is the giggling of Alanna, who watched the event much the same way I did, in rapt wonder.
Neil Gaiman|It’s not that they’re small, the fair folk. Especially not the queen of them all, Mab of the flashing eyes and the slow smile with lips that can conjure your heart under the hills for a hundred years. It’s not that they’re small. It’s that we’re so far away.
Charlie English|You're the one who doesn't understand, I've been standing on the edge with you for years.
Steven James, Story|The gifts of the Master are these: freedom, life, hope, new direction, transformation, and intimacy with God. If the cross was the end of the story, we would have no hope. But the cross isn't the end. Jesus didn't escape from death; he conquered it and opened the way to heaven for all who will dare to believe. The truth of this moment, if we let it sweep over us, is stunning. It means Jesus really is who he claimed to be, we are really as lost as he said we are, and he really is the only way for us to intimately and spiritually connect with God again.
Judith Lewis Herman, Trauma and Recovery: The Aftermath of Violence - From Domestic Abuse to Political Terror|The scars from mental cruelty can be as deep and long-lasting as wounds from punches or slaps but are often not asobvious. In fact, even among women who have experienced violence from a partner, half or more report that the man’s emotional abuse is what is causing them the greatest harm.
David Eagleman, Pink Floyd|Got us a full moon too coming tomorrow night. Just make things a whole lot worse. All we need.- Why is that?- What’s that, Marshal?- The full moon. You think it makes people crazy?- I know it does.- Found a wrinkle in one of the pages and used his index finger to smooth it out.- How come?- Well, you think about it—the moon affects the tide, right?- Sure.- Has some sort of magnet effect or something on water.- I’ll buy that.- Human brain,- Trey said, - is over fifty percent water.- No kidding?- No kidding. You figure ol’ Mr. Moon can jerk the ocean around, think what it can do to the head.
Shannon L. Alder|Live a good life. If there are gods and they are just, then they will not care how devout you have been, but will welcome you based on the virtues you have lived by. If there are gods, but unjust, then you should not want to worship them. If there are no gods, then you will be gone, but will have lived a noble life that will live on in the memories of your loved ones.
Alan Redpath|Spread out your petition before God  and then say  "Thy will  not mine  be done." The sweetest lesson I have learned in God's school is to let the Lord choose for me.
Alex Flinn, Beastly|If God gave it to me," we say "it's mine. I can do what I want with it." No. The truth is that it is ours to thank Him for and ours to offer back to Him, ours to relinquish, ours to lose, ours to let go of - if we want to find our true selves, if we want real Life, if our hearts are set on glory.
Jessica Valenti|Marriage has a unique place because it speaks of an absolute faithfulness, a covenant between radically different persons, male and female; and so it echoes the absolute covenant of God with his chosen, a covenant between radically different partners.
Lindsay J. Pryor, Blood Roses|She exhaled curtly. ‘I’m a serryn. That’s all you see. I’m just something to be tortured, slain or sold off as a commodity. That’s hardly the most appealing of traits.’  ‘Tell your eyes that. Because you really shouldn’t look at me the way you do. No serryn has looked at me like that.
Diana Peterfreund, For Darkness Shows the Stars|Where it MattersBeing with you today is worth all the broken hearts of yesterday. In a flash, all of the stumbling blocks of relationships gone wrong have become the stepping stones to our perfect love. We fit. I now understand the feeling I used to think was pain that came along with love was actually the discomfort from being in a place I didn’t fit. Thank you for being you… for sharing your love with me… for inspiring me to accept myself… for helping me see the unique beauty in imperfection… for showing me that love is something you do; something not just to be said, but also to be shown.I am not perfect; neither are you. I love that!Our love is perfect. And even though we may not be, our love creates a bridge that spans over our imperfections and joins us where it matters.I love you!
Anne Bishop|Why?"He stopped pacing and looked at her as if she'd just asked him to count every leaf on every tree in the Old Place. "Because... you're you.
Anonymous|You see, I’m a juggler with words myself.
J.Adam Snyder|Successful people compete against themselves, not against other people.
Auliq Ice|Oh, there were many here who were justly shot by unjust men.
Lemony Snicket, The Austere Academy|There are only three possible endings —aren't there? — to any story: revenge, tragedy or forgiveness. That’s it. All stories end like that.
Maya Angelou|That's what you want to do? Then nothing beats a trial but a failure. Give it everything you've got. I've told you many times, 'Cant do is like Dont Care.' Neither of them have a home.
Stewart O'Nan, West of Sunset|He didn't like to fly--the noise and vibration gave him a headache--but, as with anything new, he was excited by the strangeness of it. The disjuncture intrigued him: stepping through a door in one place, sitting still for a few hours, then stepping out a thousand miles away. It seemed to him a very American mode of travel, even more so than the car, not simply going farther faster, but eliminating any temporal experience of the journey, skipping over whole sections of the country, the sole focus on arriving, with the help of expensive and arcane technologies, at one's destination, except of course, when one didn't--a thought brought on by his own instinctive disbelief and the bumpiness of the flight.
Alisha Ashton|My idea of a great night is just stayin’ home, reading or playing video games. I’m about as boring as they come, Sorena. I ain’t ever been into stress or drama or excitement. Shit, I’d kill for a nap most days.
Karl Marx|Go on, get out! Last words are for fools who haven't said enough!
Coretta Scott King|Indeed, the Muslims have all the social evils of the Hindus and something more. That something more is the compulsory system of purdah for Muslim women. These burka women walking in the streets is one of the most hideous sights one can witness in India.
Javier Marías, Los enamoramientos|The price we paid was the price men have always paid for achieving a paradise in this life--we went soft, we lost our edge.
M.K. Clinton, Showstoppers|If you can be content with who you are, how you look and then try every day to make a difference to someone else, then it leads to a wonderful life. It’s a shame more humans can’t grasp that fact.” - M.K. Clinton
Rob Bell|When we deny the spiritual dimension to our existence, we end up living like animals. And when we deny the physical, sexual dimension to our existence, we end up living like angels. And both ways are destructive, because God made us human.
Carl Bernstein, All the President's Men|The invariable question, asked only half-mockingly of reporters by editors at the Post (and then up the hierarchical line of editors) was 'What have you done for me today?' Yesterday was for the history books, not newspapers.-- Carl Bernstein, Bob Woodward
Mario Quintana|No one knows if I'm dying to laugh or to crySo my verse hasthis almost imperceptible thrillLife is sad, the world is crazy!Not worth killing yourself for itNot for anyoneFor no loveLife goes on, indifferently!
Dương Thu Hương, Paradise of the Blind|A rich man loves to work, a poor man loves to eat.
Rasheed Ogunlaru|Your brand is the value and magic that's not in your bottle, body or box. It's the inspiration, incense, intent and impact before, within and beyond.
Matthew Pearl, The Dante Club| 'Pity without rigor would be cowardly egotism, mere sentimentality.' 
Brian D. McLaren, Why Did Jesus, Moses, the Buddha, and Mohammed Cross the Road?: Christian Identity in a Multi-Faith World|I have no doubt that Jesus would actually practice the neighborliness he preached rather than following our example of religious supremacy, hostility, fear, isolation, misinformation, exclusion, or demonization.
levi paul taylor|if a corner is possibly aheadbreathe slowly and preparewhat is in front of this turn can benot only across but upthis in turn should allow a better vision above and beyond,at the same time to turn and peer backto where we have come to and from where ..lt
Khali Raymond, Ghanport's Finest|I have to hurt other people in order to get what I want, I don’t have a choice but to. In life, you gotta do the right things for the wrong reasons. Or the wrong things for the right reasons.
Sara Baume, A Line Made by Walking|You can't dance to paintings. This is something Ben said, during one of our White Cube conversations, back when I was still wrong about him. He said it even though, at the time, he was desperately trying to be a painter. He said it because it was true and not because it was something either of us wanted to hear.
Reformation Thought|For Luther, it (faith) is an undeviating, trusting outlook appointment life, a constant stance of the trustworthiness of the promises of God.
Toni Aleo, Overtime|Jordie and I tried to have sex in the kitchen and almost caught it on fir. I was cleaning smoke and burned shit off my brand-new stove all afternoon."Lacey's face twisted in confusion and she sputtered with laughter. "Do I even want to know how this happened?"Kacey grinned. "He threw my shirt on the stove, and I had forgotten to shut it off. Boom! Flames, fire
Sukant Ratnakar, Open The Windows: To the World around You|It felt real, seeing his friend like that. It was like a gift. He wasn’t into spiritual bullshit, but damn. "Damn. That Mouse had become his friend was a gift, but a curse as well. If he’d left that whole situation alone, would Mouse — would James — have had a better life? A different outcome?
Daleen Van Tonder|On Paper*some call it poetrybut it is just painon paper_____________________rassool jibraeel snyman (c) 2015"The Poetic Assassin
Gayle Greeno|In difficult times bring to mind my words and the sound of my voice. In that way, I shall always be present for you.
Aristotle|Patience, grasshopper," said Maia. "Good things come to those who wait.""I always thought that was 'Good things come to those who do the wave,'" said Simon. "No wonder I've been so confused all my life.
Joseph Campbell|If you don't have dreams, you don't have a life.
Ransom Riggs, Miss Peregrine’s Home for Peculiar Children|Stars, too, were time travelers. How many of those ancient points of light were the last echoes of suns now dead? How many had been born but their light not yet come this far? If all the suns but ours collapsed tonight, how many lifetimes would it take us to realize we were alone? I had always known the sky was full of mysteries—but not until now had I realized how full of them the earth was.
G.S. Jennsen, Vertigo|If humanity is annihilated because we were too busy squabbling with one another to manage a proper stand, we probably deserve the annihilation.
Clarice Lispector|Beyond thought I reach a state. I refuse to divide it up into words - and what I cannot and do not want to express ends up being the most secret of my secrets. I know that I'm scared of the moments in which I don't use thought and that's a momentary state that is difficult to reach, and which, entirely secret, no longer uses words with which thoughts are produce. Is not using words to lose your identity? is it getting lost in the harmful essential shadows?
Debasish Mridha|The currency of a happy life is not money, but it is pure love.
Donald Rumsfeld|Teachers are always trying to inspire people to do better, to learn, to grow. That's what we do, and we're proud of the success we've had here doing that, and it's something we'll certainly continue to do.
Aleister Crowley, The Vision and the Voice: With Commentary and Other Papers|I cling unto the burning Æthyr like Lucifer that fell through the Abyss, and by the fury of his flight kindled the air. And I am Belial, for having seen the Rose upon thy breast, I have denied God.And I am Satan! I am Satan! I am cast out upon a burning crag! And the sea boils about the desolation thereof. And already the vultures gather, and feast upon my flesh.
C. Elizabeth|Though sorrow may impede my heart,It is of great love to have known you.
Christie Brinkley|I don't find the technology threatening. A lot of people my age, my generation, find it difficult to immerse themselves. But I would never preclude the idea of using any technology if I thought it suited the end result.
Joan Rivers|I can trust in Jesus. And this Gospel that we preach does work. So those who are hurting and suffering today, hang in there. The sun will shine again.
Arundhati Roy|Capitalism has run its course, and we shall have to look for other ideals than the ones that capitalism has encouraged.
Magic Johnson|When you think about the NASCAR brand, it resonates everywhere. They have the No. 1 sports brand.
Simon Mainwaring|Governments take too long to get things done and there are far too many varied interests at stake. If you were starting a business today and needed a partner, you would never choose a large bureaucratic institution like the government.
Katharine Graham|Pastry is different from cooking because you have to consider the chemistry, beauty and flavor. It's not just sugar and eggs thrown together. I tell my pastry chefs to be in tune for all of this. You have to be challenged by using secret or unusual ingredients.
H.M. Forester, Game of Aeons|You can serve God and man in no more effective way than by getting rich; that is, if you get rich by the creative method and not by the competitive one.” – Wallace D. Wattles
William Makepeace Thackeray, Vanity Fair|Just because you have stolen someone's heart, luckily owned and occupied as a home, doesn't give you the audacity to enforce hurtful policies.
Carl R. Rogers, A Way of Being|I can't tell you how many times in my life I have been told that I have “control issues”. Historically, this statement has brought me annoyance—the kind of irritation that can only be described as a self-protective reaction to having my behaviours labelled for exactly what they were. Needless to say, these accusations would make me defensive. I'd pull my armour tighter and get out my weapons—anything to protect myself from the truth.I realized, one day, that there were only a few things I could control, and a whole lot of things that I couldn't. I realized that trying to control everything around me was a recipe for failure, because it simply wasn't possible.I wish I could tell you that I "let go" then—that it was a lovely, beautiful spiritual moment, and now I'm all better. But that isn't true. Because, for me, seeking to control things which can't be controlled isn't a random tick or flaw. It's a stage of communication in the language of my own mind. If I don't listen to the first whispers that tell me I've repressed some emotion or neglected to process some event—then, stage two starts. Every piece of dirt on the floor, every chewing noise, every unexpected obstacle... they all become intolerable.So, I have two choices when this happens. I can allow my desire to control the outside world to turn into trying to control it. Or, I can allow myself to hear what is being said to me—to interpret this strange language that I speak to myself in and respond with compassion.Do I consistently do the wise thing first? No. I forget. And then I remember, somewhere in the middle of neurotically scrubbing a wall. But I remember faster now than I did before, and sometimes I really am able to respond quickly.It's a journey. I'm not perfect. But I am doing the right thing, and I get better at it every time I have the chance to practice. That's what learning and letting go really is—a practice. It's never over. And it never is, and never will be, perfect.
Marcel Proust, The Captive & The Fugitive|The marquee scrolling across our minds trying to reinterpret life reads: "God-Against-Us." This becomes the dominant lens through which our flesh interprets life. We no longer give our loving Father the benefit of the doubt. Instead, we view every event as conclusive proof that God is against us.
E. Stanley Jones, The Unshakable Kingdom and the Unchanging Person|Once I used my powers. Now I feel like a dancing instructor, reminding the queen whom she is dancing with at this hour and with which foot she should begin.''Be thankful,' Gavin advised with a laugh, 'that so far the music is still being played and everyone is trying to dance in harmony.
Alan Bradley, The Weed That Strings the Hangman's Bag|I am often thought of as being remarkably bright, and yet my brains, more often than not, are busily devising new and interesting ways of bringing my enemies to sudden, gagging, writhing, agonizing death.
Sarah MacLean, Eleven Scandals to Start to Win a Duke's Heart|I thought he'd pick me, I know he has kids, but when it came down to it, I really thought he'd pick me."Tears rolled down her face and her nose ran. She sniffed."I know I'm selfish""You're human""I wanted him to abandon his children
Shannon L. Alder|No one would have guessed that the jagged pieces of our soul fit the puzzle in this box. We were considered the left over remnants that had no place, except the picture we wanted to create together.
Eckhart Tolle, The Power of Now: A Guide to Spiritual Enlightenment|You are awareness, disguised as a person.
Robin Sacredfire|Most people think that money and love aren’t related topics. But allow me explain this to you in a realistic way. When someone criticizes you but doesn’t see your value, this person is trying to bargain your happiness. When someone doesn’t invest in a relationship, but instead complains about her needs and wants, this person is overpricing herself. When a woman invests more in her outer beautify than inner beauty, she is focusing on her brand, and not quality. When the cost of a relationship exceeds the quality of what you get, you are being cheated. And there’s no such thing as cost for quality, because very often the nicest people you find are also the easiest to hang out with, and the kindest. They make you feel like your life is easy despite any challenges along the way, and that you haven’t lost anything but instead gained a lot. When someone adds value to your life, well then, that person proves to be a great investment. And great investments are worth a lifetime. They require little to be maintained but give you plenty in return. You should never let go a good opportunity, in love and wealth. And if you’re smart enough to understand this, you can be in a fantastic relationship and wealthy at the same time. If you can’t, you probably undervalued yourself.
Philip José Farmer|Imagination is like a muscle. I found out that the more I wrote, the bigger it got.
Marie Rutkoski, The Winner's Kiss|He told himself a story. Not at first. At first, there wasn’t time for thoughts that came in the shape of words. His head was blessedly empty of stories then. War was coming. It was upon him. Arin had been born in the year of the god of death, and he was finally glad of it. He surrendered himself to his god, who smiled and came close. Stories will get you killed, he murmured in Arin’s ear. Now, you just listen. Listen to me.
Emmanuelle de Maupassant, The Gentlemen's Club|She remained in this attitude, clearly inviting him to touch her. Taking a position of advantage, he rested his right hand on her buttock. He considered a moment then raised his arm and brought his palm upon her, delivering a sharp spank. He felt the acuteness of it on his own skin. He gave her another, watching his hand in the mirror opposite, as it made contact. The slap caused her to flinch, but her heard her sigh also: the timbre of which was now familiar to him. He paused, allowing the sensation of the sting to sink in before giving her more. She remained folded over for him, eager for more of his burning smacks upon her flesh. The peach of her cheeks rippled each time under the impact of his blows.
Ellen DeGeneres|My goal is to get another 30 years out of this business. So I need to figure out the fuel to do that. And so far, I think it's respect and quality and company, not celebrity or box office or stardom. It's not a sprinter's approach. It's more like a long-distance thing. You can stick around a lot longer if you kind of slow-play it.
William Feather|Books open your mind, broaden your mind, and strengthen you as nothing else can.
Sarah J. Maas, Heir of Fire|You don't need none of that," she said. "You need headology.
Lily Graham, The Postcard|We live in a very entertaining world, but the sad fact is that so much of that entertainment is fruitless and empty. Only building nothing but failure and sadness.
Tracy Kidder, Strength in What Remains: A Journey of Remembrance and Forgiveness|He would come to feel that history, even more than memory, distorts the present of the past by focusing on big events and making one forget that most people living in the present are otherwise preoccupied, that for them omens often don't exist.
Dr. Dre|I'm a black Catholic raised in Decatur, Georgia, which was very gang-infested. Then, I went to an all-white private high school and excelled in sports and wrote poetry, then played football at the University of Georgia, minoring in drama.
Susan Abulhawa, Mornings in Jenin|We're all born with the greatest treasures we'll ever have in life. One of those treasures is your mind, another is your heart.
Douglas Boren|Let your feet Take you places, let them remind you of the beauty your eyes can't see.
Holly Black, The Coldest Girl in Coldtown|I'm going to take off your gag. And if you try to bite me or grab me or anything, I'll hit you with this thing as hard as I can as many times as I can. Understood?
Yevgeny Zamyatin, We|You're mortal, and only a mortal can afford to be romantic. When we conquered death, we murdered love.
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|Let discernment be your trustee, and mistakes your teacher.
J.R.R. Tolkien|The world is changing: I feel it in the water, I feel it in the earth, and I smell it in the air.
Wylie Dufresne|It wasn't the traditional cooking most people do. For me, as a young chef, Thanksgiving meant going to work in the kitchen at places like Gotham, JoJo and Jean-Georges.
Keith Steinbaum, The Poe Consequence|He tried to get drunk, “to forget about life for awhile,” as that oldBilly Joel song once said, but the scotch couldn't anesthetize his painand provide a retreat from the reality of his latest failures.
Jaachynma N.E. Agu, The Prince and the Pauper|Yes, all you need do is to change your orientation and have faith in the Lord Jesus Christ that He can make you whole, change your status, and add value to your destiny.
Deyth Banger|To live in this world "Real World", you should be FUCKING nerd.
Israelmore Ayivor, Dream Big!: See Your Bigger Picture!|If you think of evil things, you are likely to do evil things and that will never pay you a pesewa. Think of good things and do good always!
Immanuel Kant, Perpetual Peace|Without man and his potential for moral progress, the whole of reality would be a mere wilderness, a thing in vain, and have no final purpose.
J.K. Rowling, Harry Potter and the Chamber of Secrets|Harry: "Have you…" he began. "I mean, who … has anyone you known ever died?" "Yes," said Luna simply, "my mother. She was a quite extraordinary witch, you know, but she did like to experiment and one of her spells went rather badly wrong one day. I was nine." "I’m sorry," Harry mumbled. "Yes, it was rather horrible," said Luna conversationally. "I still feel very sad about it sometimes. But I’ve still got Dad. And anyway, it’s not as though I’ll never see Mum again, is it?" "Er – isn’t it?" said Harry uncertainly. She shook her head in disbelief. "Oh, come on. You heard them, just behind the veil, didn’t you?" " You mean…" "In that room in the archway. They were just lurking out of sight, that’s all, you heard them.
Sarah Ockler, Twenty Boy Summer|It was years ago now, on a warm summer night,When the boy came out of the sea.His skin was blue and his hair was white,And he was in love with me.He was wild and true, and right then I knewThat he was in love with me.In our ship we sailed for years on the ocean,Unfettered and totally free.And he gave all his days to his endless devotion,For he was in love with me.I called it a phase and made endless delays,Though he was in love with me.One day the waves swept him right off the shipAnd dropped him into the blue.As his skin turned to water, his hair into fish,He asked if I loved him too.Too late I called through the wind and the water,'I was always in love with you.'I was always in love with you.
Simone Weil|No," said Jacob, "I don't mean to say that this life is just a party, any kind of party. It is a wedding, the most important kind of party, full of joy, fear, hope, and ignorance. And at this party there are enough places and parts for everyone, and if no one can play every part, yet everyone can come to the party, everyone can come to the wedding feast, and anyone who does not know that he is at a wedding feast just does not see what is in front of him. He might as well be dead if he does not know that the world is a wedding.
Henry James, Selected letters|I don't know why we live—the gift of life comes to us from I don't know what source or for what purpose; but I believe we can go on living for the reason that (always of course up to a certain point) life is the most valuable thing we know anything about and it is therefore presumptively a great mistake to surrender it while there is any yet left in the cup. In other words consciousness is an illimitable power, and though at times it may seem to be all consciousness of misery, yet in the way it propagates itself from wave to wave, so that we never cease to feel, though at moments we appear to, try to, pray to, there is something that holds one in one's place, makes it a standpoint in the universe which it is probably good not to forsake. You are right in your consciousness that we are all echoes and reverberations of the same, and you are noble when your interest and pity as to everything that surrounds you, appears to have a sustaining and harmonizing power. Only don't, I beseech you, generalize too much in these sympathies and tendernesses—remember that every life is a special problem which is not yours but another's, and content yourself with the terrible algebra of your own. Don't melt too much into the universe, but be as solid and dense and fixed as you can. We all live together, and those of us who love and know, live so most. We help each other—even unconsciously, each in our own effort, we lighten the effort of others, we contribute to the sum of success, make it possible for others to live. Sorrow comes in great waves—no one can know that better than you—but it rolls over us, and though it may almost smother us it leaves us on the spot and we know that if it is strong we are stronger, inasmuch as it passes and we remain. It wears us, uses us, but we wear it and use it in return; and it is blind, whereas we after a manner see …
Cuthbert Soup, A Whole Nother Story|Yes you are right," said Pavel. "We will succeed simply because we are the best in all of world. We will get LVR by using incredible intelligence." Leon showed he was in full agreement by screaming and hitting himself repeatedly on the head.
Marilynne Robinson, When I Was a Child I Read Books|I love the writers of my thousand books. It pleases me to think how astonished old Homer, whoever he was, would be to find his epics on the shelf of such an unimaginable being as myself, in the middle of an unrumored continent. I love the large minority of the writers on my shelves who have struggled with words and thoughts and, by my lights, have lost the struggle. All together they are my community, the creators of the very idea of books, poetry, and extended narratives, and of the amazing human conversation that has taken place across the millennia, through weal and woe, over the heads of interest and utility.
George Orwell, 1984|We breathe in our first language, and swim in our second.
Tommy Cooper|It's strange, isn't it. You stand in the middle of a library and go 'aaaaagghhhh' and everyone just stares at you. But you do the same thing on an aeroplane, and everyone joins in.
Nassim Nicholas Taleb|What appeals to me? There are things, points of view, uses of the language, habits of dress, ways of thought and believing that came to me from my grandparents and came to them from theirs. Things that are of good use in any situation, no matter what the future may hold.
Auguste Piccard|As to rocket ships flying between America and Europe, I believe it is worth seriously trying for. Thirty years ago persons who were developing flying were laughed at as mad, and that scorn hindered aviation. Now we heap similar ridicule upon stratoplane or rocket ships for trans-Atlantic flights. (1933)[Predicting high-altitude jet aircraft for routine long-distance travel.]
Holly Hood|Trust, you give it and you take it away. You believe it with everything you have in you, you allow your heart to trust somebody else. I trusted very few in life, but sometimes you just needed to give in and fight the urge to flee.
Jill Shalvis, Accidentally on Purpose|On and off the field, you're my hardest fall, Zoe. No one ever compared. No one ever will.
Albert Einstein|One of the strongest motives that lead men to art and science is escape from everyday life with its painful crudity and hopeless dreariness, from the fetters of one's own ever-shifting desires. A finely tempered nature longs to escape from the personal life into the world of objective perception and thought.
Bartlett Sher|One of the things that Dostoevsky talks about is that no character is too high to fall and no character is too low to be redeemed. 'Crime and Punishment' began with a person going out and consciously becoming a cold-blooded murderer, and it took 800 pages and an epilogue before the person finally asked for forgiveness.
John Willis Zumwalt, Passion for the Heart of God|The holy stone looked for all the world like a small iron pineapple, its surface divided into squares by deep grooves, a tarnished silver-steel handle or lever held tight to the side. In ancient times the pineapple was ever the symbol of welcome, though the church used the objects in a different way. Apparently, each theological student of good family and destined for high office was given one on beginning their training and forbidden from pulling the lever on pain of excommunication. A test of obedience they called it. A test of curiosity I called it. Clearly the church wanted bishops who lacked the imagination for exploration and questioning.
Mark Goldblatt|This is a test. This is only a test. If this was my actual life I'd be famous, rich, and thin.
Tina Fey|Okay, sense of humor: plus one. Being able to laugh at yourself: plus one. Being able to laugh at other people without being mean: plus one. Vanity: minus one.
Frank Sonnenberg, Follow Your Conscience: Make a Difference in Your Life & in the Lives of Others|If someone lied to you, and you positively know this is true, you may find delight in telling them they are the most honest person you know; continue flattering them, giving them the most wonderful compliments, including how you're so thankful to have such an honest person in such a deceptive world. But, then again, this may very well make you a liar too.
Belsebuub, Gazing into the Eternal: Reflections upon a Deeper Purpose to Living|The spiritual work builds upon awareness, increases consciousness, transforms it, merges it with the divine, and this is how to reach true spirituality in life.
Virginia Toole|I heard that I am your biggest disappointment,yet, in my heart, I know and feel that I am the greatest version of myself ever and celebrate myself each and every day
All Time Low|I earned my place,With the tidal waves.I can't escape this feeling,That something ain't right.I called my nameAs I crashed the gates,Still I can't escape this feelingThat something ain't right.
Richelle Mead, Spirit Bound|When trees burn, they leave the smell of heartbreak in the air.
