L.J. Vanier|Because the best gift in life, is just having someone to drink hot chocolate with
Thomas à Kempis, The Inner Life|Let all your thoughts be with the Most High, and direct your humble prayers unceasingly to Christ. If you cannot contemplate high and heavenly things, take refuge in the Passion of Christ, and love to dwell within His Sacred Wounds. For if you devoutly seek the Wounds of Jesus and the precious marks of His Passion, you will find great strength in all troubles.
Albert Einstein, Out of My Later Years: The Scientist, Philosopher, and Man Portrayed Through His Own Words|All religions, arts and sciences are branches of the same tree. All these aspirations are directed toward ennobling man's life, lifting it from the sphere of mere physical existence and leading the individual towards fre
Arne Jacobsen|Teaching is a truly noble profession. It's sad the amount of responsibility that teachers have today. They're not only teaching kids: they're raising kids, policing kids - and they don't make a lot of money.
Charles Haddon Spurgeon, Gleanings Among the Sheaves|Happiness, Success, Excellence: They are not something you get for knowing the path; they are something you experience by walking it.
Katie Crouch and Grady Hendrix, The White Glove War|You won't be able to find it out for yourself in any library or archive, either, because my grandmother has carefully and systematically destroyed every shred of evidence.
Steve Bivans, Be a Hobbit, Save the Earth: the Guide to Sustainable Shire Living|You want Paradise, you gotta build it on war, on blood, on envy and naked greed.
David Graeber, Debt: The First 5,000 Years|Galatians 5:22-23 describes the fruit of the Spirit, which is "love, joy, peace, patience, kindness, goodness, faithfulness, gentleness and self-control." Notice the verse does not say the "fruits" of the Spirit, but fruit. The fruit, or result, of the Spirit working in our lives is that we become not just some but all of these things: more loving, more patient, more faithful, and so forth. This verse is not a to-do list for us to work through, but a description of the transformation that occurs when God's Spirit begins to work in us.
Jerry O'Connell|Though every legal task demands this skill, it is especially important in the effort to frame public policy in a way that is properly responsive to human needs and predicaments. The question is always: How will the general rule work in practice?
Victoria Kahler, Luisa Across the Bay|She hated money! though she knew it was like blood and you needed it. Still, it was also like blood in that she often couldn't stand the sight of it.
Kevin Crossley-Holland, Heartsong|Playing in an orchestra is completely different to playing on my own.Sometimes I played, sometimes listened; instead of waiting my turn, I sometimes interrupted another player, sometimes I argued, sometimes agreed.My flute is my mouthpiece and I felt as if I was actually joining in a conversation.
Donna Grant, Burning Desire|Doubt undermines the truth your heart senses."..."Search your heart," she whispered. "The answers are there, waiting. You have to be brave enough to see them.
Donna Augustine, Jinxed|Love isn't easy. It isn't perfect like in stories or movies--but it's real. When we feel it, it reminds us we are alive, and when we truly feel it--it hurts like hell--but it reminds us why we live... For the hope of love.
Rachel Cusk, Outline|But, in the end, a kiss is just a kiss; I have no time for love, or seasoned lips.
Darrell Calkins, Re:|My take on personal evolution is largely about the spirit of connecting and disconnecting things, relating to what I call “the gap” or time and space between things. It is also about becoming practical in all this, developing the power and precision to simply bring the grand ideas home, to compress the paradigm of perception/choice/action/result into a single gesture.
David Leavitt|Novels are forged in passion, demand fidelity and commitment, often drive you to boredom or rage, sleep with you at night.
Oliver Bowden, Assassin's Creed: The Secret Crusade|They do not learn, fixed in their ways as they are. You are naïve tothink otherwise. It’s an illness, Assassin, for which there is but one cure.’‘You’re wrong. And that’s why you must be put to rest.’‘Am I not unlike those precious books you seek to save? A source of knowledgewith which you disagree? Yet you’re rather quick to steal my life.’‘A small sacrifice to save many. It is necessary.
Debasish Mridha|Roots never get the appreciation that a flower does, but that doesn’t make them envious.
J.S. Goldstine, Charlotte's War|Well, I don't care," said Bird out loud, said Bird, who cared so much that she couldn't bear to touch the hurt. "I don't care. I ran away from Summer, and I will make my own castle. I will be my own queen.
Denise Jaden|He looked at me with serious eyes, but not the kind that made me wonder what I’d done wrong. The kind that made me wonder what I’d done right.
Elton John|Every age has its own poetry; in every age the circumstances of history choose a nation, a race, a class to take up the torch by creating situations that can be expressed or transcended only through poetry.
Bill McKibben, Wandering Home: A Long Walk Across America's Most Hopeful Landscape: Vermont's Champlain Valley and New York's Adirondacks|...only in relatively recent times have people decided that "because I want to" is sufficient reason for annoying others.
Robin Quivers|One of the key things I did to stay on my diet is I never allowed myself to get hungry. As soon as I got hungry, I'd eat healthy foods.
Eric Taylor|Rise or fall, we will live on
David McCullough|In an exhibition wherein paintings of nudes were commonplace, that of Madame Gautreau in her black evening dress was considered scandalously erotic. -from The Greater Journey
Thomas Hood|In this world, shipmates, sin that pays its way can travel freely, and without passport; whereas Virtue, if a pauper, is stopped at all frontiers.
Alison Larkin, The English American|Who are these people sharing the street with me? What is going on in their worlds, inside their heads? Are they in love? If so, is it the kind that Mum and Dad have? Based on having things in common, like raspberry picking and a love of dogs, and Shakespeare, and long country walks? Or is it the knock-you-out, eat-you-up, set-you-on-fire kind of love that I have longed for-and avoided-all my life?
Jesse Hajicek, Kastor Chronicles 1: The Forge of Dawn|The deadliest Pharisaism today is not hypocrisy, but unconscious unreality.
Jonathan Glover, Humanity: A Moral History of the Twentieth Century|The darker side of Nietzsche’s ideas was incorporated into the Nazi belief system. Part of the link was straightforward: some things Nietzsche said were pure Nazi doctrine. His comments that ‘The extinction of many types of people is just as desirable as any form of reproduction’ and that ‘the tendency must be towards the rendering extinct of the wretched, the deformed, the degenerate’ could come from any work on racial hygiene. Nietzsche’s central contribution was not these explicitly Social Darwinist views, but his rejection of the Judeo-Christian morality of compassion for the weak. Self-creation required hardness towards oneself: a strong will imposing coherence on conflicting impulses. It also requires hardness on others. Conflicts between the self-creative projects of different people made inevitable the attempt to dominate others. The whole of life was a struggle in which victory went to the brave and to the strong-willed. Noble human qualities, linked with the will to power, were brought out in combat but atrophied in peace. Compassion was weakness, cowardice and self-deception. The Judeo-Christian emphasis on it was poison. In drawing these consequences from his beliefs about the death of God and from Social Darwinism, Nietzsche provided the part of the Nazi belief system which ‘justified’ the cruel steps they took to implement their other beliefs.
Lailah Gifty Akita|The soul that knows suffering, understand the grace of solitude.
Brian Herbert, House Atreides|I do not think stress is a legitimate topic of conversation, in public anyway. No one ever wants to hear how stressed anyone else is, because most of the time everyone is stressed out. Going on and on in detail about how stressed I am isn't conversation. It'll never lead anywhere.
Adrien-Marie Legendre|The wild gas, the fixed air is plainly broke loose: but we ought to suspend our judgments until the first effervescence is a little subsided, till the liquor is cleared, and until we see something deeper than the agitation of the troubled and frothy surface.[Alluding to Joseph Priestley's Observations on Air]
Kay Ulanday Barrett, When the Chant Comes|I was sixteen, and I honestly believed I was due a love story.
Abhijit Naskar, The Film Testament|Without art, a film is pure wastage of time and resources.
Freeman Dyson, Infinite in All Directions|The technologies which have had the most profound effects on human life are usually simple. A good example of a simple technology with profound historical consequences is hay. Nobody knows who invented hay, the idea of cutting grass in the autumn and storing it in large enough quantities to keep horses and cows alive through the winter. All we know is that the technology of hay was unknown to the Roman Empire but was known to every village of medieval Europe. Like many other crucially important technologies, hay emerged anonymously during the so-called Dark Ages. According to the Hay Theory of History, the invention of hay was the decisive event which moved the center of gravity of urban civilization from the Mediterranean basin to Northern and Western Europe. The Roman Empire did not need hay because in a Mediterranean climate the grass grows well enough in winter for animals to graze. North of the Alps, great cities dependent on horses and oxen for motive power could not exist without hay. So it was hay that allowed populations to grow and civilizations to flourish among the forests of Northern Europe. Hay moved the greatness of Rome to Paris and London, and later to Berlin and Moscow and New York.
Eric Johnson|Definitely there are lots of days that l am really tired, especially after becoming a new mom. There's nothing more exhausting because physically, mentally, emotionally, it requires you to be on all the time.
Mary J. Blige|Any of us can be happy and have a good attitude when everything is going our way. But I believe it's the real test of your character and of your faith to say, 'Things are not going our way, but I'm still being good to people; I'm still attending church; I still have a good attitude.'
Markus Zusak, Fighting Ruben Wolfe|However imperfect our conception of virtue, still let us cling to it; for a moment’s forgetfulness exposes us to all the malignant forces from without. The simplest lie to myself, buried though it may be in the silence of my soul, may yet be as dangerous to my inner liberty as an act of treachery on the marketplace. Widfom and Destiny
P. J. O'Rourke|Banks will fee you to death. If you bounce a check, the bank has a policy to re-post the check three more times to see if it will be paid. If it continues to bounce they charge a $30 overdraft every time. So, one bounced check will rack up $90 for the bank.
Laura Busche, Powering Content: Building a Nonstop Content Marketing Machine|Everyone is either building an audience or being an audience these days. Someone, somewhere in the world is thinking up content that will appeal to you as you read this. You are someone’s target audience.
Erin Bow, Plain Kate|Aren’t all fairy tales based in fact? You yourself are supposed to be nothing more than a myth.Pandora’s box is a story parents read to their children at night,” she countered. “That means life itself is afairy tale. Like the characters, we all live and love and search for a happily-ever-after.
Fyodor Dostoevsky|Work hard, play hard, dream big, love loads, laugh as much as you can, and give back.
Kirsten Dunst|In my early teen years, I wanted to become a vet. That was my plan. I worked as a veterinarian's assistant for a couple of summers.
Scott Stabile|Aren’t you tired of shutting up? Aren’t you sick of choking down your truth?Aren’t you over nodding yes when you mean no?Then stop—shutting and choking and nodding.You have not come this far to stay silent.You have not endured so much to give up now.You have not awakened just to go back to sleep.Right now is the time to announce yourself. Who are you? What do we need to know?Only you make claim to who you are.Only you decide what’s right, and not, for you.Only you choose how you want to shine.You—only you—get to create your singular life.
Catherynne M. Valente, The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making|Be my friend and love me, for the world is terrible lonely and I am sad.
Debasish Mridha|History will remember you for your accomplishments, not for your ability.
John Cleese|This is the extraordinary thing about creativity: If just you keep your mind resting against the subject in a friendly but persistent way, sooner or later you will get a reward from your unconscious.
Hamilton: An American Musical|If you stand for nothing, Burr, what'll you fall for?
Katlyn Charlesworth, A Thousand Deaths|But you see, Crumb, it is hard to give up what you have worked at since you were a boy. There were some Italian visitors once, they were cheering us on, Brandon and myself, and they thought that Achilles and Hector had come back to life. So they said.'But which is which? One dragged through the dust by the other ...The king says, 'You turn your boy out beautifully. No nobleman could do more.''I don't want him to be Achilles,' he says, 'I only want him not to be flattened.
Hermann Hesse, Gertrude|A melody occurs to you; you sing it silently, inwardly ... ; you steep your being in it; it takes possession of all your strength and emotions, and during the time it lives in you, it effaces all that is fortuitous, evil, coarse and sad in you; it brings the world into harmony with you, it makes burdens light and gives wings to the benumbed.
Toni Sorenson, Aligned By Christ|Love is always a miracle, everywhere, every time.
Danica McKellar|I didn't get into writing to make money or get famous or any of that. I got into it to hit hearts, and man, when I get letters not just from the soldiers but from their kids, especially their kids, it makes it all worthwhile.
Daniel Amory, Minor Snobs|SUMMER DEEP""Summer deep is in the hills again His lady is a lioness Winds of birds blow through the fields again Invaders from the true worlds A coat of grapes is on my back again I ride upon my zebra Pterodactyl beak hat on my brow The truth is like a stranger Be like you could All my friends say.
Jussi Adler-Olsen, Disgrace|Bak stood a moment, as though considering whether the sum total of their shared working life was ending in a minus or a plus.
Samuel Smiles|In my opinion, right up there with free public schools, our free public library system is what makes citizenship possible, even what makes America great.
Wietse Venema|And it's here and it's ready and we can really revolutionize the way we educate our children with tablet computers, and I'm committed to doing whatever I can to speaking to whomever I can to send this signal - to pound this message home. Now is the time.
Benjamin Franklin|In wine there is wisdom, in beer there is Freedom, in water there is bacteria.
Harry Bernstein, The Invisible Wall: A Love Story That Broke Barriers|But in that first flush of victory and happiness and relief, and God knows what other emotions were involved in this great moment, we were all very much one, and we were all in a state of euphoria, drunk with our happiness.
Pearl Zhu, Thinkingaire: 100 Game Changing Digital Mindsets to Compete for the Future|Clarity is a perception; it’s an emotional alignment of thoughts, intuitions, inclinations, expression and expectations.
Charles Dickens, David Copperfield|[W]e talk about the tyranny of words, but we like to tyrannise over them too; we are fond of having a large superfluous establishment of words to wait upon us on great occasions; we think it looks important, and sounds well. As we are not particular about the meaning of our liveries on state occassions, if they be but fine and numerous enough, so, the meaning or necessity of our words is a secondary consideration, if there be but a great parade of them. And as individuals get into trouble by making too great a show of liveries, or as slaves when they are too numerous rise against their masters, so I think I could mention a nation that has got into many great difficulties, and will get into many greater, from maintaining too large a retinue of words.
Judy Gold|Consumers deserve the right to know what's in their food - and obviously, most people want that choice. It's hard to see how more knowledge about the products we eat every day can hurt us.
Sharon Salzberg, Lovingkindness: The Revolutionary Art of Happiness|Metta is the ability to embrace all parts of ourselves, as well as all parts of the world. Practicing metta illuminates our inner integrity because it relieves us of the need to deny different aspects of ourselves. We can open to everything with the healing force of love. When we feel love, our mind is expansive and open enough to include the entirety of life in full awareness, both its pleasures and its pains, we feel neither betrayed by pain or overcome by it, and thus we can contact that which is undamaged within us regardless of the situation. Metta sees truly that our integrity is inviolate, no matter what our life situation may be.
G.K. Chesterton, Saint Francis of Assisi|So you think money is the root of all evil? Have you ever asked what is the root of money? Money is a tool of exchange, which can't exist unless there are goods produced and men able to produce them. Money is the material shape of the principle that men who wish to deal with one another must deal by trade and give value for value. Money is not the tool of the moochers, who claim you product by tears, or of looters, who can take it from you by force. Money is made possible only by the men who produce. Is this what you consider evil?
Abhijit Naskar, Principia Humanitas|Come my friend. Come and walk with me in the path ahead that awaits you with open arms – the path of humanism – the path where every pedestrian is simply a human, not a Christian, Jew, Hindu, Muslim, Atheist, Mexican, American, Canadian, British, Australian, Russian, Asian, African, European or anything else.
Thomas Brooks|What deserves my loyalty, art or prestige?
Dada Bhagwan|When monetary dealing in religion stops, the religion will manifest its splendor!
Kent Nerburn|Loneliness is like sitting in an empty room and being aware of the space around you. It is a condition of separateness. Solitude is becoming one with the space around you. It is a condition of union. Loneliness is small, solitude is large. Loneliness closes in around you; solitude expands toward the infinite. Loneliness has its roots in words, in an internal conversation that nobody answers; solitude has its roots in the great silence of eternity.
David Pietrusza, 1960--LBJ vs. JFK vs. Nixon: The Epic Campaign That Forged Three Presidencies|While JFK had made the sale on a political level, he had not yet completed it on an emotional one.
Lauren Bacall|One can never pay in gratitude  one can only pay "in kind" somewhere else in life.
Donald Barthelme, Sixty Stories|We could unleash all this technology at once. You can imagine what would happen then. But that's not the interesting thing." "What is the interesting thing?" "The interesting thing is that we have a moral sense. It is on punched cards, perhaps the most advanced and sensitive moral sense the world has ever known." "Because it is on punched cards?" "It considers all considerations in endless and subtle detail," he said. "It even quibbles. With this great new moral tool, how can we go wrong? I confidently predict that, although we could employ all this splendid new weaponry I've been telling you about, we're not going to do it.
Alain de Botton, Religion for Atheists: A Non-Believer's Guide to the Uses of Religion|We seem to be unable to resist overstating every aspect of ourselves: how long we are on the planet for, how much it matters what we achieve, how rare and unfair are our professional failures, how rife with misunderstandings are our relationships, how deep are our sorrows. Melodrama is individually always the order of the day.
Kody Keplinger, The DUFF: Designated Ugly Fat Friend|She does know Harrison prefers men, right?”“Let her have hope,” I said, smiling to myself.He turned his attention back to me. “Yes. Hope is good. Bianca, I-” He grinned wickedly. “I knew you’d give in sooner or later.” He put his hand on my knee and ran it smoothly up my thigh. “You’re finally going to admit that you love me, aren’t you?”I swatted his hand away. “First of all,” I began, “I don’t love you. I love my family and maybe even Casey and Jessica, but romantic love takes years upon years to develop. So I don’t love you. But I will admit, I’ve thought a lot about you lately and I definitely have feelings for you… feelings other than hatred for the most part. And maybe it’s possible-in the future-that I… could love you.” I hesitated, a little scared of the words that’d just left my mouth. “But I still want to kill you most of the time.
Ortega y Gasset José|Two things define you, your attitude when you are at your worst and your attitude when you are at your best.
Italo Calvino, If on a Winter's Night a Traveler|When a writer doesn’t show his face, he becomes a local symptom of God’s famous reluctance to appear.
Julian Lennon|I was the kid growing up who would play with G.I. Joes in a pink dress and then run off to play with my Barbies. It doesn't mean that I'm less girly, it just means that I have this other side of me. It's kinda cool to be a little bit of both, I think.
Julia Cameron, The Artist's Way|No matter what your age or your life path, whether making art is your career or your hobby or your dream, it is not too late or too egotistical or too selfish or too silly to work on your creativity.
Levon Peter Poe|Move forward not back. The people, places and things that brought you down only need you to bring you lower. STAY AWAY!
Raphael Zernoff|Answer the Call to Shine Your LightRight now there may be just few individuals who balance duality in unconditional love, but their unifying perception is very integrative. They live their lives in “Trinity” after they have expanded their understanding of “Duality”. There is no moral value judgment applied in their perceptions. The moral value judgment continually creates an illusion of separation and disconnection. A balanced consciousness, with no dual perception is very integrative and all inclusive. It expands at an enormous speed assisting others to perceive a myriad of different perspectives as different yet equally valid. Those individuals shine their light in the world as a sign of unity, harmony, and emotional balance. They are living witnesses to the reality of love, compassion, ease and joy. By their example others can choose to understand that life can be easy to live in one's preferred way without devaluing others' choices. They are those who lightened up carrying their bright match lit in a darkened room filled with fear and drama.
Daven Anderson, Vampire Syndrome|Great. I guess you're the dog whisperer, vampire edition.
R.A. Salvatore|Change is not always growth, but growth is often rooted in change.Drizzt Do'Urden
Garrison Keillor, Lake Wobegon U.S.A.|Nanny Ogg looked under her bed in case there was a man there. Well, you never knew your luck.
Jennifer Pierre|Sometimes you will let go meet others, travel, experience beautiful things, but there's always someone you feel is home.
Brian Greene|According to inflation, the more than 100 billion galaxies, sparkling throughout space like heavenly diamonds, are nothing but quantum mechanics writ large across the sky. To me, this realization is one of the greatest wonders of the modern scientific age.
Julian Assange|State-sanctioned marriage is a civil contract, period. A contract is not a judgment of moral value. It is a legal agreement between two parties that testifies to a meeting of minds between those consenting entities. It is not a religious act or rite and so has nothing to do with Adam and Eve or Steve or even Harvey.
Debasish Mridha|Knowledge, ideas, and wisdom are the most powerful forces that we can use to improve lives while bringing peace to this beautiful world.
Julie James, Love Irresistibly|I remember Chap saying Jesus was a lifeline. And I needed one. Had needed one for a long time, I guess. So I prayed for the first time in my life and let Jesus rescue my soul from the depths.
Taylor Patton|Allow the fear to keep you sensible but not to keep you still. If you're afraid of the dark then open your eyes, see that you are home.
Michael Hastings, The Operators: The Wild and Terrifying Inside Story of America's War in Afghanistan|When you get right down to it, militaries are essentially legalized mafias.
Neil Gaiman, The Ocean at the End of the Lane|Will looked horrified. "What kind of monster could possibly hate chocolate?
Gregory David Roberts, Shantaram|The truth is everything in the end. It is the greatest power in the world to make all people equal. If everyone knows what the truth is, no one can use lies to separate those people and turn them against one another.
Chris Mentillo|When James Wan is out there the horror is real, no doubt about that Check out for own proof if you have guts Sinister 1,2... Insidious 1,2...
Lailah Gifty Akita, Think Great: Be Great!|We study the past ecological history, with the conscience of the present ecological conditions, the only window to predict the future environmental and climate changes.
David Orr|Were we to confront our creaturehood squarely, how would we propose to educate? The answer, I think is implied in the root of the word education, educe, which means "to draw out." What needs to be drawn out is our affinity for life. That affinity needs opportunities to grow and flourish, it needs to be validated, it needs to be instructed and disciplined, and it needs to be harnessed to the goal of building humane and sustainable societies. Education that builds on our affinity for life would lead to a kind of awakening of possibilities and potentials that lie dormant and unused in the industrial-utilitarian mind. Therefore the task of education, as Dave Forman stated, is to help us 'open our souls to love this glorious, luxuriant, animated, planet.' The good news is that our own nature will help us in the process if we let it.
Robert Harris|As I'm sure you may know, I'm planning to become a spaceflight participant and have been recently approved to begin my spaceflight training by the Russian space federation having passed the necessary medical and physical tests.
Stephenie Meyer, The Host|Books are more honest than the world. If you want to understand people, listen to what they make up.
Nadine Gordimer, The Conservationist|The core issue in monotheism is righteousness/wickedness. Righteous/wicked qualifies a person acting or being Good/bad.In an environment of scarcity, man’s vital strategy for collective survival hinges on being good to his clan and bad to rival clans to acquire or defend resources.So the creation/elaboration/nurture of both good and bad can only be the consequence of a primary cause: scarcity.Monotheism “Revealing” such a mental disadvantage in a Creator as to confuse consequences for causes is … revelatory.
Zach Wamp|I'd much rather be a woman than a man. Women can cry, they can wear cute clothes, and they're the first to be rescued off sinking ships.
|No matter how many failures and disappointments that you have encountered lately, never stop believing in yourself. You still have endless success left in you.
Marge Piercy, What Are Big Girls Made Of?: Poems|When will women not be compelledto view their bodies as science projects,gardens to be weeded, dogs to be trained?When will a woman ceaseto be made of pain?
Anthony Liccione|Go to God with your coal, and He will set them to blazing fire.
Dietrich Bonhoeffer, The Cost of Discipleship|In life I would much prefer to be sinned upon than the sinner. It is easier, vous comprenez? With the clear conscience one sleeps very well. The sinner may deny it… but in his heart he knows. He does not deserve to be happy.
Amit Kalantri|I chase goals, not girls.
Mark Andrew Poe, Ending Easter|Words like “patience”, and “kindness”, and “goodness”. They are the words of a hero.
Milan Kundera, The Unbearable Lightness of Being|I know a lot of stuff, not only about you, about me (of course) and many other people.... "So how I don't know??" you ask yourself??You never asked me and even you asked me you never understood me. You just said "Okay"... and that's all.
Gerard Helferich, Humboldt's Cosmos: Alexander von Humboldt and the Latin American Journey that Changed the Way We Se|cautiously, you avoid trouble. See all that you can – then, if you forget the perilous and
Peter Capaldi|I was a child, and in 1942, I was evacuated to the Cotswolds with my mother, who was a teacher - she went with her school. I lived in one house in the village, and my mother was in the vicarage.
Deborah Blake, Wickedly Wonderful|i want you so much I feel like I'm going to explode.""I hear that Marines are good with explosions," Beka said.
Dennis Cooper|When I started writingI was a sick teenagedfuck inside who partlythought I was the newMarquis de Sade, a bodydoomed to communicatewith Satan who was us-ing my sickness as hishome away from home,and there’s your proof.
John F. Kennedy|The West has to take a critical look at itself and examine the apparent double standards at work that allow it to attack Iraq for possessing weapons of mass destruction but not North Korea, whose leader shared Saddam Hussein's megalomaniacal qualities; that permit it to rail against Iran about nuclear weapons but be silent about Israel's arsenal; that allow it to only selectively demand enforcement of UN resolutions. The West has to own up to the mistakes it has made: such as with Abu Ghraib and the torture in Afghan prisons; in the errant attacks on civilians; in its disregard for the basic precept of a civilized legal system, which maintains that an accused person is innocent until proven guilty.
Kliph Nesteroff, The Comedians: Drunks, Thieves, Scoundrels, and the History of American Comedy|When the occasional stranger approaches me at a party to say, "Hey, you're Felicia Day. Let's talk about that comic book you were tweeting about last week!" it's the greatest thing in the world. Because it saves me from having to stand in the corner awkwardly, drinking all the Sprite, and then leaving after ten minutes without saying good-bye to my host.
Santosh Kalwar|What science does not understand is called psychology, what psychology does not understand is called religion, what religion does not understand is called spirituality, what spirituality does not understand is called creation, what creation does not understand is called life, what life does not understand is called the death. There is nothing that the death does not understand—simply, it is an ultimate end of life.
Dejan Stojanovic, Serbian Satire and Aphorisms|The Pressure-Maybe one day,after centuries,we can become brilliant gemsin crystal cavesand we will be immortal after all.
Cath Crowley, Graffiti Moon|Because with the right person, sometimes kissing feels like healing.
P.J. O'Rourke|People are all exactly alike. There's no such thing as a race and barely such a thing as an ethnic group. If we were dogs, we'd be the same breed. George Bush and an Australian Aborigine have fewer differences than a Lhasa apso and a toy fox terrier. A Japanese raised in Riyadh would be an Arab. A Zulu raised in New Rochelle would be an orthodontist. People are all the same, though their circumstances differ terribly.
Karen Salmansohn|If someone keeps bringing you down, perhaps it's time to get up and leave
Bessel A. van der Kolk, The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma|What an incredible thing! How much less they had than other human beings. Mentally retarded, deaf, mute - and still eagerly sanding benches.
John Woo|You know what I loved about 'Sideways'? Well, the wine, of course. But it was one of the few movies in which being a writer was realistically depicted. I loved how the Paul Giamatti character tries so ineptly to talk about his book.
Maurice Maeterlinck, Pelleas and Melisande|Don't be afraid to talk because in the long run, you will be afraid that you were too silent.
K.F. Breene, Chosen|No! It was not me. I did not touch him!""But you know who did. You were there," Shanti whispered, her face cracking, revealing visions of death. Of loss. Of misery so intense it sucked all the happy thoughts from the room and corroded their memories.Sanders took a step forward even as the Captain did, not knowing exactly what to do, but wanting to cure this woman of that pain. The sight of it broke his heart. No one deserved to see a loved on killed, and then get confronted with it like this. No one.
Esmay T. Parker, A Shimmer of Hope|I believe the perception of what people think about DID is I might be crazy, unstable, and low functioning. After my diagnosis, I took a risk by sharing my story with a few friends. It was quite upsetting to lose a long term relationship with a friend because she could not accept my diagnosis. But it spurred me to take action. I wanted people to be informed that anyone can have DID and achieve highly functioning lives. I was successful in a career, I was married with children, and very active in numerous activities. I was highly functioning because I could dissociate the trauma from my life through my alters. Essentially, I survived because of DID. That's not to say I didn't fall down along the way. There were long term therapy visits, and plenty of hospitalizations for depression, medication adjustments, and suicide attempts. After a year, it became evident I was truly a patient with the diagnosis of DID from my therapist and psychiatrist. I had two choices. First, I could accept it and make choices about how I was going to deal with it. My therapist told me when faced with DID, a patient can learn to live with the live with the alters and make them part of one's life. Or, perhaps, the patient would like to have the alters integrate into one person, the host, so there are no more alters. Everyone is different.The patient and the therapist need to decide which is best for the patient. Secondly, the other choice was to resist having alters all together and be miserable, stuck in an existence that would continue to be crippling. Most people with DID are cognizant something is not right with themselves even if they are not properly diagnosed. My therapist was trustworthy, honest, and compassionate. Never for a moment did I believe she would steer me in the wrong direction. With her help and guidance, I chose to learn and understand my disorder. It was a turning point.
Susan B. Anthony|In all our associations; in all our agreements let us never lose sight of this fundamental maxim - that all power was originally lodged in, and consequently is derived from, the people.
Theodore Roosevelt|When they call the roll in the Senate, the Senators do not know whether to answer 'Present' or 'Not Guilty'.
Alahdal A. Hussein|Find your passion, it makes all the difference.
Isaac Newton|That deep emotional conviction of the presence of a superior reasoning power, which is revealed in the incomprehensible universe, forms my idea of God.
Decca Aitkenhead, All at Sea|In those first hours after he drowned, when the catastrophe was still confined to Calabash beach, and to Jake, Joe and me, its speed was impossible to reconcile with its scale. Nothing so big could happen this fast; it defied the laws of physics, it could not be true. Death is too much for the mind to register in a matter of minutes; the incalculable magnitude can only be absorbed by increment, day by day. As each day allows a new glimpse of its immensity, and the aftershock extends beyond the beach to reach hundreds of people all over the world, my comprehension slowly expands until its dimensions resemble a more accurate impression of the truth. But the bigger his death grows, the more inconceivable it becomes. It feels like an ambitious piece of performance art; a work of fiction, not real life. How strange that the truth of my own situation should be so much clearer to everybody else.
Richelle E. Goodrich, Eena, The Curse of Wanyaka Cave|You know, I'm like Avis rent-a-car: Because I'm insignificant, I try harder.
Patrick Ness, The Rest of Us Just Live Here|A good antidote to the reasons why you worry is never to worry about the reasons why you worry, for the reasons why you worry will always make you worry about the reasons why you worry
Terry Spear, Hawk Fae|They are here to help pack the gold, mistress. The women wouldn't be able to do it quickly enough , but I reverently ask that you don't tell them I said so. The last time I said anything about Cook's culinary arts, I ate burned food for a week and when I said anything to your lady's maid about how she should do more to help to help you, she put double of starch into my sheets when she ironed them.... She scorched a hole in the sheets at the foot of the bed and my toes got caught in it in the middle of the night.
Brené Brown, The Gifts of Imperfection: Let Go of Who You Think You're Supposed to Be and Embrace Who You Are|If we are not given the option to live without violence, we are given the choice to center our meals around harvest or slaughter, husbandry or war. We have chosen slaughter. We have chosen war. That's the truest version of our story of eating animals.Can we tell a new story?
Georgette Heyer, Frederica|Many have blamed the gasoline shortages and long lines at filling stations in 1973 on the Arab Oil embargo of that year. However, the shortages and long lines began months before the Arab oil embargo, right after price controls were imposed.
Glennon Doyle Melton, Love Warrior|Being human in a world with no tolerance for humanity felt like a setup, a game I couldn't win. But instead of understanding that there might be something wrong with the world, I decided there was something wrong with me.
Libba Bray, A Great and Terrible Beauty|I'm Sorry,' he says. It's simple and direct, with none of the nonsense about God calling home an angel too young and who are we to question his mysterious ways.
Molly O'Keefe, Everything I Left Unsaid|I loved books. Loved reading. It not only gave me an escape from my own world, but opened a door into other worlds. It allowed me, at the beginning of my marriage, to suffer with some grace. As long as I had another world to go to, what did I care about how small and strange and terrifying my own life had gotten?
Jane Austen, Persuasion|Yes; he had done it. She was in the carriage, and felt that he had placed her there, that his will and his hands had done it, that she owed it to his perception of her fatigue, and his resolution to give her rest. She was very much affected by the view of his disposition towards her, which all these things made apparent. This little circumstance seemed the completion of all that had gone before. She understood him. He could not forgive her, but he could not be unfeeling. Though condemning her for the past, and considering it with high and unjust resentment, though perfectly careless of her, and though becoming attached to another, still he could not see her suffer, without the desire of giving her relief. It was a remainder of former sentiment; it was an impulse of pure, though unacknowledged friendship; it was a proof of his own warm and amiable heart, which she could not contemplate without emotions so compounded of pleasure and pain, that she knew not which prevailed.
Lou Holtz|Our best hope for the future is not to get people to think of all humanity as family - that's impossible. It lies, instead, in an appreciation of the fact that, even if we don't empathize with distant strangers, their lives have the same value as the lives of those we love.
Robert Vanleeuwen|When love begs hatred & sorrow, show it your heart. For what you sow you reap, what you feel you seek.
Sharon Salzberg, Real Love: The Art of Mindful Connection|Taking in another’s criticism, even when it’s offered out of love, requires courage.
