S.A. Tawks, Misadventurous|Now comes the hard part. Peyton, Peyton, Peyton. Just say Peyton.
Wesley Chu, The Lives of Tao|I feel my hand. I am these two beasts struggling at the end of my arms. My hand scratches one of its paws with the nail of the other paw; I feel its weight on the table which is not me. It's long, long, this impression of weight, it doesn't pass. There is no reason for it to pass. It becomes intolerable ... I draw back my hand and put it in my pocket; but immediately I feel the warmth of my thigh through the stuff. I pull my hand out of my pocket and let it hang against the back of the chair. Now I feel a weight at the end of my arm. It pulls a little, softly, insinuatingly it exists. I don't insist: no matter where I put it it will go on existing; I can't suppress it, nor can I suppress the rest of my body, the sweaty warmth, which soils my shirt, nor all this warm obesity which turns lazily, as if someone were stirring it with a spoon, nor all the sensations going on inside, going, coming, mounting from my side to my armpit or quietly vegetating from morning to night, in their usual corner.
Marianne Williamson, A Return to Love: Reflections on the Principles of "A Course in Miracles"|Forgiveness is like the martial arts of consciousness.  In aikido and other martial arts, we sidestep our attacker's force rather than resisting it.  The energy of the attack then boomerangs back in the direction of the attacker. forgiveness works in the same way.  When we attack back, and defense is a form of attack, we initiate a war which no one can win.
Buzz Aldrin|I have an 'office,' technically. I never use it. I work on a couch in my living room, with my laptop on my lap, looking out the windows. I love space and green things. And I'm an incredibly casual person. I slouch. I close the laptop and just lie on the couch for a while if I need to think. I put my feet up on a table while I type.
David T. Dellinger|...a freeze response (dissociation, collapse, numbing, paralysis, deadness) during the incident that threatened your life or limb. Sometimes it's difficult for people to understand that this is really survival response...
Amber Argyle, Witch Song|Without asking, he moved behind her and brushed her hair over her shoulder. Drawing the necklace around her neck, he fastened the clasp. The amber felt cool against her sweltering skin. Lifting it, she rotated the pendant, watching as it caught the light. "It's lovely." Before she could change her mind, she dug into her pocket and shoved the rest of the coins into his hand.
Katie Kenyhercz|He smiled wickedly, and my body warmed. "Girls dig bad boys."	"Unfortunately, that's true."	"Is there a message, Bridge?"	"In your dreams," I replied with a roll of my eyes, but it was all an act because there was a message there. I wanted him. I was screwed ― Uh, bad choice of words.
Julie James|Putting aside your blatant patriarchal biases in assuming the necessary presence of a male familial figurehead, yes, I had a nice brunch, thanks.
Steven Pinker, How the Mind Works|[There's] one... thing I can tell you about human nature: beautiful people are the last ones you want to befriend. Beautiful people float through life thinking that it's perfectly normal for others to gaze at them adoringly, and open doors for them, and defer to their opinion... Doesn't anyone understand that beautiful people are stupid? That's why nature made them beautiful, so they'd have a chance at surviving in the wild. And how do they survive? They use people and then they drop people, and they float away on the currents of their own gorgeousness to the next poor girl who thinks that being friends with a beutiful person will somehow make her beautiful, too. I've got news for you: Hanging around beautiful people just makes you uglier by comparison.
Serenity K Moon - Antarus|My first thought was that a tornado had somehow picked me up and carried me off, like in the Wizard of Oz. No old witches pedaled by, and I didn't see any flying farm animals or chicken coops, and after a few agonizing minutes, I fell deep into unconsciousness again.
K.J. Kilton|One day, you muster the courage and let go of the fear. In a brief moment of insanity, you give wings to the stories you had wanted to tell; some you didn't even know were in you. In that instant, something about you changes. You are born again.
Donna Grant, Dragon King|Grace was breathing heavily when she crested a hill that was a lot steeper than she had originally though. She stood looking over the land even as a cold breeze blew past her.	She wrapped her arms around herself. Though she had traveled extensively all over Europe, she continued to set her stories in Scotland.	Her father used to laugh about it, telling her that there must be something in Scotland drawing her to the land. She used to roll her eyes at his teasing. Now she wondered if he hadn't been right.
Peter Jackson|The only thing I can't do is hear. I can drive, I have a life with four kids, I work on TV, I do movies, so the deafness question, is it that they want to know because, what? Not sure.
Diyar Harraz, One Minute to Midnight|I will not give you up. You are my mate until I take my last breath, and I will follow you to the ends of the earth. You - you are the happiness I never knew i was missing, the heart I didn't know had never beaten.
Anne Shaw Heinrich|Without desire, one is a walking cadaver.
Elizabetta Holcomb, The Guardian|If I say that you are mine, then I am yours.
Emmanuelle Seigner|My parents' long and happy marriage was a great ideal to live up to, but a tough one.
David J. Schow|Horror fiction seems to spawn more dumbass 'rules' than any other kind of writing, and one of the dumbest is the assumed 'requirement' of a twist ending, going all the way back to H.H. Munro. This story is also the result of a long rumination on how stories are sometimes scuttled or diminished by succumbing to such 'rules'.
Brian Skerry|One of the remarkable things about slums is that they do develop their own social organization and economy and even culture that is, on some level, functional and in some cases, remarkably resilient. This is kind of amazing.
Kelly Slater|I'm just trying to be the me that I am and not all of this other crap. I just want to be the family man, and if somehow I can make the money to get my ranch and get the hell away from everybody else, that would be awesome.
Sunday Adelaja|Education is free. Though the education I refer to is not confined to a stuffy old building that still manages to retain its charm – don’t get me wrong, I love my school – but it’s out there in the real world. Waiting to be experienced. Waiting for the curious young minds of tomorrow to free themselves from the shackles of ignorance and transcend above everyday like-minded thoughts and uncover the mysteries of tomorrow.
Brian Andreas|I have a renewed commitment to elegance, she said, in case you think I'm just spending money for the fun of it. 
William Shakespeare|O Luke, I would not lose thee as I lostDarth Vader. His betrayal made my lifeA bleak and tragic thing. Thy loss untoThe dark would make my death a hellish, coldEternity.
Johann Wolfgang von Goethe|Man is not born to solve the problem of the universe, but to find out what he has to do; and to restrain himself within the limits of his comprehension.
Sonal Panse, The Sunshine Time: Season 1 Episode 5|We have no business squatting on other people’s land and we have only ourselves to blame if they take a dim view of it. I mean, c’mon, what would you do if someone barged into our house and just took it over? How would you react? Are you going to say, welcome, intruders, take it all, we’ll gladly confine ourselves to the bathroom. That is, until you want us out of the bathroom as well. Then we will happily kill ourselves and leave you to deal with our bodies as you please. Is that what you would say? Of course not. You would make a complete ruckus. So why are you surprised when other people do the same?
Israelmore Ayivor, Leaders' Ladder|Leaders get to tall heights by taking short steps. Being faithful, diligent and consistent with little steps is the secret to mounting greater heights.
Joel Osteen|Yoga is a way to freedom. By its constant practice, we can free ourselves from fear, anguish and loneliness.
Deyth Banger|Stupidy is easy, everyone can learn it... You just say to stupid stuff and you are the big Job,... but try to be a wise that's what's hard and most people just try to destroy the wise people why??Because they are too stupid to realease it!
Malti Bhojwani|Be grateful for the things you don't have that you don't want." -Bob Dylan's Dad
Ufuoma Apoki|You don't always get your dreams come to you in FULL DEFINITION. It usually comes in bits and pieces of the picture you've conceived in your mind; but it certainly comes. And when it comes, even blurry in LOW DEFINITION, and you recognize it, all you've got to do is make a little tweaks here and there and then you can fine tune it to the BEST DEFINITION. You however, have to DREAM!
George Steiner, Real Presences|No neighbourhood or district, no matter how well established, prestigious or well heeled and no matter how intensely populated for one purpose, can flout the necessity for spreading people through time of day without frustrating its potential for generating diversity.
Lisa Kessler, Magnolia Mystic|Forgive me, God, for I'm about to sin like fuck.
George Augustus Sala, Twice Round the Clock, or the Hours of the Day and Night in London|That people you don’t know are worth knowing, that they have something to teach you. That learning about them – that encountering new ideas – doesn’t threaten you, it enriches you. (Celeste Ng)
Helen Keller|In this life, we have to make many choices. Some are very important choices. Some are not. Many of our choices are between good and evil. The choices we make, however, determine to a large extent our happiness or our unhappiness, because we have to live with the consequences of our choices.
Song Joong-ki|Don't eat because you're angry, bored, sad, or stressed.
Kiera Dellacroix, Engravings of Wraith|I play to win and if it looks like I've lost, its only because its not over yet.
Elizabeth Cady Stanton, Declaration of Sentiments|He has usurped the prerogative of Jehovah himself, claiming it as his right to assign for her a sphere of action, when that belongs to her conscience and to her God. He has endeavored in every way that he could to destroy her confidence in her own powers, to lessen her self-respect, and to make her willing to lead a dependent and abject life.
Charles Wesley|No Condemnation now I dread,Jesus, and all in Him, is mineAlive in Him, my Living Head,And clothed in Righteousness Divine,Bold I approach th' eternal Throne,And claim the Crown, through Christ my own
Wade Davis, Into the Silence: The Great War, Mallory and the Conquest of Everest|There is no doubt that we are a very cruel people,' Winston Churchill wrote home from the front. 'Severity always,' went the British motto, 'justice when possible.
Ramana Pemmaraju|Ah! That glance of yours did some magic on me, you were not aware of. For once I died and was reborn. To put it simply: you did (CRL+ALT+DELETE) to my mind!
Alexa Von Tobel|I can remember when I first went into the Himalayan area way back in 1951. Money, for instance, was not important at all to the local people. But now, finance has become just as important to them as it is to us, and this is a change maybe not for the better.
Steve Maraboli|It’s my life and I’m not afraid to LIVE it! I would rather experience the ups and downs of a life I have chosen, than to suffer the regret of a life I have settled for.
Chris Prentiss, Zen and the Art of Happiness|The more you engage in any type of emotion or behavior, the greater your desire for it will become.
Jason Reitman|I love technology - yes, I have fallen in love with older cars, but I'm all for new technology.
Stephen King, Duma Key|Talent is a wonderful thing, but it won't carry a quitter. 
Henry George|Of all presidential perks, the pardon power has a special significance. It is just the kind of authority that would attract the special attention of someone obsessed with himself and his own ability to influence events.
Sam Savage, Firmin|I always think everything is going to last forever, but nothing ever does. In fact nothing exists longer than an instant except the thing that we hold in memory
Noah Lukeman, A Dash of Style: The Art and Mastery of Punctuation|A good writer reveals beauty in the mundane and truth in tragedy. Words are a tool; a currency of the mind, and the best writers weave passages into our hearts that our bones remember.
Eknath Easwaran, The End of Sorrow|Her nausea increased, the dialect had become unfamiliar, the way our wet throats bathed the words in the liquid of saliva was intolerable. A sense of repulsion had invested all the bodies in movement, their bone structure, the frenzy that shook them. How poorly made we are, she thought, how insufficient. The broad shoulders, the arms, the legs, the ears, noses, eyes, seemed to her attributes of monstrous beings who had fallen from some corner of the black sky.
Amy Lukavics, The Women in the Walls|The girl lives in a beautiful dollhouse made of stone', I wrote one time in my dairy when I was young, my handwriting shaky but sure. 'But beneath her shining plastic smile, there are only screams'.
Zuky rose Leigh|The scientist is a lover of truth for the very love of truth itself, wherever it may lead.
Anna Campbell, Claiming the Courtesan|The other problem is that she hasn’t arrived.”“Oh, yeah? And who is she?” “Well, she is a remarkable, funny, classy woman who can say the word fuck without being trashy. She makes me laugh, is ambitious, loves me because I’m nice, not in spite of it, and is as nice in return. She is simply enchanting.” “Shooting for the stars there, aren’t you, pal?”“Shouldn’t we all?” I didn’t know anymore, although I utterly envied his romanticism.
Edmund Spenser, Amoretti and Epithalamion|One day I wrote her name upon the strand,But came the waves and washèd it away:Again I wrote it with a second hand,But came the tide, and made my pains his prey.
Pippa DaCosta, Ties That Bind|Help others while respecting the Sacred Law of Free Will. By recognizing and honoring God in others, you recognize and honor God within yourself.
Terry Goodkind|Justice is not cheap in this country, and people who insist on it are usually either desperate or possessed by some private determination bordering on monomania.
John Steinbeck, The Acts of King Arthur and His Noble Knights|Roland glares at Connor and Connor glares back. Then he says what he always says at moments like this."Nice socks."Although Roland doesn't look down right away, it derails him just enough for him to back off. He doesn't check to see if his socks match until he thinks Connor isn't looking. And the moment he does, Connor snickers. Small victories are bet­ter than none.
Ingmar Bergman|Today the individual has become the highest form, and the greatest bane, of artistic creation. The smallest wound or pain of the ego is examined under a microscope as if it were of eternal importance. The artist considers his isolation, his subjectivity, his individualism almost holy. Thus we finally gather in one large pen, where we stand and bleat about our loneliness without listening to each other and without realizing that we are smothering each other to death. The individualists stare into each other's eyes and yet deny each other's existence. We walk in circles, so limited by our own anxieties that we can no longer distinguish between true and false, between the gangster's whim and the purest ideal.
Wissam Douglas|When you are in the presence of someone whose seed is in you, you’ve to cultivate that seed and make sure that seed depict you.
Hermann Hesse, Wer lieben kann, ist glücklich. Über die Liebe|Oh, love isn't there to make us happy. I believe it exists to show us how much we can endure.
Martin Heidegger|Dasein *is authentically itself* in the primordial individualization of the reticent resoluteness which exacts anxiety of itself. *As something that keeps *silent*, authentic *Being*-one’s-Self is just the sort of thing that does not keep on saying ‘I’; but in its reticence it ‘*is*’ that thrown entity as which it can authentically be. The Self which the reticence of resolute existence unveils is the primordial phenomenal basis for the question as to the Being of the ‘I’. Only if we are oriented phenomenally by the meaning of the Being of the authentic potentiality-for-Being-one’s-Self are we put in a position to discuss what ontological justification there is for treating substantiality, simplicity, and personality as characteristics of Selfhood. In the prevalent way of saying “I,” it is constantly suggested that what we have in advance is a Self-Thing, persistently present-at-hand; the ontological question of the Being of the Self must turn away from any such suggestion.*Care does not need to be founded in a Self. But existentiality, as constitutive for care, provides the ontological constitution of Dasein’s Self-constancy, to which there belongs, in accordance with the full structural content of care, its Being-fallen factically into non-Self-constancy*. When fully conceived, the care-structure includes the phenomenon of Selfhood. This phenomenon is clarified by Interpreting the meaning of care; and it is as care that Dasein’s totality of Being has been defined.”―from_Being and Time_. Translated by John Macquarrie & Edward Robinson, pp. 369-370
Shannon Hale, The Unfairest of Them All|You don't need luck. You are powerful, clever, and fearless.
Abhijit Naskar, Neurons, Oxygen & Nanak|Your mind is not merely the vehicle of God, rather it is the life-force that keeps God alive. Without the Mind, there is no God. Without you, there is no God.
Barton Gellman|I grew up in the world of bad television, on my dad's sets and then as a young schmuck on dating shows and so on.
–Ted Mosby|I don’t know," she said. "I’m not sure you would like me in real life. I’m a lot different there, you know. I don’t even look the same."	" I don’t care if you look like a troll with warts," Sir Leo declared, taking her hand in his. "I love you.
Paul C. Vitz, The Self: Beyond the Postmodern Crisis|We don’t think, we think we think
Orson Scott Card, Children of the Mind|I believe what Jesus said was, 'I the Lord will forgive whom I will forgive. But of you it is required that you forgive all men.
Patricia MacLachlan, Baby|Sometimes poetry--words--give us a small, lovely look at ourselves. And sometimes that is enough.
Nalini Singh, Angels' Blood|If I'd wanted you dead five minutes ago, you'd have died five minutes ago.
John O'Donohue|Though beauty is autonomous, there seem to be occasions when human presence can become congruent with her will. In creative work no amount of force or mechanical management can guarantee beauty. Suddenly, without expecting it, beauty is there. Yet ultimately beauty is a profound illumination of presence, a stirring of the invisible in visible form and in order to receive this we need to cultivate a new style of approaching the world.
S.D.   Smith, The Green Ember|While some consider God's standards as too confining, a true believer sees them as loving and freeing.
Lailah Gifty Akita|If we obey God, we shall be his treasured possession.
Jennifer Salaiz|We are inside soft, sweet and pure white despair.
Justin Bieber|This land is your land and this land is my land, sure, but the world is run by those that never listen to music anyway.
|Is the energy of your circle positive enough to bring out the best in you? If it's not, then it's time to wisely reposition yourself.
Ray Bradbury, Something Wicked This Way Comes|For now. But if I ever decide you're useless, you are a dead man."To be killed by you is to be desired more than a life excluded from your service."Bravo." Her Imperial Viciousness laughed with genuine feeling. "Bra-vo!
Ravi Zacharias, I, Isaac, Take Thee, Rebekah: Moving from Romance to Lasting Love|In the early days of marriage, joy precedes the act. Tragically, as the years go by joy can be severed from the act until finally, the act itself is no more. This ought not to be. Over time it is the companionship that brings joy, and service is the natural outworking of the joy of commitment. Failure to act kills it.
Harvey Pekar|When I first started dating my husband, I had this weird fascination with the circus and clowns and old carnival things and sideshow freaks and all that. About a month after we started dating, he bought me this amazing black-and-white photo book on the circus in the 1930s, and I started sobbing.
Nicole Hardy, Confessions of a Latter-day Virgin: A Memoir|So, Don't Mix Up Your Way To Write Your Life Story With Others, Then Definitely It Won't Sell. You Only Know What You're Encountering In Every Single Step. Everyone's Shoes Won't Fit In Your Feet....
B.F. Skinner, Walden Two|Promising paradise or threatening hell-fire is, we assumed, generally admitted to be unproductive. It is based upon a fundamental fraud which, when discovered, turns the individual against society and nourishes the very thing it tries to stamp out. What Jesus offered in return of loving one's enemies was heaven on earth, better known as peace of mind.
William Bartram|Since traveling is such a big part of my life when I am working, I like to vacation relatively close to home. Florida is a great place for me to go and relax. It's so close, which is perfect because it's the minimal travel time.
Debasish Mridha|To understand the universe, look deep into your heart.
Jonathan Safran Foer, Eating Animals|To be a vegetarian is to disagree - to disagree with the course of things today... starvation, cruelty - we must make a statement against these things. Vegetarianism is my statement. And I think it's a strong one.
Richard Powers, Orfeo|We will not sleep, but will all be changed, in a moment, in the twinkling of an eye. You'll see me again. But you'll never know when. Hear that shifting, ambiguous rhythm, that promise of all things possible, and the ear is on its way to being free.
Lewis Tappan|The die is set and Malcolm will not escape for the foolish talk he spoke against his benefactor, such a man, is worthy of death, and it would have been so, were it not for Muhammad's confidence that God would give him the victory over the enemies.
James Van Pelt|The teacher took two long strides and stood beside Parker’s desk. Before the boy could speak, Mr. Earl threw the desktop open. For a second, he stared into it. A white glow reflected off his face.“What is this?” he said, as he reached toward the brightness. “Careful, Mr. Earl,” Parker started to say, but it was too late.The teacher screeched before lurching against the desk. He went down quickly, his feet vanishing into the desk last.
Parul Wadhwa, The Masquerade|The food in the hostel mess is worst of a kind. The grief in my words reach easily to those who have "been there and done that" Chapatti in the meal is either so uncooked or overly cooked and you can only expect dal in the ocean of water when you are ready to swim.
Dodie Smith|There was a wonderful atmosphere of gentle age, a smell of flowers and beeswax, sweet yet faintly sour and musty; a smell that makes you feel very tender towards the past.
Heather Brooke|If we wander around as politicians jumping at every shadow and desperately afraid of having our words taken out of context or attacks layered on in an unfair way, I think we're actually doing a disrespect to Canadians, to people's intelligence.
Mehmet Murat ildan|He who claims to have travelled in the hard roads, let him show his shoes for the proof!
Mary Abshire, Immortal Revenge|One day you’re a college graduate, in love with Mr. Right and looking for a job. The next day, your Rambo.”“Your timeline is off. And can we lose the Rambo part?
Robert Kroese, The Big Sheep|When the odds are hopeless, when all seems to be lost, then is the time to be calm, to make a show of authority – at least of indifference
Marianne Williamson|Christmas and Easter are attitudinal bookends for an enlightened world view. With an enlightened view of Christmas, we understand that it is within our power through God to give birth to a divine self. With an enlightened view of Easter, we understand that this self is the power of the universe before which death itself has no real power. Resurrection is the symbol of joy, it is the great 'ah-ha!' The acceptance of the resurrection is the realization of the fact that we need wait no longer to see ourselves as healed and whole.
litymunshi|there are signs to find ,understand person who is in love _ in little of sickness or in little success ,or failure ,their eyes ,and heart looks for their lovers .this is for both ,to understand depth of human relationship.which is so strong bonded .
Hina Hashmi, Your Life A Practical Guide to Happiness Peace and Fulfilment|The best stories come from deep within us and are of us. Either our inner child comes out to play and makes all things possible, or we mold our characters and events from our own experiences, or our dreams of wanting to experience.
Nanao Sakaki, Break the Mirror|When in doubt, tell the truth. When in pain, listen to the wind.
Catherynne M. Valente, Palimpsest|Their happiness was the kind which is fashioned of the comfortable disorder of sauvignon bottles and coffee cups in the sink, paperback thrillers with split spines on the nightstand, bathrobes hung haphazard on high-backed, brocade-seated chairs, shutters left open all night, and the hallway ever in need of new paint.
Raymond D. Longoria Jr.|A mothers Love is as deep and powerful as any ocean, in the depths of it forgiveness forever is found for her wandering child.
Benjamin Disraeli|The education that prepared me was my general education classes, which I tried to avoid when I was a stupid undergraduate, but which gave me the foundation of general knowledge that makes a career as a writer possible.
Mayim Bialik|What lingers from the parent's individual past, unresolved or incomplete, often becomes part of her or his irrational parenting.
Andre Agassi, Open|Wisdom of the Ages "Assault and Battery" Weather forecast for the St. Louis Rams next Sunday in Seattle.
Mary Karr, Lit|I'm bred for farm work, and for such folk, the only A's you get come from effort. Strife and strain are all the world can offer, and they temper you into something unbreakable because Lord knows they'll try -- without let up -- to break you.
G.S. Jennsen, Relativity|Alex thrust her hand and half her arm into the labyrinth of light. Her stare blanked, and in the halo of the matrix her eyes and glyphs blazed so radiantly she looked as if she were being consumed by a primordial fire.“She just stuck her hand into Machim Command’s central server matrix!”Caleb smiled, watching on in blatant awe. “She does that.
Josh Dun|Fight and eliminate your evil thoughts for your honour, and own respect to become the best, and the great human, if you are the conscious and sentient person.
Louisa May Alcott|Create your own method. Don't depend slavishly on mine. Make up something that will work for you! But keep breaking traditions, I beg you.
Leigh Goff, Disenchanted|I threw my hands on my hips, shocked by the irony. A Mather helping a Greensmith? Hell was freezing over somewhere beneath our feet and every kind of farm animal was sprouting wings to fly.
Sarah Vowell, Unfamiliar Fishes|After Hiram Bingham built the first church on Oahu the student recalls, "When it was completed some of the natives said among themselves, 'That house of worship built by the haoles is a place in which they will pray us all to death. It is meant to kill us.
David Paul Kikrpatrick|Jesus walked to a solitary place to pray. He went somewhere and found a physical place. We must do the same, so the “going to”, and “the passing through” become a beautiful imitation of our Teacher as we seek to be like Him and be with Him. “Very early in the morning, while it was still dark, Jesus got up, left the house, and went off to a solitary place where he prayed.” (Mark 1:35)
AJ Lee|It seems like once people grow up, they have no idea what's cool.
Melodie Ramone, Burning Down Rome|Dear Natasha,It's the middle of the night. I can't sleep. Thoughts are creeping through my head like darkness slips around the bodies of sky scrapers in every city we've ever been to. From the bottom up, suffocating the life on the street first and then raising to the head and the brain, circling into smog and clouds until the black stretches up so high that nobody can even remember what the stars used to look like.This is how I feel when I lie awake and think of you. I miss you.
Israelmore Ayivor, Shaping the dream|No matter how you are taught by your teacher about how to recite a poem, it is impossible to wear your teacher's smiling face to the stage. You got to change your own face into a smiling one!
Tony Randall|The poet does not fear death, not because he believes in the fantasy of heroes, but because death constantly visits his thoughts and is thus an image of a serene dialogue.
Jodi Livon, The Happy Medium: Speaking the Language of Intuition|What we see, what we say, and what we think is what we get.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|Yahweh, you are awesome in power!
Jessica Valenti|There is an expectation that we can talk about sins but no one must be identified as a sinner: newspapers love to describe words or deeds as “racially charged” even in those cases when it would be more honest to say “racist”; we agree that there is rampant misogyny, but misogynists are nowhere to be found; homophobia is a problem, but no one is homophobic. One cumulative effect of this policed language is that when someone dares to point out something as obvious as white privilege, it is seen as unduly provocative. Marginalized voices in America have fewer and fewer avenues to speak plainly about what they suffer; the effect of this enforced civility is that those voices are falsified or blocked entirely from the discourse.
Victoria Stoklasa, Buddhism and Politics: Citizens, Politicians, and the Noble Eightfold Path|Many people who have an interest in politics feel they should proclaim—loudly, and at any given time—what their views are and why the “other side” is wrong. These proclamations appear in many forms, from scathing letters to the editor to frothing-at-the-mouth comments on blogs and internet videos. Although expression and debate are vital parts of policymaking, political speech should be used to push forward ideas that will help others.
Luis Bunuel|I know not age, nor weariness nor defeat.
Tere Liye, Hujan|Tidak ada kabar adalah kabar, yaitu kabar tidak ada kabar. Tidak ada kepastian juga adalah kepastian, yaitu kepastian tidak ada kepastian. Hidup ini juga memang tentang menunggu. Menunggu kita untuk menyadari: kapan kita akan berhenti menunggu.
Amit Kalantri|There was a product which seemed attractive, expensive, portable, beautiful and simple. Everybody talked about its beauty but they bought it for it's simplicity.
Sami Abouzid|Each and every day, I miss you baby, please don't go away. I need you lady, you're the sunshine of my lonely life, in this life I know, it's hard to find you, oh don't let me go, I'll die without you, each and every night I'm crying to be with you ……
Megan Rivers, A Fateful Melody: A Fictional Memoir|I had no idea what the lyrics were in the song, but his voice wrapped around my head, weaving through my hair, and whispered into my ears that made me drunk with a feeling I never felt before.
Tacitus, The Annals of Imperial Rome|It didn't come from the Government down. There was no dictum, no declaration, no censorship, to start with, no! Technology, mass exploitation, and minority pressure carried the trick, thank God.
Maria Semple|I made a real specific decision when I came out of school and most artists were writing about home - if you were a woman, you were writing about being a woman - and I decided not to do that, write about what you know. That's not what I do. I went as far away from home as possible in terms of the development of my imagination.
Jamie McGuire, Beautiful Oblivion|…these books have their own integrity, their own identity. It is not about the words in there. You don’t need to read these books. Words are there to confuse you. They are just messing around with your mind. You have to look beyond words. There is a big secret somewhere in these books and I am going to find it. And you know that, but you are afraid to admit it. It is dangerous.
Hugh Prather, I Touch the Earth, the Earth Touches Me|We all want to escape our circumstances, don't we? Especially if you are an actor.
Paul David Washer|Why is Jesus’ saying, “I am!” so important? Because, you’re not!
Nadria Tucker, The Heaviest Corner on Earth|He never had nothing of his own before, except the kid, and he can’t claim but half the credit, there, maybe less. T.J.’s blond like his mamma, and stubborn, too. Won’t let nobody hold him except her. Cries every time his daddy picks him up. Every time he looks in those wet blue eyes, he nearly loses it. His own son hates him. Can’t blame the kid for having an opinion.
V.S. Carnes, Sand for Dreams|He wanted to die. He prayed for it. Through the roar in his ears, he begged for it.
Jim Butcher, Fool Moon|The demon trapped in the summoning circle screamed, slamming its crablike pincers against the unseen barrier, hurling its chitinous shoulders from side to side in an effort to escape the confinement. It couldn't. I kept my will on the circle, kept the demon from bursting free."Satisfied, Chauncy?" I asked it.The demon straightened its hideous form and said, in a perfect Oxford accent, "Quite. You understand, I must observe the formalities.
Etienne Vermeersch|The universe, the whole mass of things that are, is corporeal, that is to say, body, and hath the dimensions of magnitude, length, breadth and depth. Every part of the universe is ‘body’ and that which is not ‘body’ is no part of the universe, and because the universe is all, that which is no part of it is nothing, and consequently nowhere.
Nathaniel Hawthorne|Words - so innocent and powerless as they are, as standing in a dictionary, how potent for good and evil they become in the hands of one who knows how to combine them.
Aleksandra Ninkovic|The moment we refuse to hurt others because of our own pain, is the time we evolve as souls.
Catherynne M. Valente, Radiance|The problems of the past.How the problems of the past, uncorrected, inevitably became the problems of the future.
Renee Rose, The Don's Daughter|Are those the Edible Undies cupcakes?” one of the women in the kitchen asked.	“They’re the Nipple Lickers,” Kimmie answered. “Without the nipples.”	“I heard you perfected the Sex on a Peach cupcakes,” another feminine voice said.	“Can you squeeze me in for a double order of Spank Me Strawberries the weekend before Knot Fest?
Taylor Kinney|What's on my playlist when I'm fighting is not so much hip-hop. Sometimes, it's something more inspirational. I get a chance to think about what I'm fighting for, like, my family. It takes me to that state because a lot of times, it's a spiritual warfare for me.
Liao Yiwu, God is Red: The Secret Story of How Christianity Survived and Flourished in Communist China|In these remote corners, I have discovered a center point, where East met West, and although there has been a collision of cultures, there is now a new Christian identity that is distinctly Chinese. The circuitous mountain path in Yunnan province is red because over many years it has been soaked with blood.
Mary Lambert|If I do find myself walking up the aisle and dancing at my own wedding reception, I want the first dance to be both spontaneous and dramatic.
Stefan Molyneux|Appeasers will always try to get the least dangerous person to bend to the most dangerous person. This is one of the main problems in dysfunctional relationships. The more mature and rational you are the more you are victimized because, they are aware that you're not going to be as aggressive, destructive, or possibly as abusive and so you are the one who has to bend. You're the one who has to change and this constant rapping of rational people's souls around the prickly irrationalities of other people are what appeasers are constantly doing.
Robin S. Sharma|.the fire can heal. Somebody needs to see the light, somebody needs to feel the heat. Burn..
Iain Banks|In the end, he had to admit, he didn't really understand her. He didn't understand women. He didn't understand men. He didn't even understand children very well. All he really understood, he thought, was himself and the rest of the universe. Neither anything like completely, of course, but both well enough to know that what remained to be discovered would make sense; it would fit in, it could all be gradually and patiently fitted together a bit at a time, like an infinite jigsaw puzzle, with no straight edges to look for and no end in sight, but one in which there was always going to be somewhere for absolutely any piece to fit.
Paulo Coelho|And the attitude of faith is the very opposite of clinging to belief, of holding on.
Lailah Gifty Akita, Think Great: Be Great!|Freedom is the courage to resist anything, which obstructs your dream.
Nina Leavins|If weakness pervades the body, then it's mind we must strengthen
Anthony Burgess, Earthly Powers|We are not only contingent beings, dependent on the love and will of a Creator whom we cannot know experientially except in so far as he reveals to us our personal relationship with him as his sons - we are also sinners who have FREELY REPUDIATED this relationship. We have rebelled against him. The spirit of rebellious refusal persists in our heart even when we try to return to him. Much could be said, at this point, about all the subtlety and ingenuity of religious egoism which is one of the worst and most ineradicable forms of self-deception. Sometimes one feels that a well-intentioned and inculpable atheist is in many ways better off - and gives more glory to God - than some people whose bigoted complacency and inhumanity to others are signs of the most obvious selfishness! Hence we not only need to recover an awareness of our creaturehood; we also must repair the injury done to truth and to love by this repudiation, this infidelity. But how? Humanly speaking, there is no way in which we can do this.
Ralph Waldo Emerson, The Essays of Ralph Waldo Emerson|Why covet a knowledge of new facts? Day and night, house and garden, a few books, a few actions, serve us as well as would all trades and all spectacles. We are far from having exhausted the significance of the few symbols we use. We can come to use them yet with a terrible simplicity.
David Carradine|If you cannot be a poet, be the poem.
Simon Van Booy, Love Begins in Winter: Five Stories|Music helps us understand where we have come from but, more importantly, what has happened to us.
Darmie O-Lujon|In life you’ll face difficulties that postpone some of your dreams. Regardless, life goes fast by reminding us youth is finite and old age is stable. So you mustn’t stop dreaming and running while your strength is yet tough.
Adam Baker, Outpost|I read a lot of travel books before I came here. Fantasised what it would be like. I read Scott’s journal. Those last entries as they froze to death in that tent. ‘Had we lived, I should have made a tale to tell of the hardihood, endurance and courage of my companions which would have stirred the heart of every Englishman.’ I got totally caught up in the romance.”“Scott was a self-aggrandising dick.
Jaachynma N.E. Agu|Our thoughts create our lifestyle, if you live healthy, it means you think healthy thoughts and if you think unhealthy thoughts, it will reflect in your health and lifestyle too.
