Michael Bassey Johnson|Music replays the past memories, awaken our forgotten worlds and make our minds travel.
Rachel Robins, How To Feel Good About Yourself - Boost Your Confidence & Tackle Low Self Esteem. Packed with Self Improvement Techniques, Positive Thinking Tips & Inspirational Quotes|When you’re comfortable and content with who you are, the voices of others who try and define, control or direct you are not important.
Ilya Ilyin|Sometimes when I speak to groups or I'm interviewed by a journalist, I ask them to imagine their communities without Girl Scouts - to imagine the thousands of food drives and clothing and toy collections that would never take place if not for Girl Scouts.
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|My plans for this day are simple: Step one accomplished, I woke up. Now take a moment to be thankful for my gift. The gift of another chance. I have been blessed to have another day with my loved ones and the people I care about. Next step, Choose to be Happy. Remembering that it is a choice. If this were to be my last day, I would not want to live it with hate, anger or discontent in my heart. Last step, Attack Life! Remind myself to never take the gift of another day for granted, because unfortunately this morning there are many that will not complete step one.
Frank Herbert|To see more than a reflection requires us to filter what we see, to view the world with honest eyes.
Eka Prasetyani|There's a way, a way way too long but reachable, not for everyone a way but possible... Go and don't lose your way!
Abhijit Naskar|Everything that humans have achieved until now, were once merely an imagination in someone’s head.
David Sedaris, Me Talk Pretty One Day|Definitions, contrary to popular opinion, tell us nothing about things. They only describe people's linguistic habits; that is, they tell us what noises people make under what conditions.
Deyth Banger|How do I read so many books?Let's keep it as a secret!How do I know so much?Okay, this I will reveal, I have curiosity most people say that cats die from curiosity, but I like that fact... I'm curious and from it I know a lot of!
April Genevieve Tucholke, Between the Devil and the Deep Blue Sea|we're all freaks sometimes, Melody," he replied. "You're just... well, better at it than most.
William Carlos Williams|All we’re trying to do is word the world. Detail is one way we do that. We enumerate, notate, name the things seen.
Joseph Auslander|Thanksgiving is America's favorite holiday because it's a time when we put aside our cares, much as the struggling Pilgrims did nearly four centuries ago, and eat a gut-busting meal without worrying about the 'out years.'
Nikki Rowe|For a long time imagination was all i had. I allowed it to take me to all the places i yearned to be, all the sights i longed to see, make beauty out of all thats been and create art from this suffering.
Steve   Brown, Approaching God: Accepting the Invitation to Stand in the Presence of God|If there is no laughter, Jesus has gone somewhere else. If there is no joy and freedom, it is not a church: it is simply a crowd of melancholy people basking in a religious neurosis. If there is no celebration, there is no real worship.
Ruth Ahmed, When Ali Met Honour|it’s funny how I’m encouraged to go to school so much, but I’ve learned more valuable things on google then from school.
Abraham Lincoln|I know there was a time, when our country was new, when the assignment of these numbers helped organize something that was on the brink of not existing. But we are no longer that country. We are so much more now.
Cassandra Clare, City of Bones|Jace?""Yeah?""How did you know I had Shadowhunter blood? Was there some way you could tell?"The elevator arrived with a final groan. Jace unlatched the gate and slid it open. The inside reminded Clary of a birdcage, all black metal and decorative bits of gilt. "I guessed," he said, latching the door behind them. "It seemed like the most likely explanation.""You guessed? You must have been pretty sure, considering you could have killed me."He pressed a button in the wall, and the elevator lurched into action with a vibrating groan that she felt all through the bones in her feet. "I was ninety percent sure.""I see," Clary said.There must have been something in her voice, because he turned to look at her. Her hand cracked across his face, a slap that rocked him back on his heels. He put a hand to his cheek, more in surprise than pain. "What the hell was that for?"The other ten percent," she said, and they rode the rest of the way down to the street in silence.
kurbhatt|don't try to be best, try to give your best.
Carol Ann Duffy, Rapture|Uninvited, the thought of you stayed too late in my head,so I went to bed, dreaming you hard, hard, woke with your name,like tears, soft, salt, on my lips, the sound of its bright syllableslike a charm, like a spell.Falling in loveis glamorous hell; the crouched, parched heartlike a tiger ready to kill; a flame's fierce licks under the skin.Into my life, larger than life, beautiful, you strolled in. I hid in my ordinary days, in the long grass of routine,in my camouflage rooms. You sprawled in my gaze,staring back from anyone's face, from the shape of a cloud,from the pining, earth-struck moon which gapes at meas I open the bedroom door. The curtains stir. There you areon the bed, like a gift, like a touchable dream."You
Celia Rivenbark, Bless Your Heart, Tramp: And Other Southern Endearments|Never marry something until you've established the perfect pizza ratio...The premise is simple. My husband and I knew we were made for each other because we're a 6:2 ratio, six slices for him and two for me...Never marry a man who wants two slices one week and four the next. They're undependable and highly unpredictable and will likely dump you for some Internet honey who says she doesn't mind his back hair.
Azar Nafisi, Reading Lolita in Tehran|How many beginnings can a story have, Daddy?""As many as you can eat, my lamb. But only one ending. Or maybe it's the other way around: one beginning and a whole Easter basket of endings.""Papa, don't be silly... A story has to start somewhere. And then it has to end somewhere. That's the whole point. That's how it is in real life.""But that's not how it is in real life, Rinny. Real life is all beginnings. Days, weeks, children, journeys, marriages, inventions. Even a murder is the beginning of a criminal. Perhaps even a spree. Everything is prologue. Every story has a stutter. It just keeps starting and starting until you decide to shut the camera off. Half the time you don't even realize that what you're choosing for breakfast is the beginning of a story that won't pan out till you're sixty and staring at the pastry that made you a widower. No, love, in real life you can get all the way to death and never have finished one single story. Or never even get one so much as half-begun.
Cher Lloyd|History,' Mari muttered, as if she'd overheard his thoughts. 'Why do we need to know what happened before we were born?' 'So hopefully we get smarter and don't make the same mistakes again.
Sharon Kay Penman, The Reckoning|Let me advise you, my dear young friend-- nay, let me warn you with all seriousness, that should you leave these rooms you will not by any chance go to sleep in any other part of the castle. It is old, and has many memories, and there are bad dreams for those who sleep unwisely.
Alvin Plantinga, Warranted Christian Belief|Most of us form estimates of our intelligence, wisdom, and moral fiber that are considerably higher than an objective estimate would warrant; no doubt 90 percent of us think ourselves well above average along these lines.
Lou Rawls|In my deepest, darkest moments, what really got me through was a prayer. Sometimes my prayer was 'Help me.' Sometimes a prayer was 'Thank you.' What I've discovered is that intimate connection and communication with my creator will always get me through because I know my support, my help, is just a prayer away.
Rebecca Wells, Little Altars Everywhere|Good Lord didn't mean for us to hate ourself. He made us to love ourself like He do, with wide open arms.
Gillian Jacobs|My mom had a job, and she also took care of us, and she also took care of Dad - I always saw her pulling triple duty, doing more than I ever felt like she needed to. I made a promise to myself that it would be more of a team effort in my family someday. And because of that, I became more independent.
Billy Graham, Billy Graham in Quotes|Unless men of purpose, integrity, and faith stand together in unswerving loyalty to Jesus Christ, the future of the world is dark indeed.
Connie Kerbs, Paths of Fear: An Anthology of Overcoming Through Courage, Inspiration, and the Miracle of Love|No matter how old you are, you always want your mother’s love and acceptance. I guess I’m hoping one day I’ll get it back.
J. Richard Singleton|If there's one thing I know about women, it's that they have vaginas.
Theresa Lewis, Rising Above Adversity: Finding God's Purpose Through Your Pain|True happiness is a gift from God, find your happy place and stay there.
Matshona Dhliwayo|You can curse the sun a thousand times, but cannot keep it from shining, even for a day.
Giuseppe Zanotti|I'm experimenting in public. At the design grad schools, these are people sitting around in groups, putting their work on a wall, analyzing it and putting it back in a drawer. I think there's little risk in that.
Joyce Carol Oates|Honest Winter, snow-clad, and with the frosted beard, I can welcome not uncordially; But that long deferment of the calendar's promise, that weeping gloom of March and April, that bitter blast outraging the honour of May how often has it robbed me of heart and hope?
Flannery O'Connor|No one should ever say that it was my ignorance if I did or showed forth anything however small according to God's good pleasure; but let this be your conclusion and let it so be thought, that - as is the perfect truth - it was the gift of God.
Pierre Teilhard de Chardin|You have told me, O God, to believe in hell. But you have forbidden me to think...of any man as damned
Shweta Ganesh Kumar, Between The Headlines|The witch-hunt narrative is now the conventional wisdom about these cases. That view is so widely endorsed and firmly entrenched that so widely endorsed and firmly entrenched that there would seem to be nothing left to say about these cases. But a close examination of the witch hunt canon leads to some unsettling questions: Why is there so little in the way of academic scholarship about these cases? Almost all of the major witch-hunt writings have been in magazines, often without any footnotes to verify or assess the claims made. Why hasn't anyone writing about these cases said anything about how difficult they are to research? There are so many roadblocks and limitations to researching these cases that it would seem incumbent on any serious writer to address the limitations of data sources. Many of these cases seem to have been researched in a manner of days or weeks. Nevertheless, the cases are described in a definitive way that belies their length and complexity, along with the inherent difficulty in researching original trial court documents. This book is based on the first systematic examination of court records in these cases.
Carol S. Pearson, Awakening the Heroes Within: Twelve Archetypes to Help Us Find Ourselves and Transform Our World|He was always running or bounding, never just walking. He seemed always at the point of defeating the law of gravity.
Nora Ephron|Those unexpected morality lessons provided by the trip had jolted me into some kind of action. It was time to jettison the past before the present jettisoned me. This was my first veiled attempt at recovery. Although perhaps I was just running away again. I returned to Glasgow, planning to say a final goodbye to Anne and get out of her life, but ended up drinking with buddies in the Chip Bar and never seeing her. I called her instead to say I was moving to London and told her she could have the house and everything else we owned, which wasn't much. I think she was as relieved as I was that I was leaving town for good.
Mykyta Isagulov|…And the sound of the sea, like the wild-animal breath of the world itself, frightened them as it gasped and died at their feet.
Nick Hornby, The Polysyllabic Spree|Hey, great idea: if you have kids, give your partner reading vouchers next Christmas. Each voucher entitles the bearer to two hours' reading time *while the kids are awake*. It might look like a cheapskate present, but parents will appreciate that it costs more in real terms than a Lamborghini.
Marty Rubin|After one has read everything and thought everything, one still have everything to learn.
William Shakespeare, King Lear|That such a slave as this should wear a sword,Who wears no honesty. Such smiling rogues as these,Like rats, oft bite the holy cords atwainWhich are too intrinse t' unloose; smooth every passionThat in the natures of their lords rebel,Being oil to the fire, snow to the colder moods,Renege, affirm, and turn their halcyon beaksWith every gale and vary of their mastersKnowing naught, like dogs, but following.
Sharon M. Draper, Out of My Mind|Words.I’m surrounded by thousands of words. Maybe millions. Cathedral. Mayonnaise. Pomegranate.Mississippi. Neapolitan. Hippopotamus.Silky. Terrifying. Iridescent.Tickle. Sneeze. Wish. Worry.Words have always swirled around me like snowflakes—each one delicate and different, each one melting untouched in my hands.Deep within me, words pile up in huge drifts. Mountains of phrases and sentences and connected ideas. Clever expressions. Jokes. Love songs.From the time I was really little—maybe just a few months old—words were like sweet, liquid gifts, and I drank them like lemonade. I could almost taste them. They made my jumbled thoughts and feelings have substance. My parents have always blanketed me with conversation. They chattered and babbled. They verbalized and vocalized. My father sang to me. My mother whispered her strength into my ear.Every word my parents spoke to me or about me I absorbed and kept and remembered. All of them.I have no idea how I untangled the complicated process of words and thought, but it happened quickly and naturally. By the time I was two, all my memories had words, and all my words had meanings.But only in my head.I have never spoken one single word. I am almost eleven years old.
Buzz Aldrin|A library is a place that is a repository of information and gives every citizen equal access to it. That includes health information. And mental health information. It's a community space. It's a place of safety, a haven from the world.
Juliet Marillier, Heir to Sevenwaters|If she were here I wouldn't be able to keep my hands off her. I would hold her so close she'd beg me to let her breathe. I'd kiss her so hard she'd plead for mercy. I'd unfasten her clothing and lie with her on that hard bed, and what was between us would be as far above the ordinary congress between man and woman as the stars are above their pale reflections in the lake below.
C. S. Lewis|If human beings had genuine courage, they'd wear their costumes every day of the year, not just on Halloween.
Cassandra Clare, City of Ashes|She turned back to Jace. "Do you have to be so-," she began, but stopped when she saw his face. It looked stripped down, oddly vulnerable."Unpleasant?" he finishes for her. "Only at days when my adoptive mother tosses me out of the house with instructions never to darken her door again. Usually I'm remarkably good-natured. Try me on any day that doesn't end in y.
Kirk Hammett|I've never made any horrible, horrible movies. If you don't ruin your reputation, you can always get work.
Charles Stross, The Nightmare Stacks|Old Enochian running on neural wetware is not the fastest procedural language ever invented, and it’s semantics make AppleScript look like a thing of elegance and beauty
H. Rider Haggard, Moon of Israel|I have spent much of my life around death. I have sat with people as they died. I have listened to others relate near-death experiences. I have studied theology and am aware of what scriptures and religions say about life and death. And I have come to the conclusion that death is not to be feared. Moreover, when it is time for me to move out of this tenement in which I am housed, I intend to look forward to it joyfully.
Debbie Macomber, Mrs. Miracle|Envy is the religion of the mediocre. It comforts them, it soothes their worries, and finally it rots their souls, allowing them to justify their meanness and their greed until they believe these to be virtues. Such people are convinced that the doors of heaven will be opened only to poor wretches like themselves who go through life without leaving any trace but their threadbare attempts to belittle others and to exclude - and destroy if possible - those who, by the simple fact of their existence, show up their own poorness of spirit, mind, and guts. Blessed be the one at whom the fools bark, because his soul will never belong to them.
DANNY KURIAN|He who can, can...He who cannot, cannot...But, He who can and will not, Fails.
Gordon Merrick, The Lord Won't Mind|Never Judge a Book by its Cover". This quote doesn't apply to books only, but also to people, places and everything else.
Alan Dershowitz|He darted for her; his blade wielded smooth and steady in front of him. She didn't hold back either; when they joined, their weapons clanked and sparked with an icy rage. They danced around one another; their feet light yet balanced, their arms twisting and turning with every thundering blow they made.
Jim Morrison|Listen, real poetry doesn't say anything; it just ticks off the possibilities. Opens all doors. You can walk through anyone that suits you.
Alexander McCall Smith, Morality for Beautiful Girls|Mma Ramotswe had listened to a World Service broadcast on her radio one day which had simply taken her breath away. It was about philosophers who called themselves existentialists and who, as far as Mma Ramotswe could ascertain, lived in France. These French people said that you should just live in a way which made you feel real, and that the real thing to do was the right thing too. Mma Ramotswe had listened in astonishment. You did not have to go to France to meet existentialists, she reflected; there were many existentialists right here in Botswana. Note Mokoti, for example. She had been married to an existentialist herself, without even knowing it. Note, that selfish man who never once put himself out for another--not even for his wife--would have approved of existentialists, and they of him. It was very existentialist, perhaps, to go out to bars every night while your pregnant wife stayed at home, and even more existentialist to go off with girls--young existentialist girls--you met in bars. It was a good life being an existentialist, although not too good for all the other, nonexistentialist people around one.
Shannon A. Thompson, November Snow|The weather appeared to have somewhat cleared up; the rain no longer fell, a fresh wind swept the streets, and the moon, now and then surrounded by dark clouds, now and then shining in full brilliancy, shed its rays, smooth and cold as blades of steel, upon the thousand pools of water lying in the hollows of the paving-stones. ("The Child Stealer")
Melina Marchetta, Saving Francesca|What - what - what are you doing?" he demanded."I am almost six hundred years old," Magnus claimed, and Ragnor snorted, since Magnus changed his age to suit himself every few weeks. Magnus swept on. "It does seem about time to learn a musical instrument." He flourished his new prize, a little stringed instrument that looked like a cousin of the lute that the lute was embarrassed to be related to. "It's called a charango. I am planning to become a charanguista!""I wouldn't call that an instrument of music," Ragnor observed sourly. "An instrument of torture, perhaps."Magnus cradled the charango in his arms as if it were an easily offended baby. "It's a beautiful and very unique instrument! The sound box is made from an armadillo. Well, a dried armadillo shell.""That explains the sound you're making," said Ragnor. "Like a lost, hungry armadillo.""You are just jealous," Magnus remarked calmly. "Because you do not have the soul of a true artiste like myself.""Oh, I am positively green with envy," Ragnor snapped."Come now, Ragnor. That's not fair," said Magnus. "You know I love it when you make jokes about your complexion."Magnus refused to be affected by Ragnor's cruel judgments. He regarded his fellow warlock with a lofty stare of superb indifference, raised his charango, and began to play again his defiant, beautiful tune.They both heard the staccato thump of frantically running feet from within the house, the swish of skirts, and then Catarina came rushing out into the courtyard. Her white hair was falling loose about her shoulders, and her face was the picture of alarm."Magnus, Ragnor, I heard a cat making a most unearthly noise," she exclaimed. "From the sound of it, the poor creature must be direly sick. You have to help me find it!"Ragnor immediately collapsed with hysterical laughter on his windowsill. Magnus stared at Catarina for a moment, until he saw her lips twitch."You are conspiring against me and my art," he declared. "You are a pack of conspirators."He began to play again. Catarina stopped him by putting a hand on his arm."No, but seriously, Magnus," she said. "That noise is appalling."Magnus sighed. "Every warlock's a critic.""Why are you doing this?""I have already explained myself to Ragnor. I wish to become proficient with a musical instrument. I have decided to devote myself to the art of the charanguista, and I wish to hear no more petty objections.""If we are all making lists of things we wish to hear no more . . . ," Ragnor murmured.Catarina, however, was smiling."I see," she said."Madam, you do not see.""I do. I see it all most clearly," Catarina assured him. "What is her name?""I resent your implication," Magnus said. "There is no woman in the case. I am married to my music!""Oh, all right," Catarina said. "What's his name, then?"His name was Imasu Morales, and he was gorgeous.
Nancy Mitford, Christmas Pudding|... it is quite funny really when you think that probably I would have married him if he'd been at all clever about it. But instead of putting it to me as a sensible business proposition he would drag in all this talk about love the whole time, and I simply can't bear those showerings of sentimentality. Otherwise I should most likely have married him ages ago.
Alain de Botton, Status Anxiety|Wealth is not an absolute. It is relative to desire. Every time we yearn for something we cannot afford, we grow poorer, whatever our resources. And every time we feel satisfied with what we have, we can be counted as rich, however little we may actually possess.
Daniel Nathans|Against the State, against the Church, against the silence of the medical profession, against the whole machinery of dead institutions of the past, the woman of today arises.
Israelmore Ayivor, The Great Hand Book of Quotes|Enroll your body, soul and spirit and engage your time to do what you know best. Dedicate yourself to the work at hand and you will be rewarded by the fruits you will bear!
Judd Nelson|If money was my only motivation, I would organize myself differently.
Tamora Pierce, Alanna: The First Adventure|Scummer, pox and wound rot!" roared Tunstall, slamming his fist down on the bed. "Gods cursed the pig-tarsed mammering craven currish beef-witted bum-licking gut-griping louts that did this to me! May every flea, leech and hookworm in all creation find and feast upon them!
Amy McNamara, Lovely, Dark and Deep|How did I not see it? Pain is everywhere. I'm just another sorry story. All these people wearing smiles, dragging themselves around--do they all know already? Do they realize how fast the world can change?
Julia Roberts|Magical realism allows an artist like myself to inject layers of meaning without being obvious. In American culture, where there is freedom of expression, this approach may seem forced, unnecessary and misunderstood. But this system of communication has become very Iranian.
Lesley Nicol|I tried the Atkins diet in the Seventies when pregnant with my son, as I didn't want to pile on the pounds. Now, so long as I'm healthy, I don't care what my scales say.
Tamora Pierce, Briar's Book|Tris: "I was reading." Sandry: "You're always reading. The only way people can ever talk to you is to interrupt." Tris: "Then maybe they shouldn't talk to me.
John Cheever|Strong characters are brought out by change of situation, and gentle ones by permanence.
George Vecsey|Some anthems are great for sports. You've got the Russian national anthem... 'O Canada,' how wonderful is that for hockey... but I chose the Italian national song because at my first World Cup, I saw the Italians play four times, and they won all four times - they won the championship.
Anthon St. Maarten, Divine Living: The Essential Guide To Your True Destiny|In this lifetime we are like Superman who must remain disguised as the nerdy newspaper journalist Clark Kent, or Harry Potter and his friends who are not allowed to do magic while they are on holiday, away from Hogwarts School of Witchcraft and Wizardry... but even Harry Potter and Clark Kent get to tap into their ‘special powers’ once in a while, especially when the going gets tough.
Daniel Pennac|He liked to start sentences with okay, so. It was a habit he had picked up from the engineers. He thought it made him sound smarter, thought it made him sound like them, those code jockeys, standing by the coffee machine, talking faster than he could think, talking not so much in sentences as in data structures, dense clumps of logic with the occasional inside joke. He liked to stand near them, pretending to stir sugar into his coffee, listening in on them as if they were speaking a different language. A language of knowing something, a language of being an expert at something. A language of being something more than an hourly unit.
Cameo Renae, Broken Wings|Where the veil broke, you could see silvery clouds on which tall angels might stand. Not cute little Christmas angels, but high, stern angels in white robes, whose faces were sad and serious from being near God all day and hearing His decisions about the world.
Rachel Kushner|People do really well on space missions, but it's the physiological, the medical stuff, the stuff like radiation, loss of bone mass and muscle mass and density. It's those things that we need to figure out.
Stephen Hawking|The history of every major galactic civilisation tends to pass through three distinct and recognisable phases, those of Survival, Enquiry and Sophistication, otherwise known as the How, Why and Where phases. For instance, the first phase is characterised by the question How can we eat?, the second by the question Why do we eat?, and the third but the question Where shall we have lunch?
Hugh Greene|Mine is a gruesome job, but for a scientist with a love for the mechanics of the human body, a great one.
Neal Stephenson|The Creator puts life into motion, and doesn’t just sit around all day moving each and every piece this way and that on his whims. If life was just one gigantic board game, God isn’t the banker or the leader, or even a collection of all the players. God is just the one who invented the game. You can be pissed all you want when something awful or even evil happens during the game, but you have no right to go and sue Milton Bradley.
Marilynne Robinson, Home|Fear is not to be overcome, or dreaded, or avoided, or expelled from our life; neither is it to be our dwelling, obsession or constant companion. But it should be respected, recognized, and humbly listened to for its singular solemn advice. Indeed, it's wise and cautionary warnings should always be heeded. Fear was designed to function as a familiar adviser, an overly critical, cautious, conservative friend - not our foe. When it is accepted, and appreciated for what it is, fear is a sage, a warning system, and one of our oldest, most experienced guides. When it holds itself at bay as necessary, it is like the security detail that waits at some serious attention in the back of the room, ever watchful, ever ready, benign, non-threatening - until circumstances require its sensitive, timely services.
Neil Gaiman, American Gods|...Minnesota, Wisconsin, all around there... has the kind of women I liked when I was younger. Pale-skinned and blue-eyed, hair so fair it's almost white, wine-colored lips, and round, full breasts with the veins running through them like a good cheese.
Nick Meglin, Drawing from Within: Unleashing Your Creative Potential|To spend time observing, without drawing, thinking, without drawing, or feeling, without drawing, is the misfortune of nonartists.
Mordecai Richler, Solomon Gursky Was Here|It seems to me that our lives are consumed by countless wasting years, but only a few shining moments. I missed mine. Yes is what I should have said. Of course I should have said yes.
Anonymous|Sandar came to stand beside him, frowning down at the crumpled High Lord. "He does not look so mighty lying there," he said wonderingly. "He does not look so much greater than me.
John T. Cacioppo, Loneliness: Human Nature and the Need for Social Connection|Real relief from loneliness requires the cooperation of at least one other person, and yet the more chronic our loneliness becomes, the less equipped we may be to entice such cooperation.
Nora Roberts, Born in Fire|How many times would he disappoint you in a day if you were married to him, Ursula wondered?
Roy  Bennett|Pursue what catches your heart, not what catches your eye.
Robbie Coltrane|I'm not everybody's cup of tea. But sometimes criticism can be hurtful. Be respectful. I'm a good piano player, I can sing well, I write good songs. If you don't like it, fair enough. But give me a break.
Chris Sullivan, The Joy of Quitting Cannabis: Freedom From Marijuana|I could understand why some fella’s take drugs just before their crimes: because they need something to help them quiet their minds. However, I don’t do drugs nor do I drink alcohol, but the thing that gets me high like a kite is a crime well done. Then there’s the scent of freshly fired gunpowder, or the sounds of the empty bullet casings hitting the ground as they are ejected each time I pull the trigger. These two things never fail to get me high; the truth is I’m seriously addicted to violence.
Jean-Yves Leloup, Compassion and Meditation: The Spiritual Dynamic between Buddhism and Christianity|Sometimes we must undergo hardships, breakups, and narcissistic wounds, which shatter the flattering image that we had of ourselves, in order to discover two truths: that we are not who we thought we were; and that the loss of a cherished pleasure is not necessarily the loss of true happiness and well-being. (109)
Kylie Gilmore, The Opposite of Wild|I don't ever forget things when it comes to you, Rebecca.” A dark emotion flashed in his eyes. “I can't make up for the years I didn't show, nor will I try because you can never make up for lost time, but you have to know how important you are to me.” -Hunter Beckman
Loretta Graziano Breuning, Habits of a Happy Brain: Retrain Your Brain to Boost Your Serotonin, Dopamine, Oxytocin,  Endorphin Levels|CONSIDER THIS When things do go wrong, ask yourself whether you could have prevented it by being unhappy.
Cassandra Clare|He opened his mouth. The words were there. He was about to say them when a jolt of terror went through him, the terror of someone who, wandering in a mist, pauses only to realise that they have stopped inches from the edge of a gaping abyss. The way she was looking at him - she could read what was in his eyes, he realised. It must have been written plainly there, like words on the page of a book. There had been no time, no chance, to hide it.“Will,” she whispered. “Say something, Will.”But there was nothing to say. There was only emptiness, as there had been before her. As there would always be.'I have lost everything', Will thought. 'Everything.
Chris Kraus, I Love Dick|All acts of sex were forms of degradation.... What do you do with the Serious Young Woman (short hair, flat shoes, body slightly hunched, head drifting back and forth between the books she's read)? You slap her, fuck her up the ass and treat her like a boy. The Serious Young Woman looked everywhere for sex but when she got it it became an exercise in disintegration. What was the motivation of these men? Was it hatred she evoked? Was it some kind of challenge, trying to make the Serious Young Woman femme?
Debasish Mridha|If you have no time to love everyone, then just love one, but don't forget to love.
Anna White, Mended: Thoughts on Life, Love, and Leaps of Faith|The idea of practicing love is deeply appealing to me, because built right in is an acceptance of imperfection. There is an acknowledgment to myself that I am going to mess this up, an understanding that there is room to grow. Each of my failures just affirms the truth that we are all starting over and rising again.
Jennifer L. Armentrout, The Problem with Forever|I was in love with him. I knew that much was true. Love was the swelling, hopeful feeling in my chest every time I saw him. Love was the way I could forget about everything when I was with him. Love was the catch in my breath when he looked at me in his intense way. Love was the gasp he could draw out of me with the simplest of touches. Love was the way I could... I could be myself around him, know that I didn't need to be perfect or worry about what he was thinking, because he accepted me.
Richelle E. Goodrich, Making Wishes|I opened my eyes today to a world that felt alien. For though things resembled the familiar, nothing was the same. Walls I once considered confining, crumbled at the slightest shove. Mountains that for ages had barred my view now faded, transparent. Meandering roads stretched out as straight as an arrow, void of stop signs. Obstacles no longer stood stationary. Pinnacles loomed within reach. Beasts were tame, bullies timid, wagging tongues all tied into knots, and in the palm of my hand glistened the end of a glorious rainbow. It took but a moment to realize that in my newfound sight, everything I’d ever longed for was accessible. Incredibly, the only thing that had really changed was the way I saw the world.
Eileen Egan|You can take course after course of so-called theology and never hear the message at the heart of Christianity—the message of Jesus, which is indiscriminate love.
Rick Riordan, The Last Olympian|Is this guy Love or Death?" Jason gr
Victoria Osteen|If the only prayer you ever say in your entire life is thank you, it will be enough.
Dave Eggers, What Is the What|This morning there s first a predictable story about Darfur; an expert on African affairs notes that seven thousand African Union troops patrolling a region the size of France have been ineffectual in preventing continued janjaweed terror. Funding for the troops is about to run out, and it seems that no one, including the United States, is ready to put forth more money or come up with new ideas to stop the killing and displacement. This is not surprising to those of us who lived through twenty years of oppression by the hands of Khartoum and its militias.
Jamie L. Harding|If you're going to fall in love with anyone, fall in love with a writer. Allow yourself to become immortalised in words.
Dada Bhagwan|One's ‘life’ is ‘fractured’; he does not even know what he is living for. What is the essence of the human life? It is that one can attain whatever life form one wants, or he can attain ultimate liberation (moksha) if he wants moksha.
Sophocles, The Complete Greek Tragedies|The world exists on thousands of different levels and just because some are more tragic than others, it doesn't make them any more valid. You fall into that way of thinking and you become so overwhelmed by the world's suffering, you go mad.
Elizabeth Hardwick|Here in Denmark, you can easily just be left alone. This is my 'hood, and people leave me alone; it's nice.
Carla J. Hanna, Starlet's Run|He was a shadow of the man that once intimidated us out of our home, a shell of a human being, a fragment of a father.
John Mark Green|When life gets dark, that's when stars appear among us. Shine bright, beautiful ones. Throw light from your burning hearts.
Balroop Singh|Hope is like sunshine, which is still there, shielded by cloudsHope is that light, which beckons to brighten our daysThe breezy buoyancy of hope stirs us to hold handsThe darkest of clouds disintegrate, says Mother Nature.
Emma Mills, First & Then|If you do not want to write, at least spit on a piece of paper, put it in an envelope, and send it to me. You are not taking any notice of me at all. God forgive you – all I wanted was a few words from you.
Chuck Palahniuk, Invisible Monsters|Besides, it happens fast for some people and slow for some, accidents or gravity, but we all end up mutilated. Most women know this feeling of being more and more invisible everyday.
Dana Marton, Deathwish|Fuck,” he murmured, his gaze tracking over her exposed chest and torso. “I was going to say this is going too fast.”	“You sure about that?” she murmured. 	“I don’t want to take advantage,” he continued, his voice strained as he sat up, staring down at her as if he didn’t know where to start.	Reaching behind her back, she unsnapped her black bra and let it slide down her arms as she sat half up. “Then let me take advantage of you.
Orlando Ortega-Medina, Jerusalem Ablaze: Stories of Love and Other Obsessions|Fresh wounds, in later years, often make interesting scars.
Max Lucado, Traveling Light: Releasing the Burdens You Were Never Intended to Bear|The contest of world's tallest skyscraper is a childish thing. Whereas with similar budget, they could construct flying building.
John Waters|A psychiatrist once told me early in treatment, “Stop trying to make me like you,” and what a sobering and welcome smack in the face that statement was. Yet somehow, every day of my life is still a campaign for popularity, or better yet, a crowded funeral.
Dwight L. Moody, The Men of the Bible|If we make a full surrender, God will give us something better than we have ever known before. We will get a new vision of Jesus Christ, and will thank God not only in this life but in the life to come. May God help each and every one of us to make a full and complete and unconditional surrender to God, fully and wholly, now and forever.
Renae A. Sauter, An Empowered Life: Mind/Body/Spirit Empowerment|In life; if you stay engaged in giving and receiving love, life will always be easier.
L.M. Montgomery, Emily of New Moon|Daughter," said the Hermit, "I have now lived a hundred and nine winters in this world and have never met any such thing as Luck.
Lorrie Moore, Like Life|Oh," she said. "I wasn't going to ask, but then you never said anything about it, so I thought I'd ask.""How about you?""Not me," said Odette. She had a poem about marriage. It began, Marriage is the death you want to die, and in front of audiences she never read it with much conviction. Usually she swung her foot back and forth through the whole thing.
John Keats, Letters of John Keats|Not even you can reach me here, Carmen thought.
A.E. Samaan|Meanwhile, allow me to be me ….in all forms.
Ziad K. Abdelnour, Economic Warfare: Secrets of Wealth Creation in the Age of Welfare Politics|Our MANDATE at Blackhawk is to create mega-millionaires. Period. More wealth for our clients, more power for all of us ...the People.
Walt Whitman|This is the city, and I am one of the citizens/Whatever interests the rest interests me
Irene Adler|Parker didn’t so much melt against him as he tried to inhabit the same skin Jake was wearing, and Jake wasn’t going to complain about that.
James Humes|Time is the father of truth, its mother is our mind.
Judith Spencer, Satans High Priest|Meg,” he whispered. “It wouldn’t be real love if there weren’t the possibility for another response to him. If we couldn’t choose not to love him, then our love would be empty. That’s why there’s evil in this world, because there’s free choice in this world. He allows the one to prove the other.
Ben Stein|At an early age, I started my own paper route. Once I saw how you could service people and do a good job and get paid for it, I just wanted to be the best I could be in whatever I did.
