P.C. Cast|Damien has died and gone straight to gay boy heaven,' Shaunee said...
Bacon Francis 1561-1626 Francis|Some books are to be tasted, others to be swallowed, and some few to be chewed and digested; that is, some books are to be read only in parts; others to be read, but not curiously; and some few to be read wholly, and with diligence and attention. Some books also may be read by deputy, and extracts made of them by others; but that would be only in the less important arguments, and the meaner sort of books, else distilled books are like common distilled waters, flashy things. Reading maketh a full man; conference a ready man; and writing an exact man. And therefore, if a man write little, he had need have a great memory; if he confer little, he had need have a present wit: and if he read little, he had need have much cunning, to seem to know, that he doth not. Histories make men wise; poets witty; the mathematics subtile; natural philosophy deep; moral grave; logic and rhetoric able to contend.----Alcuni libri devono essere gustati, altri masticati e digeriti, vale a dire che alcuni libri vanno letti solo in parte, altri senza curiosità, e altri per intero, con diligenza ed attenzione. Alcuni libri possono essere letti da altri e se ne possono fare degli estratti, ma ciò riguarderebbe solo argomenti di scarsa importanza o di libri secondari perché altrimenti i libri sintetizzati sono come l’acqua distillata, evanescente. La lettura completa la formazione di un uomo; il parlare lo fa abile, e la scrittura lo trasforma in un uomo preciso. E, pertanto, se un uomo scrive poco, deve avere una grande memoria, se parla poco ha bisogno di uno spirito arguto; se legge poco deve avere bisogno di molta astuzia in modo da far sembrare di sapere quello che non sa. Le storie fanno gli uomini saggi; i poeti arguti; la matematica sottile; la filosofia naturale profondi; la logica e la retorica abili nella discussione.
Madhuri Dixit|Stewardesses are still paid so little that in many cases, new hires qualify for food stamps.
Debi Gliori, No Matter What|I am the eye that beholds... And I am the dreamer that paints the stars in the night sky... For I am the one they call artist, and you call Love.
Maureen Brady|Even if our survival skills have become impediments we would like to let go of because they have ceased to serve us, we can still love ourselves with them. In appreciation of our survival, we can be awed at how our resources brought us through, even when these resources were things like indifference, a wall of rage, a cold heart…We learn to embrace ourselves as humans with faults and problems.
Diana Lynn|I always challenge myself. I get out in deep water and I always try to get back. But I get hung up. The audience never knows, but that's when I smile the most, when I show the most ivory.
Fran Lebowitz|In real life, I assure you, there is no such thing as algebra. 
Joey Lawsin|Macromanage, Not Micromanage
Ashim Shanker|What are the units of ontology really that I should be a part of a whole, but not be, in all my awareness, chiefly the whole unto itself?
James K.A. Smith, You Are What You Love: The Spiritual Power of Habit|We have created youth ministry that confuses extroversion with faithfulness. We have effectively communicated to young people that sincerely following Jesus is synonymous with being 'fired up' for Jesus, with being excited for Jesus, as if discipleship were synonymous with fostering an exuberant, perky, cheerful, hurray-for-Jesus disposition like what we might find in the glee club or at a pep rally.
Plato|One of the unsettling things about my journey, mentally, physically, and emotionally, was that I wasn’t sure when or where it was going to end. I didn’t know what I was going to do with my life. I felt that I was starting over and over again. I was always on the move, always going somewhere. While we walked, I sometimes lagged behind, thinking about these things. To survive each passing day was my goal in life. At villages where we managed to find some happiness by being treated to food or fresh water, I knew that it was temporary and that we were only passing through. So I couldn’t bring myself to be completely happy. It was much easier to be sad than to go back and forth between emotions, and this gave me the determination I needed to keep moving. I was never disappointed, since I always expected the worst to happen. There were nights when I couldn’t sleep but stared into the darkest night until my eyes could see clearly through it. I thought about where my family was and whether they were alive.
Jane Austen, Pride and Prejudice|A person may be proud without being vain. Pride relates more to our opinion of ourselves, vanity to what we would have others think of us.
George Washington Carver|In El Salvador, when neighbors were disappeared, tortured or killed, people doubted their own knowledge of the victims, and worried there must have been some secret guilt involved to deserve such punishment! That's how political terror succeeds.
Charlie Dent|Freedom of speech and thought matters, especially when it is speech and thought with which we disagree. The moment the majority decides to destroy people for engaging in thought it dislikes, thought crime becomes a reality.
Matshona Dhliwayo|Fear makes the possible look impossible;faith makes the impossible, possible.
|Don't be afraid to give your dream a try. Even if you fail, give it another try and several more until you excel. Success always comes from the willingness to never stop trying.
Philip K. Dick|[T]he term 'nonhuman' grates on me, since it lumps millions of species together by an absence, as if they were missing something. Poor things, they are nonhuman! When students embrace this jargon in their writing, I cannot resist sarcastic corrections in the margin saying that for completeness's sake, they should add that the animals they are talking about are also nonpenguin, nonhyena, and a whole lot more.
Witi Ihimaera, Nights In The Gardens Of Spain|Independence and free thought is what makes a person grow. By giving people the freedom and space to figure out who they are and be that, you give them the power to grow.
Lewis Black|They're so broke that they've actually cut essential services. In many places, they've cut policemen, because, who the fuck needs them? Or firemen, son of a bitch, it's much more fun watching something burn down.
Bobbie Ann Mason|Smokey Robinson writes the heartfelt songs, whereas it was my job to write the songs about weakness and failure in love.
Craig D. Lounsbrough|I would suggest that the prisons I incessantly create are not designed to lock me in, rather they are designed to lock the world out. And the oddity is that either way, I am a prisoner who has sentenced himself to a prison within which I do not belong.
Abhijit Naskar, Wise Mating: A Treatise on Monogamy|Forget organized religions. Forget scriptures. Forget Gods, Fathers, Sons and Spirits. Forget all dogmas taught by the representatives of theoretical religion, and then only you shall be able to visualize the true core of religion.
Anaïs Nin, Incest: From a Journal of Love|Reality doesn't impress me. I only believe in intoxication, in ecstasy, and when ordinary life shackles me, I escape, one way or another. No more walls.
Eliza Manningham-Buller, Securing Freedom: The Former Head of MI5 on Freedom, Intelligence, the Rule of Law, Torture and Security|It seemed to me that transhumanism was an expression of the profound human longing to transcend the confusion and desire and impotence and sickness of the body, cowering in the darkening shadow of its own decay. This longing had historically been the domain of religion, and was now the increasingly fertile terrain of technology.
Jon Ng, Dear Time: Circle of Life|Thing to know about the Reaches....It’s always trying to kill you. Even the empty places between the stars."Asher Corsair, Allies and Enemies: Rogues
Ted Nelson|Everybody wants you to do good things, but in a small town you pretty much graduate and get married. Mostly you marry, have children and go to their football games.
Katherine Boo, Behind the Beautiful Forevers: Life, Death, and Hope in a Mumbai Undercity|.. becoming attached to a country involves pressing, uncomfortable questions about justice and opportunity for its least powerful citizens.
Brittany Snow|As long as your intentions are solid and about growth and progression and being productive and not being idle, then you're doing good in my book.
Sunday Adelaja, The Mountain of Ignorance|If you are really angry, then you must be willing to pay the price of being alone or be remanded for someone else to have their freedom, illumination and justice.
Nikola Tesla|We need to give each other the space to grow, to be ourselves, to exercise our diversity. We need to give each other space so that we may both give and receive such beautiful things as ideas, openness, dignity, joy, healing, and inclusion.
Debasish Mridha|Peace is inside us, it's a natural state of mind;to find it, we create war, destroy the world like a blind.
Nikki Rowe|Be captivated by your hearts desire, not distracted by your minds fear.
Virginia Alison|There are as many kinds of kisses as there are people on earth, as there are permutations and combinations of those people. No two people kiss alike—no two people fuck alike—but somehow the kiss is more personal, more individualized than the fuck.
Jamaica Kincaid, The Autobiography of My Mother|It is sad that unless you are born a god, your life,from its very beginning, is a mystery to you.
Tom Hodgkinson, How to Be Idle|Our dreams take us into other worlds, alternative realities that help us make sense of day-to-day realities.
Non Pratt, Remix|Even so, [... in the silence after a winter storm has ceased to howl, in the soft whisper of a morning snowfall, in the way the moonlight sparkles over new-fallen snow, you can feel when she has been near by, ever searching. You can sense the presence of the Winter Child.
Alan W. Watts|Naturally, for a person who finds his identity in something other than his full organism is less than half a man. He is cut off from complete participation in nature. Instead of being a body, he 'has' a body. Instead of living and loving he 'has' instincts for survival and copulation.
Kristy Cambron, A Sparrow in Terezin|You're thinking I'm a changed man. That God has changed me. And that regardless of the fact that my father has left so much damage in his wake, I shouldn't hate him for it. You're telling me to think to the future ... That I shouldn't hold bitterness against the father who left ... And you hope that i can finally forgive him, which is something I've never quite been able to do." "Goodness," Sera beamed back at him. "I thought all that? I'm much wiser than I give myself credit for.
Millie|Listen, whatever you see and love—that’s where you are.
Stacey Marie Brown, Darkness of Light|Holy shit! Can we say unstable? Was I the only sane one around here? Well, I guess that really wasn’t setting the standard very high." -Ember, Darkness Of Light
Christopher West|All the hungers we have for love, for union, for happiness are given by God to lead us to him. The difference between a saint and the greatest sinner is where they go to satisfy that hunger.
Carl Jung|I realized if you can change a classroom, you can change a community, and if you change enough communities you can change the world.
Laura Kreitzer, Fallen Legion|I mean,” her mother paused to choose her words, “maybe you’ll get involved in some school related activities, or join a team, or maybe meet a nice boy.”“Ugh,” Keely groaned, “I don’t have time for that stuff mom. We’ve talked about this.”“Because of the little ghost...searching…thingy you and Tad do?” “It’s called paranormal investigation mom.”“It’s called being antisocial.
N. R. Narayana Murthy|Everyone who's ever taken a shower has an idea. It's the person who gets out of the shower, dries off and does something about it who makes a difference.
Margaret Atwood, The Handmaid's Tale|As we know from the study of history, no new system can impose itself upon a previous one without incorporating many of the elements to be found in the latter...
A.F. Stewart, Fairy Tale Fusion|We can't give you any further information," the fairies replied. "Be satisfied, madam, with the assurance that your daughter will be happy." She thanked them very much and did not forget to give them many presents. Although the fairies were quite rich, they always liked people to give them something. Throughout the world this custom has been passed down from that day to our own, and time has not altered it in the least.("Green Serpent")
George R.R. Martin, A Storm of Swords|All men are fools, if truth be told, but the ones in motley are more amusing than ones with crowns.
Chila Woychik, On Being a Rat and Other Observations|If you let yourself abandon the I-should-know-this-already attitude and simply accept your ignorance without giving yourself a hard time about it, then you can learn whatever it is you need to learn.
Mokokoma Mokhonoana|There is absolutely nothing feminine about the colour pink, or, anything bad-luck'ish about the colour black — in itself.
Paula Weston, Haze|There’s something in my voice that brings him back to me, overrides his buzz. ‘Gaby’—all traces of playfulness have gone—‘if anything ever happens to me, you’ll be fine. You’re strong enough to look after yourself. I hate to admit it, but you don’t need me. Never did.’ A smile. ‘But listen, nothing is going to happen today. It’s all good.’‘Jude, we’re high enough up to get a nose bleed.’‘So come with me.’I blink. ‘Fuck off.’‘I mean it. We can do this together.’ He raises his eyebrows at the girl who checked his harness. She nods.I risk looking over the side. There’s a river far beneath us. So far down we can’t hear it. My entire body goes numb.‘You’ve got about thirty seconds and then I’m going on my own.’What a choice: watch my brother jump out of this car or put aside my own fear and go with him. Share the recklessness. Why didn’t we go to Paris? We’d be arguing over where to buy cheese right now.Adrenaline begins to burn through me. ‘Screw it.’Jude breaks into a wide smile. ‘Seriously?’I glance at the yawning space beneath us. ‘Hurry up before I change my mind.
Jackson Burnett, The Past Never Ends|He recognized it and knew it. In others—clients, witnesses, or sometimes adversaries, he had seen or heard it: A gesture, a phrase, or a tone which exposed unintended truth in the beat of a second.
Lisa Kleypas, Someone to Watch Over Me|Women. You'll interpret anything as love. You see a man wearing an idiotic expression, and you assume he's been struck by Cupid's arrow when in reality, he's digesting a bad turnip.
Donna Augustine, Karma|Would it be possible to speak to this Universe person?""I'm sure that they will understand that there is a personality conflict." It was time to bump my complaint to upper management."No one speaks to the Universe.""Then how do you know what to do?" I leaned in a little."Simple. Through my orders." His eyes started to twitch. "Which you get how?""My memos.
Robin Hobb, Ship of Destiny|This document [the Reconstruction and Development Programme] was translated into a simpler manifesto called 'A Better Life for All', which in turn became the ANC's campaign slogan.
Alexis de Tocqueville|If you're soft and fuzzy, like our little characters, you become the skinny kid on the beach, and people in this business don't mind kicking sand in your face.
Michael Ben Zehabe, A Commentary on Jonah|There is a payoff for examining the divine author's literary style. It will tell you something about Him. Whereas, Jonah's actions are extensively described and laboriously detailed, God's reactions (although miraculous) are only described in sparse, minimalist terms.God seems much more amused by Jonah than Jonah is with God. Every miracle is directed at Jonah. Yet, very little copy is used to described God's miracles. Although God's miracles are much more astonishing than Jonah's immature fits of rebellion, more copy is dedicated to Jonah.
Sushil Singh|i am not oxytocin but i will try to become, because I am Live In oxytocin Society
Kristin Walker, A Match Made in High School|Your name?"The movements of the man's mouth didn't quite match what he was saying, so seeing him speak was a bit like watching a badly dubbed film."Alex Gardiner," Alex said. "Your real name?""I just told you.""You lied. Your real name is Alex Rider.""Why ask if you think you know?
Georgette Heyer, The Grand Sophy|He would not object, he said, to accepting a post as a librarian. But as Cecilia was unable to imagine that her father or her brother would feel any marked degree of satisfaction in giving her in marriage to a librarian, this very handsome concession on Mr Fawnhope's part merely added to her despondency.
Tati-Ana Mercedes|Confidence is being able to say ‘Fuck you, I’m the shit’ without opening your mouth, say it with your walk, with your smile, say it with your entire being.
Bill Jensen, Future Strong|Future strong leadership means being willing to stand alone. Often, the times we feel most vulnerable are when we stand alone, before others join us. When we choose to be the first voice echoing above the silence. Standing strong, alone.
Richelle E. Goodrich, Eena, The Dawn and Rescue|The woman laughed again. She was the loudest person in the cave. Eena wondered if perhaps she was talking to a female Ghengat. Curiosity got the best of her and she turned around to look, surprised to find neither a Ghengat nor a Harrowbethian woman, but a Mishmorat. A striking, cheetah-spotted Mishmorat with straight lengths of charcoal hair and the most alluring dark eyes in existence. This bronzed female was the same size as Eena but observably more muscular. She appeared to be a mix of cheetah, Arabian princess, and gladiator in tight-fitting pants. Eena paused, dropping the stone in her hands. “Kira?” she breathed.“Hmmm,” the woman grumbled. Her painted eyes scrunched with displeasure. The look was still stunning. “I see my reputation precedes me.” Eena gawked as if a legendary ghost had been resurrected. “You’re alive?
Dean Koontz, Deeply Odd|One day in my pharmacology class, we were discussing the possibility of legalizing marijuana. The class was pretty evenly divided between those that advocated legalizing marijuana and those that did not. The professor said he wanted to hear from a few people on both sides of the argument. A couple students had the opportunity to stand in front of the class and present their arguments. One student got up and spoke about how any kind of marijuana use was morally wrong and how nobody in the class could give him any example of someone who needed marijuana.	A small girl in the back of the classroom raised her hand and said that she didn’t want to get up, but just wanted to comment that there are SOME situations in which people might need marijuana. The same boy from before spoke up and said that she needed to back up her statements and that he still stood by the fact that there wasn’t anyone who truly needed marijuana. 	The same girl in the back of the classroom slowly stood up. As she raised her head to look at the boy, I could physically see her calling on every drop of confidence in her body. She told us that her husband had cancer. She started to tear up, as she related how he couldn’t take any of the painkillers to deal with the radiation and chemotherapy treatments. His body was allergic and would have violent reactions to them. She told us how he had finally given in and tried marijuana. Not only did it help him to feel better, but it allowed him to have enough of an appetite to get the nutrients he so desperately needed.	She started to sob as she told us that for the past month she had to meet with drug dealers to buy her husband the only medicine that would take the pain away. She struggled every day because according to society, she was a criminal, but she was willing to do anything she could to help her sick husband. Sobbing uncontrollably now, she ran out of the classroom. The whole classroom sat there in silence for a few minutes. Eventually, my professor asked, “Is there anyone that thinks this girl is doing something wrong?” Not one person raised their hand.
Jane Yolen, Things to Say to a Dead Man: Poems at the End of a Marriage and After|from Taking Your Clothes to the Salvation Army:Okay, so strangers will be grateful for this, will wear the socks to keep their feet warm, blow their noses in your handkerchiefs, pull up the shorts, tuck in the size large shirts (too small for our boys, too big for our daughter), and bits of you will be out there, engaging in a life you no longer have.
Cassandra Clare, Clockwork Angel|When a brave man takes a stand, the spines of others are often stiffened.
Wendell Berry, The Art of the Commonplace: The Agrarian Essays|We are working well when we use ourselves as the fellow creatures of the plants, animals, materials, and other people we are working with. Such work is unifying, healing. It brings us home from pride and from despair, and places us responsible within the human estate. It defines us as we are: not too good to work with our bodies, but too good to work poorly or joylessly or selfishly or alone. (pg. 134, The Body and the Earth)
Richard Dawkins|The world and the universe is an extremely beautiful place, and the more we understand about it the more beautiful does it appear. It is an immensely exciting experience to be born in the world, born in the universe, and look around you and realise that before you die you have the opportunity of understanding an immense amount about that world and about that universe and about life and about why we're here. We have the opportunity of understanding far, far more than any of our predecessors ever. That is such an exciting possibility, it would be such a shame to blow it and end your life not having understood what there is to understand.
China Miéville, King Rat|I know how you feel. But people can't surpass their true design. Our talents, our gifts. All programmed into us from the start. I know this because since birth... I was made to destroy.
Jacques Bonnet, Phantoms on the Bookshelves|Hundreds of thousands of people live in my library. Some are real, others are fictional. The real ones are the so-called imaginary characters in works of literature, the fictional ones are their authors. We know everything about the former, or at least as much as we are meant to know, everything that is written about a given character in a novel, a story or a poem in which she or he figures...The rest doesn't matter. Nothing is hidden from us. For us, a novel's characters are real. (p. 80
St. Charles Borromeo|As they perform this ritual, I almost have to turn away, thinking again what a boomeranging, out-of-body experience it is to watch a religious childhood from the outside, when before I was in the very marrow of it.
Fakeer Ishavardas|People do change. And no matter how close we once were, and how much we opened up to each other, maybe neither if us know anything substantial about the other.
Jiddu Krishnamurti, Freedom from the Known|In order to observe the movement of your own mind and heart, of your whole being, you must have a free mind, not a mind that agrees and disagrees, taking sides in an argument, disputing over mere words, but rather following with an intention to understand - a very difficult thing to do because most of us don't know how to look at, or listen to, our own being any more than we know how to look at the beauty of a river or listen to the breeze among the trees
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|There are times when eye contact can move to the dark side and become creepy, hostile, rude, or condescending. When it is overused or made for the wrong reasons, eye contact can make others feel uncomfortable and leave a terrible impression . . . •	obsessive staring•	mocking•	too much intensity •	inappropriate focus•	averting eyes•	obvious contempt •	gawking, ogling •	casting the "evil eye"•	over-watching•	intimidating•	unwelcome looks•	rolling the eyes
Scott Mackay, Phytosphere|Depend on the rabbit's foot if you will, but remember it didn't work for the rabbit
Bill Watterson|At school, new ideas are thrust at you every day. Out in the world, you'll have to find your inner motivation to seek for new ideas on your own.
Dorothy L. Sayers, Are Women Human? Astute and Witty Essays on the Role of Women in Society|In reaction against the age-old slogan, "woman is the weaker vessel," or the still more offensive, "woman is a divine creature," we have, I think, allowed ourselves to drift into asserting that "a woman is as good as a man," without always pausing to think what exactly we mean by that. What, I feel, we ought to mean is something so obvious that it is apt to escape attention altogether, viz: (...) that a woman is just as much an ordinary human being as a man, with the same individual preferences, and with just as much right to the tastes and preferences of an individual. What is repugnant to every human being is to be reckoned always as a member of a class and not as an individual person.
DINESH DEVIREDDY|To all the defiant stoics, laughing and fighting lonesome battles in the face of adversity.
Marie Treanor, Blood on Silk|I press my face against his chest, inhale his scent, take comfort from it. "I'm so sorry, Victor. I'm not sure I realized how truly awful this is for you.""It could be worse. I might not have you."I sink against him."Trust me," he whispers.
Craig D. Lounsbrough|Her smile grew bitter as desert brine. "The gods may forgive Ista all day long. But if Ista does not forgive Ista, the gods may go hang themselves.
Lenise Lee, RISE|If you have no idea what I’m about to do, just watch and wait..then you’ll see time spin to a stop right before your eyes..and you’ll forget that world you once knew
Matshona Dhliwayo|There is always hope and room for faith. Unless, of course, you trust the voice that screams otherwise, while ignoring the whisper that knows this to be true.
Jason Silva|It's only when you risk failure that you discover things. When you play it safe, you're not expressing the utmost of your human experience.
William Cowper|For it's Tommy this an' Tommy that  and "Chuck 'im out  the brute." But it's "Savior of 'is country " when the guns begin to shoot.
Emma Frances Dawson, An Itinerant House, And Other Ghost Stories|It is as easy to find a lover as to keep a friend, but as hard to find a friend as to keep a lover.
Joshua David Stone, A Beginner's Guide to the Path of Ascension (The Ascension Series)|We are not trapped by our thoughts. What we generally do, however, is create thoughts that trap us.” (p.162)
Leo Tolstoy, Family Happiness|I had begun to feel that life was a repetition of the same thing; that there was nothing new either in me or in him; and that, on the contrary, we kept going back as it were on what was old.
Molly Harper, Nice Girls Don't Have Fangs|-Mikhail?...Try making suggestions next time, or just plain asking. You go do whatever it is you're doing, and I'll go search you extensive library for a book on manners.-You will not find it.-Why am I not surprised?
Guy Vanderhaeghe, The Last Crossing|Not to do as the child wishes would be wrong because he is born on a path, and it would be evil, a crime against nature to make him deny his spirit.
Tracy Morgan|Sometimes I find I'm wearing a divided, split brain in terms of drama and humor.
Charles G. Finney, The Circus of Dr. Lao|The stars, like dust, encircle meIn living mists of light;And all of space I seem to seeIn one vast burst of sight
Idries Shah|At the last moment, she remembered that her Master might be watching her and, knowing that good girls bend at the knees while bad girls bend at the waist, she picked up the cigar butt, as it were, in style.
Emanuel Steward|Gardens are not made by singing 'Oh, how beautiful,' and sitting in the shade.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|In the wilderness, God performs His mighty miracles.
Ally Condie, Matched|I feel us tilting toward each other like trees in a strong breeze. I've been craving the sight of him for days, but now its not enough. I'm not sure who moves first. The inches between us are erased until I'm in his arms and my mouth finds his.
Jean Baptiste Perrin|Lastly, and doubtless always, but particularly at the end of the last century, certain scholars considered that since the appearances on our scale were finally the only important ones for us, there was no point in seeking what might exist in an inaccessible domain. I find it very difficult to understand this point of view since what is inaccessible today may become accessible tomorrow (as has happened by the invention of the microscope), and also because coherent assumptions on what is still invisible may increase our understanding of the visible.
Shannon Celebi|Some people make enough, some people don’t, and it has nothing to do with their paycheck.
Abigail Adams|The decent, strong person had to do decent, strong things like love unlovable people and keep peace even when it wasn't easy.
Charlie Cox|My intent is not to inflame Muslims but to entertain readers of great thrillers. At the end of the day, I want people to see a good protagonist struggle against serious odds and do so with courage and honor and integrity.
Geraldine Brooks|It didn't take me long out there, in the landscapes my father had painted, to realize that as much as I loved my country [Australia], I barely knew it. I'd spent so many years studying the art of our immigrant cultures, and barely any time at all on the one that had been here all along....So I set myself a crash course and became a pioneer in a new field: desperation conservation. My job became the documentation and preservation of ancient Aboriginal rock art, before the uranium and bauxite companies had a chance to blast it into rubble" (pp. 345-346)
Tom Walsh|Our culture values independence and isolation far too much, it seems to me--we have a hard time making ourselves part of things, of making ourselves responsible to others, and trusting others to be there for us. Sure, there's pain involved if we get hurt, but there's far more pain in isolation. I love community because God gave us other people to live with, not to pull away from, and I learn so much from others that I can't imagine my life without the learning I've gained from getting to know other people.
Chuck Schumer|Directing is a really kind of amazing thing, because you're helping others and, in the middle of that, you have to worry about yourself.
Simon Baron-Cohen, Zero Degrees of Empathy: A New Theory of Human Cruelty|I remember sitting in the Beth Shalom synagogue in Cambridge on the night of Kol Nidre. Peter Lipton, a friend and an atheist philosopher, was giving a sermon on the theme of “atonement:” “If we treat another person as essentially bad, we dehumanize him or her. If we take the view that every human being has some good in them, even if it is only 0.1 percent of their makeup, then by focusing on their good part, we humanize them. By acknowledging and attending to and rewarding their good part, we allow it to grow, like a small flower in a desert.
John  Adams, The Letters of John and Abigail Adams|Do you know how to pick a lock?""Not in the least, I'm afraid.""I often wonder what we go to school for," said Wimsey.
RVM|Even one day lost in misery is a great loss, for the day will never come back again. You lose 24 hours of happiness, joy & bliss. Live each day in happiness.
Terry Spear, Jaguar Hunt|Hiking is like life...You can spend the whole trip just watching the trail ahead, worrying that you'll twist an ankle or fall.And then you miss all this.
Paul Edward Gottfried, After Liberalism: Mass Democracy in the Managerial State|Today pluralism operates as a court religion, while having less and less intellectual credibility. Betraying the plastic terminology in which its directives are framed are the additions to the “Human Rights Code” passed in the Canadian province of Ontario in 1994. The Code cites “human dignity” to justify the criminalization of “conduct or communication [that] promotes the superiority or inferiority of a person or class because of race, class, or sexual orientation.” The law has already been applied to prosecute scholars making hereditarian arguments about social behavior, and its proponents defend this muzzling as necessary for “human dignity.” But never are we told whence that dignity is derived. It is certainly not the one to which the Bible, a text that unequivocally condemns certain “sexual orientations,” refers. Nor are we speaking here about the dignity of nonengineered academic discourse, an act that the supporters of the Ontario Human Rights Code consider to be criminal if judged insensitive. Yet the pluralist advocates of human rights codes that now operate in Canada, Australia, England, and on the European continent assume there is a human dignity. Indeed this dignity is so widely and passionately accepted, or so it is asserted, that we must criminalize unkind communication. In the name of that supposedly axiomatic dignity, we are called upon to suppress scholarship and even to imprison its authors.
Dean Young|A writing day is like any other day. Except I live in my pajamas, I forget to eat, and I suddenly look up, wondering when day turned into night.
Susan Orlean, The Orchid Thief: A True Story of Beauty and Obsession|Okay, fuck the sundial. We'll just go straight and eventually we'll get there. What I mean is that we'll get somewhere. Out of here. I mean, logically, we have to get out as long as we walk straight. I've done this millions of times. Whenever everything's killing me, I just say to myself, screw it, and go straight ahead.
Lailah Gifty Akita, Think Great: Be Great!|The Word of God, strengthen the spirit! Mediate on it daily!
Ludwig von Mises|Thanks to television, for the first time the young are seeing history made before it is censored by their elders.
Tom Peters|Libraries function as crucial technology hubs, not merely for free Web access, but those who need computer training and assistance. Library business centers help support entrepreneurship and retraining.
Marjorie Kinnan Rawlings|He edged closer to his father’s bones and sinews. Penny slipped an arm around him and he lay close against the lank thigh. His father was the core of safety. His father swam the swift creek to fetch back his wounded dog. The clearing was safe, and his father fought for it, and for his own. A sense of snugness came over him and he dropped asleep.
Rod Stewart|Who is the other woman whose photograph I do not have? If my mother was the first in my life, she was the last: my lover and my downfall, my hope and my despair. Her photographs I burned in an ashtray, one at a time - some might say to be rid of the evidence. Her name was Theresa Aden: Theresa like the saint; Aden like Eden, complete with snake.
Nalini Singh, Silver Silence|Death comes in endless forms. Of the body. Of the soul. Of the heart. - Catriona Mercant, philosopher and warrior. (circa 1419)
Taryn Leigh, Perfect Imperfections|Reagan, I pledge to you my trust and loyalty. You are it for me, for better or for worse, for richer or poorer, in sickness or in heath. You have my vow that in all things, I will love you unconditionally. Know that you and whatever kids we have will come first in my life. It will be my goal to keep you and our children happy for the rest of my life.
M.E. Ellington, The Martialis Incident|What's a jagoff?" Stich asked."It's like a jerkoff, except it's you," Kat said.
Sarah Brownlee|And you, you’re an angel,’ he said, scornfully, ‘but an angel from a hot place. Since I’m the devil, that makes you one of my subjects. I think I’ll brand you.
Criss Jami, Diotima, Battery, Electric Personality|The only activity a cynic will find contagious is yawning, that is, with other people, at other people.
Mitch Albom, Tuesdays with Morrie|There is no formula to relationships. They have to be negotiated in loving ways, with room for both parties, what they want and what they need, what they can do and what their life is like.
Thomas Burnett Swann, Day of the Minotaur|I only wanted to tell you that this was the wonderful time for you. Don’t let any of it go by without enjoying it. There won’t be any more merry-go-rounds. No more cotton candy. No more band concerts. I only wanted to tell you, Martin, that this is the wonderful time. Now! Here! That’s all. That’s all I wanted to tell you.
Peggy Kopman-Owens|There will always be ups and downs, twists and turns in our lives. But we have to find the strength to keep moving forward. The past is done, it’s over, and you can’t change it. You can hold on to your memories and learn from them. Look at what’s in front of you, focus on your vision, and run toward it! Because when it’s all said and done, only you are in charge of your strength, your peace, and your happiness.
Cristiano Ronaldo|For me, documentary photography has always come with great responsibility. Not just to tell the story honestly and with empathy, but also to make sure the right people hear it. When you photograph somebody who is in pain or discomfort, they trust you to make sure the images will act as their advocate.
Carol Hughes, Dirty Magic|Now that we've come up with all the obvious answers to our problem, it's time to come up with some truly ridiculous ones.""Ridiculous?" asked Brasque."Yes, ridiculous. Think of something impossible, improbable or downright ridiculous and go from there.""Like we all flap our arms and fly out of here," said Katherine."Exactly!" said Spider."How about we form a long line all the way to the mountains and pass the charges along it?" said Brasque."Excellent," said Spider. "Keep it coming.""What if we each carry one charge, run back, carry another, and so on?" said Tom, getting into the swing of things."Lovely!" laughed Spider. "Now we're cooking."The shower of sparks shot out of the top of the Amadragon. Joe shielded his eyes with his hand."Yeah, and we can all climb on the Amadragon and ride out of here," he said."What was that, Joe?" said Spider, suddenly dropping the jokey manner. "What's the Amadragon?"Katherine's eyes glittered. "He means that," she said, pointing at the excavator. Everyone except Spider turned and looked. "He's talking about the giant machine, the one that keeps shooting sparks in the air."Spider cocked his ear and listened to the rumble of the Amadragon's engine. "So Orlemann built the dragon, did he?" he said. "I'd been wondering what the noise was. If they built it to the original specifications, it should get us out of here within an hour. Let's pray that will give us enough time!
Mary Wollstonecraft Shelley, Valperga: Or, the Life and Adventures of Castruccio, Prince of Lucca|We look back to times past, and we mass them together, and say in such a year such and such events took place, such wars occupied that year, and during the next there was peace. Yet each year was then divided into weeks, days, minute, and slow-moving seconds, during which there were human minds to note and distinguish them, as now.
John Mark Reynolds|A fantastically huge, roiling cloud, glowing bluish gray, swaggered over the city. It was more than three miles tall. Below it Hiroshima was boiling.
Jen Pollock Michel, Teach Us to Want: Longing, Ambition & the Life of Faith|New freedoms surface old habits. I haven't left sin behind, only discovered a new medium for my treachery. My real trouble as a writer isn't trying to mean the words that I write. It's living into the words that I mean. Nonfiction writing can feel like the high art of hypocrisy.
Amitabh Bachchan|In my case, my mother had to be my mother and father, so I am thankful to her.
Crestless Wave|Often, little brother, there is no smoke without fire.
Peace Pilgrim|If I could apologise and go back and change history I would do. But the goal is still a goal, Argentina became world champions and I was the best player in the world.
