Matthew Syed|If you list down whatever you didn’t get to do, then whatever you did won’t feel like it mattered.
Joan Gould, Spinning Straw into Gold: What Fairy Tales Reveal About the Transformations in a Woman's Life|Ladies, no matter how hard you try, a man will never complete you. Only God can. And if you don’t know your identity in Him, you’ll be lost forever.
Lee Smith, Oral History|Young things like you don't need any ornaments but those you wear to-night: youth, health, intelligence, and modesty.
Tracy Hickman, The Immortals|Imagine you are Siri Keeton:You wake in an agony of resurrection, gasping after a record-shattering bout of sleep apnea spanning one hundred forty days. You can feel your blood, syrupy with dobutamine and leuenkephalin, forcing its way through arteries shriveled by months on standby. The body inflates in painful increments: blood vessels dilate; flesh peels apart from flesh; ribs crack in your ears with sudden unaccustomed flexion. Your joints have seized up through disuse. You're a stick-man, frozen in some perverse rigor vitae.You'd scream if you had the breath.Vampires did this all the time, you remember. It was normal for them, it was their own unique take on resource conservation. They could have taught your kind a few things about restraint, if that absurd aversion to right-angles hadn't done them in at the dawn of civilization. Maybe they still can. They're back now, after all— raised from the grave with the voodoo of paleogenetics, stitched together from junk genes and fossil marrow steeped in the blood of sociopaths and high-functioning autistics. One of them commands this very mission. A handful of his genes live on in your own body so it too can rise from the dead, here at the edge of interstellar space. Nobody gets past Jupiter without becoming part vampire.
Billy Graham, Billy Graham in Quotes|People are little creatures with big capacities, finite beings with infinite desires, deserving nothing but demanding all. God made people with this huge capacity and desire in order that He might come in and completely satisfy that desire.
Martin Scorsese|Money won't buy happiness, but it will pay the salaries of a large research staff to study the problem.
M.F. Moonzajer, LOVE, HATRED AND MADNESS|Anyhow, many people in the soft sciences are prone to be wrong because they’re crazy** some are dumb, too, but that’s another story.
Howard Rheingold, Tools for Thought: The History and Future of Mind-Expanding Technology|It is up to us to decide what human means, and exactly how it is different from machine, and what tasks ought and ought not to be trusted to either species of symbol-processing system. But some decisions must be made soon, while the technology is still young. And the deciding must be shared by as many citizens as possible, not just the experts. In that sense, the most important factor in whether we will all see the dawn of a humane, sustainable world in the twenty-first century will be how we deal with these machines a few of us thought up and a lot of us will be using.
General Robert E. Lee|… I believe that the maintenance of the rights and authority reserved to the states and to the people … are the safeguard to the continuance of a free government … whereas the consolidation of the states into one vast republic, sure to be aggressive abroad and despotic at home, will be the certain precursor of that ruin which has overwhelmed all those that have preceded it.
Kerry E. Wagner, Never Let Go of My Hand|You can add up your blessings or add up your troubles. Either way, you'll find you have an abundance.
Germany Kent|Think before you click. If people do not know you personally and if they cannot see you as you type, what you post online can be taken out of context if you are not careful in the way your message is delivered.
Shaikh Ashraf, Friendship, Love & Sacrifice|Then I told him, ‘Injustice, Poverty and Discrimination is faced by a lot of Indians, and also majority, the fact is that if you “Minority” stop thinking yourself as a part of “Minority” and start thinking as the part of India, and proceed together for it’s good, then only “Minority” and majority would progress altogether.
Yawatta Hosby, Something's Amiss|No, she's been killing me with kindness." She pointed her finger in his face. "There's a difference, and if you didn't have her on a pedestal, you could tell the difference.
Ansel Adams|A great photograph is one that fully expresses what one feels, in the deepest sense, about what is being photographed.
Wendell Berry, Jayber Crow|The poet who sees himself as a hero or a prophet, or a priest of the socio-political forces to which he is loyal, which he believes are the historical necessities of his times, too easily becomes a puppet. He has no external measure with which to assess reality. Whether he submits to the forces or rejects them, he becomes a parody of himself, and then without knowing it submits his gifts to the demons of his era. He loses his place in the continuity of time. He becomes dependent on social affirmation and the drug of exalted feelings common to all revolutionaries. He destroys, even as he thinks he creates.
Shannon L. Alder|Life is a choice. Your choices each day determine what outcomes happen in your life. It is by choice, not by chance, that will determine your life. An Unstoppable Life begins by taking responsibility for your choices.
Laini Taylor, Strange the Dreamer|I think you're a fairy tale. I think you're magical, and brave, and exquisite. And I hope you'll let me be in your story.
Chloe Neill, Blood Games|Family. Couldn't live with them, couldn't run a stake through them.
Hal Duncan, Rhapsody: Notes on Strange Fictions|When I was a child, I thought as a child. But now I have put away childish things.
Randall Jarrell|If philosophy has to serve some really noble purpose, it must be more observant than critical towards life.
Thomas Pynchon|Could he have been the fork in the road American never took, the singular point she jumped the wrong way from? Suppose the Slothropite heresy had had the time to consolidate and prosper? Might there have been fewer crimes in the name of Jesus, and more mercy in the name of Judas Iscariot? It seems to Tyrone Slothrop that there might be a route back--maybe that anarchist he met in Zurich was right, maybe for a little while all the fences are down, one road as good as another, the whole space of the Zone cleared...
Jane Austen, Mansfield Park|Yet some happiness must and would arise, from the very conviction, that he did suffer.
Bob Marley|When you give all your power to the powers that be, you take away the powers of thee.
Eddie Redmayne|A lot of people don't have near the amount of success as I've been blessed to have, and it's all about working hard and hoping that continues.
Shannon A. Thompson, Minutes Before Sunset|I wasn’t in the mood for a fight, but fights weren’t always conveniently scheduled. (Jessica)
Joel Osteen|I don't think all buildings have to be iconic, but the history of the world has shown us that cultures build iconic buildings for their major public buildings.
Gillian Jacobs|I went to college and got my degree in acting, but because it was all theater, I really consider my first couple years on 'Mad Men' as amazing training for working in television and for acting on-camera.
Rao Umar Javed|Jail's are a spooky place," remarked Bill, trying to match the pace of detective Adam."Oh that is nothing in front of the ultimate fear" replied detective Adam."Ultimate fear?""Funny thing that, the ultimate fear is also the ultimate relief.""Which is?""Death
Nick Harkaway, Tigerman|Let me sleep," he said, and shut the door; it clicked in her face and she felt animal terror - this was what she feared most in life: the clicking shut of a man's door in her face.Instantly, she raised her hand to knock, discovered the rock... she banged on the door with the rock, but not loudly, just enough to let him know how desperate she was to get back in, but not enough to bother him if he didn't want to answer.He didn't. No sound, no movement of the door. Nothing but the void."Tony?" she gasped, pressing her ear to the door. Silence. "Okay," she said numbly; clutching her rock she walked unsteadily across the porch toward her own living quarters.The rock vanished. Her hand felt nothing."Damn," she said, not knowing how to react. Where had it gone? Into air. But then it must have been an illusion, she realized. He put me in a hypnotic state and made me believe. I should have known it wasn't really true.A million stars burst into wheels of light, blistering, cold light, that drenched her. It came from behind and she felt the great weight of it crash into her. "Tony," she said, and fell into the waiting void. She thought nothing; she felt nothing. She saw only, saw the void as it absorbed her, waiting below and beneath her as she plummeted down the many miles.On her hands and knees she died. Alone on the porch. Still clutching for what did not exist.
Lancelot Hogben, Mathematics for the Million: How to Master the Magic of Numbers|Striving to convey to this beloved audience of one what was going on around me during those five years, I learned the power of language to map a life, to overcome a distance, to focus attention on what matters most.
Charlotte Brontë, Jane Eyre|He admired her for throwing off her aristocratic shackles -- his terms, that -- and making her own way in the world.He didn't realize that the truth was so much more complex, so much less impressive. She had less thrown than been thrown.
Voltaire|‎Life is a shipwreck, but we must not forget to sing in the lifeboats.
Osayi Emokpae Lasisi, Billionaire Mindset (for MoneyMaking Mommies): How to make your Billions and build your legacy|Why do all this? Because there are people out there who need you, and they will be more than willing to give you what you need so you can give them your best, but if you're busy pursuing everyone, or if you're so drained at the end of the day, you won't be able to be your best and give your best.
Vineet Raj Kapoor|There is only One Man Playing your Game, You!
Lisa Kessler, Magnolia Mystic|You seriously have a Dalmatian? Is that, like, mandatory for a firefighter?
François-René de Chateaubriand, Mémoires d'Outre-Tombe|Purgatory surpasses heaven and hell in poetry, because it represents a future and the others do not.
Jean de La Fontaine|Beauty is a precious trace that eternity causes to appear to us and that it takes away from us. A manifestation of eternity, and a sign of death as well.
Julie Cantrell, Into the Free|For years, I have searched and searched for this God. This feeling of complete love and acceptance. He was always out of reach. But here, where food is scare, money is tight, heat is heavy and tensions should run high, God is everywhere. Just as during the night around the gypsy fire, I am mesmerized by watching people who are truly happy. At peace. Kind. Grateful.
Jared Taylor|To be surprised, to wonder, is to begin to understand. This is the sport, the luxury, special to the intellectual man. The gesture characteristic of his tribe consists in looking at the world with eyes wide open in wonder. Everything in the world is strange and marvelous to well-open eyes.
William Shakespeare, Henry V|Every subject's duty is the King's; but every subject's soul is his own. Therefore, should every soldier in the wars do as every sick man in his bed, wash every mote out of his conscience; and dying so, death is to him advantage; or not dying, the time was blessedly lost wherein such preparation was gained; and in him that escapes, it were no sin to think that, making God so free an offer, He let him outlive the day to see His greatness and to teach others how they should prepare.
Dennis Liggio, Jabberwock Jack|Feelings are fleeting, no matter how eart-shattering they seem; they never last, always change.
Franklin Foer, How Soccer Explains the World|When you've committed yourself to violence it takes an almost inhuman effort to stop short. It's one of those things that once you've started need to be finished, rather like coitus, interrupting that's a sin, even the priests say so.
Alexander Hamilton|When we think of readapting mankind to a world of unity and co-operation, we have to consider that practically all the educational machinery on earth, is still in the hands of God-selling or Marx-selling combines. Everywhere in close co-operation with our nationalist governments, the oil and steel interests, our drug salesmanship, and so forth, the hirelines of these huge religious concerns, with more or less zeal and loyalty, are selling destruction to mankind.
Karen Marie Moning, Bloodfever|One day you will kiss a man you can't breathe without, and find that breath is of little consequence.
Barbara Walters|My goal in coming to General Motors was to help restore profitability, build a strong market position and position this iconic company for success. We are clearly on that path.
Carla H. Krueger, Sex Media|Welcome to Sex Media, Where Fantasy Becomes Reality!
Ludwig von Mises, The Theory of Money and Credit|Economic history shows us a continual increase in the demand for money. The characteristic feature of the development of the demand for money is its intensification; the growth of division of labour and consequently of exchange transactions, which have constantly become more and more indirect and dependent on the use of money, have helped to bring this about, as well as the increase of population and prosperity.
Joshua Ferris, Then We Came to the End|What are you really living for? It's crucial to realize that you either glorify God, or you glorify something or someone else. You're always making something look big. If you don't glorify God when you're involved in a conflict, you inevitably show that someone or something else rules your heart.
C.G. Jung|The unconscious always tries to produce an impossible situation in order to force the individual to bring out his very best. Otherwise one stops short of one's best, one is not complete, one does not realize oneself. What is needed is an impossible situation where one has to renounce one's own will and one's own wit and do nothing but wait and trust to the impersonal power of growth and development.
Karl Barth, The Humanity of God|God's high freedom in Jesus Christ is His freedom for LOVE. The divine capacity which operates and exhibits itself in that superiority and subordination is manifestly also God's capacity to bend downwards, to attach Himself to another and this other to Himself, to be together with him. This takes place in that irreversible sequence, but in it is completely real. In that sequence there arises and continues in Jesus Christ the highest communion of God with man. God's deity is thus no prison in which He can exist only in and for Himself. It is rather His freedom to be in and for Himself but also with and for us, to assert but also to sacrifice Himself, to be wholly exalted but also completely humble, not only almighty but also almighty mercy, not only Lord but also servant, not only judge but also Himself the judged, not only man's eternal king but also his brother in time. And all that without in the slightest forfeiting His deity! All that, rather, in the highest proof and proclamation of His deity! He who DOES and manifestly CAN do all that, He and no other is the living God.
Nandan Nilekani|Egyptian comedy has a very, very old tradition. Our theater and our movies are just, like, amazing. And Egypt is kind of like the Hollywood of the Middle East. I mean, we had cinema maybe decades before the other Arab countries ever got independence.
David Benatar, The Metaphysics and Ethics of Death: New Essays|Those who take their own lives, especially when the quality of those lives is much less bad than those of the cancer patient or the concentration camp prisoner, fly in the face of the normal will to live. They are seen as abnormal, not merely in the statistical sense of being unusual, but of being defective, either morally or psychologically.
Nancy Gideon, Chased by Moonlight|What are you doing?” she cried in protest.“Playing,” he said, the single word rough, almost guttural.
Eric Hoffer|Nowadays, ads don't just sell a product. They sell an attitude! Look at this one! Here's a cool guy saying nobody tells him what to do. He does whatever he wants and he buys this product as a reflection of that independence. So basically, this maverick is urging everyone to express his individuality through conformity in brand-name selection?
Dr Sivakumar Gowder|People feel alcohol heals heart (diseases) but in theory, it peels the heart.
Eunice Parisi-Carew, Collaboration Begins with You: Be a Silo Buster|Perceive conflict as positive, creative, and issue driven. Don't allow personal attacks.
Geoffrey Wood|Every morning and every night, I pause for just a minute and express my gratitude for all that I have in my life and all that I have experienced.
Eli Of Kittim, The Little Book of Revelation: The First Coming of Jesus at the End of Days|Her total intellectual association was the Bible, except the talk of Samuel and her children, and to them she did not listen. In that one book she had her history and her poetry, her knowledge of peoples and things, her ethics, her morals, and her salvation. She never studied the Bible or inspected it; she just read it. The many places where it seems to refute itself did not confuse her in the least. And finally she came to a point where she knew it so well that she went right on reading it without listening.
Lesley Pearse, Trust Me|You can't do anything about the past, it's done and can't be mended. But the future is different, if you just think what you really want and reach out and take it.
Stephen Jay Gould|We are the offspring of history, and must establish our own paths in this most diverse and interesting of conceivable universes—one indifferent to our suffering, and therefore offering us maximum freedom to thrive, or to fail, in our own chosen way.
Hisham Matar, Anatomy of a Disappearance|Without love, our earth is a tomb
Oswald Spengler, Man and Technics: A Contribution to a Philosophy of Life|You Life is a progress, and not a station.
Josh Hopkins|My life has been a continuous fulfillment of dreams. It appears that everything I saw and did has a new, and perhaps, more significant meaning, every time I see it. The earth is good. It is a privilege to live thereon.
ANIKOR Daniel|Education is the beautification of the inner world, which in turn help beautifies the outer world we lived in.
Mindy McGinnis, The Female of the Species|Tramps and vagabonds have marks they make on gateposts and trees and doors, letting others of their kind know a little about the people who live at the houses and farms they pass on their travels. I think cats must leave similar signs; how else to explain the cats who turn up at our door through the year, hungry and flea-ridden and abandoned?
J.R.R. Tolkien, Roverandom|Before you know it you'll be my age telling your own granddaughter the story of your life and you wanna make it an interesting one, don't you? You wanna be able to tell her some adventures, some excitements, some something. How you live your life, little one, is a gift for those who come after you, a kind of inheritance.
Lionel Suggs|When God broke his deal with me, I turned to the Devil. In the end, I wasn't happy. I realized that the imagination of a perfect being was more limited than that of the imperfect one. Color me unimpressed by the Actus Purus.
Bob Taft|A liberal education... frees a man from the prison-house of his class, race, time, place, background, family and even his nation.
Lou Ferrigno|God writes a lot of comedy... the trouble is, he's stuck with so many bad actors who don't know how to play funny.
Paul Collier, The Bottom Billion: Why the Poorest Countries Are Failing and What Can Be Done About It|Persuading everyone to behave decently to each other because the society is so fragile is a worthy goal, but it may be more straightforward just to make the societies less fragile, which means developing their economies.
David Mitchell|Remember, life is too short to be spent dancing with idiots.
Chris O'Guinn, Exiled to Iowa. Send Help. And Couture|Yeah, over my scattered panties, I asked him to dinner and told him to bring a friend.” - Laney
Matt      Chandler, Creature of the Word: The Jesus-Centered Church|The recognition and the acceptance of the Other's humanity (or humanness) is a maiming of self. You have to wound the self, cut it in strips, in order to -know- that you are as similar and of the same substance of shadows.
Amit Ray|In every change, in every falling leaf there is some pain, some beauty. And that's the way new leaves grow.
Dejan Stojanovic, Serbian Satire and Aphorisms|Many millennials...feel “unsafe” if someone they disagree with speaks at an event they don’t have to attend on their campus....they’re trying to figure out what gender they are and which bathroom they should be using. It’s not an improvement....Snowflakes may melt when the going gets tough, but kids who are taught good, conservative values will stand tall even when it’s not easy.
Penn Jillette|Democracy without respect for individual rights sucks. It's just ganging up against the weird kid, and I'm always the weird kid.
Farshad Asl|You need to change, renew, and rejuvenate yourself. Put your best foot forward in all that you do; you will develop an unmatched passion.
Lorri Faye|The simple truth is that life goes on whether we're ready or not.The question we need to ask ourselves is, do we find a way to embrace it, or do wesit back and allow it to pass us by?
Abhijit Naskar, We Are All Black: A Treatise on Racism|Only fools neglect the living God – the Human Self, while running after imaginary shadows.
Thomas Marshburn|Discount air fares, a car in every parking space and the interstate highway system have made every place accessible - and every place alike.
Desmond D. Green|accept yourself, it will inspire others to do the same for themselves.
I.M. Pei|Contemporary architects tend to impose modernity on something. There is a certain concern for history but it’s not very deep. I understand that time has changed, we have evolved. But I don’t want to forget the beginning. A lasting architecture has to have roots.
Nick Nolte|In 1960, when I came out of prison as an ex-convict, I had more freedom under parolee supervision than there's available... in America right now.
Hugh Jackman|I've been lucky enough to live through all the things that are supposed to give meaning to our lives, like parenting, grandparenting, art, celebrity. All these things you expect meaning to come from, and sometimes it comes when you're not expecting it.
Dan John, Never Let Go: A Philosophy of Lifting, Living and Learning|Mother's hug- The only drug that works every time, costs nothing and has no side effects.
George Whitefield|If your religion doesn't teach you the difference between good and evil, your religion is worse than useless.
Duffy Brown, Iced Chiffon|I started to crawl off; then I remembered my leftover pizza, and I peeled off the salami, pepperoni, and anchovies and placed them on the CD tray (whicn no one used these days with flash drives around)on Boone's computer. I hit the close button and watched the smelly part of my delicious dinner slide away. Boone would have a great time wondering 'where's that smell coming from?
Stephen Richards, Scottish Hard Bastards|As equally as one may use size, the cunning James Crosbie was once classified as the most dangerous man in Scotland, notorious for his daring bank robberies and escaping on a bicycle. He was the criminal mastermind behind many successful crimes carried out throughout the UK.
Rachel  Harris, My Not So Super Sweet Life|Because what is more like love than the ocean? You can play in it, drown in it. It can be clear and bright enough to hurt your eyes, or covered in fog; hidden behind a curve of road, and then suddenly there in full glory. Its waves come like breaths, in and out, in and out, body stretched to forever in its possibilities, and yet its heart lies deep, not fully knowable, inconceivably majestic.
Mark Hyman|I'm not on a special diet, but I do try to stay away from a lot of fried foods and from a lot of carbs. Yes, I eat a little bit of all of it.
Ron Fournier|When I was back to 100 per cent fitness, I was able to show what I was capable of. I like to think I will bring a freshness into the Euros, and now that I am captain, I am going to do my best to take responsibility.
Marcus Aurelius, Meditations|I don’t know how to talk to you, Mrs. Huntingdon . . . you are only half a woman--your nature must be half human, half angelic. Such goodness overawes me; I don’t know what to make of it.
Douglas Brinkley|When we go to the store, we bring home more than food - we bring home traces of broader environmental problems. But we can use our shopping carts and dinner plates to help solve some of those problems.
Steven Cuoco|I see who I am, and I am beyond who I was.
Gene Simmons|'Naked' kind of kicked me off into the film world. It just so happens that all of the things that I have been offered have been films, and I've enjoyed the travel that goes along with that.
Tracey Clark, Shocking Finds|Nope. Too Much,” Marin said, and tossed the little man out of the hospital window. She needed coffee. Either that or a large dose of Thorazine.
Conan O'Brien|When the peace treaty is signed, the war isn't over for the veterans, or the family. It's just starting.
Nury Vittachi, The Curious Diary of Mr Jam|It's incredibly touching when someone who seems so hopeless finds a few inches of light to stand in and makes everything work as well as possible. All of us lurch and fall, sit in the dirt, are helped to our feet, keep moving, feel like idiots, lose our balance, gain it, help others get back on their feet, and keep going.
Mike Dooley|There are only 3 things that can make your dreams come true: your thoughts, your words, and your actions.
Shannon L. Alder|The true definition of mental illness is when the majority of your time is spent in the past or future, but rarely living in the realism of NOW.
Nancy E. Turner|The idea of Christian perfection, which began in the ancient monasteries and spread to the world as an ideal, is one of the most appealing, demanding and ultimately hopeless notions of the spiritual life. By definition, only God is perfect—that is, complete and independent unto [God’s] self. Humans, on the other hand, are radically imperfect, and that, paradoxically, is welcome news, for the recognition of our incompleteness throws us on the mercy of God and enables us, as Saint Paul stressed, to put up with one another’s faults.
Marjory Stoneman Douglas|State and local government, with financial support from the federal government, should offer a program to educate and train foster children for employment and provide them with financial assistance, as needed, until they reach age 21.
Robyn Carr, My Kind of Christmas|However, I have to warn you, I kind of like that you find me irresistible.”“Did I say that?” he asked, a slight tint creeping up his stubbled cheeks. “I didn’t say that! I find you completely resistible.
Libba Bray, The Sweet Far Thing|Thanks for driving me home, Mason. And for dinner. And…everything.”“You’re welcome.” His hand cupped my shoulder, his face in the shadows. “Was this a date?”“No.”His smile was a slash of white in the darkness. “Then you’re not expecting me to kiss you good-night.”“No.” I smiled back.“Too bad.
Steven Pinker, The Better Angels of Our Nature: Why Violence Has Declined|Some biblical scholars believe that the story of the fall from the Garden of Eden was a cultural memory of the transition from foraging to agriculture: “In the sweat of thy face shalt thou eat bread.” 79 So why did our foraging ancestors leave Eden? For many, it was never an explicit choice: they had multiplied themselves into a Malthusian trap in which the fat of the land could no longer support them, and they had to grow their food themselves. The states emerged only later, and the foragers who lived at their frontiers could either be absorbed into them or hold out in their old way of life. For those who had the choice, Eden may have been just too dangerous. A few cavities, the odd abscess, and a couple of inches in height were a small price to pay for a fivefold better chance of not getting speared
Stanley Kujokera|A progressive life style demands that one; takes full reigns over their life, not leaving anything to chance....
dinitha|Monkeys are superior to men in this: when a monkey looks into a mirror, he sees a monkey.
Neil Gaiman, MirrorMask|The only thing that you absolutely have to know, is the location of the library
J.M.  Richards, Tall, Dark Streak of Lightning|I had always thought that I was fine with being alone. Halfway through high school, I moved from Brazil to America, and it took me forever to make friends. I had culture shock of virtually every kind, besides which I was awkward, geeky, and shy. So I ate alone, telling myself that it was fine while I watched other people have normal conversations with their friends.
Augusta DeJuan Hathaway|Don't be so busy making a living that you forget to enjoy your Life. Today, make a commitment to Enjoy Life.-RVM
Nora Roberts, Key of Knowledge|In photographs taken from the sky, cities resembled circuit boards. It was no surprise, really, that there were sparky misfirings, dangerous connections. Even traffic, Alice concluded, set up a kind of static in the air, let loose vibrations and uncontainable agitation. Freighted with more than they could absorb, with city intentions, citizens moved in designs of inexplicable purpose.
Jeaniene Frost, Halfway to the Grave|I’ve wanted you from the moment we met, and if you think sitting next to me in your bra doesn’t overwhelm me with desire, you’re very wrong. I just don’t force myself where I’m not invited. (Bones)
Stephen King, The Green Mile|About halfway through I broke down crying, which I hadn't expected. I was a little ashamed, but only a little;it was her, you see, and she never taxed me with the times that I slipped from the way I thought a man should be...the way I thought I should be, at any rate. A man with a good wife is the luckiest of God's creatures, and one without must be among the most miserable, I think, the only true blessing of their lives that they don't know how poorly off they are.
A.J. Darkholme, Rise of the Morningstar|Sometimes we exist long enough to lead the next generation; other times, only to plant a seed and let its resonations of our time here on Earth ripple into new waves.
Chuck Black, Kingdom's Call|Let go of your past, and look to Mine, where I died for you. Yield to Me, and I will make you a true Knight of the Prince.
Eleonora Duse|Everybody needs beauty as well as bread, places to play in and pray in, where nature may heal and give strength to body and soul.
Roshan Sharma|See it for what it is and own it, rather than rethink it so you don't have to deal with the trauma of the abuse. This is the only way to move on--through acceptance.
Katie Kacvinsky, Awaken|Go as far as you can see; when you get there, you'll be able to see further.
Stephen Richards, How to Get Everything You Can Imagine: Volume 1: How Mind Power Works|You cannot give out a negative frequency, that of disrespect, and expect respect to flow toward you. Neither can you hold on to your biases, prejudices and negative thinking toward something, and expect that something positive will return to you.
Shel Silverstein, Where the Sidewalk Ends|His brow is seamed with line and scar;His cheek is red and dark as wine;The fires as of a Northern starBeneath his cap of sable shine.His right hand, bared of leathern glove,Hangs open like an iron gin,You stoop to see his pulses move,To hear the blood sweep out and in.He looks some king, so solitaryIn earnest thought he seems to stand,As if across a lonely seaHe gazed impatient of the land.Out of the noisy centuriesThe foolish and the fearful fade;Yet burn unquenched these warrior eyes,Time hath not dimmed, nor death dismayed.
Tommy Wallach, We All Looked Up|Why had he assumed time was some sort of infinite resource? Now the hourglass had busted open, and what he’d always assumed was just a bunch of sand turned out to be a million tiny diamonds.
Philippe Petit, Man on Wire|It's impossible, that's for sure. So let's start working.
|As hard as it is to face your fears, it's even harder to surrender to them and walk in their shadows for the rest of your life.
Bangambiki Habyarimana|Words can make or break, use your words carefully
Ashley Tisdale|I don't drink, and I don't smoke. It's a personal preference. My mom has never drunk or smoked. I look up to my mom.
Jaycee Dugard, A Stolen Life|Each of us is a book waiting to be written, and that book, if written, results in a person explained.
Suzanne Woods Fisher, The Keeper|Corus lay on the southern bank of the Oloron River, towers glinting in the sun. The homes of wealthy men lined the river to the north; tanners, smiths, wainwrights, carpenters, and the poor clustered on the bank to the south. The city was a richly colored tapestry: the Great Gate on Kings-bridge, the maze of the Lower City, the marketplace, the tall houses in the Merchants' and the Gentry's quarters, the gardens of the Temple district, the palace. This last was the city's crown and southern border. Beyond it, the royal forest stretched for leagues. It was not as lovely as Berat nor as colorful as Udayapur, but it was Alanna's place.
Martin Luther King Jr.|One of the great liabilities of history is that all too many people fail to remain awake through great periods of social change. Every society has its protectors of status quo and its fraternities of the indifferent who are notorious for sleeping through revolutions. Today, our very survival depends on our ability to stay awake, to adjust to new ideas, to remain vigilant and to face the challenge of change.
Johann Wolfgang von Goethe|Know thyself? If I knew myself, I'd run away.
Rae Hachton, The Summer of Me & You|She consumes me with her eyes, her fiery touch, and the ways in which she loves me.
Stephen Richards, Develop Jedi Self-Confidence: Unleash the Force within You|Your core, lying deep within you, is what makes you what you are. Some call it the soul, the Higher Self, the true self, the being and so on. The name is unimportant once you realize that you are more than your looks and outward appearance.
Neal Stephenson, Reamde|All the time and effort put into networking can be all for naught if there is no follow-through. The same goes for sales. And leadership. And … well, everything.
Dale Cooper from "Twin Peaks"|It was only when I rounded a bend and glimpsed the white peaks ahead that I doubled my abilities, only when I thought how far i had yet to go that i lost faith that I would get there
Stanley Victor Paskavich, Stantasyland: Quips Quotes and Quandaries|Following dark winter's strife, a warm air rises, teemed with life. Birth, rebirth, as the waiting die. Old love, new love sprouts wings to fly.
Dexter Palmer, The Dream of Perpetual Motion|It is like reading two books, one with each eye, and understanding them both.
Markus Zusak, The Book Thief|I could introduce myself properly, but it's not really necessary. You will know me well enough and soon enough, depending on a diverse range of variables. It suffices to say that at some point in time, I will be standing over you, as genially as possible. Your soul will be in my arms. A color will be perched on my shoulder. I will carry you gently away.
Pope Benedict XVI|Those who love God with their minds, even if it gives them a headache, are those whose hearts stay on fire.
William Hull|Unfair discrimination exists whether we like it or not; I wouldn't have married a gum-chewing vegetarian. Ultimately, we'll help the people we discriminate against if we try to understand more about them; genetics will lead to a world where there is a sympathy for the underdog.
Laura Castoro|Society tried to teach me that children are by nature selfish, out-of-control, and demanding, that their goal is power and that they are always trying to see how much they can get away with, that you can't let children manipulate you or become too dependant, and that disobedience equals disrespect. As a mother, I have come to believe strongly that my child's primary goals are having his needs met, feeling connected to others, and feeling self-worth. His misbehavior is an attempt to get a need met or to feel significance and connection, done in an appropriate way.... my job as a parent is to help my child identify and meet those needs in appropriate ways." - Lisa S.
Hina Hashmi, Your Life A Practical Guide to Happiness Peace and Fulfilment|Positive thoughts are a source of joy, love and an indication of our alignment with the source. Negative thoughts create disharmony in our body for example depression, fear and aggression indicate misalignment with the source.
Warren Farrell|On November 28, 2016, Abdul Razak Ali Artan, an 18-year-old legal resident of the United States whose family was originally from Somalia, used a car to mow down a group of people at the Ohio State University.
Rebekkah Ford, Dark Spirits|Kora may have been a witch, and your father may have had prophetic dreams. But you Paige, is not a witch. You are something much more, but the question is what?
Stephen Schwartz, Wicked [With CD (Audio)]|I'm through accepting limits''cause someone says they're soSome things I cannot changeBut till I try, I'll never know!Too long I've been afraid ofLosing love I guess I've lostWell, if that's loveIt comes at much too high a cost!
Milan Kundera|It is absolutely necessary, for the peace and safety of mankind, that some of earth's dark, dead corners and unplumbed depths be let alone; lest sleeping abnormalities wake to resurgent life, and blasphemously surviving nightmares squirm and splash out of their black lairs to newer and wider conquests.
Pico Iyer|I had an incredibly full life with my imagination: I used to have all sorts of trolls and things; I had a wonderful world around my toys and invented people. I don't mean I had imaginary friends; I just had this big imagination thing going on. I didn't need any imaginary friends, because I had so much other stuff going on.
Swami Dhyan Giten, The Silent Whisperings of the Heart - An Introduction to Giten's Approach to Life|It is when our inner male and female sides meets within ourselves that a new spark of love, joy, and wholeness arises within ourselves.
Grigoris Deoudis|Only internal bliss is perpetual, nothing else is created to last. That's why God lives within us and all storms pass
Marshall Karp, The Rabbit Factory|You know your vote doesn't count, but you go through the motions, because it's been drummed into your head that you might be the one person who makes a difference.
Nina Riggs, The Bright Hour: A Memoir of Living and Dying|In contrast to the positive associations for total and dietary calcium, there was no association with intake of nondairy calcium. This result might have suggested that other components of dairy products than calcium contribute to [prostrate cancer] risk.
Chinonye J. Chidolue|Like stars are to the sky, so are the children to our world. They deserve to shine!
Jason E. Hodges|Someone asked me, 'How do you write a book?' I said, 'I live with a pen in one hand.
William Makepeace Thackeray, Vanity Fair|In the midst of friends, home, and kind parents, she was alone.
Paul  Hoffman|All will be redeemed in God's fullness of time, all, not just the small portion of the population who have been given the grace to know and accept Christ. All the strayed and stolen sheep. All the little lost ones.
Debasish Mridha|To be rich, don’t try to earn money. To grow abundance, never forget to cultivate your mind.
