Gautama Buddha|If you do not change direction, you may end up where you are heading
Angela Carter, Wise Children|Psychology researchers now claim that it is important for babies to learn how to stop crying by themselves. Fortunately, many parents still prefer to comfort their babies. If they didn't, we might find ourselves living in a society of very solitary people, who had learned to control thier distress rather than to find strength through sharing it.
Rudy Simone, Aspergirls: Empowering Females with Asperger Syndrome|Love? I wanted to go with him, to be on the stronger side, for him to spare me, like one who seeks shelter in the arms of the enemy to stay far from his arrows. It was different than love, I was finding out: I wanted him as a thirsty person desires water, without feelings, without even wanting to be happy.
Sharon Kay Penman, When Christ and His Saints Slept|In life, if you want to be happy, choose to be optimistic.
Chimamanda Ngozi Adichie, We Should All Be Feminists|Culture does not make people. People make culture. If it is true that the full humanity of women is not our culture, then we can and must make it our culture.
Bill Bryson|I suppose because I grew up a thousand miles from the sea and missed the great age of passenger liners, I have always been subject to a romantic longing for ocean travel.
Niccolò Machiavelli, The Discourses|Considering thus how much honor is awarded to antiquity, and how many times—letting pass infinite other examples—a fragment of an ancient statue has been bought at high price because someone wants to have it near oneself, to honor his house with it, and to be able to have it imitated by those who delight in that art, and how the latter then strive with all industry to represent it in all their works; and seeing, on the other hand, that the most virtuous works the histories show us, which have been done by ancient kingdoms and republics, by kings, captains, citizens, legislators, and others who have labored for their fatherland, are rather admired than imitated—indeed they are so much shunned by everyone in every least thing that no sign of that ancient virtue remains with us—I can do no other than marvel and grieve… From this it arises that the infinite number who read [the histories] take pleasure in hearing of the variety of accidents contained within them without thinking of imitating them, judging that imitation is not only difficult but impossible—as if heaven, sun, elements, men had varied in motion, order, and power from what they were in antiquity. Wishing, therefore, to turn men from this error, I have judged it necessary to write on all those books of Titus Livy...
Jason Patric|You can map your life through your favorite movies, and no two people's maps will be the same.
Charles de Lint, Dreams Underfoot|There are no happy endings... There are no endings, happy or otherwise. We all have our own stories which are just part of the one Story that binds both this world and Faerie. Sometimes we step into each others stories - perhaps just for a few minutes, perhaps for years - and then we step out of them again. But all the while, the Story just goes on.
Rick Riordan, Percy Jackson's Greek Gods|I (Percy) set Nico on guard duty with Beckendorf and the Stoll brothers, figuring he'd be safely out of the way...."What's happening?" Nico demanded, trying to climb up next to me.
Francis Spufford, Unapologetic: Why, despite everything, Christianity can still make surprising emotional sense|I believe that when I am dead, I am dead. I believe that with my death I am just as much obliterated as the last mosquito you and I squashed.(from Who's Who in Hell)
Sayo Masuda, Autobiography of a Geisha|I think you are wise. You haven't got what it takes for this job. You are like Rosemary's father. He couldn't understand Lenin's dictum: 'Away with softness.'"I thought of Hercule Poirot's words."I'm content," I said, "to be human...."We sat there in silence, each of use convinced that the other's point of view was wrong.
Ed Miliband|On the mountains mistakes are fatal. In politics, mistakes are wounding emotionally, but you recover. Personally, wilderness helps me get back in touch with natural rhythms, helps me reflect and, in the process, restore my creativity.
Michelle Horst, Wake Me Up|You see, there's a theory current you're insane, or you lean strongly in that direction.
Soke Behzad Ahmadi, Shorinjiryu Ryujin Kenpo|Karate is many things, but mainly it's about synergy, ebb and flow, trial and error, action and reaction, rhythm of life, progress . . .
Richelle E. Goodrich, Smile Anyway|You may not know my reasons, but you can assume I have them and be kind.
David Brainerd|I love HGTV. I love working on my house and have really been bit by the 'luxury remodeling' bug. 'Million Dollar Rooms,' 'Million Dollar Listing'... any show that can give me design inspiration, I soak it in and try my hand at it. Home Depot is my second home!
Michael A. Wood Jr.|I live completely without regret. Sure there are plenty of things that someone could second guess, but I see the path of life like driving down the road without a map. The thing is, some dark alleys open up in majestic places, and some bright and shiny highways to the top end in cliffs to the bottom. You never know until you get there. What I know for sure is that if many years ago I actually had a map to the path of life, the destination that I would have chosen is right here, with this family, in this place, and with these smiles. That makes anything that could have been regretful, the best decision in the world.
csalamone|why do I sleep? Because I dream, and that is where I hear the best stories and find the hidden destinations of life.
Cynthia Hand, The Last Time We Say Goodbye|It's funny how sometimes you don't see the obvious things coming. You think you know what life has in store for you. You think you're prepared. You think you can handle it. And then-boom, like a thunderclap-something comes at you out of nowhere and catches you off guard.
Christine Feehan, Oceans of Fire|No man can take your freedom from you. They can limit your mobility, but that's about all they can do
Oscar Wilde, The Critic as Artist|Yes: I am a dreamer. For a dreamer is one who can only find his way by moonlight, and his punishment is that he sees the dawn before the rest of the world.
Jimmy Henderson|Where there is little thinking, there is big shaping of the people! ~
Jay Woodman|Harmony can be achieved within through meditation, which increases overall well-being and function.
Renae A. Sauter, An Empowered Life: Mind/Body/Spirit Empowerment|If you put gratitude at the center of your life, one day you will find it has completely taken over.
Nicholas M. Cuono Sr., This Is His House and These Are His Rules|So many people will be lost to the fires of hell and ultimately experience the loss of their spiritual life because of this completion of pride, which is lust. Heaven is not about the physical; it’s about the spiritual, the completion of love, which is the opposite of lust. Hell, on the other hand, is all about the physical; it’s all about how you and I deal with the challenges we face daily here in this physical world. Do we lust after the pleasures of the flesh, or do we respond to the physical in a spiritual manner? That’s the greatest judgmental factor.
Maria McCann, As Meat Loves Salt|I dig and plough at your command,' I replied, 'but you will not tell me how to shit.
Billy Graham, Billy Graham in Quotes|There are restrictions to entering heaven. The Scripture says: “Nothing impure will ever enter [heaven], nor will anyone who does what is shameful or deceitful, but only those whose names are written in the Lamb’s book of life” [Revelation 21:27 NIV].
Efrat Cybulkiewicz|How I treat my daughter today, is how my daughter will treat you, tomorrow.
Bill Bennett|Education is important because, first of all, people need to know that discrimination still exists. It is still real in the workplace, and we should not take that for granted.
April White, Waging War|Sir Leicester is generally in a complacent state, and rarely bored. When he has nothing else to do, he can always contemplate his own greatness. It is a considerable advantage to a man to have so inexhaustible a subject.
Rachel Caine, Viper and the Farmer|[She] sees. She knows. She understands. About evil, or whatever you care to name it. It comes. It's relentless. It doesn't care if you forgot it. It searches, and it finds you, and it arrives on your doorstep one day, and it lights up a screen, it calls you by your real name, it smiles at you, it says hello, it eyes your son and promises to take him home.
Charbel Tadros|There is no real distinction between who can and cannot be a teacher. All that matters is that this person should have knowledge of the subject matter, empathy and compassion with others, and, above all, a great sense of humor which is the true mark of wisdom.
Otep Shamaya|And if all others accepted the lie which the Party imposed—if all records told the same tale—then the lie passed into history and became truth. 'Who controls the past' ran the Party slogan, 'controls the future: who controls the present controls the past.
Seth Grahame-Smith, Abraham Lincoln: Vampire Hunter|La mu’axsa, but I think I’ll just keep sliding down this greased pole to hell?
Alan Cohen|Blessed are those who eat greens, for they shall keep their teeth. Blessed are those who wash their hands after wiping their arses, for they shall not sicken. Blessed are those who boil water, for they shall be called saviors of mankind.
Katalin Bator-Hos, The SUPERMAGICIAN Within: Get Unstuck and Discover a Whole New Life With Your Intuitive Self|When you choose intuitive living, you are signing a contract with the Soul and the Spirit that you will follow your own path.
Anaïs Nin|I must be a mermaid, Rango. I have no fear of depths and a great fear of shallow living.
S.A. Tawks, Misadventurous|Something can be very funny and then suddenly very terrifying-very exciting, and suddenly very ridiculous. I think that’s what life is like, that’s what interests me.
Gena Showalter, Twice as Hot|Deep in the meadow, hidden far away A cloak of leaves, a moonbeam ray Forget your woes and let your troubles lay
Jim Bouton, Ball Four|As his former student Alastair Fowler once remarked, "Lewis seemed always on the verge of hilarity -- between a chuckle and a roar.
Robert Fulghum|Everything will be okay in the end. If it's not okay, then it's not the end.
Criss Jami|There is not one harsher, more sure-fire way to fail than that of the man who tries to be like Jesus without submitting to Jesus.
Barbara Walters|There's a generation of people I think without a strong connection to family, to religion, to civic duty. They have a real disassociation from the problems of the world.
Dr. Milton Helpern|Medicine no doubt, has helped us a lot to cure so many diseases, but death still remains an incurable one!
Bill     Scott|To us children he (Mr Ewing) was our very own ‘Mr Chips’ and invariably we would each receive half a crown whenever we encountered him on his afternoon walk. If we were particularly lucky, he would send us to the ‘Big House’ for ice-cream – a rare treat in the early 1950s
Sunday Adelaja|The wealth of time we wastage, is worth much more than all the natural resources we have on the earth.
Justin Cronin, The City of Mirrors|For the first time in my life, I felt the pain of missing people I had not yet left.
Zechariah Barrett|Jean smirked, and delicately swirled the mic in his hands, careful not to make a sound. “Oui. C’est normal. C'est pas spécial. I will give you something worthy of Holmes.” Jean set down the mic and proceeded toward the couple. As he approached them, he fiddled with his mustache for a moment, and then pulled it sharply. He winced at the sensation. “I have it,” he declared confidently. “You sir, are a thief.
Lois Lowry, Number the Stars|Dangers were no more than odd imaginings, like ghost stories that children made up to frighten one another: things that couldn't possibly happen.
Victoria Aveyard, King's Cage|Thank you,” I whisper. Words I never thought I would say to her. They unsettle us both.”“You want to thank me, Barrow?” she mutters, kicking away the last of my bindings. “Then keep your word. And let this fucking place burn.” (300)
Salman Rushdie, Midnight's Children|I am the sum total of everything that went before me, of all I have been seen done, of everything done-to-me. I am everyone everything whose being-in-the-world affected was affected by mine. I am anything that happens after I'm gone which would not have happened if I had not come.
Alin Sav|If you have stress, don´t share it.
David Sedaris, Me Talk Pretty One Day|He die one day, and then he go above of my head to live with your father."He weared the long hair, and after he died, the first day he come back here for to say hello to the peoples."He nice, the Jesus.
Eric Greitens, The Heart and the Fist: The Education of a Humanitarian, the Making of a Navy SEAL|The world needs many more humanitarians than it needs warriors, but there can be none of the former without enough of the latter.
Rick Riordan, The House of Hades|It’s more than that.’ Reyna rested her hand on Nico’s. ‘While you were asleep, I did a lot ofthinking. What I told you about my father … I’d never shared that with anyone. I guess I knew youwere the right person to confide in. You lifted some of my burden. I trust you, Nico.
Langston Hughes|It’s all right to tell a man to lift himself by his own bootstraps, but it is cruel jest to say to a bootless man that he ought to lift himself by his own bootstraps.
Karin Rahbek, Do I Have To Be A Mother?: A Childfree Woman's Struggle with Doubt and Loneliness|Being a mother brings us face-to-face with ourselves as children, with our mothers as human beings, with our darkest fears of who we really are.
Mokokoma Mokhonoana, The Confessions of a Misfit|Hysterical optimism will prevail until the world again admits the existence of tragedy, and it cannot admit the existence of tragedy until it again distinguishes between good and evil. . . Hysterical optimism as a sin against knowledge.
Stanisław Lem, The Futurological Congress: From the Memoirs of Ijon Tichy|Chapulier's Rule (the law of least resistance). If the machine is not too bright and incapable of reflection, it does whatever you tell it to do. But a smart machine will first consider which is more worth its while: to perform the given task or, instead, to figure some way out of it....The Great Mendacitor, for example, for nine years in charge of the Saturn meliorization project, did absolutely nothing on that planet, sending out piles of fake progress reports, invoices, requisition forms, and either bribed his supervisors or kept them in a state of electronic shock.
Garth Stein, The Art of Racing in the Rain|When you listen to someone, you should give up all your preconceived ideas and your subjective opinions; you should just listen to him, just observe what his way is. We put very little emphasis on right and wrong or good and bad. We just see things as they are with him, and accept them. This is how we communicate with each other. Usually when you listen to some statement, you hear it as a kind of echo of yourself. You are actually listening to your own opinion. If it agrees with your opinion you may accept it, but if it does not, you will reject it or you may not even really hear it.
LL Cool J|Visualization - it's been huge for me. Your mind doesn't know the difference between imagination and reality. You can't always practice perfectly - my fingers will play a little bit out of tune, or my dance moves might not be as sharp - but in my mind, I can practice perfectly.
John Cena|Giving back is the right thing to do, whether it's donating clothing or even just a smile to someone who needs it.
Julia Quinn, The Viscount Who Loved Me|Anthony looked down at his evil clutches -- hands, he reminded himself, hands -- and grinned anew.
Winifred Gallagher|However, by Sunday noon--not coincidentally, the unhappiest hour in America--you may have run through your options and wind up slumped on a couch, suffering from the Sabbath existential crisis. It's at just such unfocused, unproductive times, says Csikszentmihalyi, that "people start ruminating and feeling that their lives are wasted and so forth.
Chelsea Handler|Men don’t realize that if we’re sleeping with them on the first date, we’re probably not interested in seeing them again either.
Vinod Varghese Antony|Music fountains from purity, travels through serenity and dissolves with tranquility.
Derek Prince, God Is a Matchmaker|God first appeared on the scene of human history in the role of a matchmaker. What a profound and exciting revelation!Is it too much to suggest that Eve came to Adam on the arm of the Lord Himself in the same way that a bride today walks down the aisle of the church on her father’s arm? What human mind can fathom the depth of love and joy that filled the heart of the great Creator as He united the man and woman in this first marriage ceremony?Surely this account is one among countless indications that the Bible is not a work of merely human authorship. Moses is generally accepted as the author of the creation record. But apart from supernatural inspiration, he would never have dared to open human history with a scene of such amazing intimacy—first between God and man, and then between man and woman.
Chloe Thurlow, Girl Trade|If character is destiny, I was fated to be carried off into the desert. From the deck of the ship I had imagined my own ghost and seen my unvanishing footsteps. When you don't belong anywhere it doesn't matter where you are or where you go, if you stay or move on. You arrive at a place where the view forwards and backwards is the same, where the sun rises in the east one day and the west the next, where you stop planning and live like the birds and beasts by intuition and instinct.
AainaA-Ridtz, The Sacred Key — Transcending Humanity|Consider this:1. Would you ride in a car whose driver was on the consciousness-expanding "entheogenic" drug LSD?And here's a bonus question:2. Why does an "expanded consciousness" include the inability to operate a motor vehicle?
Ernest Agyemang Yeboah|Harmony doesn’t happen by accident, accidents happen by accident.
Rudyard Kipling|Immature love says "I love you because I need you." Mature love says "I need you because I love you."
William Meikle|I write to escape. I haven't managed it yet, but I'm working on it
Daniel H. Wilson|Abstraction is one of the greatest visionary tools ever invented by human beings to imagine, decipher, and depict the world.
Andrew Lang, The Red Fairy Book|Not all fairy tales have happily ever afters, some just have afters.
Michelle Hoover, The Quickening|I had come alive here...this was my home, and though one day it would all trickle through my fingers like so much red dust, for as long as childhood lasted it was a heaven fitted exactly to me. A place I knew by heart. The one place in the world I'd been made for.
Carrie Brownstein|The best transactions in families or between friends occur on the fly. They come as stochastic shocks, or serendipities. People often step out onto our path as we are hurrying to a meeting or intent on finishing a project, and it usually turns out that the meeting or the project was inconsequential compared to the chance to get closer to someone we cared for.
Rick Yancey, The Infinite Sea|I have worked like a dog all my life, honey. Dancing, as Fred Astaire said, is next to ditch-digging. You sweat and you slave and the audience doesn’t think you have a brain in your head.
John Gardner|The writer, indeed every real artist, was the devil, rivalling God in creativity, trying even to surpass him. God was surely man’s most fatal creation, the devil’s kitsch bitch. It was God, with his insistence on being worshipped and admired, who made the argument of art necessary, keeping the fire of dissent alive in men and women. This dissident was the artist, who spanned with his imagination reason and unreason, the under and the over, the dream and the world, men and women.
Shannon L. Alder, 300 Questions LDS Couples Should Ask for a More Vibrant Marriage|I can't explain it. It's what turns you to powder, being ground between what you can't do and what you must do. You just turn to dust.
Farshad Asl, The "No Excuses" Mindset: A Life of Purpose, Passion, and Clarity|An uninspired mind creates a lack of energy for the body, resulting in a lack of performance filled with excuses.
Jessye Norman|'Make your plate look like a Christmas tree,' I tell people, 'mostly green with splashes of other bright colors.'
Heidi W. Durrow, The Girl Who Fell from the Sky|It's easy to smile just to make other people feel better. But when a person fakes happy, it has edges. Regular people may not see, but the people who count, they can see the edges and the lines where your smile ends and the real you, the sadness (me) or the anger (Grandma) begins.
Ilona Andrews, Clean Sweep|As a ground-combat force approaches the deadly zone and moves within range of the enemy’s rifles, mortars, and machine guns, the dynamics of war become more art than science. Intangibles such as training, confidence, leadership, and cohesion provide more secure mantle of protection than the possession of superior equipment.”There is as much folklore as science in the accounts of maneuver units that do exceptionally well in close combat. Empirical and anecdotal evidence gathered from combat studies of the Second World War, Korea, and Vietnam has shown conclusively that elite maneuver units, carefully selected and trained, not only perform better in combat but do so with many fewer casualties from all sources of combat incapacitation (for example, from disease and combat fatigue). Such units fight so effectively because they are composed of soldiers of exceptionally quality – better trained and better led as well as coalesced through long-term association that builds familiarity and mutual trust. The difference between carefully trained and led units and those of lesser quality is dramatic.
Brian M. Holmes, What Are You Crying About? Defeating Grief for Christians|There need not be a purpose to a person's death, other than that they have lived the length of their days on this Earth and now begin the longer part of their existence.
Lucy H. Pearce, The Rainbow Way: Cultivating Creativity in the Midst of Motherhood|The message of love or beauty or hope needs to be said by a hundred thousand different voices, written by a hundred thousand different pens, at a hundred thousand different times in history, different places in the world, different sectors of society, in different genres and registers, simply to be heard by the billions of ears and hearts that lie waiting for a truth which fires their soul, answers their question, speaks to their heart.
Coreen T. Sol, Practically Investing: Smart Investment Techniques Your Neighbour Doesn't Know|Presidents and other politicians manage the appearance of things, largely by manipulating the air and hope.
Victor Hugo, Les Misérables|Reading all my old love letters was disorienting. You remember thinking the thoughts and writing the words but, man, you can't TOUCH those feelings. Its like they belonged to someone else. Someone you don't even know. I'm aware, in an intellectual way. That I felt all those things about him, but this emotions are far away now.What's so strange to me is that I can't even force my heart back to that place where I felt that all consuming passion. That makes me feel distant from myself. Who WAS I then? Will I ever be able to get back to that place? Reading the letters again made me wonder: Which is the real me? The one who saw the world in that emotionally saturated way, or the me who sees it the way I do now?
Abhijit Naskar, We Are All Black: A Treatise on Racism|Arise O lion-heart! Awake, O great soldier! Misery has come upon the world. It is wailing for help. It is wailing for redemption. Won’t you do anything, my friend!
Paulo Coelho, The Zahir|This last week has been a little hell for both of us simply because I didn't understand my own feelings. And because I can't understand them, I blame her for provoking in me feelings that make my world seem suddenly unsafe.
Kathleen Sheeder Bonanno, Slamming Open the Door|Try to be thoughtful, don't make the poor man say it;see how human he is,he has children of his own,it is your job to ask:And now he can never not nod.And now he can never say no.And now he can never not say.
Emily Hanson|There was a tiny house in townThat had always stayed the same,Home to a girl wearing a sundressCalling each flower by name.It was the calm within the chaos,The sun around which we revolved,As stubborn as a stoneIn its refusal to evolve.I thought it had foreverTrapped within its weathered walls,Watching all the livesThey built around its rise and fall.But one day with no warningThe world felt shallower and strange,And the view outside my windowSeemed to all at once have changed.I ran with lungs near burstingTo that tiny house in town,Yet the ashes of foreverWas the only thing I found.Walking home it felt the worldWas made of me and salty tears,And the woman in a sundressWho watched me slowly disappear.
Immanuel Kant, Critique of Pure Reason|It will be seen how there can be the idea of a special science, the *critique of pure reason* as it may be called. For reason is the faculty which supplies the *principles* of *a priori* knowledge. Pure reason therefore is that which contains the principles of knowing something entirely *a priori*. An *organon* of pure reason would be the sum total of the principles by which all pure *a priori* knowledge can be acquired and actually established. Exhaustive application of such an organon would give us a system of pure reason. But as this would be a difficult task, and as at present it is still doubtful whether indeed an expansion of our knowledge is possible here at all, we may regard a science that merely judges pure reason, its sources and limits, as the *propaedeutic* to the system of pure reason. In general, it would have to be called only a *critique*, not a *doctrine* of pure reason. Its utility, in regard to speculation, would only be negative, for it would serve only to purge rather than to expand our reason, and, which after all is a considerable gain, would guard reason against errors. I call all knowledge *transcendental* which deals not so much with objects as with our manner of knowing objects insofar as this manner is to be possible *a priori*. A system of such concepts would be called *transcendental philosophy*. But this is still, as a beginning, too great an undertaking. For since such a science must contain completely both analytic and synthetic *a priori* knowledge, it is, as far as our present purpose is concerned, much too comprehensive. We will be satisfied to carry the analysis only so far as is indispensably necessary in order to understand in their whole range the principles of *a priori* synthesis, with which alone we are concerned. This investigation, which properly speaking should be called only a transcendental critique but not a doctrine, is all we are dealing with at present. It is not meant to expand our knowledge but only to correct it, and to become the touchstone of the value, or lack of value, of all *a priori* knowledge. Such a critique is therefore the preparation, as far as possible, for a new organon, or, if this should turn out not to be possible, for a canon at least, according to which, thereafter, the complete system of a philosophy of pure reason, whether it serve as an expansion or merely as a limitation of its knowledge, may be carried out both analytically and synthetically. That such a system is possible, indeed that it need not be so comprehensive as to cut us off from the hope of completing it, may already be gathered from the fact that it would have to deal not with the nature of things, which is inexhaustible, but with the understanding which makes judgments about the nature of things, and with this understanding again only as far as its *a priori* knowledge is concerned. The supply of this *a priori* knowledge cannot be hidden from us, as we need not look for it outside the understanding, and we may suppose this supply to prove sufficiently small for us to record completely, judge as to its value or lack of value and appraise correctly. Still less ought we to expect here a critique of books and systems of pure reason, but only the critique of the faculty of pure reason itself. Only once we are in possession of this critique do we have a reliable touchstone for estimating the philosophical value of old and new works on this subject. Otherwise, an unqualified historian and judge does nothing but pass judgments upon the groundless assertions of others by means of his own, which are equally groundless.
Marcel Proust, Swann's Way|The reality that I had known no longer existed. The places that we have known belong now only to the little world of space on which we map them for our own convenience. None of them was ever more than a thin slice, held between the contiguous impressions that composed our life at that time; remembrance of a particular form is but regret for a particular moment; and houses, roads, avenues are as fugitive, alas, as the years.
David Sedaris, When You Are Engulfed in Flames|I'm dating myself, but this was before Jesus Christ. We worshiped a God named Sashatiba, who had five eyes, including one on the Adam's apple.
Robert Burns|Is there for honest Poverty  That hings his head, an' a' that;  The coward slave-we pass him by,  We dare be poor for a' that!  For a' that, an' a' that.  Our toils obscure an' a' that,  The rank is but the guinea's stamp,  The Man's the gowd for a' that.  What though on hamely fare we dine,  Wear hoddin grey, an' a that; Gie fools their silks, and knaves their wine;  A Man's a Man for a' that:  For a' that, and a' that,  Their tinsel show, an' a' that;  The honest man, tho' e'er sae poor,  Is king o' men for a' that.  Ye see yon birkie, ca'd a lord, Wha struts, an' stares, an' a' that;  Tho' hundreds worship at his word,  He's but a coof for a' that:  For a' that, an' a' that,  His ribband, star, an' a' that:  The man o' independent mind  He looks an' laughs at a' that.  A prince can mak a belted knight,  A marquis, duke, an' a' that; But an honest man's abon his might, Gude faith, he maunna fa' that!  For a' that, an' a' that,  Their dignities an' a' that;  The pith o' sense, an' pride o' worth,  Are higher rank than a' that.  Then let us pray that come it may,  (As come it will for a' that,)  That Sense and Worth, o'er a' the earth,  Shall bear the gree, an' a' that.  For a' that, an' a' that,  It's coming yet for a' that,  That Man to Man, the world o'er,  Shall brothers be for a' that.
Cyndi Goodgame, Under Cover|I never quite understood the question that says, is the glass half empty or half full? What’s the difference? Eventually it’ll end up empty and in the trash.
E.L. James|I am crying over the loss of something I never had. How ridiculous. Mourning something that never was – my dashed hopes, dashed dreams, and my soured expectations.
J.D. Stroube, Caged by Damnation|Life is filled with unanswered questions, but it is the courage to seek those answers that continues to give meaning to life. You can spend your life wallowing in despair, wondering why you were the one who was led towards the road strewn with pain, or you can be grateful that you are strong enough to survive it.
Hippocrates|I intend to live forever. So far, so good.
Ratish Edwards|You're in the mirror, I am your image...
Ron Baratono, The Writings of Ron Baratono|My breath catches in my throat as a chill makes me shiver, leaving gooseflesh in its wake. My eyes latch on to his, pleading with him to kiss me.
Eugene Lim, Dear Cyborgs|The problem is that history is not a dialectic progression but a biome, a swamp where ideas chase each other around and wallow and where drupelets of their larvae cluster and then hatch to devour siblings.
Harper Lee, To Kill a Mockingbird|First of all," he said, "if you can learn a simple trick, Scout, you'll get along a lot better with all kinds of folks. You never really understand a person until you consider things from his point of view--until you climb into his skin and walk around in it.
Randy Forbes|I feel like our culture is so good at pulling other people down and being so judgmental, but there's space for all of us to be who we are. There's space for us to celebrate each other and root for each other and not take each other down.
Veronica Lavallee|When I look in the mirror, I see someone who will accomplish amazing things
Melinda Salisbury, The Sin Eater’s Daughter|We’re to be married. Does it matter if I permit it?”“To me it does, yes,” says Merek. “And I imagine you, like me, appreciate the illusion of having a choice, even when illusion is all it is.
Blaise Pascal, The Mind on Fire: A Faith for the Skeptical and Indifferent|There are feet that are swift to mete out defeat to anything different, but in doing so the assailant is already defeated. I say to them that the lack of awareness concerning their premature end is due to their immaturity and ignorance. The awareness defeatists lack, is found in those they hunger to defeat. To them, difference is hostility.
Agatha Christie, The Murder on the Links|There! Now we're friends!" declared the minx. "Say you're sorry about my sister -""I am desolated!""That's a good boy!
Juliet Blackwell, Secondhand Spirits|I wouldn't be comfortable, but at least I'd have marginal protection against pointy steel objects that went stab in the night.
J.K. Rowling|Gaea?” Leo shook his head. “Isn’t that Mother Nature? She’s supposed to have, like, flowers in her hair and birds singing around her and dear and rabbits doing her laundry.”“Leo, that’s Snow White,” Piper said.
Wendy J. Mahill, Growing a Passionate Heart|In fact, all of us are very susceptible to having our humiliating experiences turn to shame, especially when the person who is putting us down is someone with whom we have a valued relationship or someone whom we perceive to have more power than we do...
Laura     Miller, Butterfly Weeds|The past is a very determined ghost, haunting every chance it gets.
Christine de Pizan, The Book of the City of Ladies|[J]ust the sight of this book, even though it was of no authority, made me wonder how it happened that so many different men – and learned men among them – have been and are so inclined to express both in speaking and in their treatises and writings so many wicked insults about women and their behaviour. Not only one or two ... but, more generally, from the treatises of all philosophers and poets and from all the orators – it would take too long to mention their names – it seems that they all speak from one and the same mouth. Thinking deeply about these matters, I began to examine my character and conduct as a natural woman and, similarly, I considered other women whose company I frequently kept, princesses, great ladies, women of the middle and lower classes, who had graciously told me of their most private and intimate thoughts, hoping that I could judge impartially and in good conscience whether the testimony of so many notable men could be true. To the best of my knowledge, no matter how long I confronted or dissected the problem, I could not see or realise how their claims could be true when compared to the natural behaviour and character of women.
David Rakoff, Half Empty|Well into adulthood, writing has never gotten easier. It still only ever begins badly, and there are no guarantees that this is not the day when the jig is finally up.
Jack Kerouac|If critics say your work stinks it's because they want it to stink and they can make it stink by scaring you into conformity with their comfortable little standards. Standards so low that they can no longer be considered "dangerous" but set in place in their compartmental understandings.
Nick Lane|In the last 25 years, criticism of most theories advanced by Darwin and the neo-Darwinians has increased considerably, and so did their defense. Darwinism has become an ideology, while the most significant theories of Darwin were proven unsupportable. The critics advanced other theories instead of 'natural selection' and the survival of the fittest'. 'Saltatory ontogeny' and 'epigenesis' are such new theories proposed to explain how variations in ontogeny and novelties in evolution are created. They are reviewed again in the present essay that also tries to explain how Darwinians, artificially kept dominant in academia and in granting agencies, are preventing their acceptance. Epigenesis, the mechanism of ontogenies, creates in every generation alternative variations in a saltatory way that enable the organisms to survive in the changing environments as either altricial or precocial forms. The constant production of two such forms and their survival in different environments makes it possible, over a sequence of generations, to introduce changes and establish novelties--the true phenomena of evolution. The saltatory units of evolution remain far-from-stable structures capable of self-organization and self-maintenance (autopoiesis).[Evolution by epigenesis: farewell to Darwinism, neo- and otherwise.]
Neil M. Hanson, Pilgrim Wheels: Reflections of a Cyclist Crossing America|A tailwind, on the other hand, is one of the most beautiful experiences you can have on a bike. There’s no wind in my ears, so I hear everything around me. The chain purrs sweetly as it pulls the gears under the coaxing of my legs. The soft hiss of my tires on the smooth hard pavement, the sound of little critters scurrying in the desert around me as I pass. Smells aren’t as big a deal out here in the dry desert, but even the smells are more accessible in a tailwind, since I’m moving through air at a slower relative speed, and the smells linger around my face long enough to register and enjoy them.Relative progress, speed, sights, smells, sounds. It all goes together to create a gestalt for the ride that’s pure sweetness, and I never want it to end.Hozho.
Thomas Szasz|If we want boys to succeed, we need to bring them back to education by making education relevant to them and bring in more service learning and vocational education.
Josef Škvorecký, The Engineer of Human Souls|There is beauty everywhere on earth, but there is greater beauty in those places where one feels that sense of ease which comes from no longer having to put off one’s dreams until some improbable future – a future inexorably shrinking away; where the fear that has pervaded one’s life suddenly vanishes because there is... nothing to be afraid of.
Ibn Arabi|We usually live our lives with the belief that "I sacrifice myself for everyone else," rather than thinking that "everyone else helps me.
Garth Ennis, Hellblazer: Dangerous Habits|I'm the one who steps from the shadows, all trenchcoat and cigarette and arrogance, ready to deal with the madness. Oh, I've got it all sewn up. I can save you. If it takes the last drop of your blood, I'll drive your demons away. I'll kick them in the bollocks and spit on them when they're down and then I'll be gone back into darkness, leaving only a nod and a wink and a wisecrack. I walk my path alone... who would walk with me?
C. JoyBell C.|Always remember that those with very important paths to fulfill will always be forced by life into the fear of the very things that their true paths consist of, in order to prevent the destiny from ever happening. Or perhaps, in order to strengthen the courage of the heart, because courage is to look into a direction, make a choice and to actually do that which you are afraid of, and what is destiny if it is not fulfilled by a heart full of courage and brawn?
Ronald Reagan|As government expands, liberty contracts.
Elle Lothlorien, Alice in Wonderland|Wait, and you had to ask him if Faye’s in danger? IF? Okay, first of all, I’m just going to admit that I didn’t know Japan had a Mafia, but I also didn’t know they got a Disney World. If someone gets an invitation from the Mafia, I’d say there’s potential for a bit of danger, wouldn’t you? I mean, am I the only one here who saw Goodfellas?
Guy Delisle, Shenzhen: A Travelogue from China|Because with time blocking out the bad, memory is always bound to be a bit naive and stupidly optimistic.
Jennifer Walkup, Second Verse|I look away, but we've caught each other. And I know this wasn't just a ghost story to him, even if it was to the others.
Yolanda Adams|I was a teacher most of my life, which I loved. I had a very happy working life, and when I retired, I thought I must do something, and I've always read a lot of fiction - you learn so much from fiction. My sentimental education came mostly from fiction, I should say, so I thought I'd try.
