John Irving, A Prayer for Owen Meany|Great words, arranged with cunning and artistry, could change the perceived world for some readers
Victor Lodato, Mathilda Savitch|Time is funny lately, nothing to do with clocks.
Emily Mortimer|I'm very sensitive. I remember, as a kid at school, if someone in the classroom was sad or angry, it could have a great impact on me.
Alex Garland, The Beach|As for me...I'm fine. I have bad dreams, but I never saw Mister Duck again. I play video games. I smoke a little dope. I got my thousand-yard stare. I carry a lot of scares.I like the way that sounds.I carry a lot of scares.
A.L. Haddix, Eliza's Holiday|They can lick you, darling. They can stroke you and suck you and pet you, but they can't have you. The only question now is how many times I'm gonna watch you come before I get my cock in you.
Garry Crystal, Leaving London|Well, now, what do you expect? You're His child. Of course you're going to be lonely when you hold yourself from Him.
Anne Elizabeth Moore, The Manifesti of Radical Literature|Scientists are aware that all the lab-rat tests in the world, once compiled, can tell us only how lab rats act when tested, and that is how we must begin to view school: all that you can learn in a school classroom is what goes on inside a school classroom.
Cristiane Serruya, Trust: Pandora's Box|Sometimes, meu amor, we lose too much time asking ourselves questions that we can’t answer and forgetting that the answer is just beside us. You have to learn to ask and to listen. If one does not listen, the other does not exist. When the other does not exist, one is alone. I don’t want to be alone, do you?
Steven Magee|If the ability to make use of experience and draw conclusions decided, we would have forgotten what war is a long time ago. But those whose goal is war have never been held back, nor will be, by experience or analogy.
EsthersChild, It Takes A Cat|It takes a cat to heal a woman's wounded heart." I say this knowing it takes a full range of other factors to resolve emotional damage issues and restore personal equilibrium. I've had a heaping share of therapy, familial support, friendships and rescue. What I craved now, however, was the privacy, closeness, and unconditional love of a cat to bring my healing process full cycle. I needed CiCi.
J.Williard Gibbs|The dogma of the impossibility of determining the atomic constitution of substances, which until recently was advocated with such fervor by the most able chemists, is beginning to be abandoned and forgotten; and one can predict that the day is not far in the future when a sufficient collection of facts will permit determination of the internal architecture of molecules. A series of experiments directed toward such a goal is the object of this paper.
Karen Chance, Embrace the Night|At night, here in the library, the ghosts have voices.
Latika Teotia|I am focusing on positive thoughts – thoughts of hope, thoughts of love, thoughts of faith …
Storm Constantine, Thin Air|Hal finds he rather envies a man who feels he has something to explain his being fucked up, parents to blame it on.
Laurence Overmire|Good people turn to love, courage and kindness in times of crisis, not hate, fear and cruelty.
Mehmet Murat ildan|Let us freely walk in the countryside, like a horse peacefully walking towards sunset without any particular purpose!
Mensah Oteh|The pursuit of any worthwhile goal requires that you give up something that feels comfortable, secure, and safe in the moment to get you closer to your future dreams.
Pete Rose|Refugees come to us seeking asylum, seeking freedom, justice and dignity - seeking a chance just to breathe. And people in our country are saying close the doors and don't let them in?
Cornelia Funke, Inkdeath|She read and read and read, but she was stuffing herself with the letters on the page like an unhappy child stuffing itself with chocolate. They didn’t taste bad, but she was still unhappy.
Julie Berry, All the Truth That's in Me|I want to learn. I deserve to read and write. Thoughts for company, and a pen for a voice. Who is more entitled to those privileges than I?
Rebecca McKinsey, Sydney West|And so, when the chips are down, I must say, though not without a sense of repugnance, that if you wish to show your belief in democracy, you also have to do so when you are in the minority, convinced both intellectually and, not least, in your innermost self, that the majority, in the name of democracy, is crushing everything you stand for and that means something to you, indeed, all that gives you the strength to endure, well, that gives a kind of meaning to your life, something that transcends your own fortuitous lot, one might say. When the heralds of democracy roar, triumphantly bawling out their vulgar victories day after day so that it really makes you suffer, as in my own case, you still have to accept it; I will not let anything else be said about me, he thought.
Horacio Quiroga|Tell the story as if it were only of interest to the small circle of your characters, of which you may be one. There is no other way to put life into the story.
Joel Fuhrman|If you eat the standard Western diet that most people eat in the modern world, it's quite likely you will develop heart disease.
Ann Patchett, Bel Canto|My voice is never much louder than a ripple, but even small voices sound loud when you talk about things that matter.
Justin Lee, Torn: Rescuing the Gospel from the Gays-vs.-Christians Debate|My choices, it seemed, were to be branded a sinner and live my life alone; to abandon my faith, the one thing I held most dear in the entire world; or to lie to everyone, pretend I was straight, and forget about it all.
Martijn Benders|To me, quotes function as the sunscreen against a writers brilliance. As soon as I cannot stand to look at the magnificence of the acropolis of pure thought the writer managed to doll out in the cognizant chaos - I quote him, and by doing so I am discharged and freed. On the other hand, even while I do acknowledge that some things cannot be quoted, I vehemently distrust any writer whose army of quotes does not consist of impeccable warriors but the sort of bootless canon fodder that caused one to write in the first place, wishing to circumlocute that strappant lot. No writer can ever recover from bad quotes. I check the army of quotes, and if it has no sporting chance against a simple pack of butter then I will simply never ever read this person. One often hears short stories are the benchmark of great writers, but if you ask me, I'd rather first look at their quotes.
Christopher Hitchens, god is Not Great: How Religion Poisons Everything|And here is the point, about myself and my co-thinkers. Our belief is not a belief. Our principles are not a faith. We do not rely solely upon science and reason, because these are necessary rather than sufficient factors, but we distrust anything that contradicts science or outrages reason. We may differ on many things, but what we respect is free inquiry, openmindedness, and the pursuit of ideas for their own sake.
Portia de Rossi, Unbearable Lightness: A Story of Loss and Gain|Tell her I'm sorry I sold the diamond, eh?" Sammy said. "I broke my promise. When she disappeared in Alaska... ah, so long ago, I finally used that diamond, moved to Texas as I always dreamed. I started my machine shop. Started my family! It was a good life, but Haze; was right. The diamond came with a curse. I never saw her again." "Oh, Sammy," Hazel said. "No, a curse didn't keep me away. I wanted to come back. I died!" The old man didn't seem to hear. He smiled down at the baby, and kissed him on the head. "I give you my blessing, Leo. First male great-grandchild! I have a feeling you are special, like Hazel was. You are more than a regular baby, eh? You will carry on for me. You will see her someday. Tell her hello for me.
Marian Wright Edelman|When mothers earn their fair share, young children have greater access to quality health care, educational opportunities, and safe communities. By ending the wage gap, we will help ensure that every child can achieve his or her God-given potential.
Hadley Freeman, Be Awesome: Modern Life for Modern Ladies|Handy Hint! When your friend talks about having 'a sweep', do not then visualise Dick van Dyke in his cheeky chappy chimney sweeper outfit heading up into her uterus to do a rendition of 'Step in Time'. Laughter is the inappropriate response to your friend's news.
Erin Hunter, The Last Hope|Brambleclaw turned to Squirrelflight first. “Will you fight beside me?”Their eyes met for a long moment. “Always,” she meowed.
Thomas More, Utopia|Admiring and a little overwhelmed by the simple opulence of the limousine’s interior, she shook snowflakes from her scarf and tresses, hoping the rare effort she had put into doing her hair was not entirely r
Henry David Thoreau|It is not the logical part of thinking that changes emotions but the perceptual part. If we see something differently, our emotions may alter with the altered perception. (p64)
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Because we are always growing, life compounds and magnifies what is already in us. If you are miserable you grow in misery and if you are joyful you grow in joy. This makes self-love is the perfect soil from which to grow love.
Mary Balogh, The Temporary Wife / A Promise of Spring|This man was different from all others; he was forbidden fruit, the outsider. Her mother had trained her well, but she had never told her what to do if a man set her heart to throbbing like the hooves of a runaway horse.
Ally Condie, Matched|Now that I've found the way to fly, which direction should I go into the night?
Kristin Hannah, The Things We Do for Love|Angie: "How do I pitch these ideas to her?"Mira: "From a distance, preferably wearing body armor.
Marc Andreesen|I have an almost religious zeal... not for technology per se, but for the Internet which is for me, the nervous system of mother Earth, which I see as a living creature, linking up.
Page  Turner, Poly Land: My Brutally Honest Adventures in Polyamory|Charity groped for the phone, coming up with it at last and croaking "hello" in a voice that sounded exactly like a bullfrog's mating call. Which made a kind of twisted sense -- last night she'd been hunting for a mate as well.
Laura Bates, Everyday Sexism|As long as we as a society continue to belittle and dismiss women's accounts, disbelieve and question their stories, and blame them for their own assaults, we are playing right into the hands of those who silence victims by asking: "who would believe you anyways?".
Naomi Wolf|Aging in women is 'unbeautiful' since women grow more powerful with time, and since the links between generations of women must always be broken.
Andy Andrews, The Noticer Returns: Sometimes You Find Perspective, and Sometimes Perspective Finds You|Good art requires the examination of faith issues from a variety of perspectives and voices. Yet for many audience members, the only way a film can be “Christian” is if there is a major altar-call type scene with a dramatic conversion. If the movie isn’t an overt endorsement not only of faith itself but Judeo-Christian morality and/or Protestant culture, then it’s not “Christian.
Ben Shapiro|My typical morning involves some time on the treadmill, but obviously I skip that a lot. Mostly, I wake up, check my email, then get to work on the various interviews and questions and phone calls that come with being an author.
Mehmet Murat ildan|Life is offering you infinite paths! To get stuck in one path is nothing but shallowness! Go deep, discover other lanes!
Shunryu Suzuki|Zen is not some kind of excitement, but concentration on our usual everyday routine.
Jason Day|I guess I don't like the fact that my life is becoming less and less my own - the prevailing attitude that you have an obligation to deliver yourself to the public. Actually, you're delivered to the public whether you like it or not. I guess if you don't like it, you should stop doing what provokes it. In my case, that's acting.
Jennifer Silverwood, Stay|I have no right to make you love me, or to love you. But I do know that love is something that is tested and mended over time."I don't know if purely romantic love can last through anything (it is so based on feelings and attraction, both of which are fickle at times), but I think friendship can, and when the romantic love and friendship get blurred together into one it makes 'relationship cement,' I think." - Stay by Jennifer Silverwood"And then, real love I think comes later. When you really get to know someone and how they think and feel, when you can't imagine if something were to happen to them. When you trust them and want to spend all your time doing nothing with them, when you want to grow old together." - Stay by Jennifer Silverwood
Edward S. Greenberg, The Struggle for Democracy|A less well known impact of immigrant populations is the increase that destination states gain in Congress where apportionment of seats in the House of Representatives is calculated on the basis of a state's entire adult population regardless of legal status. And, because each state's electoral college vote is the sum of the number of its representatives in the House and its two senators, high immigration states play a larger role in presidential elections than they might if only adult citizens and legal aliens were counted in population surveys.
J.R.R. Tolkien, The Return of the King|It occurred to me that if I could invent a machine - a gun - which could by its rapidity of fire, enable one man to do as much battle duty as a hundred, that it would, to a large extent supersede the necessity of large armies, and consequently, exposure to battle and disease [would] be greatly diminished.
Veronica Roth, The Transfer|Don’t just think about what you missed! Don’t continue to dwell on your past mistakes. You shall also miss something in life, consciously or unconsciously! You shall never be able to do all things excellently in life though you must try to! The lesson from what you missed and its application for a better tomorrow is what matter! Move your thought! Move your body!
Samuel P. Huntington|The urge to lie is produced by the contradictions in our lives. We are made to declare love for our country, while it tramples our rights and dignity.
Thomas Henry Huxley, Collected Essays of Thomas Henry Huxley|Perhaps the most valuable result of all education is the ability to make yourself do the thing you have to do, when it ought to be done, whether you like it or not. It is the first lesson that ought to be learned and however early a man's training begins, it is probably the last lesson that he learns thoroughly.
Agatha Christie, Towards Zero|But I made an issue of the precise wording of the vows. I wanted liberalized ones, with no outmoded Pauline nonsense exacting from the bride the promise to 'obey' the groom. Here I put my foot down, rather in the manner of a husband determined to show at the outset who was boss. 'I'll have no obedience around here!' I said, banging the table. 'Is that clear?''Is it an order?''Yes.
V.C. Andrews, Flowers in the Attic|Go on, glare your eyes at me, and cry and plead, and talk tome about money and what it can buy. But it can't buy back a child once he's dead!
Emma Larkin|We Burmese,' he began, 'are experts at looking for what's not there. It's something you should learn to do too. You must look for what's missing and learn how to find the truth in these absences.
Kahlil Gibran, The Prophet|Accept the seasons of your heart, even as you have always accepted the seasons that pass over your fields.And you would watch with serenity through the winters of your grief.
Francis Chan|It is easy to become disillusioned with the circumstances of our lives compared to others'. But in the presence of God, He gives us a deeper peace and joy that transcends it all.
Elizabeth Kolbert, The Sixth Extinction: An Unnatural History|Ocean Acidification is sometimes referred to as Global Warming's Equally Evil Twin. The irony is intentional and fair enough as far as it goes... No single mechanism explains all the mass extinctions in the record and yet changes in ocean chemistry seem to be a pretty good predictor. Ocean Acidification played a role in at least 2 of the Big Five Extinctions: the End-Permian and the End-Triassic. And quite possibly it was a major factor in a third, the End-Cretaceous. ...Why is ocean acidification so dangerous? The question is tough to answer only because the list of reasons is so long. Depending on how tightly organisms are able to regulate their internal chemistry, acidification may affect such basic processes as metabolism, enzyme activity, and protein function. Because it will change the makeup of microbial communities, it will alter the availability of key nutrients, like iron and nitrogen. For similar reasons, it will change the amount of light that passes through the water, and for somewhat different reasons, it will alter the way sound propagates. (In general, acidification is expected to make the seas noisier.) It seems likely to promote the growth of toxic algae. It will impact photosynthesis—many plant species are apt to benefit from elevated CO2 levels—and it will alter the compounds formed by dissolved metals, in some cases in ways that could be poisonous.Of the myriad possible impacts, probably the most significant involves the group of creatures known as calcifiers. (The term calcifier applies to any organism that builds a shell or external skeleton or, in the case of plants, a kind of internal scaffolding out of the mineral calcium carbonate.)...Ocean acidification increases the cost of calcification by reducing the number of carbonate ions available to organisms that build shells or exoskeletons. Imagine trying to build a house while someone keeps stealing your bricks. The more acidified the water, the greater the energy that’s required to complete the necessary steps. At a certain point, the water becomes positively corrosive, and solid calcium carbonate begins to dissolve. This is why the limpets that wander too close to the vents at Castello Aragonese end up with holes in their shells.According to geologists who work in the area, the vents have been spewing carbon dioxide for at least several hundred years, maybe longer. Any mussel or barnacle or keel worm that can adapt to lower pH in a time frame of centuries presumably already would have done so. “You give them generations on generations to survive in these conditions, and yet they’re not there,” Hall-Spencer observed.
Shannon L. Alder|Among the countless people in the world, two will find each other against all the odds and beat as a single eternal heart.- Not First Love
Charlotte Brontë, Shirley|In her past were sweet passages, in her future rosy hopes.
Robin Hobb, The Mad Ship|Had she learned to feel again, only to have to feel this? Could any amount of love ever be worth the pain of losing it?
Nora Roberts, Born O'Hurley|Abby: "You were great. I don't know what I'd have done without you."Dylan: "You'd have done fine. That's one of the most intimidating things about you." Abby: "Intimidating? Me?"Dylan: "It isn't easy for a man to get involved with a woman who's totally capable of handling anything that comes along... It isn't easy for a man to believe that there are woman who can not only do those things but enjoy them... [But] it's all natural for you isn't it? It's incredible.
John Irving, The Cider House Rules|It’s natural to want someone you love to do what you want, or what you think would be good for them, but you have to let everything happen to them. You can’t interfere with people you love any more than you’re supposed to interfere with people you don’t even know. And that’s hard. Because you often feel like interfering—you want to be the one who makes the plans. . . You can’t protect people, kiddo, all you can do is love them.
Hilary Mantel|The importance of the river cannot be overstated in the history of the country, or the development of the nation.
Henry David Thoreau, Walden|If you can’t handle others’ disapproval, then leadership isn’t for you.
Kabelo Mabona|The image you create in your mind, is a choice your life will follow.
Darynda Jones, Fifth Grave Past the Light|You're trying to be tricky. What's morality?""It's the difference between what's right and what you can rationalize.""Must be a human thing.""Exactly.
Steven Magee|I independently produce scientific advancements to share with everyone, and that is over seven billion people!
Nnedi Okorafor, Home|I felt the pain and the glory of growth, was straining and shuddering with it.
Debasish Mridha|Students may not remember what you try to teach them, but they will never forget who you are and what feelings you created in their mind.
Firoozeh Dumas, Funny in Farsi: A Memoir of Growing Up Iranian in America|The Limoges set has brought us more joy in its absence than it ever did in our cupboards. Of course, we no longer own a set of china to pass down to our kids, but that's okay. Francois and I plan on giving our children something more valuable, the simple truth that the best way to go through life is to be a major donor of kindness. We'll tell them that it's possible to own a whole bunch of beautiful, valuable things and still be miserable. But sometimes just having a recipe for chocolate Bunt cake can make a person far, far happier.
John Bunyan, The Pilgrim's Progress|This hill, though high, I covet to ascend; The difficulty will not me offend. For I perceive the way to life lies here. Come, pluck up, heart; let's neither faint nor fear. Better, though difficult, the right way to go, Than wrong, though easy, where the end is woe.
LeeAnn Taylor|We do not see the world through a window, but through a mirror. Everything we discern is comparatively held to the vision with which we see ourselves.
Christine Zolendz, Scars and Songs|But I did not bring the Wild Boy to England simply so he could learn from us. I also brought him here so we could learn from him; so we can remember what it means to be young- to be innocent. You are still young now, but there will come a time when you will be grown-up, and it is easy, so easy, to forget how precious, how dear, life is. Then you forget to smile, to laugh, to cry, to dream. I hope knowing Peter will help you to hold on fiercely to your own innocence, to live joyfully, even in the midst of difficult times.
Lailah Gifty Akita, Think Great: Be Great!|By the power of God, everything came into existence.
John Darnielle|Metal has its own code of cool, but it's not really trying to be cool. And that was very refreshing to me, that metal is very much about expressing something that seems awesome to you even if, at the time, much of the world was going to mock and reject it.
Vladimir Nabokov, Lolita|My preferences range from the gutter-like to the idyllically sublime, ideally with you roaming the range beside me...
Gabrielle Zevin|They should tell you when you’re born: have a suitcase heart, be ready to travel.
Werner Herzog|If the girl is good looking and talented, and for some reason the film doesn't work, she gets a second chance. But if subsequent films don't work, she gets branded as an 'iron leg.' The whole thing gets negative.
Kyung-Sook Shin, Please Look After Mom|But to the slave mother New Year's day comes laden with peculiar sorrows. She sits on her cold cabin floor, watching the children who may all be torn from her the next morning; and often does she wish that she and they might die before the day dawns. She may be an ignorant creature, degraded by the system that has brutalized her from childhood; but she has a mother's instincts, and is capable of feeling a mother's agonies.
Fakeer Ishavardas|Humble yourself, before you are.
Emily Arden, The Gemini Effect: Deception: Book Three|In practice it is death that works soseductively behind the image of its brother, sleep
Donna Lynn Hope|He will miss this quiet full of noise: the nighthawks, the way the woods breathe, the things moving unsuspected through the dark. But he will take with him the canisters full of blasted images and have the pleasure of living them again. They are not nothing, the memories.
Stephanie Lahart|Say what you mean and mean what you say. Don’t be afraid to stand firm on the decisions that you make. Trust yourself. Believe in your instincts. Do what works best for YOU. Stay true to yourself and be good to yourself. Allow every decision that you make to empower, enrich, and add value to your life!
Rosie Molinary, Hijas Americanas: Beauty, Body Image, and Growing Up Latina|It's easy to be worried about the media's influence on our lives. But there is a need for us to also simply be kind to ourselves, to be kind to our bodies. Not just because we deserve more respect and more self-care, but also because the world deserves more of our attention, and we just can't give it out if it's diverted to obsessing over our thighs.
Brennan Manning, All Is Grace: A Ragamuffin Memoir|On one level, a roomful of men is always a dangerous thing. Competition is usually in the air, so the potential for violence is always nearby.
Tina Fey|When did you first feel like a grown woman and not a girl?” We wrote down our answers and shared them, first in pairs, then in larger groups. The group of women was racially and economically diverse, but the answers had a very similar theme. Almost everyone first realized they were becoming a grown woman when some dude did something nasty to them. “I was walking home from ballet and a guy in a car yelled, ‘Lick me!’” “I was babysitting my younger cousins when a guy drove by and yelled, ‘Nice ass.’” There were pretty much zero examples like “I first knew I was a woman when my mother and father took me out to dinner to celebrate my success on the debate team.” It was mostly men yelling shit from cars. Are they a patrol sent out to let girls know they’ve crossed into puberty? If so, it’s working.
Christy Leigh Stewart|If women ruled the world there would be no wars. But, we all would have been aborted.
Murray Rothbard|Doing and making positive programming for young people is so important to me, and I will keep doing it.
David Hlavsa, Walking Distance: Pilgrimage, Parenthood, Grief, and Home Repairs|I couldn’t yet piece together the disconnected clues to understand the origin of these lights. To explain away strange magic, I’d convinced myself there was an unseen road cutting across the boundless desert floor like a scar. I imagined its different possible courses. The mystery intrigued me. I couldn’t think of the real destination this road would have been built to lead to, but I accepted I couldn’t see, and I accepted it was there, strange but – from where I stood – a beautiful vision.
Harold Bloom, The Western Canon: The Books and School of the Ages|Dante subsumed everything, and so, in a sense, secularized nothing.
Zooey Deschanel|In the hot summer months, popsicles are a perfect way to cool down while enjoying a delicious, fruity treat. Frozen, refreshing, mouth-friendly candy on a stick cannot get any better... or can it?
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Be music always. Keep changing the keys, tones, pitch, and volume of each of the songs you create along your life's journey and play on.
Chuck Palahniuk, Rant|The only way that America can protect its prosperity and political stability will be to depopulate the Third World? Should we be surprised that the AIDS virus showed up about 1975? Do you understand what the term "depopulate" means?
Juliet Marillier, Wolfskin|The error was not yours, Somerled," Eyvind said quietly, moving to the doorway. "It was mine. I failed to teach you the one lesson you could not do without: how to be a man.
Amy Pascale, Joss Whedon: The Biography|Little by little, the look of the land changes by the men we admire.
Wilhelm Reich, Listen, Little Man!|...all I could think about was how both sets of parents had needed to make their decision, on whether to medicate their child, in a scientific vacuum. (p. 35)
Nina Bangs, Night Games|Ally turnedher attention back to Brian Byrne. "So what do you do for a living when you're not searching outyour roots?""Have sex with thousands of women." He slanted her a grin that would've knocked her offher feet if she wasn't already laid out flat by his comment. "Professionally, of course.""Well, that makes it okay then." A porn star? Her instinct said no. But her instinct had alsothought Dave was a great guy when she first met him. How wrong was that? Hmm. What elsecould Brian be? How about crazy? Sounded logical to her. She was alone with a crazy man. Asexy crazy man, but crazy was still crazy.
Alice von Hildebrand, The Privilege of Being a Woman|Unwittingly, the feminists acknowledge the superiority of the male sex by wishing to become like men.
Kris Kidd, Split Lips: Stories About Love & Sex|Sometimes, when I’m chain smoking on the balcony and feeling like shit (which happens more often than I’d like to admit), I let go of a lit cigarette just to see if the ember will outlast the fall.It rarely does.
Marie Rutkoski, The Winner's Kiss|Though I no longer presumed to have a conscience, I have never once lacked feelings.
Sunday Adelaja|If you can dedicate yourself to asking questions to reveal your potential, you will discover your potentials and start to fulfil your mission
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|In the nearest future, those who understood the value of time will rule over those who trivialized time.
Jim Pattison|I got up one Christmas morning and we didn't have nothing to eat. We didn't have an apple, we didn't have an orange, we didn't have a cake, we didn't have nothing.
Miguel Ruiz, The Mastery of Love: A Practical Guide to the Art of Relationship|You don't need to justify your love, you don't need to explain your love, you just need to practice your love. Practice creates the master.
Sheldon Vanauken, A Severe Mercy: A Story of Faith, Tragedy and Triumph|Whatever one of us asked the other to do - it was assumed the asker would weigh all the consequences - the other would do. Thus one might wake the other in the night and ask for a cup of water; and the other would peacefully (and sleepily) fetch it. We, in fact, defined courtesy as 'a cup of water in the night'. And we considered it a very great courtesy to ask for the cup as well as to fetch it.
Gloria Steinem|That sort of half sigh, which, accompanied by two or three slight nods of the head, is pity's small change in general society.
Sai Baba|Trees go wandering forth in all directions with every wind, going and coming like ourselves, traveling with us around the sun two million miles a day, and through space heaven knows how fast and far!
James R. White, Drawn By The Father: A Study Of John 6:35 45|Christ is our all. He is everything to the Christian. He fills all, is in all, and He is our life (Colossians 3:4, 11). It is in Him that all the treasures of wisdom and knowledge are hidden (Colossians 2:3). He is the author and finisher of our salvation, the one who starts it, works it out, and completes it (Hebrews 12:2). This is as the Father wanted it. He places His people in the hands of the Son, having joined them to the Son in a super-natural union, so the Son, by His perfect life of obedience, and perfect act of self-sacrifice upon the cross, can bring about their full and complete salvation.
Rick Riordan|Pluto claimed that in ancient times, all humans had been a combination of male and female. Each person had two heads, four arms, four legs. Supposedly, these combo-humans had been so powerful they made the gods uneasy, so Zeus split them in half - man and woman. Ever since, humans had felt incomplete. They spent their whole lives searching for their other halves.
Friedrich Nietzsche|My childhood, I wouldn't say it was bad. It helped me grow up. I stayed out of trouble. My parents taught me what's wrong and right, and knowing that I had a little brother following me, I had to make sure I was doing the right thing so he knows what's right, too. I was in the house nine days out of 10. There wasn't nothing good outside for me.
honeya|She'd been attacked. Just after she came to the Belt. She was seeing that it didn't happen twice.""Attacked," Miller said, parsing the man's tone of voice. "Raped?""I didn't ask.
Patrick Ness, Monsters of Men|This is what war does. Right here, in my hands. This is war.
Stephen R. Covey, The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change|He (Anwar Sadat) records that he was almost loathe to leave his prison cell because it was there that he realized that real success is success with self. It’s not in having things, but in having mastery, having victory over self.
Bryan Reardon, Finding Jake|Nothing distinguishes memories from ordinary moments. Only later do they make themselves known, from their scars. - Chris Marker
Friedrich Nietzsche, Beyond Good and Evil|Buffy Summers: (to Spike) "I could NEVER be your girl!
Caryl Westmore|Modest, conventional expectations weren't enough to lure Adam Brown away from the power of drug addiction that ensnared him. Instead, the college dropout already in his mid-twenties found only the big, near-impossible dream of being a Navy SEAL captivating enough to consistently draw him to different choices.
Anne Hébert, Kamouraska|I clap my hands together. (Where do I get the strength, the burst of energy?) To chase away the ghosts. Dispel my fears. Arrange the dream. Maintain a kind of balance
Jeff Jarvis, What Would Google Do?|We are called to go make disciples, but how do disciples live? How do we function in the world—in our marriages, families, schools and places of business? How do we live as salt and light in the society?
Ernest Hemingway, For Whom the Bell Tolls|You had to have these peasant leaders quickly in this sort of war and a real peasant leader might be a little too much like Pablo. You couldn't wait for the real Peasant Leader to arrive and he might have too many peasant characteristics when he did. So you had to manifacture one. At that, from what he had seen of Campesino, with his black beard, his thick negroid lips, and his feverish, staring eyes, he thought he might give almost as much trouble as a real peasant leader. The last time he had seen him he seemed to have gotten to believe his own publicity and think he was a peasant.
Sarah Nicolas, Dragons Are People, Too|The right side of the screen then shows a close-up of the protestors. There are only about thirty of them, but Gods bless them they're energetic. And they have catchy picket signs, like: "Set the dragon-people free!" and "Dragons are people, too!" and "End Racial Segregation! Again!
Karl Marx, Essential Writings of Karl Marx: Economic and Philosophic Manuscripts, Communist Manifesto, Wage Labor and Capital, Critique of the Gotha Program|You think of killing himon the spotbut discard that thought andleave,down into the urine-stinkingelevator, they have you crucified too, America at work, where they rip out your intestinesand your brain and your will and your spirit. They suck you dry, then throw you away. The capitalist system. The work ethic. The profit motive. The memory of your father’s words,“work hard and you’ll be appreciated.” of course, only if you make much more for them than they payyou.
Hunter Hayes|I love to not work. I like to travel. I work maybe half the year, no more.
Marc Bekoff, Why Dogs Hump and Bees Get Depressed: The Fascinating Science of Animal Intelligence, Emotions, Friendship, and Conservation|Why is it that blood, rather than peace, sells?
Faraaz Kazi|If people can't stand being alone, they have no choice but to die
Mehmet Murat ildan|Our truest reflection reveals that we are what we think, we are what we say and we are what we continuously do.
Ron Rash, Serena|Then one morning she’d begun to feel her sorrow easing, like something jagged that had cut into her so long it had finally dulled its edges, worn itself down. That same day Rachel couldn’t remember which side her father had parted his hair on, and she’d realized again what she’d learned at five when her mother left – that what made losing someone you loved bearable was not remembering but forgetting. Forgetting the small things first, the smell of the soap her mother had bathed with, the color of the dress she’d worn to church, then after a while the sound of her mother’s voice, the color of her hair. It amazed Rachel how much you could forget, and everything you forgot made that person less alive inside you until you could finally endure it. After more time passed you could let yourself remember, even want to remember. But even then what you felt those first days could return and remind you the grief that was still there, like old barbed wire embedded in a tree’s heartwood. (51)
Bruce Golden|Sex always sells-always has, always will.
Bernard Cornwell, Sharpe's Triumph|and everything burned in blue, everything a star
Sherwood Anderson|Being "brave" means doing or facing something frightening. ... Being "fearless" means being without fear.
Gena Showalter, The Darkest Night|I would have told you earlier, but as it was your birthday . . . What do you give the man who has everything? I thought I’d give you . . . me.”He puts the keychain down on the bedside table and snuggles in beside me, pulling me into his arms against his chest so that we’re spooning.“It’s perfect. Like you.
Rasmussen|Vegans are always wrong, but damn pleased with themselves
Ravi Ranjan Goswami, The gold syndicate|The syndicate was successful in including an officer and two other crew members in its plan. Sheikh employed old ways of enticing by wine, women and money to use them.
Gabriel García Márquez, Love in the Time of Cholera|The Widow Nazaret never missed her occasional appointments with Florentino Ariza, not even during her busiest times, and it was always without pretensions of loving or being loved, although always in the hope of finding something that resembled love, but without the problems of love.
Jenny Lawson|I have referred to it as a gift--something for which others with this affliction have taken me to task. I was only speaking from my own experience, of course, but I stand partially corrected: if it is a gift, it's the gift that just keeps on taking.Coping with relentless assault and the accumulating damage is not easy. Nobody would ever choose to have this visited upon them. Still, this unexpected crisis forced a fundamental life decision: adopt a siege mentality--or embark upon a journey. Whatever it was--courage? acceptance? wisdom?--that finally allowed me to go down the second road (after spending a few disastrous years on the first) was unquestionably a gift--and absent this neurophysiological catastrophe, I would never have opened it, or been so profoundly enriched. That's why I consider myself a lucky man.
Sami Abouzid|In LIFE, You Meet with People You Wish You Knew Them for Ages and you will meet with people you will wish they were gone for ages.
Ally Condie, Atlantia|We collected all the bones we could find, and yesterday, Natividad wrapped them in a shawl that she had knitted years ago. It was the most beautiful thing she owned."A thing like that should serve the living," Bankole said when she offered it."You are living," Natividad said. "I like you. I wish I could have met your sister.
Mike Stackpole|Note to the wise: whenever someone insists that he wants to buy something from you, but tells you there’s no real value in it yet, two things are happening: he’s lying, and you’re being taken.
Douglas Adams, The Hitchhiker's Guide to the Galaxy|I can see us, living in the woods, her wearing that A, me with a S maybe, S for silent, S for stupid, for scared. S for silly. For shame.
Mehmet Murat ildan|If the quality of the people got better as they aged, how good that would be, don’t you think so? Then we would put all the swindlers, crooks, usurers, robbers, hucksters, and gamblers we could find into a barrel and wait for some years, until their characters could leave an exquisite taste on all palates.
J.K. Rowling, Harry Potter and the Deathly Hallows|Being tame is what we're taught: ... put the crayons back, stay in line, don't talk too loud, keep your knees together, nice girls don't...As you might know, nice girls DO, and they like to feel wild and alive. Being tame feels safe, being wild, unsafe. Yet safety is an illusion anyway. We are not in control. No matter how dry and tame and nice we live, we will die. And we will suffer along the way. Living wild is its own reward.
