Sherilyn Fenn|Today I trust my instinct, I trust myself. Finally.
Alberto Manguel, A History of Reading|However readers make a book theirs, the end is that book and reader become one. The world that is a book is devoured by a reader who is a letter in the world's text; thus a circular metaphor is created for the endlessness of reading. We are what we read. The process by which the circle is completed is not, Whitman argued, merely an intellectual one; we read intellectually on a superficial level, grasping certain meanings and conscious of certain facts, but at the same time, invisibly, unconsciously, text and reader become intertwined, creating new levels of meaning, so that every time we cause the text to yield something by ingesting it, simultaneously something else is born beneath it that we haven't yet grasped. That is why - as Whitman believed, rewriting and re-editing his poems over and over again - no reading can ever be definitive.
Peter Watts, Blindsight|Religion isn't bad, it's our consciousness relativity to religion. There's a reason Mahatma Ghandi said "I like your Christ, I don't like your Christians. Your Christians are so unlike your Christ." The principle is that religion doesn't make 'you'. 'You' make your 'religion'.
S.D.   Smith, The Black Star of Kingston|Being a ruler is, contrary to popular notions, a calling of self-sacrifice. That is, if one wants to be a good ruler.
Derek Walcott, Another Life: Fully Annotated|But drunkenly, or secretly, we swore,Disciples of that astigmatic saint,That we would never leave the islandUntil we had put down, in paint, in words,As palmists learn the network of a hand,All of its sunken, leaf-choked ravines,Every neglected, self-pitying inletMuttering in brackish dialect, the ropes of mangrovesFrom which old soldier crabs slippedSurrendering to slush,Each ochre track seeking some hilltop andLosing itself in an unfinished phrase,Under sand shipyards where the burnt-out palmsInverted the design of unrigged schooners,Entering forests, boiling with life,Goyave, corrosol, bois-canot, sapotille.Days!The sun drumming, drumming,Past the defeated pennons of the palms,Roads limp from sunstroke,Past green flutes of the grassThe ocean cannonading, come!Wonder that opened like the fanOf the dividing frondsOn some noon-struck sahara,Where my heart from its rib cage yelped like a pupAfter clouds of sanderlings rustily wheelingThe world on its ancient,Invisible axis,The breakers slow-dolphining over more breakers,To swivel our easels down, as firmAs conquerors who had discovered home.
Benjamin Waterhouse|I have become very aware how under-represented are the stories of the underprivileged and undervalued. Our records are, in general, very male and if not always the material of the rich, certainly (for obvious reasons) the material of the literate.
Tishani Doshi|I love your round head,the brilliant green,the watching blue,these letters,this world, you.I am very, very hungry.
Mark  Jackman, There's Something About Dying|Many great people had been considered to be boring, like Nigel Mansell, but anyone who had read the racing driver’s autobiography, "Clutch Down, Dick Out", would know that perception was way off the mark.
William Styron|I get a fine warm feeling when I'm doing well, but that pleasure is pretty much negated by the pain of getting started each day. Let's face it, writing is hell. 
Elena Ferrante, My Brilliant Friend|Adults, waiting for tomorrow, move in a present behind which is yesterday or the day before yesterday or at most last week: they don't want to think about the rest. Children don't know the meaning of yesterday, or even of tomorrow, everything is this, now: the street is this, the doorway is this, the stairs are this, this is Mamma, this is Papa, this is the day, this the night.
Jaeda DeWalt|My life isn't good or bad. It's an incredible series of emotional and mental extremes, with beautiful thunderstorms and stunning sunrises.Some would say this is my artistic temperament. Others would say i am mentally ill or bipolar. I SAY... it's a bit of both and i make the most of them, CREATIVELY.
Stephen King, The Stand|When certain seeds are planted, they nearly always grow.
John Green|There were so many of us who would have to live with things done and things left undone that day. Things that did not go right, things that seemed OK at the time because we could not see the future. If only we could see the endless string of consequences that result from our smallest actions. But we can't know better until knowing better is useless.
Gwendolyn Brooks|I had a very good sexual education. My mother was very advanced in that regard. She conveyed to me the sense of reverence and wonder about my body and the powers of my sexuality not only to give life, but also to be a whole person and to enjoy pleasure. It was put to me as an almost holy act.
Albert Camus, The Plague|I have realized that we all have plague, and I have lost my peace. And today I am still trying to find it; still trying to understand all those others and not to be the enemy of anyone. I only know that one must do what one can to cease being plague-stricken, and that's the only way in which we can hope for some peace or, failing that, a decent death. This, and only this, can bring relief to men and, if not save them, at least do them the least harm possible and even, sometimes, a little good.
Christopher Hitchens, Hitch-22: A Memoir|If there be time to expose through discussion the falsehood and fallacies, to avert the evil by the processes of education, the remedy to be applied is more speech, not enforced sil
Anne Sexton, The Complete Poems|Taking into consideration all your lovelinesswhy can't you burn your bootsoles and yourdraft card? How can you sit there saying yesto war? You'll be a pauper when you die, soreboy. Dead, while I still live at our addresss.Oh my brother, why do you keep making planswhen I am at seizures of hearts and hands?Come dance the dance, the Papa-Mama dance;bring costumes from the suitcase pasted Ille de France, the S.S. Gripsholm. Papa's London Harness case he took abroad and kept i our attic laced with old leather straps for storage and hisscholar's robes, black licorice - that metamorphosiswith it's crimson blood. "The Papa and Mama Dance
Mikhail Bulgakov, The Master and Margarita|– But here is a question that is troubling me: if there is no God, then, one may ask, who governs human life and, in general, the whole order of things on earth?– Man governs it himself, – Homeless angrily hastened to reply to this admittedly none-too-clear question.– Pardon me, – the stranger responded gently, – but in order to govern, one needs, after all, to have a precise plan for a certain, at least somewhat decent, length of time. Allow me to ask you, then, how can man govern, if he is not only deprived of the opportunity of making a plan for at least some ridiculously short period, well, say, a thousand years , but cannot even vouch for his own tomorrow? And in fact, – here the stranger turned to Berlioz, – imagine that you, for instance, start governing, giving orders to others and yourself, generally, so to speak, acquire a taste for it, and suddenly you get ...hem ... hem ... lung cancer ... – here the foreigner smiled sweetly, and if the thought of lung cancer gave him pleasure — yes, cancer — narrowing his eyes like a cat, he repeated the sonorous word —and so your governing is over! You are no longer interested in anyone’s fate but your own. Your family starts lying to you. Feeling that something is wrong, you rush to learned doctors, then to quacks, and sometimes to fortune-tellers as well. Like the first, so the second and third are completely senseless, as you understand. And it all ends tragically: a man who still recently thought he was governing something, suddenly winds up lying motionless in a wooden box, and the people around him, seeing that the man lying there is no longer good for anything, burn him in an oven. And sometimes it’s worse still: the man has just decided to go to Kislovodsk – here the foreigner squinted at Berlioz – a trifling matter, it seems, but even this he cannot accomplish, because suddenly, no one knows why, he slips and falls under a tram-car! Are you going to say it was he who governed himself that way? Would it not be more correct to think that he was governed by someone else entirely?
Lindsey Stirling|It's amazing what you can do with an E in A-Level art, a twisted imagination and a chainsaw.
Dana Arcuri, Harvest of Hope: Living Victoriously Through Adversity, A 50-Day Devotional|When life gets hectic and you feel overwhelmed, take a moment to focus on the people and things you are most grateful for. When you have an attitude of gratitude, frustrating troubles will fall by the wayside.
Chris Hardwick|One afternoon when I was 9, my dad told me I'd be skipping school the next day. Then we drove 12 hours from Melbourne to Sydney for the Centenary Test, a once-in-a-lifetime commemorative cricket match. It was great fun - especially for a kid who was a massive sports fan.
Pat R, Os Homens Nunca Saberão Nada Disto|She falls back like a dead weight. The red hair loosens from the hair band and spreads in the colorful surface of the pillows, her white body is in sharp contrast, the gleam in her bloodshot eyes becomes intense and shines. My aunt, lying like this, looks like a goddess in an orgasm, only that, inside, she is suffering. I close my eyes and breathe deeply. The same is happening to us, we're really disappearing. I think of the matter of our bodies, changeable, disappearing in the particles of the air while we breathe. In this room, everywhere, we are printed on the walls, in the air that settles on things. I breathe and look at her. I'm stuck in her.
Pamela Clare, Naked Edge|I love you, Katherine James. I love you with everything I am. You're the best thing that has ever happened to me. Remember that."Gabe Rossiter
Seneca|But with your life you make a few bad decisions, get unlucky a few times, whatever, but you have to keep going, right?
C. JoyBell C.|Anybody who says "I know how to get to God and you don't, do this and do that and go here and go there" is going to become 1. very powerful and 2. very rich. The simple truth is, if I am with God, no less can you be with God at the same time as I am.
C. JoyBell C.|It is when we think we can act like God, that all respect is lost, and I think this is the downfall of peace. We lie if we say we do not see color and culture and difference. We fool ourselves and cheat ourselves when we say that all of us are the same. We should not want to be the same as others and we should not want others to be the same as us. Rather, we ought to glory and shine in all of our differences, flaunting them fabulously for all to see! It is never a conformity that we need! We need not to conform! What we need is to burst out into all these beautiful colors!
Efrat Cybulkiewicz|I hate the thought that I'm just some kind of Russian nesting doll with the big outside and inevitably, rattling around under all the layers, a crude little peg with a face is the truth of me.
Michael Levine|A man is in one piece until love finds its way to his heart ... it splits him in half ... vital to have both halves, yet excruciating to keep them glued together
Benny Bellamacina, Piddly Poems for Children|Everyone’s face is odd, because we only get one.
Chuck Jones|Why should men be allowed to strut under the privilege of their life adventures, wearing them like a breast full of medals, while women went all gray and silent beneath the weight of theirs?
Erik Pevernagie|When the river of emotions bursts its banks and expectations go over the edges of reality, the brain creates hallucinations. Ringxiety-stricken people feel illusive vibrating alerts and hear phantom phone rings, since absence of ringing generates scaring emptiness and destroys their self-esteem. ("Kein Schwein ruft mich an" )
Nick Nolte|My job is to be a spokesman - the spokesman, I suppose - for the President, for the White House, to do the daily briefings, to manage the press corps in terms of travel, day-to-day needs, access, interviews, all those issues.
Greg Keyes, The Blackgod|The distance between who I am, and who I want to be is measure only, by my actions.
Solange Knowles|Fashion is a strange world sometimes. Amazing, but strange.
Jalaluddin Rumi|Like ThisIf anyone asks youhow the perfect satisfactionof all our sexual wantingwill look, lift your faceand say,Like this.When someone mentions the gracefulnessof the nightsky, climb up on the roofand dance and say,Like this.If anyone wants to know what "spirit" is,or what "God’s fragrance" means,lean your head toward him or her.Keep your face there close.Like this.When someone quotes the old poetic imageabout clouds gradually uncovering the moon,slowly loosen knot by knot the stringsof your robe.Like this.If anyone wonders how Jesus raised the dead,don’t try to explain the miracle.Kiss me on the lips.Like this. Like this.When someone asks what it meansto "die for love," pointhere.If someone asks how tall I am, frownand measure with your fingers the spacebetween the creases on your forehead.This tall.The soul sometimes leaves the body, the returns.When someone doesn’t believe that,walk back into my house.Like this.When lovers moan,they’re telling our story.Like this.I am a sky where spirits live.Stare into this deepening blue,while the breeze says a secret.Like this.When someone asks what there is to do,light the candle in his hand.Like this.How did Joseph’s scent come to Jacob?Huuuuu.How did Jacob’s sight return?Huuuu.A little wind cleans the eyes.Like this.When Shams comes back from Tabriz,he’ll put just his head around the edgeof the door to surprise us Like this.
Ronnie James Dio|America is not static. America is striving. And sometimes, America requires critique. Jingoism is an avoidance of realism. You can simultaneously love and be disappointed in the object of your love, wanting it to be better than it is. In fact, that is a measure of love. Honest critique is a pillar of patriotism.
E.B. White, The Elements of Style|The mind travels faster than the pen; consequently, writing becomes a question of learning to make occasional wing shots, bringing down the bird of thought as it flashes by. A writer is a gunner, sometimes waiting in the blind for something to come in, sometimes roaming the countryside hoping to scare something up.
D.H. Lawrence, Apocalypse|Everything is argued over in this world. Apart from only one thing that is not argued over. Nobody argues about democracy. Democracy is there as if it was some sort of saint in the altar from whom miracles are no longer expected. But it’s there as a reference. A reference. Democracy. And no-one attends to the matter that the democracy in which we live is a democracy taken captive, conditioned, amputated. Because the power..the power of the citizen, the power of each one of us, is limited, in the political sphere, I repeat, in the political sphere, to remove a government that we do not like and replace it with another one that perhaps we might like in the future. Nothing else. But the big decisions are taken in a different sphere, and we all know which one that is. The big international financial organisations, the IMFs, the World Trade Organisations, the World Banks, the OECDs. All..not one of these entities is democratic. And so, how can we keep talking about democracy, if those who effectively govern the world are not chosen democratically by the people? Who chooses the representatives of each country in those organisations? Your respective peoples? No. Where then is the democracy?
Eve Ensler, In the Body of the World|What if, instead of being afraid of even talking about death, we saw our lives in some ways as preparation for it.What if we were taught to ponder it and reflect on it and talk about it and enter it and rehearse it and try it on?What if, rather than being cast out and defined by some terminal category, you were identified as someone in the middle of a transformation that could deepen your soul, open your heart, and all the while-even if and particularly when you were dying-you would be supported by and be part of a community?
Russell Brand|We’re naked under our clothes; we both know what it’s like to need to fart and hold it in, or not be able to get a hard-on, or worry that a bloke across the room might be looking at your bird and you might have to fight him but he looks well hard.
Matshona Dhliwayo|If love was a crime, God would encourage us all to go to prison.
Veronica Roth, Divergent|Can you be a girl for a few seconds?""I'm always a girl" I frown."You know what I mean. Like a silly, annoying girl"I twirl my hair around my finger. "Kay.
Lex Luger|When you assume negative intent, you're angry. If you take away that anger and assume positive intent, you will be amazed. Your emotional quotient goes up because you are no longer almost random in your response.
William  Gibson, The Miracle Worker|JUST BECAUSE A BUNCH OF ATHEISTS ARE BETTER WRITERS THAN THE GUYS WHO WROTE THE BIBLE DOESN'T NECESSARILY MAKE THEM RIGHT!" [Owen Meany] said crossly. "LOOK AT THOSE WEIRDO TV MIRACLE-WORKERS--THEY'RE TRYING TO GET PEOPLE TO BELIEVE IN MAGIC! BUT THE REAL MIRACLES AREN'T ANYTHING YOU CAN SEE--THEY'RE THINGS YOU HAVE TO BELIEVE WITHOUT SEEING. IF SOME PREACHER'S AN ASSHOLE, THAT'S NOT PROOF THAT GOD DOESN'T EXIST!
Ben Bereng|The vision of time is broad, but when you pass through it, time becomes a narrow door.' And always, he fought the temptation to choose a clear, safe course, warning, 'That path leads ever down into stagnation.
Chen Shui-bian|To be satisfied with a little, is the greatest wisdom; and he that increaseth his riches, increaseth his cares; but a contented mind is a hidden treasure, and trouble findeth it not.
Bertolt Brecht, Life of Galileo|The aim of science is not to open the door to infinite wisdom, but to set a limit to infinite error.
Judy Garland|Even celebrities, most people have a sense of humor. Most of the people we meet who we've done on the show, like it.
Gavin Extence, The Universe Versus Alex Woods|If you had to relive your life exactly as it was – same successes and failures, same happiness, same miseries, same mixture of comedy and tragedy – would you want to? Was it worth it?
Gabriel García Márquez|It's similar to the way you feel cuddling an infant or a kitten, when you want to squeeze it so hard you'd kill it...
Richard Gere|One of the things I like best about 'Biggest Loser' is being around people who are trying to make the right choices. When you feel defeated about your weight and your health, like there's no hope, and you still make the choice to fight for it, to make the change happen no matter what people say or think, that's inspiring to me.
Wendy Wasserstein|Yes, my life is a life of combat; I can say that this has never stopped for a single instant. It is a combat that started for me at the age of 16. I'm 90 years old now, and my motivation hasn't changed; it's the same fervour that drives me.
J.C. Ryle, A Call to Prayer|The greater are our affections the deeper are our afflictions, and the more we love the more we have to weep.
Luis Cosajay|Don't even listen to No body including your friends who tells you to Move On in life.  They often will have destroyed your Motivation causing an unexpected anxiety, and a severe brain stress until you give up. No matter how dead serious they are in order for you to understand them, reject their Anti-statement with the Power of your Assertion. They will foolishly halter your situation you had been encountering over the past year, when it all started from the beginning.Therefore, you MUST KEEP MOVING FORWARD.DO WHAT YOU NEED TO DO THAT NEEDS TO BE DONE.Train yourself to get strong so you can outsmart and surpass the famous people who came before you.That is the way of succeeding in life in order to prove to everyone you've overcome the Obstacles and your Anxiety.Keep moving forward always surpasses moving on.
Erin Boyle|When I looked at a map in town, Rhode Island seemed lost up there in the corner. A state so small and crowded, there didn't seem to be room for a person at all.
Sara Raasch, Snow Like Ashes|I know he sees it, because for the briefest moment he drops his expressionless mask and the look in his eyes shows me he feels the same way. A mirror of every part of myself I can't bear to face.
Lev Grossman, The Magician King|If theater is ritual, then dance is too... It's as if the threads connecting us to the rest of the world were washed clean of preconceptions and fears. When you dance, you can enjoy the luxury of being you.
Roberto Bolaño, 2666|The smell of the sea, of kelp and fish and bitter moving water, rose stronger in my nostrils. It flooded my consciousness like an ancestral memory. The swells rose sluggishly and fell away, casting up dismal gleams between the boards of the pier. And the whole pier rose and fell in stiff and creaking mimicry, dancing its long slow dance of dissolution. I reached the end and saw no one, heard nothing but my footsteps and the creak of the beams, the slap of waves on the pilings. It was a fifteen-foot drop to the dim water. The nearest land ahead of me was Hawaii.
Heather O'Neill, Lullabies for Little Criminals|I feel the monster of grief again, writhing in the empty space where my heart and stomach used to be. I gasp, pressing both palms to my chest. Now the monstrous thing has its claws around my throat, squeezing my airway. I twist and put my head between my knees, breathing until the strangled feeling leaves me.
Erin Kellison, Darkness Falls|The sooner it's over, the sooner we can go back to bed. Everything good happens in bed.
David Eagleman|Your brain is like a plant. If you plant a seed in it, it will grow into a big idea.
Eleanor Roosevelt|It is far better to be alone, than to be in bad company.
Mari Serebrov|If I'm going to spend a lifetime writing my story, I want it to mean something.
Haruki Murakami|Rock and roll was my favorite, but before long I grew to enjoy Shinamoto's brand of classical music. This was music from another world, which had its appeal, but more than that I loved it because she was a part of that world.
Robin Benway, Emmy & Oliver|I am six years old and instead of celebrating with birthday cakes, I chew on a piece of charcoal. 
Charlie Pierce|I remember when I was growing up, I always wore glasses and so if I was on-stage or just being able to move around playing sports, I was never really able to because I had glasses holding me back. Wearing contacts has just been very helpful.
H. Rider Haggard, She|Besides, if I am truly immortal, I am my own grandchild, my own descendant, my own dynasty. I am not obliged to live on through what I pass down to others.
Christopher Hitchens|Religion is a totalitarian belief. It is the wish to be a slave. It is the desire that there be an unalterable, unchallengeable, tyrannical authority who can convict you of thought crime while you are asleep, who can subject you to total surveillance around the clock every waking and sleeping minute of your life, before you're born and, even worse and where the real fun begins, after you're dead. A celestial North Korea. Who wants this to be true? Who but a slave desires such a ghastly fate? I've been to North Korea. It has a dead man as its president, Kim Jong-Il is only head of the party and head of the army. He's not head of the state. That office belongs to his deceased father, Kim Il-Sung. It's a necrocracy, a thanatocracy. It's one short of a trinity I might add. The son is the reincarnation of the father. It is the most revolting and utter and absolute and heartless tyranny the human species has ever evolved. But at least you can fucking die and leave North Korea!
Margaret Atwood, The Handmaid's Tale|No two people ever view the world from exactly the same perspective, understand things the same way, human or not. The best we can ever do is try.
Bonnie Ferrante, Desiccate|Although the villagers rose with the sun to work the fields, attend to the animals, bake their bread, and begin their long list of chores, for me, Leya Truelong, this was a day like no other. Today, Wren River was touched by the fantastic. Desiccate by Bonnie Ferrante
Lady Gaga|We are not just Art for Michelangelo to carve, he can't rewrite the agro of my furied heart- Lady Gaga 10/22/10
Kimberly Gardner, Too Soon For Love|All my life, I thought I was this independent woman. I was on all the right committees, made speeches for all the right causes, traveled all over the world. I had my little part-time job, I made all my own decisions, but . . . there was always someone there to fall back on when things went bad. Funny, how after so many years of marriage you don’t think about how much you depend on the other person until . . . well, until they’re gone. And then of course there’s just the whole system in the city. Your doctor, your pharmacist, your plumber, your vet . . . there’s always someone there. You never have to find out . . . how much you can’t do.
Abraham Hicks|Hope prevails in the dark. Like a lighthouse calling out to a lost ship at sea, hope will bring you through every personal storm. It is our encouragement and guide to safety. Hope is found in the arms of God.
Arthur William Beer|Every gift is held by two hands: the one that gives, and the one that takes away.
Dean F. Wilson, Skyshaker|The thought had crossed my mind, that in order to save this world from Hell, I might have to become the Devil.
J.A. Ironside, Reading is Magic|My love, a person is better judged by how they treat their inferiors than their betters. That is the true measure of a man, or a woman. Think you that you are so far above Lata?""If I am to be your wife then I shall be far above her and she had better do as she is told if she wants to stay employed here!""I've ruined you. My poor little mango seller." Nadir let go of my wrist and stepped away, his face hardening. "You shall not be my wife if you cannot treat people with the respect they not only deserve, but earn every day by working so hard for it!"'Mangoes
Lewis B. Smedes|Everything is expressed through relationship. Colour can exist only through other colours, dimension through other dimensions, position through other positions that oppose them. That is why I regard relationship as the principal thing.
Anne Lamott, Plan B: Further Thoughts on Faith|Prayer usually means praise, or surrender, acknowledging that you have run out of bullets.
Oliver Oliver Reed, 155 World's Funniest YO MAMA Jokes|Yo Mama’s so old, her memory is in black and white.
Loren Weisman|As human beings, how do we choose to react in that instant when someone walks toward us, smiles, and begins to speak?
Jennifer Lane, On Best Behavior|His voice as smooth as silk, Grant started into his standard crowd-pleaser: Sinatra’s 'My Kind of Town.
Luke Evans|In 2007, I hit 50 home runs. That was pretty cool. I never thought I'd be able to do that. At the time, I didn't even think it was that big of a deal for some reason. But now, looking back, I realize it was pretty cool.
Harold S. Kushner, When Bad Things Happen to Good People|A sense of our inadequacies and failings, a recognition that we could be better people than we usually are, isone of the forces for moral growth and improvement in our society. An appropriate sense of guilt makes people try to be better. But anexcessive sense of guilt, a tendency to blame ourselves for things which are clearly not our fault, robs us of our self-esteem andperhaps of our capacity to grow and to act.
J. A. Huss|I got your flowers. They’re beautiful, thank you.” A gorgeous riot of Gerber daisies and lilies in a rainbow of reds, pinks, yellows and oranges. “Welcome. Bet Duncan loved sending one of his guys out to pick them up for me.” She could hear the smile in his voice, imagined the devilish twinkle in his eyes. “Oh, he did. Said it’s probably the first time in the history of WITSEC that a U.S. Marshal delivered flowers to one of their witnesses.” A low chuckle. “Well, this was a special circumstance, so they helped me out.” “I loved the card you sent with them the best though.” Proud of you. Give ‘em hell tomorrow. He’d signed it Nathan rather than Nate, which had made her smile. “I had no idea you were romantic,” she continued. “All these interesting things I’m learning about you.” She hadn’t been able to wipe the silly smile off her face after one of the security team members had knocked on her door and handed them to her with a goofy smile and a, “special delivery”. “Baby, you haven’t seen anything yet. When the trial’s done you’re gonna get all the romance you can handle, and then some.” “Really?” Now that was something for a girl to look forward to, and it sure as hell did the trick in taking her mind off her worries. “Well I’m all intrigued, because it’s been forever since I was romanced. What do you have in mind? Candlelit dinners? Going to the movies? Long walks? Lazy afternoon picnics?” “Not gonna give away my hand this early on, but I’ll take those into consideration.” “And what’s the key to your heart, by the way? I mean, other than the thing I did to you this morning.” “What thing is that? Refresh my memory,” he said, a teasing note in his voice. She smiled, enjoying the light banter. It felt good to let her worry about tomorrow go and focus on what she had to look forward to when this was all done. Being with him again, seeing her family, getting back to her life. A life that would hopefully include Nathan in a romantic capacity. “Waking you up with my mouth.” He gave a low groan. “I loved every second of it. But think simpler.” Simpler than sex? For a guy like him? “Food, then. I bet you’re a sucker for a home-cooked meal. Am I right?” He chuckled. “That works too, but it’s still not the key.” “Then what?” “You.” She blinked, her heart squeezing at the conviction behind his answer. “Me?” “Yeah, just you. And maybe bacon,” he added, a smile in his voice. He was so freaking adorable. “So you’re saying if I made and served you a BLT, you’d be putty in my hands?” Seemed hard to imagine, but okay. A masculine rumble filled her ears. “God, yeah.” She couldn’t help the sappy smile that spread across her face. “Wow, you are easy. And I can definitely arrange that.” “I can hardly wait. Will you serve it to me naked? Or maybe wearing just a frilly little apron and heels?” She smothered a laugh, but a clear image of her doing just that popped into her head, serving him the sandwich in that sexy outfit while watching his eyes go all heated. “Depends on how good you are.” “Oh, baby, I’ll be so good to you, you have no idea.
Kenneth McLeish, Bloomsbury Good Reading Guide|The text contains no literary criticism. I wanted to describe books, not to be clever at their expense.
Thomas Hughes, Tom Brown at Oxford|We live on a world where if you run straight away, without turning, you return to your point of origin. So much energy can be saved and time, by dealing with the point, at its origin, that would make us run.
Alexandra Adornetto|When you can imagine you begin to create and when you begin to create you realize that you can create a world that you prefer to live in, rather than a world that you're suffering in.
Kelly Irvin, Sweeter than Honey|For you to make a difference on earth, you need to be focused and have a strong will
Charlene Costanzo, The Twelve Gifts of Birth|If I am not for myself, who will be for me? But if I am only for myself, what am I? And if not now, when?
S.J. Himes, The Necromancer's Dilemma|Great googly-moogly, I needed to stay away from this vampire.
Deyth Banger|Out there, there is some kinda genius person... I am talking about Sherlock Holmes... First very fast talking + in the same full of knowledge.
Bryant H. McGill|Beauty, n: the power by which a woman charms a lover and terrifies a husband.
Daniel Quinn|In effect, you're saying that if you knew how you oughtt to live, then the flaw is man could be controlled. If you knew how you ought to live, you wouldn't be forever screwing up the world. perhaps in fact the two things are actually one thing. Perhaps the flaw in man is exactly this: that he doesn't know how he ought to live.
John H. Alexander|One doesn't intentionally to alter the truth, just enhance it and make it more memorable.
Gina Wings, Secrets of a Perfect Hair Color: Adventures of an Urban Woman|It was said that the world is a stage, and if that's true… the show must go on no matter what happens. With that being true, we're all actors playing our parts… and what is acting in its core, but reacting… perceiving and reacting to what's been served?
Compton Gage, Devil's Inception|The concept that man is not awake, and that only a fully conscious being can "do", have will and not be subject to the law of accident.
Monique Rockliffe|Pursue knowledge as though it is your life-blood, then you will know greatness!
Christopher Dines, Mindfulness Meditation: Bringing Mindfulness into Everyday Life|If you must look back, do so forgivingly. If you must look forward, do so prayerfully. However, the wisest thing you can do is be present in the present... gratefully.
Rebecca Goldstein, 36 Arguments for the Existence of God: A Work of Fiction|No matter how great a writer, artist, or entrepreneur, he is a mortal, he is fallible. He is not proof against Resistance. He will drop the ball; he will crash. That’s why they call it rewriting.
Mehmet Murat ildan|Yes, human salvation will come through science, but only through the nature-respecting science!
Kent Haruf|Who does ever get what they want? It doesn't seem to happen to many of us if any at all. It's always two people bumping against each other blindly, acting out of old ideas and dreams and mistaken understandings.
Niccolo Machiavelli|Many intelligence reports in war are contradictory; even more are false, and most are uncertain.
Martin Heidegger|We assert now that Being is the proper and sole theme of philosophy. This is not our own invention; it is a way of putting the theme which comes to life at the beginning of philosophy in antiquity, and it assumes its most grandiose form in Hegel's logic. At present we are merely asserting that Being is the proper and sole theme of philosophy. Negatively, this means that philosophy is not a science of beings but of Being or, as the Greek expression goes, ontology. We take this expression in the widest possible sense and not in the narrower one it has, say, in Scholasticism or in modern philosophy in Descartes and Leibniz.A discussion of the basic problems of phenomenology then is tantamount to providing fundamental substantiation for this assertion that philosophy is the science of Being and establishing how it is such. The discussion should show the possibility and necessity of the absolute science of Being and demonstrate its character in the very process of the inquiry. Philosophy is the theoretical conceptual interpretation of Being, of Being's structure and its possibilities. Philosophy is ontological." ―from_The Basic Problems of Phenomenology_
Stephen King, Doctor Sleep|I changed it. I had to. Do you know why?" She studied him, her eyes grave. "Because that was then and this is now. Because the past is gone, even though it defines the present.
Jean Rhys, Wide Sargasso Sea|I'm playing with fire, with something I don't understand.
Pearl Zhu|Creative leadership can be described as “adaptability meets agility,” and “innovation meets principles.
Nicholas Sparks, The Choice|That's the thing about being the product of happily marries parents, You grow up thinking the fairy tale is real, and more than that, you think you're entitled to live it. So far, though, it wasn't working out as planned.
Ryan Holmes|When you print money, the money does not flow evenly into the economic system. It stays essentially in the financial service industry and among people that have access to these funds, mostly well-to-do people. It does not go to the worker.
Anaïs Nin, The Diary of Anaïs Nin, Vol. 1: 1931-1934|The writer is the duelist who never fights at the stated hour, who gathers up an insult, like another curious object, a collector's item, spreads it out on his desk later, and then engages in a duel with it verbally. Some people call it weakness. I call it postponement. What is weakness in the man becomes a quality in the writer. For he preserves, collects what will explode later in his work. That is why the writer is the loneliest man in the world; because he lives, fights, dies, is reborn always alone; all his roles are played behind a curtain. In life he is an incongruous figure.
Burgess Owens|He is a man of courage who does not run away, but remains at his post and fights against the enemy.
Bartholomew Dowling|Cut off from the land that bore us,Betrayed by the land we find,Where the brightest have gone before us,And the dullest are most behind - Stand, stand to your glasses, steady!'T is all we have left to prize:One cup to the dead already - Hurrah for the next that dies!
Tod Goldberg, The Reformed|The best thing is the combined effect of nicotine with alcohol, greater than the sum of the two parts.
Atticus Poetry, Love Her Wild: Poems|My atoms love you atoms, it’s chemistry. 
Aldous Huxley|The more science discovers and the more comprehension it gives us of the mechanisms of existence, the more clearly does the mystery of existence itself stand out.
Ellie Elisabeth|That was the funny thing. What happened to John would pass for his classmates, but for John it was a long challenging road ahead of him. Who knew where he would be sent, maybe a juvenile detention center? He might keep in touch with a few friends if his parents let him, but he would never return to Wakefield High. His peers had no clue the journey ahead of him, that his life was changed forever.	And they had no idea what lay ahead for Lilly. No one knew she had been given a task by the Archangels to fight a war against pure evil. They had no idea that Lilly would spend most of her free time not training for a marathon, but training to kill demons. John and Lilly were not all too different.
Lana Wachowski|Knowledge has a materiality, not unlike the materiality of a ladder, that can be used to gain access to places and worlds that were previously unimaginable.
Thomm Quackenbush, Pagan Standard Times: Essays on the Craft|A man's integrity isn't found in what he does for others, but how he feels about it after it's done.
Jaime Allison Parker|She wondered how many towns like this existed all over the country?Bucolic scenery on the outside, with its own private soap operas, gossips and hells on the inside. She wondered if the suburbs in huge cities were merely a collection of small towns, piled on top of each other and each place was ultimately the same. The thought struck her as exceedingly depressing. However, her spirits were not in their best shape.
Maya Angelou|I am aware that in presenting myself as the advocate of the Indians and their rights, I shall stand very much alone.
Elizabeth Banks|I was a huge Beatles fan. We could talk about who I listened to growing up and what my sources were, but certainly the Beatles were a late, important resource for me, and I just took my guitar and a handful of songs, and I decided, well, I'll just go over and travel around Europe and see what comes of it.
Ana Claudia Antunes, ACross Tic|Rats! It's rainy outside,And to be a good fellaInvite a smile so wideNobody needs umbrella!
