Nelson Rodrigues|The Human Being, as we imagine it, does not exist.
Kilroy J. Oldster, Dead Toad Scrolls|We each act as the creator of the self, and therefore, we strive to attain self-realization by understanding what we were in various stages of life including what we began as and what we transmuted into becoming.
Dada Bhagwan|What is considered [True] Knowledge? There should be solution from all sides, there should be no contradiction. It is a non-contradicting principle when a spoken sentence will be the same even after fifty years; there will be no contradictions.
Silas Sparkhammer|For me, religion is like a rhinoceros: I don't have one, and I'd really prefer not to be trampled by yours.
Thomm Quackenbush, Flies to Wanton Boys|Other young women were more than kind when it came to teaching him the basics of makeup artistry, but he did not like the idea of foundation, knowing enough alchemy to realize it had historically been made with lead and mercury.
Karl Ove Knausgård, Min kamp 2|To unlock the writer's block is to keep writing until you can unknot the "not". If you cannot, then put a can in the plot and unwrap it a lot!
Mark O'Connell, Epic Fail: Bad Art, Viral Fame, and the History of the Worst Thing Ever|This could seem counterintuitive for many dictators running communist or socialist single-party states, but a thriving private tech industry can contribute invaluable tools to help you implement a controllable internet. The reason is fairly simple: the technologies that transform internet applications into more personalized, efficient and enjoyable experiences are usually the same ones that increase the capacity to monitor its users.
Erica Dakin, The Ritual|My body is my own," I said. "I may choose to share it with someone, but it's not for sale or for hire, nor is it a reward. I'd rather starve to death than use it as such.
Neil deGrasse Tyson|It's sort of nice in more general terms to see that computational science, computational biology is being recognized. It's become a very large field, and it's always in some ways been the poor sister, or the ugly sister, to experimental biology.
Alan Carr, Look Who It Is!: My Story|Dad instantly set out his stall:he wanted a big dog, a 'man dog',a dog that if it was human would enjoy a pint and stare at the barmaid's arse
Anthony Burgess, A Clockwork Orange|To start with, the overwhelming majority of serial killers are male,’ Hunter explained. ‘Female serial killers have a tendency to kill for monetary profit. While that can also be true their male counterparts, it’s very unlikely. Sexual reasons top the list for male serial killers. Case studies have also shown that female killers generally kill people close to them, such as husbands, family members, or people dependent on them. Males kill strangers more often. Female serial killers also tend to kill more quietly, with poison or other less violent methods, like suffocation. Male serial killers, on the other hand, show a greater tendency to include torture or mutilation as part of the process of killing. When women are implicated in sadistic homicides, they’ve usually acted in partnership with a man.
Ophelia London, Kissing Her Crush|He pointed past her shoulder. "We're surrounded by neighbors. Though once I have you inside, the walls are thick. You'll have to scream really loud for anyone to hear.
Joyce Meyer|There is nothing that wastes the body like worry, and one who has any faith in God should be ashamed to worry about anything whatsoever.
Caroline George, The Vestige|If a boy can manage to have coffee with me during the apocalypse, I know he cares. There’s not a speck of doubt in my mind. He must care.
Morana Blue, Gatsby's Smile|Then headed for the kitchen.Fuck.I headed through the lounge……just as two indistinct pitch-black masses, Kevlar laden, shotguns raised, crept ninja-like through the front door. This time, I didn't even get a bellowed warning. The lead ninja, upon seeing me, sprang forward… and crushed me face flat to the floor.That hurt.It was five long hard seconds before he eased up an iota so I could take a breath,"Hello again, Dennis. Busy night?" I managed from somewhere under his arm or knee or gun-butt. "Bean-bags or bullets?""Bullets," said Harry. "Easy up, lads. He's scarpered…" Dennis got off of me, locked his shotgun and helped me up,"Sorry," he said."No worries…
Andrew Peterson, The Monster in the Hollows|He means to make his subjects merciful and wise; sorrow and struggle bringeth both. We will, he tells me, grow by grieving, live by dying, love by losing. The heart itself is the field of battle and the garden green.
Anonymous ., The Angel Affect: The World Wide Mission|Understand when you listen to your intuition and commit to a life path that is unique to your desires, you’re likely choosing the path less traveled. This means there are going to be substantial obstacles in your way at times, and sometimes it may seem almost impossible to continue.Some things will happen outside of your control. But if you learn to roll with it, rather than against it, you will produce the best possible results. It is not always what happens to you, but how you respond to what happens to you that matters most.
Jeffrey Archer, A Prisoner of Birth|I never advise friends to put money in anything,. said Danny. 'It's a no-win situation - if they make a profit they forget that it was you who recommended it, and if they make a loss they never stop reminding you. My only advise would be not to gamble what you can't afford, and never to risk an amount that might cause you to lose a night's sleep
Signe Pike, Faery Tale: One Woman's Search for Enchantment in a Modern World|In prehistoric times, early man was bowled over by natural events: rain, thunder, lightning, the violent shaking and moving of the ground, mountains spewing deathly hot lava, the glow of the moon, the burning heat of the sun, the twinkling of the stars. Our human brain searched for an answer, and the conclusion was that it all must be caused by something greater than ourselves - this, of course, sprouted the earliest seeds of religion. This theory is certainly reflected in faery lore. In the beautiful sloping hills of Connemara in Ireland, for example, faeries were believed to have been just as beautiful, peaceful, and pleasant as the world around them. But in the Scottish Highlands, with their dark, brooding mountains and eerie highland lakes, villagers warned of deadly water-kelpies and spirit characters that packed a bit more punch.
Gail Carson Levine, Ella Enchanted|I have never had any difficulty falling asleep. No matter what problems I have. However terrible things are, I can sleep. It's like killing yourself and taking the easy way out. It's waking up that I dread. Every morning, I go through the five stages of death. I wake up in denial that I have to go to work. Then I get angry. Then I bargain with God, or myself, and try to call in sick. Then I feel guilty and go into remission, until finally I accept that the day will suck and I get up.
Ray Bradbury|Your intuition knows what to write, so get out of the way.
Nadège Richards, Deceiving Destiny|I'm sorry, I say. I didn't give you everything you wanted. I wasn't everything you wanted. You were everything I wanted.
Christine Pohl|Thousands of years before Christianity, secret cults arose which worshipped the sacred mushroom—the Amanita Muscaria—which, for various reasons (including its shape and power as a drug) came to be regarded as a symbol of God on earth.When the secrets of the cult had to be written down, it was done in the form of codes hidden in folk tales.This is the basic origin of the stories in the New Testament. They are a literary device to spread the rites and rules of mushroom worship to the faithful.
Israelmore Ayivor, Michelangelo | Beethoven | Shakespeare: 15 Things Common to Great Achievers|A dream is the frame or portrait or a construction or focus of one's vision by means of perception, based on what he or she knows and settles within via strategic thinking.
Namsoon Kang, Cosmopolitan Theology: Reconstituting Planetary Hospitality, Neighbor-Love, and Solidarity in an Uneven World|Walter Mignolo terms and articulates _critical cosmopolitanism, juxtaposing it with globalization, which is a process of "the homogeneity of the planet from above––economically, politically and culturally." Although _globalization from below_ is to counter _globalization from above_ from the experience and perspective of those who suffer from the consequences of _globalization from above_, cosmopolitanism differs, according to Mignolo, form these two types of globalization. Mignolo defines globalization as 'a set of designs to manage the world,' and cosmopolitanism as 'a set of projects toward planetary conviviality
Deyth Banger|Friends??The people which are hypocrites and the people which you rought and hard you deal with them,
Jess Walter, The Financial Lives of the Poets|But it's not easy, realising how we fucked it all up. And that turns out to be the hardest thing to live with, not the regret or the fear, but the realisation that the edge is so close to where we live.
Thich Nhat Hanh, Teachings on Love|Through my love for you, I want to express my love for the whole cosmos, the whole of humanity, and all beings. By living with you, I want to learn to love everyone and all species. If I succeed in loving you, I will be able to love everyone and all species on Earth... This is the real message of love.
Auliq Ice|She didn't see it because when it came to love, she saw what she wanted to see.
Alex Stein, Weird Emptiness: Essays and Aphorisms|In the end, no one can seek God unless he has already begun to find him.
Bonnie Friedman, Writing Past Dark: Envy, Fear, Distraction and Other Dilemmas in the Writer's Life|...a deadline should not prevent you from writing, but writing will help prevent you from missing your deadline. Then write a word. Then remind yourself of that again. And then write another and hey, look at you! You’re spitting in that deadline’s eye.
H.P. Lovecraft|All life is only a set of pictures in the brain, among which there is no difference betwixt those born of real things and those born of inward dreamings, and no cause to value the one above the other.
Tanmaya Guru|Money! If you do not have, then you listen to me, I'm saying something.
|If you decide to focus on one thing at a time, instead of trying to solve everything at once, and just do that one thing, then you will feel a sudden decrease in stress.
Tracy Weber, Murder Strikes a Pose|Ideologies, like dogs, remain just outside the hermits door.
Hanadi Falki, The Price of Our Silence|The best insurance that a girl can be given is a proper education and a steady career. That way she can assure a bright future for her family herself, instead of depending on her future groom to give her a comfortable life.
Jay Woodman|I constantly yearn to celebrate life & its infinite manifestations, to examine the details of everything including the human heart & mind.
Virginia Woolf, The Waves|And the danger is that in this move toward new horizons and far directions, that I may lose what I have now, and not find anything except loneliness.
Holly Black, Red Glove|Oh- and grab the plastic bag over by my suitcase."I slug down the last of the coffee and get up. The bag contains panty hose. I put them on her desk."They're for you.""You want me to look homeless, desperate, but also kind of fabulous?
Helen Maryles Shankman, In the Land of Armadillos: Stories|There are no shortcuts to moral insight. Nature is not intrinsically anything that can offer comfort or solace in human terms -- if only because our species is such an insignificant latecomer in a world not constructed for us. So much the better. The answers to moral dilemmas are not lying out there, waiting to be discovered. They reside, like the kingdom of God, within us -- the most difficult and inaccessible spot for any discovery or consensus.
Carrie Arcos, Out of Reach|Words stick, even when we don't want them to.
Kady Cross, The Strange Case of Finley Jayne|What is more dramatic, even romantic, than the tumbled towers of lower Manhattan, rising suddenly to the clouds like a magic castle girdled by water? Its very touch of jumbled jaggedness, its towering-sided canyons, are its magnificence.
Toni Aleo, Taking Shots|I was trying to get over you! And it didn’t work. I was meant to walk on this earth with only you, I was meant to give only you every piece of me. I don’t want anyone but you. I love you.
Justine Larbalestier|I can critique the bad; I can take the good, and I can add whatever I want.
Onyi Anyado|Entrepreneur, make today count and but don't let the day count you.
Geoff Johns|The truth is, I've never fooled anyone. I've let men sometimes fool themselves.
Jay Hosler, Last of the Sandwalkers|Laura smiled a little wanly in the twilight. "Far more afraid of flesh and blood than ghosts," she murmured.
Jazz Feylynn|It is difficult to make a reputation, but is even more difficult seriously to mar a reputation once properly made --- so faithful is the public.
Joe Frazier|Somerset desperately needs more high-end music making on its doorstep, so the chance to share great music spanning genres as diverse as orchestral classics, trip hop and jazz, in the utterly relaxed and cathartic environment of a Somerset field, is for me the fulfilment of a long-term dream.
Chris DiSano Davenport, The Little People Journey into the Mystic Sea|Always look at the message, not the messenger!”The Little People, The Little People Journey into the Mystic Sea
Epictetus, Discourses and Selected Writings|Freedom is not archived by satisfying desire, but by eliminating it.
M.R. Carey, The Girl with All the Gifts|Even the air seems to have a smell - earthy and rich and complicated, made out of things living nd things dying and things long dead. The smell of the world where nothing stops moving, nothing stays the same.
Thomas Piketty, Capital in the Twenty-First Century|In boom times companies have high profits. They increase production to satisfy demand for goods. This leads to excess supply. Companies cut prices to compete for customers. leading to lower profits, lay-offs, and economic depression. Eventually lower prices lead to an increase in demand and profits go back up. The economy is a yo-yo.
Joseph Stalin|Be true to yourself, stay focused and stay you, take advice from other folks, use what you can, but never mind what is not for you. For the most part, trust yourself and believe in what you are doing.
Jennifer Brown, Hate List|The West's post-Holocaust pledge that genocide would never again be tolerated proved to be hollow, and for all the fine sentiments inspired by the memory of Auschwitz, the problem remains that denouncing evil is a far cry from doing good.
John Reed|The less government interferes with private pursuits, the better for general prosperity.
Jenny Lundquist, The Charming Life of Izzy Malone|Words are a weapon, and rotten kids like Tyler Jones get a free pass when it comes to using them because the marks they leave are invisible. Why don't more adults realize that?
Elizabeth Gaskell, North and South|I wanted to see the place where Margaret grew to what she is, even at the worst time of all, when I had no hope of ever calling her mine.
Kelly Moran, Return to Me|God gives you two ears ; two eyes; two nostrils, but one Mouth, so you can speak less!
Katherine McIntyre, By the Sea|Avalon is full of desperate people.’ She bites at her lower lip this time, fumbling her hands, knitting her fingers into the bundle of plastic coin bags in her grasp. ‘Are you implying that I’m desperate?’ I say, one eyebrow tilting.‘You don’t need to be desperate… you can have anyone... I…’ she trails off. Looking up and trying to search the line of shops for the bank. I repulse her, I make her want to run. Why is this so hard? I need to get inside of her, I need to know what she is thinking, what she is wanting.It surely isn’t me she wants. Not to the extent that I… want her.‘You?’ I entice her to finish her sentence but she doesn’t, she stares off into the bustling crowds, memory flashing her eyes with a darkness.‘Madi wouldn’t fumble like this.’Oh, she would fumble, but not in the way you are, Elli.‘You’re not her, Elli.’ I entice her again, trying to force the dark memory, the sadness from her.‘No, if I was, you wouldn’t have wanted anyone else.’A breath hitches in her throat, she puts a hand over her mouth and says something else, her cheeks dance a shade of red that brightens and brightens until she apologises and quickens her pace. I chuckle, pulling at her arm and encircling one around her waist, pulling her back to me. Beneath my touch, her body trembles. When I raise my hand, my palm touching her cheek, I am sure she isn’t breathing.‘I don’t want anyone, Elli.’ My eyes burn, consuming her with my gaze. She is like a frightful deer, struggling beneath me with a gaze that cannot quite meet mine. When she does, it is only for a brief second before falling down and all I see is the gentle flutter of her raven flashes.‘I told you. I want someone I cannot have.’‘That is a really harsh way of telling someone you’re not interested.
Debasish Mridha|If you see only problems, then the doors of opportunities will close. If you see only opportunities, then problems will fly away.
Carlos Wallace, Life Is Not Complicated-You Are: Turning Your Biggest Disappointments Into Your Greatest Blessings|Positivity is good, but positivity that is rooted in God is power
B. B. King|Do it no matter what. If you believe in it, it is something very honorable. If somebody around you or your family does not understand it, then that's their problem. But if you do have a passion, an honest passion, just do it.
Lois Charles|Oh, readers. If only you knew what we've gone through for you.
Red Tash, Troll Or Derby|So confusing. It was some kind of magic, I knew that for sure, but I didn't understand the subtleties of it all. You'd have thought all those years of HBO and shit would have prepared me better.
Charles Haddon Spurgeon|O my soul, is not this enough? Dost thou need more strength than the omnipotence of the United Trinity? Dost thou want more wisdom than exists in the Father, more love than displays itself in the Son, or more power than is manifest in the influences of the Spirit?
Michael Spencer, Mere Churchianity: Finding Your Way Back to Jesus-Shaped Spirituality|... the powerful changes that happen in the life of a disciple never come from the disciple working hard at doing anything. They come from arriving at a place where Jesus is everything, and we are simply overwhelmed with the gift. Sometimes it seems as if God loves us too much. His love goes far beyond our ability to stop being moral, religious, obedient, and victorious, and we just collapse in his arms.Out of the gospel that Jesus is the only Mediator between God and humanity comes a Christian life that looks like Jesus, a life Jesus would recognize. It's a life that looks like Jesus, because Jesus does everything, and all we do is accept his gift. And to accept his gift, we have to give up trying to be Jesus.Out of that discovery comes a Christian life that is free from the tyranny of unnecessary adjectives - even my preferred modified, Jesus-shaped - and simply follows after the One who loves us beyond words or repayment.
Dada Bhagwan|Where there is conflict, there is no God.
Maryam Abdullah Alnaymi|6 criteria to upgrade literary production; Correct language, the power of the idea, the fluency in expressing, the connection between ideas and the depth of their meanings, the characters movements towards high convictions whether in the beginning or in the middle, and the ending must serves ideals and values and accomplishes victory to the human beings.
Michael Card, The Walk: The Life-changing Journey of Two Friends|Behind every specific call, whether it is to teach or preach or write or encourage or comfort, there is a deeper call that gives shape to the first: the call to give ourselves away - the call to die.
D.R. Silva|If people think honoring pastors means doing everything they say, why don't they honor Jesus the same way?
Elias James Corey|As our technology evolves, we will have the capacity to reach new, ever-increasing depths. The question is what kind of technology, in the end, do we want to deploy in the far reaches of the ocean? Tools of science, ecology and documentation, or the destructive tools of heavy industry?
Karen Maitland, Company of Liars|The day that I left my home, I had prayed that my children would forget me. I wanted to spare them the pain of remembering. But that night, as I crouched in the white mist, waiting, I knew more than anything that I wanted them to remember, I wanted desperately to go on living in someone's memory. If we are not remembered, we are more than dead, for it is as if we had never lived.
Deborra-Lee Furness|The farther we peer into space, the more we realize that the nature of the universe cannot be understood fully by inspecting spiral galaxies or watching distant supernovas. It lies deeper. It involves our very selves.
Melanie Dickerson, A Spy's Devotion|I had fallen in love, even if she was still finding her way.
Ursula K. Le Guin, The Dispossessed|You shall not go down twice to the same river, nor can you go home again. That he knew; indeed it was the basis of his view of the world. Yet from that acceptance of transience he evolved his vast theory, wherein what is most changeable is shown to be fullest of eternity, and your relationship to the river, and the river's relationship to you and to itself, turns out to be at once more complex and more reassuring than a mere lack of identity. You can go home again, the General Temporal Theory asserts, so long as you understand that home is a place where you have never been.
Julius Veal|I had this dream about you last night. We were still married. I was giving you a haircut, like I always did, being careful to trim around the scar on the back of your head. I’m sorry I sometimes forgot it and left you with a bald spot. And, I’m sorry we didn’t work out. But you look pretty happy on Instagram.
Nalini Singh, Branded by Fire|A hand in her hair, wrenching back her head. "What's my name?"She scratched trails down his back. He didn't even wince. "My name, kitty. Say my name.""Mr. Mud Stick, Muddie for short," she said, even as she rubbed herself against the hard thrust of his denim-covered erection, the roughness of the fabric an exquisite sensation. She would've liked naked skin even more, but he wasn't budging."Say it, or no cock for you today."Her mouth fell open. "Fuck you.""You'll be doing that shortly.
Sunday Adelaja|As a collaborative leader, you support people in their work—you remove roadblocks and help them win.
Felicia Day, You're Never Weird on the Internet|But she just couldn’t stop checking her phone; she wantedto stop, tried to stop, but the pull would not let her go. It wasa strange experience for her to be doing the obsessive phone-checkingthing. Vanessa talked about it, and she had heard storiesabout it from other friends. One date with a guy and suddenlythe phone becomes like an appendage endowed with some superpower to predict your future.
Elaine  White, Runaway Girl|He had placed the life of every one of his men before his own, and if that wasn’t the sign of a truly great leader, then he didn’t know what was.
Michelle Muriel, Essie's Roses|When you tell your dreams you gotta tell people you trust, 'cause sometimes they’ll snatch your dream right away from you.
Kenya Wright, 420|I’d been just like her, a youngster with something to say, a rebel through street art, leaving my mark on public buildings, to taunt the government and humor the public
Paula Stokes, The Key to Everything|I get it. Traveling halfway across the world to run into the boy you grew up with, getting back together after years apart—that’s an epic fucking fairytale. I don’t blame you for being seduced by it. I guess I just thought what we had was better. You know, because it was real.
T. S. Eliot|I don't want any title. I just say what I say, and hopefully somebody gets it, man. I'm not perfect, and I'm just here and trying to make a dollar, and being real at the same time, you know?
David Blunkett|I read somewhere that abs are made in the kitchen, and I'd like to agree. I like to think that I try to eat pretty clean, pretty good food.
Sue Townsend|We approach people the same way we approach our cars. We take the poor kid to a doctor and ask, What's wrong with him, how much will it cost, and when can I pick him up?
George Friedman, The Next 100 Years: A Forecast for the 21st Century|The computer focuses ruthlessly on things that can be represented in numbers. In so doing, it seduces people into thinking that other aspects of knowledge are either unreal or unimportant. The computer treats reason as an instrument for achieving things, not for contemplating things. It narrows dramatically what we know and intended by reason.
Peter James West|A 15-minute gap in your day is plenty of time to write and read, but not if you check your email first.
William Wycherley|If everyone were a good person, it'd obviously be a better world.
Confucius|We should keep the dead before our eyes, and honor them as though still living
Pablo Neruda, 100 Love Sonnets|I repeated: come with me, as if I were dying,and no one saw in my mouth the moon that was bleeding,no one saw the blood that was rising into the silence.Oh love, now let us forget the star with thorns!
Craig Ferguson|Sometimes people think you’re smart if you question the status quo, if nothing else.
Arthur Erickson|I'm representative of 21st century Irish design, so I promote Irishness all over the world wherever I go.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|When great men die in the race of life, they continue to live because the world can still benefit from their products.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|For you to maximize time, you want to make sure that every second of the day that comes is converted into some products. You want to ensure that every minute and hour of the day that passes are being converted into some values. For you to be great, you must learn to convert every second of your life.
Christopher Moore, Coyote Blue|Hope is bulletproof, truth just hard to hit
Adam|The destroyer of weeds, thistles, and thorns is a benefactor whether he soweth grain or not.
John Muir, John of the Mountains: The Unpublished Journals of John Muir|I only went out for a walk and finally concluded to stay out till sundown, for going out, I found, was really going in.
Stephen Richards, It's Criminal: The True Confessions of a Jet Set Master Criminal|We already knew how much there was; it was splashed all over the evening papers in large, glaring headlines: ‘Bank robbers grab £67,500!’ ‘Biggest bank robbery ever!’ ‘Daring bandits escape with huge sum!’ Take your pick; it all made lurid reading. According to the press the police were closing in on the raiders and their arrest was imminent. I got up and put the ‘Do Not Disturb’ sign on the door - that should stop them!
Emily Trunko, Dear My|For the broken hearts,I promise it gets better.I promise that the minutes and hours will go by faster and that the ache in your chest will stop.I promise that the day you can forgive and realize that you don't have to feel this way will come.I promise you that right now, no matter what age you are, it will hurt. But pain is temporary.I promise that months or even years from now you'll look back and realize how silly you're acting. Although it doesn't feel silly.I promise that your relationship with them may or may not bloom into at least a friendship.I promise it'll stop hurting. Give it time, give yourself time to be an individual again. Find the confidence to do things on your own. Reconnect with the friends you pushed away. Form a better self. Be selfish. Stop thinking about their opinion.xoxoxo, M
Isaac Asimov, The Naked Sun|In the ghetto of Genre, anything goes, man. When you live in the gutter it doesn’t matter if you’re filthy. In theory anyway.
The Sound of Serendipity   –   Cynthia A. Rodriguez|The city has a way of reminding you how insignificant you are,
Oprah Winfrey|My country owes me nothing. It gave me, as it gives every boy and girl, a chance. It gave me schooling, independence of action, opportunity for service and honor.
Steven Magee|At the age of 46 I was starting to see the appearance of rainbow halos and starbursts around bright nighttime lights, problems reading small print, focusing issues with my eyes, and image recognition issues. I had been exposed to bright high powered 20 watt scattered sodium LASER light a decade earlier in very high altitude astronomy.
Brenda Ueland, If You Want to Write: A Book about Art, Independence and Spirit|(about William Blake)As for Blake's happiness--a man who knew him said: "If asked whether I ever knew among the intellectual, a happy man, Blake would be the only one who would immediately occur to me."And yet this creative power in Blake did not come from ambition. ...He burned most of his own work. Because he said, "I should be sorry if I had any earthly fame, for whatever natural glory a man has is so much detracted from his spiritual glory. I wish to do nothing for profit. I wish to live for art. I want nothing whatever. I am quite happy."...He did not mind death in the least. He said that to him it was just like going into another room. On the day of his death he composed songs to his Maker and sang them for his wife to hear. Just before he died his countenance became fair, his eyes brightened and he burst into singing of the things he saw in heaven. 
Debasish Mridha|I love everyone and everything. I belong to everyone and everything. I am a citizen of this world. I created my own universe. I don’t want to belong to an ideology or belief system. I don’t want to be imprisoned by someone else’s conforming thoughts. I only accept that which is beautiful, loving, and kind. I want to belong to this universe until I am gone. We are one; we are kin. So my religion is love and kindness is my prayer. Altruism is my path. Peace is my palace where I dwell with humility and happiness.
Brian P. Cleary, You Oughta Know By Now|A slavish concern for the composition of words is the sign of a bankrupt intellect. Be gone, odious wasp! You smell of decayed syllables.
Kate Nash|Until I met you," she said, "I never realized how precious each day could be. When I was working, each day was over before I knew it, and then a week just flew by, and then a whole year...What have I been doing all this time? Why didn't I meet you before? If I had to choose a whole year in the past, or a day with you-I'd choose a day with you...
Haroutioun Bochnakian, The Human Consensus and The Ultimate Project Of Humanity|I am not red or blue. I am red, white and blue. Those are the same colors in my body (my heart, blood and veins). I am only human, and the human race is the only race in which I am an active participant - mind, body and soul.
Kantor|This pursuit of unavailable distant people has oedipal roots.… fearing the consequences, they make certain that they fail at the attempt.”―Distancing, Kantor (p.115)
Steven Redhead, The Solution|It's an amazing experience when you focus on the positive things in your life. Things start to change. You become happier. You see things differently. There might still be negative things there, but like an airplane flying overhead, they become the background noise of your mind.
John Gardner, On Becoming a Novelist|Theoretically there's no reason one should get [writer's block], if one understands that writing, after all, is only writing, neither something one ought to feel deeply guilty about nor something one ought to be inordinately proud of.
Brian Tracy|You have within you,right now,everything you need to deal with whatever the world can throw at you.
Danielle Younge-Ullman, Everything Beautiful Is Not Ruined|There are parents who use their small children as weapons. They are weak people. Sick people. And their children are watching them, watching how Mom and Dad use them as weapons.
Sunday Adelaja|God’s eyes are always on you, you are precious in His sight
Kaylin McFarren, Flaherty's Crossing|When you really let people see you, Amelia–all of you, not just the snow-obsessed reporter–it’s impossible to look away.
George R.R. Martin, The Armageddon Rag|Misery loves company, as someone unbearably trite said once.
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|Sometimes destiny switches the cards on you so that while you're busy escaping from the dog, you find yourself facing the wolf
Kathleen Glasgow, Girl in Pieces|...when I look at my arms, I don't think revolutionary. I think sad, and pain, but not revolutionary.
James          Anderson, The Never-Open Desert Diner|Like every other house-renting, paycheck-to-paycheck, heel dragging working American, it wouldn't matter if I stepped in it by accident or was pushed, or simply whiffed it as I walked by. With the powers in play, guilt or innocence had nothing to do with anything.
Robin Talley, Lies We Tell Ourselves|The lipstick is a dark, dark red. The kind Hollywood stars wear. Not a shade good girls in Davisburg wear to the movies. I try it on anyway and gaze at my reflection in the mirror.I don't look sick. I certainly don't look like that kind of girl.What does that kind of girl look like, anyway?
Michael Ende, The Neverending Story|There are people who can never go to Fantastica," said Mr. Coreander, "and others who can, but who stay there forever. And there are just a few who fo to fantastica and come back. Like you. And they make both world well again.
Donna Lynn Hope|The end never comes when you think it will. It’s always ten steps past the worst moment, then a weird turn to the left.
Sara Gruen, Water for Elephants|I want her to melt into me, like butter on toast. I want to absorb her and walk around for the rest of my days with her encased in my skin.I want.
Cesare Beccaria|Art is the right hand of Nature. The latter has only given us being, the former has made us men.
Stephanie Lahart|Ambitions are like assholes, and they smell like flowers to the owner. I must be delusional. Give it up.
Trent Reznor|Evolution doesn't care whether you believe in it or not, no more than gravity does. I want to rekindle excitement over what we've achieved as a species with the space program. We can't afford to regress back to the days of superstition.
Criss Jami, Healology|Always seek justice, but love only mercy. To love justice and hate mercy is but a doorway to more injustice.
Luther Burbank|Till o'er the wreck, emerging from the storm, Immortal Nature lifts her changeful form: Mounts from her funeral pyre on wings of flame, And soars and shines, another and the same.
Julia Quinn, The Viscount Who Loved Me|This has to be the most self-centered thing I've ever said, but no, I think you just wanted to vex me.
Pam Godwin, Dark Notes|Don't even think about it." Søren said as Kingsley pulled his coat and gloves off."I'm always thinking about it." Kingsley said. "I brought the lube.""Kingsley, it's not even five in the morning yet.""You beat me this early before.""I was attempting to wake you up.""With your alarm cock?
Andrew Barrett, The Third Rule - The Complete Story|There are, fortunately, very few people who can say that they have actually attended a murder.
Teresa Schultz, The Bible In Poetry,|We can only trust God to change hearts and lives, and let Him use us to stand up for Him, and to love the hurting.
Wendy Kopp|Effective teacher support in my mind is the same thing as effective management. Our teachers need strong management, just like anyone in any profession.
Samuel Nazer Walsh|Live Loud, Love Loud, Laugh Loud, Play Loud, Cry Loud – Isn’t that what life’s about!
Dana Marton, Deathwish|A dangerous glint came into his eyes. "Gabi, if I ever show up in your bedroom in the middle of the nigh, believe me, it won't be to give you a morality lesson."	She felt the promise of that through her body down to her toes. But she said, "If anyone showed up in my bedroom in the middle of the night, I'm likely to shoot them."	He laughed as he shook his head at her. "Of course, you would.
Luke Evans|I've just been growing right along. It's painful, but it's a great pain, and I like suffering for great results. It's like going to the gym. It hurts really bad at first, but after a couple of months and after that diet, you're looking so hot.
Alyssa Day, Atlantis Unmasked|With Quinn, safety wasn’t even an illusion. It was an impossibility
John Howe|For this generation, ours, life is nuclear survival, liberty is human rights, the pursuit of happiness is a planet whose resources are devoted to the physical and spiritual nourishment of its inhabitants.
Alexis de Tocqueville, Democracy in America|Democracy is, among other things, the ability to say 'no' to the boss. But a man cannot say 'no' to the boss, unless he is sure of being able to eat when the boss's favour has been withdrawn.
Phil Volatile, Crushed Black Velvet|Some people are hard to forget, but some people are hard to remember.
Laurie Notaro, Autobiography of a Fat Bride: True Tales of a Pretend Adulthood|To achieve the impossible dream, try going to sleep.
B.E. Scully|This is not written for the young or the light of heart, not for the tranquil species of men whose souls are content with the simple pleasures of family, church, or profession. Rather, I write to those beings like myself whose existence is compounded by a lurid intermingling of the dark and thelight; who can judge rationally and think with reason, yet who feel too keenly and churn with too great a passion; who have an incessant longing for happiness and yet areshadowed by a deep and persistent melancholy—those who grasp gratification where they may, but find no lasting comfort for the soul.
Rachel Hartman, Shadow Scale|If knock the door once and it remains lock, do not turn away. With persistent knocks, the door will be open.
Kamand Kojouri|Oh, how scary and wonderful it is that words can change our lives simply by being next to each other.
Johnny Depp|Rather than attack the Christian faith directly, many films undermine foundational Christian principles, including the human need for salvation. These films present a false "gospel" that leads people away from the truth. Recognizing these messages in movies can help us avoid being adversely influenced by them. Just as importantly, the messages in these stories can provide us with starting points for sharing the true gospel of Jesus Christ.
Terry Pratchett, Monstrous Regiment|Polly?' Said Wazzer. 'Yes?''You don't believe in The Duchess, do you? I mean the real Duchess, not your inn.'Polly looked into the small, pinched, intense face. 'Well I mean, they say she's dead, and I prayed to her when I was small, but since you asked I don't exactly, um, believe as-' She gabbled.'She is standing just behind you. Just behind your right shoulder.'In the silence of the wood, Polly turned. 'I can't see her,' she said.'I am happy for you,' said Wazzer, handing her the empty mug.'But I didn't see anything,' said Polly.'No,' said Wazzer. 'But you turned around.
William Blake, Jerusalem|I know of no other Christianity and of no other Gospel than the liberty both of body & mind to exercise the Divine Arts of ImaginationImagination the real & eternal World of which this Vegetable Universe is but a faint shadow & in which we shall live in our Eternal or Imaginative Bodies, when these Vegetable Mortal Bodies are no more. The Apostles knew of no other Gospel.
Germaine Greer|Half the point in reading novels and seeing plays and films is to exercise the faculty of sympathy with our own kind, so often obliterated in the multifarious controls and compulsions of actual social existence.
Mike Krzyzewski|The tango is really a combination of many cultures, though it eventually became the national music of Argentina.
