Ivan Goncharov, Oblomov|In the bitter waves of woe, Beaten and tossed about By the sullen winds that blow From the desolate shores of doubt,­­ When the anchors that faith had cast Are dragging in the gale, I am quietly holding fast To the things that cannot fail: In the darkest night of the year,  When the stars have all gone out,  That courage is better than fear,  That faith is truer than doubt; And fierce though the fiends may fight,  And long though the angels hide, I know that Truth and Right Have the universe on their side; And somewhere, beyond the stars, Is a Love that is better than fate; When the night unlocks her bars I shall see Him, and I will wait
Kristen Ashley|Too many things can be free in this world, but freedom is never among them.
Walter Mosley|The job of the writer is to take a close and uncomfortable look at the world they inhabit, the world we all inhabit, and the job of the novel is to make the corpse stink.
Karin Bachmann|Not new but so true:"It's nice to be important but it's more important to be nice.
Robert Sowthey|Although other animals may be different from us, this does not make them LESS than us
Napz Cherub Pellazo|At the end of the day, you control your happiness at peace.
Friedrich Nietzsche|Behind all their personal vanity, women themselves always have an impersonal contempt for woman.
José Ortega y Gasset|The only thing that interests the physicist is finding out on what assumptions a framework of things can be constructed which will enable us to know how to use them mechanically. Physics, as I have said on another occasion, is the technique of techniques and the ars combinatoria for fabricating machines. It is a knowledge which has scarcely anything to do with comprehension.
Orhan Pamuk|...and awakening, at that moment, to the thrilling prospect of complete surrender, not just of one’s lips but of one’s entire body to a lover’s mercy, we recognized that the gap between compassion and surrender is love’s darkest, deepest region.
William Greider|We'll have a public power authority, which will also have the ability to build power or finance power. And more importantly, we'll have more power than our economy provides. All of that will give us leverage we don't have today.
Alan Bradley|Not to be too dramatic about it, that night I slept the sleep of the damned. I dreamt of turrets and craggy ledges where the windswept rain blew in from the ocean with the odor of violets. A pale woman in Elizabethan dress stood beside my bed and whispered in my ear that the bells would ring. An old salt in an oilcloth jacket sat atop a piling, mending nets with an awl, while far out at sea a tine aeroplane winged its way towards the setting sun.
Maria Augusta von Trapp, The Story of the Trapp Family Singers|Deep inside her heart, I was feeling my home like a hay made nest.
Billy Graham, Billy Graham in Quotes|The Bible is the constant fountain for faith, conduct, and inspiration from which we drink daily.
Arjun Pawar, Masters of Lygrenn|The doors to Wisdom & Glory are never closed, they just favor the undaunted
Thomm Quackenbush, Pagan Standard Times: Essays on the Craft|Because I think that by beauty, you don't just mean something that's pretty. You mean something that makes us human.
August Krogh|Steve's sales pitch on the NeXT operating system was dazzling," according to Amelio. " He praised the virtues and strengths as though he were describing a performance of Oliver as Macbeth.
Mihaly Csikszentmihalyi, Creativity: Flow and the Psychology of Discovery and Invention|Neither parents nor schools are very effective at teaching the young to find pleasure in the right things. Adults, themselves often deluded by infatuation with fatuous models, conspire in the deception. They make serious tasks seem dull and hard, and frivolous ones exciting and easy. Schools generally fial to teach how exciting, how mesmerizingly beautiful science or mathematics can be; they teach the routine of literature or history rather than the adventure.
Virginia Euwer Wolff|He knew he could never jingle change in his pocket or park his car like a confident adult, he was the Adrian he had always been, casting a guilty look over a furtive shoulder, living in eternal dread of a grown-up striding forward to clip his ear.But there again, when he sipped at the whiskey his eyes failed to water and his throat forgot to burn. The body shamelessly welcomed what once it would have rejected. At breakfast he demanded not Ricicles and chocolate spread, but coffee and unbuttered toast. And if the coffee was sugared he leapt from it like a colt from an electric fence. He ate the crust and left the filling, guzzled the olives and spurned the cherries. Yet inside he remained the same Adrian who fought down the urge to stand and shout 'Bullocks' during church services, smelt his own farts and wasted hours skimming through National Geographic on the off-chance of seeing a few naked bodies.
Stanisław Lem, Solaris|I had no hope. Yet expectation lived on in me, the last thing she had left behind. What further consummations, mockeries, torments did I still anticipate? I had no idea as I abided in the unshaken belief that the time of cruel wonders was not yet over.
Robin Roe|The very next day after Miss West and I’d talked about her son and missions, she was the same as she’d always been: volatile and unhappy with a hatred that spewed out of her like missiles. I thought I understood why. She must have hated us for being alive when her son was dead.Lately the class has been turning against her. They’re openly hostile, and they whisper plots for revenge. It seems unfair, the way unhappiness flows out of a person, just to ricochet.  “Adam…do you think we have a missions?” He looks at me with a confused expression. “What kind of missions?” “I don’t know. Do you think you have a mission?” I shrug, disappointed. If Adam doesn’t know, then I guess no one does.  A girl turns onto our hall, eyes red and sad, and she passes, Adam sends her a smile. Her whole face brightens and she sends him a smile back.  Hate ricochets, but kindness does too. Page 178.
John Wooden|We should always be learning. However, we must be careful not to set aside our faith in the process, because faith actually enhances our ability to learn.
Bruce Lee|Poem by Howard A. Walter (Character)I would be true, for there are those who trust me;I would be pure, for there are those who care;I would be strong, for there are those who suffer;I would be brave, for there is much to dare.I would be friend of all--- the foe, the friendless;I would be giving, and forget the gift;I would be humble, for I know my weakness;I would look up, and laugh, and love, and lift.
Billy Graham, Billy Graham in Quotes|I believe America has gone a long way down the wrong road. If we ever needed God’s help, it is now.
The Hypnotherapy Guy|Enjoy what you have, cherish the good times and savour everything life presents you. We can’t change the past…However, the future is a blank canvas, waiting for the paint, go create a masterpiece.
Lailah Gifty Akita, Think Great: Be Great!|When you ask, expect the answer.
Maria Mitchell|Just as the science and art of agriculture depend upon chemistry and botany, so the art of education depends upon physiology and psychology.
Poppy Delevingne|I have a few go-to moves like jazz hands, shake the booty, stupid eyes. It was once a mating ritual, but now it's all about looking silly and making the kids smile.
Geoffrey West|Giving birth was the most amazing thing I've ever done. I'd been living in a Third World country, and I said, 'I'm going to just squat behind a tree.' I basically did that but in a chair in my living room. I didn't want a sterile hospital room. I didn't want doctors. I had a midwife.
Scott Stabile|Compassion grows in the recognition that we are all the same.If you can’t see some part of yourself in every single person you encounter, then you’re not looking closely enough, at the person or at yourself.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Whenever you should doubt your self-worth, remember the lotus flower. Even though it plunges to life from beneath the mud, it does not allow the dirt that surrounds it to affect its growth or beauty.
Leo Tolstoy|I never fancied cats much till I found the First Mate," he remarked, to the accompaniment of the Mate's tremendous purrs. "I saved his life, and when you've saved a creature's life you're bound to love it. It's next thing to giving life.
Margaret D. Nadauld|During the first 13 centuries after the birth of Jesus in Bethlehem, no one thought of setting up a creche to celebrate Christmas. The pre-eminent Christian holiday was Easter, not Christmas.
Sarah J. Maas, A Court of Mist and Fury|The Court of Dreams.The people who knew that there was a price, and one worth paying, for that dream. The bastard- born warriors, the Illyrian half breed, the monster trapped in a beautiful body, the dreamer born into a court of nightmares...And the huntress with an artist's soul.
Joseph Fielding Smith, Doctrines of Salvation Vol I|Jesus can you show meJust how far the east is from the west,Cause I can't bear to see the man I've beenRising up in me again.In the arms of your mercy I find restCause you know just how far the east is from the west---From one scarred hand to the other.
Isaac Asimov|Gadgetry will continue to relieve mankind of tedious jobs. Kitchen units will be devised that will prepare ‘automeals,’ heating water and converting it to coffee; toasting bread; frying, poaching or scrambling eggs, grilling bacon, and so on. Breakfasts will be ‘ordered’ the night before to be ready by a specified hour the next morning. Communications will become sight-sound and you will see as well as hear the person you telephone. The screen can be used not only to see the people you call but also for studying documents and photographs and reading passages from books. Synchronous satellites, hovering in space will make it possible for you to direct-dial any spot on earth, including the weather stations in Antarctica. [M]en will continue to withdraw from nature in order to create an environment that will suit them better. By 2014, electroluminescent panels will be in common use. Ceilings and walls will glow softly, and in a variety of colors that will change at the touch of a push button. Robots will neither be common nor very good in 2014, but they will be in existence. The appliances of 2014 will have no electric cords, of course, for they will be powered by long- lived batteries running on radioisotopes.“[H]ighways … in the more advanced sections of the world will have passed their peak in 2014; there will be increasing emphasis on transportation that makes the least possible contact with the surface. There will be aircraft, of course, but even ground travel will increasingly take to the air a foot or two off the ground. [V]ehicles with ‘Robot-brains’ … can be set for particular destinations … that will then proceed there without interference by the slow reflexes of a human driver. [W]all screens will have replaced the ordinary set; but transparent cubes will be making their appearance in which three-dimensional viewing will be possible. [T]he world population will be 6,500,000,000 and the population of the United States will be 350,000,000. All earth will be a single choked Manhattan by A.D. 2450 and society will collapse long before that!There will, therefore, be a worldwide propaganda drive in favor of birth control by rational and humane methods and, by 2014, it will undoubtedly have taken serious effect. Ordinary agriculture will keep up with great difficulty and there will be ‘farms’ turning to the more efficient micro-organisms. Processed yeast and algae products will be available in a variety of flavors. The world of A.D. 2014 will have few routine jobs that cannot be done better by some machine than by any human being. Mankind will therefore have become largely a race of machine tenders. Schools will have to be oriented in this direction…. All the high-school students will be taught the fundamentals of computer technology will become proficient in binary arithmetic and will be trained to perfection in the use of the computer languages that will have developed out of those like the contemporary “Fortran". [M]ankind will suffer badly from the disease of boredom, a disease spreading more widely each year and growing in intensity. This will have serious mental, emotional and sociological consequences, and I dare say that psychiatry will be far and away the most important medical specialty in 2014. [T]he most glorious single word in the vocabulary will have become work! in our a society of enforced leisure.
Leslie Ludy|He does not want a girl who trifles with Christianity. He wants a woman who is radically given to Christ. He does not want a girl who prays tepid, lukewarm prayers. He wants a woman who lives in defiance of the powers of Hell. He does not want a girl who is self-adorning with the latest fashions and trends. He wants a woman who is adorned with the inner jewelry of Christ-given holiness. He does not want a girl who dishonors and belittles her parents. He wants a woman who honors the authorities God has placed in her life and serves them with charity and gladness. He does not want a girl whose Bible is an accessory to her wardrobe. He wants a woman whose hunger and thirst is to know the Lord, and who diligently feasts upon His Word. He does not want a girl whose tongue is a deceptive weapon of selfishness. He wants a woman whose words drip with the honey of the name of Jesus.
Pope Paul VI|As we express our gratitude, we must never forget that the highest appreciation is not to utter words, but to live by them.
Eddie Huang, Fresh Off the Boat: A Memoir|She learned early on, in her adopted country, that race was an easy excuse to stop awkward explanations. People hesitated to probe into such a sensitive matter.
Charles de Lint, Waifs and Strays|Either write something worth reading, or do something worth writing.
Andre Maurois|Look back, and smile on perils past.
Rachel Higginson, Endless Magic|In order for you to receive, someone else has to give. That’s called sacrifice.
Andy Andrews, The Noticer Returns: Sometimes You Find Perspective, and Sometimes Perspective Finds You|Life has always been a series of the same choices: enslavement, apathy or freedom.
David Seabury|I don't think that you can invent on behalf of customers unless you're willing to think long-term, because a lot of invention doesn't work. If you're going to invent, it means you're going to experiment, and if you're going to experiment, you're going to fail, and if you're going to fail, you have to think long term.
Dai Sijie, Once on a Moonless Night|Calligraphy may well be simply an artistic version of another form, that is the ideograms which make up the poem, but then not only does it reflect the character and temperament of the artist but . . . also betrays his heart rate, his breathing.
T. E. Lawrence|We require from buildings two kinds of goodness: first, the doing their practical duty well: then that they be graceful and pleasing in doing it.
C.S. Lewis, The Weight of Glory|Now, if we are made for heaven, the desire for our proper place will be already in us, but not yet attached to the true object, and will even appear as the rival of that object […] If a transtemporal, transfinite good is our real destiny, then any other good on which our desire fixes must be in some degree fallacious, must bear at best only a symbolical relation to what will truly satisfy.
Suzanne Collins, Mockingjay|I no longer feel allegiance to these monsters called human beings, despise being one myself. I think that Peeta was onto something about us destroying one another and letting some decent species take over. Because something is significantly wrong with a creature that sacrifices its children’s lives to settle its differences. You can spin it any way you like. Snow thought the Hunger Games were an efficient means of control. Coin thought the parachutes would expedite the war. But in the end, who does it benefit? No one. The truth is, it benefits no one to live in a world where these things happen.
Sergei Lukyanenko, Новый Дозор|Do not just look, but you should also observe.
Christina Engela, Inanna Rising: Women Forged in Fire|The religious right sees every group trying to achieve equality with them as a threat, because if they become equal to them, THEY won't be able to abuse their human rights anymore. Giving other people equality WITH THEM, in their minds takes something away from THEM - POWER - and that TERRIFIES them. It scares them shitless.
Anamika Mishra|If you can’t find a job, use your special gift to create a job.
Taron Egerton|My whole life, growing up, I always wanted to be in comedy. I never felt comfortable doing the 'teen hunk' thing.
Teresa R. Funke, Bursts of Brilliance for a Creative Life blog|If you haven't proclaimed it in your own life, do it now. Say, "I am an artist.
Reba McEntire|What we actually learn, from any given set of circumstances, determines whether we become increasingly powerless or more powerful.
Albert Einstein|The most beautiful thing we can experience is the mysterious. It is the source of all true art and all science. He to whom this emotion is a stranger, who can no longer pause to wonder and stand rapt in awe, is as good as dead: his eyes are closed.
Kate   O'Neill, Lessons from Los Gatos: How Working at a Startup Called Netflix Made Me a Better Entrepreneur|We the people have more power than we know, and we must learn to use it judiciously.
Meg Jay, The Defining Decade: Why Your Twenties Matter--And How to Make the Most of Them Now|In one way or another, almost every twentysomething client I have wonders, 'Will things work out for me?' The uncertainty behind that question is what makes twentysomething life so difficult, but it is also what makes twentysomething action so possible and so necessary. It's unsettling to not know the future and, in a way, even more daunting to consider that what we are doing with our twentysomething lives might be determining it.
Skyla Dawn Cameron, Bloodlines|His witch had finally arrived. He knew it within his heart and he danced, giddy as a schoolboy on the first day of summer vacation.
Charles Dickens, Great Expectations|I think what doesn't kill you makes you a better human being. It opens your eyes, your heart, and your mind.
Rebecca Romijn|My dad's sense of humor was direct and sometimes surreal - his quick wit is well known amongst our family and friends. He raised me on Spike Jones records and W.C. Fields movies, and his sense of humor fell somewhere in between.
Kate McGahan, Jack McAfghan: Return from Rainbow Bridge|It was something new for her. New roads, new people, new places, new opportunities and new perspective. This is the one thing that inevitably moves a person through the grief. Growth heals grief.
Tucker Elliot, The Day Before 9/11|If I can be perfectly blunt, his humanities teacher was an ass.
Phil Knight, Shoe Dog: A Memoir by the Creator of NIKE|He was easy to talk to, and easy not to talk to-equally important qualities in a friend. Essential in a travel companion.
Niquenya D. Fulbright, Why YOU SUCK at Network Marketing|As long as you SIT, you Stay In Trouble. Once you STAND, you Shift Toward A New Direction, take a STEP, and Start To Embrace Purpose, then WALK to Welcome Abundance, Love and Knowledge.
Calvin W. Allison, Strong Love Church|The thoughts from a finite mind can at times be very similar to the clouds that move about over the surface of the earth. Both can cover a lot of ground, and can either disperse or increase in formation. Likewise—both are heavily influenced by the surrounding climate. Furthermore—a hard wind increases a fire’s spread, thunder proceeds a lightning strike, and when atmospheric water vapor accumulates, it produces clouds. Then, after an abundance of water has been condensed, the clouds will at some point release moisture; the rain/precipitation amount will range from the degree of abundance condensed.Similarly: an abundance of thoughts can also accumulate—eventually resulting in an overflow of emotion. The overflow can either be positive or negative—the determining factor relying on the characterization of the thoughts—whether they be positive or negative.
Lois Lowry, A Summer to Die|She smiles, and her eyes look as if they can see back into her memory, into all the things that have gone into making a person what they are.
Ursula K. Le Guin|We read books to find out who we are. What other people, real or imaginary, do and think and feel... is an essential guide to our understanding of what we ourselves are and may become.
Maren Morris|For me they are no different, reality and dreams.
Pearl Zhu, Thinkingaire: 100 Game Changing Digital Mindsets to Compete for the Future|Speaking the unspeakable. As a leader, you need to not just listen to what’s being said, but more importantly, what's not being said.
Jonathan Kozol|I think we need to rethink a lot of business skills. In finance, for example, social impact bonds are potentially a way of providing capital for investments that save the public money in a context in which government often doesn't invest in things that would save it money.
Charbel Tadros|These are treacherous times, and I know how easily perceptions can be twisted by a single word spoken into the wrong ear. Impugn a man's character, and everything that man does is made to seem underhanded, suspect, fraught with double motives.
Alan Eisenstock|Drag queen is a gender like no other, and with practice I'd learned to rise to it.
Rachel A. Marks, Distant Passages - Volume 2: More of the Best Short Stories and Poetry from Double-Edged Publishing|He couldn’t look back at the children. He couldn’t think of it. All he could do was watch the eyes of his wife.He pulled her to him, her body soft, her skin warm. She was life, she was his. He took her lips and tasted his freedom once more. The subtle tenderness. The hope hidden in joined breath. He took it into himself. Soaking in the peace that came with it.And even as the rustling began he felt still, he felt calm. Scratching and scrapping within the stones, and the rustle of wings. But all Eli knew was the nature of love.
Tez Brooks|Unfortunately for the existing mature systems in nature, the rapid expansion of the human bubble is destroying them. Unfortunately for us, we can't exist without them any more than a living person can exist without oxygen or a body can exist without a head. In this sense, it is actually a conceptual error to define the environment as the rest of the biosphere save humans, and think of ourselves as apart from it, since we can't exist without it.
|A beautiful Soul never know how beautiful it really is, a ugly allways thinks it is.
Joel Osteen|Corporate governance is a huge issue too. We don't have women on these corporate boards. More than half of the students in law school are women, more than half of the women, I think, in medical school now are women.
Robyn Schneider, The Beginning of Everything|When I see him, his frame filling the doorway, I do not feel passion, excitement. I can't remember if I ever have. He makes me feel comfortable, like a favorite pair of shoes.
MacKenzie Taylor, The Way You Look Tonight|Simon, she'd learned, was a man who studied people. He learned their weaknesses as a way of protecting himself.
Sri Yukteswar Swami|So long as the soul of man is encased in one, two, or three body-containers, sealed tightly with the corks of ignorance and desires, he cannot merge with the sea of Spirit.
Michael N. Castle|The 50-50-90 rule: Anytime you have a 50-50 chance of getting something right, there's a 90% probability you'll get it wrong.
Alison Moyet|What makes the Stones' arrogance so divine is that we all believe that long ago and far away they weren't rich and famous but poor and struggling, just like us.
Kimberly Novosel, Loved|The bad news is nothing lasts forever,The good news is nothing lasts forever.
Robert E. Lee|As a privileged survivor of the First World War, I hope I may be allowed to interject here a deeply felt tribute to those who were not fortunate enough to succeed, but who shared the signal honor of trying to the last to salvage peace.
Eckhart Tolle|To speak specifically of our problem with the Muslim world, we are meandering into a genuine clash of civilizations, and we're deluding ourselves with euphemisms. We're talking about Islam being a religion of peace that's been hijacked by extremists. If ever there were a religion that's not a religion of peace, it is Islam.
Robert Jordan, The Dragon Reborn|We rode on the winds of the rising storm,We ran to the sounds of the thunder.We danced among the lightning bolts,and tore the world asunder.
Christopher Isherwood, Lost Years: A Memoir 1945 - 1951|The expectation of intelligent gossip is a powerful motive for serious self-criticism, more powerful than New Year resolutions to improve one's decision making at work and at home.
Derek Landy, Death Bringer|Valkyrie walked to the back door, which hadn't been closed properly, shut it and locked it. There was now a baby in the house, after all. She couldn't take the chance that a wild animal might wander in and make off with Alice, like those dingoes in Australia. She was probably being unfair to both dingoes and Australia, but she couldn't risk it. Locked doors kept the dingoes out, and that's all there was to it, even if she didn't know what a dingo actually was. She took out her phone, searched the Internet, found a picture of a baby dingo and now she really wanted a baby dingo for a pet.
Solange Knowles|My mom and I have always been very close since she did raise me as, like, a single mom. My friends and everyone I know are like, 'Wow, you guys really have a really good relationship.' She's with me a lot of the time, so people find that kind of shocking.
Hina Yu|Nothing can escape death. Not even the Sun. Not even the Earth. Not even the universeEveryone will have to embrace their eternal sleep someday. It can happen anytime. Anywhere. And at any location.It is Sudden.Many people die filled with regret.Regret that they didn't get their dream job.Regret that they didn't listen to their parents.Regret that they didn't confide to their crush.Regret that they didn't get into a better high school.But most of all, they regret that they haven't live life to it's fullest.That they didn't try out everything in the world. That they didn't get to see much of it.Few people die with happiness.It is because they have seen everything.It is because they have travelled to nearly every place on Earth.It is because they have done good in the world.It is because they know that they have enjoyed life and have made Earth a more enjoyable place for future generations.Those people that die with no regrets have chosen a better path. They pursued their dreams.They followed it.They completed it.And they accomplished it.Those people are worth following. Those people are worth remembering.So let's remember them.And never forget the good things that they have left in this world.
Cyma Rizwaan Khan, V Day|I think we are wise, we English speakers, to savor accents. They teach us things about our own tongue.
Molly Harper, Nice Girls Don't Have Fangs|Most of the people you read about being turned meet vamps in clubs or over the Internet...Ew, did you...?""Yes, I met a vampire on the Internet, went to his evil love den, and let him turn me, because I'm that brainless.
Stephen King|How to Draw a Picture (XII)Know when you're finished, and when you are, put your pencil or your paintbrush down. All the rest is only life.
Deb Caletti, Honey, Baby, Sweetheart|Every man has some reminiscences which he would not tell to everyone, but only to his friends. He has others which he would not reveal even to his friends, but only to himself, and that in secret. But finally there are still others which a man is even afraid to tell himself, and every decent man has a considerable number of such things stored away. That is, one can even say that the more decent he is, the greater the number of such things in his mind.
Lailah Gifty Akita, Think Great: Be Great!|Keep questioning! With time, you will find answers to your questions.
|It is your responsibility to pull yourself up if you find yourself at the bottom, instead of waiting around and expecting others to come to your rescue. Moreover, most people already have their own burdens to carry.
Kevin Barry|I always try to say, 'If you want to help the environment, try to do just two things. One, use less of your car. Second, separate your garbage.'
Renee Fredrickson, Repressed Memories: A Journey to Recovery from Sexual Abuse|Everything you need to heal is inside yourself. You only need support and encouragement to listen to yourself—to your thoughts, feelings, imagery, and inner spiritual urgings. A book, like a therapist or group, can only guide you, helping you to say out loud what you dared not say even to yourself.
Israelmore Ayivor|The way I see it, the difference between farmers and suburbanites is the difference in the way we feel about dirt. To them, the earth is something to be respected and preserved, but dirt gets no respect. A farmer likes dirt. Suburbanites like to get rid of it. Dirt is the working layer of earth, and dealing with dirt is as much a part of farm life as dealing with manure. Neither is user-friendly but both are necessary.
Anonymous|The desert became grim, dark and foreboding. A silence of death lay over the land, and it seemed as though the very stars held their breath and twinkled no more.
Cressida Cowell, How to Steal a Dragon's Sword|To obtain greatness and strength, a man must have a good character. He is honorable and respected by others. We define him as intelligent, and as one who God has blessed with wisdom
Deepak Chopra, The Way of the Wizard: Twenty Spiritual Lessons for Creating the Life You Want|The same faint song is heard in everything: "Behold yourself".
Mark Galli, Chaos and Grace: Discovering the Liberating Work of the Holy Spirit|Jesus said, " I, when I am lifted up from the earth, will draw all men to myself," knowing that the nature of a forgiving Christ on the cross would compel people to follow Him. As long as the church remains an effective platform for God's light to reveal to the world the sacrifice Jesu samde, the church will be anturally irresistible. Light is inherently inviting-- just think of a porch light left on late into the night. Light communicates comfort, warmth, and healing. It gives direction and hope so we can see better and understand more fully. Most people I meet are looking for light. The problem is that the emphasis is of too many churches has gradually shifted and changed.
Anthony De Sa, Barnacle Love|The Portuguese call it saudade: a longing for something so indefinite as to be indefinable. Love affairs, miseries of life, the way things were, people already dead, those who left and the ocean that tossed them on the shores of a different land — all things born of the soul that can only be felt.
Pyotr Kropotkin, The Conquest of Bread|Fine sermons have been preached on the text that those who have should share with those whohave not, but he who would act out this principle is speedily informed that these beautiful sentimentsare all very well in poetry, but not in practice. “To lie is to degrade and besmirch oneself,” we say, andyet all civilized life becomes one huge lie. We accustom ourselves and our children to hypocrisy, to thepractice of a double-faced morality. And since the brain is ill at ease among lies, we cheat ourselveswith sophistry. Hypocrisy and sophistry become the second nature of the civilized man.But a society cannot live thus; it must return to truth or cease to exist.
Soren Kierkegaard|Allah is with people who show patience. If you are down in the dumps, Allah will help you if you have belief. But this is a personal thing between you and him. You can't fool Allah.
Abu Bakar Bashir|I'm looking for the best person irregardless of political party, of race or religion, or color of their skin. Those things don't matter to me. I want someone who's qualified, who has a qualification to character and the integrity to do the things that have to be done to save this world.
Leonhard Euler|Madam, I have just come from a country where people are hanged if they talk.
Stringfellow Barr|Thousands of persons, many of whom never darkened the door of a college, have learned to read books that most of our college graduates fear to tackle. teachers who understand this fact can help a student read the books that educated the Founding Fathers but not by explaining in lectures what the author would have said if he had been as bright as the lecturer.
M.F. Moonzajer, LOVE, HATRED AND MADNESS|Sometime I wonder why I walk alone on this cold, windy road. Maybe I have no one to love or no one love me at all?
Alice Thomas Ellis, The Birds of the Air|For all of life is Christmas, an eternal gift from God.
Jeanine Joy, Ph.D.|Human societies train people to "keep a stiff upper lip" and to "be strong" by which they mean the person should endure negative emotions. This is bad advice. Several branches of science have been studying human thriving. The results, when compiled, point to the fact that people thrive when they feel emotionally good and suffer when they do not.
Kurt Vonnegut Jr., The Sirens of Titan|Oh Lord Most High, Creator of the Cosmos, Spinner of Galaxies, Soul of Electromagnetic Waves, Inhaler and Exhaler of Inconceivable Volumes of Vacuum, Spitter of Fire and Rock, Trifler with Millennia — what could we do for Thee that Thou couldst not do for Thyself one octillion times better? Nothing. What could we do or say that could possibly interest Thee? Nothing. Oh, Mankind, rejoice in the apathy of our Creator, for it makes us free and truthful and dignified at last. No longer can a fool point to a ridiculous accident of good luck and say, 'Somebody up there likes me.' And no longer can a tyrant say, 'God wants this or that to happen, and anyone who doesn't help this or that to happen is against God.' O Lord Most High, what a glorious weapon is Thy Apathy, for we have unsheathed it, have thrust and slashed mightily with it, and the claptrap that has so often enslaved us or driven us into the madhouse lies slain!" -The prayer of the Reverend C. Horner Redwine
Tamara Valentine, What the Waves Know|Valentine reminds us that to be fully human is to be both a story teller and a story dweller."--- Christina Meldrum, author of Madapple and Amaryllis in Blueberry
Stephen Baxter, Exultant|I have a vision of a Galaxy overrun by mankind from Core to rim. Of four hundred billion stars each enslaved to the rhythm of Earth's day, Earth's year. I have a vision of a trillion planets pulsing to the beat of a human heart.
Robinson Jeffers|The greatest beauty is organic wholeness, the wholeness of life and things, the divine beauty of the universe.
Jonas Jonasson|Don't let the time convince you to quit, instead, convince the time to extend with patience.
Melissa Bean|We'll continue to see more and more brands integrate social causes, charitable components and environmental issues as underlying themes to their campaigns and messaging. Humans connect with humans after all, and brands are using this as a point of connection to engage with their audience, especially charity-minded Generation Y.
Catherine Cookson, The Black Candle|As we review our worries, we should make it a habit each day to God, "what is it I should focus on today"?
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|Look for something good in each person, even if for some people you have to look a little harder.
Elizabeth Wein, The Pearl Thief|The wave of memory had submerged me for a whole minute, while I'd just sat staring and let it all come flooding back.
Brenda Ueland, If You Want to Write: A Book about Art, Independence and Spirit|The only good teachers for you are those friends who love you, who think you are interesting, or very important, or wonderfully funny; whose attitude is:"Tell me more. Tell me all you can. I want to understand more about everything you feel and know and all the changes inside and out of you. Let more come out."And if you have no such friend,--and you want to write,--well, then you must imagine one. 
Donald Barthelme, Sadness|Yes, the saint was underrated quite a bit, then, mostly by people who didn’t like things that were ineffable……a lot of people don’t like things that are unearthly, the things of this earth are good enough for them, and they don’t mind telling you so. “If he’d just go out and get a job, like everybody else, then he could be saintly all day long…” —from “The Temptations of St. Anthony,” by Donald Barthelme
Julia Cameron, The Artist's Way|Timid young artists, adding parental fears to their own, often give up their sunny dreams of artistic careers, settling into the twilight world of could-have-beens and regrets.
Josiah Stamp|Charter schools are public schools that operate, to a certain extent, outside the system. They have more control over their teachers, curriculum and resources. They also have less money than public schools.
Hermann Hesse, Siddhartha|When someone is searching, said Siddhartha, then it might easily happen that the only thing his eyes still see is that what he searches for, that he is unable to find anything, to let anything enter his mind, because he always thinks of nothing but the object of his search, because he has a goal, because he is obsessed by the goal. Searching means: having a goal. But finding means: being free, being open, having no goal. You, oh venerable one, are perhaps indeed a searcher, because, striving for your goal, there are many things you don't see, which are directly in front of your eyes.
Lewis Carroll, Alice's Adventures in Wonderland & Through the Looking-Glass|Never fear quarrels, but seek hazardous adventures.
Bill Simmons|I have always maintained that if you work hard, it won't go waste, as recognition will come to you at some stage, whether in studies or sports. You need to have good intentions and intent to move ahead in life as well as in sports.
Chris Frantz|Christmas is far and away my favorite holiday. I love everything about it, from the event that inspired it, hoping for a white one, to wrapping presents. But mostly I love having family and friends gathered, and sharing traditions.
Douglas Adams, So Long, and Thanks for All the Fish|Ford Prefect suppressed a little giggle of evil satisfaction, realized that he had no reason to suppress it, and laughed out loud, a wicked laugh.
Robert Moss|Children, only animals live entirely in the Here and Now. Only nature knows neither memory nor history. But man - let me offer you a definition - is the storytelling animal. Wherever he goes he wants to leave behind not a chaotic wake, not an empty space, but the comforting marker-buoys and trail-signs of stories. He has to go on telling stories. He has to keep on making them up. As long as there's a story, it's all right. Even in his last moments, it's said, in the split second of a fatal fall - or when he's about to drown - he sees, passing rapidly before him, the story of his whole life.
Chris Young|I'm not about my breasts; I'm just about good health, OK. I'm not afraid of doing what I need to do to stay here. I really don't understand women who are in denial, who don't want to go for a mammogram. I think it's stupidity. Sorry. I have no patience for that.
Tim Gunn, Tim Gunn's Fashion Bible: The Fascinating History of Everything in Your Closet|It's an arbitrary thing if you're born with an XX or XY chromosome, but it can determine your experience of the world. It's about whether you are physically intimidating vs. being physically intimidated. It determines whether you are the one to take an active role in sex and society.
Philip Larkin, Collected Poems|We should be carefulOf each other, we should be kindWhile there is still time
Bill Pronzini, The Vanished|..it sounded very good and very false at the same time, so that you had the feeling that even if was true, he was touching only on the very highest points and maybe embellishing those a little.
Yann Arthus-Bertrand|You will die but the carbon will not; its career does not end with you. It will return to the soil, and there a plant may take it up again in time, sending it once more on a cycle of plant and animal life.
Debatrayee Banerjee|She was perfectly sane in streets unknown. She loved conversing with people tagged as strangers. She was social, amiable & all that is her. Yet, with known people she felt unknown, she choked words and fought inside. And indeed she tripped insane while traversing those streets known. She stared at others and consumed their happiness through senses cold. And so she waits for Winter's warmth to touch her in streets of distant shore, in her own world of simple happiness.
