Victoria Kahler, Luisa Across the Bay|Through the veil of Love, one finds the heaven on Earth
David Mitchell, Cloud Atlas|…If one who slays one is a murderer then he who slays a thousand is not a hero,' said Lalu.- Pg. #112, Across the Black Waters.
Dorothy Day|If I agree to dispose of any part of our land to the white people I would feel guilty of taking food away from our children's mouths, and I do not wish to be that mean.
Deena Metzger|Write against patterns. Go against the devils. Write what you never write. Lie. Validate what you don’t validate. Indulge what you don’t like. Wallow in it. Write the opposite of what you always write, think, speak. Do everything against the grain!
A.J. Compton, The Counting-Downers|This is one of those moments when I wish I could be young forever. Not just stop time for a second, but for an eternity. The old paradox that youth is wasted on the young is not true for us. Neither I nor my friends take our youth for granted. In fact, all of the young people I know are all too aware that someday soon time and gravity won’t be on their side anymore. And there’s nothing we can do about it. So the young do the only thing they can do. They live and they love and they dance and they sing, they dream and they scheme, they ponder and they plan. Like there’s no tomorrow. For tomorrow brings us one day closer to the inevitable and one day further from the impossible. And being young is all about achieving the impossible. Or at least believing you can. The old mistake our denial for ignorance, our immaturity for irresponsibility. We understand the rules of life, we just don’t want to play by them. Not yet. Not today. Not tonight.Because tonight is a good night to be young and alive.
Miya Yamanouchi, Embrace Your Sexual Self: A Practical Guide for Women|Motivation may be what starts you off, but it's habit that keeps you going back for more. Are your habits working for you or against you? Are your habits helping you to achieve your goals or hindering the process?
Alice von Hildebrand, The Privilege of Being a Woman|One thing is certain: When the time has come, nothing which is man made will subsist. One day, all human accomplishments will be reduced to a pile of ashes. But every single child to whom a woman has given birth will live forever, for he has been given an immortal soul made to God's image and likeness. In this light, the assertion of de Beauvoir that 'women produce nothing' becomes particularly ludicrous.
Laurie Lee, Cider With Rosie|Granny Trill and Granny Wallon were traditional ancients of a kind we won’t see today, the last of that dignity of grandmothers to whom age was its own embellishment. The grandmothers of those days dressed for the part in that curious but endearing uniform which is now known to us only through music-hall. And our two old neighbours, when setting forth on errands, always prepared themselves scrupulously so. They wore high laced boots and long muslin dresses, beaded chokers and candlewick shawls, crowned by tall poke bonnets tied with trailing ribbons and smothered with inky sequins. They looked like starlings, flecked with jet, and they walked in a tinkle of darkness.Those severe and similar old bodies enthralled me when they dressed that way. When I finally became King (I used to think) I would command a parade of grandmas, and drill them, and march them up and down - rank upon rank of hobbling boots, nodding bonnets, flying shawls, and furious chewing faces. They would be gathered from all the towns and villages and brought to my palace in wagon-loads. No more than a monarch’s whim, of course, like eating cocoa or drinking jellies; but far more spectacular any day than those usual trudging guardsmen.
Ted Nugent|I have my team. Like if you see everyone around me - I have my hair and makeup girl, my assistant. They're very calm, they're all about positive energy. There're no drama queens. Everyone wants everyone else to have a positive experience. There are no agendas. I think it creates a healthy environment and there are no boundaries to cross.
Taner Akçam|There are four seasons in a year: Winter, Spring, Summer and Colour!
Rebecca Solnit, A Field Guide to Getting Lost|I grew up with landscape as a recourse, with the possibility of exiting the horizontal realm of social relations for a vertical alignment with earth and sky, matter and spirit. Vast open spaces speak best to this craving, the spaces I myself first found in the desert and then in the western grasslands.
John Green, Looking for Alaska|You look... amazing!" And I have to say, I agree. I'm wearing all black - but expensive black. The kind of deep, soft black that you fall into. A simple sleeveless dress from Whistles, the highest of Jimmy Choos, a pair of stunning uncut amethyst earrings. And please don't ask how much it all cost, because that's irrelevant. This is investment shopping. The biggest investment of my life. I haven't eaten anything all day so I'm nice and thin and for once my hair has fallen perfectly into shape. I look... well, I've never looked better in my life.But of course, looks are only part of the package, aren't they?
Tucker Elliot|In large part, we are teachers precisely because we remember what it was like to be a student. Someone inspired us. Someone influenced us. Or someone hurt us. And we’ve channeled that joy (or pain) into our own unique philosophies on life and learning and we’re always looking for an opportunity to share them—with each other, our students, parents, or in our communities.
Anthony T. Hincks|When you have faith in yourself, the possibilities are endless.
Sarah Todd Hammer, Determination|I had learned quickly that life doesn't always go the way I want it to, and that's okay. I still plod on.
Dale Carnegie|It isn't what you have, or who you are, or where you are, or what you are doing that makes you happy or unhappy. It is what you think about.
Marcel Proust, In the Shadow of Young Girls in Flower|The time which we have at our disposal every day is elastic; the passions that we feel expand it, those that we inspire contract it; and habit fills up what remains.
Jeanette LeBlanc|I hope that I get to see you love what you are. To know yourself as gift and worth and truth. That you see what a huge thing it is to have the courage to break your own heart. That you have chosen wholeness — even when it has shattered you. And that you will one day see that you can be whole and broken in the exact same spaces, that they nestle side by side — and that this is the way of things. Not your punishment for wrongdoing, or for not trying hard enough — but just the way of things. That you can stand and look at yourself in a mirror and see your goodness right there, see the worth of what you bring on the surface of your skin, just like I do. That you trust there is brilliance to come. That you own what is yours to own, both the bad and the good. That you do not insist on owning it all. It was never all yours to hold
Dahveed, Through The Eyes of A Foster Child: A Poetic Journey|When we search for "ourselves" in the eyes of others, we have imprisoned our own-selves in believing that our self-worth is nothing unless others validate who we are. Unless we approve of whom we are, what we are, and what we are capable of doing as an individual, only then we will have released "ourselves" from our own imprisonment. We are in charge of our own life's destiny and what we do and become can only be validated by our accomplishments and failures; not by what others may think of us.
James L. Brooks|The essence of romantic love is that wonderful beginning, after which sadness and impossibility may become the rule.
Shannon L. Alder|When somebody loves you ,He/she may or may not say it but true love is when somebody put all their efforts in making you feel it..
Jean-Jacques Rousseau, The Social Contract|The bounds of human possibility are not as confining as we think they are; they are made to seem to be tight by our weaknesses, our vices, our prejudices that confine them.
Robert Jackson Bennett, The Troupe|Falling in love isn't about expectations or an outcome.It is about the sheer, weightless, joyous terror of falling into the universal embrace.
Patience Johnson, Why Does an Orderly God Allow Disorder|Unless you acknowledge your vulnerability for sin, you won’t pray against it and you’ll end up experiencing defeat. The most effective weapon the enemy has against you - is you
Suraj Dutta|Morning, Bill,' said Lord Tidmouth agreeably.'Go to hell!' said Bill.'Right-ho,' said his lordship.
Alin Sav|Understand this: If you pay attention to the client, he will pay attention to your product.
Melissa Aragon, Unexpectedly Out of Focus|Spider or gum? Spider or gum? I thought quickly trying to come up with a believable excuse when I blurted out, “I swallowed a spider!” What? I swallowed a spider? What the hell is wrong with me?!
Rashmikanta Sahoo|In difficult moments it’s sometimes a good idea to ask yourself what it is you most want to be doing and consider how it can be achieved. If it can’t, move on to the second best thing.
Leah Thomas, Because You'll Never Meet Me|Some people in our life are like a lighthouse,They guide us to safety as we navigate the coast
Sara Teasdale, Flame and Shadow|What do I care, in the dreams and the languor of spring,That my songs do not show me at all?For they are a fragrance, and I am a flint and a fire,I am an answer, they are only a call
De philosopher DJ Kyos|Never justify someones wrong action, without them apologizing first & admitting their wrongs. If you do. You are not making them better, but you are making them worse on the bad things they do.
Sunday Adelaja, The Mountain of Ignorance|A man’s life is not qualified by how much wealth, power, pleasure or control he has, but by the values of godliness he possesses.
Matthew Heines|If you always do what interests you, at least one person is pleased".
Bill Mills, Adequate: How God Empowers Ordinary People to Serve|We have often done well knowing the mind of God in our churches today. We have not done as well knowing His heart. We have largely become a church that pursues insights, principles, and theological concepts. No other church in history has had sounder theology or has known as much about God as many of our churches do today. However, we seem to know so little about His heart. Maybe this has troubled you, too. With all our insight, all our knowledge, all our information, and all our depth of theology, we seem to have so much difficulty functioning in the most basic Christian things, like personal holiness and loving people more than things. In our churches we are so easily hurt, and we hold on to those hurts for so long. We easily walk away from one another and quickly leave our churches when we experience disappointments and failures. There is often much judging and little compassion. Too many people remain alone in their pain.God desires to reveal His heart to us and to build His heart into us as we seek His face. Insight alone does not transform us; only the things that flow from the heart of God transform the lives of people. As God opens His heart to be known by us and as He builds His heart into us, His love will flow through us to those who are in desperate need of His forgiveness, His compassion, His healing, and His life.
Thaddeus of Vitovnica, Our Thoughts Determine Our Lives:  The Life and Teachings of Elder Thaddeus of Vitovnica|Joy is thankfulness, and when we are joyful, that is the best expression of thanks we can offer the Lord, Who delivers us from sorrow and sin.
Mac Thornberry|To mark the 10-year anniversary of 9/11, I wanted to launch an FDNY shirt that pays tribute to the brave first responders who, like my father, risk their lives in the line of duty on a regular basis. All of the proceeds raised from the sale of the T-shirt benefit the New York Police & Fire Widows' & Children's Benefit Fund.
Jim George, A Dad After God's Own Heart: Becoming the Father Your Kids Need|I figured this staying up meant something. Maybe it was loss or love or some other word that we say when it's too fucking late but the boys weren't into melodrama. They heard that shit and said no. Especially the Old Man. Divorced at twenty, with two kids down in D.C., neither of which he sees anymore. He heard me and said, Listen. There are forty-four ways to get over this. He showed me his bitten-up hands.
Rowena Cherry, Knight's Fork|Wouldn’t you rather play chess, Ma’am?....It’s less destructive of clothes.
Maya Angelou|We delight in the beauty of the butterfly, but rarely admit the changes it has gone through to achieve that beauty.
Carl Sagan, Dragons of Eden: Speculations on the Evolution of Human Intelligence|One's thought patterns become different, he said, when forced into the confines of a rigid and unfamiliar tongue. Certain common ideas become inexpressible; other, previously undreamt-of ones spring to life, finding miraculous new articulation.
George Bernard Shaw|There is no 'cat language.' Painful as it is for us to admit, they don't need one!
Charlotte Eriksson, You're Doing Just Fine|It was quite a sad thing,the way I watched you sleep like nothing could go wrong and I did not want to harm it, I did not want to blur it, but how could I notwhen everything I’ve ever known has slowly gone away.
Benjamin Franklin|I have never worked on interrogation; I have never seen an interrogation, and I have only a passing knowledge of the literature on interrogation. With that qualification, my opinion is that the point of interrogation is to get at the truth, not to get at what the interrogator wants to hear.
John Zakour, The Doomsday Brunette|W turned on his heel and began walking toward the door at the far wall. And by walking I mean, of course, not moving at all, at least not to the naked eye, because his strides could only be measured in micrometers. His creaky legs made barely the tiniest of forward steps, so he’d taken four strides before I noticed any lateral movement at all.“I'll be right back.”“Geologically speaking, of course,” HARV said.
Adi Alsaid, Never Always Sometimes|Being happy where you are does not mean that you must unquestioningly accept parts of your environment that don't serve you. Where you are is inside of this amazing body, this beautiful moment, this capable mind. Where you are is inside of an eternal opportunity. And sometimes you need to change your environment to remember that.
Jean Lorrain, Monsieur De Phocas|Grounded leaders are present for others, operate with fortitude, and influence with the full impact of their vision and strength.
William Shakespeare, Othello|Poor and content is rich, and rich enough;But riches fineless is as poor as winterTo him that ever fears he shall be poor;–Good heaven, the souls of all my tribe defendFrom jealousy!
John Major|If I pick up a book with spaceships on the cover, I want spaceships. If I see one with dragons, I want there to be dragons inside the book. Proper labeling. Ethical labeling. I don't want to open up my cornflakes and find that they're full of pebbles... You need to respect the reader enough not to call it something it isn't.
Debasish Mridha|To let love come in, you must smile to open the window of your mind.
Luke Timothy Johnson, The Creed: What Christians Believe and Why it Matters|God's image…is found not best in individual humans, but in humans as they relate to each other.
Carl Sagan|In science it often happens that scientists say, 'You know that's a really good argument; my position is mistaken,' and then they would actually change their minds and you never hear that old view from them again. They really do it. It doesn't happen as often as it should, because scientists are human and change is sometimes painful. But it happens every day. I cannot recall the last time something like that happened in politics or religion.
Sarah Vowell, The Wordy Shipmates|The sort of people that we become is, in large part, determined by the voices that we choose to listen to. Truly, we do not have a choice of listening versus not listening. We all obey certain voices, and thus the question is not “Will I listen?” but “Which voices will I listen to?” But it is not only a matter of choosing to listen to good voices over bad ones. If only it were as simple as the proverbial whispering angel and devil on our shoulders. It is also a matter of whether we will choose to listen to different voices, voices that don’t sound the same as our own. Will we listen to the voices of different cultures, ethnicities, backgrounds and beliefs? Will we listen to the voices that unsettle us and might make us feel anxious or guilty? If we choose to listen only to voices that echo our own, we will be limited in our growth and stunted in our spirituality. Choosing to tune in to only one or two stations may be comfortable, but it is not transformative. The voices we want to hear are not always the same as the voices we need to hear.
David Levithan, Invisibility|New Yorkers love the bigness -- the skyscrapers, the freedom, the lights. But they also love it when they can carve out some smallness for themselves. When the guy at the corner store knows which newspaper you want. When the barista has your order ready before you open your mouth. When you start to recognize the people in your orbit, and you know that, say, if you're waiting for the subway at eight fifteen on the dot, odds are the redhead with the red umbrella is going to be there too.
Philip K. Dick|Today we live in a society in which spurious realities are manufactured by the media, by governments, by big corporations, by religious groups, political groups... So I ask, in my writing, What is real? Because unceasingly we are bombarded with pseudo-realities manufactured by very sophisticated people using very sophisticated electronic mechanisms. I do not distrust their motives; I distrust their power. They have a lot of it. And it is an astonishing power: that of creating whole universes, universes of the mind. I ought to know. I do the same thing.
Lailah Gifty Akita, Think Great: Be Great!|I suffered in my spirit, so that my soul will be restored.
Gay Barfield, Politicizing the Person-Centred Approach: An Agenda for Social Change|We Person-Centred Approach people are as human as anyone else after all, and, as does everyone, must daily face the difference between our aspirations and stated values, and our actual choices and behaviours, and the resulting outcomes. However, we keep giving ourselves a chance to change, again and again, thus more closely approximating our hopes for how we can be together
Melina Marchetta, The Piper's Son|The Lord had given them the day and the Lord had given them the strength. And the day and the strength had been dedicated to labor, and the labor was its reward. Who was the labor for? What would be its fruits? These were irrelevant and idle questions.
Archibald Marwizi, Making Success Deliberate|When catering for your spiritual needs make sure that you authenticate the capacity and qualification of the person or people you allow access to your spiritual being. Being careless in this regard is as dangerous as allowing an untrained person to treat you or operate on you to address a medical condition. While the bush-doctor kills your body, the false spiritual leader will destroy body, soul and spirit. Therefore use your belief’s spiritual standard, not a merely mental or intellectual standard, to get spiritual help.
Cl 2ne1|You can just enjoy music without understanding it, muusic is a universal language.
Tony Stewart|I thought I'd love to be a gardener because I grew up with a vegetable garden and I love being close to the Earth and growing things. At my home in L.A., I have a great garden and I grow all kinds of things. I even have a worm farm! The worms help create organic compost out of kitchen scraps.
Matshona Dhliwayo|The shrewd hunt foxes,the strong hunt lions,but the mighty hunt elephants.
Liberty Forrest, Soul Food: 101 Inspirational Messages to Nourish and Heal Your Spirit|Wherever you are in that lake, whether fighting to keep your head above water in those horrible first waves, or whether you're somewhere along the more gently bobbing ones, just keep your eye on the shore and know that you are a little closer to it today than you were yesterday. Just know that this too shall pass and one way or another, you will move on from this place. It is inevitable.
Julia Quinn, Because of Miss Bridgerton|You know all of the young gentlemen better than I do,” Lady Manston continued. “Are there any we should avoid?” All of them, George wanted to say.  ''What about Ashbourne’s son?''“No.” “No?” his mother echoed. “No, as in you don’t have an opinion?” “No, as in no. He is not for Billie.” Who, George could not help but note, was watching the mother-son exchange with an odd mix of curiosity and alarm. “Any particular reason?” Lady Manston asked. “He gambles,” George lied. Well, maybe it wasn’t a lie. All gentlemen gambled. He had no idea if the one in question did so to excess. “What about the Billington heir? I think he —” “Also no.” His mother regarded him with an impassive expression. “He’s too young,” George said, hoping it was true. “He is?” She frowned. “I suppose he might be. I can’t remember precisely.
C.S. Lewis, The Four Loves|Friendship exhibits a glorious "nearness by resemblance" to Heaven itself where the very multitude of the blessed (which no man can number) increases the fruition which each has of God. For every soul, seeing Him in her own way, doubtless communicates that unique vision to all the rest. That, says an old author, is why the Seraphim in Isaiah's vision are crying "Holy, Holy, Holy" to one another (Isaiah VI, 3). The more we thus share the Heavenly Bread between us, the more we shall all have.
Josh Billings|I fear the Greeks, even when they bring gifts.
Human Angels, We are human angels|There are no coincidences, only synchronicities: mini miracles placed before us by the Angels with love to inspire the mind and expand the heart.
Lauren Smith|On and on they went these nevers, but despite their random natures I found myself following almost every one. Perhaps because I never wanted to disappoint my father.
Connie  Jordan|Sorrowful tears drench the earth, rise again in the form of hope
Saurabh Sharma|Power is fortified not just by what it destroys, but also by what it creates. Not just by what it takes, but also by what it gives. And powerlessness reaffirmed not just by the helplessness of those who have lost, but also by the gratitude of those who have (or THINK they have) gained.
DaVyshka|When I make a mistake, all I need from you is correction. Some more advice won't hurt. Judge not.
Audre Lorde, Sister Outsider: Essays and Speeches|OppressionNow dreamsAre not availableTo the dreamers,Nor songsTo the singers.In some landsDark nightAnd cold steelPrevail--But the dreamWill come back,And the songBreakIts jail.
Donna Lynn Hope|Twitter is more than just a collection of fleeting observations about everyday life. Twitter can connect people to events, information and each other in ways that have never been experienced before.
Steven Fry|Steven Fry on The Da Vinci Code-"It is complete loose stoolwater. It is arse-gravy of the worst kind.
Nicos Hadjicostis|The person identifies with the image the others have created of him on Facebook, and this image in turn guides his life and actions. He comes to believe that his public image (with the comments underneath it) is who he is.
Erwin Schrödinger, A Life of Erwin Schrödinger|I'll tell you what you did with Atheists for about 1500 years. You outlawed them from the universities or any teaching careers, besmirched their reputations, banned or burned their books or their writings of any kind, drove them into exile, humiliated them, seized their properties, arrested them for blasphemy. You dehumanised them with beatings and exquisite torture, gouged out their eyes, slit their tongues, stretched, crushed, or broke their limbs, tore off their breasts if they were women, crushed their scrotums if they were men, imprisoned them, stabbed them, disembowelled them, hanged them, burnt them alive.And you have nerve enough to complain to me that I laugh at you.
John Linder|As a result of the World War, this old Germany collapsed. It collapsed in its constitution, in its social order, in its economic structure. Its thinking and feeling changed.
Richard L. Brandt|In 1994, the average person spent $79 on books as compared to $56 on recorded music.
Allison Leotta, A Good Killing|Today he became a killer, or else a corpse.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|May God defend, protect, provide and redeem you.
Eleanor Roosevelt|All the world is birthday cake, so take a piece, but not too much.
Rick Yancey, The Curse of the Wendigo|Hatred is like a long, dark shadow. Not even the person it falls upon knows where it comes from, in most cases. It is like a two-edged sword. When you cut the other person, you cut yourself. The more violently you hack at the other person, the more violently you hack at yourself. It can often be fatal. But it is not easy to dispose of. Please be careful, Mr.Okada. It is very dangerous. Once it has taken root in your heart, hatred is the most difficult think in the world to shake off.
Matshona Dhliwayo|Love has turned many into poets; pain has turned many into artists; charity has turned many into pacifists, and anger has turned many into activists.
Lee Child, A Wanted Man|When you are fed with the spoon of betrayal, you can choose to spit it out and live or swallow it and die
Mike Myers|What really matters is your movies and how good a person you are. Otherwise, tabloids and news channels writing about you only builds your curiosity and stardom and propels you to reach wider places.
Helen Hunt Jackson|I remember, the first time I came to the United States in 1996, I didn't speak a word of English at the beginning. I am very thankful for this country and the opportunity music has given me... My three kids were born here in Miami; they speak Spanish at home, but English with all their friends.
Sunday Adelaja|Being in the country is like being in a dream—one doesn't quite know who one is. There is an anonymity to it all—that strange human creature that is me, one among all.
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|Your energy naturally produces a physical presence. I can see a person from across a crowded room and feel his or her energy. Before I've ever met them or shared the same space, I will pick up their vibe to know if she is someone I would like to know or if she is better to avoid.
Mehmet Murat ildan|Freedom has a cost, which is borne by individuals who make bad choices, and by a society that feels obligated to help them.
Janusz Korczak|Children are not the people of tomorrow, but are people of today. They have a right to be taken seriously, and to be treated with tenderness and respect. They should be allowed to grow into whoever they were meant to be. 'The unknown person' inside of them is our hope for the future.
Tamara Morgan, If I Stay|You’re like this frosting.” She swiped another swirl of it on her finger, stood and leaned forward to touch it to his bottom lip. “Pretty, momentarily pleasurable, but with no real substance or sustenance.
Yvonne Nicolas, Rock Star Lover|Jacinda, will you listen to me?""Not if your words have anything to do with 'this isn’t right' or 'Jacinda, this can’t happen between us.
Orson F. Whitney|No pain that we suffer, no trial that we experience is wasted. It ministers to our education, to the development of such qualities as patience, faith, fortitude and humility. All that we suffer and all that we endure, especially when we endure it patiently, builds up our characters, purifies our hearts, expands our souls, and makes us more tender and charitable, more worthy to be called the children of God . . . and it is through sorrow and suffering, toil and tribulation, that we gain the education that we come here to acquire and which will make us more like our Father and Mother in heaven.
Philippa Gregory, The Other Boleyn Girl|He had taken George, my beloved George, from me. And he had taken my other self: Anne.
Michael Bassey Johnson|The other thing that’s happened with writing is that I’m not afraid it will go away. Up until a couple of years ago, I feared that sitting down with paper and pencil revealed too much desire and that for such ambition I would be punished. My vocabulary would contract anorexia, ideas would be born autistic, even titles would not come to flirt with me anymore. I suppose this was tied to that internal judge, the serpent who eats her own tail. She insinuates you’re not good enough; you believe her and try less, ratifying her assessment; so you try even less; and on and on. This snake survives on your dying. Finally, now, the elided words of my wisest writing teacher, the poet David Wojahn, make sense. “Be ambitious,” he said, “for the work.” Not for the in-dwelling editor. That bitch was impossible to please anyway.
Louise Courey Nadeau, Magelica's Voyage|You hold one feather tightly in your hand, close your eyes and concentrate. The location of the other feather will appear in your mind and the magic will take you there.
Fernando Pessoa, The Book of Disquiet|This is not a "guilty pleasure" of mine, simply because I don't believe in "guilty" pleasures. Snobbery is just the public face of insecurity.
Mary Tornyenyor|We see now why the great target of Satan is to break down our faith. He knows all too well that the righteous live by faith, so he aims at cutting our lifeline to God. Faith is like the hand that reaches up to receive what God has freely promised. If the devil can pull your hand back down to your side, then he has succeeded. All of God's intended supply will just stay where it is in heaven.
Vladimir Nabokov, Bend Sinister|Ink, a Drug.
Asti Hustvedt, The Decadent Reader: Fiction, Fantasy, and Perversion from Fin-de-Siècle France|Where once we aspired to be more like our heroes, today we try to make our heroes more like us.
Srividya Srinivasan|Kind of a bummer, getting your butt kicked by a dead guy.
Natalie Babbitt, Kneeknock Rise|Facts are the barren branches on which we hang the dear, obscuring foliage of our dreams.
S.C. Barrus, Discovering Aberration|Every Mind Breaker I met was a true person inside and out. My name is Hayden Laevary, and these are their stories... as well as mine.
Heraclitus|You don't have to drink this," I said, handing him the champagne. "But Sandy might like it"."No,no. Come on, let's have some," he grinned, popping the cork, taking a swig from the bottle and passing it back. He [HST] rarely failed to show his appreciation of someone appreciating him, which is an admirable trait.
Tom Gaffney|Employees make decisions every day that negatively affects their business’s security…As a result, we have known for a while that, to protect organizations, employees need online street smarts. However, the problem is that some in the industry treat employee awareness as a training concern or one-time activity. It is not. It is an ongoing cultural problem.
Tony Hendra, Father Joe: The Man Who Saved My Soul|The Offices rerooted me in a tradition where, monk or not, I would always be at home. From long ago I knew the power of their repetition, the incantatory force of the Psalms. But they had an added power now. As a kid, the psalmist (or psalmists) had seemed remote to me, the Psalms long prayers which sometimes rose to great poetry but often had simply to be endured. For a middle-aged man, the psalmists' moods and feelings came alive. One of the voices sounded a lot like a modern New Yorker, me or people I knew: a manic-depressive type A personality sometimes up, more often down, sometimes resigned, more often pissed off, railing about his sneaky enemies and feckless friends, always bitching to the Lord about the rotten hand he'd been dealt. That good old changelessness.
Milan Kundera, The Joke|Who was the real me? I can only repeat: I was a man of many faces.At meetings I was earnest, enthusiastic, and committed; among friends, unconstrained and given to teasing; with Marketa, cynical and fitfully witty; and alone (and thinking of Marketa), unsure of myself and as agitated as a schoolboy.Was the last face the real one?No. They were all real: I was not a hypocrite, with one real face and several false ones. I had several faces because I was young and didn’t know who I was or wanted to be. (I was frightened by the differences between one face and the next; none of them seemed to fit me properly, and I groped my way clumsily among them.)
Rick Riordan, The Hidden Oracle|Meg turned and gazed out the rear windshield, probably checking for any shiny blobs pursuing us. “At least we’re not being—”“Don’t say it,” Percy warned.Meg huffed. “You don’t know what I was going to—”“You were going to say, ‘At least we’re not being followed,’” Percy said. “That’ll jinx us. Immediately we’ll notice that we are being followed. Then we’ll end up in a big battle that totals my family car and probably destroys the whole freeway. Then we’ll have to run all the way to camp.”Meg’s eyes widened. “You can tell the future?”"Don’t need to.” Percy changed lanes to one that was crawling slightly less slowly. “I’ve just done this a lot.
Dante Alighieri, Paradiso|I gradually fell from grace; alas, you dove in headfirst!
Mahrukh|You do it best, when you put your true color in it.
Giacomo Casanova, The Story of My Life|Desires are but pain and torment, and enjoyment is sweet because it delivers us from them.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Truth, by all means is the ultimate reward for all the sufferings of the human mind that often compel even the strongest of characters to get down on his or her knees.
Steve Maraboli|If there is such a phenomenon as absolute evil, it consists in treating another human being as a thing.
Gabrielle Zevin, The Storied Life of A.J. Fikry|Cause nobody's the slightest idea who we are, or who we were, not even we ourselves - except, that is, in the glimmer of a moment of fair business between strangers, or the nod of knowing and agreement between friends. Other than these, we go out anonymous into the insect air and all we are is the dust of colour, brief engineerings of wings towards a glint of light on a blade of grass or a leaf in a summer dark.
William Pannell|There remains a problem with race in America because of the church's failure to understand the issues from a biblical perspective." "Rather than being called into a different community by Scripture, we see our broken communities as justified by Scripture.""Rather than challenge the worldly status quo, religious groups perpetuate stereotypes, sectarianism, and schisms when accepting ethnic denominational identities- inverting Pentecost by reading in multiple languages unrecognized by listeners and offering separate worship services according to musical preference." "Ultimately, our aim is to draw attention to the biblical narrative from which comes to the strength for the long road of reconciliation.
James  Jones, The Thin Red Line|All Welsh knew was that he was scared shitless, and at the same time was afflicted with a choking gorge of anger that any social coercion existed in the world which could force him to be here.
Pepi Leistyna|What does it mean to call for a “democratic” solution if you don’t have a conflict-resolution mechanism in mind?I think it means that you have said the word “democracy,” so the audience is supposed to cheer. It’s not so much a propositional statement, as the equivalent of the “Applause” light that tells a studio audience when to clap.
Ilias Oumarri|No level raised without reading, is like a body trying to live without breathing.
Eric Schlosser|In 49 countries around the world, including all of Europe, people have the opportunity of knowing whether or not they are eating food which contains genetically engineered ingredients. In the United States, we don't.
Natalie Goldberg, Writing Down the Bones: Freeing the Writer Within|My mother clutches at the collar of my shirt. I rub her back and feel her tears on my neck. It's been decades since our bodies have been this close. It's an odd sensation, like a torn ligament knitting itself back, lumpy and imperfect, usable as long as we know not to push it too hard.
Chrissy Teigen|People ask me all the time, 'What keeps you up at night?' And I say, 'Spicy Mexican food, weapons of mass destruction, and cyber attacks.'
Jay Leno|The Supreme Court has ruled that they cannot have a nativity scene in Washington, D.C. This wasn't for any religious reasons. They couldn't find three wise men and a virgin.
Sid Mittra, To Bee or Not to Bee: Winning Against All Odds|Stop feeling sorry for yourself and get to work, your future lies ahead of you
Gerald L. Sittser, When God Doesn't Answer Your Prayer|We hand the meat over to Greasy Sae in the kitchen. She likes District 13 well enough, even though she thinks the cooks are somewhat lacking in imagination. But a woman who came up with a palatable wild dog and rhubarb stew is bound to feel as if her hands are tied here.
A.E. Samaan|The "right to life, liberty, and the pursuit of happiness" begins with "life", and "life" begins at conception.
Discovery House Publishers|Each of us has a vulnerability like Edmund's that Satan is eager to exploit. It may be something addictive like drugs or alcohol, or it may be something seemingly harmless and perhaps even good like food, friendship, or work.
Grace Helbig|Surround yourself with people who are the ketchup to your french fries-they make you a better version of yourself. Yes french fries are amazing on their own, but combined with ketchup they are a force. Spend time with people who bring out your true flavors, but don’t overpower you.
Anthony Liccione|The cliche that sea dry up and rocks rot away, but the heart never changes is nothing but a beautiful fantasy.
J.R.R. Tolkien, The Letters of J.R.R. Tolkien|the most improper job of any man, even saints (who at any rate were at least unwilling to take it on), is bossing other men. Not one in a million is fit for it, and least of all those who seek the opportunity.
Richie Norton|When someone says you can't do something because of XYZ, is that true? Or are they playing with your life with their good intentions to keep you safe?
Eve Ensler, The Vagina Monologues|I have always been obsessed with naming things. If I could name them, I could tame them. They could be my friends.
Pamela Nicole, Fit In or Fit Out|Insecurity, thy name is teenager.
Claire Hennessy, Big Picture|You make obstacle courses and hurricanes, I make T-shirt slogans.
Cassandra Giovanni, Let the Fates Decide|Thin lips trace bold lines across my skin with a single, lingering kiss.
T.A|Am I in the picture? Am I getting in or out of it? I could be a ghost, an animal or a dead body, not just this girl standing on the corner…?
Neal Shusterman, Dread Locks|Suddenly, Tara's accomplishment was clear. She had lined up allies among the school's various groups and got them all to work together for probably the first time in the school's history. She was like a master builder who could bend materials like stone and steel and clay to her will... except her materials were flesh and spirit.
Alice Bag, Violence Girl: East L.A. Rage to Hollywood Stage, a Chicana Punk Story|But the world doesn't run on logic, it runs on the seven deadly sins and the weather. - Alan Furst; Red Gold
Nayomi Munaweera, Island of a Thousand Mirrors|Her ashes are scattered under the oak tree in the southernmost farm fields.Louise remembered that tree from the tour with Laurent - firmly planted, ancient, maybe even wise, reaching for the sky. It seemed a tree that would share the secrets of the universe if one sat underneath its branches long enough, like the stories of the Buddha she'd heard in Sunday school as a kid.
Sherman Alexie, War Dances|It's not oil that runs the world, it's shame.
Wendell Phillips|The more knowledge you get, the more questions you ask. The smarter you get, the more you realize that everything can be possible.
Steve Toltz|With medical science improving at roughly the same rate as our environmental situation worsens, the most likely scenario is that the world will become uninhabitable at the precise moment the human race becomes immortal.
