Paolo Bacigalupi, The Water Knife|Jesus walked on water, so maybe he makes aquifers, too.
shashidhar sa|today start with a THOUGHT, turn it into IDEA tomorrow, next day you will see it in REALITY
Antonin Scalia|The two great risks are risking too much but also risking too little. That's for each person to decide. For me, not risking anything is worse than death. By far.
Karen Michelle Miller, Words to Ponder About Life, Love and Men|I remember a scared, young girl hiding in the guise of arrogance and rebellion. I remember feeling lost in a world where everyone else seemed to have it all figured out. I remember the tears of pain, the rants of anger and the hell that seemed to have swallowed me whole. Although I remember these things, it is now, over a decade later, more like a story that I find hard to believe. Did it all really happen? Even as I write this, my eyes begin to swell. It really did happen. I was that girl. And I’m sorry she had to suffer so. But, that is over now...
Laura Staley|Sometimes you have to let go of a career you love, a beloved home, or a loved one. Take time to grieve a loss of this nature. If you find yourself disoriented, consider surrounding yourself with people who see your strengths, goodness, gifts, and talents. They will help you find your way.
Gayle Forman, Just One Year|Sometimes fate or life or whatever you want to call it, leaves a door a little open and you walk through it. But sometimes it locks the door and you have to find the key, or pick the lock, or knock the damn thing down. And sometimes, it doesn't even show you the door, and you have to build it yourself. But if you keep waiting for the doors to be opened for you... I think you'll have a hard time finding single happiness, let alone that double portion.
Timothy Simpson, Boredom to Brilliance|Every magician knows there is no such thing as magic. They are masters of making things possible out of a situation that seems impossible. The key to getting what you want in life is to know that the only reason why something is, is because it was made possible. It can only be if it is possible for it to be. Make it possible and let it be.
Lionel Suggs|Words become sentences, twisted, difficult/The story weaves itself, always noisiest at night/As herds of words won't stop. . . "Wildebeest of Words/Breathe In
Ian K. Smith|While religious tolerance is surely better than religious war, tolerance is not without its liabilities. Our fear of provoking religious hatred has rendered us incapable of criticizing ideas that are now patently absurd and increasingly maladaptive.
Marissa Meyer, Heartless|But hoping," he said, "is how the impossible can be possible after all.
Craig Groeschel, Weird: Because Normal Isn't Working|Live not for others, but for your own self.
Robin S. Sharma, The Monk Who Sold His Ferrari: A Fable About Fulfilling Your Dreams  Reaching Your Destiny|By confusing strategy with tactics and mixing up “what” and “how”, we may have a hard time staying on point. ”What” we want, on the one hand, and “how” we want to achieve it, on the other, needs a careful reading and a singular approach. (“When the bar is set too high”)
Hayden Sixx|I said I was afraid and she told me to think about a time I felt brave and take that feeling into the situation with me. It worked. It helped.”Corinne leaned away from the Plexiglas, horrified.“Of course, since that time, I’ve learned much more about the technique,” her mother said. “I’ve learned to make it much more elegant, but the basics are still the same. Take that old calm, confident feeling with you into the new situation. I used it or a variant of it with clients all the time.” She knit her eyebrows, looking hard at Corinne. “I used it for evil during the kidnapping,” she said. “Now you can use it for good.
Baruch Spinoza|The highest activity a human being can attain is learning for understanding, because to understand is to be free.
Bernard Kelvin Clive|You can't build a strong personal brand by just posting status updates... people need more than that, they need valuable content, beyond updates and tweets.
Nancy Ring, Walking on Walnuts|You should never forget where you come from, never forget the struggle, never forget the lives that were lost.
Nelson Mandel|We pledge ourselves to liberate all our people from the continuing bondage of poverty, deprivation, suffering, gender and other discrimination.
Sachin Kundalkar, Cobalt Blue|Back on the Hauser regime, I start the day with his notorious "pep breakfast" -- two raw eggs beaten in orange juice. Hauser describes it as a "creamy drink fit for a King's table." I do not feel the same way. This is so much worse than the raw eggs in milk that I drank for the Marilyn Monroe diet.If pneumonia were a food, this is what it would taste like.
Joe Jordan, Sharpen Your Life: 52 Strategic Moments to Create a Lifetime of Success|Wherever you are — it’s too early to draw a conclusion. You may be down, but you’re not done. Today’s defeat could be tomorrow’s gold.
Brenda Ueland, If You Want to Write: A Book about Art, Independence and Spirit|Of course, in fairness, I must remind you of this: that we writers are the most lily-livered of all craftsmen. We expect more, for the most peewee efforts, than any other people.
Jon Foreman|You wear your honor like a suit of armor... You think it keeps you safe, but all it does is weigh you down and make it hard for you to move.
Amy Carmichael|Oh, will you pray? Stop now and pray, lest desire turn to feeling and feeling evaporate.
J.R.R. Tolkien, The Return of the King|Dead men are not friends to living men, and give them no gifts.
Michael Heizer|When I go to an art gallery and stand in front of a painting, I don't want someone telling me what I should be seeing or thinking; I want to feel whatever I feel, see whatever I see, and figure out what I figure out.
Ernest Agyemang Yeboah|Your ability to commit the EXTRA brings out the extraordinary in you. The world will only pay for that little commitment, even, than the rest of your abilities.
Jessica Valenti, Sex Object|I spoke on a panel once with a famous new age author/guru in leather pants and she said that the problem with women is that we don't "speak from our power," but from a place of victimization. As if the traumas forced upon us could be shaken off with a steady voice- as if we had actual power to speak from.
Dada Bhagwan|In this world, it is a great Self-effort to deliberately remain ignorant despite knowing, right? I deliberately remain ignorant in spite of having the Knowledge.
Lailah Gifty Akita|If we love unconditionally just like our Creator, we will awaken of the goodness in souls.
Willow Madison, We Were One Once|Pram wasn't told the story of her birth. But even as a very small girl, she felt deep in her chest that she was alive and dead at the same time.
Stieg Larsson, The Girl Who Played with Fire|But she wished she had had the guts to go up to him and say hello. Or possibly break his legs, she wasn't sure which.
Ray Anyasi, To Live Again|Our route had now obviously been completely blotted out and here I reckoned less of our chances of survival. We’re like a voyage ship veered off course by a ruthless storm now left with no radar or compass. Ours is a sorry tale of an unpredictable adventure. One moment it seem like we’re going home to mama’s warm embrace and tears of joy, the next moment we feel helplessly immersed in the blackness of hopelessness.” - Dami K.
Herman Melville, Moby-Dick or, The Whale|A faint smile played on his lips. "Obedience does not come naturally to you, does it""No...sir""I must take some blame for that, I suppose. The sea does not like to be restrained.
Jacqueline Woodson|You're writing, you're coasting, and you're thinking, 'This is the best thing I've ever written, and it's coming so easily, and these characters are so great.' You put it aside for whatever reason, and you open it up a week later and the characters have turned to cardboard and the book has completely fallen apart," she says. "That's the moment of truth for every writer: Can I go on from here and make this book into something? I think it separates the writers from the nonwriters. And I think it's the reason a lot of people have that unfinished manuscript around the house, that albatross.
Poppet, Aisyx|Lady, you have just become a wanted woman. I suggest you start running.
polandbananasBOOKS|There are many who are hesitant and say, 'I don't witches and I don't like wizards; I only like the real world.' That's because you haven't been to the fake one yet.
Chuck Klosterman, Eating the Dinosaur|If a person can build a fence around himself, he is bound to do it.
George Gaylord Simpson, This View of Life: The World of an Evolutionist|What, after all, is so special about genes? The answer is that they are replicators. The laws of physics are supposed to be true all over the accessible universe. Are there any principles of biology which are likely to have similar universal validity? When astronauts voyage to distant planets and look for life, they can expect to find creatures too strange and unearthly for us to imagine. But is there anything which must be true of all life, wherever it is found, and whatever the basis of its chemistry? If forms of life exist whose chemistry is based on silicon rather than carbon, or ammonia rather than water, if creatures are discovered which boil to death at -100 degrees centigrade, if a form of life is found which is not based on chemistry at all, but on electronic reverberating circuits, will there still be any general principle which is true of all life? Obviously I do not know but, if I had to bet, I would put my money on one fundamental principle. This is the law that all life evolves by the differential survival of replicating entities. The gene, the DNA molecule, happens to be the replicating entity which prevails on our own planet. There may be others. If there are, provided certain conditions are met, they will almost inevitably tend to become	the basis for an evolutionary process.
Lisa Kleypas, Blue-Eyed Devil|In college, I had a course in Latin, and one day the word "divorce" came up. I always figured it came from some root that meant "divide." In truth, it comes from "divertere," which means "to divert."I believe that. All divorce does is divert you, taking you away from everything you thought you knew and everything you thought you wanted and steering you into all kinds of other stuff, like discussions about your mother's girdle and whether she should marry someone else.
Andrea Jung|Hip-hop is supposed to uplift and create, to educate people on a larger level and to make a change.
Stephen Jay Gould, The Flamingo's Smile: Reflections in Natural History|My potential salvation...must remain an unswerving commitment to treat generality only as it emerges from little things that arrest us and open our eyes with "aha" -- while direct, abstract, learned assaults upon generalities usually glaze them over.
Agatha Christie, Appointment with Death|I'm sorry, but I do hate this differentiation between the sexes. 'The modern girl has a thoroughly businesslike attitude to life' That sort of thing. It's not a bit true! Some girls are businesslike and some aren't. Some men are sentimental and muddle-headed, others are clear-headed and logical. There are just different types of brains.
Soma Mukherjee|In The Sunset SkyThe sunset sky dazzling with the golden hues, Taking bow in brilliant sparkle of experienceIs it not a climax, of the story so far, that was today?Or is it building anticipation of the night yet to come. Watch the days go, some proud of their accomplishmentsSome leaving sighs of disappointments, Leaving all in awe of its Amaranthine twists and turns And the fortunate get to see the moon trying to steal the show from setting sun,Oh she is such a show off, isn't she, basking in reflected gloryIts magical, the sunset sky,Puzzling, sometimes just like a riddle,Leaving the nature stunned and amazed For it has been filling the canvas whole day with colours And now the sunset threatens to hide them all And in dark all the colours will be sameA cue for the wise.Sunset sky has so much to offer, is she not a fine exampleof how uncertain a life can beOften reminding no matter what you planned, there will besome unexpected returnsFor End has its own brain, its own scriptCharting its own courseSo why just the beginning,every moment of the life should be grand, meted with equal passion and fervorShe has been so clever; the sunset skyLeaving Twinkling cryptic messages for the night skyFor even the dark has sparkle and hope if you keep your head up, A constant reminder that exuberance is an attitude of deep,rich, warm heartsI want my sunset sky to be grand, magical, and full of stories of my life that has been And its memories to linger on in this world, in the tomorrow and a few more years to come
Nick Miller|If my time loving you has taught me anything, it’s that love grows with every returned smile, every second of communal silence and every word exchanged. Unconditional love is built and when it’s finished nothing destroys it.
C.S. Lewis, The Problem of Pain|Blessed and fortunate creature, your eyes shall behold Him and not another's. All that you are, sins apart, is destined, if you will let God have His good way, to utter satisfaction. The Brocken spectre 'looked to every man like his first love', because she was a cheat. But God will look to every soul like its first love because He is its first love. Your place in heaven will seem to be made for you and you alone, because you were made for it--made for it stitch by stitch as a glove is made for a hand
Margaret Mitchell|I do not write with ease, nor am I ever pleased with anything I write. And so I rewrite.
Philip Zaleski, The Fellowship: The Literary Lives of the Inklings: J.R.R. Tolkien, C.S. Lewis, Owen Barfield, Charles Williams|A very small class of books have nothing in common say that each admits us to a world of its own that seems to have been going on before we stumbled into it, but which, once found by the right reader, becomes indispensable to him.
Arthur Golden|I long ago developed a very practical smile, which I call my "Noh smile" because it resembles a Noh mask whose features are frozen. Its advantage is that men can interpret it however they want; you can imagine how often I've relied on it.
Justin Young|Just because your feet are on the ground, doesn't mean you weren't born to fly.
Matshona Dhliwayo|As rain does not bother the ocean, nor heat bother the sun, so adversity does not bother the great.
César Aira|I don't know who explained this rule to me; maybe it was the product of my own speculations and fantasies. That would have been typical: I was always inventing stories and machinations to make sense of things I didn't understand, and I understood almost nothing.
Gertrude Stein, Ada|She told her father Mr. Abram Colhard that she did not like it at all being one being living then. He never said anything. She was afraid then, she was one needing charming stories and happy telling of them and not having that thing she was always trembling.
Amaka Imani Nkosazana, Sweet Destiny|Your thoughts are certain kinds of seeds in your life. You can water them and allow them to grow on fertile soil. Or, you can let them diminish and wither amongst the weeds. Be careful that your seeds are not contaminated as they begin to take root.
Tucker Elliot, The Day Before 9/11|I’m clinging to one last thought: pain is the harbinger of hope. You have to be alive to feel pain. If you are alive, then you have purpose. If you have purpose, then you have hope.
Chimamanda Ngozi Adichie, Americanah|Reductio ad absurdum, which Euclid loved so much, is one of a mathematician's finest weapons. It is a far finer gambit than any chess play: a chess player may offer the sacrifice of a pawn or even a piece, but a mathematician offers the game.
Thomas Middleton, The Changeling|The best way to avoid being confused about Bruce Jenner is get your head out of his bedroom and closet, and then think about all of the things you've been hiding and been miserable about. So what he made his announcement via media. Books, music, movies, business launches are announced in the same manner. Just focus on the feeling of finally disclosing something that enables you to be free and to live as authentically as possible. And then imagine what it's like to own your truth, tell it your way, thus taking away anyone else's ability to spin it their way or use it against you. If you can do any of the above, you will no longer be confused.
Virginia Woolf|An idiot child screaming in a hospital." (on George Bernard Shaw)
Sarah Dessen, What Happened to Goodbye|You asked me to go out with you. I know you probably changed your mind. But you should know, the answer was yes. It's always been yes when it comes to you.
Michael Pollan, The Omnivore's Dilemma: A Natural History of Four Meals|Be sure to enjoy language, experiment with ways of talking, be exuberant even when you don't feel like it because language can make your world a better place to live.
Sarah Dessen|So this had been all I wanted, a boy who understood how I felt. Now, though, I sometimes wished for more.
Robert Fulghum, All I Really Need to Know I Learned in Kindergarten|The first time I started choreographing was in the dark, in my living room, with the lights completely out, to some popular music on the radio. I put the radio on full blast and I started moving. I didn't know what it looked like. I didn't want to see it... I had to start in the dark.
Roan Parrish, Out of Nowhere|I'm also getting a piece of chocolate cake...	"Can I have a bite?" he asked, his voice smooth and sexy.	A bite of what? she wanted to ask, but didn't. She wasn't ready for that level of flirting. "Get your own slice, Gallagher."	"I can do that, Blake. I'm in the mood for something sweet it seems.
Amit Kalantri, I Love You Too|And whether consciously or not, you must be in many a heart enthroned: queens you must always be: queens to your lovers; queens to your husbands and sons; queens of higher mystery to the world beyond, which bows itself, and will forever bow, before the myrtle crown, and the stainless scepter of womanhood.
Philippe Petit|I've got my organic veg patch and fruit; we're very garden-obsessed, my husband and I. He designed a garden for me for Christmas, so beautiful! Alasdhair's very good at the proportion and ground work, and I come in and do the planting and the color scheme.
Sayed Kashua|When I was in seventh grade, I asked my parents for a mobile recording system for Christmas, and I got it. I didn't come out of my room for years after that. I'd get invited to the movies and I'd say, 'I'm gonna finish a couple of demos.'
Zoe Forward, Protecting His Witch|He roughly grated out, "Don't run from me. Not now. This is for both of us." He held her thighs apart to force her to continue to accept the powerful thrusts. Changing his angle ever so slightly, he hit that one location that turned her world into a starry night. Her body shattered. Muscles ripples, gripped, and clamped down.
Edna St. Vincent Millay, American Poetry, 1922|That's how it is with relationships, it's a part of life, and all the great love songs and poems and films have been written by people who were standing where I was that morning as Simon shut the door. Doesn't make it any easier though. 
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|O Heavenly Children, God has blessed you all with many treasures that only the most purehearted already know. His fruitful garden is vast and without measure, and in your own very bodies, He has planted metals of copper, silver and gold.
Jennifer L. Armentrout, The Problem with Forever|It was me who had to carry myself over the finish line, and all I needed to remember when I felt like not trying was that that feeling wouldn't last forever.
Richard Dawkins|I am profoundly fascinated by cruelty, fear, horror and death. My films show my preoccupation with violence, the pathology of violence.
A. Meredith Walters, Chasing the Tide|He smiled and as his lips parted, little bits of solid waste fell from them. Hellelujah, we can only be what we are, I thought and wondered if I was as repulsive to him as he was to me. I don't think so, because even though he literally wore a shit-eating grin, I sensed he was genuinely happy to see me
Eric Zaccone|Circumvent negative situations, people or anything that will impede progress. These things are toxic to personal achievement; desired end-points are driven by positive attitude and persistence.
Josh Hartnett|If you were an optimistic teen, then you'll be an optimist at 80. People's reactions to bad events are highly stable over a half century or more.
Russell D. Moore|I am grateful for hands to tickle with. Not so grateful for that process in reverse, however.
Mehmet Murat ildan|All we need to know about the storms is this: Storms are born, they live and they die! And they destroy anything wildly, just like we do in wars!
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|Help people help themselves. Don’t judge, just help. In this process, be cautious to simply point them in the right direction and help them get moving. Don’t make your journey theirs, nor make their journey yours.
Arthur Nersesian, The Fuck-Up|Love doesn't fail us, it's our expectations that fail us. Lovers sometimes forget that the gift is the call to love itself, and not the result. The quickening, the deepening, the merging, the burning bright in love's cosmic kiln. That's the great gift, no matter where it leads.
Christopher Hitchens|Well, well," said he, "do not make yourself unhappy. If you are a good girl for the next ten years, I will take you to a review at the end of them.
John Green|In the end, what makes a book valuable is not the paper it’s printed on, but the thousands of hours of work by dozens of people who are dedicated to creating the best possible reading experience for you.
Penny Reid, Grin and Beard It|I push my thigh against his. “Well, thank God.”“Thank God what?” he asks. His hand slowly rubs up and down the place where my shoulder meets my arm. It makes me good shiver.“That I don’t have a neck brace. It’s hard to rock a neck brace, especially if we’re still going to that dance.”He leans in and kisses my nose. “If anyone could do it, you could.”I tilt my head so our lips meet.“Hormonal ones, I am right here. Me. The old lady otherwise known as your grandmother,” Betty says.“Sorry. He’s just irresistible,” I say, settling back against him.“Well, try to resist the irresistible,” Betty says knowingly as the truck bumps over a pothole.
Kate McGahan, JACK McAFGHAN: Reflections on Life with my Master|Not all dogs are perfect dogs, but all dogs are inherently good. Like people, we are affected by environment and circumstance. Some breeds get a bad rap because sometimes humans breed them to be a certain way, like overly macho or protective. In our life on earth we are dependent on humans for everything, including our breeding. We can be bred for aggression or we can be bred for peace.
William Shakespeare, A Midsummer Night's Dream|HIPPOLYTABut all the story of the night told over,And all their minds transfigured so together,More witnesseth than fancy’s imagesAnd grows to something of great constancy,But, howsoever, strange and admirable.
David Cameron|The minute you got the Nobel Peace Prize, things that I said yesterday, with nobody paying too much attention, I say the same things after I got it - oh! It was quite crucial for people, and it helped our morale because apartheid did look invincible.
Lailah Gifty Akita, Think Great: Be Great!|Virtue of prayer, virtue of patience.
Rupi Kaur, Milk and Honey|to do list (after the breakup)1. take refuge in your bed2. cry. till the tears stop (this will take a few days).3. don’t listen to slow songs.4. delete their number from your phone even though it is memorized on your fingertips.5. don’t look at old photos.6. find the closest ice cream shop and treat yourself to two scoops of mint chocolate chip. the mint will calm your heart. you deserve the chocolate.7. buy new bed sheets.8. collect all the gifts, t-shirts, and everything with their smell on it and drop it off at a donation center.9. plan a trip.10. perfect the art of smiling and nodding when someone brings their name up in conversation.11. start a new project.12. whatever you do. do not call.13. do not beg for what does not want to stay.14. stop crying at some point.15. allow yourself to feel foolish for believing you could’ve built the rest of your life in someone else’s stomach.16. breathe.
Anupam Kher|We're very good at talking about the individual in American politics and excellent at talking about the government. But we have little ability to even acknowledge everything that exists in the middle, and given how influential politics is on every other part of our life, I think that failure of discourse is pretty corrosive to our overall culture.
Homin Hieger|If I look closely, my failures are less about my inadequacies and more about the fact that I channel my abilities into the wrong places.
Ifeanyi Enoch Onuoha|But I was born in the image of God, a man, a creator, with power of life and death, a father, blessed with the gift of the seed of Adam, a sower of seed, to bring forth generations of new life.This I was, and envying a kettle.
Terry Pratchett|It had taken skill, tact, an ability to choose friends well, and a great deal of luck... Luck was always part of it, one way or another
Vicki Covington|The longing for a man, as you know, is a grand escape. It can arch your mental process to extremes so that, like a gymnast or a ballerina, you’re contorted to such outrageous limits – I’m speaking of passion – that nothing else matters. I wanted this. I desired diversion.
Michelle Alexander, The New Jim Crow: Mass Incarceration in the Age of Colorblindness|We did not hesitate to call our movement an army. But it was a special army, with no supplies but its sincerity, no uniform but its determination, no arsenal except its faith, no currency but its conscience.
Steve Jobs|God gave us the senses to let us feel the love in everyone’s heart, not the illusions brought about by wealth.
John Yang aka Private83|Stop searching for that perfect person you hope for. Stop searching for someone who would meet the standards you set as spouse material, instead love the one who's already next to you, who has always been there for you, and never done you wrong. Perfection doesn't exist in anyone, including you.
Susan Cooper, Silver on the Tree|You still don’t get it, Clark, do you?’ I couldhear the smile in his voice. ‘It’s not your choice.
Timothy Ferriss, The 4-Hour Chef: The Simple Path to Cooking Like a Pro, Learning Anything, and Living the Good Life|As you stumble and learn, stumble and learn again, resolve to talk to yourself as if you were your best friend. So no "What a #?%$@ idiot!" when your BFF smashes an egg on the floor, m'kay? Be cool, like the Fonz.
Banana Yoshimoto, Hardboiled & Hard Luck|And Pearl, stepping in, mid-leg deep, beheld her own white feet at the bottom, while out of a still lower depth came the gleam of a kind of fragmentary smile, floating to and fro in the agitated water.
Aldous Huxley|Eighteenth-century doctors prescribed sugar pills for nearly everything: heart problems, headache, consumption, labor pains, insanity, old age, and blindness. Hence, the French expression 'like an apothecary without sugar' meant someone in an utterly hopeless situation.
Jay Parini|I always run in the morning on an empty stomach, and I'll go through a bottle and a half of water. Then I have a protein drink or I eat egg whites.
John Taskinsoy|Self-analysis is vital in the road to success; being unaware of your own skills, capacity, and attributes may cost you the next great promotion.
Julia Quinn, Romancing Mister Bridgerton|Colin decided then and there that the female mind was a strange and incomprehensible organ - one which no man should even attempt to understand. There wasn't a woman alive who could go from point A to B without stopping at C, D, X, and 12 along the way.
Shumila Shah|Life Sucks. True, but it depends what you let it suck out of you – Pain or Fun!
Aldous Huxley|One is always alone in suffering; the fact is depressing when one happens to be the sufferer, but it makes pleasure possible for the rest of the world.
Friedrich Nietzsche, Human, All Too Human|Prohibition is to abstain from intoxicating liquor, as it makes us morbid and sometimes drunk. But we get drunk every day, nevertheless, not so much by the strength of what we sip from the cup, but that which we eat, the water we drink, and the air we inhale, which at fermentation conspire at eventide to make us so drunk and tired that we lose control of ourselves and fall asleep. Everybody is a drunkard, and if we were to enforce real prohibition we should all be dead.
Charles M. Blow, Fire Shut Up in My Bones|Children see God every day; they just don't call it that. It's the summer sky painted with cumulus clouds by day and sequined with a million stars by night. It's the sweet whispers of sweet gum trees and the sounds riding the tops of honeysuckle-scented breezes. Children feel God stuffed into brown fluffy dogs with stitches strong enough to withstand a good squeeze, and on the lips of round women who can't get enough sugar from Chocolate.I began to believe that God is us and nature, beauty and love, mystery and majesty, everything right and good.
Gisela Hausmann "Naked Determination 41 Stories About Overcoming Fear"|You may not have the greenest yard, but you can take the shit you're given and fertilize your grass into something beautiful!
Steven Erikson|The closest I ever got to Dragonlance and Forgotten Realms was when I bought the box game set for the latter (I think this was before the novels came out). I well recall this—we were living in James Bay, in Victoria. We opened the box up and took out the maps while sitting in a Mexican restaurant. Ten minutes later I was as close as I have ever been to publicly burning someone else’s creation…What bothered us was the reworking of every fantasy cliché imaginable, all in one package now, and none of it made sense.
Vladimir Nabokov, American Fantastic Tales: Terror and the Uncanny from the 1940's Until Now|Sam took another sip of the pruno. It went down smoother this time, possibly because he no longer had feeling in his extremities.
Jalaluddin Rumi|If you are irritated by every rub, how will your mirror be polished??
Michael Leunig|Every system I have in my house or my car, they're all tuned exactly the same.
Bennet Omalu|There's nothing fun about stuff like estate planning, getting mammograms, or talking to a guy about long term disability insurance, but do it anyway. Trust me, the stress of not having done the above is prematurely aging.
James Hilton, Good-Bye, Mr. Chips|She filed those moments away like precious documents, wore them smooth with memory, collected them like bits of prayers.
Sarah Rees Brennan, Unspoken|In 1938, Louise Rosenblatt introduced reader response theory or the transactional view of reading. She asserted that what the reader brings to the reading act - his or her world of experiences, personality, and current frame of mind - is just as important in interpreting the text as what the author writes. According to this view, reading is a fusion of text and reader.
Bill McKibben, Wandering Home: A Long Walk Across America's Most Hopeful Landscape: Vermont's Champlain Valley and New York's Adirondacks|This is not just "our" world.
Sun Tzu, The Art of War|do many calculations lead to victory, and few calculations to defeat
Gregory David Roberts, Shantaram|If fate doesn't make you laugh, then you just don't get the joke.
J.I. Packer|J.I. Packer writes, “It [knowing God] is the most practical project anyone can engage in. Knowing about God is crucially important for living our lives.” Packer continues, “Disregard the study of God, and you sentence yourself to stumble and blunder through this life blindfolded, as it were, with no sense of direction and no understanding of what surrounds you.
Courtney Giardina, Behind the Strings|It will be a beautiful day tomorrow, with the burgeoning greenery of the trees coming alive through the east window of your room – the greenery that will rim the endless sky and our endless love.
Sheeja Jose, Goodbye Girl|You can know an animal - or a person, for that matter - in an instant, really, though your understanding can go on unfolding for years.
Holly Black, The Coldest Girl in Coldtown|Because all the monsters have been let out of their cages tonight, no matter what court they belong to. So I may roam wherever I wish until the dawn.
Eddie Whitlock, Evil Is Always Human|We ate our fill, but there was more left when we was done. 'It’ll be in the icebox if y’all want some more later on,' she told us. There weren’t no way I would have gone back and eat more. I knowed they was being extra nice to us right then, but if we didn’t act right, they would put us out. That’s how folks do.
Jay Woodman|Dollar bill: people spend their whole life seeking to earn it, but won't spend 10 minutes seeking to learn it.
Debasish Mridha|If I dream under a moonlit night, should it vanish with the brightness of the morning sun?
Tehmina Durrani, Blasphemy|He who laughs worst, weeps first
Christiaan Barnard|How fun it would be to bounce on the back of Lidewij Vliegenthart’s bike down the brick streets, her curly red hair blowing into my face, the smell of the canals and cigarette smoke, all the people sitting outside the cafés drinking beer, saying their r’s and g’s in a way I’d never learn.	I missed the future. Obviously I knew even before his recurrence that I’d never grow old with Augustus Waters. But thinking about Lidewij and her boyfriend, I felt robbed. I would probably never again see the ocean from thirty thousand feet above, so far up that you can’t make out the waves or any boats, so that the ocean is a great and endless monolith. I could imagine it. I could remember it. But I couldn’t see it again, and it occurred to me that the voracious ambition of humans is never sated by dreams coming true, because there is always the thought that everything might be done better and again.
Ilana Mercer, The Trump Revolution: The Donald's Creative Destruction Deconstructed|To Donald Trump, making America great means making the people great. To the political cast, conversely, making America great means making government great.
Brad Feld|Almost any American can connect on some level to a family background of having come across some ocean. They say, 'My great-grandparents came from wherever... this is why we have this last name, why we do this thing at Christmas.' All the details get watered down but don't quite disappear.
Sam Shepard|You look at a herd of cattle and well, they all look the same... but they know. They all have an individual personality, and those personalities change from day to day. They can have their grumpy days and their happy days and their serene days. But it's unpredictable. You can't be off in outer space when you're dealing with animals.
Christopher Fry|Whoever has the luck to be born a character can laugh even at death. Because a character will never die! A man will die, a writer, the instrument of creation: but what he has created will never die!
Daniel Wallock|There really is no sense in pretending to be normal. Just be you because the moment you do, weirder things happen. Crazy comes back into fashion and every woman has to go out and find her some.
Jill Knowles, Concubine|Princes are fighters or administrators. Neither of those things do much to spread joy in the world. Whores, concubines, and catamites, on the other hand, are all about giving satisfaction. Now granted, sexual pleasure is a temporary sort of happiness, but it is better than a new tax or a sword in the gut.
Vinita Kinra|Your existence depends on what you have, not what you are.
Eden Phillpotts, Saurus|Nine-nine of every hundred among you probably desire peace, while the balance may hold war a condition to be preferred; but what can be the mental norm of statesmanship where such a minority conquer the peace-lovers?
Stevie Nicks|The weeds keep multiplying in our garden, which is our mind ruled by fear. Rip them out and call them by name.
|Education is the master key to greatness; without it, a child would be faced with the darkness of a future that's full of uncertainties.
Ngaio Marsh, Death on the Air and Other Stories|You must be able to write. You must have a sense of form, of pattern, of design. You must have a respect for and a mastery over words.
Kris Kidd, Return to Sender|I’ll be too drunk to fight when you ask why I prefer to hurt, so I’ll start hurling stupid phrases like I love you at your naked chest, but no matter what I try, they’ll all sound like cheap threats.
Yevgeny Zamyatin, We|Don't underestimate the poor, because his soul treasures to Phoenix of Wits
Mark Brightlife, Overcoming Depression: Pragmatic Solutions to Deal with Suicidal Thoughts|Mental Health is measured though motivation to live; the more plans you have and the more significant they are, the more healthy you are.
T. Scott McLeod|To shine and outshine the shining stars, to take your abilities to the greatest height, to sit on top of the world, you must fortify yourself with persistence, the determination and willingness to stay in the same direction over a long period of time whatever the cost might be.
J.C. Ryle, A Call to Prayer|Praying and sinning will never live together in the same heart. Prayer will consume sin, or sin will choke prayer.
Elizabeth Goudge, The Rosemary Tree|Lucky ain’t a puppy no more and he don’t bark for just any old reason. It takes a mailman, a squirrel, a car, a bird, a blowing leaf, or a tumbling scrap of paper to get him stirred up now.
Virginia H. Pearce, Through His Eyes: Rethinking What You Believe About Yourself|Despite an ever increasing diversity when it comes to yoga brands, there are only four major paths in yoga and they have the same end goal; enlightenment. The end goal can be likened to the top of a pyramid. Even though people may start climbing the pyramid from different sides, at the end they will reach the same goal and thusly achieve unity.
Loren Eiseley, The Star Thrower|Not to be greedy is, paradoxically, the highest form of looking after one's true interests.
Olawale Daniel|IF I can do it and you can do it, if I have a story and you have story.
Emma Ghent Curtis|Behold yon rough and flinty roadWhere youth, now youth no more,Gropes whining, seeking crumbs of loavesHe cast away of yore.
Alfred Hermida, Tell Everyone: Why We Share and Why It Matters|Sometimes, humanity surprises me with all its lack of control over the primordial urges. These innate urges are the biological traits that make us similar to the rest of the animal kingdom. But the modern qualities that make us superior to all the animals are intellect and self-control.
Seanan McGuire, Chimes at Midnight|In Bio last year, I learned that blood is actually a dark maroon when it's inside your body. It's the exposure to oxygen that turns it bright red. And there must have been a lot of oxygen in my bathroom, because that blood was bright, bright red.
Marvin Gaye|To share is precious, pure and fair.Don't play with something you should cherish for life. Don't you wanna care, ain't it lonely out there?
Daniel Marques|My evolution as a writer? Mother said "stop talking like that", teachers said "you're weird", readers say "best book ever
