Emily Brontë, Wuthering Heights|Unrequited love is a ridiculous state, and it makes those in it behave ridiculously.
Brandon Villasenor, I Can't Stop Drinking About You|Keep people in your life who truly love you, motivate you, and make you happy. If you know people who do none of these things, let them go.
Auliq Ice|If one wishes to be a great project manager, one needs to talk less and write more.
Tony Judt|The historian’s task is not to disrupt for the sake of it, but it is to tell what is almost always an uncomfortable story and explain why the discomfort is part of the truth we need to live well and live properly. A well organized society is one in which we know the truth about ourselves collectively, not one in which we tell pleasant lies about ourselves.
Kami Garcia, Beautiful Creatures|That thing, that tiny part of The Land of Elyon, is gone but not entirely forgotten. Elyon had his reason for sending you and me on this journey. Sometimes we see something as plain as a dying leaf and our hearts grow sad, but we must always hold true and fight on, Alexa. Whatever happens to us, we will not be forgotten in the end. He will remember us.
Kathryn Schulz, Being Wrong: Adventures in the Margin of Error|Men are not born equal in themselves, so I think it beneath a man to postulate that they are. If I thought myself as good as Sokrates I should be a fool; and if, not really believing it, I asked you to make me happy by assuring me of it, you would rightly despise me. So why should I insult my fellow-citizens by treating them as fools and cowards? A man who thinks himself as good as everyone else will be at no pains to grow better. On the other hand, I might think myself as good as Sokrates, and even persuade other fools to agree with me; but under a democracy, Sokrates is there in the Agora to prove me wrong. I want a city where I can find my equals and respect my betters, whoever they are; and where no one can tell me to swallow a lie because it is expedient, or some other man's will.
Sanhita Baruah|He saw her red eyes filled with tears of anger. "Tell me why this rage?" He asked holding her in his arms. "Why do you fence for yourself so much?She sighed and muttered, "Because all I really want is nothing but to be proved wrong.
Aidan Chambers, Postcards from No Man's Land|It is not growing like a treeIn bulk, doth make Man better be;Or standing long an oak, three hundred year,To fall a log at last, dry, bald, and sere:A lily of a dayIs fairer far in MayAlthough it fall and die that night;It was the plant and flower of Light.In small proportions we just beauties see;And in short measures life may perfect be (Ben Jonson)
Debasish Mridha|Love is like electricity, you can’t see it, but it can enlighten you or it can burn you.
Kendall Kulper, Salt & Storm|His mind has the clearness of the deep sea, the patience of its rocks, the force of its billows.
Seekerohan|And after everything been said and done, the mind only believes what our heart feels.
Markelle Grabo, The Spell Master|As long as he is around, I don't fit into your life." - Nathan
JoAnne Kenrick, When A Mullo Loves A Woman|Have you ever met someone for the first time, but in your heart you feel as if you’ve met them before?
Leot Felton|Many nights I watch the sun set. Many nights I watch the moon. They fascinate me. They’re the only things I get to share with everyone: the stars, the moon, the universe.
Johnny Cash|Success is having to worry about every damn thing in the world, except money.
Edgar Watson Howe|When I get hold of a book I particularly admire, I am so enthusiastic that I loan it to someone who never brings it back.
John Dufresne, No Regrets, Coyote|Get up, and wipe your lip, Camille. It seems you are bleeding.
Anna   Stevens, Turn Your Dreams And Wants Into Achievable SMART Goals!|If you want something better for your life, you've got to start by believing you deserve it.
J. C. Read|You can forget what people said and did, but you can never forget how they made you feel. You can forgive the people who hurt you, but you will remember what the taught you.
George Orwell, Animal Farm|I merely repeat, remember always your duty of enmity towards Man and all his ways. Whatever goes upon two legs is an enemy. Whatever goes upon four legs, or has wings, is a friend. And remember also that in fighting against Man, we must not come to resemble him. Even when you have conquered him, do not adopt his vices. No animal must ever live in a house, or sleep in a bed, or wear clothes, or drink alcohol, or smoke tobacco, or touch money, or engage in trade. All the habits of Man are evil. And, above all, no animal must ever tyrannise over his own kind. Weak or strong, clever or simple, we are all brothers. No animal must ever kill any other animal. All animals are equal.
Deborah Feldman, Unorthodox: The Scandalous Rejection of My Hasidic Roots|Eight months in the woods have hardened me, or at least firmed up my beliefs that if a man’s going to fend for himself, then he needs to leave his credit card at home.
Jerry Bridges, The Pursuit of Holiness|It is clear from our Lord's prayer that He does not intend for us to withdraw from contact with the world of non-Christians (John 17:15). Instead, He said we are to be 'the salt of the earth' and 'the light of the world' (Matthew 5:13-14).
Katherine Catmull, Summer and Bird|Do you wrestle with dreams? Do you contend with shadows? Do you move in a kind of sleep? Time has slipped away. Your life is stolen. You tarried with trifles, Victim of your folly.
Jason E. Royle, The Beheading of John|Sometimes I wonder which is worse: To have to kill because it is your job, or to have no remorse for all the murderous things you have done?
Tanya Masse|No REGRETS. Just LESSONS learned, BLESSINGS recognized and HUMOR found.
Truman Capote, In Cold Blood|But if you live your life without feeling and compassion for your fellowman—you are as an animal—'an eye for an eye, a tooth for a tooth' & happiness & peace of mind is not attained by living thus.
Jason Isbell|I am not someone who is ashamed of my past. I'm actually really proud. I know I made a lot of mistakes, but they, in turn, were my life lessons.
Corallie Buchanan, Watch Out! Godly Women on the Loose|Was I interrupting? I thought it was over." Rhys gave me a smile dripping with venom. He knew-through that bond, through whatever magic was between us, he'd known I was about to say no. "At least Feyre seemed to think so.
Joe Dilley, The Game Is Playing Your Kid: How to Unplug and Reconnect in the Digital Age|Every sea to scare the sailor, I have sailed.
Charlie Chaplin|By simple common sense I don't believe in God, in none.
Tamara Agha-Jaffar, A Pomegranate and the Maiden|Prisoners!" Finan shouted, and I suspected he was shouting at me because I had so blatantly ignored my own insistence that we take men captive.
Julian Barnes, The Sense of an Ending|I blushed. You haven't seen a bald man in his sixties blush? Oh, it happens, just as it does to a hairy, spotty fifteen-year-old. And because it's rarer, it sends the blusher tumbling back to that time when life felt like nothing more than one long sequence of embarrassments.
Seneca|The willing, Destiny guides them. The unwilling, Destiny drags them.
James S.A. Corey, Abaddon's Gate|Way back in 1831, Michael Faraday, one of the founders of our modern understanding of electromagnetism, was asked by an inquiring politician about the usefulness of this newfangled "electricity" stuff. His apocryphal reply: "I know not, but I wager that one day your government will tax it".
John Swartzwelder, The Time Machine Did It|Doing something positive will help turn your mood around. When you smile, your body relaxes. When you experience human touch and interaction, it eases tension in your body.
|If success was an overnight journey, its prize would become valueless.
Samir Okasha, Philosophy of Science: A Very Short Introduction|I am Nom-O-Tron,' said the machine, in a big, boomy voice, so loud that Astra was afraid her mum and dad or some other grown-ups would hear and come to see who was sneaking a bedtime snack. 'Shhh!' she said. 'Have you got any biscuits?
Beyonce Knowles|I know it sounds a bit corny, but I do think that beauty and sexiness come from within.
N.T. Wright, After You Believe: Why Christian Character Matters|Without the heart it’s not worship, it’s a stage play.
Audrey Meadows|I believe that it is irresponsible, it is basically part of the crisis of leadership in D.C. to not look at Social Security and understand that there has got to be a solution posed. We've got to take a look at it and make sure that we create a solution so our seniors aren't left out in the cold.
William C. Bryant|Physics does not change the nature of the world it studies, and no science of behavior can change the essential nature of man, even though both sciences yield technologies with a vast power to manipulate the subject matters.
Suzanne Collins, Mockingjay|Oh ... My twitchy witchy girl I think you are so nice, I give you bowls of porridge And I give you bowls of ice-cream.
Les Brown|you don't have to be great to get started, but you have to get started to be great.
Adrienne Mayor|There is no justice in social justice, and there is no equality in social equality.
Lailah Gifty Akita, Think Great: Be Great!|When God leads you to it, He will give it to you.
Brian K. Vaughan, Saga, Vol. 5|...having a child is like casting off your own childhood forever. It's as if it's only then that you really grasp what it means to be a man. You're scared too that all your weaknesses will be laid bare, because fatherhood demands more than you can give.... I always felt I had to earn your love, because I loved you so, so much.
Max Frei, The Stranger|People are made in such a way that if something inexplicable happens to them, they write it off to an overheated imagination.
Hunter S. Thompson, Generation of Swine: Tales of Shame and Degradation in the '80's|There never were greed and cunning in the world yet, that did not do too much, and overreach themselves. It is as certain as death.
Thomm Quackenbush, Pagan Standard Times: Essays on the Craft|There are three people in your life: your great love, the one you want to have children with, and the one whom you can spend the rest of your life with. If you find that last one first, you have it made.
Bill Goldberg|I think it's useful, as a famous person, to have as little separation between the perception of you and how you really are - because otherwise I'd be sitting here thinking I'm keeping secrets, and wondering when you're going to find out.
Sylvia Day, Bared to You|Don't. Tell me when, then. And before you say never, take a good look at me and tell me if you see a man who's easily deterred.
Tony DiTerlizzi|I remember being in a history lesson and saying to my teacher, 'How come you never talk about black scientists and inventors and pioneers?' And she looked at me and said, 'Because there aren't any.'
Jo Brand|I used to do bell ringing in Benenden church. It was really good fun, actually. My best friend's dad was the local vicar, and so it was expected as her best friend that I would go to church every Sunday with her.
Lailah Gifty Akita|A revived spirit, a renewed soul.
Barton Gellman|We in the United States believe in the protection of minorities; we recognize the contributions that they can make and the leadership that they can provide; and we do not believe that any people - whether majority or minority, or individual human beings - are 'expendable' in the cause of theory or of policy.
David Twohy|Torture, including practices like waterboarding, violates the legal and moral standards of all civilized nations.
George Gordon Byron|The light of love, the purity of grace,The mind, the Music breathing from her face, The heart whose softness harmonised the whole —And, oh! that eye was in itself a Soul!
Criss Jami|It is not that men become too intelligent for God,' says the Apologist, 'but rather they become too arrogant for intelligence.
Frank Schätzing|We cannot fathom the marvelous complexity of an organic being; but on the hypothesis here advanced this complexity is much increased. Each living creature must be looked at as a microcosm--a little universe, formed of a host of self-propagating organisms, inconceivably minute and as numerous as the stars in heaven.
Vera B. Williams|The passion to teach, to share deeplyexperienced “lessons from life,” is embedded in all literature.
Stephen Richards, Scottish Hard Bastards|Just as chillingly as Manuel took police to the spot where he had buried 17-year-old Isabella Cooke, it was reminiscent of this when Brady took police to Saddleworth Moor in Yorkshire, when he and Hindley were flown there by helicopter to walk on the graves of more victims.
Iain Banks, The State of the Art|With biting solemnity he spoke. “What are you holding on to as Mara? Why are you holding on to what does not exist and was once known? Why not let her be dusts to the winds of Teracia, insignificant in the eyes of what Atheists believe?” Teracia was home to the American Spiritualist headquarters and a very large expanse of forestry. Roma, to keep Mara’s last wishes had visited Teracia, against his Atheist believes, to spread her ashes so her soul may roam free. What soared through Roma was more sadness than anger in the moment. But the anger was enough to push him head first into Retina. “How dare you? You stupid son of a bitch…Ahh!” The force that took Roma forward took them over the compliant material that was the railing and they became subject to gravity. The impact resisting, antigravity flooring broke the majority of their fall. And as Roma traveled the approximately fifteen inches resistance flight back in the air, “I’ll kill you,” he told Retina. While Retina was silently thanking Dr. Hunter, a QueXtgen scientist who had just saved their lives without knowing it, for the scientific design of the house, “I’ll kill you…” Roma said as his body touched the floor, before losing consciousness.
Michael Strahan|Huh,” groaned Father Gabe. “I sympathize with you, Tommy. Relationships can be a crap shoot. You think you’re going to roll a seven and up pops snake eyes.
Lailah Gifty Akita, Think Great: Be Great!|Do not waste your time and life, searching for a job.
John Green, The Fault in Our Stars|Witness also that when we talk about literature, we do so in the present tense. When we speak of the dead, we are not so kind.
Victor Hugo, Ninety-Three|Nature is pitiless; she never withdraws her flowers, her music, her fragrance and her sunlight, from before human cruelty or suffering. She overwhelms man by the contrast between divine beauty and social hideousness. She spares him nothing of her loveliness, neither wing or butterfly, nor song of bird; in the midst of murder, vengeance, barbarism, he must feel himself watched by holy things; he cannot escape the immense reproach of universal nature and the implacable serenity of the sky. The deformity of human laws is forced to exhibit itself naked amidst the dazzling rays of eternal beauty. Man breaks and destroys; man lays waste; man kills; but the summer remains summer; the lily remains the lily; and the star remains the star....As though it said to man, 'Behold my work. and yours.
Margaret Atwood, The Animals in That Country|Distraction leaches the authenticity out of our communications. When we are not emotionally present, we are gliding over the surface of our interactions and we never tangle in the depths where the nuances of our skills are tested and refined. A medical professor describes the easy familiarity with which her digital-native resident students master medical electronic records—but is troubled by the fact that they enter data with their eyes focused on their digital devices, not on the patient in the room with them. Preoccupation with technology acts as a screen between the student and the patient’s real emotion, real fear, and real concern. It may also prevent these residents from noticing physical symptoms that the patient fails to mention. The easy busyness of medical record entry is a way to sidestep the more challenging dynamics of human connection. But experienced physicians know that interpersonal skills are essential to mastering the art and science of medical diagnosis.
Mehmet Murat ildan|Your mind is your guide! With a clever mind, you will have a life full of light! Improve your mind, improve your real savior!
Scott Stabile|It's important to work on our personal growth, and part of that work is learning, and accepting the fact that we are absolutely enough, as we are. Some of our most profound changes manifest by simply embracing who we've been all along.
George Orwell|I'm no more modern than ancient, no more French than Chinese, and the idea of a native country, that is to say, the imperative to live on one bit of ground marked red or blue on the map and to hate the other bits in green or black, has always seemed to me narrow-minded, blinkered and profoundly stupid. I am a soul brother to everything that lives, to the giraffe and to the crocodile as much as to man.
Pema Chödrön, When Things Fall Apart: Heart Advice for Difficult Times|We waste so much energy trying to cover up who we are when beneath every attitude is the want to be loved, and beneath every anger is a wound to be healed and beneath every sadness is the fear that there will not be enough time. When we hesitate in being direct, we unknowingly slip something on, some added layer of protection that keeps us from feeling the world, and often that thin covering is the beginning of a loneliness which, if not put down, diminishes our chances of joy. It’s like wearing gloves every time we touch something, and then, forgetting we chose to put them on, we complain that nothing feels quite real. Our challenge each day is not to get dressed to face the world but to unglove ourselves so that the doorknob feels cold and the car handle feels wet and the kiss goodbye feels like the lips of another being, soft and unrepeatable.
Rick Riordan, The Titan's Curse|Yeah, you bet Romani.' Percy bared his forearm and showed them the brand he'd got at Camp Jupiter- the SPQR mark, with the trident of Neptune. 'You mix Greek and Roman, and you know what you get? You get BAM!' He stomped his foot, and the empousai scrambled back. One fell off the boulder where she'd been perched.
Brian South, The Zombie Sheriff Takes Tucson: A Love Story|Fear blossomed within her - not like a flower, but like blood welling from a gunshot wound, spreading throughout her entire body.
A.C. Bhaktivedanta Swami Prabhupada|Consciousness consists in a being becoming objective to itself; … it is nothing apart, nothing distinct from the being which is conscious of itself.
Frances Winkler|I'm collector of stuff that people make with their brain. I keep them in little jars and I take them out and play with them sometimes too. The stuff, not the people.
Tracy Kidder, Strength in What Remains: A Journey of Remembrance and Forgiveness|If I had created myself, I would be taller, blond, and more well endowed, financially. I would have cast out spiders and bad-hair days. Therefore, and hence, I believe strongly in a Creator who not only gave me the gift, but the free will to create my own journey through life.
Upton Sinclair|There are some things in this world you rely on, like a sure bet. And when they let you down, shifting from where you've carefully placed them, it shakes your faith, right where you stand.
John O'Donohue, Anam Cara: A Book of Celtic Wisdom|If you are losing faith in human nature, go out and watch a marathon.
Laura Mvula|A timid person is frightened before a danger, a coward during the time, and a courageous person afterward.
Andre Agassi, Open|Make sure your LinkedIn profile has a targeted headline. Not only should the headline clearly state your career focus, it’s also the most important place to add a keyword or two, because this influences how you appear in search results
J.K. Rowling|We are the Library," Coppelia pointed out. "What we don't know, we research.
Fulton J. Sheen, Seven Words of Jesus and Mary: Lessons from Cana and Calvary|Far better it is for you to say: "I am a sinner," than to say: "I have no need of religion." The empty can be filled, but the self-intoxicated have no room for God.
Laurie R. King, The Beekeeper's Apprentice|I took to the Bodleian library as to a lover and ... would sit long hours in Bodley's arms to emerge, blinking and dazed with the smell and feel of all those books.
Victor Pelevin, The Sacred Book of the Werewolf|While a democratic process is morally desirable for arriving at a decision, it doesn’t necessarily produce the best outcomes.
Christina Rasmussen, Second Firsts Live Laugh and Love Again|When the dream that was no longer can be, you have to dream a different dream.
Willard Scott|I loved my mom so much because she had to work on a penny just to put food on the table... During the Depression in the United States, everybody had a tough time. And I was so hurt because she was crying that she didn't have any food for us for Thanksgiving.
Stanley Kramer|The truth is lived, not taught.
Jens Bjørneboe, Moment of Freedom: The Heiligenberg Manuscript|Still there are people who grasp freedom at once, who don't doubt, don't hesitate—but accept themselves as the measure of themselves and of everything, and who don't seem to show any dread. In some cases there are people who have the strength to do it and the innate wisdom to understand what the price is. In other cases they are people who have no idea what they're doing, who choose freedom out of ignorance and lack of understanding—they know nothing about any price, and they go under when the price is demanded. It means ruin to choose to think for oneself if one can't think.
Andrew Durbin|For real human beings, the only realism is an embodied realism.
Russell Pearce|What I loved about the acting class was that you got to think all day long about a person that wasn't you, and figure out why they were sad and what they wanted, what they dreamed.
Alex Campbell|Now where there are no parts, there neither extension, nor shape, nor divisibility is possible. And these monads are the true atoms of nature and, in a word, the elements of things.
Lois McMaster Bujold, The Vor Game|Think of the glory. Think of your reputation. Think how great it'll look on your next resume."On my cenotaph, you mean. Nobody will be able to collect enough of my scattered atoms to bury. You going to cover my funeral expenses, son?"Splendidly. Banners, dancing girls, and enough beer to float your coffin to Valhalla."- Miles coaxing Ky Tung to agree to an almost suicidal mission
Matthew Donnelly|The worlds high on doing and distracting and as result we need to keep doing and it doesn’t really matter what we are doing, as long as it is distracting.
|She went downstairs slowly and sat in front of the fire, rocking herself to and fro as she imagined all of the harm he might have suffered: she could see him enticed into a car by a stranger, she could see him knocked down by a lorry in the road, she could see him falling into the Thames and being carried away by the tide. It was her instinctive belief, however, that if she dwelled upon such scenes in sufficient detail she could prevent them from occurring: anxiety was, for her, a form of prayer. And then she spoke his name aloud, as if she were able to conjure him into existence.
Linda Gray Sexton, Bespotted: My Family's Love Affair with Thirty-Eight Dalmatians|For people with patience, time with a dog is a little slice of heaven.
Rainbow Rowell, Eleanor & Park|It's true. I've seen it when the crescent moon shone bright on a cold, dark night. The darker the night, the brighter God's smile.
Tony   Taylor, Counters|I saw Sonora before me, so otherworldly, so desolate, some cast-out mistress on the pale blue planet, and longed suddenly to stay.
Lady Gaga|I'm a little bit naked, but that's okay.
Sylvia Earle|The perfect date for me would be staying at home, making a big picnic in bed, eating Wotsits and cookies while watching cable TV.
Matthew De Abaitua, If Then|He spoke slowly, his voice deeper and louder, every word tacked nine-inches deep into the beams of our minds.
Pearl  Zhu, Unpuzzling Innovation: Mastering Innovation Management in a Structural Way|Innovation is to connect the dots - synthesizing that goes in one mind, and teamwork through collective insight.
George Leonard, Mastery: The Keys to Success and Long-Term Fulfillment|Our preoccupation with goals, results, and the quick fix has separated us from our own experiences.
Peggy Randall-Martin|Everybody makes mistakes, but when the same ones become consistent, they are commitments.
Jim Henson|Hope is not the conviction that something will turn out well but the certainty that something makes sense, regardless of how it turns out.
Jason Mraz|Because I trust in the ever-changing climate of the heart. (At least, today I feel that way.) I think it is necessary to have many experiences for the sake of feeling something; for the sake of being challenged, and for the sake of being expressive, to offer something to someone else, to learn what we are capable of.
William Faulkner, Light in August|Though children can accept adults as adults, adults can never accept children as anything but adults too.
Frederick Dale Bruner, Matthew: The Churchbook Matthew 13-28|Luther and Calvin believed that both the Roman church on the right and the Zwinglian and Anabaptist churches on the left made the Lord's Supper too much a place WHERE BELIEVERS DID THINGS FOR GOD - either by offering Christ to God (Rome) or by offering their deep devotion to God (the Radical Protestants). The main direction of the Supper, in both of these views, was up.
Marjorie Spiegel, The Dreaded Comparison: Human and Animal Slavery|Now there was no sign of any foul weather, but when one wishes to do a thing . . . one finds no lack of reasons for the doing.
Sylvia Plath|I am helpless as the sea at the end of her string. I am restless. Restless and useless. I, too, create corpses.
Barack Obama|Your ego can become an obstacle to your work. If you start believing in your greatness, it is the death of your creativity.
Jim Butcher, Small Favor|... They paid some madman who thought he was a decorator a lot of money to make the place look hip and unique. May be it's my lack of fashion sense talking, but I thought they should have held out for one of those gorillas who has learned to paint. The results would have been of similar quality, and they could have paid in fresh produce.- Harry Dresden, Small Favor, Jim Butcher
Louise Penny|Loss was like that, Gamache knew. You didn't just lose a loved one. You lost your heart, your memories, your laughter, your brain and it even took your bones. Eventually it all came back, but different. Rearranged
Robyn Carr, Sunrise Point|Don't leave yet," he said, his voice hoarse. "Let me do something. Let me feed you. Hold you. Rub your shoulders. Change your oil. Anything, please.
Janvier Chouteu-Chando, The Union Moujik|...An ethnically heterogeneous society without a unifying hero is bound to be torn apart by internal strife. Only a man capable of bringing about a workable consensus between the diverse people is truly a hero. Such a man has to be a true disciple of peace, unity, solidarity and justice.
Susan Barbara Apollon, Touched by the Extraordinary, Book Two|Give yourself permission to see and feel the extraordinary events in your own life. In internalizing them, you also will find your perspective about life and its meaning will change, resulting in growth and expansion of your soul.
Linda Alfiori, The Art of Loving Again: How to More Intelligently Start Again After a Breakup, Divorce and the Death of a Loved One|As long as you leave to others the responsibility to make you happy, you are going to be miserable, because it is actually your job.
Mark Doty|And then we ease him out of that worn-out body with a kiss, and he's gone like a whisper, the easiest breath.
Peter Benchley, Jaws|God isn't going to scribble across the sky. "The shark is gone.
Marianne Williamson|When you think about Twitter and you think what a dumb stupid throwaway technology, and then you have the Iranian elections and it actually saves the day - you can't prejudge technologies now because they have effects you may not have intended.
Kristen Ashley, The Gamble|In a clock, stop but one wheel and you stop every wheel, because they are dependent upon one another. So when God has ordered a thing for the present to be thus and thus, how do you know how many things depend upon this thing? God may have some work to do twenty years hence that depends on this passage of providence that falls out this day or this week.
Meghan Daum, The Unspeakable: And Other Subjects of Discussion|For my mother’s entire life, her mother was less a mother than splintered bits of shrapnel she carried around in her body, sharp, rusty debris that threatened to puncture an organ if she turned a certain way.
Chris Mentillo|Before You Begin Writing Your Book, Ask Yourself A Very Important Question: What Kind of Results Do I Plan To Receive From Writing This Book? If You Say Money, Then Don't Bother Even Writing The Book.
Robert Sylvester|Someone's always saying  "It's not whether you win or lose " but if you feel that way  you're as good as dead.
John Emerich Edward Dalberg-Acton|When you perceive a truth, look for the balancing truth.
Denise Van Outen|I've surfed the Web and the whole dating connection. I find that pretty fascinating, but no real leads.
Sukant Ratnakar, Open The Windows: To the World around You|Nature grows where the atmosphere is conducive – a bit of oxygen, soil, moisture and we see plants growing. Even between the stones. Exactly the same way, if we are happy and honest to ourselves, our creative glands gets activated and soon we get the astonishing solution to our challenges.
Arthur Koestler|The principal mark of genius is not perfection but originality, the opening of new frontiers.
Anderson, Christie|The forlorn notes of Cristofori’s Dream replaced the eerie silence, sending a chill up my neck. The piano sang in desperation. Lamenting strings pierced the air as if grieving on my behalf. The notes edged through my mind, and I stared across the room, right through the beige wall to the void beyond. My eyes labored through nothingness, searching for the tiniest fragment of hope to no avail.
Kristen Henderson|Another funny thing about living in this city is how easy it can be to lose track of people. We're all so busy, always rushing around, so wrapped up in our own stuff. It stops occurring to us to check in with friends. I mean REALLY check in with them.
Remmy Duchene, So Into You|What makes Capa a great photo journalist?" asks a reporter covering a 1998 retrospective of his work. "We see his own appetite for life, his mix of urgency with compassion . . . the artistic thrust of his photography always had more to do with its emotional pitch, which remained genuine and deeply felt." Or, in Capa's own words, a great picture "is a cut out of the whole event which will show more of the real truth of the affair to some one who was not there than the whole scene.
Eric Massa|Independence is all very well, but we animals never allow our friends to make fools of themselves beyond a certain limit; and that limit you've reached.
Aisha Mirza|Everyone is familiar with the phenomenon of feeling more or less alive on different days. Everyone knows on any given day that there are energies slumbering in him which the incitements of that day do not call forth, but which he might display if these were greater. Most of us feel as if a sort of cloud weighed upon us, keeping us below our highest notch of clearness in discernment, sureness in reasoning, or firmness in deciding. Compared with what we ought to be, we are only half awake. Our fires are damped, our drafts are checked. We are making use of only a small part of our possible mental and physical resources. Stating the thing broadly, the human individual thus lives far within his limits; he possesses powers of various sorts which he habitually fails to use.
Marcus Aurelius, Meditations|The chief purpose of life, for any of us, is to increase according to our capacity our knowledge of God by all means we have, and to be moved by it to praise and thanks.
Baruch Spinoza|The limitless loving devotion to God, and the gift God makes of Himself to you, are the highest elevation of which the heart is capable; it is the highest degree of prayer. The souls that have reached this point are truly the heart of the Church.
Barry N. Malzberg, The Fantastic Stories of Cornell Woolrich|He began as a minor imitator of Fitzgerald, wrote a novel in the late twenties which won a prize, became dissatisfied with his work, stopped writing for a period of years. When he came back it was to BLACK MASK and the other detective magazines with a curious and terrible fiction which had never been seen before in the genre markets; Hart Crane and certainly Hemingway were writing of people on the edge of their emotions and their possibility but the genre mystery markets were filled with characters whose pain was circumstantial, whose resolution was through action; Woolrich's gallery was of those so damaged that their lives could only be seen as vast anticlimax to central and terrible events which had occurred long before the incidents of the story. Hammett and his great disciple, Chandler, had verged toward this more than a little, there is no minimizing the depth of their contribution to the mystery and to literature but Hammett and Chandler were still working within the devices of their category: detectives confronted problems and solved (or more commonly failed to solve) them, evil was generalized but had at least specific manifestations: Woolrich went far out on the edge. His characters killed, were killed, witnessed murder, attempted to solve it but the events were peripheral to the central circumstances. What I am trying to say, perhaps, is that Hammett and Chandler wrote of death but the novels and short stories of Woolrich *were* death. In all of its delicacy and grace, its fragile beauty as well as its finality.Most of his plots made no objective sense. Woolrich was writing at the cutting edge of his time. Twenty years later his vision would attract a Truffaut whose own influences had been the philosophy of Sartre, the French nouvelle vague, the central conception that nothing really mattered. At all. But the suffering. Ah, that mattered; that mattered quite a bit.
Sayo Masuda|When I was a nursemaid at the home of the landowners, a nun who happened to pass once gave me something square and white.Timidly I licked it and discovered that it was sweet and delicious. I realize now that it must have been a sugar cube;but still, more than twenty years later, I remember clearly the joy I felt then. It's not just children; everyone seems to be deeply touched by unexpected joy brought to them by others and is unable to forget it. That child will be grown up by now, and if he hasn't forgotten me, whenever he sees a crying child he'll want to say a kind word and wipe the kid's nose. And when that kid grows up, he'll do the same. To do something kind for another is never a bad feeling; it fosters a spirit of caring for other people. And who knows,after a hundrend years, human beings may even learn to cooperate with one another...Yes, that was it: I'd try to teach children that if they felt glad when someone gave them a single piece of candy,then they in turn should give to others.
Brian Selznick, The Invention of Hugo Cabret|The idea of going to the movies made Hugo remember something Father had once told him about going to the movies when he was just a boy, when the movies were new. Hugo's father had stepped into a dark room, and on a white screen he had seen a rocket fly right into the eye of the man in the moon. Father said he had never experienced anything like it. It had been like seeing his dreams in the middle of the day.
Jillian Dodd, That Boy|Walking with Murphythrough the bone-freezing chilltoward the bus stop,I start shivering.And somehow,when he slips his arm around meto warm me up,it feels right.Righter than anything ever has.
Lorilyn Roberts, Children of Dreams|The problem with parenting today? Children are not raised! They are just born and fed and clothed. Then upon them are placed ornaments for the eyes of others to see: superficial actions and ways, all of which pass away as sure as the sun sets every evening! Why are you not raising nobility? Why are you not raising Knights and Queens? Feed those souls, give them character!
Haruki Murakami, A Wild Sheep Chase|You cannot do anything good for a dead man! Whatever goodness you want to do for him, do it when he is alive!
John Green, Paper Towns|It is never too early to start thinking about your own death and the deaths of those you love. I don’t mean thinking about death in obsessive loops, fretting that your husband has been crushed in a horrific car accident, or that your plane will catch fire and plummet from the sky. But rational interaction, that ends with you realizing that you will survive the worst, whatever the worst may be. Accepting death doesn’t mean that you won’t be devastated when someone you love dies. It means you will be able to focus on your grief, unburdened by bigger existential questions like “Why do people die?” and “Why is this happening to me?” Death isn’t happening to you. Death is happening to us all.
Adele Theron|A journey to try is not worthy to start, better to love none than starting over in relationships and getting dropped like a coin that won't get tossed.
C. JoyBell C.|A lot of pieces I have written have to do with courage. As a result, people think that I am naturally brave. But what people don't know, is that I grew up with phobias and many fears. I was scared of everything. So, I write of courage not because I have not known fear, but I write of courage because I have walked with fear but I have made the choice not to fear it.
Margo T. Rose, The Words|I'm still looking for someoneWho said they were here for me,And I thought I was once there for you.But when troubles are nearer than friends,And the road comes to an end,What could I do?I wish I could fly away like you.
Frank Forencich, Exuberant Animal: The Power of Health, Play and Joyful Movement|Warning: Before beginning an program of physical inactivity, consult your doctor. Sedentary living is abnormal and dangerous to your health.
Walter de la Mare, Rhymes and Verses: Collected Poems for Young People|Cat hate reflects an ugly, stupid, loutish, bigoted spirit. There can be no compromise with this Ugly Spirit.
Julian Barnes, A History of the World in 10½  Chapters|For the point is this: not that myth refers us back to some original event which has been fancifully transcribed as it passed through collective memory; but that it refers us forward to something that will happen, that must happen. Myth will become reality, however sceptical we might be.
Catherynne M. Valente, Radiance|You must liberate your mind of such dogmatic ideals, rid yourself of this unending illusion that stories have clear beginnings and endings. Stories never begin, nor do they end. They are comprised of people living an endless cycle of interacting, influencing each other, and parting ways. As long as stories are told they should not have clear endings.
Ernest Hemingway, For Whom the Bell Tolls|We're on the same wavelength. We're connected that way, even if I'm away from her.
Virginia Heffernan|Unless you are rich, and can con vales center in a sanatorium estate (where visitors came down a tiered, oceanside lawn to found you ato your easel) you have to keep going when you're depressed. That means phone calls, appointments errands, holidays, family, friends, and colleagues.
Josh Hopkins|At that time, I feel sad, and I feel no one knows how hard I work and how many tears. They only know the score. At that time, I feel very lonely because no one understands since they haven't been world No. 1 before.
