Ruth Rendell|I think to be driven to want to kill must be such a terrible burden".
Josh Radnor|Woe to the man whose heart has not learned while young to hope, to love - and to put its trust in life.
Kurt Vonnegut Jr., Bagombo Snuff Box|Be a sadist. No matter how sweet and innocent your leading characters, make awful things happen to them -- in order that the reader may see what they are made of."[From the preface.]
Victor Hugo, Ninety-Three|History has its truth, and so has legend. Legendary truth is of another nature than historical truth. Legendary truth is invention whose result is reality. Furthermore, history and legend have the same goal; to depict eternal man beneath momentary man.
Yuval Noah Harari, Sapiens: A Brief History of Humankind|As human being, we live in a perpetual conversation between conversation and violence; what apart from fundamental willingness to be reasonable, can guarantee that we will keep talking to one another?
Dietrich Bonhoeffer, God Is in the Manger: Reflections on Advent and Christmas|God can make a new beginning with people whenever God pleases, but not people with God. Therefore, people cannot make a new beginning at all; they can only pray for one. Where people are on their own and live by their own devices, there is only the old, the past.
Rogers Hornsby|Golf is a game in which you yell 'fore,' shoot six, and write down five.
Tyler Cowen|My mother, we were a very poor family. When I was a kid, we would be in our little room, and there would be a knock on the door almost every night with a hobo begging for food. Even though we didn't even have enough to eat, my mother always found something to give them.
Michael Makai, Domination & Submission: The BDSM Relationship Handbook|She saw the shallow lines beaded with blood in her long mirror, and when he told her that she was beautiful, she believed him.
J. Limbu|Sometimes life seems a dark tunnel with no light at the end, but if you just keep moving forward, you will end up in a better place.
Robert Morgan|I don't think poetry is something that can be taught. We can encourage young writers, but what you can't teach them is the very essence of poetry.
George E. Sargent, The Story Of Charles Ogilvie|Teach us to number our days, that we may gain a heart of wisdom.
Albert Camus|People can not be separated from their environment. Living consciousness is not an isolated unit. Human consciousness is increasing the order of the rest of the world and has an incredible power to heal ourselves and the world: in a certain sense we make the world as such, as we wish.
Nina Jean Slack|The heart that bleeds, knows true heartache.-Nina Jean Slack
Suzanne  Johnson, Pirateship Down|Something strange happens about dreams that Gloria has – the real world seems to get mixed up into the dreams and the dreams seem all the more real – with part of your mind you’re aware of what’s going on around you, but part of your mind is drifting and things start to get mixed up. What I’m trying to say is that the human mind has developed a safety valve and dreaming is really the unconscious mind (me in this case) clearing up the debris it has otherwise been unable to cope with on the conscious level – if this is so, then tonight’s dreams became like “a horror show” in which Gloria and I were literally imprisoned.”Gloria’s Helper
Galileo Galilei|It now becomes clear that consistency is not a property of a formal system per se, but depends on the interpretation which is proposed for it. By the same token, inconsistency is not an intrinsic property of any formal system.
Mary J. Ruwart|Our politicians tell us we are free, even though most governments take over 50% of what we earn. They claim we get services that we need for our hard-earned money, even though we could buy the same services at half the price from the private sector. Today, we ridicule the slave-owners' claim that they "gave back" to their slaves by housing, clothing, feeding them, and bestowing upon them the "benefits" of civilization instead of leaving them in their native state. We see this as a self-serving justification for exploitation. In the future, we will view being forcibly taxed to pay for things we don't want, such as bombs for the Middle East, subsidies for tobacco, other people's abortions, regulations that put small businesses out of business, prisons for people trying to feel good, keeping life-saving medications out of the hands of dying people, etc., as taking away our freedom. When even a small portion of our lives is spent enslaved, that part tends to dominate the rest of our time. If we don't put our servitude first as we structure the remainder of our lives, our masters will make sure we regret it. How much freedom do we need to survive and how much do we need to thrive?
Auliq Ice|Life is simple but if you don't put anything into it, you won't get anything out of it.
Bono|Sometimes you're sure dogs have some secret, superior intelligence, and other times you know they're only their simple, goofy selves.
Kimbal Musk|For about 175,000 people, Chiranjeevi Blood Bank has supplied blood for free in times of emergency. This is because of the service-oriented attitude of Mega fans.
J.R. Ward, Lover Awakened|As the middle child of the Laurel Canyon Adams Family, Whit was surprisingly chill on the subject of ampire-vays.
Joss Whedon|If you can't run, you crawl. If you can't crawl-- you find someone to carry you.
Johnny Rich|An unpublished writer should doubt themselves. They should constantly wonder whether what they’re creating has merit. And then, having doubted, they should take up their pen and see if they can’t make it better.
Carter Burwell|As an actor, particularly because I'm - I would call myself a character actor. I change my look, my physical appearance and my body, my hair color, my whatever all the time for a role.
Mike Ericksen, Upon Destiny's Song|In a matter of moments, I awakened to a life that wasn’t mine. It was like peering into a dark hidden world that I wasn’t supposed to know about and that my mind didn’t want to believe existed.
Akshay Vasu|We stand, gazing at each other, until Ivy moves again, pulling me into another super hug. But this time as my arms touch her waist, it somehow feels softer than before. I wish I could hold on forever.
Helen Keller, The Story of My Life: With Her Letters (1887 1901) and a Supplementary Account of Her Education Including Passages from the Reports and Letters of Her Teacher Anne Mansfield Sullivan by John Albert Macy|I began my studies with eagerness. Before me I saw a new world opening in beauty and light, and I felt within me the capacity to know all things. In the wonderland of Mind I should be as free as another [with sight and hearing]. Its people, scenery, manners, joys, and tragedies should be living tangible interpreters of the real world. The lecture halls seemed filled with the spirit of the great and wise, and I thought the professors were the embodiment of wisdom... But I soon discovered that college was not quite the romantic lyceum I had imagined. Many of the dreams that had delighted my young inexperience became beautifully less and "faded into the light of common day." Gradually I began to find that there were disadvantages in going to college. The one I felt and still feel most is lack of time. I used to have time to think, to reflect, my mind and I. We would sit together of an evening and listen to the inner melodies of the spirit, which one hears only in leisure moments when the words of some loved poet touch a deep, sweet chord in the soul that until then had been silent. But in college there is no time to commune with one's thoughts. One goes to college to learn, it seems, not to think. When one enters the portals of learning, one leaves the dearest pleasures – solitude, books and imagination – outside with the whispering pines. I suppose I ought to find some comfort in the thought that I am laying up treasures for future enjoyment, but I am improvident enough to prefer present joy to hoarding riches against a rainy day.
Cian Beirdd, Kediak of the Biainili|I take very few people seriously, and I'm not one of them.
Jean Rhys, Voyage in the Dark|An ache filled my chest, so sharp that I gasped out loud. Was this what a broken heart felt like? Was it possible to die from the pain? I’d always thought the girls at school so dramatic; when they broke up with their boyfriends, they cried and carried on for weeks. I didn’t think they needed to throw such a fuss. But I’d never been in love before.
Haruki Murakami, Norwegian Wood|Youth is as easily wasted as a fine wine consumed by a drunken man. There is no poetry in aging, and Javert lived out the process in its most hideous iteration.
Michael Zadoorian, The Leisure Seeker|Where have the years gone, Ruby Rose? Sometimes I have to stop and think about how old I am. When I wake up in the morning, before I move this tired old body or look in the blasted mirror, I swear I'm still a young man. It just feels like yesterday. I don't know how it's gone so fast.
Thomas F. Rogers, Let Your Hearts and Minds Expand: Reflections on Faith, Reason, Charity, and Beauty|To those who in their turn selectively handle Mormon history and discourage our probing it in a number of areas, one needs to say (or at least to ask): Haven’t we been, if anything, overly cautious, overly mistrustful, overly condescending to a membership and a public who are far more perceptive and discerning than we often give them credit for? Haven’t we, in our care not to offend a soul or cause anyone the least misunderstanding, too much deprived such individuals of needful occasions for personal growth and more in-depth life-probing experience? In our neurotic cautiousness, our fear of venturing, haven’t we often settled for an all-too-shallow and confining common denominator that insults the very Intelligence we presume to glorify and is also dishonest because, deep down, we all know better (to the extent that we do)? Isn’t our intervention often too arbitrary, reflecting the hasty, uninformed reaction of only one or a couple of influential objectors? Don’t we in the process too severely and needlessly test the loyalty and respect of and lose credibility with many more than we imagine? Isn’t there a tendency among us, bred by the fear of displeasing, to avoid healthy self-disclosure—public or private—and to pretend about ourselves to ourselves and others? Doesn’t this in turn breed loneliness and make us, more than it should, strangers to each other? And when we are too calculating, too self-conscious, too mistrustful, too prescriptive, and too regimental about our roots and about one another’s aesthetic, intellectual, and spiritual life, aren’t we self-defeating?
Chris Brown|Rhyme patterns are nothing without meanings to the words. A lot of rappers can do those flows, but the raps aren't really about anything - which is cool sometimes, but to have the flow and the message is one of my favorite things.
Sunday Adelaja|He who is born of God, overcomes the world
Henri Becquerel|It was the week after Easter holidays, and he was journeying along with Smart the mare and the light spring-cart, watching the damp slopes of the hill-sides as they steamed in the warmth of the sun, which at this unsettled season shone on the grass with the freshness of an occasional inspector rather than as an accustomed proprietor.
Anthony Liccione|The mind can fool the heart, as the heart can fool the mind.
Craig Krishna, The Labyrinth: Rewiring the Nodes in the Maze of your Mind|Meditation has also been proven scientifically to untangle and rewire the neurological pathways in the brain that make up the conditioned personality. Buddhist monks, for example, have had their brains scanned by scientists as they sat still in deep altered states of consciousness invoked by transcendental meditation and the scientists were amazed at what they beheld. The frontal lobes of the monks lit up as bright as the sun! They were in states of peace and happiness the scientists had never seen before. Meditation invokes that which is known in neuroscience as neuroplasticity; which is the loosening of the old nerve cells or hardwiring in the brain, to make space for the new to emerge. Meditation, in this sense, is a fire that burns away the old or conditioned self, in the Bhagavad Gita, this is known as the Yajna;“All karma or effects of actions are completely burned away from the liberated being who, free from attachment, with his physical mind enveloped in wisdom (the higher self), performs the true spiritual fire rite.
Akira Toriyama|She walked beside Jared, four inches of rain-dashed darkness between her hanging wrist and his.
Janet Kagan, Uhura's Song|we're looking for a planeet on the strength of a song. it's crazy I know, but its the only chance we have to do something useful." ...Evan Wilson said gravely "I think you're as crazy as Heinrich Schliemann - and you know what happened to him!""What" ..."you don't know what happened to him?" she asked her blue eyes widening in astonishment."Ever read Homer's Iliad, Captain?" ..."I don't know what translation you read Doctor, but there was no Heinrich Schliemann in mine - or in the Odyssey." "That depends on how you look at it." smiling she settled back into her chair and went on,"Heinrich Schliemann was from Earth, pre-federation days, and he read Homer too. No, not just read him, believed him. So he set out at his own expense-mind you, I doubt he could have found anyone else to fund such a crazy endeavor - to find Troy, a city that most of the educated people of his time considered pure invention on Homer's part." "And?""And he found it. Next time you're on earth, stop by the Troy Museum. the artifacts are magnificent, and every one of them was found on the strength of a song.
Robert Kennedy|Adroit geo-strategists take new realities into account as they try to imagine how global politics will unfold. In the foreign policy business, however, inertia is a powerful force and 'adroit' a little-known concept.
Martha Gellhorn|Our hearts are light and gay because now its happening, we're starting, we're travelling again.
Sharon Lovejoy, Running Out of Night|Lush, detailed, total-immersion storytelling.–Kirkus Review
Daniel Radcliffe|Economics has many substantive areas of knowledge where there is agreement, but also contains areas of controversy. That's inescapable.
Mandy Len Catron, How to Fall in Love with Anyone: A Memoir in Essays|Love stories have endings, but love itself is ongoing and continually warped and renewed by the people who do the loving.
Ken Ilgunas, Walden on Wheels: On the Open Road from Debt to Freedom|Toad must have been very accustomed to traveling this way, balanced on the back rails of a rushing buggy, but Melena was not. She gripped the sides and white-knuckled the rails with her knapsack sandwiched between her knees. Hazel was clamped onto the roof, grinning like an alligator in the sun. And Toad lounged like a cat.
Nadia Giosia|From the described experiment it is clear that the mere act of eating, the food even not reaching the stomach, determines the stimulation of the gastric glands.
J.R.R. Tolkien, The Hobbit|Do you wish me a good morning, or mean that it is a good morning whether I want it or not; or that you feel good this morning; or that it is a morning to be good on?
Giuseppe Zanotti|This quarterback Weeden can drive the ball down field. He's a thing of beauty on throwing a football. His passing motion and his arm, frankly, you won't see a more gifted passer, power, accuracy, the entire aspect of it.
Oscar Wilde|Briefly summarising, we can express the proposed law thus: consciousness is bound up with learning in organic substance; organic competence is unconscious. Still more briefly, and put in a form which is admittedly rather obscure and open to misunderstanding: Becoming is conscious, being unconscious.
David Harsanyi|I rent a Jacobean-fronted hunting lodge in Hampshire from the National Trust and like to go there as much as possible. I've grown to love it so much, especially when writing my memoirs there at weekends.
Omar N. Bradley|I start with the premise that the function of leadership is to produce more leaders, not more followers.
Franz Wright, Kindertotenwald: Prose Poems|This is no occupation for an adult who can look other adults in the eye, carry his own weight, and count himself one of them.
Candace Bushnell, Trading Up|Young people think they never can change, but they do in the most wonderful manner, and very few die of broken hearts.
Sharon Biggs Waller, A Mad, Wicked Folly|Oh, I didn't think it wise to hide it. Might not be able to find it again," I say, cheerily. "It's sitting in plain view on your chair in the great hall. I do hope that was the best place for it.
Eric Diehl|I would rather never make a penny on book sales and know that many had derived some fair pleasure from my writing, than to know that very few had ever taken a chance on my work. I certainly won't last forever, but I'd love to think that my imagination will continue to surface in the minds of others.
Ron Brackin|The door opens, and I turn my head, my heart thudding at the sight of Griffin. Tall, broad, muscular but sleek, he stalks into the room like a predator, his gait balanced and sure, his glittering, gray eyes focused entirely on me. Inky hair, a hawkish nose, that stubborn jaw, and thick, black stubble make him look hard and intimidating. With his sword strapped on and his dark brows lowered, he’s a warlord on the prowl.	I shiver. I couldn’t want him more.
S. Joel Garver|we live our lives from the "inside", from the vantage point of our own personal mini-cam on life. This gives us privileged access to what's going on inside our own heads. But sometimes we can be too close to ourselves to see us as we truly are. We lack perspective, objectivity. That's where friends can help. Friends can tell you when you're selfish or rude or making a total fool of yourself. Conversely, they can let you know when you're being kind or generous or need to lighten up on yourself.
Ester Buchholz|Others inspire us, information feeds us, practice improves our performance, but we need quiet time to figure things out, to emerge with new discoveries, to unearth original answers.
Mark Hyman|The food here is terrible, and the portions are too small.
Shannon L. Alder|If you're stressing over happiness, you're doing it wrong!
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|May you find renewed energy, courage and hope to pursue new adventures.
Gary   Hopkins|...some men are born out of their due place. Accident has cast them amid certain surroundings, but they have always a nostalgia for a home they know not.
Chaim Potok, In the Beginning|I will go wherever the truth leads me. It is secular scholarship, Rebbe; it is not the scholarship of tradition. In secular scholarship there are no boundaries and no permanently fixed views.”Lurie, if the Torah cannot go out into your world of scholarship and return stronger, then we are all fools and charlatans. I have faith in the Torah. I am not afraid of truth.
Stan Tatkin, Wired for Love: How Understanding Your Partner's Brain and Attachment Style Can Help You Defuse Conflict and Build a Secure Relationship|The couple bubble is an agreement to put the relationship before anything and everything else. It means putting your partner's well-being, self-esteem and distress relief first. And it means your partner does the same for you. You both agree to do it for each other. Therefore, you say to each other, "We come first." In this way, you cement your relationship. It is like making a pact or taking a vow, or like reinforcing a vow you already took with one another.
Terry Tempest Williams, When Women Were Birds: Fifty-four Variations on Voice|When I said, “I am my mother, but I’m not,” I was saying my path would be my own.
Pittacus Lore, I Am Number Four|No. Don't give up hope just yet. It's the last thing to go. When you have lost hope, you have lost everything. And when you think all is lost, when all is dire and bleak, there is always hope.
Alberto Caeiro, The Collected Poems of Alberto Caeiro|On a whitely cloudy day I get sad, almost afraid,And I begin to meditate about problems I make up.
Edward M. Hallowell, Dare to Forgive: The Power of Letting Go & Moving on|Forgiveness is not turning the other cheek. Forgiveness is not running away. Forgiveness does not mean that you condone what the person has done, nor does it mean that you invite them to do it again. It doesn't mean that you forget the offense, nor does it mean that by forgiving you tacitly invite bad things to happen again. It doesn't mean that you won't defend yourself.
J.F. Baldwin|The question is not, who uses faith and who uses reason? Everyone uses both. The question instead should be, who has the most reasonable faith?
Jadah McCoy, Artificial|In return, Giovanni told me that empathizing Italians say L'ho provato sulla mia pelle, which means 'I have experienced that on my own skin.' Meaning, I have also been burned or scarred in this way, and I know exactly what you're going through.
Gong Li|Every baseball crowd, like every theatre audience, has its own distinctive attitude and atmosphere.
Ian Ségal, Castling the Crowns|So How Much of a THING or THINGS is Enough? And if you have EVERYTHING, have you achieved perfect HAPPINESS?
Philip K. Dick, Confessions of a Crap Artist|Why was it considered normal for a girl to live for fashion and makeup, but not car engines or bugs? And what about sports fanatics? My mom had a boyfriend who would flip out if he missed even a minute of a football game. Wouldn't that be what doctors considered autistic behavior?
Kurt Vonnegut Jr., Cat's Cradle|I have been thinking about the idea of excuses for some time now. They are like menacing demons that creep into our lives without us knowing. They are roadblocks, white lies to ourselves, a reason to set the bar lower, and self-justification for achieving less than our full potential.
C. JoyBell C.|I have realized; it is during the times I am far outside my element that I experience myself the most. That I see and feel who I really am, the most! I think that's what a comet is like, you see, a comet is born in the outer realms of the universe! But it's only when it ventures too close to our sun or to other stars that it releases the blazing "tail" behind it and shoots brazen through the heavens! And meteors become sucked into our atmosphere before they burst like firecrackers and realize that they're shooting stars! That's why I enjoy taking myself out of my own element, my own comfort zone, and hurling myself out into the unknown. Because it's during those scary moments, those unsure steps taken, that I am able to see that I'm like a comet hitting a new atmosphere: suddenly I illuminate magnificently and fire dusts begin to fall off of me! I discover a smile I didn't know I had, I uncover a feeling that I didn't know existed in me... I see myself. I'm a shooting star. A meteor shower. But I'm not going to die out. I guess I'm more like a comet then. I'm just going to keep on coming back.
M.J. O'Shea|Spinning, flying, dreaming, falling, Running when I hear you calling, Even when you’re far from reach, I still can’t catch my breath.”Elliot paused and let Chris’s guitar echo for a long moment before he practically whispered the final line into his microphone.“The one you took from me….
Thomm Quackenbush, Artificial Gods|She was not the sort of woman guys settle for. She was the one they lust after and strive for. She was the one who ruins other people's relationships simply by existing, but she will always be surmounted as guys come to realize the virtues of the approachable girl next door. She was, in brief, too pretty to be trusted or had.
Mehmet Murat ildan, Galileo Galilei|Religion now has degenerated and it has turned into a wolf; it has opened its mouth to show his ugly teeth; its spreading fear instead of love; and science has hidden in a corner like a lamb, trembling with fear!
Lailah Gifty Akita|Desire, Desire, Desire!!!Desire to love.Desire to seek.Desire to ask.
Donna Grant, Dark Alpha's Embrace|Kyran was a Dark Fae, but that's not what she saw when she loo9ked at him. She saw a man who was devoted to his friends and his cause. She saw a man who was haunted by his past.	She saw a man who made her think of the future.
Nichol Bradford, The Sisterhood|By their hands, we succeed. By their arrogance, we prosper. They believed we would always play the game. Blocked by their certainty of our inferiority, they never imagined we would cease to collaborate in our own oppression.
James Surowiecki|If you work for Google or Apple, stock options give you a chance to share in the increasing value of the company. In the N.F.L., nothing like this happens; the players, though rich, are just working stiffs like the rest of us.
Fabrizio Moreira|What's been missing from regions outside of Silicon Valley is a 'playbook.' In American football, a playbook contains a sports team's strategies and plays. It struck me that every region needs its own industry playbook on how to compete globally.
Julian Barnes, The Sense of an Ending|You'll wake up one day and find you're almost forty, and you haven't done any of the things you wanted. That you let in so many voices when you were trying to make decisions, instead of listening to the One voice that mattered, that you never decided anything at all.
Alessia Cara|Solyndra's failure isn't a reason for the government to give up on alternative energy, any more than the failure of Pets.com during the Internet bubble means that venture capital should steer clear of tech projects.
Vladimir Nabokov|When silence greeted her question, she looked at Caine—for that was how he saw himself in that moment and in all the moments after: his brother’s murderer.
Karl Marx|I deeply believe that if the Australian Labor Party, a party of which I have been a proud member for more than 30 years, is to have the best future for our nation, then it must change fundamentally its culture and to end the power of faceless men. Australia must be governed by the people, not by the factions.
Dan Gemeinhart, The Honest Truth|Macadamia nuts can be fatal to dogs, sometimes causing seizures and kidney failure.
Billy Graham, Billy Graham in Quotes|Life can grow sweeter and more rewarding as we grow older if we possess the presence of Christ. Sunsets are always glorious. It is Christ who adds colors, glory, and beauty to man’s sunsets.
Samuel R. Delany, Dhalgren|We're all stories in the end. Just make it a good one, eh ?
Sunday Adelaja|Men of honor, men of God in a healthy society, stand in defense of justice
Rick Riordan, The Red Pyramid|She blinked. "Hmm? Oh, don't care. What did Anubis look like to you?""What did... he looked like a guy. So?""A good-looking guy, or a slobbering dog-headed guy?""I guess... Not the dog-headed guy.""I knew it!" Sadie pointed at me as if she'd won an argument."Good-looking. I knew it!"And with a ridiculous grin, she spun around and skipped into the house. My sister, as I may have mentioned, is a little strange.
Wiz Khalifa|Oh my God, I sweat so much! You have to keep deodorant in your purse and use those deodorising wipes that cool you off a bit.
Elisabeth Elliot, Passion and Purity: Learning to Bring Your Love Life Under Christ's Control|If we hold tightly to anything given to us unwilling to allow it to be used as the Giver means it to be used we stunt the growth of the soul. What God gives us is not necessarily "ours" but only ours to offer back to him, ours to relinguish, ours to lose, ours to let go of, if we want to be our true selves. Many deaths must go into reaching our maturity in Christ, many letting goes.
J.R. Ward, The Black Dagger Brotherhood: An Insider's Guide|Personally, I think so-called "common language" is more interesting and apropos than "proper English"; it's passionate and powerful in ways that "wherefore art thou ass and thy elbow" just isn't.
Ana Claudia Antunes|Most of my novels were developped from dreams I had. A dreamer I AM! Literally , at 1 AM. A dream with 140 characters is to dream an impossible dream. Too many characters to develoo from it. But in twitter that worked just fine for me,
Lynsey Addario|One of the disadvantages of poetry over popular music is that if you write a pop song, it naturally gets into people's heads as they listen in the car. You don't have to memorize a Paul Simon song; it's just in your head, and you can sing along. With a poem, you have to will yourself to memorize it.
Dan Abnett, Doctor Who: The Silent Stars Go By|Rebuild your world, rebuild your race, rebuild your empire. Rebuild it all. But make sure you rebuild your ideals too. Rebuild the principles that made you a great and honorable galactic power in the first place. Don't prey on the weak. Don't steal from the helpless. Don't murder the innocent. Be a force for good, not a force for yourself.
Khaled Hosseini, The Kite Runner|The problem, of course, was that [he] saw the world in black and white. And he got to decide what was black and what was white. You can't love a person who lives that way without fearing him too. Maybe even hating him a little.
Felicia Day, You're Never Weird on the Internet|They focused a large amount of their wrath on people trying to add dialogue about feminism and diversity in gaming, condemning them as “Social Justice Warriors.” (That label was always so weird to me, because how is that an insult? “Social Justice Warrior” actually sounds pretty badass.)
Ralph Waldo Emerson, Nature|Language can only deal meaningfully with a special, restricted segment of reality. The rest, and it is presumably the much larger part, is silence.
Christina Milian|I fell in love with stories watching a British television puppet show called 'Thunderbirds' when it first came out on TV, about 1965, so I would have been 4 or 5 years old. I went out into the garden at my mom and dad's house, and I used to play with my little dinky toys, little cars and trucks and things.
미프진판매 홈피:bbh.ow.to  ✉✉✉카톡:EEE388 텔레:EEE388|Time equals life; therefore, waste your time and waste of your life, or master your time and master your life.
Curious George Brigade, Anarchy in the Age of Dinosaurs|Accident - A statistical inevitability. Some nuclear power plants are built on fault lines, but ever mine, dam, oil rig, and waste dump is founded upon a tacit acceptance of the worst-case scenario. One a long enough timeline, everything that can go wrong will, however small the likelihood is from one day to the next. The responsible parties may wring their hands about the Fukushima meltdown - and the Gult of Mexico oil spill, and the Exxon Valdez, and Hurricane Katrina, and Chernobyl, and Haiti - but accident is no accident.
Fyodor Dostoyevsky, Crime and Punishment|and Billy rolled in. “Thought you might like some wake-up.” Bingo,
Matthew Desmond|There is a deep connection, when we're talking about certain market forces and a legal structure that inhibits low or moderate income families from getting ahead. Eviction is part of a business model at the bottom of the market.
Maya Thiagarajan, Beyond the Tiger Mom: East-West Parenting for the Global Age|While some American education experts may say that all learning should be 'fun,' I personally believe that the word "fun' is the wrong word to use. Learning should be challenging, meaningful, rigorous, engrossing, interesting, and satisfying.
Sarah Caudwell, The Sibyl in Her Grave|I should explain — in view of my last letter, you may find it slightly surprising — that Daphne and I are now bosom friends. That is to say, she seems to think we are; and I do not feel that I know her well enough to dispute it.
Virginia  Martin, Faith Without Borders: A Devotional to Inspire You to Step Out in Faith.|Hope is the light that flickers and burns eternally, when you remain steadfast with faith.
R.J. Palacio, Wonder|no, no, it's not all random, if it really was all random, the universe would abandon us completely. and the universe doesn't. it takes care of its most fragile creations in ways we can't see. like with parents who adore you blindly. and a big sister who feels guilty for being human over you. and a little gravelly-voiced kid whose friends have left him over you. and even a pink-haired girl who carries your picture in her wallet. maybe it is a lottery, but the universe makes it all even out in the end. the universe takes care of all its birds.
Debasish Mridha|The mind is the treasury for knowledge, but the heart is the treasury for love and kindness.
Cheryl Sterling, What Do You Say to a Naked Elf?|The stone blurred. The hole expanded to twice its previous size. Unable to believe she’d actually changed its shape, Jane threw all her weight into the next effort.An opening the size of a refrigerator formed and stabilized.Jane blinked in surprise. She looked over to Muttle. He smiled, delight dancing across his face.“Well, bless my buttons,” she exclaimed. “Come on, Scarecrow, we’re off to see the Wizard.” Taking her rescuer’s hand, she walked through the gap.
Henry Ward Beecher|It's not beauty but fine qualities, my girl, that keep a husband.
Anthony de Mello, Awareness: Conversations with the Masters|The only way someone can be of help to you is in challenging your ideas. If you're ready to listen and if you're ready to be challenged, there's one thing that you can do, but no one can help you. What is this most important thing of all? It's called self-observation.
Tom Felton|I really liked the snake that breaks out of the cage in the beginning of the movie. I saw it in real life, and it was really cool. Really big and fat. The owls are cool as well, but you can't really pet them.
Edward M. Kennedy|The work goes on, the cause endures, the hope still lives and the dreams shall never die.
John of Kronstadt|Every man on earth is sick with the fever of sin, with the blindness of sin and is overcome with its fury. As sins consist mostly of malice and pride, it is necessary to treat everyone who suffers from the malady of sin with kindness and love. This is an important truth, which we often forget. Very often we act in the opposite manner: we add malice to malice by our anger, we oppose pride with pride. Thus, evil grows within us and does not decrease; it is not cured – rather it spreads
Brenda Perlin, Shattered Reality|I was physically attacked by a woman who didn’t even know me. Yes, my boyfriend was her former husband, but she tried to ruin me.
Tina Carreiro, Power of the Moon|We all have scars, Mia; they are supposed to make you stronger, not paralyze you.” ~Cole
Janet O. Hagberg, The Critical Journey: Stages in the Life of Faith|We cannot escape most of the crises in our lives, nor should we. In fact, these events frequently provide the energy for movement on our spiritual journey, even when we are stuck along the way... we ask questions about our own life. We wonder about meaning. Our present view may become inadequate. We ask deeper questions. Even joyful experiences can propel us forward.
Raimbaut de Vaqueyras|You ever get the feeling your life is a string festooned with bells and tie4d to hundreds of others you don't know anything about? And that sometimes somebody pulls their string, and your bells ring?" Gary looked at me a long moment before rather gently saying, "Yes and no, darlin'. We all get that feeling from time to time. Difference is, with you, it could be real.
Steve Martin, An Object of Beauty|His father had always said, Son, the most important thing in life is to make a contribution. Who would have thought Kittridge’s contribution would be video-blogging from the front lines of the apocalypse?
Cecelia Ahern, Flawed|When you break something, you´re not just breaking the thing, you´re like hurting everyone who made it was.
Ralph Waldo Emerson|Because we were not in our country, we could not use our own languages, and so when we spoke our voices came out bruised.
Toba Beta, My Ancestor Was an Ancient Astronaut|If you want to be sure of unusual thing such as aliens or UFOs, then you have to think about it from an unusual way of thinking.
Thomas Nagel|In 1983, before computers came along, it wasn't easy to do electronic basslines and rhythms.
|When you start to focus on your daily positive experiences, you would surely come to realize that there is always something to be thankful for each day.
Nadja Sam|With or without 'college' we are able to use our senses by perceiving the world around us, that in turn shapes and creates ones own reality. Perception is reality. My 'reality' is not the same as your 'reality' since we all have a different mental database, life experience, physiology, different characteristics, environments we grew up and people we hang out with, etc. I might fall in love with a certain smell while it triggers bad memories for someone else. Same goes for the other senses while perceiving 'reality'. And how real is this so called 'reality' anyway? Our senses can be quite limited compared to a camera or other living creatures on the planet. There are sounds and colours humans can not detect with their senses. We in fact do not perceive the whole 'picture'. The most important things in life are unseen. My point is that we do not need hierarchic, indoctrinating, and capitalized institution called 'science' to tell us what, when, why, and how to think, experiment, sense, and live our lives. Long before there was any 'science', there was sense first.
Virginia Woolf, The Common Reader|Let us record the atoms as they fall upon the mind in the order in which they fall, let us trace the pattern, however disconnected and incoherent in appearance, which each sight or incident scores upon the consciousness. Let us not take it for granted that life exists more fully in what is commonly thought big than in what is commonly thought small.
Tali Alexander, Lost in Rewind|Every part of you was made for me. Your lips were made to kiss mine, your eyes were made to wake up to me looking at you in my bed every morning, and your fucking tongue was made to roll my name off of it. I am more certain of us than I'm certain I require oxygen to breathe.
Toni Blake, Half Moon Hill|We don't always get what we want. And sometimes, when we do, it's not worth the price.
Rene Denfeld, The Child Finder|Ever console or scold people hurt in human relationships that satisfaction comes from God alone? Stop. Adam's fellowship with God was perfect, and God Himself declared Adam needed other humans.
Simon Sebag Montefiore, Stalin: The Court of the Red Tsar|Where does it hurt? She lifted her fingers to her cheekbone. Here.He moved slightly to place a soft, gentle kiss against the bruise.And here, she said, touching her forehead.He kissed her again.And here … She put her fingers to her mouth.
Virginia Woolf, Orlando|I would rather sit on a pumpkin, and have it all to myself, than be crowded on a velvet cushion.
Susan Dishell, The Little Buddha|When it comes to happiness, there is a choice to be made, let go of negativity, do not let your light fade.﻿
Donald L. Hicks, Look into the stillness|To make mistakes or be wrong is human. To admit those mistakes shows you have the ability to learn, and are growing wiser.
Vladimir Nabokov, American Fantastic Tales: Terror and the Uncanny from the 1940's Until Now|It hardly mattered. She was tired of waiting for him to acknowledge who he was. Tired of donning a false mask of gaiety when she was so much more—felt so much more—beneath. No one had ever noticed her mask. No one but him. If he couldn’t or wouldn’t make the first move, then damn it, she would.
Henry Fairfield Osborn|Evolution on the large scale unfolds, like much of human history, as a succession of dynasties.
Joshua Wimbush|Depression is not the lack of happiness, it' the imbalance of it.
bell hooks, Killing Rage: Ending Racism|While it is positive for young black males and females to learn discipline and self-responsibility, those attitudes, values, and habits of being can be taught with pedagogical strategies that are liberatory, that do not rely on coercive control and punishment to reinforce positive behavior.
