Michael Pollan, The Omnivore's Dilemma: A Natural History of Four Meals|a man who was, as we say in the restaurant business, one taco short of a combo platter.
Lettie Prell|I must write now and quickly, before I begin to prefer the perfect version that lives in my head.
Petra Hermans|If your faith is genuine, then you meet your responsibilities, fulfill your obligations, and wait until you are found. It will come. If not to you, then to your children, and if not to them, then to their children.
Archibald Hill|The amount of meetings I've been in - people would be shocked. But that's how you gain experience, how you can gain knowledge, being in meetings and participating. You learn and grow.
Anthony de Mello|If what you seek is Truth, there is one thing you must have above all else.” “I know. An overwhelming passion for it.” “No. An unremitting readiness to admit you may be wrong.
Marianne Williamson|Fear? If I have gained anything by damning myself, it is that I no longer have anything to fear.
Billy Graham, Billy Graham in Quotes|It often takes a tragedy to open our hearts, minds, and wills to the truth of God’s Word.
Official Barbie Michelle|Let me tell you-no, let me quietly explain to you: the percentage of this school is no higher than that at your present school; the only difference is that this group TRIES harder, therefore it achieves more. You, as most mortals in this world do, fall into a middle or average category with respect to brains, abilities or what have you - and that is not the worst place to be, believe me. However when you join a school or group of this caliber, your work patterns and efforts automatically move up in such a way that you hardly notice because YOU ARE GOING ALONG WITH THE TIDE - one that is NOT going out.
Alex Scarrow, The Eternal War|I wanted you to see something about her—I wanted you to see what real courage is, instead of getting the idea that courage is a man with a gun in his hand. It’s when you know you’re licked before you begin but you begin anyway and you see it through no matter what. You rarely win, but sometimes you do. Mrs. Dubose won, all ninety-eight pounds of her. According to her views, she died beholden to nothing and nobody. She was the bravest person I ever knew.
Sarah J. Maas, A Court of Wings and Ruin|You belong to all of us, and we belong to you.
Mark Warner|The way we're really going to grow the economy is to invest in people, to invest in innovation, to have the federal government put money in the kind of research that will create the new high-technology, biotechnology industries that will create the millions of new jobs.
Erica Sehyun Song, The Pax Valley|I told you; I am Arianna, the Siren, your Guardian, and how is a Guardian supposed to do her job if she is clueless about the Guardianee?
Louise Slaughter|A man's natural rights are his own, against the whole world; and any infringement of them is equally a crime, whether committed by one man, or by millions; whether committed by one man, calling himself a robber, (or by any other name indicating his true character,) or by millions, calling themselves a government.
Keira D. Skye|Mira Levenson. Aged twelve. Looks, long dark shiny hair, dark brown eyes (almost black), brown skin. Beautiful. Favorite colour, copper orange, I think. Personality, clever, bright, serious, shy, funny without realizing it, holds back her thoughts, mystery girl, arty. What I've noticed: she's stronger than she thinks she is; she doesn't speak much ay school. What I know: she's got a loud laugh (when she lets it out). Her best friend is Millie Lockhart. She doesn't need Millie as much as she thinks she does. Her grandmother is dying and she loves her. She started talking in Pat Print's class. I know she doesn't know how much I think of her, how much I miss her if she's not around. What I think she thinks about me is that I'm a bit of a joker, but I'm deadly serious.Deer...apple...green...sea...See you on Friday!LoveJidé
Olive Ann Burns, Cold Sassy Tree|Grandpa had made the Lord seem so real, I wouldn't of been surprised if he'd said good night to Him. But after a long pause he just said a-men.
Noël Coward|In the timeless and universal manner of authors conversing in public places, he did not fail to mention its title, “Volume III of Principia Mathematica entitled, The System of the World, available shortly, where books are sold.
Carew Papritz|However, now she was a schoolgirl no longer. She had discovered how to manage her hair, had been to one or two parties and a night club, and laid on lipstick with the idea that each layer was a layer of sophistication.
Terry Pratchett|Like most uneducated Englishwomen, I like reading--I like reading books in the bulk.
Shaye Evans, Seduction Squad|Mmm, carry me.”I laughed, reaching for my sweatpants. “I carry girls, boys, and women, not fully grown capable men.”“Slacker.” He grinned, shoving me.
Kris Vallotton|If we will just believe and act accordingly, all circumstances and situations, no matter how hopeless they appear, would change.
Michael Davidow, The Rocketdyne Commission|And when you fall, because you always do fall. When you swim for the beach to catch your board. There’s peace to be found in the shoreward pull with every passing wave.
Terry Spear, Forbidden Love|No. I don’t give that number out to every Tom, Dick and Dracula,” Morgan muttered.
Cherie Lunghi|Crying is cleansing. There's a reason for tears, happiness or sadness.
Young Jeezy|Typically, if you reward something, you get more of it. You punish something, you get less of it. And our businesses have been built for the last 150 years very much on that kind of motivational scheme.
Herb Ritts|My mother was keen that I complete my graduation and never ever wanted me to be in the movies, as my father had made five films that lost money. One of the films he made was 'Agneepath,' which was hugely hyped but underwhelming at the box office, and I remember that my dad had to sell my grandmother's flat to pay off the loan.
Tamara Thiel, Random Musings of a Curious Soul|If I wanted to be free of this unrequited longing, I would have to make peace with the past and finally let go. There was no way around it. But did I want to be free of it - and him?
Kahlil Gibran, The Garden of The Prophet|Pity the nation that is full of beliefs and empty of religion. Pity the nation that wears a cloth it does not weave and eats a bread it does not harvest. Pity the nation that acclaims the bully as hero, and that deems the glittering conqueror bountiful. Pity a nation that despises a passion in its dream, yet submits in its awakening. Pity the nation that raises not its voice save when it walks in a funeral, boasts not except among its ruins, and will rebel not save when its neck is laid between the sword and the block. Pity the nation whose statesman is a fox, whose philosopher is a juggler, and whose art is the art of patching and mimicking Pity the nation that welcomes its new ruler with trumpeting, and farewells him with hooting, only to welcome another with trumpeting again. Pity the nation whose sages are dumb with years and whose strongmen are yet in the cradle. Pity the nation divided into fragments, each fragment deeming itself a nation.
Abha Maryada Banerjee, Nucleus: Power Women: Lead from the Core|Done and over with ... weeding is a must, it's necessary!
Russell Simmons, Success Through Stillness: Meditation Made Simple|Your name?" George asked him directly. He had probably seen the man a dozen times before yet did not know anything about him. King Davit would have no doubt have known half the man's history already."Henry."George took Henry's hand firmly in his own and looked into his eyes. This had to be done delicately, to make sure this Henry did not think him a fool. He tried to think of how his father would do it."Thank you, Henry, for your concern. It is a comfort to know I am so well guarded. I will make sure to praise you when next I speak to the lord general. But for now I think there is no need to worry.
Nikki Rosen, Dancing Softly|Secrets aren’t the same as lying,' Vaughn commented, because they both had the muddiest of ethics, which was an odd thing to have in common.
Albert Schweitzer|Until he extends the circle of his compassion to all living things, man will not himself find peace.
Chris Coppernoll, A Beautiful Fall|If none of us ever fell short, or put a foot astray, everything would be good in this great world, but we stumble and fall, every one. We must deal with what we have." - Cadfael, Pg. 245-6
Richelle E. Goodrich, Slaying Dragons|My temperament and my instinct had told me alike that the author, who writes at his own emergency, remains and needs to remain at his private remove. I wished to be, not effaced, but invisible - actually a profound position. Perspective, the line of vision, the frame of vision - these set a distance.
Henry Spencer|Supplying fuel for a Mars expedition from the lunar surface is often suggested, but it's hard to make it pay off - Moon bases are expensive, and just buying more rockets to launch fuel from Earth is relatively cheap.
Mitch Albom, For One More Day|Now you know how badly someone wanted you, Charley. Children forget that sometimes. They think of themselves as a burden instead of a wish granted.
William Keepin, Divine Duality: The Power of Reconciliation Between Women and Men|In gender reconciliation groups, we collectively reach for an unknown power or grace that has a healing potential far beyond our own capabilities or understanding. We invite this power and presence, knowing from experience that something transcendent and universal can and does work through us and it dwarfs our own mechanisms for healing, thinking, fixing, and/or reconstructing what needs to be healed.
Gift Gugu Mona|Any leadership that is observant and committed to its people, will always find better ways to solve problems.
Alanis Morissette|Half the battle is that people have to like you before you say one joke, one bit of humor.
Laura Andersen, The Boleyn Deceit|It was so cold. In the monastery. Sometimes the wind came from the sea with ice in it... It could freeze the skin off your face. Once the snow was so deep we couldn't get out of the doors to the woodshed. A monk jumped from a window. He sank into a drift and took a long time to get up. That night, they made me sleep next to the stove. I was small, thin, like a piece of birch bark. But then the Stove went out.Father Bernard took me into his cell... It was he who first gave me chalk and paper. He was so old his eyes his eyes looked as if he was crying. But he was never sad. In winter he had fewer blankets than the others. He said he didn't need them because God warmed him.(...)But even Father Bernard was cold that night. He laid me down on the bed next to him, wrapped me in an animal skin, then in his own arms. He told me stories about Jesus. How His love could wake the dead and how with Him in one's heart one could heat the world... When I woke it was light. The snow had stopped. I was warm. But he was cold. I gave him the skin but his body was stiff. I didn't know what to do. I got out a piece of paper from his chest under the bed and drew him, lying there. His face had a smile on it. I knew that God had been there when he died. That now He was in me, and because of Father Bernard I would be warm forever.
Jack White|Music is what I have to do, I only answer the questions so that I can do it.
Ninon de L'Enclos|Sure, 'An Inconvenient Truth' was my first documentary. What a wonderful experience. I saw Al Gore doing his slideshow presentation, and had this nutty idea that we had to make a movie out of it.
Sally Ember, This Changes Everything|Why won’t you look at me?” she murmurs.He doesn’t speak, seemingly at a loss for words.“It’s my scars.” It comes out as barely a whisper.Horror spasms across his face. “What? No,” he says, a bit breathless. “You’re beautiful. All of you.
Gyalwa Dokhampa, The Restful Mind|Whatever you now do, whatever you now believe, whatever your current circumstances may be, you are perfectly equipped and fully capable of fulfilling your needs and desires.
Angie karan|As all the rivers run into the sea, so all delights centre in our Beloved.
Stewart Butterfield|In the first speech I delivered as health secretary, I made one thing perfectly clear: we need a cultural shift in the NHS: from a culture responsive mainly to orders from the top down to one responsive to patients, in which patient safety is put first.
Annie Dillard, Teaching a Stone to Talk: Expeditions and Encounters|We teach our children one thing only, as we were taught: to wake up. We teach our children to look alive there, to join by words and activities the life of human culture on this planet's crust. As adults we are almost all adept at waking up. We have so mastered the transition we make a hundred times a day, as, like so many will-less dolphins, we plunge and surface, lapse and emerge. We live half our waking lives and all of our sleeping lives in some private, useless, and insensible waters we never mention or recall. Useless, I say. Valueless, I might add — until someone hauls their wealth up to the surface and into the wide-awake city, in a form that people can use.
Debasish Mridha|Like our muscles, our thinking power grows when we struggle.
Vonnie Davis, Bearing It All|The little woman, wearing a pink and black zigzag-striped pantsuit over a black turtleneck, resembled a skinny zebra who'd OD'd on Pepto-Bismol.
John Flanagan, The Tournament at Gorlan|Halt glared at his friend as the whistling continued.'I had hoped that your new sense of responsibly would put an end to that painful shrieking noise you make between your lips' he said.Crowley smiled. It was a beautiful day and he was feeling at peace with the world. And that meant he was more than ready to tease Halt 'It's a jaunty song''What's jaunty about it?' Halt asked, grim faced. Crowley made an uncertain gesture as he sought for an answer to that question.'I suppose it's the subject matter' he said eventually. 'It's a very cheerful song. Would you like me to sing it for you?''N-' Halt began but he was too late, as Crowley began to sing. He had a pleasant tenor voice, in fact, and his rendering of the song was quite good. But to Halt it was as attractive as a rusty barn door squeaking.'A blacksmith from Palladio, he met a lovely lady-o''Whoa! Whoa!' Halt said 'He met a lovely lady-o?' Halt repeated sarcastically 'What in the name of all that's holy is a lady-o?''It's a lady' Crowley told him patiently.'Then why not sing 'he met a lovely lady'?' Halt wanted to know.Crowley frowned as if the answer was blatantly obvious."Because he's from Palladio, as the song says. It's a city on the continent, in the southern part of Toscana.''And people there have lady-o's, instead of ladies?' Asked Halt'No. They have ladies, like everyone else. But 'lady' doesn't rhyme with Palladio, does it? I could hardly sing, 'A blacksmith from Palladio, he met his lovely lady', could I?''It would make more sense if you did' Halt insisted 'But it wouldn't rhyme' Crowley told him.'Would that be so bad?''Yes! A song has to rhyme or it isn't a proper song. It has to be lady-o. It's called poetic license.''It's poetic license to make up a word that doesn't exist and which, by the way, sound extremely silly?' Halt asked.Crowley shook his head 'No. It's poetic license to make sure that the two lines rhyme with each other'Halt thought for a few seconds, his eyes knitted close together. Then inspiration struck him.'Well then couldn't you sing 'A blacksmith from Palladio, he met a lovely lady, so...'?''So what?' Crowley challengedHalt made and uncertain gesture with his hands as he sought more inspiration. Then he replied. 'He met a lovely lady, so...he asked her for her hand and gave her a leg of lamb.''A leg of lamb? Why would she want a leg of lamb?' Crowley demanded Halt shrugged 'Maybe she was hungry
Irving Berlin|Got no checkbooks, got no banks. Still I'd like to express my thanks - I've got the sun in the mornin' and the moon at night.
Stephen King, Duma Key|It is said that there exist parallel worlds in which all other possible realities occur. Every decision we could ever make exists as a unique reality in which that decision is made. Of course you can imagine that the possibilities existing for any single person are immense. But what about the facts? What really happens. Since this really depends on others, what you get is... it. Limited. It. This is it.
J.K. Rowling, Harry Potter and the Half-Blood Prince|When you have seen as much of life as I have, you will not underestimate the power of obsessive love.
Odette Beane, Reawakened|But doesn't love cause too much pain?" she said. "To be worth it?" "It causes pain, indeed," Grumpy said. "But it's worth it. It's a good pain.
Fulton J. Sheen, Life of Christ|The only cross in all of history that was turned into an altar was the cross on which Jesus Christ died. It was a Roman cross. They nailed Him on it, and God, in His majesty and mystery, turned it into an altar. The Lamb who was dying in the mystery and wonder of God was turned into the Priest who offered Himself. No one else was a worthy offering.
Justin Townes Earle|I love doing demonstrations. I think to be a great chef you have to be a great teacher. I love doing classes with people who love food and enjoy food, bringing them all around one table so to speak.
Kahlil Gibran|When you love you should not think you can direct the course of love, for love, if it finds you worthy, directs your course.
Iyanla Vanzant|For me, titles are either a natural two-second experience or stressful enough to give you an ulcer. If they don't pop out perfect on the first try, they can be really hard to repair. Or, worse, if the author thinks they pop out perfect, but the publishing house does not agree, it's difficult to shift gears. And then? Then you go insane.
Tamara Stamenkovic|We almost made love with fire, fire in our eyes, fire in our souls, and even in our bones.
Mohammed Zaki Ansari, "Zaki's Gift Of Love"|Time Can Not Cure Heart's Wounds Never,But Wounds Spoil and Kill Heart On The Time
Criss Jami, Venus in Arms|I would rather be an artist than a leader. Ironically, a leader has to follow the rules.
Nyrae Dawn, Measuring Up|Love should be love. Want should be want. You can love someone with all your heart. They can be your heart, but you have to be able to stand on your own and I couldn't.
Paul M. Rand|You could say that Facebook is doing a far more effective job than religion at teaching us to 'love thy neighbor,' connecting us with random strangers and 'friends' from distant lands.
Chad Michael Murray|At the end of the day it's got to be a good movie, it's got to be a funny movie, and it's got to make people think, 'Hey, I couldn't have spent my time any better.'
Abbi Waxman, The Garden of Small Beginnings|He looked at me thoughtfully, and smiled slowly, his green eyes warm. He smelled of the outdoors, he was so tall and broad shouldered and so ... male ... in this house of women he was shockingly different. All I could think of was how much I wanted to kiss him. I was clearly losing my mind.
Linden Morningstar, Gloria Rising|For now, I will say that God endowed humans with a great many powers and forces, and some of the creative, constructive powers can only be passed on through channels of others.”The Guardian
Kristin Kreuk|We can live with lots of things, but we can't live without imagination, we can't live without hope.
Jonathan Edwards|I don't think it's more important to preserve female friendship than a marriage. But I think that there's a place for female friendship that's really important in the lives of all the women I know. As I've gotten older, it's become much more important to me.
Lailah Gifty Akita|I felt the faith of being, when my sins were washed by blood of holy Lamb, Jesus Christ, holy sacrifice.
Thomas Paine|It was very lucky for me as a writer that I studied the physical sciences rather than English. I wrote for my own amusement. There was no kindly English professor to tell me for my own good how awful my writing really was. And there was no professor with the power to order me what to read, either.
Miriam Margolyes|It does make me sad that there's a lot of great songs out there, and they're not going to see the light of day because they're competing with these tailgate songs.
Henry Ford|In the commercial real estate business, brokers spearhead major accounts. But they wouldn't have customers without the people who oversee construction.
Kekla Magoon, The Rock and the River|Who is old enough to ask, is old enough to know.
Emma Watson|It’s almost like the better I do, the more my feeling of inadequacy actually increases, because I’m just going, ‘Any moment, someone’s going to find out I’m a total fraud, and that I don’t deserve any of what I’ve achieved.’ I can’t possibly live up to what everyone thinks I am and what everyone’s expectations of me are.
Charles Haddon Spurgeon, Morning and Evening, Based on the English Standard Version|He felt he knew now what time would be like without seasons and what heat would be like without light and what man would be like without salvation. He didn't care if he never made the train and if it had not been for what suddenly caught his attention, like a cry out of the gathering dusk, he might have forgotten there was a station to go to.
C.S. Lewis, Reflections on the Psalms|Even a speck of love should not go unappreciated, because, as Rumi said, love is the water of life.
Bonnie Langford|I have found a flat on Merseyside and am settling down here. If I can keep playing and get back to full match fitness, I know I have a lot to offer still.
George Saunders, In Persuasion Nation|Do you want love, or do you want control?
Kent Haruf, Our Souls at Night|Well, I’m just going to say it.I’m listening, Louis said.I wonder if you would consider coming to my house sometimes to sleep with me.
Noah  Wareness|They say your hardcore's not yours, and it's not fate. Nobody's gonna tell you what shit like that means.
Homer, The Odyssey|Emily woke to shadows and their voices. They looked different today, because the entire world hurt. The numbness had worn off sometime between sleep and awake, and she was seeing red. The shadows on the walls were not shadows at all, but red blobs consisting of teeth and claws. Her house reeked of pain.The whole world was fucking bleeding.
Ally Condie, Reached|The sun, with all the planets revolving around it, and depending on it, can still ripen a bunch of grapes as though it had nothing else in the universe to do.
Heather Wolf, Kipnuk the Talking Dog|Use your voice for good in this world, it may not seem like it's getting you anywhere, but in the end good wins.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|If you don’t convert your time into products, you will regret it. If you don’t multiply your life, you will soon find out that your life is almost finished with nothing to show for it.
Maya Banks, The Tycoon's Rebel Bride|I want him to burn for me, to not be able to go a day without touching me, holding me, caressing me. He’ll be an excellent lover. I want a man who knows how to please me,
Anthony Liccione|Two people pass each other. As one looks upon the other's skin color, the other is looking back at their appearance. Both justifying, how better and righteous they are, in their own insecurities.
Anthony T. Hincks|There are no good men, only good monsters.
Joseph de Maistre|When you have a country that can boast that more than 95 percent of its eligible workforce is employed and pumping money back into economy, that's exceptionally good news, especially as we prepare to observe Labor Day.
Roald Dahl, The Collected Short Stories of Roald Dahl|There are many other little refinements too, Mr. Bohlen. You'll see them all when you study the plans carefully. For example, there's a trick that nearly every writer uses, of inserting at least one long, obscure word into each story. This makes the reader think that the man is very wise and clever. So I have the machine do the same thing. There'll be a whole stack of long words stored away just for this purpose."Where?"In the 'word-memory' section," he said, epexegetically.
Whitney G., Naughty Boss|I would never sabotage you, Mya.” He wiped away one of my stray tears with his fingertips. “Of course, deep down I did want you to stay, but I had nothing but nice things to say about you. I even said they’d be foolish not to hire you, but—” “But?” I glared at him. “But what?” “But if they thought the low-ass salaries they were offering were good enough for you, they needed to increase them exponentially or move along to someone else. I thought you deserved more.” “Is that all?” “No,” he said, looking into my eyes. “I also needed to personally interview each of the CEOs myself. Needed to make sure each one was a good fit for you, and that whoever you worked for next was already married.” I opened my mouth to ask him if he was being serious, but he beat me to it. “Yes,” he said, smirking. “Yes, I ‘seriously’ did need to do that.” “What does the CEO being married have to do with anything, Michael? What if I have no interest in seeing you after I quit?” “You do, so we’re not even going to entertain that line of conversation.” He rolled his eyes. “If the CEO is already married, I won’t have to worry about ‘this’ happening at your next place of employment, and I can be somewhat less jealous.” “How selfish of you.” I couldn’t believe him, but for some reason I couldn’t help the smile that was forming on my face.
Cecelia Ahern, The Gift|What she really loved was to hang over the edge and watch the bow of the ship slice through the waves. She loved it especially when the waves were high and the ship rose and fell, or when it was snowing and the flakes stung her face.
Liam O'Flaherty, A Tourist's Guide to Ireland|Often the best source of information about waste, fraud, and abuse in government is an existing government employee committed to public integrity and willing to speak out. Such acts of courage and patriotism, which can sometimes save lives and often save taxpayer dollars, should be encouraged rather than stifled. We need to empower federal employees as watchdogs of wrongdoing and partners in performance.
Lin Yutang, My Country And My People|As much as I don't care about those things, I think it's human nature to not want to feel totally insignificant.
Debasish Mridha|Every flower has a song in her heart, which we can never see.We only can see her external beauty.
Luke Rhinehart, The Dice Man|There's something inherently comical about the fact that most people want to change other people's lives, while they themselves remain stoic as they loiter in their own shortcomings.
David Amerland, SEO Help: 20 Semantic Search Steps that Will Help Your Business Grow|The future belongs to those who are building brands now, for they will be sought-after.
Jason Fried, Rework|What you do is what matters, not what you think or say or plan.
Hermann Hesse, Steppenwolf|Tightly held by rocksThrough winter, the ice todayBegins to come undone:A way-seeker also is the water,Melting, murmuring from the moss.
Nenia Campbell, Wishing Stars: Space Opera Fairytales|Science fiction, to me, has not only things that wouldn't happen, but other planets.
Gregory Maguire, Wicked: The Life and Times of the Wicked Witch of the West|Animals are born who they are, accept it, and that is that. They live with greater peace than people do.
Jodi Picoult, My Sister's Keeper|When I was little I bragged about my firefighting father: my father would go to heaven, because if he went to hell he would put out all the fires
Ronna McDaniel|I keep trying to explain to people that the archetype of intelligence is not Dustin Hoffman in 'The Rain Man;' it is a human being, period. It is squishy things that explode in a vacuum, leaving footprints on their moon.
Ray Bradbury, Quicker Than the Eye|What is it in humans that makes us so eager to believe ill of one another? ... What makes us so hungry for it? Failed idealism, he suspected. We disappoint ourselves and then look around for other failures to convince ourselves: it's not just me. (15)
Michael J. Sullivan|2AM where do i begin,Crying off my face again,The silent sound of lonliness,Wants to follow me to bed
Jonathan V. Last|Aristotle deemed courage to be the first virtue, because it makes all the other possible.
Chuck Palahniuk, Lullaby|In a world where vows are worthless.Where making a pledge means nothing. Where promises are made to be broken, it would be nice to see words come back into power.
George Orwell|Trees there were, old as trees can be, huge and grasping with hearts black as sin. Strange trees that some said walked in the night.
Jennifer Damiano|I got the acting bug really young, when I was around, like, 10. I pretty much just wanted to be Michael J. Fox. He was in 'Teen Wolf' - that was, like, the coolest role, and then he did 'Back to the Future,' and that was the coolest role.
Adam Sandler|My dad is the nicest guy you'll ever meet, and the easiest going.
Patricia Briggs|Who hurt you?" she asked, slicing through the two other conversations going on at the table. "He's dead," said Charles, his hand sliding up Anna's back reassuringly. "I killed him. If I could, I would bring him back to life so I could kill him again.
Caitlin Moran, How to Be a Woman|There's no self-expression or joy in these joints-- no springboard to self-discovery, or adventure, like any decent night out involving men, women, alcohol, and taking your clothes off. Why do many people have a gut reaction to strip clubs? Because inside them, no one is having fun.
Rick Riordan|Really you just gotta keep chugging along and keep a positive attitude and get through all the problems. You gotta face them, otherwise you don't get through.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|We have all suffered losses and pain, but no loss is greater than a life lost holding-on to a painful past.
Bill Nye|Science is the pursuit of pure truth, and the systematizing of it.
Lionel Shriver, Big Brother|She knows Daddy better than I do. I think it's because she's felt since we were children that our Daddy maybe loved me more than he loves her. This isn't true, and she knows that now--people love different people in different ways--but it must have seemed that way to her when we were little. I look as though I just can't make it, she looks like can't nothing stop her. If you look helpless, people react to you in one way and if you look strong, or just come on strong, people react to you in another way, and, since you don't see what they see, this can be very painful. I think that's why Sis was always in front of that damn mirror all the time, when we were kids. She was saying, 'I don't care. I got me.' Of course, this only made her come on stronger than ever, which was the last effect she desired: but that's the way we are and that's how we can sometimes get so fucked up. Anyway, she's past all that. She knows who she is, or, at least, she knows who she damn well isn't.
Mahatma Gandhi|I like smoking! I mean, God, I quit everything else, can't I smoke?
Richard Dawkins, The God Delusion|Real life seeks the gentle slopes at the back of Mount Improbable, while creationists are blind to all but the daunting precipice at the front.
Daniel Waterman|Whether or not I protect the weeds isn't a matter of just recognizing the weed for what it is, but possessing the conviction to grab hold of the roots and yank like my life depends on it.
Agatha Christie, Death Comes as the End|If you ever want to remember anything, tell it to a child.
Tiffanie DeBartolo, God-Shaped Hole|I was insanely jealous of Lucille. More jealous than I'd ever been of anyone in my entire life. Because she truly meant it. All I could think was, why can't I be as stupid as Lucille? Why can't I blame all my successes and all my failures on The Lord Jesus Christ Almighty? I would be so fucking happy if I lived like that. 
Laini Taylor, Blackbringer|Humans had a genius for devising instruments of death. Their lives were so short and they seemed to value them so little, sending waves of men to clash in battlefields, then weighing victory by the piled corpses. And if they held their own lives so worthless, the lives of everything else were as fruit to pluck from trees.
Dave Barry|It is for us to pray not for tasks equal to our powers, but for powers equal to our tasks, to go forward with a great desire forever beating at the door of our hearts as we travel toward our distant goal.
Sarah J. Maas, Queen of Shadows|The death of a dog may not by some be regarded as a tragedy, but some dogs are more worthy than some men, and can be more justly mourned.
Karl Pilkington, An Idiot Abroad: The Travel Diaries of Karl Pilkington|There’s nothing you could do to make me any more or less gay, Dad. It’s who I am.”“It’s not who you are. It’s part of who you are, but it’s not who you are. You’re so much more than just that, and I’m proud of you. All of you." ~ Lucas' Father
Meg Wolitzer, The Interestings|I hope you learn how to slow down and not let your life pass you by while you're watching the idiot box. Life's short, and one day you'll wake up and look in the mirror and realize you look like King Tut.
Stevie Smith, Selected Poems|Children who paddle where the ocean bed shelves steeplyMust take great care they do not, Paddle too deeply.'Thus spake the awful aging coupleWhose heart the years had turned to rubble.But the little children, to save any brother,Let it in at one ear and out at the other.
Herman Melville, Moby-Dick or, The Whale|Racism negates two aspects of man's life: reason and choice, or mind and morality, replacing them with chemical predestination.
Rachel Joyce|All in all, I'd heard people do a lot of things with words. I'd heard them not say what they meant and I'd seen them not do what they said, but I'd never met a person who could speak so simply and still convey so much.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Within you, within all human beings, is a seed of greatness that makes their kind quake with fear.
Elizabeth Wein, Code Name Verity|Look at me!’ I screeched. ‘Look at me, Amadeus von Linden, you sadistic hypocrite, and watch this time! You’re not questioning me now, this isn’t your work, I’m not an enemy agent spewing wireless code! I’m just a minging Scots slag screaming insults at your daughter! So enjoy yourself and watch! Think of Isolde! Think of Isolde and watch!
Jane Austen, Pride and Prejudice|In the course of my life, I have often had to eat my words, and I must confess that I have always found it a wholesome diet.
Susan C. Young, The Art of First Impressions for Positive Impact: 8 Ways to Shine Bright to Transform Relationship Results|Some people think they are punishing me when they hit their head against a wall. If that's not insane, I wonder what is. Yeah, I'm going to punish you for being my boyfriend, by insulting you and destroying our relationship. I'm going to punish you for taking me on vacations, by disappearing, even if you are the one with the house keys. I'm going to punish you for giving me books to read, by not reading them. I'm going to punish you for complaining about my behavior, by becoming a much worse person. And well, why not, I'm going to commit suicide to prove you my life has no value and you are wrong in thinking it does? It's so sad when people are literally as stupid and dumb as they are insane.
Kahlil Gibran, The Prophet|We wanderers, ever seeking the lonelier way, begin no day where we have ended another day; and no sunrise finds us where sunset left us. Even while the earth sleeps we travel. We are the seeds of the tenacious plant, and it is in our ripeness and our fullness of heart that we are given to the wind and are scattered.
Andreï Makine, Music of a Life|As his hands fell upon the keyboard, it was still possible to believe a beautiful harmony had been formed at random, in spite of him. But a second later the music came surging out, the power of it sweeping away all doubts, voices, sounds, wiping away the fixed grins and exchanged glances, pushing back the walls, dispersing the light of the reception room out into the nocturnal immensity of the sky beyond the windows.He did not feel as if he were playing. He was advancing through a night, breathing in its delicate transparency, made up as it was of an infinite number of facets of ice, of leaves, of wind. He no longer felt any pain. No fear about what would happen. No anguish or remorse. The night through which he was advancing expressed this pain, this fear, and the irremediable shattering of the past, but this had all become music and now only existed through its beauty.
John Piper|After leaving Egypt, Moses and his people endured a forty-year commute, starting with a truly epic crossing of the Red Sea (which made getting through the Lincoln Tunnel at rush hour seem like traipsing across a country bridge in a sundress on a spring afternoon).
Sunday Adelaja|Life can be spent in an atmosphere of continuous encouragement, you will ignore the complex and it will disappear
Paul Rand|Architecture to me is whole. I cannot say I only care about this 25% and the other 75% I let go... it's just I want to work the way I want to work. In my shop, you can order certain things and other things you cannot. They are not available.
Peter Prange, The Philosopher's Kiss|You behold in me, Stephen said with grim displeasure, a horrible example of free thought.He walked on, waiting to be spoken to, trailing his ashplant by his side. Its ferrule followed lightly on the path, squealing at his heels. My familiar, after me, calling, Steeeeeeeeeeeephen! A wavering line along the path. They will walk on it tonight, coming here in the dark. He wants that key. It is mine. I paid the rent. Now I eat his salt bread. Give him the key too. All. He will ask for it. That was in his eyes.--After all, Haines began ...Stephen turned and saw that the cold gaze which had measured him was not all unkind.--After all, I should think you are able to free yourself. You are your own master, it seems to me.--I am a servant of two masters, Stephen said, an English and an Italian.--Italian? Haines said.A crazy queen, old and jealous. Kneel down before me.--And a third, Stephen said, there is who wants me for odd jobs.--Italian? Haines said again. What do you mean?--The imperial British state, Stephen answered, his colour rising, and the holy Roman catholic and apostolic church.--I can quite understand that, he said calmly. An Irishman must think like that, I daresay. We feel in England that we have treated you rather unfairly. It seems history is to blame.The proud potent titles clanged over Stephen's memory the triumph of their brazen bells: ET UNAM SANCTAM CATHOLICAM ET APOSTOLICAM ECCLESIAM: the slow growth and change of rite and dogma like his own rare thoughts, a chemistry of stars.
Ann Zwinger, Downcanyon: A Naturalist Explores the Colorado River through the Grand Canyon|This landscape is animate: it moves, transposes, builds, proceeds, shifts, always going on, never coming back, and one can only retain it in vignettes, impressions caught in a flash, flipped through in succession, leaving a richness of images imprinted on a sunburned retina.
Rollo May|I put for the general inclination of all mankind, a perpetual and restless desire of power after power, that ceaseth only in death.
W. Bruce Cameron|I never appreciated 'positive heroes' in literature. They are almost always cliches, copies of copies, until the model is exhausted. I prefer perplexity, doubt, uncertainty, not just because it provides a more 'productive' literary raw material, but because that is the way we humans really are.
