Thomas Mann|Walk tall, or baby don't walk at all.
Frank McCourt|When you spend such a large portion of your life working - and it's not fun, and you're worried about getting sued or fired for saying the wrong thing or for acting crazy at a work party - then what has work done to America? That's the impetus to have a huge office Christmas party.
Wynter Wilkins, Strigoi|God's ultimate purpose for creating you is not for you to go to heaven. If the purpose for your creation was just for you to go to heaven, you will die immediately you got born-again. God's ultimate purpose for creating you is for you to influence and impact generations positively to the glory of His name.
Heenashree Khandelwal|You better not be touched by love; you are living peacefully. But if you do, you better not be left by it. Because the wounded in love is only shreds of heart scattered. Even if you manage to regain it, you will never be that peaceful person again. Such is the curse of love.
Carrie Jones, Captivate|And do you admit that you have a bad temper, a cute car, and a nice girlfriend?”I hold my breath.“I have an amazing girlfriend,” he says. And then he kisses me, which is, you have to admit, the perfect boyfriend thing to do. The kiss is soft and speckling like star promises in a night sky. I stretch into it, wishing that I could hold onto it forever, even though I know that kisses can’t last forever—can they?
Isobelle Carmody, Greylands|We watched each other in the candlelight and suave music, and because laughter was the only weapon we had, we laughed until the chill of his story faded, and was gone.
Henry Fielding|You will never "find" time for anything. If you want time you must make it.
Petra Hermans|Papilio stomachus: fragile creatures, vulnerable to forst and betrayal.
C. Shultz|Depression is a prison. For some it is easy and short, for others it is difficult and long. For some the days go by easier than most and for others the days are eternity. But it is your choice to try and escape.
Saint Ambrose|The good in this world far outweighs the evil. Our common humanity transcends our differences, and our most effective response to terror is compassion, it's unity, and it's love.
Elizabeth Foss, Real Learning: Education In The Heart Of The Home|When I look at a child, I see a living, breathing person, made in God's image, for whom God has a plan. As parent educators, we need to embrace a new notion of learning...we need to engage the hearten order to effectively educate the child. Our vision of a well-educated child is a child who has a heart for learning, a child who has the tools he needs to continue to learn for a lifetime and a child who has the love to want to do it.
Eckhart Tolle|Sir Arthur grimaced. He hated violence - perhaps his father ingrained that into him. But he still fought, for principle and for father's legacy. Now that legacy meant the protection of defenseless women. There were a few Persians in the way to execute that duty. He stabbed his blade into a Tatar's chest. Another one.
Edward Young|I wanted to reimagine the role, in a way that was respectful of its traditional responsibilities but made them part of a wider pattern of poetry about national incidents, events, preoccupations; and to spend a great deal of time going to schools trying to demystify poetry.
Rick Riordan, The Son of Neptune|Life is only precious because it ends, kid. Take it from a god. You mortals don't know how lucky you are
Francis William Aston|A sound Physics of the Earth should include all the primary considerations of the earth's atmosphere, of the characteristics and continual changes of the earth's external crust, and finally of the origin and development of living organisms. These considerations naturally divide the physics of the earth into three essential parts, the first being a theory of the atmosphere, or Meteorology, the second, a theory of the earth's external crust, or Hydrogeology, and the third, a theory of living organisms, or Biology.
Sharon Shinn|We need to pay attention with a particular attitude: one of openness, curiosity, and receptiveness.
Emma Mills, First & Then|The all-encompassing cure for cancer, heartbreak, irrationality, drug addiction, and every other ailment that plagues humanity?Fire.
Baris Gencel|Without feeling so close, so connected, so comfortable to a person for what I have sex.
Ruta Sepetys, Out of the Easy|I stared at the enormous homes, the landscaping and flower beds immaculate. It was as if dollar bills, instead of leaves, hung from the trees.
Jacqueline Carey, Kushiel's Chosen|All paths are present, always... and we can but choose among them.
Sandeep Sahajpal|Bad people take minimal time to coincide their objectives, but good people take for ever to put faith in each others intents.
Drew Brees, Coming Back Stronger: Unleashing the Hidden Power of Adversity|Set a goal to achieve something that is so big, so exhilarating that it excites you and scares you at the same time.
Chelsea Handler, Are You There, Vodka? It's Me, Chelsea|Beer is proof that God loves us and wants us to be happy.[misquote of a letter about wine, see quotes/831031]
Patty Houser, A Woman's Guide to Knowing What You Believe: How to Love God With Your Heart and Your Mind|When someone is delusional, he or she can do anything to justify his or her beliefs.
|Just because everyone around you is playing small, doesn't mean that you aren't entitled to dreaming big.
Eric Chaisson, Epic of Evolution: Seven Ages of the Cosmos|... researchers argue that it's of utmost importance to unravel the nature of black holes, lest we someday begin to worship them. Sounds ridiculous, but whole segments of humankind have often revered the unknowable, venerating that which cannot be tested experimentally. Come to think of it, many still do in twenty-first-century society.
John Clare, Poems Chiefly from Manuscript|Hill tops like hot iron glitter bright in the sun, And the rivers we're eying burn to gold as they run; Burning hot is the ground, liquid gold is the air; Whoever looks round sees Eternity there.
Zadie Smith|Unless we learn how to humbly tell each other our giving stories, our churches will not learn to give.
Lois McMaster Bujold, Barrayar|A man with no children can easily be lulled into a sense that time is standing still. It's not. It's marching past us, relentlessly. Having a child growing and changing before your eyes makes this unavoidably clear.
Johann Wolfgang von Goethe|In any great organization it is far, far safer to be wrong with the majority than to be right alone.
Huston Smith, Beyond the Post-Modern Mind: The Place of Meaning in a Global Civilization|The larger the island of knowledge, the longer the shoreline of wonder.
Christine Warren, Stone Cold Lover|My name is Spar. I am neither called Rocky nor made of rock. I am a Guardian, one of those warriors who were summoned to battle against the Seven demons of the Darkness and to prevent their possible return to this human plane of existence. I consider the others of my kind to be my brothers.
Oswald Chambers, My Utmost for His Highest|It is a solemn thing, and no small scandal in the Kingdom, to see God's children starving while actually seated at the Father's table.
Rachel Caine, Black Dawn|He was not in the house. He did not come back that night. Days went by, and at last she understood that he would not return at all.
Shinobu Ohtaka|I've learned that from a war ignited by revenge, nothing can be born, but sorrow. - Aladdin
Jeffrey Gitomer|Grades don't measure tenacity, courage, leadership, guts or whatever you want to call it. Teachers or any other persons in a position of authority should never tell anybody they will not succeed because they did not get all A's in school.
Garth Nix, To Hold the Bridge|Oh, would you look at this, now,” she said, pointing at a hole in her sage-green velvet couch. Never mind the brain and hair on it, she could clean those off with a stiff brush. And never mind the point-blank gunshot to the face she’d absorbed. It was the bullet hole in her couch that pissed her off.
Fyodor Dostoyevsky, Dostoevsky: Letters And Reminiscences|My father has the proper degrees and framed pictures on the walls, though they're mostly taped over with photos of children, family and friends. Images from the past and present and trips and experiences combined with files on the floor – it's a happening or collage in progress.
Gore Vidal|I wanted to be a politician and a movie star. But I was born a writer. If you're born that, you can't change it. You're going to do it whether you want to or not.
Jonathan D. Spence, Emperor of China: Self-Portrait of K'ang-Hsi|If you want to really know something you have to observe or experience it in person; if you claim to know something on the basis of hearsay, or on happening to see it in a book, you'll be a laughingstock to those who really know.
Adam M. Grant, Originals: How Non-Conformists Move the World|Without a sense of urgency , people ... won't make needed sacrafices. Instead they cling to the status quo and resist.' - Quoting John Kotter
Joel Osteen, Break Out!: 5 Keys to Go Beyond Your Barriers and Live an Extraordinary Life|Because you have honored God, He will put you in a position you never could have attained on your own. It’s not just your education, not just your talent, or the family you come from. It’s the hand of God shifting you to a new level of your destiny.
Innocent Mwatsikesimbe, This Is My Life|I've been through a lot, but I stayed true to who I am.
Deborah Tannen|If you don't know each other you spend time doing research together, having dinner, and talking about your lives. You try to find common ground. Once you're shooting, the pressures are so intense; you really want to have a channel of communication open to you already.
Stephen Colbert|Librarians hoard the wisdom of humanity. They are the keepers of all knowledge, the guardians at the temples of understanding and devoted protectors of the sanctuary in the midst of uneducated anarchy.
Jaachynma N.E. Agu|A woman that is patient has the ability to endure provocation, pain, annoyance etc, with much calm and strength.
Matthew Quick, The Silver Linings Playbook|The sooner you master your mind, the sooner you master yourself.
Aleksandr Solzhenitsyn, Warning to the West|Sertorius rose up and spoke to his army, “You see, fellow soldiers, that perseverance is more prevailing than violence, and that many things which cannot be overcome when they are together, yield themselves up when taken little by little. Assiduity and persistence are irresistible, and in time overthrow and destroy the greatest powers whatever. Time being the favorable friend and assistant of those who use their judgment to await his occasions, and the destructive enemy of those who are unseasonably urging and pressing forward.
Kate  Benson, The Promise|Book and reader, if they meet up at the right moment, it can make sparks fly, set you alight, change your life. It can, I promise you.
Julian Short, A Model for Living|Feelings can have a life of their own and you have very little direct control over them, except perhaps to make them worse.
Terry Goodkind, The Pillars of Creation|When the whole world is crazy, it doesn't pay to be sane.
Bill Bryson, At Home: A Short History of Private Life|Builder pattern is more verbose than the telescoping constructor pattern, so it should be used only if there are enough parameters, say, four or more.
Pook, The Book of Pook|You are caught in the vicious cycle. You are hesitant because you are not used for things going your way. And things will never go your way because you remain hesitant. You see what you want, become hesitant, and the door of opportunity closes. It happens again. And again. And again. With each choice towards Inaction, you reject yourself a little bit more.
Lil Wayne|Sports is like rock 'n' roll. Both are dominant cultural forces, both speak an international language, and both are all about emotions.
Brian K. Vaughan|I'm here because I was born here and thus ruined for anywhere else, but I don't know about you.
Slavoj Žižek, Less Than Nothing: Hegel and the Shadow of Dialectical Materialism|Beyond the fiction of reality, there is the reality of the fiction.
Shannon L. Alder|Maybe, it wasn't stuck in my mind. Maybe,just maybe, it was stuck in my heart for so long that it grew wings and wanted to fly, but didn't know how.
Bangambiki Habyarimana, Pearls Of Eternity|The most successful are not the most perfect, but the imperfect who dare to believe that they can despite the damning verdict.
Kylie Scott, Twist|The big-ass hole, all of the wreckage and mess. I'd done that. Me,
David Foster Wallace|The parts of me that used to think I was different or smarter or whatever, almost made me die.
Mark Batterson, All In: You Are One Decision Away From a Totally Different Life|When Manya read, there was no waking her from her absorption; she heard nothing. A whole household might plan to tease and make a noise like all the zoos let loose with tin cans to play with and yet Manya wouldn't hear till her book was done. That was concentration and it was a joyful gift to have seized from the lucky-bag of life.
Paul Wellstone|The task of the mediator is to help the parties to open difficult issues and nudge them forward in the peace process. The mediator's role combines those of a ship's pilot, consulting medical doctor, midwife and teacher.
Gary   Hopkins|We create the world around us based on our thoughts, feelings, beliefs and emotions. Evil, dark forces, dark energy etc. are forms of the “negative” and are all a projections of the self. There is no separation. Once one realizes this, these energies start to fade and eventually disappear. What’s left is wholeness, contentment, self-realization, gratitude and a perpetual state of well-being. There is a popular saying amongst the healing community “where the mind goes, energy flows”. Use this mantra to your benefit. Lose the “non-sense” of all despair and anguish and catapult your self to a higher place that is incapable of entertaining the “negative” or “destructive”. Achieving this (even in increments) will only transform you to into a better positive place
Ajay Antony|When She Needs a Reminder of Your Birthdate, Make Sure Not to Remind Her That She was Once a part Of Your Life
Johan Coetzer|Cash is king. No matter how many good opportunities come your way, do not invest all your cash. If you run out of reserves, the smallest or foolish of things may bring you down. Companies with millions in assets have gone bankrupt because they cannot make a $25,000 payment.
Dana Marton, Deathwish|He also had deep brown eyes, light brown skin and an infectious grin, even in the middle of a grueling SWAT workout. In short, exactly her type. If only he wasn't a teammate, making him off-limits. And if only she didn't have baggage from her past that weighed more than he did.
Ajit Panicker|It's God's world. He washes you clean. He makes you whole. He puts rain in your garden and sunshine in your heart. "Clarence
Dave Gahan|My philosophy in life is, Decide what you want to do. You have to have something to hope for.
Charles Haddon Spurgeon, Morning and Evening, Based on the English Standard Version|Harder The will of God, Greater The blessing will be.
Markus Zusak, The Book Thief|As always, one of her books was next to her.
Samantha Sotto, Before Ever After|If last night proved anything, it's that life is a strong drink served up in an extremely short - and fragile - shot glass.
Ivor Novello|With a painter or a sculptor, one cannot begin to alter his works, but an architect has to put up with anything, because he makes utility objects - the building is there to be used, and times change.
Israelmore Ayivor, The Great Hand Book of Quotes|You are the steer of your God given dreams. By the authority from the Holy Spirit of God, you will able to bend a curve where the road has a bend; you will be able to reverse your movement when the need be.
Mary Kate|One of the most amazing things that we often forget is this: God never forgets us! Face it; you could hide under a rock, BUT, God will still be beside you saying, "Rock bottom, already?
Sunday Adelaja|Primitive veddhas moulded images of women with full-blown breasts and legs. This was not to evoke sensuous pleasure, but as symbolic images related to their faith in religious fertility rites with the aim of increasing their return from harvesting and hunting. The modern artist magnifies the breasts of the woman in a painting in order to derive and to evoke erotic pleasure. That is how vulgarity enters their art.
Winfield Scott Hancock|Working together during the past three years, we have confounded the skeptics and the cynics. We've shown that here in Virginia, Democrats and Republicans can come together, put politics aside, and make tough decisions when times demand it.
Daphne Gottlieb, Why Things Burn|All the black leathershe needsis the E-Z boy reclinerwhere her love is parkedwith one of his hands wrapped around a remote,the other, a bottle of beer.She's right. It's kinky.The way he doesn't look awayfrom the TV,as her head bobsin his laplike a fisherman's floaton a nature program,hecticwith the pacehis breath sets.His crotch swellsunder her mouth'sprowess. He's sucha sweethearthe waitsuntil thecommercialsto come.
Charles R. Swindoll|The abundance Jesus offers is a spiritual abundance that transcends circumstances, like income, health, living conditions, and even death. The abundant life is eternal.
Jean-Yves Leloup, Compassion and Meditation: The Spiritual Dynamic between Buddhism and Christianity|Sometimes the best answer to a question is another question. Is it not by asking questions that we stimulate each other to reach more deeply into our own source and, thereby, approach the Source, both together and in our different ways? (7)
DeMar DeRozan|I play guys who never smile, and I never stop smiling.
Bertrand Russell, Why I Am Not a Christian and Other Essays on Religion and Related Subjects|When the qualities that now confer leadership have become universal, there will no longer be leaders and followers, and democracy will have been realized at last.
Gift Gugu Mona|The weakness of one man is the strength of another, hence we all are different for a reason.
Walter Isaacson, Steve Jobs|In many ways an artist is his work. It's difficult to separate the two. I think I can be brutally objective about my work as I create it, and if something doesn't work, I can feel it, but when I turn in a finished album — or song — you can be sure that I've given it every ounce of energy and God-given talent that I have.
Carol Burnett|I considered not getting up, but recognized the pain of staying down was worse than the pain of attempting to stand.
Stephen R. Covey, The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change|The core of any family is what is changeless, what is going to be there──shared vision and values.
Guy Sajer, The Forgotten Soldier|Then there was the war, and I married it because there was nothing else when I reached the age of falling in love.
John Green, Zombicorns|Everything good or bad in my life had started and ended within the limits of that town. It was over now, though, and a new chapter was beginning. Nothing would ever be the same as it had been before. I just hoped this chapter wouldn't be the final one in the book.
Lionel Suggs|It is the same in life; the heart changes, and that is our worst misfortune; but we learn of it only from reading or by imagination; for in reality its alteration, like that of certain natural phenomena, is so gradual that, even if we are able to distinguish, successively, each of its different states, we are still spared the actual sensation of change.Lygiai taip gyvenime keičiasi ir mūsų širdis, ir tai skaudžiausia; tačiau patiriame tą skausmą tik skaitydami knygas, vaizduotėje; tikrovėje jos keitimasis, kaip ir kai kurių gamtos reiškinių vyksmas yra toks lėtas, kad nors ir galime konstatuoti kiekvieną atskirą būseną, paties keitimosi pajusti nepajėgiame.
Wisława Szymborska|If not his life, Rustom Iraqiwalla wanted his death to be worth something.
L.M. Montgomery, Anne of Avonlea|Do not focus your gaze on things that are wrong, for what you see, slowly begins to penetrate you. You are addicted to fixing your eyes on the wrong; you pay attention only to what is wrong inside you. The angry man concentrates on his anger, and how to get rid of it. Though he wants to get rid of the anger, he is actually concentrating on that white line of anger within him; the more he concentrates the more he is hypnotized by it.Don’t worry! Everybody is! Don’t focus your eyes on the anger, but concentrate on compassion. Concentrate on what is right. As the right gets more and more energy, the strength of the wrong gets weaker and weaker. Ultimately it will disappear. This happens because energy is one; you cannot use it in two ways. If you have utilized your energy in becoming peaceful, you would have no energy for restlessness. All your energy has moved towards peace, and if you have had a taste of peace and serenity, why bother to become restless? You can maintain your restlessness only if you have never known the flavour of serenity. You can dive into the pleasures of the world only if you have not tasted the divine.
John Fowles|You might not write well every day, but you can always edit a bad page. You can't edit a blank page.
Jonathan Price, Put That in Writing|I have an impulse to write all over the orange walls- I need an alphabet of endings ripped out of books, of hands pulled off of clocks, of cold stones, of shoes filled with nothing but wind.
Annie F. Downs|Whether you are trying to finish a race or a book or that hard conversation you've been avoiding, the training leading up to that event is what makes it possible to face the fear & walk forward anyway. Quit complaining about discipline & start seeing it as a powerful tool for courageous living.
Pat Benatar, Between a Heart and a Rock Place: A Memoir|I've enjoyed every age I've been, and each has had its own individual merit. Every laugh line, every scar, is a badge I wear to show I've been present, the inner rings of my personal tree trunk that I display proudly for all to see. Nowadays, I don't want a "perfect" face and body; I want to wear the life I've lived.
Thomas Jefferson|And this wasn’t lying, not really. It was leaving out.
Brandi L. Bates, Soledad|Give me Pablo Neruda, picnic beneath a full moon & iridescent stars, black olives, cherries, dark things, canoe on a river...that's romance.
|As long as you are still breathing and in your right senses, possibilities and opportunities in life would remain endless. Be thankful for the blessings of today, but never settle for any level of success. There is always more room for growth.
Marianne|In a little while they were kissing. In a little while longer, they made their slow sweet love.The iron bed sounded like a pine forest in an ice storm, like a switch track in a Memphis trainyard, like the sweet electrical thunder of habitual love and the tragical history of the constant heart. Auntee finished first, and then Uncle soon after, and their lips were touching lightly as they did.The rain was still falling and the scritch owl was still asleep and the dragonflies were hidden like jewels somewhere in deep brown wet grasses, nobody knew where.Uncle rolled away from his wife and held onto her hand, never let it go, old friend, old partner, passionate wife.
Amadeo Bordiga|Exchange, fair or unfair,always presupposes and includes the rule of the bourgeoisie.
Poppet, Ryan|Rubbing absently at my temple, I do declare this woman leaves me flabbergasted and tongue tied.
Jonathan Maas, City of Gods II: Horsemen|To lead by force all you need is a greater army, but to lead by example, to be a city on a hill, you need an uncompromising respect for basic dignity. And you don't gain either of those things by breeding monsters in dungeons.
Victoria Alexander, Seduction of a Proper Gentleman|My father once told me love is magic, sir.
Antal Szerb, The Pendragon Legend|Tell me,' he asked, with some embarassment, as we strolled along: 'you're a bloody German, aren't you?''Oh, no. I'm Hungarian.''Hungarian?''Hungarian.''What's that? Is that a country? Or you are just having me on?'Not at all. On my word of honour, it is a country.''And where do you Hungarians live?''In Hungary. Between Austria, Romania, Czechoslovakia and Yugoslavia'.'Come off it. Those places were made up by Shakespeare.
Carl Sagan, Mars and the mind of man|Those who find it hypocritical of others to use, say, a smartphone, to speak ill of capitalism, needs to be reminded that capitalism is an ideology, not a technology.
Arthur Gordon, A Touch of Wonder|Rhythm. Life is full of it; words should have it, too. But you have to train your ear. Listen to the waves on a quiet night; you’ll pick up the cadence. Look at the patterns the wind makes in dry sand and you’ll see how syllables in a sentence should fall. Arthur Gordon
Frank Iero|Most fear stems from sin; to limit one's sins, one must assuredly limit one's fear, thereby bringing more peace to one's spirit.
Jean-Paul Sartre, We Have Only This Life to Live|It's like practicing pole vaulting your entire life, and then getting to the olympics and saying, ‘what the hell did I want to jump over this stupid bar for?
Mindy Cohn|The biggest thing, I think, is to stay healthy and make the fewest mistakes, and then you can win... The margin of error is so small in the NFL, so if you can do those two things - keep your team healthy and make the fewest mistakes each Sunday - you have a good chance of going to the Super Bowl.
Marcus Garvey|Liberty, when it begins to take root, is a plant of rapid growth.
Ufuoma Apoki|O vitae Philosophia dux! O virtutum indagatrix expultrixque vitiorum! Unus dies, bene et ex praeceptis tuis actus, peccanti immortalitati est anteponendus.translation (non-literal):O philosophy, life’s guide! O searcher of virtues and expeller of vices! Just a single day lived well and according to your lessons is to be preferred to an eternity of errors.— Cicero, As quoted in Ben Franklin’s Autobiography
John Capecci and Timothy Cage, Living Proof: Telling Your Story to Make a Difference|Marain, the Culture’s quintessentially wonderful language (so the Culture will tell you), has, as any schoolkid knows, one personal pronoun to cover females, males, in-betweens, neuters, children, drones, Minds, other sentient machines, and every life-form capable of scraping together anything remotely resembling a nervous system and the rudiments of language (or a good excuse for not having either). Naturally, there are ways of specifying a person’s sex in Marain, but they’re not used in everyday conversation
Emmanuel Katongole, Mirror to the Church: Resurrecting Faith After Genocide in Rwanda|The church's primary purpose is not to make America more Christian, but to make American Christians less American and Rwandan Christians less Rwandan. We are no longer Rwandans or Americans, neither Hutu nor Tutsi. If we are in Christ, we have become part of a new creation.
Richard Payment, For Want of Wonders|When grace has won the day, the worldling seeks the world to come.
Walter Mosley, Devil in a Blue Dress|This compassion, or sympathy with the pains of others, ought also to extend to the brute creation, as far as our necessities will admit; for we cannot exist long without the destruction of other animal or vegetable beings either in their mature or embryon state. Such is the condition of mortality, that the first law of nature is 'eat, or be eaten.' Hence for the preservation of our existence we may be supposed to have a natural right to kill those brute creatures, which we want to eat, or which want to eat us; but to destroy even insects wantonly shows an unreflecting mind, or a depraved heart.
Gena Showalter, Heart of Darkness|To answer your question, you want me because I'm made of awesome.
Vincent O'Sullivan, The Next Room|Autists are the ultimate square pegs, and the problem with pounding a square peg into a round hole is not that the hammering is hard work. It's that you're destroying the peg.
Charles Haddon Spurgeon, Morning and Evening, Based on the English Standard Version|As artists give themselves to their models, and poets to their classical pursuits, so must we addict ourselves to prayer.
Laura Gentile, Seraphic Addiction|So you take her to the pictures,trying to become a fixture.Inch by inch trying to reach her,all the way through the second feature.Worrying about your physical fitness,tell me how you got this sickness?
Aiden Shaw, Sordid Truths: Selling My Innocence for a Taste of Stardom|In the six degrees of separation, not all degrees are equal.
P.G. Wodehouse|-'What do ties matter, Jeeves, at a time like this?'There is no time, sir, at which ties do not matter
Kate Lattey, Dream On|Real is...just being you. It's not letting yourself be defined by other people's opinions of you, of who they think you are, or what they expect you to be. It's refusing to let them squash you into the box they've built for you, and just being yourself, no matter what anyone else thinks. Because you're never going to matter to everyone, just like everyone's never going to matter to you. So you choose the people whose opinions you care about, and you be real for them.
Amit Kalantri|A world without braves is a world without heroes, but a world without wisdom is a world of animals.
Craig D. Lounsbrough|If I’m my biggest fan, the only person in the stadium is probably me.
Leo Tolstoy, War and Peace|Don’t read books!Don’t chant poems!When you read books your eyeballs wither awayleaving the bare sockets.When you chant poems your heart leaks out slowlywith each word.People say reading books is enjoyable.People say chanting poems is fun.But if your lips constantly make a soundlike an insect chirping in autumn,you will only turn into a haggard old man.And even if you don’t turn into a haggard old man,it’s annoying for others to have to hear you.It’s so much betterto close your eyes, sit in your study,lower the curtains, sweep the floor,burn incense.It’s beautiful to listen to the wind,listen to the rain,take a walk when you feel energetic,and when you’re tired go to sleep.
Alessandro Baricco, Ocean Sea|…how it would be nice if, for every sea waiting for us, there would be a river, for us. And someone -a father, a lover, someone- able to take us by the hand and find that river -imagine it, invent it- and put us on its stream, with the lightness of one only word, goodbye. This, really, would be wonderful. It would be sweet, life, every life. And things wouldn’t hurt, but they would get near taken by stream, one could first shave and then touch them and only finally be touched. Be wounded, also. Die because of them. Doesn’t matter. But everything would be, finally, human. It would be enough someone’s fancy -a father, a lover, someone- could invent a way, here in the middle of the silence, in this land which don’t wanna talk. Clement way, and beautiful.A way from here to the sea.
Christina Engela, Inanna Rising: Women Forged in Fire|What is a saint supposed to do, if not convert wolves?
Holly Cupala, Tell Me a Secret|I thought of Shelley in the hospital, how she said sometimes sadness only looked like anger and judgment. Maybe fear did too.
Jeb Bush|Against the wishes of my family, I gave up my legal career, and I volunteered for the Army. I became an infantryman. I went to Iraq and Afghanistan.
Lailah Gifty Akita|Make a u-turn, when you see you have traveled on the wrong path.
Stephanie Stamm, A Gift of Wings|Maybe I didn't march to the same drummer as most people, but I could do things on my own and do them well. That was what I'd learned, little by little, in the year I turned sixteen. I was complete by myself.
Forrest Curran, Purple Buddha Project: Purple Book of Self-Love|A great tree develops over time and can tell stories not only those of happiness, but also those that contain pain from what it has seen over the years, and as a result is the wise ancient tree that it is today. As the seasons change, the tree naturally goes through changes as well: where the leaves turn yellow and orange in the fall, falling by the Winter, returning in the Spring, and with full set of new leafs by the Summer. Love is no different in that there will be times when we are fully naked in the Winter, and left to wonder about Spring when it seemed so easy to love, yet the wise tree knows that no winter will last forever no matter how cold it may be.
Ernest Agyemang Yeboah|I’m kind of a contagion cryer. You know how when one person starts yawning, everyone else starts yawning too? Or when someone vomits, the smell makes you want to hurl? I’m like that, except with crying.
Evelyn Glennie|The network is opening up some amazing possibilities for us to reinvent content, reinvent collaboration.
Lailah Gifty Akita|My passionate adventure is to fulfill my calling; reverend, preacher woman.
Lemony Snicket, Shouldn't You Be in School?|There's no way to tell what will make someone break down in tears. There are some who will cry at the merest melancholy word, and there are some who need the longest, cruelest speech to even dampen one eyelash. There are those who will cry at any sad song but no sad book, and there are those who are immune to the most saddening newspaper articles but will weep for days over a terrible meal. People cry at silence or at violence, in a graveyard or a schoolyard.
B. Dave Walters|...no matter how advanced the system, no matter how precise, unless we have the will to communicate, there's no connection. And even supposing the will is there, there are times like now when we don't know the other party's number. Or even if we know the number, we misdial.
Fyodor Dostoyevsky, The Brothers Karamazov|Repeat to yourself every day and as often as you can: ‘O Lord, have mercy on all those who will appear before You today.’ For every hour, every second, thousands of men leave this world and their souls appear before the Lord, and no one knows how many of them leave this earth in isolation, sadness, and anguish, with no one to take pity on them or even care whether they live or die. And so your prayer for such a man will rise to the Lord from the other end of the earth, although he may never have heard of you or you of him. But his soul, as it stands trembling before the Lord, will be cheered and gladdened to learn that there is someone on earth who loves him. And the Lord’s mercy will be even greater to both of you, for, however great your pity for the man, God’s pity will be much greater, for He is infinitely more merciful and more loving than you are.
Dorothy Parker, Constant Reader|But I give you my word, in the entire book there is nothing that cannot be said aloud in mixed company. And there is, also, nothing that makes you a bit the wiser. I wonder--oh, what will you think of me--if those two statements do not verge upon the synonymous.
Paul Hoffman, The Last Four Things|A mask can hide you from others, but not from yourself.
Kathleen Norris, The Cloister Walk|Vengeance would have us assault an enemy's pride to beat him down. But vengeance hides a dangerous truth, for a humbled foe gains patience, courage, strength, and greater determination.
Erich Fromm, The Art of Loving|Psychology as a science has its limitations, and, as the logical consequence of theology is mysticism, so the ultimate consequence of psychology is love.
Jean-Marie G. Le Clézio, The Book of Flights|He who writes books that aim to convince is a comedian, too, just a comedian. What has he got to offer others, apart from chains, still more chains? Fiction never liberated anyone. No one ever brought anything back from voyages through dream worlds.
Christina Engela, Dead Beckoning|And all this while the subtle-souled girl asking herself why she was born, why sitting in a room, and blinking at the candle; why things around her had taken the shape they wore in preference to every other possible shape.
Ian  McClellan, Zombie Apocalypse 2012: A Political Horror Story|Fifteen years ago, this would have been insider trading, but that quaint concept had disappeared a decade or two ago when so many brokers were doing it that it was impossible to jail them all. Now it was called smart trading.
Zack Love, The Syrian Virgin|And you never fall behind?”“Of course I do. But I always feel guilty when that happens. After all, my journal is the oldest and most loyal friend I have. And it never interrupts me when I’m speaking,” he added, with a boyish grin.
Jesse Petersen, Married with Zombies|I should have known that having "end of the world" sex wouldn't solve our problems. Though, it was pretty great and I highly recommend it.
Richard Finney, Black Mariah: "A Calling"|Spoon boy: Do not try and bend the spoon - that's impossible. Instead, only try to realize the truth.Neo: What truth?Spoon boy: There is no spoon.
Idries Shah, The Sufis|among roses, be a rose, among thorns, be a thorn
Billy Crystal|There was a time, in the not so distant past, that if you didn't have what you needed on Thanksgiving, you were pretty much going to have to wait until Friday. Not anymore!
Sunday Adelaja|For every day spent at a job, you empty your life
Carlos Ruiz Zafón|If you are close to a precipice, go away a bit; if you are far from it, come close a bit! Enjoy the safety, enjoy the view! Without safety, it is dangerous; without view, it is dull! Life is an art of adjusting the distances!
Russell M. Nelson|I understood it's a business as far as when you're drafting someone, and you want a guy you can trust. But there were no questions on my ability or character.
Jerome K. Jerome, Three Men in a Boat|I don't know why it should be, I am sure; but the sight of another man asleep in bed when I am up, maddens me.
Usain Bolt|Loyalty to the Nation all the time, loyalty to the Government when it deserves it.
Madeleine M. Kunin|By working to ensure we live in a society that prioritizes public safety, education, and innovation, entrepreneurship can thrive and create a better world for all of us to live in.
Ryū Murakami, In the Miso Soup|But why is it that if you imagine a baby who smells of milk, for example, you can't help smiling? Why is there such an agreement around the world about what is or isn't a foul smell? Who decided what smells bad? Is it impossible that somewhere in this world there are people who, if they sat next to a homeless fellow they'd get the urge to snuggle up to him, but if they sat next to a baby they'd get an urge to kill it?
Paulo Coelho, The Alchemist|If a person is living out his Personal Legend, he knows everything he needs to know. There is only one thing that makes a dream impossible to achieve: the fear of failure.
Lailah Gifty Akita|Meditation is the energy of the mind,
Nick Macri|Successful people (or soon-to-be success people) never quit, never settle and are never satisfied
William Faulkner, The Sound and the Fury|Women do have an affinity for evil, for believing that no woman is to be trusted, but that some men are too innocent to protect themselves.
Jack Layton|Even in a gleefully negative comic, there is optimism, although it's slightly hidden: It comes out through a comic character's sheer tenacity. He keeps going and trying to find some sort of fulfillment regardless of his perpetual failure record. That's a form of hope, a form of optimism. Really hokey I know, but it's true.
The Tru Sum, Excerpts To Exodus|To understand Jesus when he stated that he was the way, the truth and the life, one must first recognize his manner of a walk and believe firmly that his manner is true.
Sharon Olds|I was a late bloomer. But anyone who blooms at all, ever, is very lucky. 
