Jonathan L. Walls|Not only does evil depend upon good, but in this case, darkness depends upon light.
Greg Lynn|I wouldn't say design has become strictly functional. A lot of cars these days look downright comic book to me, and the info-gadgets with which late industrial people spend the most time - phones, music players, etc. - are blobjects.
C.S. Lewis, The Weight of Glory|To what end, he wondered, had the Divine created the stars in heaven to fill a man with feelings of inspiration one day and insignificance the next?
Jettie Necole, Ruby|There he was, her confidant—strong, solid, and unbending.
Gwyneth Paltrow|I don't worry. I'm more stoical. Of course I have insecurities. I fear getting older. I fear death and illness. I'm not prone to depression, but I get depressed because everybody gets depressed. Suddenly I'm away from my family or doing a job I'm not enjoying.
Craig Groeschel, Weird: Because Normal Isn't Working|If we expect to “know” the truth, the whole truth and nothing but the truth, we may have a hard time seeing the whole picture, since the truth is a willful construction that allows us often merely to “guess”. ("Hinter der Mattscheibe")
Lurlene McDaniel, Angel of Hope|His hands as he worked were deft and sure, but so gentle -- he was being careful not to hurt me any more than he had to. I sat very still, hardly daring to move.I was in love with him.The knowledge swept through me, truer than anything I'd ever known. Oh, my God, I was in love with him.
Kaitlin D.S. Cammie|those who get upset for being treated the way that they treat others, will never understand why others treat them the way that they treat others.
Mark Zero, The French Art of Revenge|The French have a penchant for absolutism, for thinking that things are all one way or all another, which is why their politics are marked by a general inability to compromise and why they tend to hold their personal opinions until the bitter end, even after they have clearly lost an argument.
Antoine de Saint-Exupéry, The Little Prince|Where are the people?” resumed the little prince at last. “It’s a little lonely in the desert…” “It is lonely when you’re among people, too,” said the snake.
Kamand Kojouri|Knowing you,I became mindless.Having wasted previous wishes,I'm riddled with regretsFeeling you,I became hopeless.Adrift in chasms,I surrender to a caress.Loving you,I became love.My universe became love.Planets rotate on love's axes andapples fall to be near their beloveds.No longer a rationalist, I assert my existence with love. I love, therefore I exist,therefore I love.
Leslie Caron|In order to have great happiness, you have to have great pain and unhappiness-otherwise how would you know when you're happy?
John Steinbeck, East of Eden|Naturally the descendants of survivors meet regularly with phenomena in the course of their lives which, for the parents, are in associative connection with the suppressed fearful memories. These phenomena are carriers of grave memories for the survivor parent. The heightened emotional tension, hyperactivity of the parents and grandparents when the child eats or excretes draws the child's attention to the fact that behind these phenomena lies some unknown, painful, shameful secret.
Walter Wangerin Jr., Paul|I was so nearly happy. There remained only a tiny something, something unexplained and inexplicable that buzzed in my ear when the lights were out, like a malarial mosquito.
Adrienne Kress|we as authors have been writing about people we aren't for forever. We find a way to empathise, we find a way in. Female characters are no different. All they are are characters. They are people too. Instead of asking yourself, "How do I write this female soldier?" ask yourself, "How do I write this soldier? Where is she from, how was she raised, does she have a sense of humour? Is she big and tall, is she short and petite? How does her size affect her ability to fight? What is her favourite weapon, her least favourite? Why? Is she more logical than emotional? The other way around? Was she an only child and spoiled, was she the eldest of six siblings and a surrogate mother? How does that upbringing affect how she interacts with her team? etc etc and so forth." Notice how the first question gets you some kind of broad, generalised answer, likely resulting in a stereotype, and how the second version asks lots and lots of smaller questions with the goal of creating someone well rounded.One would hope, really, that we as authors ask such detailed questions of all our characters, regardless of gender.So let me, at long last, actually answer the original question:"How do I write a female character?"Write her the way you would write any other character. Give her dimension, give her strength but please also don't forget to give her weaknesses (for a totally strong nothing can beat her kind of girl is not a person, she's again a type - the polar opposite yet exactly the same as the damsel in distress).Create a person.
Joseph Prince|Right out of high school I never had the fear of getting beat, which is how most people lose.
Dejan Stojanovic|When there is noise and crowds, there is trouble; When everything is silent and perfect, There is just perfection and nothing To fill the air.
Sunday Adelaja|The pity is not that there is a myth of Sylvia Plath but that the myth is not simply that of an enormously gifted poet whose death came carelessly, by mistake, and too soon.
Élisabeth Badinter, The Conflict: How Modern Motherhood Undermines the Status of Women|Bushes may not be eloquent explaining emotion, but George HW Bush's mother knew enough to be in position with her children were ready to talk. She waited up not just to ensure safety but to make the most of the moment of excited emotions. The next morning, they would congeal into polite, one-word answers.
Dejan Stojanovic, The Sign and Its Children|When everything hurries everywhere, nothing goes anywhere.
Mark McKinnon|On March 12, 2004, acting attorney general James B. Comey and the Justice Department's top leadership reached the brink of resignation over electronic surveillance orders that they believed to be illegal.
Stephan Attia, The Rising Lines of Wonderment: Poetry|Break, break, break,On thy cold gray stones, O Sea!And I would that my tongue could utterThe thoughts that arise in me.O, well for the fisherman's boy,That he shouts with his sister at play!O, well for the sailor lad,That he sings in his boat on the bay!And the stately ships go onTo their haven under the hill;But O for the touch of a vanished hand,And the sound of a voice that is still!Break, break, break,At the foot of thy crags, O Sea!But the tender grace of a day that is deadWill never come back to me.
Clifton Fadiman|Experience keeps a dear school, but fools will learn in no other.
Matthew Donnelly|The true Renaissance person is endowed with panoramic attention.... The habit of noticing the ensemble of everything and its constituent parts is a matter of will, not of innate aptitude. It involves the conscious noticing of things and the gaps that separate and connect them.
Michael Brent Jones, Dinner Party: Part 2|Pride is not looked at as a weakness, though it is the epitome of it. You might hear 'oh that poor alcoholic probably had an awful upbringing' but you never hear any sympathy for a prideful person, 'poor thing is probably horribly insecure, maybe we should validate him as a person to help him out.' That's what you should hear, but you won’t. What I will say though, is that the key to curing pride is not so much in loving others more, but actually in loving yourself more. Loving your neighbor as yourself does no good if you don’t love yourself.
Taimoor Madni|Never expect someone to care for you or to care about your feelings and emotios Everyone's fucking heartless, people just don't give a damn about your stupid feelings or your boring stories. People only know how to fool you around and use you for their own benefits.
Christine Rawlins, A Vision of God|...there is a constant theme at the centre of all her writings which forms the heart of her vision of God, From her earliest novel to the mature vision of her autobiography, the central importance of unity, reconciliation, one-ness, is reiterated; for she came increasingly to see everything in life, even the darkness of fear and pain and suffering, as part of the one perfect whole that is Creation, that tiny hazelnut of Dame Julian's vision that was all that is made.
Heather London, Fall from Love|I realized that life doesn't work that way-that just because you have dreams and make plans, it doesn't mean that they will come true.
Kenneth|I felt need. It was you. I can never allow myself to need you. So, my only choice is to make you need me, because ridding myself of you is no longer an option.
Jackson Taviri|If the fear of the Lord is the beginning of wisdom, then the love of GOD is the apex of it!
William Shakespeare, Richard II|Each substance of grief hath twenty shadows, which shows like grief itself, but is not so; or sorrow's eye, glazed with blinding tears, divides one thing entire to many objects: like perspectives which, rightly gaz'd upon, show nothing but confusion:
Lu Guanqiu|The format of the race weekend is also very well thought out. We have enough practice time to get the cars well set-up and have a proper qualifying session where we can do as many laps as we like, which is great for the drivers and spectators.
Cristin Harber, Savage Secrets|- He's young, good-looking and new in town. And He's got the local bullies in his sights. There's no justice here, but justice is coming...NO JUSTICE, the addictive new adult thriller that everyone is talking about
Sandhya Jane|Best timepass for idle person is to find another and gossip, without realising that there are superlative degrees of idle, idler, and idlest.
Andrew Motion|A family with the wrong members in control; that, perhaps, is as near as one can come to describing England in a phrase.
Dave DiGrazie|Good literature is one key to peace. When we stop reading each other, when we stop paying attention to each other's words and stories, we too easily oppose one another.
Richard Bach|What is important in life is life, and not the result of life.
Nina George, The Little Paris Bookshop|Star light, Star brightI wish upon the stars tonight…I whispered your name to a star last nightLoudly, and so boldI closed my eyes, and saw your faceI spoke those words untoldI wish I may, I wish I mightIt shouted from my soulHave this wish, I wish tonightThe wish that won’t let go
M. Beth Bloom, Drain You|We weren't really friends yet, just knowers of each other's secret stuff.
Margaret Atwood, The Handmaid's Tale|My darling I still love you,no matter that you're gone.You'll always be with me,forever and ever more.
E.A. Bucchianeri, A Compendium of Essays: Purcell, Hogarth and Handel, Beethoven, Liszt, Debussy, and Andrew Lloyd Webber|... true evil needs no reason to exist, it simply is and feeds upon itself.
Pearl S. Buck, The Eternal Wonder|This LIFE is NOT about a BIG house, VALUABLE things, a FULL bank account or a POWERFUL status. It’s about having a BIG open mind and heart that respects and accepts differences. It’s about VALUING your family, friends & being grateful for the little things.It’s about FILLING your heart and soul full of love and laughter, making the best of each day while you can. It’s about having the POWER to have a positive attitude and show kindness even when you’re dealing with your own adversity. THAT’S what this LIFE is all about!
L.M. Montgomery, Anne of the Island: Anne Shirley Series #3|She wondered if old dreams could haunt rooms - if, when one left forever the room where she had joyed and suffered and laughed and wept, something of her, intangible and invisible, yet nonetheless real, did not remain behind like a voiceful memory.
Charlotte Elizabeth Tonna, Chapters on Flowers|Lancelot and Guinevere – they looked like two flowers, bright enough to turn to each other for sunlight.
Jill Briscoe, Faith Enough To Finish|God has a habit of using people, their gifts, and their resources to carry out His plans. In fact, we were created to be God’s deputies, doing His work on earth.
Mehmet Murat ildan|Be bold! You will then see that life will find no time to attack you, because you are attacking it!
Meg Cabot, Darkest Hour|I finally found my way to the Really Restricted Section, where they keep the kind of books most scholars aren't even supposed to know exist. I knocked on the closed door, said the proper passwords, and the door opened before me. I walked in, and the ghost of the Head Librarian, a thin, dusty presence, with dark eyes and a disapproving look, appeared before me, blocking my way. (He had been eaten by a book, then brought back by the other books, apparently because they approved of him. Because even though he didn't have much time for people, he loved books.)
Megan Fox|I like old movies, screwball comedies, vintage clothes, and basically I'm an old-fashioned gal.
Theodore Roosevelt, The Man in the Arena: Selected Writings|The citizen must have high ideals, and yet he must be able to achieve them inpractical fashion.
Simon Bolivar|Damn it, how will I ever get out of this labyrinth?
Sanchit Gupta, The Tree with a Thousand Apples|For us Deewan Bhai, whatever it takes
Ilchi Lee, Change: Realizing Your Greatest Potential|All beings are made up of LifeParticles, and ceaselessly interact and communicate on this deeper level of reality. Through this connection, all beings affect and reflect each other. Whatever we do, we do to ourselves. Whatever comes out of us comes back.
Paulo Coelho, Manuscript Found in Accra|Once again I had the desolating sense of having all along ignored what was finest in him. Perhaps it was just the incongruity of seeing him aloft and stricken, since he was by nature someone who carried others. I didn't think he knew how to act or even how to feel as the object of help.
Aishah Madadiy, Bits of Heaven|I don't like the memories because the tears come easily, and once again I break my promise to myself for this day. It's a constant battle. a war between remembering and forgetting.
Lucius Annaeus Seneca|Feeling gratitude isn't born in us - it's something we are taught, and in turn, we teach our children.
Sherwood Anderson, Death in the Woods and Other Stories|I don’t miss anyone. If I did I would do something about it. Besides, some people come back...in dreams. That’s when they’re honest.
Ray Bradbury, Fahrenheit 451|The zipper displaces the button and a man lacks just that much time to think while dressing at dawn, a philosophical hour, and thus a melancholy hour.
Lailah Gifty Akita, Think Great: Be Great!|Accept God's love, unconditional love.
Eugene Mirman, The Will to Whatevs: A Guide to Modern Life|You can only rule over a subject race, especially when you are in a small minority, if you honestly believe yourself to be racially superior, and it helps towards this if you can believe that the subject race is biologically different.
Paul Zane Pilzer|To create a new business that makes money, and more significantly, employs others, and more significantly, gives a product to a customer that improves their life, is our greatest challenge, our greatest opportunity, and the greatest gift, far greater than any charity that we can give our fellow person.
Roy T. Bennett, The Light in the Heart|Integrity is doing what is right and truthful, and doing as you say you would do.
Ian Mortimer, The Time Traveller's Guide to Medieval England: A Handbook for Visitors to the Fourteenth Century|The problem is we are not eating food anymore, we are eating food like products. (Hungry For Change Film)
John Moore|He turned his gaze upon her, and their eyes not only met, the pupils shook hands, exchanged business cards, and sat down for tea together.
John Donne, The Complete English Poems|Licence my roving hands, and let them go Before, behind, between, above, below.
Leonard Nimoy, Shekhina|Prayer Against the DarknessShekhinaPray for us now bound with scripture and shielded with shawlArmed with passion and loving carePray for us now against suffering, turmoil, and injusticePray for us now against the chaos of the dark.
Charles Haddon Spurgeon|It had never occurred to him that he should live in any other than what he would have called an ordinary way, with green glasses for hock, and excellent waiting at table. In warming himself at French social theories he had brought away no smell of scorching. We may handle even extreme opinions with impunity while our furniture, our dinner-giving, and preference for armorial bearings in our own ease, link us indissolubly with the established order.
Louise Penny, The Long Way Home|There are times now, and my life has changed so completely, that I think back on the early years and I find myself thinking: It was not that bad. Perhaps it was not. But there are times, too—unexpected—when walking down a sunny sidewalk, or watching the top of a tree bend in the wind, or seeing a November sky close down over the East River, I am suddenly filled with the knowledge of darkness so deep that a sound might escape from my mouth, and I will step into the nearest clothing store and talk with a stranger about the shape of sweaters newly arrived. This must be the way most of us maneuver through the world, half knowing, half not, visited by memories that can’t possibly be true. But when I see others walking with confidence down the sidewalk, as though they are free completely from terror, I realize I don’t know how others are. So much of life seems speculation.
Ann Landers|The closer one gets to the top  the more one finds there is no "top."
George R.R. Martin, A Storm of Swords|Decide, first, to simply be.
Deyth Banger|If your pain is the same like somebody else, I think that this will be the best couple it will be.
Ogwo David Emenike|To get leaders to become stakeholders in ministry and to understand the DNA of your church, you must invest in them, equip them, and raise the bar of accountability.
Viraj J. Mahajan, Derivation of Life|She was few inches taller than him and when for the first time her promising eyes met with his, he knew it would be more than friendship. He was too young to name that feeling then. But love...above all relationships knows no age.
Richie Norton|Life is a lesson, when you could get it over by your hands, means you just learned it well.
James Madison|I mean, it's the life lessons that I suppose you learn that nobody gets a free ride and that you do the best you can with the means that you can and try to open yourself to as much knowledge and all that that you can.
Elizabeth George, Prayers to Calm Your Heart: Finding the Path to More Peace and Less Stress|Each time you turn your life issues over to God and allow Him to lead, you build trust in Him.
John Updike|I don't think secrets agree with me, I feel rumpled up in mind since you told me that…
Rick Riordan, The Titan's Curse|Grover and Nico came back from their walk, and Grover helped me fix up my wounded arm."It's green!" Nico said with delight.
Joseph Tson|In his sermon on the baptism of the Spirit, Chamberlain points out Peter's focus in Acts 2. The amazing work of enabling the apostles to speak languages in which they had not been trained drew the attention of the crowd so Peter could address them. No doubt, they wanted an in-depth explanation. But Peter uses this incident to point to Christ and uses the attention he has to fully explain the Gospel – NOT to sensationalize a gift of the Spirit.
Mark McKinnon|I have a mentor. I have... guides. I have a lot of guides. Not a lot, but people whose opinions I really respect and who I will turn to.
Craig Groeschel, Weird: Because Normal Isn't Working|He knows every hair on your head, and he sees every tear you shed.
Gary Johnson|National data on evictions aren't collected, although national data on foreclosures are. And so if anyone wants to, kind of, get to know any statistical research about evictions, they have to really dig in the annals of legal records.
Ralph Waldo Emerson, The Essays of Ralph Waldo Emerson|It's nice to be liked, but it's better to be respected.
Kurt Vonnegut Jr.|What I had to say to you, moreover, would not take long, to wit: Practice any art, music, singing, dancing, acting, drawing, painting, sculpting, poetry, fiction, essays, reportage, no matter how well or badly, not to get money and fame, but to experience becoming, to find out what’s inside you, to make your soul grow. Seriously! I mean starting right now, do art and do it for the rest of your lives…. You have experienced becoming, learned a lot more about what’s inside you, and you have made your soul grow.
Rosemary Sutcliff, Sword at Sunset|It is lonely never to have been loved, only devoured.
Herta Müller, The Hunger Angel|Stung, I lifted my eyes to his and saw them as if for the first time. Eyes the color of rain, soft as dew and strong enough to etch a mountainside. Tears shimmered there — tears, ay Mother! Or maybe they were in my own eyes.
John C. Calhoun|The Korean War, which China entered on the side of North Korea, fixed Mao's image in the United States as another unappeasable Communist.
Nido Qubein|When a goal matters enough to a person, that person will find a way to accomplish what at first seemed impossible.
Lisa McMann|Because our power is motivating, and gives momentum and ownership of changes to those who dream of failure.
Yogi Vini|Keep flowing even its good or bad. Stilness is ultimate result of flow, path of yoga is to keep flowing.
Michalopoulos Angelos|Pay no attention to the smartest, the prettiest, the richest, the most refined person you know. Welcome to your heart only the one who has kindness in his soul. All the rest of them, if they are not kind people in addition to what they are, at some point will harm you, putting their personal interest above all, crushing any part of your soul it does not suit them for you to have, turning any serenity of yours into a cage full of destructive storms.
Michael Benningfield|A friend once told me "Michael, if you were a villain, you'd be the Joker," to which I replied, "no, dear friend - if the Joker were a villain, he'd be ME.
Kenneth Eade, Killer.com|The principal differences between law and science are as follows:1. In the administration of the law, facts are necessary to enable the umpire (jury, judge) to decide whether rules have been broken and, if so, the type of penalty to apply. In science, facts are necessary to form new or better theories and to develop novel applications (for example, drugs, machines). Novelty is not a positive value in law. Instead, the lawyer looks for precedent. For the scientist, however, novelty is a value; new facts and theories are sought, whether or not they will prove useful. 2. If we endeavor to change objects or persons, the distinction between law (both as law making and law enforcing) and applied science disappears. In applying scientific knowledge, one seeks to change objects, or persons, into new forms. The scientific technologist may thus wish to shape a plastic material into the form of a chair, or a delinquent youth into a law-abiding adult. The aims of the legislator and the judge are often the same. Thus, legislators may wish to change people from drinkers into nondrinkers; or judges many want to change fathers who fail to support their dependent wives and children into fathers who do. This [is a] "therapeutic" function of law.
Max Brooks, World War Z: An Oral History of the Zombie War|A man should be able to hear, and to bear, the worst that could be said of him.
Charles de Gaulle|The men who abandon themselves to the passions of this miserable life, are compared in Scripture to beasts.
Elizabeth Wurtzel|What we women need to do, instead of worrying about what we don't have, is just love what we do have.
Melissa Simmons, Best Thing I Never Had|What is your preference?" She felt nearly sick asking this question."My preference is to pack you in my suitcase,but those TSA people are so picky,and there's some kind of stupid regulation about human trafficing and-""Justin. This is serious.
Raubin Chaudhary|He hid in the crowd, she hid in herself.
Craig D. Lounsbrough|we were not born the same, we are all not born with the same abilities and capabilities, but no matter what seed God has given to us, be it small or big, He expects a good returns from us in the end and we must endeavor to be good stewards and managers of our abilities and capabilities regardless of where we live and the challenges we face!
Christina Engela, Bugspray|A great deal of what I say just leaves me open, I suppose, to a vast amount of misunderstanding. A great deal of what I say is based on an assumption which I hold and don’t always state. You know my fury about people is based precisely on the fact that I consider them to be responsible, moral creatures who so often do not act that way. But I am not surprised when they do. I am not that wretched a pessimist, and I wouldn’t sound the way I sound if I did not expect what I expect from human beings, if I didn’t have some ultimate faith and love, faith in them and love for them. You see, I am a human being too, and I have no right to stand in judgment of the world as though I am not a part of it. What I am demanding of other people is what I am demanding of myself.'- James Baldwin
Brad Sherman|Sane judgment abhors nothing so much as a picture perpetrated with no technical knowledge, although with plenty of care and diligence.
Akshay Vasu|Every single time you looked at me, through the corner of your eye and smiled. My heart pushed the ribs with all the force towards my lungs, until it got crushed and I could not breathe anymore.
Ramona Ausubel, A Guide to Being Born: Stories|You must have come from very far down," Alice says to the fish, "to have your own lantern.
Jessica Lemmon, If You Dare|They’d used sex instead of communication in the past, and it had turned out disastrously.
Ned Hayes, The Eagle Tree|I fall for centuries of life. First sunlight touches this hillside; and buried inside the earth, a seed stirs, turning slowly in the deep soil like a tadpole turning itself in a dank pool.
Agha Kousar|Fear makes people do cruel things, things they'll be ashamed of later
Germaine Gibson, Theme Park Erotica|-Now the paperwork –	-What if I don’t want to do the Ultimate, right away? Maybe I want to ease into this thing gently.-No you don’t.-I might. I might just want to ease into the activity, the idea of it.-it’ll be fine, said Rebecca.-you will be fine, and no regrets, honestly. Jillian took me over to the desk.-No possible regrets, said Rebecca, just sign this, she handed me a sheaf of forms.-Jesus I don’t want to buy the place, I scanned the pages – 45 pages.-just fill in page 25 through28 and sign.-Pages 25 through 28, what is this?Rebecca took the pages of forms from my hand – look its simple stuff, here we’ll read it through. Jillian looked over her shoulder at the pages-weight?-what?- Say 110, Jillian said.-Height?-5’ 8’’, Jillian again.-Hair length?-What? Why?-Long, Jillian again.-Cup size?- O come on.- say C-how about say nothing, I was getting angry-Shaved or bikini or natural?-Fuck offRebecca ticked a box anyway – well she was at the waxing too. Why ask in fact?-Last menstrual cycle?- enough, enough, give me those papers-Yes ignore that, said Rebecca taking the pages away from my grasping hand-Tested? she said this to Jillian-Tested? What tested? What do you mean tested?-Yes, said Jillian, I forwarded a blood sample from the main island-You what!-You were sleeping.-Great now sign here, Rebecca handed me a page and a pen-Who has blood samples for a theme park?-Everyone-especially the staff, can’t have mi’lady getting STDsI took a breath-This is getting a bit weird guys are you sure? I mean, well this is a bit, weird.-We’re 100 and a million per cent sure, said Jillian- 100 million per cent, said Rebecca
Helen Rowland|Results for "A man is like a cat; chase him and he'll run; sit still and ignore him and he'll come purring at your feet
Sarah MacLean, Eleven Scandals to Start to Win a Duke's Heart|We are a motley bunch. But we more than make up for it with tenacity." ~ Ralston to Simon
Hilari Bell, The Sword of Waters|Fight, fight, fight and get that money, money, money. ’Cause happiness can’t buy even a nickel.
Dave Pelzer, A Child Called "It"|Sadness flies on the wings of the morning, and out of the heart of darkness comes the light.
Brennan Manning, The Ragamuffin Gospel: Good News for the Bedraggled, Beat-Up, and Burnt Out|The sinners to whom Jesus directed His messianic ministry were not those who skipped morning devotions or Sunday church. His ministry was to those whom society considered real sinners. They had done nothing to merit salvation. Yet they opened themselves to the gift that was offered them. On the other hand, the self-righteous placed their trust in the works of the Law and closed their hearts to the message of grace.
Michelle Obama|When they go low, we go high.
Airicka Phoenix, Octavian's Undoing|If an action must be taken that will benefit the majority at the cost of the minority, is it morally indefensible? If an action taken for the benefit of a majority occurs at the expense of a minority, is it moral action?
Caroline Kennedy, She Walks in Beauty: A Woman's Journey Through Poems|Falling in love is a series of moments in which the ordinary becomes extraordinary. Those moments are not continuous, but the sense of union with another person is just about the best thing there is.
Randa Abdel-Fattah|Despite our very recent appearance on the planet, humanity combines arrogance with increasing material demands, even as we become more numerous. Our toughness is a delusion. Have we the intelligence and discipline to vigilantly guard against our tendency to grow without limit?
A. Zavarelli, Crow|True sincerity works more than a magnet. It attracts, bond and take people farther far better than mere action and words!
Sarah Glenn Marsh, Fear the Drowning Deep|And with the melody came the unmistakable sound of water slapping against the rocks far below us, slowly eroding the foundation of Port Coire and everything I loved.
Samuel Taylor Coleridge|I have very vivid dreams - almost always action-adventure. I'm often on the run. I've always had dreams. When I was little, I'd go to sleep with my head on my hands, which were in fists like I was looking through a camera. I felt like sleep was the movies - just drifting off to the movies.
Dani Harper, Storm Warrior|Rhys—if that was even his real name—either believed what he was saying or he was a prime candidate for an Oscar. Because try as Morgan might, she couldn’t see any evidence that he was lying. He had to be crazy then, but everything about the whole situation was insane. After all, she was standing in her front yard in her pajamas, holding a naked man at the point of a garden hoe. She’d taken assertive action when she’d seen him lying in the grass, assuming he was drunk or something. Well, she’d gotten the upper hand all right. Now what was she supposed to do with the guy?
Stephanie Georgopulos|You’ll pass through highs and lows in life, and somehow, somewhere, you’ll lose the urge to call him up everytime something good or bad happens. For every song that reminds you of him, you’ll find five new ones that remind you of something better, something more important. You’ll stop thinking that the break-up was somehow your fault. You’ll finally see him for what he is, and yet you won’t hate him. No, it will not be hate, but indifference that will replace love.
Bryant McGill, Voice of Reason|The joy and smile of even one child is worth more than the prancing intellects of a thousand men, for we are, that we might have joy, and be free.
H.S. Ede, Savage Messiah|A great artist is conscious of the talent and the power he possesses, otherwise he would not see his faults, and so would not be able to improve.
Nicole  Lyons|I am a lover of words and tragically beautiful things, poor timing and longing, and all things with soul, and I wonder if that means I am entirely broken, or if those are the things that have been keeping me whole.
Thomas Hardy, Tess of the D'Urbervilles|Joan Durbeyfield always manged to find consolation somewhere: 'Well, as one of the genuine stock, she ought to make her way with 'en, if she plays her trump car aright. And if he don't marry her afore he will after. For that he's all afire wi' love for her any eye can see.' 'What's her trump card? Her d'Urberville blood, you mean?' 'No, stupid; her face - as 'twas mine.
Polly Johnson, Stones|How is it that time can be elastic? Sometimes years seem to go by while you're looking the other way, and sometimes-when you most long for it to pass-life-times can stretch from a few hours
Ifeanyi Enoch Onuoha|If a book is worth reading, it will most probably be worth reading twice.
Seth MacFarlane|The behavior of the crowd at Churchill Downs is like 100,000 vicious Hyenas going berserk all at once in a space about the size of a 777 jet or the White House lawn.
Marvin Harris|In 1977, at least, he wished to have people believe that he shared and was proud of an attitude toward women that is not acceptable in a politician. In 2003, all he has said is that he doesn't remember the interview.
William Beckford, The Episodes of Vathek|The intellectual climate of the 1970s, for which the 1950s had already paved the way, contributed to this. A theory was even finally developed at that time that pedophilia should be viewed as something positive. Above all, however, the thesis was advocated-and this even infiltrated Catholic moral theology-that there was no such thing as something that is bad in itself. There were only things that were "relatively" bad. What was good or bad depended on the consequences. In such a context, where everything is relative and nothing intrinsically evil exists, but only relative good and relative evil, people who have an inclination to such behavior are left without no solid footing. Of course pedophilia is first rather a sickness of individuals, but the fact that it could become so active and so widespread was linked also to an intellectual climate through which the foundations of moral theology, good and evil, became open to question in the Church. Good and evil became interchangeable; they were no longer absolutely clear opposites.
Charles Dickens, Bleak House|The present representative of the Dedlocks is an excellent master. He supposes all his dependents to be utterly bereft of individual characters, intentions, or opinions, and is persuaded that he was born to supersede the necessity of their having any. If he were to make a discovery to the contrary, he would be simply stunned — would never recover himself, most likely, except to gasp and die.
Andy Andrews, The Noticer Returns: Sometimes You Find Perspective, and Sometimes Perspective Finds You|Our choices now - this week, this month, this year - are very sticky. Once made, their effects never go away. Rather, those choices about how we think and what we do are a constant presence. Every thought, every action is a choice, and even now the choices you have made in your life thus far are shifting and combining in order to create who you really are. Therefore, simple logic says that by paying careful attention to our choices from this point forward, we can create a future we choose instead of a future that 'happens.
Thomas Pynchon, Gravity's Rainbow|Shit, money, and the World, the three American truths, powering the American mobility, claimed the Slothrops, clasped them for good to the country's fate. But they did not prosper... about all they did was persist
Harlan Coben, Fool Me Once|Doctors kept stressing that mental disease was the same as physical disease. Telling someone who was clinically depressed, for example, to shake it off and get out of the house was tantamount to telling a man with two broken legs to sprint across the room. That was all well and good in theory, but in practice, the stigma continued. Maybe, to be more charitable, it was because you could hide a mental disease.
Kiera Cass, The Siren|She was dark-haired, fierce; she wore two drop earrings made of crystal; her face was a pure oval tickled with dimples; her skin was golden; and her laugh was like a fire in the night. But on her face you could also read the concentration of a soul whose life is entirely inward, and a mischievous gravity which acquires a silver patina with age.
George Orwell, 1984|There was a direct intimate connection between chastity and political orthodoxy. For how could the fear, the hatred, and the lunatic credulity which the Party needed in its members be kept at the right pitch, except by bottling down some powerful instinct and using it as a driving force? The sex impulse was dangerous to the Party, and the Party had turned it to account. They had played a similar trick with the instinct of parenthood. The family could not actually be abolished, and, indeed, people were encouraged to be fond of their children, in almost the old-fashioned way
William Hazlitt|There are at the present time two great nations in the world, which started from different points, but seem to tend towards the same end. I allude to the Russians and the Americans. Both of them have grown up unnoticed; and whilst the attention of mankind was directed elsewhere, they have suddenly placed themselves in the front rank among the nations, and the world learned their existence and their greatness at almost the same time.All other nations seem to have nearly reached their natural limits, and they have only to maintain their power; but these are still in the act of growth. All the others have stopped, or continue to advance with extreme difficulty; these alone are proceeding with ease and celerity along a path to which no limit can be perceived. The American struggles against the obstacles which nature opposes to him; the adversaries of the Russian are men. The former combats the wilderness and savage life; the latter, civilization with all its arms. The conquests of the American are therefore gained with the ploughshare; those of the Russian by the sword. The Anglo-American relies upon personal interest to accomplish his ends, and gives free scope to the unguided strength and common sense of the people; the Russian centres all the authority of society in a single arm. The principal instrument of the former is freedom; of the latter, servitude. Their starting-point is different, and their courses are not the same; yet each of them seems marked out by the will of Heaven to sway the destinies of half the globe.
Dallas Willard, Hearing God: Developing a Conversational Relationship with God|We live in a culture that has, for centuries now, cultivated the idea that the skeptical person is always smarter than one who believes. You can almost be as stupid as a cabbage as long as you doubt.
Andre Benjamin|I want to make sure I don't interfere with the success of that team next year. I don't see any way I could go to practice like most of 'em do, and not hurt the team. I'd go nuts if I tried doing that.
Stephanie Kuehn, Charm & Strange|You wanted to live," he says."You say that like it's a good thing. A virtue.""What is it really?"I think about this. "Selfish.""Wanting to live is selfish?""Yes.
Kristian Williams, Our Enemies in Blue: Police and Power in America|You don’t understand,” my dad said. “They stop you.” “Who? What are you talking about?” my mom asked. “That’s why I was being cautious.” “Who stops you?” “The police. If you’re white, or maybe Oriental, they let you drive however you want. But if you’re not, they stop you.” “Who told you that?” “The guys at the diner. That’s what they say. If you’re black or if you’re brown, they automatically think you’ve done something wrong.” “Rafa, that’s ridiculous. We’ve lived here for fifteen years. We’re citizens.” “The police don’t know that by looking at us. They see a brown face through the windshield and boom! Sirens!” My mom shook her head. “That’s what that was about?” “I didn’t want to give them reason to stop me.” “You were driving like a blind man, Rafa. That will give them reason to stop you.” “Everybody else just has to obey the law. We have to obey it twice as well.” “But that doesn’t mean you have to go twice as slow as everybody else!” The light turned green and my dad brought the car out of first. We cruised under the overpass, a shadow draping over the car like a blanket. “Next time, just try to blend in with everyone else and you’ll be fine,” my mom offered. “The way of the world,” my dad said. “What?” my mom asked as we emerged back into the sunlight. “Just trying to blend in. That’s the way of the world.” “Well, that’s the way of America, at least,” my mom said.
