Alex Hirsch, Gravity Falls: Journal 3|Life is totally unbelievable. Enjoy it at its fullest, with no regrets.
Sara Zaske, Green|Every historical form of society is in its foundation a form of organization of labor. While every previous form of society was an organization of labor in the interests of a minority, which organized its State apparatus for the oppression of the overwhelming majority of the workers, we are making the first attempt in world history to organize labor in the interests of the laboring majority itself.
Amit Ray, Mindfulness Meditation for Corporate Leadership and Management|Great leaders have three things; inner light, inner vision and inner strength.
Sharon Law Tucker, How to Be a BadAss - A Survival Guide for Women|It was 10:30 in the morning and I was already running behind. This is hardly unusual, but it pisses me off every single time.
Megan Thomason, Daynight|Most people don't see half of what's in front of them. Your visual cortex does a shit load of imaging processing before the signal even gets to your brain, whose priorities are still checking the ancestral Savannah for dangerous predators, edible berries and climable trees. That's why a sudden cat in the night can make you jump and some people when distracted, can walk right out in front of a bus. Your brain just isn't interested in those large moving chunks of metal or the static heaps of brightly colored stuff that piles up in drifts around us. Never mind all that, says your brain, it's those silent fur-covered merchants of death you've got to watch out for.
Jill Conner Browne, The Sweet Potato Queens' Big-Ass Cookbook|I am growing old of course, but I am still in the early stages of disintegration, and regarded as just about cool enough by some fashionable young ppl to be permitted to think aloud.
Agatha Christie|We are ready to despair too soon, we are ready to say, ‘What’s the good of doing anything?’ Hope is the virtue we should cultivate most in this present day and age.
Andrew Agbonlahor, Demystifying Jesus of Nazareth: Parables and miracles.|Even the Master, in one way or another, is a student throughout life.
Clarissa Pinkola Estés, Women Who Run With the Wolves: Myths and Stories of the Wild Woman Archetype|The word pneuma (breath) shares its origins with the word psyche; they are both considered words for soul. So when there is song in a tale or mythos, we know that the gods are being called upon to breathe their wisdom and power into the matter at hand. We know then that the forces are at work in the spirit world, busy crafting soul.
Swami Dhyan Giten, Presence - Working from Within. The Psychology of Being|I remember an insight that taught me much about life. One day I felt that I had everything that I really wanted in life. I had a creative and meaningful work as a therapist and course leader, I had a relationship with a beautiful woman, who I loved and who loved me, I had friend that I trusted and I had money to do what I wanted. But in spite of all this, I still had a feeling that there was something missing in my life. I was not satisfied. The thirst and longing in my heart was still searching for something more. It made me realize that the deepest pain in my heart was that I was still separated from the Whole and that no outer things or relationships could ease this pain.
Percy Bysshe Shelley|I have drunken deep of joy,And I will taste no other wine tonight.
Lin Pardey, Bull Canyon: A Boatbuilder, a Writer and Other Wildlife|The night was white-blind with fog, and Kate staggered over every stone and stumbled in every puddle, but she pushed on as fast as she could.
|You are fine just the way you are. Don't allow anyone to reduce you to a state of inferiority. God created us all in His own image. Therefore, there is absolutely nothing inferior about you.
Lara Biyuts, The Sunless Parlour|Thinking more deeply into things usually left alone helps us to find bubbles of truth and clarity. When we realize we have power over our minds, we find strength, and that helps us float high along the forces of fate that order our motions within shapeless space.
R.J. Torbert, No Mercy|The other good thing was that I had enough rank to strong-arm Marjit into confessing that she'd been the one who'd told everything to Pa about my first invisibility cap, which was how Pa knew to come steal it. Unfortunately, since my rank in the surface world hung off Pa's, I did NOT have enough rank to take him to task for stealing my cap. So I just put him to sleep during a fancy dinner, so that he went facedown into the sour soup. Just the once. It eased my ire terrifically.
Mortimer J. Adler, How to Read a Book: The Classic Guide to Intelligent Reading|The light of the sun is the manifestation of the clarity of the sky; and the sky is the basic condition necessary for the manifestation of the sun's light. So, too, in the sky two, three, four, or any number of suns could arise; but the sky always remains indivisibly one sky. Similarly, every individual's state of presence is unique and distinct, but the void nature of the individual is universal, and common to all beings.
Kurt Vonnegut Jr.|If I should ever die, God forbid, let this be my epitaph:THE ONLY PROOF HE NEEDEDFOR THE EXISTENCE OF GODWAS MUSIC
Flannery O'Connor|The Catholic novelist in the South will see many distorted images of Christ, but he will certainly feel that a distorted image of Christ is better than no image at all. I think he will feel a good deal more kinship with backwoods prophets and shouting fundamentalists than he will with those politer elements for whom the supernatural is an embarrassment and for whom religion has become a department of sociology or culture or personality development.
Ched Myers|I had never seen a woman in such despair before. It was worse than death, it was a constant longing for death and a constant rejection of life. She lived like darkness in her own day.
Lailah Gifty Akita|If we neither regard the deeds nor respect the works of God, it leads to rebellion.
Jammi Avila|Friends could be more influential than spouses. Hence selection should be based on attitude not apparel, on outcome not outlook, on personal beliefs not parental background.
Ann Landers|If you have a good name  if you are right more often than you are wrong  if your children respect you  if your grandchildren are glad to see you  if your friends can count on you and you can count on them in time of trouble  if you can face your God and say "I have done my best " then you are a success.
Henry Hazlitt|The dilemma is this. In the modern world knowledge has been growing so fast and so enormously, in almost every field, that the probabilities are immensely against anybody, no matter how innately clever, being able to make a contribution in any one field unless he devotes all his time to it for years. If he tries to be the Rounded Universal Man, like Leonardo da Vinci, or to take all knowledge for his province, like Francis Bacon, he is most likely to become a mere dilettante and dabbler. But if he becomes too specialized, he is apt to become narrow and lopsided, ignorant on every subject but his own, and perhaps dull and sterile even on that because he lacks perspective and vision and has missed the cross-fertilization of ideas that can come from knowing something of other subjects.
Eileen Anglin|When the productive lands lose their essence, our productive lives shall least have essence!
Matthew Desmond, Evicted: Poverty and Profit in the American City|Our cities have become unaffordable to our poorest families, and this problem is leaving a deep and jagged scar on our next generation.
Sheena Iyengar|Mr. Speaker, high natural gas prices and the summer spike in gasoline prices serve as a stark reminder that the path to energy independence is a long and arduous one.
Simone de Beauvoir, The Ethics of Ambiguity|Today, however, we are having a hard time living because we are so bent on outwitting death.
Algernon Charles Swinburne, Laus Veneris|When I tell you that you’re beautiful, I don’t just mean your appearance. I mean all of you; who and what you are, is beautiful.
Geneen Roth, Women, Food and God: An Unexpected Path to Almost Everything|Before Venus, censorious; before Mars, timid.
Alejandra Díaz Mattoni, The Wet Woman|You fight with Niles?" Max asked suddenly."No.""Never?""No! And stop asking about Niles," I demanded.He ignored my demand and kept questioning. "Didn't care enough to fight, didn't match you in fire, or was so lazy he just put up with your shit?
Banani Ray, Glory of OM: A Journey to Self-Realization|You do not need to go to any temple or church to worship God. The whole existence is God’s temple. Your own body is the temple of God. Your own heart is the shrine. You do not need to subscribe to any religion to experience God. The only religion you need to experience God is love, kindness and respect to all beings.
Debasish Mridha|Love those thoughts,those thoughts of love,those delights for heart,tickler of life, twinkles in eyes.
Donna Grant, The Hero|Nat,” he whispered and lowered his head.	Her heart missed a beat as his soft mouth brushed against hers. Then his lips were atop hers, firmly, his tongue sliding against them.
Saul Bellow, Henderson the Rain King|We must never underestimate our power to be wrong when talking about God, when thinking about God, when imagining God, whether in prose or in poetry. A generous orthodoxy, in contrast to the tense, narrow, or controlling orthodoxies of so much of Christian history, doesn't take itself too seriously. It is humble. It doesn't claim too much. It admits it walks with a limp.
Mary Karr|But it’s a neurological fact that the scared self holds on while the reasoned one lets go. The adrenaline that let our ancestors escape the sabertooth tiger sears into the meat of our brains the extraordinary, the loud. The shrieking fight or the out-of-character insult endures forever, while the daily sweetness dissolves like sugar in water.
Frances Densmore, American Indians and Their Music|Whoever sees me sees the teaching, and whoever sees the teaching sees me.
Amanda Grace, But I Love Him|Wait." I began to pull off his jacket. "You forgot this.""Keep it," he said without looking back. "I'll get it from you on Monday. When we discuss tutoring."And Noah Hutchins - girl-using stoner boy and jacket-loaning savior - faded into the shadows.
Jackie Stewart|You can't tell what's aboard a container ship. We carried every kind of cargo, all of it on view: a police car, penicillin, Johnnie Walker Red, toilets, handguns, lumber, Ping-Pong balls, and IBM data cards.
Bill Nye|Christianity is not about religion. It's about faith, about being held, about being forgiven. It's about finding joy and finding home.
Abbi Glines, Fallen Too Far|Blaire, even if all we do is kiss or just lay there and talk, I'm okay with that. I just wanted you up here. Close to me.
Jeannette Walls, Half Broke Horses|The women I know with strong personalities, the ones who might have become generals or the heads of companies if they were men, become teachers. Teaching is a calling, too. And I've always thought that teachers in their way are holy--angles leading their flocks out of the darkness.
Niccolo Machiavelli|I really believe that all of us have a lot of darkness in our souls. Anger, rage, fear, sadness. I don't think that's only reserved for people who have horrible upbringings. I think it really exists and is part of the human condition. I think in the course of your life you figure out ways to deal with that.
Leonardo da Vinci|I prefer drawing to talking. Drawing is faster, and leaves less room for lies.
E.M. Forster, A Room with a View|We cast a shadow on something wherever we stand, and it is no good moving from place to place to save things; because the shadow always follows. Choose a place where you won't do harm - yes, choose a place where you won't do very much harm, and stand in it for all you are worth, facing the sunshine.
Angelica Hopes, Rhythm of a Heart, Music of a Soul|Shine in any season of your life!Head on with confidence in your life’s pilgrim!In deep faith, countless hope and unconditional love blessed by the Almighty.Newness of each rising day, bringing forth colourful sunsets.Enkindle your soul once more with courage, joy and love,flowing in a river of awakening & sharing:with a heart who once knew that hurt, pain, loss…means to SHINE!
Gayle Forman, Where She Went|It's my turn to see you through,' she whispers, coming back to me and wrapping me in her blanket as I lose my shit all over again. She holds me until I recover my Y chromosome.
K.K. Cook|If you really want things to change, you have to get involved. Little strokes fell big oaks, you know.
H. Beam Piper, Four Day Planet|Ideas are fruits of your thinking. But they've got to be harnessed and put to work to have value.Each year an oak tree produces enough acorns to populate a good-size forest. Yet from these bushels of seeds perhaps only one or two acorns will become a tree. The Squirrels destroy most of them, and the hard ground beneath the tree doesn't give the few remaining seeds much chance for a start. So it is with ideas. Very few bear fruit. Ideas are highly perishable. If we're not on guard, the squirrels (negative-thinking people) will destroy most of them. Ideas require special handling from the time they are born until they're transformed into practical ways for doing things better. 
Vir Das|Nothing was planned in my career. I just went with the flow and took everything that came to me. Selling potato chips was obvious, as it was a family business. When friends suggested I should try theatre, I gave it a shot. Then I did a lot of advertisements, and then movies happened.
Conway Twitty|Our law is a Jordanian law that we inherited, which applies to both the West Bank and Gaza, and sets the death penalty for those who sell land to Israelis.
John Zmirak, The Politically Incorrect Guide to Catholicism|God's nothing more than a twelve-year-old kid with an ant farm. He's always watching, but He's never gonna do anything.
M.C. Steve|Because zombies can’t go out into the sun, most of them tend to be afraid of anything that can go into the sun and live to tell the tale.
J.D. Robb|Lord, Give me the strength not to bitch slap this woman.
Boria Sax|We writers constantly try to build up our own confidence by getting published, making sales, winning prizes, joining cliques or proclaiming theories. The passion to write constantly strips this vanity aside and forces us to confront that loneliness and the uncertainty with which human beings, in the end, live and die.
Syrie James, The Missing Manuscript of Jane Austen|I do not think that G. H. Hardy was talking nonsense when he insisted that the mathematician was discovering rather than creating... The world for me is a necessary system, and in the degree to which the thinker can surrender his thought to that system and follow it, he is in a sense participating in that which is timeless or eternal.
Mahsati Abdul|Frank, I ran into Gladys and Billy at the store yesterday. Do you know what he said to me?"The girls went very quiet. Frank didn't look up."Hello?" he asked, and kept rubbing Henry's knife.Dotty hit him with her rag. "He said that. And so did she. But the important part was when he said, 'Frank ever get that door open?' Do you know what I said? What I said was--Are you ready for this? I said, 'No,'""Ah" Frank said. He lifted Henry's knife up to his mouth and dabbed the blade with his tongue. "That's my honest wife. I appreciate you lookin' out for my dignity.
Mehmet Murat ildan|MISS YOU WILL MISS ME IF YOU, MISS UNDERSTAND ME
Ariel Sharon|I've often made critical comments about settlement expansion in the occupied West Bank and in east Jerusalem, and my position hasn't changed. At the same time, it's equally important to me that the two sides, both Israel and the Palestinians, work towards a durable peace settlement: that's to say a viable two-state solution.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|To really change the world, we have to help people change the way they see things.
Susan Glaspell|...and he just sat back and stared at the tube, almost interested in what was happening, trying to find the ability to believe in that lie so he could believe the one within.
Emma Straub, Modern Lovers|In the book, you lost your powers. In the movie, you chose not to use them as much. I guess I did a little of both.
Sunday Adelaja|If you are faithful and diligent in your work, God will place you before kings
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|My sacred twins live in blissful harmony, and I am integrated.
Mark Hoppus|My mom and dad passed away from cancer. Within nine months, I lost both of my folks. Immediately after that, I had a horrible betrayal where my brother, who worked for me, stole a lot of my money. He's in jail now.
Abigail Roux|Listening is an act of love. When you listen to people, you are communicating non-verbally that they are important to you.
Naomi Wolf, Vagina: A New Biography|Be at the aim of a gun, but you get out of Larsson TIGER's green eyes sight ...
Marissa Meyer, Winter|There was an edge to his expression, like he didn't trust anyone who was more attractive than he was.
William Blake, Jerusalem|I must create a system, or be enslaved by another man's. I will not reason and compare: my business is to create.
Richard Williams, The Animator's Survival Kit: A Manual of Methods, Principles, and Formulas for Classical, Computer, Games, Stop Motion and Internet Animators|We're not copying life, we're making a comment on it.
Jonathan Tropper, This is Where I Leave You|I wasted a lot of time being angry, time I can't get back. And now I see you, so angry about what happened to your marriage, and I just want to tell you, at some point it doesn't matter who was right and who was wrong. At some point, being angry is just another bad habit, like smoking, and you keep poisoning yourself without thinking about it.
Danny Wallace, Charlotte Street|All we get are moments, Cole. One at a time, like heartbeats. Once all of them is gone, that’s it. No do-overs. No repeats. Every moment possesses its down kind of magic and what we do with it counts. It counts.
Edith Wharton, The House of Mirth|Come, Paul!" she reiterated, her eye grazing me with its hard ray like a steel stylet. She pushed against her kinsman. I thought he receded; I thought he would go. Pierced deeper than I could endure, made now to feel what defied suppression, I cried -"My heart will break!"What I felt seemed literal heart-break; but the seal of another fountain yielded under the strain: one breath from M. Paul, the whisper, "Trust me!" lifted a load, opened an outlet. With many a deep sob, with thrilling, with icy shiver, with strong trembling, and yet with relief - I wept."Leave her to me; it is a crisis: I will give her a cordial, and it will pass," said the calm Madame Beck.To be left to her and her cordial seemed to me something like being left to the poisoner and her bowl. When M. Paul answered deeply, harshly, and briefly - "Laissez-moi!" in the grim sound I felt a music strange, strong, but life-giving."Laissez-moi!" he repeated, his nostrils opening, and his facial muscles all quivering as he spoke."But this will never do," said Madame, with sternness. More sternly rejoined her kinsman -"Sortez d'ici!""I will send for Père Silas: on the spot I will send for him," she threatened pertinaciously."Femme!" cried the Professor, not now in his deep tones, but in his highest and most excited key, "Femme! sortez à l'instant!"He was roused, and I loved him in his wrath with a passion beyond what I had yet felt."What you do is wrong," pursued Madame; "it is an act characteristic of men of your unreliable, imaginative temperament; a step impulsive, injudicious, inconsistent - a proceeding vexatious, and not estimable in the view of persons of steadier and more resolute character.""You know not what I have of steady and resolute in me," said he, "but you shall see; the event shall teach you. Modeste," he continued less fiercely, "be gentle, be pitying, be a woman; look at this poor face, and relent. You know I am your friend, and the friend of your friends; in spite of your taunts, you well and deeply know I may be trusted. Of sacrificing myself I made no difficulty but my heart is pained by what I see; it must have and give solace. Leave me!"This time, in the "leave me" there was an intonation so bitter and so imperative, I wondered that even Madame Beck herself could for one moment delay obedience; but she stood firm; she gazed upon him dauntless; she met his eye, forbidding and fixed as stone. She was opening her lips to retort; I saw over all M. Paul's face a quick rising light and fire; I can hardly tell how he managed the movement; it did not seem violent; it kept the form of courtesy; he gave his hand; it scarce touched her I thought; she ran, she whirled from the room; she was gone, and the door shut, in one second.The flash of passion was all over very soon. He smiled as he told me to wipe my eyes; he waited quietly till I was calm, dropping from time to time a stilling, solacing word. Ere long I sat beside him once more myself - re-assured, not desperate, nor yet desolate; not friendless, not hopeless, not sick of life, and seeking death."It made you very sad then to lose your friend?" said he."It kills me to be forgotten, Monsieur," I said.
Kresley Cole, Dreams of a Dark Warrior|Apparently unaffected, she rose. "Yeah, you're probably right. I should be going." She feigned a yawn. "You've gotta head back to work and I've gotta head to jail. Big night for me. I'm planning to shiv someone for a bar of soap. --
Stephen Richards, Street Warrior: The True Story of the Legendary Malcolm Price, Britain's Hardest Man|I never knew any of these people who were using my name, if I had a fiver for every time my name was used for protective purposes by these people to ward off trouble then I’d be a millionaire many times over by now.
Benjamin Alire Sáenz, Last Night I Sang to the Monster|The fire of literacy is created by the emotional sparks between a child, a book, and the person reading. It isn’t achieved by the book alone, nor by the child alone, nor by the adult who’s reading aloud—it’s the relationship winding between all three, bringing them together in easy harmony.
Laura Marling|I can’t do small talk really, and that’s fine. I've got old friends and family that love me, thank God. I’m grateful for what a city gives you access to, but I do feel that I’m only here until I figure out how to get out again.
Angie Stone|Sometimes, some of you speak about god, and I mistake him for an abusive lover you're trying to escape.
Milan Kundera|When you combine ignorance and leverage, you get some pretty interesting results.
Frances Hodgson Burnett, The Land of the Blue Flower|By heaven, I'll make a ghost of him that lets me.
Nadine Artemis, Holistic Dental Care: The Complete Guide to Healthy Teeth and Gums|Teeth are alive, and given the proper environment, they can regenerate; this is why internal factors that nourish the teeth are so important.
Johann Wolfgang von Goethe|This is the true measure of love: when we believe that we alone can love, that no one could ever have loved so before us, and that no one will ever love in the same way after us.
Pam Billinge, The Spell of the Horse|I learned that when we can be absolutely present like this, our mind, body and spirit become integrated and we are fully conscious, energised, peaceful, alive, at one with the true essence of what it is to be ourselves. In that moment, we can relate with compassion to those around usand to ourselves. It is when what we have satisfies us, and when what we don’t have doesn’t matter.
H.R.Valderrama|And perhaps you might pretend, afterwards, that it was only a trick and that you just said it to make them stop and didn’t really mean it. But that isn’t true. At the time when it happens you do mean it. You think there’s no other way of saving yourself and you’re quite ready to save yourself that way. You want it to happen to the other person. You don’t give a damn what they suffer. All you care about is yourself.
Alvar Aalto|Organic architecture seeks superior sense of use and a finer sense of comfort, expressed in organic simplicity.
Lemony Snicket, When Did You See Her Last?|Of course you can trust me," Jake Hix said. "We read the same books.
Cheryl Strayed, Wild: From Lost to Found on the Pacific Crest Trail|If you have to be told how you should feel then those feelings are not strong enough to make you feel alive; they become rules that don’t fit your life script. Not every person will place the same importance as you do on one of the six human needs: certainty, variety, significance, connection/love, growth or contributions. When you know what is most important for yourself and learn to recognize what need is the most important to others, then you can begin to unlock the real reason behind conflict.
Dorothy Parker, The Collected Dorothy Parker|Prince or commoner, tenor or bass,Painter or plumber or never-do-well,Do me a favor and shut your face -Poets alone should kiss and tell.
Buffy Andrews|To become a WRITER I had to learn to INTERRUPT, to speak up, to speak a little louder, and then LOUDER, and then to just speak in my own voice which is NOT LOUD AT ALL.
Chinua Achebe|Living here on Earth, we breathe the rhythms of a universe that extends infinitely above us. When resonant harmonies arise between this vast outer cosmos and the inner human cosmos, poetry is born.
H.G. Wells, When the Sleeper Wakes|The day of democracy is past," he said. "Past for ever. That day began with the bowmen of Crecy, it ended when marching infantry, when common men in masses ceased to win the battles of the world, when costly cannon, great ironclads, and strategic railways became the means of power. To-day is the day of wealth. Wealth now is power as it never was power before—it commands earth and sea and sky. All power is for those who can handle wealth....
William Goldman, The Princess Bride|The inner story, though the same in essence for all, is always single and unique in each human being, never before lived and never to be repeated.
Charlotte Eriksson|You are to me like white islands, in a world of vast darkness.
Bill Clinton|We must realize that violence is not confined to physical violence. Fear is violence, caste discrimination is violence, exploitation of others, however subtle, is violence, segregation is violence, thinking ill of others and condemning others are violence. In order to reduce individual acts of physical violence, we must work to eliminate violence at all levels, mental, verbal, personal, and social, including violence to animals, plants, and all other forms of life.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|In your serenity there is a clarity, strength and correctness that is beyond the petty scuffles of the moment — a greater truth. It is the truth of who you are; beautiful, calm, secure, open, willing and safe.
Priest Nicolae Tanase|People first become friends, and then they love each other.
Vironika Tugaleva, The Love Mindset|No matter how much you cry, the tears will dry. No matter how many nightmares, flashbacks, visions, or terrors you endure, they will pass. To weather these in order to find your true self and the happiness you deserve, that is not a risk. To waste the time you have in this body, never showing your soul to yourself or anyone else, living in fearful misery – that is really the most dangerous thing you can do.
Candice Accola|A Bush Administration will, I believe, enjoy a better relationship with the new Congress, although President-elect Bush will be faced with real challenges in getting along with the Congress.
Stormie Omartian, 30 Days to Becoming a Woman of Prayer|Ask Jesus to live in you & fill you with His Holy Spirit, & thank Him that you’re now God’s child
Rick Bass, Colter: The True Story of the Best Dog I Ever Had|I do not concern myself with my inability to feel such comfort amidst humans (other than with very few friends and family), but, rather, am simply thankful that at least dogs exist, and I’m humbly aware of how much less a person I’d be – how less a human – if they did not exist. 
Rahul Dravid|Faced with what is right, to leave it undone shows a lack of courage.
Jason Medina, No Hope for the Hopeless at Kings Park|For a while she cried silently until she tired herself out and the overwhelming feeling of sleepiness overcame her. The room around her was fairly silent, although she wasn’t the only one crying herself to sleep. It was quite common at places like this to hear cries in the dark. There were so many saddened and lonesome souls around her. It was usually at night when they were reminded of just how sad and lonely they actually were.
A. P. J. Abdul Kalam|Although beauty may be in the eye of the beholder, the feeling of being beautiful exists solely in the mind of the beheld.
Kerrelyn Sparks, How to Marry a Millionaire Vampire|I worked for Miss Margaret thirty-eight years. She had her a baby girl with the colic and the only thing that stopped the hurting was to hold her. So I made me a wrap. I tied her up on my waist, toted her around all day with me for a entire year. That baby like to break my back. Put ice packs on it ever night and still do. But I loved that girl. And I loved Miss Margaret.Miss Margaret always made me put my hair up in a rag, say she know coloreds don't wash their hair. Counted ever piece a silver after I done the polishing. When Miss Margaret die of the lady problems thirty years later, I go to the funeral. Her husband hug me, cry on my shoulder. When it's over, he give me a envelope. Inside a letter from Miss Margaret reading, 'Thank you. For making my baby stop hurting. I never forgot it.'Callie takes off her black-rimmed glasses, wipes her eyes.If any white lady reads my story, that's what I want them to know. Saying thank you, when you really mean it, when you remember what someone done for you-she shakes her head, stares down at the scratched table-it's so good.
Justin Kurzel|I have about 40 cars, of which 25 to 30 are what you might call serious.
Eamon de Valera|The real peril of war lies not in military defeat. It lies in war itself, whether we win or lose.
Deyth Banger|Movies aren't scare, they are part of the scary stuff. But the scary thing is the truth, what more scary than that??What will happen if you understand what you eat now, what you drink?? You get disadvantages??...You don't want to make you look negative side, do you?
Charlie Cochet, Hell & High Water|Cael, come on. Stop licking the dude. That's gross."Letty let out a snort. "Please, like you don't lick dudes.""That's different," Dex explained with a grimace. "None of those dudes were Ash. Besides, last time I checked, Ash was allergic to nuts.
J.G. Ballard, Millennium People|In effect, terrorists now have the power to ignite war. They almost have their finger on the nuclear button. They almost have the status of heads of state. And that has enhanced the effectiveness and romance of terrorism.The US government's response to September 11 has actually privileged terrorism. It has given it a huge impetus, and made it look like terrorism is the only effective way to be heard. Over the years, every kind of nonviolent resistance movement has been crushed, ignored, kicked aside. But if you're a terrorist, you have a great chance of being negotiated with, of being on TV, of getting all the attention you couldn't have dreamt of earlier.
Orrin Woodward|Most times, bankrupted finances is a reflection of bankrupted souls.
Kami Garcia|I leaned my face into his palm and he looked at me like it was the first time he ever saw me. I felt my heart burst. I wanted him to kiss me. I didn’t care about what he owned, or what issues he had. I knew if we kissed, it would change us both. Even worse, I wanted to say I loved him.
Muhammad Ali Jinnah|She liked the way a ray of mild autumn sun infiltrating the thick cluster of trees caught a reddish orange leaf swirling in the wind and transformed it golden yellow. She liked that it wasn’t a leaf she recognised, that she could name or associate with her past.
Eric Kraft|But luck withered by conservative, tired, riskless living can be plumped up again--after all, it was only a bit thirsty for something to do.
Lao Tzu|Revere the unity of all-that-iscarry out your daily activities with compassion;if you do not limit your compassion,you yourself will not be limited.
Margaret Cho|I want Jesus to come back and say 'THATS NOT WHAT I MEANT'" -
Debasish Mridha|To find love, joy and peace for the humanity, let us promise to build a peace loving and a kind family.
John Gardner, On Becoming a Novelist|Our business is communication oftentimes through the medium of stories but our capacity has a far greater scope - to entertain certainly, but also to stimulate debate, to mark up changes and differences and that way, to maybe, just now and then, to change the world.
Dana Arcuri|If the devil cannot get you by SIN, he will seek to get you by IGNORANCE.
Stanley Hauerwas, Prayers Plainly Spoken|That's an animal fable about humility. If you survive your mistake, you must learn from it. Accept that you're fragile, vulnerable, and sometimes stupid. Realize that you're not immortal and you've got to take care of yourself. And then laugh it off and fly away.
Joss Stirling, Seeking Crystal|Long ago, men went to sea, and women waited for them, standing on the edge of the water, scanning the horizon for the tiny ship. Now I wait for Henry. He vanishes unwillingly, without warning. I wait for him. Each moment that I wait feels like a year, an eternity. Each moment is as slow and transparent as glass. Through each moment I can see infinite moments lined up, waiting. Why has he gone where I cannot follow?
B. Barmanbek, Culpa Innata|I’d likte to welcome you to the land of free, where healthy, wealthy, happy people contribute to the civilization under the protection of the rules of capitalism, laws of science and rights of universal suffrage.
Margaret Atwood, Cat's Eye|The past isn't quaint while you're in it. Only at a safe distance, later, when you can see it as décor, not as the shape your life's been squeezed into.
Thea Euryphaessa, Running Into Myself|I don't believe the idea of Fate is that everything in our lives is predetermined. For me, it's those moments when, on reflection, Life seems to have intervened and given us a friendly or not-so-friendly nudge in another direction.
Mitt Romney|The people will save their government, if the government itself will allow them.
Sunday Adelaja|As a manager, I was able to put the USA workplace mental health system to the test. In each of three separate companies there was an employee that was displaying mental health issues and I reported this to the human resources department. The outcome: I was terminated every time. The conclusion: Reporting mental health issues in USA employees will lose you your job!
Kimberly Krey, Cassie's Cowboy Crave|I vote, I challenge Bathymaasy and we shoot arrows at you dearest brother." ArtemisSet and Bathymaas laughed.Apollo, not so much.
Jess Walter, Beautiful Ruins|In the movie I was played by an actor who actually looked more like me than the character the author portrayed in the book: I wasn't blond, I wasn't tan, and neither was the actor. I also suddenly became the movie's moral compass, spouting AA jargon, castigating everyone's drug use and trying to save Julian. (I'll sell my car," I warn the actor playing Julian's dealer. "Whatever it takes.") This was slightly less true of Blair's character, played by a girl who actually seemed like she belonged in our group-- jittery, sexually available, easily wounded. Julian became the sentimentalized version of himself, acted by a talented, sad-faced clown, who has an affair with Blair and then realizes he has to let her go because I was his best bud. "Be good to her," Julian tells Clay. "She really deserves it." The sheer hypocrisy of this scene must have made the author blanch. Smiling secretly to myself with perverse satisfaction when the actor delivered that line, I then glanced at Blair in the darkness of the screening room.
Anna White, Mended: Thoughts on Life, Love, and Leaps of Faith|...when it comes time for punishment for our sins, surely it's only the person who's done wrong who's expected to pay?"Sister Agnes smiled, "Not even them, if they've accepted the Savior.
Anne Bronte|When you look at Japanese traditional architecture, you have to look at Japanese culture and its relationship with nature. You can actually live in a harmonious, close contact with nature - this very unique to Japan.
Standing Bear|If you hug to yourself any resentment against anybody else, you destroy the bridge by which God would come to you.
Brooke Burke|At times you feel like you're the only voice speaking out to improve the working conditions of people, whether it's to be able to collectively bargain, to get adequate pay, to know that you can come home safe out of a coal mine.
Jackie French, Hitler's Daughter|Who was Hitler" demanded little Tracy"He was this bloke in World War Two" explained Ben.
Anthony Liccione|As a child, I was afraid of the dark and the monsters on the outside.As a man, I run away from the light, afraid to show the monsters within.
Nick Lane, Power, Sex, Suicide: Mitochondria and the Meaning of Life|Might one not say that in the chance combination of nature's production, since only those endowed with certain relations of suitability could survive, it is no cause for wonder that this suitability is found in all species that exist today? Chance, one might say, produced an innumerable multitude of individuals; a small number turned out to be constructed in such fashion that the parts of the animal could satisfy its needs; in another, infinitely greater number, there was neither suitability nor order: all of the later have perished; animals without a mouth could not live, others lacking organs for reproduction could not perpetuate themselves: the only ones to have remained are those in which were found order and suitability; and these species, which we see today, are only the smallest part of what blind fate produced.
Mokokoma Mokhonoana, The Confessions of a Misfit|Without discussing it with his mother, Anton went up to his teacher, Miss Katballe, and informed her that after seven years he was now quitting school. It was the best day of her life, she replied. With unexpected politeness he bowed, thanked her, and said, likewise.
Shilpi Somaya Gowda, The Golden Son: A Novel|Stress kills when you fuel the initial reaction with negative thoughts, aggressive behavior, belief and trust in the uncomfortable physical and emotional symptoms it causes. Don’t fuel it, and watch how fast stress disappears.
Dr. Jacinta Mpalyenkana, Ph.D, MBA|When I met with Dr. Treffet in his hometown of Fond du Lac, Wisconsin, he told me that these innate skills are, in his words, "factory-installed software", or "genetic" memory.......Why the brain suppresses these remarkable abilities is still a mystery, but sometimes, when the brain is diseased or damaged, it relents and unleashes the inner genius.
Mehmet Murat ildan|We sit together in the waiting room of one existence, waiting to be shuffled into the waiting room of the next. Not the existence of another lifetime, simply a different mindset, a different age, purpose, exile and a separate redemption. A separate world in which to wait.
Abhijit Naskar, Love, God & Neurons: Memoir of a scientist who found himself by getting lost|Even though the world hails Joan of Arc as some sort of hero, which she undoubtedly was, what pains me the most is that her pathological condition ultimately led to her demise at the age of only nineteen.
