Darnell Dockett|My fans are definitely my shareholders, and I'm extremely thankful for them.
Anthony Liccione|But it's fair to say that the war's [WWI] dialectic forced those who were more or less alive to go to their death, and gave those who were more or less dead the right to live. And if the war managed only to separate the living from the dead, then the new regime, arriving in its wake, would sooner or later pit them against each other as enemies.
Paulo Freire, Pedagogy of the Oppressed|Wherever the real power in a Government lies, there is the danger of oppression. In our Governments, the real power lies in the majority of the Community, and the invasion of private rights is chiefly to be apprehended, not from the acts of Government contrary to the sense of its constituents, but from acts in which the Government is the mere instrument of the major number of the constituents.
E.F. Benson, Mapp and Lucia|There is a certain amount which I shan't mention publicly," Elizabeth said. "Things about Lucia which I should never dream of stating openly.""Those are just the ones I should like to hear about most," said Diva. "Just a few little titbits.
Beta Metani' Marashi|In Nigeria we must have the dream, believe the dream, live the dream and work to build the dream and then live corruption.
Mya Robarts, The V Girl|In his mind, that's what made a man a man, that he protected those he cared about. Those he loved.
Billy Graham, Billy Graham in Quotes|We will be judged according to our ability. The retired couple who count the offering every Sunday, never divulging the amount anyone in the congregation contributes, will not be tested in the same way as the millionaire who wants an inscription on the stained glass window, so everyone will know who donated it. Some of the most severe tests will be given to the [preachers] for the way in which they handled the Word of God. There will be no reward for leading others astray in lifestyle or in doctrine through false teaching.
Henry Hazlitt, Economics in One Lesson: The Shortest & Surest Way to Understand Basic Economics|When the government makes loans or subsidies to business, what it does is to tax successful private business in order to support unsuccessful private business.
John Shelton Jones, Awakening Kings and Princes Volume I: Sacred Knowledge to Nourish the Mentality, Support Spiritual Growth, Learning the Light, and Progressing to Become a Master Lover While Embracing Desire|Death is just another path to take, as real as morning.
Carrie Underwood|For many, many people, getting married is one of the most important things they will ever do in the pursuit of happiness.
Brian  Doyle, The Wet Engine: Exploring Mad Wild Miracle of Heart|All stories are, in some form, prayers.
Jeff Goins, Wrecked: When a Broken World Slams into your Comfortable Life|If we are to follow the Jesus who suffered with us and bled for us, we too must suffer. We must hold the dying in our arms. We must shed tears for hungry stomachs, trafficked children, and wandering souls. This is what He wants for us. It's the reason we are called to lay down our nets and take up our crosses to pursue the Suffering Servant. And it's the one thing we will avoid at all costs.It is not enough to feel bad. Religion to me, has always been the routine of feeling guilty for all the things we should do but don't. We must act. This is where life happens, where we begin to participate in our stories. This is when we awaken. Not on the sidelines; not on the outside looking in. Life is lived right in the midst of all this mess. Incidentally, that's where mercy and the miraculous are found. That's where flowers begin to grow again.
Laurence Bradbury|If you write about a place, you need to be right about the place!
Stephenie Meyer|The fury of a demon instantly possessed me. I knew myself no longer. My original soul seemed, at once, to take its flight from my body; and a more than fiendish malevolence, gin-nurtured, thrilled every fibre of my frame.
Korel Eraybar, Guide to getting rid of crowds|Getting away from the media was the first step of breaking away from the crowds, and let me clearly state, not in 1 day, 5 days, 10 days but in 4-5 months, I started to feel relief in myself, and I had the ability to think more positively about the things I experienced. I know that there are millions of people around me who believe that following current events and knowing them, as I did once, is an important thing. Besides, I also know that they are the millions of people who have not been able to build their own world yet.
David D. Flowers|In the front was a man he knew only as “Samson,” a big man that from all appearances was a former juice head gym rat with exquisitely defined muscles, stripped to the waist and carrying a huge nine foot cross hewn from raw timber and held together with nails and twine. Behind him in a rough line were the flagellates: five men also stripped to the waist, holding various chains, heavy corded ropes, and one with what looked like a leather whip from the S&M sex shop. They beat their backs as they slowly walked down the center of the street.
Sunday Adelaja|When you come to know God personally and He becomes your close Friend, you will live an easy and fulfilled life.
J. Budziszewski, On the Meaning of Sex|Why not say that the meaning and purpose of the sexual powers is pleasure? Certainly sex is pleasurable, but there is nothing distinctive about that. In various ways and degrees, the exercise of every voluntary power is pleasurable. It is pleasurable to eat, pleasurable to breath, even pleasurable to flex the muscles of the leg. The problem is that eating is pleasurable even if I am eating too much, breathing is pleasurable even if I am sniffing glue, flexing the muscles of the leg is pleasurable even if I am kicking the dog. For a criterion of when it is good to enjoy each pleasure, one must look beyond the fact that it is a pleasure. Consider an analogy between sex and eating. The purpose of eating is to take in nutrition, but eating is pleasurable, so suppose that we were to say that the purpose of eating is pleasure, too. Then it would seem that any way of eating that gives pleasure is good, whether it is suitable for nutrition or not. Certain ancient Romans are said to have thought this way. To prolong the pleasure of their feasts, they purged between courses. I hope it is not difficult to recognize that such behavior is disordered. The more general point I am trying to make is that although we find pleasure in exercising our sexual powers, pleasure is not their purpose; it only provides a motive for using these powers, and a dangerous one, too, which may at times conflict with their true purposes and steer us wrong. Besides, to think of pleasure as the purpose of intercourse is to treat our bodies merely as tools for sending agreeable sensations to our minds. They are of inestimably greater dignity than that, for they are part of what we are.
Stephanie Perkins, Anna and the French Kiss|He’s so close, yet so far away.” – Anna
Alan Moore, Watchmen|Maybe it's true that life begins at fifty. But everything else starts to wear out, fall out, or spread out.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|I boogie my bliss, dance away my density, and jump into joy!
Patrick Ness, The Knife of Never Letting Go|Hope may be the thing that pulls you forward, may be the thing that keeps you going, but that it's dangerous, that it's painful and risky, that it's making a dare in the world and when has the world ever let us win a dare?
Howard Zinn, A People's History of the United States|Justice can sleep for years and awaken when it is least expected. A miracle is nothing more than dormant justice from another time arriving to compensate those it has cruelly abandoned. Whoever knows this is willing to suffer, for he knows that nothing is in vain.
Richard Brookhiser, Founders' Son: A Life of Abraham Lincoln|To those who think them selves strong, force always seems the easiest solution.
Totok R. Biyanto|Everything is easy. However, the ways to make difficult things easy, sometimes it's not easy (Totok R. Biyanto)
Anthony T. Hincks|Dad?" Jesus asked."Yes, son?" God asked."Why are people so scared of dying?" Jesus asked."Because they believe that they only get one life and then they die," God said."But dad, nothing ever dies," Jesus said."You know that and I know that, but sadly, they don't know that," God said and the two of them then looked down towards the Earth.
Priyanka Chopra|Things can be really empty in this world, and I don't just mean the music world. It can become a very meaningless place if you don't really understand: 'who am I? Why am I here? What am I doing?' To feel fulfilment and have a deeper level of understanding, personally, that is the most important thing.
Jim Elliot|Ah, how many Marahs have been sweetened by a simple, satisfying glimpse of the Tree and the Love which underwent its worst confict there. Yes, the Cross is the tree that sweetens the waters. 'Love never faileth.
Michael J. Saylor|To learn to ride a bicycle, as with the other great noble human inventions, is a hugely complex activity. Generally, it requires three things: the learner, the teacher and the bicycle, all in the same place at the same time, most often outside someplace.
Michal Coret, Becoming What I Might Be|How Many Michals Does it Take to Change a Lightbulb?And the lamp was onDarkening up the roomAnd I sat, aloneLooking for the switchTo turn off the darkness
Stephanie Perkins, Anna and the French Kiss|Whenever Percy stopped by to see [Annabeth], she was so lost in thought that the conversation went something like this:Percy: 'Hey, how's it going?'Annabeth: 'Uh, no thanks.'Percy: 'Okay...have you eaten anything today?'Annabeth: 'I think Leo is on duty. Ask him.'Percy: 'So, my hair is on fire.'Annabeth: 'Okay, in a while.
Matshona Dhliwayo|Be flexible like trees; when the wind blows bend, but do not break.
Penelope Cruz|Like a blazing comet, I've traversed infinite nights, interstellar spaces of the imagination, voluptuousness and fear.
Ralph Marston|When you show deep empathy toward others, their defensive energy goes down, and positive energy replaces it. That's when you can get more creative in solving problems.
Jasmine Silvera, Death's Dancer|If you don’t answer this door, I will do something drastic.”I frowned.“I can use the fire element, which means I can melt the insides of this lock,” he explained. “And I’m not that great at controlling fire. I’ll probably end up catching the door on fire.”“Whoa,” I muttered, swinging my legs off the bed.“And then the fire will spread to the walls and the next thing you know, the whole dorm is burning down. Roof on fire kind of shit and Marcus will get really pissed—
Ahmed Mostafa|...I experienced a sudden ache -- part desolation, part panic -- to observe the speed with which this mate, this familiar, was transforming herself into a separate person.
Mehek Bassi|My life is never perfect, but life is always a beautiful thing. I choose to see the beauty out of it. I choose to make it wonderful. I choose to love life and it loves me back in return. I may only have one life to live, but if I do it right, once is enough.
Robert G. Ingersoll|Nothing could add to the horror of hell, except the presence of its creator, God. While I have life, as long as I draw breath, I shall deny with all my strength, and hate with every drop of my blood, this infinite lie.
Bill Owens|It is essential to employ, trust, and reward those whose perspective, ability, and judgment are radically different from yours. It is also rare, for it requires uncommon humility, tolerance, and wisdom.
Bill Goldberg|I should think wrestling is the most positive thing in the world. The fact is, behind the scenes, there's stuff that goes on that's bush-league. It's laughable.
Kiese Laymon, How to Slowly Kill Yourself and Others in America|Biology doesn't make anyone a parent," Cassia added as she tucked her Eturian prayer stone beneath her shirt.
Shirley MacLaine|Before I met my husband, I'd never fallen in love. I'd stepped in it a few times.
Susanna Clarke, Jonathan Strange & Mr Norrell|Now, as I understand it, the bards were feared. They were respected, but more than that they were feared. If you were just some magician, if you'd pissed off some witch, then what's she gonna do, she's gonna put a curse on you, and what's gonna happen? Your hens are gonna lay funny, your milk's gonna go sour, maybe one of your kids is gonna get a hare-lip or something like that — no big deal. You piss off a bard, and forget about putting a curse on you, he might put a satire on you. And if he was a skilful bard, he puts a satire on you, it destroys you in the eyes of your community, it shows you up as ridiculous, lame, pathetic, worthless, in the eyes of your community, in the eyes of your family, in the eyes of your children, in the eyes of yourself, and if it's a particularly good bard, and he's written a particularly good satire, then three hundred years after you're dead, people are still gonna be laughing, at what a twat you were.
Gregory Maguire, Wicked: The Life and Times of the Wicked Witch of the West|There has to be beauty left in the world, Julia," said Kiyu. "Otherwise we have nothing.
James A. Baldwin|The SAT is not perfect. We all know smart, knowledgeable people who do badly on standardized tests. But neither is it useless. SAT scores do measure both specific knowledge and valuable thinking skills.
Rose Wynters, Curvaceous Condemnation|Don't read it. Just shred and burn, or your eyes will melt.
Ian Mckellen|We must all rise to the challenge to demonstrate that security and prosperity in the Internet age are not only compatible with liberty, they ultimately depend on it.
Dani Harper, Storm Warned|Kind of like CSI investigating a social error—Here’s the corpse of the situation, what do you think killed it?—with the hope of preventing further fatalities. Often as not, it boiled down to missed cues.
Simon Sebag Montefiore, The Romanovs: 1613-1918|Very few politicians, who have chosen a political career, can fulfill the aspirations and survive the strains of an elevated office that in a monarchy was filled so randomly. Each tsar had to be simultaneously dictator and supreme general, high priest and Little Father. They required all the qualities listed by the sociologist Max Weber: the personal gift of grace, the virtue of legality, and "the authority of the eternal yesterday.
Kirsty Logan, The Rental Heart and Other Fairytales|I felt somehow happy to be so high above the world - a childish feeling, I grant, but we can't help becoming children as we leave social conventions behind and come nearer to nature. All life's experience is shed from us and the soul becomes anew what it once was and will surely be again
erica maples|Situation & experience both are different thing, they do not have a mutual relationship. Because the experiencce depends on how we look to tackle or handle the situation. Situation may be the same but experience may not be the same regularly".
Zechariah 5:1|We ought not to READ the scriptures, but listen to them, for our Beloved is present and speaks to us through them. (vs. it being like a love letter sent to us from afar).
Tessanne Chin|I wear sunglasses almost all the time outside - not because I think I'm really, really cool, but because of the rays.
Leigh Bardugo, Wonder Woman: Warbringer|We can’t help the way we’re born. We can’t help what we are, only what life we choose to make for ourselves
Steven Wolff, Self Aware: Revenge Of The Fallen|Who you choose to surround yourself with will determine if you fail, or if you will succeed. Assets are people who will support you, build you up, and encourage you. Liabilities are people who will tear you down, discourage you, and give you reasons why you can't do whatever it is you want to do. Minimize the liabilities and you'll go far in life.
John Vance Cheney|The soul would have no rainbow, had the eyes no tears.
Eraldo Banovac|A wise man is humble, knowing he actually doesn't know much.
Lailah Gifty Akita|I have observed one thing among true Christians in their differences in many countries: What divides and severs true Christian groups and Christians - what leaves a bitterness that can last for 20, 30, 40 years (or for 50 or 60 years in a son's or daughter's memory) - is not the issue of doctrine or belief that caused the differences in the first place. Invariably, it is a lack of love - and the bitter things that are said by true Christians in the midst of differences.
Jorge Luis Borges, Dreamtigers|Leaving behind the babble of the plaza, I enter the Library. I feel, almost physically, the gravitation of the books, the enveloping serenity of order, time magically dessicated and preserved.
Matshona Dhliwayo|If you throw a stone into the ocean, it will reach the bottom; if you throw a word into someone’s heart, it will reach their soul.
Alison Weir, Eleanor of Aquitaine: A Life|Court life for a queen of France at that time was, however, stultifyingly routine. Eleanor found that she was expected to be no more than a decorative asset to her husband, the mother of his heirs and the arbiter of good taste and modesty.
Fredrik Sjöberg, The Fly Trap: A Book about Summer, Islands and the Freedom of Limits|It was in the work that she came closest to finding herself, by which we don’t mean gaining “self-knowledge” or understanding one’s “true nature” but rather how at some point you can see most plainly that this is what you do, this is how you fit in the wider ecology
Jenny Diski, On Trying to Keep Still|But nothing will persuade me that the mere fact of being in a place is enough in itself to justify the effort of getting out of bed to become a tourist, or even a traveller. I don't have the slightest wish to be intrepid. I don't want to prove myself to myself or anyone else. I don't care if no one thinks me brave or hardy. I have no concern at all that I did not have whatever it is I should have had to take a dive out of a plane or off a building. None of that matters to me in the least.
Jordan Hoechlin|I realize I am alone and there is no one with me.Is this I wonder, how my whole life will be?
John     Davidson, A Full and True Account of the Wonderful Mission of Earl Lavender, which Lasted One Night and One Day; with a History of the Pursuit of Earl Lavender and Lord Brumm by Mrs. Scamler and Maud Emblem|Evolution is not humane, but we could be.
Matshona Dhliwayo|When life is sweet, be thankful, and rejoice; but when bitter, be strong, and persevere.
Mehmet Murat ildan|O Fabricius! What would your great soul have thought, if to your own misfortune you had been called back to life and had seen the pompous face of this Rome saved by your efforts and which your honourable name had distinguished more than all its conquests? 'Gods,' you would have said, 'what has happened to those thatched roofs and those rustic dwelling places where, back then, moderation and virtue lived? What fatal splendour has succeeded Roman simplicity? What is this strange language? What are these effeminate customs? What do these statues signify, these paintings, these buildings? You mad people, what have you done? You, masters of nations, have you turned yourself into the slaves of the frivolous men you conquered? Are you now governed by rhetoricians? Was it to enrich architects, painters, sculptors, and comic actors that you soaked Greece and Asia with your blood? Are the spoils of Carthage trophies for a flute player? Romans, hurry up and tear down these amphitheatres, break up these marbles, burn these paintings, chase out these slaves who are subjugating you, whose fatal arts are corrupting you. Let other hands distinguish themselves with vain talents. The only talent worthy of Rome is that of conquering the world and making virtue reign there. When Cineas took our Senate for an assembly of kings, he was not dazzled by vain pomp or by affected elegance. He did not hear there this frivolous eloquence, the study and charm of futile men. What then did Cineas see that was so majestic? O citizens! He saw a spectacle which your riches or your arts could never produce, the most beautiful sight which has ever appeared under heaven, an assembly of two hundred virtuous men, worthy of commanding in Rome and governing the earth.
Lionel Blue|Our late Leader, Dr. Sun Yat-sen, with his universal sympathy for all oppressed and his profound understanding of Jesus' revolutionary spirit of love and sacrifice, carried on his revolutionary work for forty years and brought about at last the liberation of the Chinese people.
Kamand Kojouri|I can sense your love,why leave me in darkness?Beguile me for your amusement,stealing my soul without kisses. You are the sun and I, the moon. Your beauty is reflected in my eyes.When we are apart, I am extinguishedin the blackness of these skies.
Jaeda DeWalt|Sometimes, the most healing thing we can do for another human being, is to listen to them, just ... LISTEN.
Erik Pevernagie|When relationships lose their pitch through lack of interest and become stale or unbearable through enduring stealthy backbiting, the emotional house of cards is under attack. A painstaking reshuffle, however, may brand a new choice of life and create energy for positive thinking, whereas remaining bogged down in dispiriting situations and staying clogged up with immaterial hassle may only spawn forlorn deadlocks.. ("Mes cliques et mes claques")
donwayne|Peace is a flawed logic. They believe that communication and understanding will create peace. However, just because you know and understand the nature of something or someone, does not mean that you will come to terms.
Peter Gray|In this day and age, nobody can learn more than a sliver of all there is to know. Why force everyone to learn the same sliver?
Sathya Sai Baba|Do not use poisonous words against anyone, for words wound more fatally than even arrows.
Wilkie Collins, The Moonstone|their suburbia house in Brentwood" was how she referred to the house when we bought it, a twelve-year-old establishing that it was not her decision, not her taste, a child claiming the distance all children imagine themselves to need.
Kristiane Backer, From MTV to Mecca: How Islam Inspired My Life|everything that is in the world, there is a correspondence on every level of existence. The macrocosm is a reflection of the microcosm, and the way we experience the outer world is a reflection of our inner state: it is our mirror. If we are in harmony with ourselves, then we will be in harmony with the outer world, i.e. God. If we change from within, then everything around us also changes. I certainly knew how true this was.
Benjamin F. Fairless|She was haunted by the possibility that she had missed her chance for happiness. But she had not missed her chance, she told herself, for her chance would not let her get away so easily. Each morning she was fortified by hope: the future loomed.
Alexander Kjerulf, Happy Hour is 9 to 5|The path to happiness at work starts with a simple decision: You must want to be happy. If you don’t commit to being happy at work, you won’t be. You won’t make the choices that make you happy. You won’t take the actions needed to get there. You won’t change the things that need to change.
Edwin Way Teale, Journey Into Summer: A Naturalist's Record of a 19,000-Mile Journey Through the North American Summer|Time is the river. We are the islands. Time washes around us and flows away and with it flow fragments of our lives. So, little by little, each island shrinks….But where, who can say, down the long stream of time, are our eroded days deposited?
Kurt Vonnegut, Cat's Cradle/God Bless You Mr. Rosewater/Breakfast of Champions|When I used to come home from school Mother used to ask me what happened that day, and I’d tell her,” said Miss Pefko. “Now I come home from work and she asks me the same question, and all I can say is—” Miss Pefko shook her head and let her crimson lips flap slackly— “I dunno, I dunno, I dunno.”“If there’s something you don’t understand,” urged Dr. Breed, “ask Dr. Horvath to explain it. He’s very good at explaining.” He turned to me. “Dr. Hoenikker used to say that any scientist who couldn’t explain to an eight-year-old what he was doing was a charlatan.”“Then I’m dumber than an eight-year-old,” Miss Pefko mourned. “I don’t even know what a charlatan is.
Mitch Kapor|The first book I did - the first successful book - was a kind of a travel book, and publishers in Britain encouraged me to do more.
C.S. Lewis, A Grief Observed|Grief ... gives life a permanently provisional feeling. It doesn't seem worth starting anything. I can't settle down. I yawn, I fidget, I smoke too much. Up till this I always had too little time. Now there is nothing but time. Almost pure time, empty successiveness.
John McDermott|I am a sailor, you're my first mate We signed on together, we coupled our fate Hauled up our anchor, determined not to fail For the heart's treasure, together we set sail With no maps to guide us, we steered our own course Rode out the storms when the winds were gale force Sat out the doldrums in patience and hope Working together, we learned how to cope. Life is an ocean and love it a boat In troubled waters it keeps us afloat When we started the voyage there was just me and you Now gathered round us we have our own crew Together we're in this relationship We built it with care to last the whole trip Our true destination's not marked on any chart We're navigating the shores of the heart
J.M. Coetzee, Summertime|There are few people whom I really love, and still fewer of whom I think well.The more I see of the world, the more am I dissatisfied with it; and everyday confirms my belief of the inconsistency of all human characters, and of the little dependence that can be placed on the appearance of either merit or sense.
Michael Gruber, The Book of Air and Shadows|One never learns how the witch became wicked, or whether that was the right choice for her- is it ever the right choice? Does the devil ever struggle to be good again, or if so is he not a devil?
Albert Camus, A Happy Death|Just as there is a moment when the artist must stop, when the sculpture must be left as it is, the painting untouched—just as a determination not to know serves the maker more than all the resources of clairvoyance—so there must be a minimum of ignorance in order to perfect a life in happiness. Thosewho lack such a thing must set about acquiring it: unintelligence must be earned.
Shakira|My grandmother was an actress too. In the thirties and forties she was under contract with Universal Studios. Crazy credits, lots of them. My dad was also under contract with Universal Studios. And my first film was shot on the same stage they both worked on at Universal.
Charles Haddon Spurgeon|He doesn't blame people for many sins, but he does hate uncoordination, the root of all evil, as he feels it, for without coordination there can be no order, no connecting.
Margaret Heffernan|The Teenage Cancer Trust does incredible work supporting and caring for teenagers and young adults with cancer, and it's a cause that is really close to me and my family.
Sally Andrew, The Fire Dogs of Climate Change: An Inspirational Call to Action|Life (like love) is forgiving and hopeful and, like a bold flower pushing out from the narrow crevice in a rock, will take any gap we allow. However small or large.
Chris  Cannon, Boomerang Boyfriend|Where’s the pizza?” Something warm and furry came and leaned against my right leg. I reached down to pet Rocky, a black lab who was going gray around his eyes and muzzle. “Rocky wants to know where the pizza is, too.”“He’s the reason the food is in the kitchen. Last time we kept it out here on the picnic table, he helped himself to half of a large bacon pepperoni pizza and then he threw up in my mom’s closet. She was cleaning dog barf out of her shoes for days.”I squatted down and rubbed Rocky’s ears. “I bet you were framed, huh, buddy?” He leaned into the ear rub and sighed. “I bet it was the cat, wasn’t it?” He sighed again like he was agreeing with me.“Nice try, but there isn’t that much barf in a cat,” Trevor said.
Brian Wicker|We may say that the characters in fairytales are ‘good to think with’…[and that] the job of the fairytale is to show that Why? questions cannot be answered except in one way: by telling the stories. The story does not contain the answer, it is the answer.
Debasish Mridha|When you remove all of the barriers and open the window of your heart, love will eagerly enter through it with all its beauty.
Will Cuppy, The Decline and Fall of Practically Everybody: Great Figures of History Hilariously Humbled|You can't do much for the poor, as they are not in with the right people.
Lou Gramm, Juke Box Hero: My Five Decades in Rock 'n' Roll|I can no longer cry. I groan a few times. Through the slits that are my eyes, I stare at my shoes, at the gray swirls of the concrete floor, at the bright orange lid of my syringe. And I realize—it’s a kind of horror—that this is my life.And I can’t stop. I just can’t stop. I can’t stop anymore.
Robert Morgan|A poem in form still has to have voice, gesture, a sense of discovery, a metaphoric connection, as any poetry does.
Napoleon Hill|Now it is quite clear to me that there are no solid spheres in the heavens, and those that have been devised by the authors to save the appearances, exist only in the imagination.
Charles Duhigg|I always said if it gets to a point where I really want a child, I would adopt; kids are amazing, so I'm getting the selfish stuff out of my system so when I have them I can say, 'Go, run. I have plenty of money, go play.'
Hilary Mantel, Bring Up the Bodies|You know what it's like when a cart overturns in the street? Everybody you meet has witnessed it. They saw a man's leg sliced clean off. They saw a woman gasp her last. They saw the goods looted, thieves stealing from the back-end while the carter was crushed at the front. They heard a man roar out his last confession, while another whispered his last will and testament. And if all the people who say they were there had really been there, then the dregs of London would have drained to the one spot, the gaols emptied of thieves, the beds empty of whores, and all the lawyers standing on the shoulders of the butchers to get a better look.
Marilynne Robinson, The Givenness of Things: Essays|We are moved to respond to the fact of human brilliance, human depth in all its variety because it is the most wonderful thing in the world, very probably the most wonderful thing in the universe.
Ambrose Bierce|I hope to have communion with the people, that is the most important thing.
Loretta Chase, Lord of Scoundrels|He stares at me, and then leans back in his chair. "He's ill, Jacob."I say nothing. "He's a paragon schnitzophonic.""He's what?!""Paragon schnitzophonic," repeats Uncle Al. "You mean paranoid schizophrenic?""Sure. Whatever. But the bottom line is he's mad as a hatter...
Mary J. Blige|Either somebody has equal rights, or they don't. And certainly in the Irish constitution, marriage is genderless. There's no mention of a man and a woman.
Atticus Poetry, Love Her Wild: Poems|It's a lonelything, protecting a breakable heart
Justin Southwick|It is almost as if ideas set in mathematical form melt and become liquid and just as rivers can, from the most humble beginnings, flow for thousands of miles, through the most varied topography bringing nourishment and life with them wherever they go, so too can ideas cast in mathematical form flow far from their original sources, along well-defined paths, electrifying and dramatically affecting much of what they touch. pp. xii - xiii.
Debasish Mridha|Dear Moon, Slowly enlighten my heart with your lovely, silvery, dancing, miraculous light.
George Gordon Byron, Don Juan|My heart in passion, and my head on rhymes.
Criss Jami, Killosophy|I will never deny that life isn't fair. It seems as though when a woman leaves a man she is strong and independent, but when a man leaves a woman he is a pig and a jerk.
Amit Kalantri|If monkey became a man, then a man can become a hero.
Mehmet Murat ildan|When a good change is flowing towards you, don’t stand like the river stones before it!
Ludwig von Mises, The Theory of Money and Credit|For the etatist, money is a creature of the State, and the esteem in which money is held is the economic expression of the respect or prestige enjoyed by the State. The more powerful and the richer the State, the better its money. Thus, during the War, it was asserted that 'the monetary standard of the victors' would ultimately be the best money. Yet victory and defeat on the battlefield can exercise only an indirect influence on the value of money.
Deyth Banger|The best characters which always say the truth and show it and somehow put you in reality are the villiance, like The Joker, the guy from The Shinning, The guy from the Storm of the Century, but not only they the victims also the people in The 33, The story of the Mr.Nobody, Unbroken the power of will... and many other people are in this category!
Susanna Moore|I'm all about taking chances. You have to ask yourself, if you're not taking any chances, are you actually even living? Every time you walk out of your door and you're out in the world, you take a chance on not coming back. That is the danger and the dynamic of being alive.
Lailah Gifty Akita|At the dawn of light, darkness disappears.
S.J. Parris, Heresy|The Catholic chruch as threatened your life - do you not want revenge? Have you not sold your hatred to the Pretestant cause to work against the church that has hunted you?""No," I said simply. "I hate no one. I want only to be left in peace to understand the mysteries of the universe in my own way.""God has already laid out for us the mysteries of the universe, or as much as He permits us to understand. You think your way is better?""Better than these wars of dogma that have led men to burn and fillet one another across Europe for fifty years? Yes, I do.""Then what is it you believe?"I looked at him. "I believe that, in the end, even the devils will be pardoned.
George Bernard Shaw|If you haven't found it yet, keep looking. Don't settle. As with all matters of the heart, you'll know when you find it. And, like any great relationship, it just gets better and better as the years roll on.
Brian Welch|The most important lesson that we're supposed to be learning right now is how completely lost we are without God. If we don't learn this lesson, then our lives are going to have zero meaning. (Stronger: Forty Days of Metal and Spirituality)
Maimonides|No matter the nationality, no matter the religion, no matter the ethnic background, America brings out the best in people.
Mark Buchanan, Your God Is Too Safe: Rediscovering the Wonder of a God You Can't Control|A mist crept into the valley—how could this be, by the light of the climbing sun? It drifted over the form in the grass, nearly obscuring it, seeming to draw all sound into itself. I thought I might burst from the strain of that silence... until a single sound shattered it:The gasp of an indrawn breath.
Christine Fonseca, Transcend|There are things so horrible that even the dark is afraid of them. Most people don't know this and this is just as well because the world could not really operate if everyone stayed in bed with the blankets over their head, which is what would happen if people knew what horrors lay a shadow's width away.
Hajin Yoo, Totally Captivated, Volume 4|I used to think I didn't need anyone. I used to think that I could be complete all alone. I tried to shut my eyes to how frozen I was becoming from the cold shards of glass, as they sank down into my heart and blinded me. I had nothing to be obsessed with, because I had no possessions. That was the only thing that comforted me against my fear of the dismal reality. But...I was lonely...I was sad. And I was desolate. I was supposed to be complete, even when alone...but I just couldn't be. I didn't even have someone's name to call out when I was all alone in the darkness. I wanted to tell that certain someone...because I only had one possession...because I was the only thing to protect or lose...I clasped it tightly to my chest. I couldn't afford to let anyone take it away from me. I wanted to tell that special person that I've only been gasping for breath on that painfully cold winter night, bundled up just like that. And I wanted to tell him that I never wanted to go back to that frozen, snow-covered world. And now, I long for our hearts to thaw together, side by side, flushed red and pulsing with love...and to soon become one.
Ace Antonio Hall|Don't let the way people are, disrupt your day. Understand them for who they are, the good & the bad, but keep a bond with Serenity.
Christy Mathewson|If a tie is like kissing your sister, losing is like kissing you grandmother with her teeth out.
Frank Herbert|To the Greeks, the word "character" first referred to the stamp upon a coin. By extension, man was the coin, and the character trait was the stamp imprinted upon him. To them, that trait, for example bravery, was a share of something all mankind had, rather than means of distinguishing one from the whole.
Sabrina Carpenter|I'm very lucky; I have a lot of knowledge. My favorite band is The Beatles, so a lot of inspiration for my music comes from them, too.
Toni Sorenson|The modern fitness scene is largely defined by the presence of pumped up, muscle-bound bodybuilders, expensive exercise machines, and steroids.It's wasn't always this ways. There was a time when men trained to become inhumanly strong using nothing but their own bodyweight. No weights. No machines. No drugs. Nothing
David Wroblewski, The Story of Edgar Sawtelle|A person could stop a specific thing, but they couldn’t stop change in general. Rivers can’t run backward. Yet, he felt there must be an alternative, neither willfulness nor resignation. He couldn’t put words to it. All he knew was, neither of them had changed their minds and neither of them could find anything more to say.
Jayson Engay|I see these lights, every time I look into your eyes. It crosses my heart, and make me feel in love.
Darnell Lamont Walker|The boy and the man must be raised to see the possibility of self worth, then meet a few others who provide the vision of a road toward it, then spend a lifetime pursing that worth through action and relationship. One of the great tragedies in human life is to be born a male and not be guided toward the value of a man.
Ressha|it is hard to let go , to imagine alternatives, stop thinking about things you are not ready to explore .
John   Williams|I think about how maybe it's not things that change but people that change, and maybe that's the change everyone is really talking about.
HH DALAI LAMA|A seed doesn't stay beneath the soil, too afraid to grow. It journeys upwards boldly, for that is all it knows.
Cassandra Clare, City of Ashes|Watching Jace hug Isabelle, she tried to school her features into a happy and loving expression."Are you all right?" Simon asked, with some concern. "Your eyes are crossing.
Debbianne DeRose, How I Met the Man of My Dreams: a guide to MANifesting yours|Having your cake and eating it too is how Life was meant to be. Everything is possible. And the things we want the most are not only possible, they're highly probable.
Victor Hugo|A library implies an act of faith which generations, still in darkness hid, sign in their night in witness of the 
Ricky Ponting|For there is no virtue, the honor and credit for which procures a man more odium than that of justice; and this, because more than any other, it acquires a man power and authority among the common people.
Aaron Withers|You're like a dictionary. You know the word is in there, but you need to know how to spell what you want first
C.G. Jung, Dreams|There are people, of course, who think it unscientific to take anything seriously; they do not want their intellectual playground disturbed by graver considerations. But the doctor who fails to take account of man's feelings for values commits a serious blunder, and if he tries to correct the mysterious and well-nigh inscrutable workings of nature with his so-called scientific attitude, he is merely putting his shallow sophistry in place of nature's healing processes.
