Cameron Conaway, Caged: Memoirs of a Cage-Fighting Poet|The words he said, too, must be human enough to bleed.
Dan Alatorre|Pound it out, get it done, write every day. No excuses. Kerouac said you can’t wait for inspiration, you have to go after it with a club. Damn straight. You’ll sleep a lot better getting your word count in than another quick Twitter check or keeping up to date on the Kardashians.
Hart Crane|Voyages IIIInfinite consanguinity it bears This tendered theme of you that light Retrieves from sea plains where the sky Resigns a breast that every wave enthrones; While ribboned water lanes I wind Are laved and scattered with no stroke Wide from your side, whereto this hour The sea lifts, also, reliquary hands. And so, admitted through black swollen gates That must arrest all distance otherwise, Past whirling pillars and lithe pediments, Light wrestling there incessantly with light, Star kissing star through wave on wave unto Your body rocking! and where death, if shed, Presumes no carnage, but this single change,- Upon the steep floor flung from dawn to dawn The silken skilled transmemberment of song; Permit me voyage, love, into your hands . .
Jim Butcher, Grave Peril|I'm amazing and studly, but I have limits.
Robert M. Sapolsky, Why Zebras Don't Get Ulcers|Although we try to control it in a million different ways, the only things you can ever really do to time are enjoy it, or waste it. That’s it.
Darren Shan, Ocean of Blood|Men may perish, but the world will neither celebrate nor mourn. It will go on.' His smile thinned. 'Would you like to know how?''No.''Animals will swell to fill the void left by men," he told her. 'And over-swell it, perhaps. There will be other extinctions and other recoveries. The sky will clear, but those who see it will not marvel at its many colors. Those ruins will collapse, burying treasures like this-' He waved at the walls. '-and this-' He picked up the spoon from her coffee tray and tossed it down again with a clatter. '-forever, but the world will go on. Years become centuries so easily when no one is there to count them. Centuries become millennia. The forests will reclaim the lands that Men have razed. Rivers will carve canyons across the scars left by this fallen cities. Mountains will rise up, trapping seas to dry under and uncaring sun and leaving the bones of whales to bleach in the newborn deserts for no one to find, no one to be inspired by thoughts of giants and dragons. And still the worlds will go on, and I will go on with it through ages that can only be measured by the coming and going of glaciers. The stars themselves will shift in the heavens and no one will be there to invent names for their new alignments or remember the stories of the old ones, no one but me. In time, the sun itself will begin to cool. Here on Earth, the world goes on and on as its remaining life passes through its last changes and dies away. It will be quiet. And lonely.' His mouth curved into a bitter line. 'But I'll live.''Stop it,' Lan whispered through numb lips.'I read once that the sun will someday swell and engulf this world before it burns itself out. Perhaps I will finally die with it. Or perhaps I' will continue to endure... my ashes pulled eternally apart through the frozen vacuum of space, and I with no more mouth to scream... still alive.
La Monte Young|Words are also seeds, and when dropped into the invisible spiritual substance, they grow and bring forth after their kind.
Kirsten Beyer, Protectors|Power is never taken fr, om us, it is , only given away
Himmilicious|Come closer to me,” he commanded. She began to get to her feet, giving him the opportunity to force her down again. “No. I want you to crawl over here on your hands and knees.” Jace watched the power of his words place invisible constraints on Camille’s body. She fell down to her knees and crawled on the floor like an animal. In that moment, he was her master; in that moment, everything seemed natural and right in the world. He was the yin to her yang, pulling both of them into perfect equilibrium.
Tan Redding, A Banquet Of Crumbs|What is this place?’‘Heaven.’ She laughed, ‘with better drinks!
Richie Norton|Words often bring with them the illusion of transparency, as though they allowed us to understand everything, control everything, put everything in order. Modernity is talkative because it is proud, unless the converse is true. Is our incessant talking perhaps what makes us proud?
Truman Capote|Well, I'm about as tall as a shotgun, and just as noisy.
Thrity Umrigar|We are earthbound creatures, Maggie had thought. No matter how tempting the sky. No matter how beautiful the stars. No matter how deep the dream of flight. We are creatures of the earth. Born with legs, not wings, legs that root us to the earth, and hands that allow us to build our homes, hands that bind us to our loved ones within those homes. The glamour, the adrenaline rush, the true adventure, is here, within these homes. The wars, the detente, the coups, the peace treaties, the celebrations, the mournings, the hunger, the sating, all here.
Bangambiki Habyarimana|I fear that there will be no neat ending to this, in the manner of the old Greek plays. Where the Gods descend, and all is explained, and tidied away.
Simon Newcomb|Looking in the mirror to check if my tie is straight is a waste of my time. I only look in the mirror once a day, and that's in the morning when I shave.
Bryan M. Litfin, The Sword|Dont switch the blame to her, that's the oldest trick of all cowards
Julie Lessman|Trust is not an obsession, it's an extension of love. When we truly love someone, we give them our heart to hold in their hands. And when that love is returned, that very trust is balm to our souls.
Marie Brennan, A Natural History of Dragons|I have often found this to be true since, that matters which seem terribly important in the early days of such a journey (what will people back home say?) fade into triviality with the passage of time.
|Yet this thou art alive, but if ye soar,My poor frail heart will have beat out its cryAnd sadly miss thy sweet form all the moreWhile helplessly I stand and watch you die.
Debasish Mridha|Success is working with enthusiasm and ambition, living with joy and kindness, and going toward a life of ultimate service and happiness.
Ottilie Weber, Family Ties|Princess Diana talking to Prince William about the loss of her title Her Royal Highness: She turned to William in her distress. She (Princess Diana) told me how he had sat with her one night when she was upset over the loss of HRH, put his arms around her and said: Don't worry, Mummy. I will give it back to you one day when I am king.
James     Baldwin, Go Tell It on the Mountain|But to look back from the stony plain along the road which led one to that place is not at all the same thing as walking on the road; the perspective to say the very least, changes only with the journey; only when the road has, all abruptly and treacherously, and with an absoluteness that permits no argument, turned or dropped or risen is one able to see all that one could not have seen from any other place.
Byron Katie, I Need Your Love - Is That True?: How to Stop Seeking Love, Approval, and Appreciation and Start Finding Them Instead|I've always been just me, but I was the last to know that it was all right.
Amit Ray, Yoga and Vipassana: An Integrated Life Style|There are two types of empathy: the positive empathy and the negative empathy. When we are fully carried away by the unaware activities of the mirror neurons, we are under the trap of negative empathy. The negative empathy generates attachments. Out of these attachments suffering follows. Negative empathy is a kind of reaction to a situation, whereas positive empathy is internal response of peace love and tranquility.... In positive empathy, your deep tranquility, joy and peace activates the mirror neurons of the others, whereas in negative empathy your mirror neurons are activated by the disturbance of others.
Margaret Atwood, The Handmaid's Tale|Mistresses, have you ever noticed that when we disagree with a male- I hesitate to say 'man'- or find ourselves in a position over males, the first comment they make is always about our reputations or our monthlies?
Margaret Atwood|You learn to write by reading and writing, writing and reading. As a craft it's acquired through the apprentice system, but you choose your own teachers. Sometimes they're alive, sometimes dead.As a vocation, it involves the laying on of hands. You receive your vocation and in your turn you must pass it on. Perhaps you will do this only through your work, perhaps in other ways. Either way, you're part of a community, the community of writers, the community of storytellers that stretches back through time to the beginning of human society.As for the particular society to which you yourself belong -- sometimes you'll feel you're speaking for it, sometimes -- when it's taken an unjust form -- against it, or for that other community, the community of the oppressed, the exploited, the voiceless. Either way, the pressures on you will be intense; in other countries, perhaps fatal. But even here, speak 'for women,' or for any other group that is feeling the boot, and there will be many at hand, both for and against, to tell you to shut up, or to say what they want you to say, or to say it a different way. Or to save them. The billboard awaits you, but if you succumb to its temptations you'll end up two-dimensional."Tell what is yours to tell. Let others tell what is theirs.
Christopher McDougall|In the novelist's profession, as far as I'm concerned, there's no such thing as winning or losing. Maybe numbers of copies sold, awards won, and critics' praise serve as outward standards for accomplishment in literature, but none of them really matter. What's crucial is whether your writing attains the standards you've set for yourself. Failure to reach that bar is not something you can easily explain away. When it comes to other people, you can always come up with a reasonable explanation, but you can't fool yourself. In this sense, writing novels and running full marathons are very much alike.
Geoff Mains, Urban Aboriginals: A Celebration of Leathersexuality|Yeah, equal pay for equal work and our bodies ourselves and Gloria Steinem and all that jazz...but in that dusty dark little corner of every woman's heart where we keep our maps of Tierra del Fuego lives the hunger to fetch a powerful man his slippers on her hands and knees.
Jonathan Swift, A Tale of a Tub and Other Works|Criticize me if you can, but that won't stop me from saying what i like, my mouth is mine, and not yours.
John Corwin, Dark Light of Mine|So, he, uhm, all ac/ac, or a little ac/dc?" she asked, blushing, and Chase's grin about swallowed his face."He claims to be ac/dc," he said, watching her face light up completely.
Sunday Adelaja|Answer the question “ what am I living for?” and become a master in this field, serve others with your gift, because you were created exactly with this goal
Jim Jensen|Trust me I know this shit, Don't fuck with me!
Anonymous|A person plans his course, but the Lord directs his steps.
Lailah Gifty Akita|You ought to explore, search and seek the boundless possibilities in life.
Janna Levin, Black Hole Blues and Other Songs from Outer Space|Dirac's equation not only accounted for the spin of the electron and its observed magnetic moment, but also correctly explained the fine structure of the hydrogen atom. If the derivation of the Sommerfeld-like formula for the spectrum of the hydrogen atom was one of the striking successes of the Dirac equation, some of its other features were very troublesome.
Fabrizio Moreira|Every entrepreneur knows how agonizingly difficult it is to make the decision to give it your all, knowing that failure is inevitable; the successful ones know that the only way to get back up is through learning from that failure.
Jay Woodman|Mist lies over the river like the icy breath of winter angels. Darkness gathers round... and it is beautiful.Thank you for this life, this death, whatever it is you arethat makes us finally see.
Wentworth Miller|As a person, he was wonderful. He really was a great person. He was full of life. He had a great sense of humor. Very talented, of course, but very caring to his parents. There was a very endearing quality about Elvis.
Scott Patterson|When I was at college, the idea of fashion was more immediate to me, whereas art photography, the depth of it, was a different thing. Storytelling - fanciful storytelling - can only be told through fashion photography. It's the perfect way to play with fantasy and dreams.
Ryan Winfield, State of Nature|Hey, Jimmy.”“Yeah.”“You ever think about how long we’re going to live?”“No,” he says. “Not really.”“Well, why not?”“I dunno. Guess I’m too busy livin’ it to think about it.
Eliza Cook|Accept the pain  cherish the joys  resolve the regrets  then can come the best of benedictions-"If I had my life to live over  I'd do it all the same."
Kishan Paul, Blind Love|How did you know the dog was a boy before you read the tag?”Looking up at him with her cinnamon-colored eyes, she stated very matter-of-factly, “Boys have penises.” At that moment, Michael was very aware that he, himself, was a boy.
Danny Trejo|I think it's particularly a distinctively American concept that resonates with American culture through biker culture. A motorcycle is an independent thing. You're like, 'I don't want to ride in a car with this person. I want to be independent and ride by myself. But, let's ride in a group. Let's be independent, together.'
Helen Thomas|I love making music, though. I love playing.
John Locke|So that, in effect, religion, which should most distinguish us from beasts, and ought most peculiarly to elevate us, as rational creatures, above brutes, is that wherein men often appear most irrational, and more senseless than beasts themselves.
Willa Blair, Highland Healer|Quin reached out, spun her back to him, and pulled her into his arms, held her tight, so tight that she could hardly breathe. "I need you," he said, low and fierce, into her hair. "Oh, G-d, Olivia, how did I ever live without you?"She reached up, pulled his face down to hers. "I'm yours, for good or ill."There was a little click as the door to the ballroom closed, but Olivia paid no mind. "You're the missing piece of me," Quin said. "You make me feel.
Katherine McIntyre, Scrying for Summer|Her voice was a sensual, confiding whisper, and he clung to ever rapturous word."You take the grenade, I'll take the pin.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Great teamwork, great results.
Sophie Oak, Siren Beloved|If the goddess—and that would be me, by the way—is displeased, you’ll get bats in your hair and mice in your boots.
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|Be willing for purpose; it pays huge returns on investment. And along the journey, those who dis your willing sacrifice(s) will ponder their own foolishness.
C.J. Roberts|You're absolutely gorgeous. But you look too empty." Holding her gaze he slid his thumbs in to circle the rim of her opening. "Want something to fill you up?
Jesse Andrews, Me and Earl and the Dying Girl|I am girl of definitions, of logic, of black and white.Remember this.
Deyth Banger|Although she continued to knit, and sat upright, it was thus that she felt herself; and this self having shed its attachments was free for the strangest adventures. When life sank down for a moment, the range of experience seemed limitless. And to everybody there was always this sense of unlimited resources, she supposed; one after another, she, Lily, Augustus Carmichael, must feel, our apparitions, the things you know us by, are simply childish. Beneath it is all dark, it is all spreading, it is unfathomably deep; but now and again we rise to the surface and that is what you see us by. Her horizon seemed to her limitless. There were all the places she had not seen; the Indian plains; she felt herself pushing aside the thick leather curtain of a church in Rome. This core of darkness could go anywhere, for no one saw it. They could not stop it, she thought, exulting. There was freedom, there was peace, there was, most welcome of all, a summoning together, a resting on a platform of stability.
Kaushik Ram, Hidden World: The Inside Story of the Soul|As with all matters of the heart, the odds may not be in our favour but it is the only risk worth taking.
Austin Sarat|When words lose their meaning and their capacity to bind those who use them, neither democracy nor the rule of law can long survive.
Tamara L. Chilver|The Truth: Doing it all is a misconception the enemy wants mothers to believe. Learn how to fully embrace the beauty of each season of your life. It is a gift from God. God’s Word: Colossians 3:23-24-'Whatever you do, work at it with all your heart, as working for the Lord, not for human masters, since you know that you will receive an inheritance from the Lord as a reward. It is the Lord Christ you are serving.' Take a deep breath busy mom. You are doing a great job!
Ray Bradbury, The Illustrated Man|There were only the great diamonds and sapphires and emerald mists and velvet inks of space, with God's voice mingling among the crystal fires.
Ritchie Felix Prince .O|The poorest man around is not the fellow without a bank coin to his name, but the soul without the right information to orchestrate for himself the right future.
Deyth Banger|To make the best dicision for a book first check out the title, second check out the cover, third to check out the category what type is it - is it a horror or thriller or it's a psychology - it's important this. Then for sure check out little what's about the book. By openning it and reading the first 3 pages or as much as possible to make your decision!
Diana Dentinger, Modus Vivendi: Your Life Your Way|So many celebrations have become empty because the meaning has changed. Find your meaning, to find yourself for a fulfilling life experience.
Chris     Murray, The Extremely Successful Salesman's Club|If you woke before dawn one morning with the formula for a vaccine, which would cure the most ghastly disease currently known to man, releasing millions from an agonising death, would you roll over and resume sleeping until daylight?
Patricia C. Wrede, Sorcery & Cecelia: or The Enchanted Chocolate Pot|I believe, Sebastian, that novels are more important than ever. They are more important than video recorders and record players and television because they enable us to exercise our minds. They allow us to step back and see where the history is taking us.
Sunil Mittal|We can all be proud of our men and women in the military who are following their orders, carrying out their missions and sacrificing so much to give the Iraqi people a chance for a more peaceful and prosperous future.
Israelmore Ayivor|The past is far behind. If you still want to look at it, you will painfully stretch your neck muscles. Don't live in the past, leave the past, but learn from it.
Brent Green, Questions of the Spirit: The Quest for Understanding at a Time of Loss|I felt great empathy for my friend, as one form of cancer after another emerged to challenge him. I felt sympathy for his suffering that surely clawed at his daily routines, always active and busy, but he rarely verbalized complaints while courageously challenging his archenemy. He met pain and physical decline with 600-calorie workouts; he discarded anxieties somewhere along innumerable running trails; he faced death by running through life at full stride.
C.S. Lewis, Of Other Worlds: Essays and Stories|I might be asked, ‘Do you equally reject the approach which begins with the question “What do modern children need?” — in other words, with the moral or didactic approach?’ I think the answer is Yes. Not because I don’t like stories to have a moral: certainly not because I think children dislike a moral. Rather because I feel sure that the question ‘What do modern children need?’ will not lead you to a good moral. If we ask that question we are assuming too superior an attitude. It would be better to ask ‘What moral do I need?’ for I think we can be sure that what does not concern us deeply will not deeply interest our readers, whatever their age. But it is better not to ask the question at all. Let the pictures tell you their own moral. For the moral inherent in them will rise from whatever spiritual roots you have succeeded in striking during the whole course of your life. But if they don’t show you any moral, don’t put one in.
Alan Bradley, The Sweetness at the Bottom of the Pie|What intrigued me more than anything else was finding out the way in which everything, all of creation - all of it! - was held together by invisible chemical bonds, and I found a strange, inexplicable comfort in knowing that somewhere, even though we couldn't see it in our own world, there was a real stability.
Stephen King, It|If you can’t find any fun during childhood, you naturally won’t look for it as you grow up to maturity. You will grow ‘hard,’ and look upon fun as foolish. Also, if you don’t furnish fun for a child, don’t look for it to grow up bright, happy and loving. So, always put in a child’s path an opportunity to watch, talk about, and know, as many good things as you can.
Ljupka Cvetanova, The New Land|Give a man a finger, he’ll put a wedding ring on it!
Lailah Gifty Akita|In the realm of faith, there is no fear.
Baruch Spinoza, Ethics|I should attempt to treat human vice and folly geometrically... the passions of hatred, anger, envy, and so on, considered in themselves, follow from the necessity and efficacy of nature... I shall, therefore, treat the nature and strength of the emotion in exactly the same manner, as though I were concerned with lines, planes, and solids.
Michio Kaku, The Future of the Mind: The Scientific Quest to Understand, Enhance, and Empower the Mind|The world was full of waistrels and waifs, sycophants and spies - all of whom put words to the wrong use, who made everything that was said or written suspect
Neil Gorsuch|If I wasn't prepared knowing every year there is a huge chance of a fire that will require me to evacuate my property, then I'm an ignoramus. If people at this point don't see that terrorism is a reality, and don't take steps to prepare themselves a little more than they were the day before, then they are also an irresponsible ignoramus.
Elizabeth Berg|The things that were once sweet to me are now bitter. The sun is not half so bright. The stars seem dimmer. All this wealth and luxury feels meaningless. All the world is in your shadow, Zahra. I cannot help but see you when I close my eyes.
Sita Brahmachari, Kite Spirit|Depression feels a bit like that, it creeps in on you and settles, until you think it’ll never lift, but in time it always does. That’s why it’s so tragic if people don’t reach out to anyone when they feel low, because if they do, the mist will usually lift in the end.
Joan Didion|I wake and feel the fell of dark, not day. And I have asked to be where no storms come.
Pink|Unless man is committed to the belief that all mankind are his brothers, then he labors in vain and hypocritically in the vineyards of equality.
Charles Haddon Spurgeon, Lectures to My Students|No heart is as whole as a broken heart, and no faith is as solid as a wounded faith." Elie Wiesel
Nicolas Ghesquiere|If I have one wish for my birthday, it is that 35 is the end of desperation and the beginning of acceptance. Part of that is believing that if I'm meant to give birth, I will.
Ursula K. Le Guin, The Telling|We're not outside the world... We are the world. We're its language. So we live and it lives. You see? If we don't say the words, what is their in our world?
Adelaide Crapsey, Verse by Adelaide Crapsey|When you invite Jesus Christ into your life and embrace his command, Satan receives an eviction notice. Romans 10:9
Winston Churchill|I will work in partnership with the Government, all political parties, and civil society to safeguard and advance the future of all Singaporeans.
Connor Franta, A Work in Progress|Take it from a middle child; being a middle child sucks. You have neither the responsibility that comes with being the oldest nor the luxury that comes with being the baby. You have N O T H I N G. No label. No identity. Not to mention my fellow middle child, Nicola, was the only girl in the family. See! Nothing! You're the in-between child, squeezed into the order of things. You're the Idaho to New York and Los Angeles. You're the regular-sized cup in between the large and small. (I actually like a good medium-sized drink, to be quite honest, but you get the point.)
Yoko Ono|The closing years of life are like the end of a masquerade party, when the masks are dropped.
Gume Laurel III, Blind in Justice|We're about to hit that age when we'll be too exhausted to maintain friendships, and the days of hanging out will be long behind us.
A. P. J. Abdul Kalam|Failures, repeated failures, are finger posts on the road to achievement. One fails forward toward success.
Kevin J. Donaldson|To find love, give love first.
Jodi Picoult, Between the Lines|Oh, this time I was doing the gossiping. You should really dismiss me for disloyalty, not to mention the disrespect I'm showing right now by talking to you like this.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Life wants you to live in total alignment with true love, passion and integrity.
Makoto Shinkai, 5 Centimeters per Second|I still don't know what it really means to grow up. However, if I happen to meet you, one day in the future, by then, I want to become someone you can be proud to know.
Peter Ackroyd, Hawksmoor|When all you have to face all life issues is the attitude forced on to you by society traditions, you will then regret not being the mad you used to be but will never be again.
Jewelle L. Gómez|For femmes, that evolving feminist thought reacquainted us with something we kind of knew already: men and women might mistake us for “just girls” when they see our makeup and fashions, but we were/are actually guerrilla warriors, fighting undercover in the war to save women from the continuing campaign to make us irrelevant fluff.
William Beckford, The Episodes of Vathek|No course was open to me save to leap, with eyes self-bound, into the yawning abyss of the future.
Katie McGarry, Chasing Impossible|The sin we need to be concerned about is the sin in our own lives. It's the root of all human woe, the source of anguish.
Philippa Gregory, The Virgin's Lover|I know what that does to a man, to walk the earth with the burden of his sin on his back. It poisons all he touches.
Fyodor Dostoyevsky, Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead|In the first place I spent most of my time at home, reading. I tried to stifle all that was continually seething within me by means of external impressions. And the only external means I had was reading. Reading, of course, was a great help--exciting me, giving me pleasure and pain. But at times it bored me fearfully. One longed for movement in spite of everything, and I plunged all at once into dark, underground, loathsome vice of the pettiest kind. My wretched passions were acute, smarting, from my continual, sickly irritability I had hysterical impulses, with tears and convulsions. I had no resource except reading, that is, there was nothing in my surroundings which I could respect and which attracted me. I was overwhelmed with depression, too; I had an hysterical craving for incongruity and for contrast, and so I took to vice. I have not said all this to justify myself .... But, no! I am lying. I did want to justify myself. I make that little observation for my own benefit, gentlemen. I don't want to lie. I vowed to myself I would not.
Alpesh Vasan|Believe me...Nothing is bad or wrong , just prove it as right
Nicola Adams|The spiritual message is we lose our lives in pleasing others; if you're the good child who pleases Mommy and Daddy but internalizes anger, you're setting yourself up for disease.
Bobby Scott|When a person is humiliated, when his rights are being violated, and he does not have the proper education, naturally he gravitates toward terrorism.
Richard Paul Evans, Lost December|Reality, at first glance, is a simple thing: the television speaking to you now is real. Your body sunk into that chair in the approach to midnight, a clock ticking at the threshold of awareness. All the endless detail of a solid and material world surrounding you. These things exist. They can be measured with a yardstick, a voltammeter, a weighing scale. These things are real. Then there’s the mind, half-focused on the TV, the settee, the clock. This ghostly knot of memory, idea and feeling that we call ourself also exists, though not within the measurable world our science may describe.Consciousness is unquantifiable, a ghost in the machine, barely considered real at all, though in a sense this flickering mosaic of awareness is the only true reality that we can ever know. The Here-and-Now demands attention, is more present to us. We dismiss the inner world of our ideas as less important, although most of our immediate physical reality originated only in the mind. The TV, sofa, clock and room, the whole civilisation that contains them once were nothing save ideas.Material existence is entirely founded on a phantom realm of mind, whose nature and geography are unexplored. Before the Age of Reason was announced, humanity had polished strategies for interacting with the world of the imaginary and invisible: complicated magic-systems; sprawling pantheons of gods and spirits, images and names with which we labelled powerful inner forces so that we might better understand them. Intellect, Emotion and Unconscious Thought were made divinities or demons so that we, like Faust, might better know them; deal with them; become them.Ancient cultures did not worship idols. Their god-statues represented ideal states which, when meditated constantly upon, one might aspire to. Science proves there never was a mermaid, blue-skinned Krishna or a virgin birth in physical reality. Yet thought is real, and the domain of thought is the one place where gods inarguably ezdst, wielding tremendous power. If Aphrodite were a myth and Love only a concept, then would that negate the crimes and kindnesses and songs done in Love’s name? If Christ were only ever fiction, a divine Idea, would this invalidate the social change inspired by that idea, make holy wars less terrible, or human betterment less real, less sacred?The world of ideas is in certain senses deeper, truer than reality; this solid television less significant than the Idea of television. Ideas, unlike solid structures, do not perish. They remain immortal, immaterial and everywhere, like all Divine things. Ideas are a golden, savage landscape that we wander unaware, without a map.Be careful: in the last analysis, reality may be exactly what we think it is.
Erin Passons, The Nasty Women Project: Voices from the Resistance|I’ve heard so many people, particularly people of faith, say they could look past his wrongdoings. When they’re pressed further, the reply is always some variation of “He doesn’t mean what he says,” “It’s just to get a rise out of people,” or “It’s all for show.” When you turn a blind eye and a deaf ear and say nothing, you are in fact saying everything. You are telling others you approve of immorality and injustice. You are telling them you support the marginalization and vilification of those who are different from you. You are telling them that fear reigns supreme and that you will tolerate nefarious behavior. As President John F. Kennedy said in a speech: “The hottest places in hell are reserved for those who, in times of great moral crises, maintain their neutrality.”- Amy Erickson
Titus Lucretius Carus, On the Nature of Things|The supply of matter in the universe was never more tightly packed than it is now, or more widely spread out. For nothing is ever added to it or subtracted from it. It follows that the movement of atoms today is no different from what it was in bygone ages and always will be. So the things that have regularly come into being will continue to come into being in the same manner; they will be and grow and flourish so far as each is allowed by the laws of nature.
Ernesto Cardenal, Zero Hour And Other Documentary Poems|... You can't be with God and be neutral. / True contemplation is resistance. And poetry, / gazing at clouds is resistance I found out in jail.
Chuck Close|I must have something to engross my thoughts, some object in life which will fill this vacuum, and prevent this sad wearing away of the heart.
Viktor E. Frankl|My mother taught me to be honest, to be selfless, and to touch people in a positive way.
Daniel Humm|For believers, both privilege and privation are a trial, and both demand responses: one demands service, and the other demands patience. The greatest privilege is to live well in flourishing lands; the greatest privation is to live in the midst of war, especially civil war.
S.C. Barrus, Discovering Aberration|That is the difference between great men and small, we great are willing to do the hard things, the uncomfortable things to ensure we succeed.
Oliver Hassencamp|Der Papst ist der einzige Konzern-Vize, der seinen Chef nie zu sehen bekommt. Nicht einmal bei der Weihnachtsfeier.
Ayn Rand, Atlas Shrugged|Her feelings of fear and helplessness had reached such a pitch that they were suddenly transformed into their opposites. Having overcome them, she felt corageous and self-confident enough to tackle any power on earth; more precisely, she had ceased to worry about herself.
Connie Kerbs, Paths of Fear: An Anthology of Overcoming Through Courage, Inspiration, and the Miracle of Love|And then there is this jewel with its many facets of wisdom. It’s not difficult to imagine the breadth and depth of this sentiment – at least where astuteness and faith are an inseparable dynamic duo running rampant: “…while God does listen, knowing what He knows about us, and how well we take disappointment, often He will find a way to save us all the heartache and trouble we unwittingly plead and beseech and continually pester him for; ever a loving, wise Father, He will just simply answer, “no,” by default; by not answering, “yes.
E.M. Forster, A Room with a View|When we were only acquaintances, you let me be myself, but now you're always protecting me... I won't be protected. I will choose for myself what is ladylike and right. To shield me is an insult. Can't I be trusted to face the truth but I must get it second-hand through you? A woman's place!
Taimoor Madni|I left her because of you,not for you.
Dan Chaon, Stay Awake|New York City in life was much like New York City in death. It was still hard to get a cab, for example.
Richard Engel|The things journalists should pay attention to are the issues the political leadership agrees on, rather than to their supposed antagonisms.
Tanya Huff, Nights of the Round Table and Other Stories of Heroic Fantasy|A woman can take care of the family. It takes a man to provide structure, to provide stability. Not that I'm saying a woman can't provide stability, I'm not saying that...It does take a father though.
Rob Brezsny, Pronoia is the Antidote for Paranoia: How the Whole World is Conspiring to Shower You With Blessings|It is noted that from 1967 to 1995 essays on negative emotions far outnumbered those on positive emotions in the psychological literature. The ratio was 21:1. Even those supreme perpetrators of pop nihilism, The New York Times and The Washington Post, have a better ratio than psychological literature. They average 12 negative stories to every one that might be construed to be non-negative. Many of their non-negative stories, however, cover success in sports and entertainment. I demand that the purveyors of despair who pretend to be dispassionate observes of the human condition go ahead and disclose that the 10 most beautiful words in the English languages are chimes, dawn, golden, hush, lullaby, luminous, melody, mist, murmuring, and tranquil; that Java sparrows prefer the music of Back over that of Schoenberg; that math experts have determined there are 1/96 trillion ways to lace up your shoes; that the Inuit term for making love is translated as ‘laughing together in bed;' and that according to Buckminster Fuller, “pollution is nothing but resources we’re not harvesting.
Alexander Pope|We think our fathers fools, so wise we grow. Our wiser sons, no doubt will think us so.
Suzanne Finnamore, Split: A Memoir of Divorce|This is much worse than losing a cat. You do not wish the cat dead, for example, after the first two days. You still love the cat and presumably the cat still loves you, or some variation of love that may in fact be dependence and even indifference.
Adele Theron|The journey of finding you can be scary all in itself. The journey to finding the real you start behind the walls of yesterday. Reaching down through the years of hurt can remind you of why you built the wall. However, the journey of finding your voice begins by taking the bricks down one by one until you find the strength to push the wall down. Then you can start over building an improved wall with a door for someone to enter.
Immanuel Kant, Fundamental Principles of the Metaphysic of Morals: & the Metaphysical Elements of Ethics|I class the principle of moral feeling under that of happiness, because every empirical interest promises to contribute to our well-being by the agreeableness that a thing affords, whether profit be regarded.
Michael    Jones|When I Read the Book"When I read the book, the biography famous, And is this then (said I) what the author calls a man's life? And so will some one when I am dead and gone write my life? (As if any man really knew aught of my life,Why even I myself I often think know little or nothing of my real life, Only a few hints, a few diffused faint clews and indirections I seek for my own use to trace out here.)
Erich Fromm, The Sane Society|Both the mentally healthy and the neurotic are driven by the need to find an answer [to the problem of human existence], the only difference being that one answer corresponds more to the total needs of man, and hence is more conducive to the unfolding of his powers and to his happiness than the other. All cultures provide for a patterned system in which certain solutions are predominant, hence certain strivings and satisfactions.... The deviate from the cultural pattern is just as much in search of an answer as his more well-adjusted brother. His answer may be better or worse than the one given by his culture - it is always another answer to the same fundamental question raised by human existence. In this sense all cultures are religious and every neurosis is a private form of religion, provided we mean by religion an attempt to answer the problem of human existence.
Brian K. Fuller, Sacrifice|Does any (MFA) program really improve anybody, as much as simply identifying them? And, after identifying them, not ruining them?
S. Bear Bergman|There are more locations than girl and boy, man and woman. Decamping from one does not have to mean climbing into another. There’s plenty of space in between, or beyond the bounds, or all along and across the plane or sphere or whatever of gender, and it is entirely okay to say, “I do not like being a girl, and so I shall be a boy.” But it must also be okay to say, “I do not like being a girl, so I shall set about changing what it means to be a girl,” and, yes, okay to say, “I do not like being a girl, and so I shan’t.
Ajay Kumar|We never fight for the leader, We fight for the leader's cause.
Ali McNamara, From Notting Hill with Love... Actually|Feeling like I had to lose you for the second time...” He shook his head, and I thought I saw tears under his eyes. “I don’t think I could bear it. You’re everything to me, Elizabeth.
Andrew Solomon, The Noonday Demon: An Atlas of Depression|You are constantly told in depression that your judgment is compromised, but a part of depression is that it touches cognition. That you are having a breakdown does not mean that your life isn't a mess. If there are issues you have successfully skirted or avoided for years, they come cropping back up and stare you full in the face, and one aspect of depression is a deep knowledge that the comforting doctors who assure you that your judgment is bad are wrong. You are in touch with the real terribleness of your life. You can accept rationally that later, after the medication sets in, you will be better able to deal with the terribleness, but you will not be free of it. When you are depressed, the past and future are absorbed entirely by the present moment, as in the world of a three-year-old. You cannot remember a time when you felt better, at least not clearly; and you certainly cannot imagine a future time when you will feel better.
