Paresh Shah|People don't have ideas, ideas have people.
Robert G. Ingersoll|I admit that reason is a small and feeble flame, a flickering torch by stumblers carried in the star-less night, -- blown and flared by passion's storm, -- and yet, it is the only light. Extinguish that, and nought remains.
Sam Wineburg|Texts on a lifeless strings of facts, but the keys to unlocking the character of human beings, people with likes and dislikes, diocese and foibles, errors and convictions. Words have texture and shape, and it is their almost tactile quality that leads readers to sculpt images of the writers who use them. These images are then interrogated, mocked, congratulated, or dismissed, depending on the context of the reading and the disposition of the reader.
Matthew Quick, The Silver Linings Playbook|Life is not a PG feel-good movie. Real life often ends badly. Literature tries to document this reality, while showing us it is still possible for us to endure nobly.
Drew  Hayes, Split the Party|Ask yourself whether the problem will matter in a year or two. If not, it may be a trivial issue unworthy of your concern.
Christie Cote, Rain|There is a flaw to your plan.” A sly grin crept onto his face once again. My eyebrow arched at him questioningly.“I live across the street,” he told me; and, without another word, he turned around toward his house. Then I realized what he’d meant. I’d told my problems to a stranger I would probably see again.
Mehmet Murat ildan|Without the intense touch of nature, you can never fully freshen yourself! Go for a camping and there both your weary mind and your exhausted body will rise like a morning sun!
Santosh Thankachan|When we aim for Holiness and a true fellowship of God in our own personal lives, then only we really understand what we actually stand for in our Christian life.
Neil Gaiman|It seems so long ago that he was last afraid of anything. Seventeen, was he then? Eighteen? Sometimes he thinks he's missing a lot by being like this - fear gives life a fillip. He wonders how it is he lost it all, and what there is - if anything - ever to bring it back. ("Jane Brown's Body")
Lourd de Veyra|And that is the problem with a society that doesn't read books. The most painful form of censorship does not come from a centralized, repressive government. It is a cast, black cloak of a nation's indifference.
Juliet Marillier, Tower of Thorns|You are a devious woman, Blackthorn,' she said. 'I prefer the term strategic thinker.
John Piper, Don't Waste Your Life|I'll never be a non-stumbler. I'll be a forgiven stumbler, but never a non-stumbler.
Guus Kuijer, The Book of Everything|If it makes you happy, then you succeeded already.
D.A. Carson, The Gagging of God: Christianity Confronts Pluralism|In the moral realm, there is very little consensus left in Western countries over the proper basis of moral behavior. And because of the power of the media, for millions of men and women the only venue where moral questions are discussed and weighed is the talk show, where more often than not the primary aim is to entertain, even shock, not to think. When Geraldo and Oprah become the arbiters of public morality, when the opinion of the latest media personality is sought on everything from abortion to transvestites, when banality is mistaken for profundity because [it's] uttered by a movie star or a basketball player, it is not surprising that there is less thought than hype. Oprah shapes more of the nation's grasp of right and wrong than most of the pulpits in the land. Personal and social ethics have been removed from the realms of truth and structures of thoughts; they have not only been relativized, but they have been democratized and trivialized.
Jen Knox, The Glass City|An intelligent person can rationalize anything, a wise person doesn't try.
Eleesha, The Soulful Pathway To Christmas: Soulfully Inspiring You in the Days Leading Up to Christmas and Beyond!|Never allow yourself to become despondent or weary, as you venture along life’s chosen path.
Kiera Cass|You cannot win everyday, but make sure u win, at-least once in a while.
Sebastian Rotella|To sit indoors was silly. I postponed the search for Savchenko and Ludmila till the next day and went wandering about Paris. The men wore bowlers, the women huge hats with feathers. On the café terraces lovers kissed unconcernedly - I stopped looking away. Students walked along the boulevard St. Michel. They walked in the middle of the street, holding up traffic, but no one dispersed them. At first I thought it was a demonstration - but no, they were simply enjoying themselves. Roasted chestnuts were being sold. Rain began to fall. The grass in the Luxembourg gardens was a tender green. In December! I was very hot in my lined coat. (I had left my boots and fur cap at the hotel.) There were bright posters everywhere. All the time I felt as though I were at the theatre. I have lived in Paris off and on for many years. Various events, snatches of conversation have become confused in my memory. But I remember well my first day there: the city electrified my. The most astonishing thing is that is has remained unchanged; Moscow is unrecognizable, but Paris is still as it was. When I come to Paris now, I feel inexpressibly sad - the city is the same, it is I who have changed. It is painful for me to walk along the familiar streets - they are the streets of my youth. Of course, the fiacres, the omnibuses, the steam-car disappeared long ago; you rarely see a café with red velvet or leather settees; only a few pissoirs are left - the rest have gone into hiding underground. But these, after all, are minor details. People still live out in the streets, lovers kiss wherever they please, no one takes any notice of anyone. The old houses haven't changed - what's another half a century to them; at their age it makes no difference. Say what you will, the world has changed, and so the Parisians, too, must be thinking of many things of which they had no inkling in the old days: the atom bomb, mass-production methods, Communism. But with their new thoughts they still remain Parisians, and I am sure that if an eighteen-year-old Soviet lad comes to Paris today he will raise his hands in astonishment, as I did in 1908: "A theatre!
Veronica Roth, The Transfer|And then they started deleting the protest reviews.That was my line. When they started to stamp out dissent, actually to make it disappear with virtually no excuse for doing so...that’s not neglect. That’s not an overwhelmed person or people trying to figure it out. That’s an entity that has decided that they do not care, that they have moved on from the issue, do not see it as an issue, and is trying to avoid bad press. Or they are too far down the line to backtrack on what they’ve been doing and save face. They’re content with their wildly inconsistent policy enough to no longer care what effect it is having on their user base. If you try to silence dissent, then something is very, very wrong.
Karl Rove|I'm from Iowa, we don't know what cool is!
John McPhee, Assembling California|Imperialism and exploitation,” he wrote, “spheres of influence, trade barriers, unequal distribution of the world's goods, starvation in the midst of plenty, slums with gold coasts next door, poverty supporting luxury: These are marks of an unChristian world.
A.E. Housman, A Shropshire Lad|Be still, my soul, be still; the arms you bear are brittle,Earth and high heaven are fixt of old and founded strong.Think rather,--call to thought, if now you grieve a little,The days when we had rest, O soul, for they were long.Men loved unkindness then, but lightless in the quarryI slept and saw not; tears fell down, I did not mourn;Sweat ran and blood sprang out and I was never sorry:Then it was well with me, in days ere I was born.Now, and I muse for why and never find the reason,I pace the earth, and drink the air, and feel the sun.Be still, be still, my soul; it is but for a season:Let us endure an hour and see injustice done.Ay, look: high heaven and earth ail from the prime foundation;All thoughts to rive the heart are here, and all are vain:Horror and scorn and hate and fear and indignation--Oh why did I awake? when shall I sleep again?
Yann Martel, Life of Pi|We are alone, absolutely alone on this chance planet; and amid all the forms of life that surround us, not one, excepting the dog has made an alliance with us.
Niall Ferguson|I’m a complicated man, with complicated taste buds.
Hunter S. Thompson, Kingdom of Fear: Loathsome Secrets of a Star-Crossed Child in the Final Days of the American Century|Morality is temporary, wisdom is permanent.
Scott Simpson|For nearly four weeks, his family had been walking on eggshells around him, expecting him to fall apart at any moment and he was damn tired of it. He wished he could apart. Maybe it would hurt less if he could just say to hell with everything and find a corner to hide away in.
|In every given circumstance, only your repeated interpretations of it will determine whether it breaks you or makes you.
John Flanagan, Halt's Peril|Halt," said Horace, "I've been thinking..."Halt and Will exchanged an amused glance. "Always a dangerous pastime," they chorused. For many years, it had been Halt's unfailing response when Will had made the same statement. Horace waited patiently while they had their moment of fun, then continued."Yes, yes. I know. But seriously, as we said last night, Macindaw isn't so far away from here...""And?" Halt asked, seeing how Horace had left the statement hanging."Well, there's a garrison there and it might not be a b ad idea for one of to go fetch some reinforcements. It wouldn't hurt to have a dozen knights and men-at-arms to back us up when we run into Tennyson."But Halt was already shaking his head."Two problems, Horace. It'd take too long for one of us to get there, explain it all and mobilize a force. And even if we could do it quickly, I don't think we'd want a bunch of knights blundering around the countryside, crashing through the bracken, making noise and getting noticed." He realized that statement had been a little tactless. "No offense, Horace. Present company excepted, of course.
Mitch Albom, Have a Little Faith: a True Story|Much of what we called "depression" was really dissatisfaction, a result of setting a bar impossibly high or expecting treasures we weren't willing to work for.
Chaka Khan|All I wanted to do was come into my own and find out my career path and what I wanted to do with my life - but, at the same time, showing respect to my father and mother and make them proud as well.
Kat Richardson, Greywalker|I think Wordsworth was as surprised to see me as I was him. It can't be usual to go to your favorite memory only to find someone already there, admiring the view ahead of you.
Diana Nyad, Find a Way|When we cuss each other out, call each other the vilest names on earth, and put each other down with thoughtless cruelty, it is the only way we know and the only language we have to express our ardent love for each other.
Geraldine Brooks, Caleb's Crossing|That there should be a reality hidden behind appearances is, after all, quite possible; that language might render such a thing would be an absurd hope.
James Dobson|The idea that Love Must Be Tough dictates that we be willing to set another person free- even if it causes us great pain to let go. When we do this, we maximize the chances that that loved one will not leave, because the cage door has been opened and self-respect has been affirmed.
Sudipto Zephyr Ghosh|I know ..you know .. Together, we know nothing.
Nick Cave|I’m forever near a stereo saying, ‘What the fuck is this garbage?’ And the answer is always the Red Hot Chili Peppers.
Jules Barbey d'Aurevilly, Les Diaboliques|If writers only dared to dare, a Suetonius or a Tacitus of the Novel could exist, for the Novel is essentially the history of manners, turned into a story and a play, as is History itself often enough. And there is no other difference than this: that the one, the Novel, cloaks its manners under the disguise of invented characters, while the other, History, provides names and addresses. Only, the Novel probes much deeper than history. It has an ideal, and History has none; it is limited by reality. The Novel also holds the stage much longer. ("A Woman's Vengeance")
F.T. McKinstry, Ascarion|Hemlock's attentions had not only healed Aelfric's body of its wounds but also given him curious sensitivity. Aside from the voice in his mind, he felt things in the natural surroundings: the presence of beasts, the whispers of trees to the overcast skies, anger in the earth and sea. Ravens followed him around as they did wolves. And he had developed a rough ability to see in the dark.
Jim Highsmith, Agile Project Management: Creating Innovative Products|In fact, in an agile project, technical excellence is measured by both capacity to deliver customer value today and create an adaptable product for tomorrow.
William Makepeace Thackeray|hate isn't healthy, it damages the hater more than the one who's hated!
Ursula K. Le Guin, City of Illusions|Hope is a slighter, tougher thing even than trust, he thought, pacing his room as the soundless, vague lightning flashed overhead. In a good season one trusts life; in a bad season one only hopes, But they are of the same essence: they are the mind's indispensable relationship with other minds, with the world, and with time. Without trust, a man lives, but not a human life; without hope, he dies. When there is no relationship, where hands do not touch, emotion atrophies in void and intelligence goes sterile and obsessed. Between men the only link left is that of owner to slave, or murderer to victim.
Christie Watson, Tiny Sunbirds, Far Away|His manners are old-fashioned, the work of a vigilant mother.
P.G. Wodehouse|May the merciful god, if indeed there be such, guard those hours when no power of the will, or drug that the cunning of man devises, can keep me from the chasm of sleep. Death is merciful, for there is no return therefrom, but with him who has come back out of the nethermost chambers of night, haggard and knowing, peace rests nevermore.
Marie Lu, Champion|I wish I had a hundred years," she said, very quietly. "A hundred years I could give to you.
Sri Chinmoy, The Wings of Joy: Finding Your Path to Inner Peace|To make the fastest progress,Be an absolutely cheerfulHero-warriorAnd take both victory and failureAs parallel experience riversLeading to the sea Of progress-delight.
Guillermo Cabrera Infante, Three Trapped Tigers|Eating, drinking, dying - three primary manifestations of the universal and impersonal life. Animals live that impersonal and universal life without knowing its nature. Ordinary people know its nature but don't live it and, if they think seriously about it, refuse to accept it. An enlightened person knows it, lives it, and accepts it completely. He eats, he drinks, and in due course he dies - but he eats with a difference, drinks with a difference, dies with a difference.
Jeaniene Frost, One Foot in the Grave|You know that old saying. Once you go dead, no one's better in bed.
Herbert Marcuse, Eros and Civilization: A Philosophical Inquiry into Freud|The psychoanalytic liberation of memory explodes the rationality of the repressed individual. As cognition gives way to re-cognition, the forbidden images and impulses of childhood begin to tell the truth that reason denies.
George MacDonald, Lilith|Some dreams, some poems, some musical phrases, some pictures, wake feelings such as one never had before, new in colour and form—spiritual sensations, as it were, hitherto unproved
Gen Urobuchi, 監視官 常守朱  1 [Kanshikan Akane Tsunemori]|Long before they had ever met, I think this destiny awaited them. They were not like ships passing in the night. It wasn't like they didn't understand each other. They understood each other better than anyone else, and each was focused solely on the other.
Marlon James, A Brief History of Seven Killings|She fitted in my arms, she always had, and the shock of holding her caused me to feel that my arms had been empty since she had been away.
Anne Lamott|Your problem is how you are going to spend this one and precious life you have been issued. Whether you're going to spend it trying to look good and creating the illusion that you have power over circumstances, or whether you are going to taste it, enjoy it and find out the truth about who you are.
C. Nzingha Smith|We humans are imperfect, but what makes us human is not are kind but our courage to overcome fear, our ability to turn imagination into reality, our hope to diminish despair, and have a smile on our face although we in a predicament.
Ramana Pemmaraju|Your idea, talent, experience and certificates are not enough. What is needed is a strong passion for driving your idea, talent, experience and your certificates to success.
Aristotle, Poetics|With respect to the requirement of art, the probable impossible is always preferable to the improbable possible.
Benjamin Hoff, The Tao of Pooh|Like silence after noise, or cool, clear water on a hot, stuffy day, Emptiness cleans out the messy mind and charges up the batteries of spiritual energy. Many people are afraid of Emptiness, however, because it reminds them of Loneliness.
Israelmore Ayivor, The Great Hand Book of Quotes|Hi Lady, Hi Woman.., all that Naomi had, all that Mary had, all that Esther had, all that Elizabeth had, YOU ALSO HAVE... Go, make your dreams come true!
Harold S. Kushner, When Bad Things Happen to Good People|The dog next-door had settled down, and the neighbourhood seemed stunned by this event occurring in our backyard. It was like it could sense it. It could sense some form of tragedy and helplessness being played out, and to tell you the truth, it all surprised me. I was so used to things just going on, oblivious and ignorant to all feeling.
Jonathan R. Banks, A New World: The Science of Higher Dimensional Computation and Metaphysics|Science will provide the material basis for a spiritually mature technologically advanced civilisation, it will achieve its higher spiritual purpose of evolving all of humanity. No other spiritual, mystical or religious institution has ever been able to do this and never will.
Crystal Woods, Dreaming is for lovers|You're going to have to take care of yourself," Karrin said quietly. "Over the next few weeks. Rest. Give yourself a chance to heal. Keep the wound on your leg clean. Get to a doctor and get that arm into a proper cast. I know you can't feel it, but it's important that--"I stood, leaned over the bed, and kissed her on the mouth.Her words dissolved into a soft sound that vibrated against my lips. Then her good arm slid around my neck, and there wasn't any sound at all. It was a long kiss. A slow kiss. A good one. I didn't draw away until it came to its end. I didn't open my eyes for a moment after."...oh...," she said in a small voice. Her hand slid down my arm to lie upon mine."We do crazy things for love," I said quietly, and turned my hand over, fingers curling around hers.
Debasish Mridha|Wherever you are, whoever you are, I am touching you and feeling you, not with my hand, but with my feelings and love.
Bill Watterson|I'm a flamboyant type of guy, a cooler version of Liberace.
Raheel Farooq|It is a rule in paleontology that ornamentation and complication precede extinction. And our mutation, of which the assembly line, the collective farm, the mechanized army, and the mass production of food are evidences or even symptoms, might well correspond to the thickening armor of the great reptiles—a tendency that can end only in extinction. If this should happen to be true, nothing stemming from thought can interfere with it or bend it. Conscious thought seems to have little effect on the action or direction of our species.
Becky Cooper, Mapping Manhattan: A Love (And Sometimes Hate) Story in Maps by 75 New Yorkers|I said, "It really didn't feel like a choice. Where else is there to go?
Ursula K. Le Guin, The Farthest Shore|You will die. You will not live forever. Nor will any man nor any thing. Nothing is immortal. But only to us is it given to know that we must die. And that is a great gift: the gift of selfhood. For we have only what we know we must lose, what we are willing to lose... That selfhood which is our torment, and our treasure, and our humanity, does not endure. It changes; it is gone, a wave on the sea. Would you have the sea grow still and the tides cease, to save one wave, to save yourself?
Dee Williams|Sorry, but despite how I look, I really love this planet.-Gintoki
Justin Buzzard, The Big Story: How the Bible Makes Sense out of Life|Each of us ought to be so happy that Jesus found us and saved us, that we are running to find the next person who needs to be introduced to Him. That's what church is, a community of rescued people celebrating grace, eager to spread the good news of grace and bring other people to the party.
David Mitchell, Cloud Atlas|Pain is strong, aye - but friends' eyes, more strong." I told him that he knows next to nothing about me & I know nothing about him. He jabbed at his eyes & jabbed at mine, as if that single gesture were ample explanation.
Charlotte Eriksson|Take a shower, wash off the day. Drink a glass of water. Make the room dark. Lie down and close your eyes.Notice the silence. Notice your heart. Still beating. Still fighting. You made it, after all. You made it, another day. And you can make it one more. You’re doing just fine.
Molly Harper|I think the very word stalking implies that you're not supposed to like it. Otherwise, it would be called 'fluffy harmless observation time'.
Alexander Zalan, Petals of Decades|I don't want to be memorized for everyone. I want to stay real,endless and inchangeable for my parents, kids and their descendants.
Suren Hakobyan, Edge of End|I can’t change my past, nobody can, I can make my future better
Mortimer J. Adler, How to Read a Book: The Classic Guide to Intelligent Reading|When we are looking for the unexpected, we are not only looking for the unexpected in ourselves, but we are also curious about the unexpected in the behavior of the others. So as to know the others, we have got to learn how and where they differ from us. By understanding this, we are able to establish an uplifting link with otherness. ( "Looking for the unexpected" )
Jonathan Edwards, The Religious Affections|We should get into the way of appearing lively in religion, more by being lively in the service of God and our generation than by the liveliness and forwardness of our tongues, and making a business of proclaiming on the house tops with our mouths the holy and eminent acts and exercises of our own hearts. Christians that are intimate friends would talk together of their experiences and comforts in a manner better becoming Christian humility and modesty, and more to each other's profit: their tongues not running before, but rather going behind their hands and feet, after the prudent example of the blessed apostle, 2 Cor. xii. 6. Many occasions of spiritual pride would thus be cut off, and so a great door shut against the devil. A great many of the main stumbling-blocks against experimental and powerful religion would be removed, and religion would be declared and manifested in such a way that, instead of hardening spectators, and exceedingly promoting infidelity and atheism, it would, above all things, tend to convince men that there is a reality in religion, and greatly awaken them, and win them, by convincing their consciences of the importance and excellency of religion. Thus the light of professors would so shine before men, that others, seeing their good works, would glorify their Father which is in heaven.
Wilkie Collins, No Name|Nothing in this world is hidden forever. The gold which has lain for centuries unsuspected in the ground, reveals itself one day on the surface. Sand turns traitor, and betrays the footstep that has passed over it; water gives back to the tell-tale surface the body that has been drowned. Fire itself leaves the confession, in ashes, of the substance consumed in it. Hate breaks its prison-secrecy in the thoughts, through the doorway of the eyes; and Love finds the Judas who betrays it by a kiss. Look where we will, the inevitable law of revelation is one of the laws of nature: the lasting preservation of a secret is a miracle which the world has never yet seen.
Maureen Klovers|They can't give you all that, Mr Jimson,' said Walter, who was upset. 'It wouldn't be right. What would they give you seven years for?''Being Gulley Jimson,' I said, 'and getting away with it.
Michael Ondaatje, The English Patient|She entered the story knowing she would emerge from it feeling she had been immersed in the lives of others, in plots that stretched back twenty years, her body full of sentences and moments, as if awaking from sleep with a heaviness caused by unremembered dreams.
Jean de la Bruyere|Your chances of success are directly proportional to the degree of pleasure you desire from what you do. If you are in a job you hate, face the fact squarely and get out.
Thomas Kinkade|Walt put everything he knew about communication with images into the park, so it was very familiar.
Thomas Pynchon, Against the Day|Laboring through a world every day more stultified, which expected salvation in codes and governments, ever more willing to settle for suburban narratives and diminished payoffs--what were the chances of finding anyone else seeking to transcend that, and not even particularly aware of it?
Steve Sabol|If the doors of perception were cleansed everything would appear to man as it is, infinite.
John C. Eccles, The Wonder of Being Human: Our Brain and Our Mind|We regard promissory materialism as superstition without a rational foundation. The more we discover about the brain, the more clearly do we distinguish between the brain events and the mental phenomena, and the more wonderful do both the brain events and the mental phenomena become. Promissory materialism is simply a religious belief held by dogmatic materialists . . . who often confuse their religion with their science.
Marie Lu, The Midnight Star|After a lifetime of darkness, I want to leave something behind that is made of light.
Edith Wharton, Ethan Frome and Other Short Fiction|There are lots of ways of being miserable, but there’s only one way of being comfortable, and that is to stop running round after happiness. If you make up your mind not to be happy there’s no reason why you shouldn’t have a fairly good time.
moolesh.k.dindoyal|She'd never tolerated deception regarding her strong opinions--that much was true. But wasn't it also true that when it came to trying to please in matters that weren't crucial to her, that didn't compromise her sense of things, she had been dishonest?
C.J. Box|In spring, 1937, of course, families still rode the rails because of the Depression, which everyone said was already in the history books as the worst ever. The jobs still couldn’t be found, at least for most people. Everett itself—the smaller, poorer, little brother lying north of Seattle—ached with the unemployed and the hopeless. The labor union tensions in the woods still festered and got bloody at times. But Skybillings—and the railroad logging shows of the Cascade Mountains—felt like they were, inch-by-inch, rebuilding America.
Janvier Chouteu-Chando, Disciples of Fortune|Home is supposed to be a place of security, the last resort of refuge.
Henry Rollins|Today, we have private airline companies, but if you take a look at a Boeing plane next time you travel, you'll see that you are basically taking a ride on a modified bomber.
Andy Rooney|Did you ever hear one of those corny, positive messages on someone's answering machine? 'Hi, it's a great day and I'm out enjoying it right now. I hope you are too. The thought for the day is share the love. Beep.' 'Uh, yeah, this is the VD clinic… speaking of being positive, your test is back. Stop sharing the love.
Kris Kidd, I Can't Feel My Face|See, that’s the thing about L.A.— When you’ve mastered the art of feeling lonely in a room full of people, that’s when you know.
Patricia Briggs, Cry Wolf|It's not a real name," she says. "Not one that he's carried with him always. It's one he wears like his hat. So he can take it off if he wants.
J.C. Watts Jr.|Character is doing the right thing when nobody’s looking. There are too many people who think that the only thing that’s right is to get by,and the only thing that’s wrong is to get caught.
Patience Johnson, Why Does an Orderly God Allow Disorder|Lord, I know that where I am right now, isn’t where You’re taking me. Give me glimpses of Your vision for my future, so that my understanding may grow in accordance with Your timing. Give me patience along the way and faith to trust that You’re always working for my good. Amen.
Winston S. Churchill|You knew? How the hell did you know?" he demanded,wondering which bastard in his family had ratted his assout."It wasn't too hard to figure out, Trevor," she murmured, looking totally enthralled with what she was doing."What the hell does that mean?" He'd been careful, very careful. He'd neverread anything in front of her, neverwrote anything more than his name or a word or two in her presence. There wasno way she could have found out withoutone of his interfering relatives clueing her in."Who the hell told you?" Zoe rolled her eyes even as she leaned over to press a quick kiss on his lips, which made him slightly happy, but not enough to forget that he needed to kill one of his relatives."You never read anything around me. Youthink you tricked me into reading for you. Then there was the time we ran out of condoms and you flipped out because you thought there was supposed to be 42 condoms in the box of 24.""Would it have killed them to put a few extra condoms in the box so that you could have seen to my needs?" he asked, remembering that damn night and trying not to wince. Okay, so maybe he gave himself away...just a little.
Stephen King, 11/22/63|So who is cruel? You, cruel reader, you are.
Sunday Adelaja, The Mountain of Ignorance|When you want to become great, you have to know what to do, I mean you must first determine what you were born to do.
R. Kelly|As opposed to trying to make a kiss look romantic or sweet or passionate, it's kind of fun to just have the freedom to make it look weird, goofy and awkward.
Auliq-Ice|Never plan to make this world your permanent abode, for it is temporal for all, rather permanent your ideas & purpose here.
Joann I. Martin Sowles, Tainted Blood|Mrs. Weslin was one of those women who had clearly had some work done. That or she had sold her soul to the devil and although that was probably a possibility, I was pretty sure none of the Weslins had souls to sell.
Nick Harkaway, Angelmaker|Mother! Believe me, this word is more sacred than the name of Lord Ram.
A.R. Braun, Only Women in Hell|Amanda choked on a sob. She looked like she didn’t know what to do. For the first time, Stacey realized this woman was a human being, and sometimes she felt lost.
Katherine Paterson, The Flint Heart|Jules could have sworn there was a devilish glint in the shopkeepers eye. 'I find today I am in need of a bonnet.'Mr. Postlethwaite was silent. And then his eyes crept toward the marquess's hairline.'It will be a gift for a woman, Mr. Postlethwaite.''Of course, sir.' The marquess wished the 'of course' sounded a bit more sincere. He'd scarcely been in the shop for more than three minutes and already his dignity was fraying.
Arundhati Roy, The God of Small Things|She discovered that underneath the aspect of the Rumpled Porcupine, a tortured Marxist was at war with an impossible, incurable Romantic - who forgot the candles, who broke the wine glasses, who forgot the ring. Who made love to her with a passion that took her breath away. She had always thought of herself as a somewhat uninteresting, thick-waisted, thick ankled girl. Not bad-looking. Not special. But when she was with Chacko, old limits were pushed back. Horizons expanded.She had never before met a man who spoke of the workd - of what it was, and how it came to be, or what he thought would become of it - in the way in which other men she knew discussed their jobs, their friends or their weekends at the beach.Being with Chacko made Margaret Kochamma feel as though her soul had escaped from the narrow confines of her island country, into the vast extravagant spaces of his. He made her feel as though the world belonged to them - as though it lay before thm like an opened frog on a dissecting table, begging to be examined.
Kate Milford, Shadowhunters and Downworlders: A Mortal Instruments Reader|There are more hidden spaces in a city, more hidden lives and hidden emptinesses, and more darkened windows where shadow people pass fleetingly in and out of sight.
Richie Norton|If only employees knew this...there is no hand out just because you got a degree. You still gotta make $ for the biz (employer), if you choose not to make $ for yourself (freelancer / ent).
Gian Kumar|His teachings, said his disciple Musaeus, had one simple theme: 'Everything comes into being from the One and is resolved into the One again.
ktr0x|Thinking is easy, acting difficult, and to put one's thoughts into actions the most difficult thing in the world.
Sarah Anne Shockley, The Pain Companion: Practical Tools for Living With & Moving Beyond Chronic Pain|Healing severe or chronic pain, I believe, includes transforming our relationship to the pain, and, ultimately, it is about transforming our relationship to who we are and to life.
Lama Thubten Yeshe, Becoming Vajrasattva|Buddha once saw a jackal, a wild dog, run out of the forest where he was staying. It stood still for a while, then it ran into the underbrush, and then out again. Then it ran into a tree hollow, then out again. Then it went into a cave, only to run out again. One minute it stood, the next it ran, then it lay down, then it jumped up. The jackal had the mange. When it stood, the mange would eat into its skin, so it would run. Running, it was still uncomfortable, so it would stop. Standing, it was still uncomfortable, so it would lie down. Then it would jump up again, running to the underbrush, the tree hollow, never staying still. The Buddha said, “Monks, did you see that jackal this afternoon? Standing, it suffered. Running, it suffered. Sitting, it suffered. Lying down, it suffered. It blamed standing for its discomfort. It blamed sitting. It blamed running and lying down. It blamed the tree, the underbrush, and the cave. In fact, the problem was with none of those things. The problem was with his mange.” We are just the same as that jackal. Our discontent is due to wrong view. Because we don’t exercise sense restraint, we blame our suffering on externals. Whether we live in Thailand, America or England, we aren’t satisfied. Why not? Because we still have wrong view. Just that! So wherever we go, we aren’t content. But just as that jackal would be content wherever it went as soon as its mange was cured, so would we be content wherever we went once we rid ourselves of wrong view.
Erma Bombeck|There is a thin line that separates laughter and pain, comedy and tragedy, humor and hurt.
Paulo Coelho, By the River Piedra I Sat Down and Wept|A person who goes in search of God is wasting his time. He can walk a thousand roads and join many religions and sects–but he'll never find God that way. God is here, right now, at our side. We can see Him in this mist, in the ground we're walking on, even in my shoes. His angels keep watch while we sleep and help us in our work. In order to find God, you have only to look around. But meeting Him is not easy. The more God asks us to participate in Hismysteries, the more disoriented we become, because He asks us constantly tofollow our dreams and our hearts. And that's difficult to do when we're used to living in a different way. Finally we discover, to our surprise, that God wants us to be happy, because He is the father.
Joshua Foer|My two daughters live on Facebook, and social media is their mode of communication.
Sharon Biggs Waller, A Mad, Wicked Folly|This is why we all fight so hard. Not just for the vote, but for an equal opportunity in the world.
William Shakespeare, Hamlet|It was uncanny. You press a button and a man drops dead a hundred meters away. It seemed hollow and remote, falsifying everything. It was a trick of the lenses. The man is an accurate picture. Then he is upside down. Then he is right side up. You shoot at a series of images conveyed to you through a metal tube. The force of a death should be enormous but how can you know what kind of man you’ve killed or who was the braver and stronger if you have to peer through layers of glass that deliver the image but obscure the meaning of the act? War has a conscience or it’s ordinary murder.
Prince|Art is the fatal net which catches these strange moments on the wing like mysterious butterflies, fleeing the innocence and distraction of common men.
John Maynard Keynes|Every high school and college graduate in America should, I think, have some familiarity with statistics, economics and a foreign language such as Spanish. Religion may not be as indispensable, but the humanities should be a part of our repertory. They may not enrich our wallets, but they do enrich our lives. They civilize us. They provide context.
B. Barmanbek, Culpa Innata|She was afraid of not being able to pull herself out of the dream world, never waking up, never knowing what really happened, never realizing her goals, her hopes, her dreams.
Helen R. Hull, Heat Lightning|Queer, how her own desperate need of light seemed to throw such brilliance over the affairs of the members of her family. She carried her need like a many-batteried pocket spotlight, illuminating emotional corners in other people, but she walked in darkness behind it. Her wrist wouldn't bend to turn it on herself.
P.D. Ouspensky, A New Model of the Universe|Idealism, though just in its premises, and often daring and honest in their application, is stultified by the exclusive intellectualism of its own methods: by its fatal trust in the squirrel-work of the industrious brain instead of the piercing vision of the desirous heart. It interests man, but does not involve him in its processes: does not catch him up to the new and more real life which it describes. Hence the thing that matters, the living thing, has somehow escaped it; and its observations bear the same relation to reality as the art of the anatomist does to the mystery of birth.
Rob Liano|If we all desire love and acceptance, shouldn't we love and accept all others?
Kay Redfield Jamison, An Unquiet Mind: A Memoir of Moods and Madness|Somehow, like so many people who get depressed, we felt our depressions were more complicated and existentially based than they actually were.
Maddy Malhotra, How to Build Self-Esteem and Be Confident: Overcome Fears, Break Habits, Be Successful and Happy|Don't be enslaved by your negative thoughts. It's your mind, so take control of it - now!
Natalie Crown, The Wolf's Cry|Kammy could see the palace built into the cliff face. It was a majestic construction. Its white walls stretched up into a cluster of turrets and towers. Its façade was broken by gigantic windows that reflected a rainbow of colours. The palace was flanked by two waterfalls that filled the chasm running far below them; a chasm that was bridged by a staircase of monstrous size. But Kammy hardly noticed how far she would fall should her grip fail. The giant structure that speared out of the palace and up into the sky commanded all of her attention. It burned her eyes so she could hardly look at it, but at the same time she could not look away. It looked like a white diamond. Each of its countless edges sent off shards of brilliant light. It dwarfed anything that Kammy had ever known and she had never felt as alive as she did in that moment.
Lorraine Heath, Always to Remember|Hudson looks at me, waiting for what I was trying to say, but no matter how many times I try, the words won’t come. My chest contracts, and panic knocks my thoughts into disarray faster than a tornado.For years, I was silent by choice. Now, choking and straining and silently screaming, I actually know what it’s like to be silenced.
Sarah Kay|I have seen the best of you, and the worst of you, and I choose both.
