Sunday Adelaja, The Mountain of Ignorance|When we begin to shine, the darkness of ignorance will disappear from our society.
Steven Magee|The worst thing about pills was that they worked. Without them, you might just adapt; medical optimism suspended you in a maintenance reality. He'd never known how sick he was until he'd gotten health insurance. The pill that really wanted inventing was the bitter one that cured you of optimism and made time go faster.
Henry Beston, The Outermost House: A Year of Life On The Great Beach of Cape Cod|And what of Nature itself, you say – that callous and cruel engine, red in tooth and fang? Well, it is not so much of an engine as you think. As for "red in tooth and fang," whenever I hear the phrase or its intellectual echoes I know that some passer-by has been getting life from books.
Simon Kuznets|Every time there's a new tool, whether it's Internet or cell phones or anything else, all these things can be used for good or evil. Technology is neutral; it depends on how it's used.
Jeff Beck|My first wife said, 'It's either thatguitar or me,' you know -- and I giveyou three guesses which one went.
Israelmore Ayivor, The Great Hand Book of Quotes|Among the many factors that differentiate successful people from consistent failures one is paramount; when failures were sleeping, successful people where thinking!
Carol Lynch Williams, Waiting|Do you believe in Jesus?Jesse looks at me so brown-eyed it hurts.He nods."I do," he says.I sit up."I think you look like him.
Deyth Banger|That you rescued few peoples lifes or somebody's life. Doesn't mean that they we return this back!They could decide to kill you..., who knows? (Person Of Interest)
Susan Barbara Apollon, Touched by the Extraordinary|There is no rule that is true under all circumstances, for this is the real and not a statistical world. Because the statistical method shows only the average aspects, it creates an artificial and predominantly conceptual picture of reality.
N.D. Jones, Of Fear and Faith|I've never seen anyone as beautiful as you, sweetheart. All supple and voluptuous, a mountain of curves I can't wait to climb.
Maurice Blondel|The relationship between truth and reason:"Truth cannot be reached by reason alone!
Tom Gething from "Sabotage"|After the great Impressionists, and again after Van Gogh and Gaugin, people said, 'Painting is now played out.' But Bonnard, Maurice Denis, Roussel and Vuillard appeared and gave them the lie. 'We were wrong,' said the croakers, 'but this at any rate is the end.' Yet to refute them, and to prove that there is no end to art, still another generation of painters sprang up.
John Predmore|Eventually you will find yourself preferring to say, 'Prayer happened, and I was there" more than "I prayed today". All you know is that you are being led, being guided, being loved, being used, being prayed through -- and you are no longer in the drivers seat.
Doug   Cooper, Outside In|I am two people. One goes through the motions, rolling from one thing to the next; the other is withdrawn, watching a complete stranger.
Mark F. LaMoure|Never stop growing. The world's tallest redwood trees were all once little nuts, that kept growing regardless of weather, trials or tribulations.
Alberto Moravia, Contempt|They say that, if we manage to live without too great an effort, it is entirely owing to the automatism which makes us unconscious of a great part of our movements. In order to take one single step, it seems, we displace an infinite number of muscles, and yet, thanks to this automatism, we are unaware of it. The same thing happens in our relations with other people.
Christopher Bollen, Orient|He tried to imagine the handsome couple by the refrigerator as two sweaty bodies in a bedroom, one on top of the other. Which did what to the other? Mills kept rotating the two men in his mind, which he never had to do when he imagined straight couples having sex.
Teddy Thompson|In film, you can have sad endings.
Tanya R. Liverman|Know that true change is demonstrated only by your actions around everyone, not just certain people.
Julie James, Just the Sexiest Man Alive|I'm a big believer in first impressions," he finally said. "Tell me what your first thought was when Jason walked into the courtroom."Taylor took a sip of her drink and grinned. This one was easy. "I vowed to hate him forever."Jeremy's brown eyes twinkled at this. "That's exactly what I said nineteen years ago, five minutes after he first walked into our dorm room.
Carla H. Krueger|Allen Ginsberg instructs: "First thought, best thought." Oh, to have my every spontaneous thought count as poetry! No draft after draft like a draft 
skint foodie|In my opinion, if there is one extremely legitimate use for petroleum besides running wood chippers and front-end loaders to handle compost, it's making plastic for season extension. It parks many of the trucks [for cross-country produce transportation]. With the trucks parked, greenhouses, tall tunnels, and more seasonal, localized eating, can we feed ourselves? We still have to answer that burning question.
Tony Fadell|There's something scary, knowing that in Florida, someone can pick you up in a car and drive you to 50 states. Back home, it's like, 'Girl, you're 15 minutes away.'
Goldie Hawn|When a man has lost all happiness, he's not alive. Call him a breathing corpse.
Hans Lindor|Nothing in this world is guaranteed, as life itself is a gamble.
Claire Cook, Must Love Dogs: New Leash on Life|Girlfriends aren’t allowed to care if you have Stilton socks. Friends are.” All the same, she gave her hands a quick, professional shake and took hold of my foot. “Plus, you might be less of a pain in the arse if you got more action.
Ursula K. Le Guin, The Birthday of the World and Other Stories|They hate you.""Why?""Cause you're a dick, Mitch.
Kate White, I Shouldn't Be Telling You This: Success Secrets Every Gutsy Girl Should Know|Working for OSHA is a horrible job to have. You have to ignore the whistle blowers and send them illegal letters saying that you cannot find any problems. I have a lot of those fraudulent letters, as I have been through OSHA twice. Once as the utility company employee and once as the utility company subcontractor employee. It is a disgusting & blatently corrupt system.
Aporva Kala, Alchemist of the East|And what is that thing which you promise to provide?- 'The beauty of the soul and the simplicity of happiness', he replied.
Ray Bradbury, The Illustrated Man|It was summer and moonlight and we had lemonade to drink, and we held the cold glasses in our hands, and Dad read the stereo-newspapers inserted into the special hat you put on your head and which turned the microscopic page in front of the magnifying lens if you blinked three times in succession.
Melanie Marchande, I Married a Billionaire|In fact,' said Poirot, 'she stabbed him in the dark, not realising that he was dead already, but somehow deduced that he had a watch in his pyjama pocket, took it out, put back the hands blindly and gave it the requisite dent.
Marianne Moore, Complete Poems|You are not male or female, but a plandeep-set within the heart of man.
Pete Sortwell, The Village Idiot Reviews|A sturdy hold, but I think there's something up with the material.
Santino Hassell, The Interludes|The pleasure of sin is soon gone, but the sting remains.
Richard Dawkins|Never underestimate the intelligence of the audience; make good programmes, and they will come.
Thomas Mann, The Magic Mountain|And life? Life itself? Was it perhaps only an infection, a sickening of matter? Was that which one might call the original procreation of matter only a disease, a growth produced by morbid stimulation of the immaterial? The first step toward evil, toward desire and death, was taken precisely then, when there took place that first increase in the density of the spiritual, that pathologically luxuriant morbid growth, produced by the irritant of some unknown infiltration; this, in part pleasurable, in part a motion of self-defense, was the primeval stage of matter, the transition from the insubstantial to the substance. This was the Fall.
Leslie T. Chang|Life is about means not ends. There is no utopia to be gained, there is no end-state that is static and eternal, once accomplished. This was one of the great lies of communism. Likewise, capitalism offers the great deception that thanks to its machinations everyone will be richer in the future, thus justifying gross inequality and humiliation today.
Alessandro Nivola|I don't want to fight aging; I want to take good care of myself, but plastic surgery and all that? I'm not interested.
Bret Hart|I read that Monica Seles got stabbed. And although I have nothing against Monica Seles, I'm glad somebody in sports got stabbed. I like the idea of it; it's good entertainment. If we're lucky, it'll spread through sports. And show business, too! Wouldn't you like to see a guy jump up on stage and stab some famous singer? Especially a real shitty pop singer? Maybe they'll even start stabbing comedians. Fuck it, I'm ready! I never perform without my can of mace. I have a switchblade knife, too. I'll cut your eye out and go right on telling jokes.
Poppy Delevingne|The first series I wrote, 'L.A. Candy,' was always meant to be a three-book series, so when I started out it was all outlined that way and by the time I was done with the third book, I had become so involved and the process and the stories, I was a little bit sad to be done.
Gabriel García Márquez, Love in the Time of Cholera|In the seven years or so that had passed since I had last seen him, Sir Magnus Donners had grown not so much older in appearance, as less like a human being.
J. Leigh Bralick, A Dark So Deep|All I’m trying to say is, be kind to yourself. This one life is all we’ve got, and we all make mistakes along the way. Do things we oughtn’t, fail to do those we should. See those moments for what they were. Learn from them what you can. And then stand up a little taller and keep marching forward. In the end it’s how we keep going that matters. The world won’t remember our falls unless we never pick ourselves up.
Rick Riordan, The Battle of the Labyrinth|I can smell blood, Elena,” Dmitri drawled, walking back into the room. “Are you trying to flirt?
Woody Allen, Side Effects|When you have something good to say, say it. When you have something ill to say, say something else.
Ursula K. Le Guin|Bolivian women sewed their lips shut for days. They threaded needles through their skin to stop their speech, to show what good speaking had done them.
Andie MacDowell|It's amazing, the culture Coach Belichick has been able to create in our system.
Lois Lowry|Stories are compasses and architecture, we navigate by them, we build our sanctuaries and our prisons out of them, and to be without a story is to be lost in the vastness of a world that spreads in all directions like arctic tundra or sea ice.
Czesław Miłosz|To walk quietly until the miracle in everything speaks is poetry, whether we write it down or not.
Maika Monroe|The most amazing set where I've shot 'Game of Thrones' is definitely Croatia, in Dubrovnik. It's such a stunning country with lots of good watersports there as well. Just a beautiful, beautiful place.
Amin Maalouf, Orígenes|Our ancestors derived less from life than we do, but they also expected much less and were less intent on controlling the future. We are of the arrogant generations who believe a lasting happiness was promised to us at birth. Promised? By whom?
Tammy Blackwell, Fate Succumbs|Turner let his face fell into his hands. "I'm never going to touch her again", he moaned. "He's never going to touch me again!" they heard Miranda roar."Well,it doesn't look like you'll have much argument from your wife on that point", Olivia chirped.
Suzanne Woods Fisher, The Letters|Because thoughts are energy, energy is matter, and matter never disappears...
jihad eltabey|Everyone know—or at least, was probably told as a child—that you can make a wish on a shooting star. Not everyone knows that the only way to be sure it will come ture is to speak it aloud before the star disappears, and this is a nearly imposssible fet to manage.
Cornell Woolrich, Night and Fear: A Centenary Collection of Stories by Cornell Woolrich|The salesgirl, the landlord, the guests, the bystanders, sixteen varieties of social circumstance in a day. Everyone has the power to call your whole life into question here. Too many people have access to your state of mind. Some people are indifferent to dislike, even relish it. Hardly anyone I know.
Garth Brooks|The funny thing about directing is that you have your own opinions, but it's a collaboration. Directing is a group effort. Even though you might think something works, the smartest thing you can do as a director is try and weigh the opinions of the people around you.
Chris     Murray, The Extremely Successful Salesman's Club|Sceptics are persuaded by a good reputation, for it is an unspoken statement of proof.
Ralph Waldo Emerson, Divinity School Address|Let each man hear his own music and live by it. The drums roll one way for one man, and another way for another. You have to listen for your own.
Andrew Ashling, The Invisible Hands - Part 2: Castling|London was so rich, and also so green, and somehow so detailed: full of stuff that had been made, and bought, and placed, and groomed, and shaped, and washed clean, and put on display as if the whole city was for sale.
Oswald Chambers|If they do it often, it isn’t a mistake; it’s just their behavior.
E. Nesbit|This shows you that even mistakes are sometimes valuable, so do not be hard on grown-up people if they are wrong sometimes.
Pauline Seaport|Faith is believing beyond the power of reason, when they're all against you. To one who has faith, no explanation is possible. To one without faith, evidence is necessary.
Daniel Jones, Shadow Gods|Getting closer to the truth is the result of hard work. Truth-seeking means analyzing presuppositions and propositions. It means criticizing evidence as harshly as possible, scouring it from all angles to see how it stands up. We must scrutinize each claim on the table, using each tool available to determine if our acceptance of these claims is justified or not, then forcing ourselves to truly follow the responsible conclusions. If this kind of commitment to truth-seeking is sincere, and if the rules of reasonableness are adhered to, there is hope of productive dialogue between Christians and their opponents.
Dean Koontz, Forever Odd|He let his guitar swing behind him and cupped my face with his hand. "I love you, Grace Taylor." It barely came out above a whisper from his lips but it echoed throught the microphone. And then he kissed me. In front of everyone, he kissed me. A slow, deep kiss that sent heat from my lips to every other surface of my skin, and completely an utterly set me on fire.
James Hauenstein|Have no regrets in life because of the choices you make. Good or bad, they are a learning experience, to help you grow. The only regret in life, is to never make a choice at all.
Jennifer L. Armentrout, The Return|If then, Moses so distinctly announces that there is in us not only a faculty, but also a facility for keeping all commandments, why are we sweating so much? ... What need is there now of Christ or of Spirit? We have found a passage that asserts freedom of choice, but also distinctly teaches that the keeping of the commandments is easy.
Tanner Di Bella|I want to live not for selfish gain, but for selfless devotion.
Haruki Murakami, Hard-Boiled Wonderland and the End of the World|It’s all I’ve seen, all I’ve been through,” I said, “that makes it damn nearly impossible for me to say anything. I’ve lost the knack of making sense. I speak gibberish to the civilized world, and it replies in kind.
Michel Houellebecq, Whatever|One can’t prescribe books, even the best books, to people unless one knows a good deal about each individual person.
Paul Theroux|Extensive traveling induces a feeling of encapsulation, and travel, so broadening at first, contracts the mind.
Katie Reus, Sweetest Surrender|From the moment they’d met, their friendship had been leading to more…
Mohlalefi j motsima|They said" Your Anger could Destroy you.." Even if my Brain designed it to Destroy my enemy.
Kilroy J. Oldster, Dead Toad Scrolls|This is what itmeans to create: not to make something out of nothing, but to make order out of chaos. A creative scientist or historian does not makeup facts but orders facts; he sees connections between them rather than seeing them as random data. A creative writer does notmake up new words but arranges familiar words in patterns which say something fresh to us.
Hannah Barnaby, Wonder Show|She had never met Caroline's mother, but she knew a thing or two about what happened when someone went far away, how after a time you couldn't see their faces anymore when you closed your eyes or hear exactly how they laughed at a joke, how they seemed less like a real person whom you loved and more like a character in a story. And once that happened, it was easy, too easy, to let them float away like milkweed.
Darrell Calkins, Re:|Besides having been identified recently as the single most important factor in what men find sexy in women, the list of how correct posture influences internal organs and systems, and also mood and general energy, is very long indeed. Your internal environment depends on the efficiency of the flow of elements within it. Obviously, this includes oxygen, blood, hormones and nutrients, but also all interaction between nerves and the brain. The spine, which is your foundation and support, has a natural position that guarantees the efficiency of movement and interaction of the related elements. Your internal organs are all right alongside the spine and depend on its correct position to function well. Any prolonged restriction or deviation from this natural position will result in some, at least partial, dysfunction. Over a long time, the results can be devastating.
Kasie West, Split Second|Look at me, making one of your dreams come true. You and your Norm truck driving around Normville.""You're practically a god.
Ali Shaheed Muhammad|I've been looking at the iPod- the Apple iPod. One of the interesting things about the iPod, one of the things that people love most about it is not the technology; it's the box it comes in.
Tara Brach|Israeli occupation exposes us very young to the extremes of our emotions, until we cannot feel except in the extreme.
Stephen Richards, The Pain You Feel Today Is The Strength You Feel Tomorrow|When you forgive, it does not mean that you have submitted, it simply means that you have made a choice to stop bearing any grudge.
Lailah Gifty Akita|No matter what, if you have the strength of life, it is enough to be thankful.
Wendell Berry, The Art of the Commonplace: The Agrarian Essays|First there wasn't, then there was. Before God no one was.
Matshona Dhliwayo|Smile, even when others do not.Care, even when others will not.Love, even when others could not.Give, even when others cannot.
Dean Koontz, Life Expectancy|Kid, don't miss an opportunity to laugh, because laughter is what makes the boot heels of life palatable.
William Blake|By taking the time to stop and appreciate who you are and what you've achieved - and perhaps learned through a few mistakes, stumbles and losses - you actually can enhance everything about you. Self-acknowledgment and appreciation are what give you the insights and awareness to move forward toward higher goals and accomplishments.
Juan Marsé, Golden Girl|I can see that you’re down in the dumps, Unc. Shall we stop working and call Toni?”“And then what?”“I don’t know. But if it so happens that I’m more of your type . . . Would you like me to give you a blow job? That really does the trick when you’re feeling depressed.
Sania Mirza|I think it's really cool, but Jimmy Eat World and Gin Blossoms did it better than anyone. People don't realize just how awesome the Arizona history is, especially for alternative music. Growing up, that's all I ever wanted to be was those two bands.
Sorin Cerin, Wisdom Collection: The Book of Wisdom|We hope that we will live only because we must be with God, as alive as He is.
Sarah Beth Durst, Drink, Slay, Love|Americans invented adolescence. It is not a natural phenomenon. Adolescence is a social construct, created by an urban-industrial society that keeps its young at home far past puberty. Teenage angst is a luxury if a successful modern human conceit that isn't condoned by our superior species.
Esther Williams|The studios gotta start making more stuff where black folks get quality stuff. But I can't trip about that because I've been making movies for 35 years, and I've played everything from an old lady to a donkey, so I can't be on here talking about, 'They don't give us enough roles' and diversity.
Juli Zeh, Spieltrieb|Kein Philosoph würde ein dickes Buch schreiben, wenn er im Vornherein wüsste, auf welche Weise er später zitiert werden wird.
Anon.|Don't cling to a mistake, just because you spent so much time making it.
Seja Majeed, The Forgotten Tale of Larsa|Live for what you love, and die for what you're unwilling to live without...
James Kavanaugh|What is life if not laughter and love, caring and compassion, fresh bread and crisp radishes?
River Phoenix|There are new words now that excuse everybody. Give me the good old days of heroes and villains, the people you can bravo or hiss. There was a truth to them that all the slick credulity of today cannot touch.
Paul David Tripp|We all look for strategies or techniques that will free us from the pain of relationships and the hard work good relationships demand. We hope that better planning, more effective communication, clear role definitions, conflict resolution strategies, gender studies, and personality typing--to name just a few -- will make the difference. There may be value in these things, but if they were all we needed, Jesus' life, death, and resurrection would be unnecessary or, at best, redundant. Skills and techniques appeal to us because they promise that relational problems can be fixed by tweaking our behavior without altering the bent of our hearts. But the Bible says something very different. It says that Christ is the only real hope for relationships because only he can dig deep enough to address the core motivations and desires of our hearts.Most dangerous aspect of your relationships is not your weakness, but your delusions of strength. Self-reliance is almost always a component of a bad relationship.
Jodi Picoult|A daughter,' Rowley scooped up the child and held her high. The baby blinked from sleep and crowed with him. 'Any fool can have a son,' he said. 'It takes a man to conceive a daughter.
Gina Greenlee, Postcards and Pearls: Life Lessons from Solo Moments on the Road|If companionship is a mandate for all of our experiences, then we will miss out on many of life’s blessings.
Jillian Michaels|Californians are blessed with the remarkable leadership of Gov. Jerry Brown, who... has led our state to firm fiscal footing and brought us to the enviable position of dreaming - and achieving - big dreams again.
Charlotte Brontë, Jane Eyre|Flirting is a woman’s trade, one must keep in practice.
David Baldacci, The Whole Truth|It would actually constitute more than a miracle, he realised. It would take divine intervention plus luck, plus some unknown element of cosmic wizardry.
Emma Forrest, Your Voice in My Head|It is madness. And if you don't know who you are, or if your real self has drifted away from you with the undertow, madness at least gives you an identity. It's the same with self-loathing. You're probably just normal and normal-looking but that's not a real identity, not the way ugliness is. Normality, just accepting that you're probably normal-looking, lacks the force field of self-disgust. If you don't know who you are, madness gives you something to believe in.
Winston Churchill|The only difference between the saint and the sinner is that every saint has a past, and every sinner has a future.
Hayley Mills|Somebody informed me recently that the key to every art, from writing to gardening to sculpture, is creativity. I beg to differ.
James Lafferty|I started dating older men, and I would fall in love with them. I thought they could teach me about life.
Janet Jackson|There's a lot of wisdom that my dad and my grandparents and my uncle have been able to impart on me, and what I've treasured the most is I've seen examples in my life of people embracing their creativity, not feeling insecure about their artistic inclinations.
Oliver Wendell Holmes, Sr.|Good communication is just as stimulating as black coffee, and just as hard to sleep after.
Raymond Chandler, The Lady in the Lake|In the corrupted currents of this worldOffence's gilded hand may shove by justice,And oft 'tis seen the wicked prize itselfBuys out the law. . . (Claudius, from Hamlet, Act 3, scene 3)
Alice Walker, The Color Purple|Time moves slowly, but passes quickly.
Nolan Bushnell|Leadership is the other side of the coin of loneliness, and he who is a leader must always act alone. And acting alone, accept everything alone.
Knut Hamsun|The poet must always, in every instance, have the vibrant word... that by it's trenchancy can so wound my soul that it whimpers.... One must know and recognize not merely the direct but the secret power of the word; one must be able to give one's writing unexpected effects. It must have a hectic, anguished vehemence, so that it rushes past like a gust of air, and it must have a latent, roistering tenderness so that it creeps and steals one's mind; it must be able to ring out like a sea-shanty in a tremendous hour, in the time of the tempest, and it must be able to sigh like one who, in tearful mood, sobs in his inmost heart.
Thich Nhat Hanh, Peace Is Every Step: The Path of Mindfulness in Everyday Life|Mindfulness helps us see the addictive aspect of self-criticism— a repetitive cycle of flaying ourselves again and again, feeling the pain anew.
Anthony Doerr, All the Light We Cannot See|Stick-thin, alabaster-pale Etienne LeBlanc runs down the rue de Dinan with Madame Ruelle, the baker’s wife, on his heels: the least-robust rescue ever assembled.
Bmmite|With consistent determination, commitment , persistent, handwork, and faith in God we can make our dreams come true.
Carol Anshaw|Jordana is in the umpire's highchair.I walk under the rugby posts and on to the tennis courts, stopping a few metres in front of her, in the service box.Her legs are crossed.I wait for her to speak.'I have two special skills,' she says.She pulls a sheaf of papers from under her bum. I recognize the font and the text boxes. It's my pamphlet.'Blackmail,' she says.She holds up her Zippo in the other hand. I can tell that she has been practising this.'And pyromania.'I am impressed that Jordana knows this word.'Right,' I say.'I'm going to blackmail you, Ol.'I feel powerless. She is in a throne.'Okay,' I say.
Ann Aguirre, The Queen of Bright and Shiny Things|You're not horrible, Kelsey. You are vibrant and beautiful, and you burn. Burn so vividly. Fires can damage, but they're also beautiful and vital and they can purify and give the chance for a fresh start. You're not horrible. Not at all.
Alan  Garner, Conversationally Speaking: Tested New Ways to Increase Your Personal and Social Effectiveness|Everybody thinks some people are born with the "gift of gab" and some people aren't. But the truth is there is no "gift of gab." People who are good at conversation just know a few simple skills that anyone can learn.
Anna White, Mended: Thoughts on Life, Love, and Leaps of Faith|I want to share my story, and I want to know yours. I believe with all my heart that sharing our stories, the real, ugly, broken ones, is one of the most powerful things in the world, because to share our story we must first accept it. We must own it. We must stop running from it or shoving it into the corner when company comes over. To share our story is to admit that we've been changed.
Stefan Molyneux|Most people, if philosophy touches them, they shatter, they atomize, they turn to dust. It is win/lose between philosophy and delusion, and most people are almost entirely composed of delusion. They're only allowed as much reality as serves the masters. But they're not allowed any reality which disturbs their masters...
Eric Samuel Timm, Static Jedi: The Art of Hearing God Through the Noise|Guess what, Jesus loves to walk with us. He loves to be with us all the time—not just in the scheduled time or in the leftovers. The only change He wants is our hearts.Let’s change by rearranging the change.
David Foster Wallace|I guess a bit part of serious fiction’s purpose is to give the reader, who like all of us is sort of marooned in her own skull, to give her imaginative access to other selves.
Billy Graham, Billy Graham in Quotes|I must ask myself, “Billy Graham, are you prepared to meet the Master at any moment?” Yes, I am—but not because I have preached or tried to help people, but solely because I am trusting Christ as my Lord and Savior. Stop right now and ask yourself that question.
Ronan Farrow|Once you lose the honesty in a relationship, I mean, I think you don't have a relationship at all.
Extract from Chief Seattle.|I felt deep within me that the highest point a man can attain is not Knowledge, or Virtue, or Goodness, or Victory, but something even greater, more heroic and more despairing: Sacred Awe!” - The Narrator.
Christopher Moore, A Dirty Job|So I am death" Charlie said then turned to his daughter while buttering his toast."This is death toast sweety.
Lewis Black|There are instances where you're in a space with someone who has been extraordinarily successful, and they don't necessarily connect with you as another person. You can be a prop for them to deliver their stuff, and you're just another element in the scene.
Eckhart Tolle|I understood that people are trying to transform themselves all the time: the universal urge to be otherwise. So as not to look as they look, sound as they sound, be treated as they are treated, suffer in the ways they suffer, etc., etc., they change hairdos, tailors, spouses, accents, friends, they change their addresses, their noses, their wallpaper, even their forms of government, all to be more like themselves or less like themselves, or more like or less like that exemplary prototype whose image is theirs to emulate or to repudiate obsessively for life.
Alexandria Marzano-Lesnevich, The Fact of a Body: A Murder and a Memoir|dragonflies circled me, the sun knifing off the brilliant blues and yellows of their bodies.
Frederick Charles Copleston, A History of Philosophy, Vol 1.1 Greece and Rome|Plato's proposals in this matter are abhorrent to all true Christians. His intentions were, of course, excellent, for he desired the greatest possible improvement of the human race; but his good intentions led him to the proposal of measures which are necessarily unacceptable and repugnant to all those who adhere to Christian principles concerning the value of the human personality and the sanctity of human life. Moreover, it by no means follows that what has been found successful in the breeding of animals, will also prove successful when applied to the human race, for man has a rational soul which is not intrinsically dependent on matter but is directly created by Almighty God. Does a beautiful soul always go with a beautiful body or a good character with a strong body? Again, if such measures were successful — and what does "successful" mean in this connection? — in the case of the human race, it does not follow that the Government has the right to apply such measures. Those who to-day follow, or would like to follow, in the footsteps of Plato, advocating, e.g. compulsory sterilisation of the unfit, have not, be it remembered, Plato's excuse, that he lied at a period anterior to the presentation of the Christian ideals and principles. — 230
Stephen King, The Green Mile|This shit about being fearless before death ain't got no quality. How could you say you were fearless about leaving the party, even in stir—even franks and rice taste good when you're hungry, even an iron bar feels good to touch, it feels good to sleep. It's like a party even in maximum security and who wants to walk out of a party into something that nobody knows anything at all about?
Millard Kaufman, Bowl of Cherries|Happiness, it has been observed, is best achieved by those who have been most unhappy heretofore.
Erica Bauermeister, The Lost Art of Mixing|It was interesting. Isabelle thought, the children that chose you. Some come through your body; others came in cars in the middle of the night.
Kim Harrison, Dead Witch Walking|...and on some nights in bed, in that moment before sleep erased the day, I would picture the way the sky in Lapland looked the morning I left, how the train had sped south beneath a sky that was brighter than it had been in weeks. It had pulsed with reds and oranges, as though hiding a beating heart.
Annie Dillard, An American Childhood|The interior life is often stupid. Its egoism blinds it and deafens it; its imagination spins out ignorant tales, fascinated. It fancies that the western wind blows on the Self, and leaves fall at the feet of the Self for a reason, and people are watching. A mind risks real ignorance for the sometimes paltry prize of an imagination enriched. The trick of reason is to get the imagination to seize the actual world—if only from time to time.
Walter Isaacson, Steve Jobs|If you just sit and observe, you will see how restless your mind is. If you try to calm it, it only makes it worse, but over time it does calm, and when it does, there's room to hear more subtle things - that's when your intuition starts to blossom and you start to see things more clearly and be in the present more. Your mind just slows down, and you see a tremendous expanse in the moment. You see so much more than you could see before. It's a discipline; you have to practice it.
Dalai Lama XIV, The Art of Happiness|It is the ultimate religion, through which all humans neuropsychologically morph into Buddhas, or Enlightened Beings.
Paula Poundstone|The wages of sin are death, but by the time taxes are taken out, it's just sort of a tired feeling.
Hugo Ball, Flametti, or the Dandyism of the Poor|Admirations are never paid in any way, try to make yourself of what you admire, and it will pay you with originality.
W.K. Marriott, The Prince|A wise man ought always to follow the paths beaten by great men, and to imitate those who have been supreme, so that if his ability does not equal theirs, at least it will savour of it.
Harvey Mackay|In this world of sin and sorrow there is always something to be thankful for; as for me, I rejoice that I am not a Republican.
Jim Gaffigan, Dad Is Fat|TV news is like kryptonite to children. The two major shifts in taste for children to adulthood are news and mustard. Kids hate news and mustard. Well, mustard even has the word 'turd' in it. Maybe I should threaten my kids that if they don't go to bed, I will force them to watch an hour-long newscast about mustard.
Nnedi Okorafor, Who Fears Death|I see no justice in that plan.""Who said," lashed out Isaac Penn, "that you, a man, can always perceive justice? Who said that justice is what you imagine? Can you be sure that you know it when you see it, that you will live long enough to recognize the decisive thunder of its occurrence, that it can be manifest within a generation, within ten generations, within the entire span of human existence? What you are talking about is common sense, not justice. Justice is higher and not as easy to understand -- until it presents itself in unmistakable splendor. The design of which I speak is far above our understanding. But we can sometimes feel its presence."No choreographer, no architect, engineer, or painter could plan more thoroughly and subtly. Every action and every scene has its purpose. And the less power one has, the closer he is to the great waves that sweep through all things, patiently preparing them for the approach of a future signified not by simple human equity (a child could think of that), but by luminous and surprising connections that we have not imagined, by illustrations terrifying and benevolent -- a golden age that will show not what we wish, but some bare awkward truth upon which rests everything that ever was and everything that ever will be. There is justice in the world, Peter Lake, but it cannot be had without mystery.
Ann Marston, The Western King|Bound souls. He had always thought the stories of men and women bound throughout all eternity by the strength of passion, either love or hate, were but pleasant tales for long winter’s nights. Bound souls, two sides of the same counter, together through all the lives of the souls, and forever before and afterward. But he recognized the woman just as surely as she recognized him, and he knew the tales were true.
Christina  Lee|Yesterday I fell completely off the face of the earthContemplating life, light and love in the darkness of the voidStrangely it was in the dark that I found meaning for the light
Joshua Harris, I Kissed Dating Goodbye|When God knows you're ready for the responsibility of commitment, He'll reveal the right person under the right circumstances.
David Furnish|The less effort, the faster and more powerful you will be.
Mohamed Osman Abbasheikh|Education consensus is through exchange of ideas" Mohamed Osman Abbasheikh
Mensah Oteh|your responsibility is simply to find how things work and those who are already successful then model their beliefs, behaviour, attitude, philosophies and actions and you’ll get similar results
Kerry E. Wagner, Never Let Go of My Hand|Just because you start attempting to do right, doesn’t mean people will let you forget about what you’ve done wrong…Be encouraged
Maya Deren|When an artist is asked to speak about form, you expect something different than when a critic talks about it. Because you think that somewhere between sentences and words, the secret will slip out. I am trying to give you that secret; it isn't a secret at all, but it is building solidly, not using secrets. I had been trying to extend into metaphysical extension; that film is changing, metamorphic; that is, infinite; the idea that the movement of life is totally important rather than a single life. My films were built on an incline, an increase in intensity. I hoped to make a form which was infinite, the changingness of things. I thought I would want to find a total form which conveyed that sense, particularly in reference to an Oriental subject. My impression was: one is walking down a corridor of a hotel. One hears a sound, opens a door and a man is playing; one listens for three minutes and closes the door. The music went on before you opened the door and it continues after you close the door. There was neither beginning nor end. Western music increases in intensity to a climax and then resolves itself. Oriental music is infinite; it goes on and on. The Chinese theater goes on for hours and hours with time for lunch moving scenery, etc.
Rand Paul|We live in a day that nobody's lived in before: where you can touch more people. The message I'll speak tonight and the message that I speak at home, people in India will hear. It's just an amazing day.
Margaret Mitchell, Gone with the Wind|Did it ever occur to you that I loved you as much as a man can love a woman? Loved you for years before I finally got you? During the war I'd go away and try to forget you, but I couldn't and I always had to come back. After the war I risked arrest, just to come back and find you. I cared so much I believe I would have killed Frank Kennedy if he hadn't died when he did. I loved you but I couldn't let you know it. You're so brutal to those who love you, Scarlett. You take their love and hold it over their heads like a whip.
Seamus Heaney, Station Island|The main thing is to writefor the joy of it. Cultivate a work-lustthat imagines its haven like your hands at nightdreaming the sun in the sunspot of a breast.You are fasted now, light-headed, dangerous.Take off from here.
Nilantha Ilangamuwa|Social systems are neither a consumer product that we can buy or rent from the market nor a material that we can import from another country. It is not a creation of the almighty gifted from the heavens. A social system is a creation of mankind. That is a reflection of our responsibilities. In other words, the social system is the result of our behavior and the decisions we take in our way of life.
Eduard Shevardnadze|There aren't very many good models of feminine rage - and the ones that we remember are ones where women take that anger internally and implode themselves in a real way, like Anna Karenina or Emma Bovary.
