Ashley Ormon|Forgiveness is knowing and remembering what happened, but choosing to move beyond it.
ASAP Rocky|In any team sport, the best teams have consistency and chemistry.
Rachel Caine, Ghost Town|He's not doing anything he shouldn't be doing, right?" "Like what?""Like hitting on you.""Ew. No, of course not. He doesn't see me that way." Michael shook his head and went back to his coffee."What? You think he does?""Sometimes he looks at you a little... oddly, that's all. Maybe you're right. Maybe he just wants you for your blood.""Again, Ew! What's with you this morning?""Not enough coffee.
Boris Kovalík|.if you're looking into infinity of deep night sky, you can get the deepest thoughts..
Susan C. Young, The Art of Action: 8 Ways to Initiate & Activate Forward Momentum for Positive Impact|Move beyond yourself to serve a greater purpose and vision. Learn to mix, mingle, and glow, thus helping others feel more comfortable, at ease, important, and connected.
Samuel Beckett, All That Fall and Other Plays for Radio and Screen|It is suicide to be abroad. But what it is to be at home, ... what it is to be at home? A lingering dissolution.
Tim Crawshaw, So, You Want to Be Rich... But Jesus Doesn't.|Sometimes we can't see the relevance of Jesus Christ until we become dissatisfied with the world and realise that there must be more to life than working 9 to 5, buying and accumulating expensive 'things'and being attractive to members of the opposite sex.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Love does not envy, does not boast, does not delight in evil but rejoice in truth.
Debatrayee Banerjee, A Whispering Leaf. . .|And there you stand -Far away from the distant reality,Far away in my breathing dream,Far away in the traces of my livid eyes,Far away in my hostile fantasy.
Stephen King, Needful Things|Quinns always come at half price, about half the time, and half-naked, even during the colder half of winter. A Quinn is like a queen, but draggier, and cheaper to buy and use for personal gain, unless you’re suspicious that you’re poor and illiterate like Jarod Kintz, in which case Quinns could be the spirits of your dead relatives, come to haunt you until you gather a massive fortune through selling books on the internet, to send some back in time through a portal you bought from the NSA, so they would have lived better lives without having to move a finger for their fortune. Oh, yah, and since they aren’t - they’re blue, like smurfs, yet they turn purple whenever tickled on the belly, which is something they seem to rather dislike, since they start biting and scratching when it happens, for no good reason, I might add.
Israelmore Ayivor, Leaders' Watchwords|You are what you think. Before you succeed physically, it had been done mentally. The hometown of both victory and defeat is the mind of a person.
Abhijit Naskar, Either Civilized or Phobic: A Treatise on Homosexuality|Sin, blasphemy, heresy – all these are primitive ideas created by primitive creatures, unworthy of the title “human”.
Chris Heimerdinger, Gadiantons and the Silver Sword|The liberal arts do not conduct the soul all the way to virtue, but merely set it going in that direction.
Stacey O'Neale, Under His Skin|Cam placed his hand on her shoulder. "It's not too late."	A thick lump swelled in her throat. "I acted like an idiot."	"That's not a problem," he replied in a comforting tone. "He's been acting like an idiot for weeks now.
Genereux Philip|I never believed I will be the Breadwinner in my family, But I give Lord God Almighty Thanks!
Samuel Beckett, The Unnamable|I want to feel calm and at ease. Like someone who lives in Half Moon Bay, California, and makes hummus from scratch. Instead, I feel like I'm a contestant on some awful supermarket game show where I've got sixty seconds to hurl my shopping cart down the aisles, piling it with as much as possible before the buzzer goes off.
Amie Kaufman, Their Fractured Light|We see them as they cannot, will not, see each other--we see his heart in the way he looks at her; we see her soul calling out for his every touch. It would be so easy if they could only see inside each other as we can.And yet, there is beauty in the way they find each other: slowly, in a fragile dance of sidelong glances and accidental touches. To see them come together, souls binding without knowing each other as we do, without being certain of what the other's heart holds, is to learn something new...Faith.
Cherise Sinclair, Master of the Mountain|He liked to touch, she realized. In bed, he kept his arms around her or a hand on her like now. The way he played with her breasts, or just touched her, or ran his hands over her body, made her feel so...so beautiful, Desirable.
Jalina Mhyana, Dreaming in Night Vision: A Story in Vignettes|I cut our paper dinner with a pair of scissors borrowed from the front desk of the hotel. I cooked with a spice rack box of crayons – sixteen colors. I seasoned the pumpkin pie with orange crayon, and basted the turkey's crisp skin in brown. I was remorseless with my sketchbook abattoir, playing the part of carnivore just as surely as I was play-acting the role of wife. I may as well have been a wax figure in a dollhouse eating the wax-scented food.
Gino Norris, Stress Diary Journal|I want my list of works to be lean and mean and everything was urgent and had to be done. Nothing to play the market. My family’s had to suffer for that, that I haven’t done commercial jobs just to bring home the bacon.
Jürgen Moltmann, The Crucified God: The Cross of Christ as the Foundation and Criticism of Christian Theology|When the crucified Jesus is called "the image of the invisible God," the meaning is that THIS is God, and God is like THIS.
Patricia Briggs, Iron Kissed|It was like being leaned on by a very heavy, warm brick. A sexy brick.
Matshona Dhliwayo|The mind speaks, though it does not have lips.The heart moves, though it does not have feet.The soul rises, though it does not have wings.
guggenhbuhl-craig|Before, they had been beasts, their instincts fitly adapted to their surroundings, and happy as living things may be. Now they stumbled in the shackles of humanity, lived in a fear that never died, fretted by a law they could not understand; their mock-human existence, begun in an agony, was one long internal struggle, one long dread of Moreau- and for what? It was the wantonness of it that stirred me.
Somer Brodribb|Now, in the academy, you cannot just say anything about male theory. You have to proceed with an immanent critique, that is to say, you have to expertly play the parts against the whole. You show, for example, how certain assumptions in the work actually defeat its stated purpose of human liberation, but once remedied, i.e. salvaged, the theory will work for women. An immanent critique can stay within the masculinist academic circle. In this position women become the technicians of male theory who have to reprogram the machine, turning it from a war machine against women into a gentler, kinder war machine, killing us softly. This is a very involving task and after years of playing this part it is understandable that there may be little desire to admit that the effort was virtually futile. An investment has been made, and the conformity is not wholly outer. What attitudes and feelings does this sexist context produce towards oppositional women who refuse this male material? Does a male-circled woman have the power and security to be generous? Having compromised her freedom, will she be less willing to compromise ours? Perhaps the most pernicious aspect of this arrangement, besides the ways it sets women against one another, is the fact that although the male academy values owning our freedom, it does not have to pay a lot for it. Masculine culture already controls gross amounts of female lives. Still, it seems to want more, but always at the same low price. The exploited are very affordable.
Kabelo Mabona|Every year is a year of impact, a month of change and a day of new encounters. Its all in the mind to make the impact, see the change and conquer new encounters.
Taite Adams, E-Go: Ego Distancing Through Mindfulness, Emotional Intelligence, and the Language of Love|Religion does not mean to worship cows. Religion is within the body of a human being. There is infinite power within this human body and manifestation of that power is Religion. In one sense it is the transformed state of ‘Ego’. Even if you don’t understand it, let me say that by evolution of self a man becomes God ….
Daniel H. Pink, A Whole New Mind: Why Right-Brainers Will Rule the Future|How well do you know the people who raised you? Look around your dining room table. Look around at your loved ones, especially the elders. The grandparents and the aunts and uncles who used to give you shiny new quarters and unvarnished advice. How much do you really know about their lives. Perhaps you've heard that they served in a war, or lived for a time in a log cabin, or arrived in this country speaking little or no English. Maybe they survived the Holocaust or the Dust Bowl. How were they shaped by the Depression or the Cold War, or the stutter-step march towards integration in their own community? What were they like before they married or took on mortgages and assumed all the worries that attend the feeding, clothing, and education of their children? If you don't already know the answers, the people who raised you will most likely remain a mystery, unless you take the bold step and say: Tell me more about yourself.
Chris Dee, Cat-Tales Book 2|Of all my objections to Jonathan Crane—and it is a lengthy list—the one point I will concede is that sometimes Fear has a purpose. Sometimes, fear is nature’s way of saying: Whoa there, Sundance, you sure you want to be jumping off that cliff, what with the rocky bed of the Colorado River churning 300 feet below? Sometimes, Fear has a point.
RuPaul|In the great tradition of Paris Is Burning, bring out your library cards! Because reading is what? Fundamental!
Michael Polanyi|It was the merit of Gestalt psychology to make us aware of the remarkable performance involved in perceiving shapes. Take, for example, a ball or an egg: we can see their shapes at a glance. Yet suppose that instead of the impression made on our eye by an aggregate of white points forming the surface of an egg, we were presented with another, logically equivalent, presentation of these points as given by a list of their spatial co-ordinate values. It would take years of labour to discover the shape inherent in this aggregate of figures - provided it could be guessed at all. The perception of the egg from the list of co-ordinate values would, in fact, be a feat rather similar in nature and measure of intellectual achievement to the discovery of the Copernican system.
Hanif Hassan Barbhuiya|Things can be fixed. Relationship CANNOT.Its like standing on a cracked glass plane, you might just adjust yourself for the time being but there will always be a fear of increasing the cracks, fear of falling through, fear of being destroyed.
Neil deGrasse Tyson|On Friday the 13th of April 2029, an asteroid large enough to fill the Rose Bowl as though it were an egg cup, will fly so close to Earth, that it will dip below the altitude of our communication satellites. We did not name this asteroid Bambi. Instead, it's named Apophis, after the Egyptian god of darkness and death. If the trajectory of Apophis at close approach passes within a narrow range of altitudes called the 'keyhole,' the precise influence of Earth's gravity on its orbit will guarantee that seven years later in 2036, on its next time around, the asteroid will hit Earth directly, slamming in the Pacific Ocean between California and Hawaii. The tsunami it creates will wipe out the entire west coast of North America, bury Hawaii, and devastate all the land masses of the Pacific Rim. If Apophis misses the keyhole in 2029, then, of course, we have nothing to worry about in 2036.
Rabindranath Tagore, The King of the Dark Chamber|Early in the morning, at break of day, in all the freshness and dawn of one’s strength, to read a book – I call that viciousness!
Olivia Laing, The Lonely City: Adventures in the Art of Being Alone|Loneliness is personal, and it is also political. Loneliness is collective; it is a city. As to how to inhabit it, there are no rules and nor is there any need to feel shame, only to remember that the pursuit of individual happiness does not trump or excuse our obligations to each another. We are in this together, this accumulation of scars, this world of objects, this physical and temporary heaven that so often takes on the countenance of hell. What matters is kindness; what matters is solidarity. What matters is staying alert, staying open, because if we know anything from what has gone before us, it is that the time for feeling will not last.
Albert Einstein|Once you have an innovation culture, even those who are not scientists or engineers - poets, actors, journalists - they, as communities, embrace the meaning of what it is to be scientifically literate. They embrace the concept of an innovation culture. They vote in ways that promote it. They don't fight science and they don't fight technology.
Emily McKay, How Willa Got Her Groove Back|He was on the edge of a cliff. And he wasn’t jumping, he was diving, a huge swan dive, like those famous cliff-top divers in some exotic place he’d seen on television once. Only they landed safely, bodies cutting into seawater like knife blades.And his dive was a killing one.
David Foster Wallace|Anybody gets to ask questions about any fiction-related issues she wants. No question about literature is stupid. You are forbidden to keep yourself from asking a question or making a comment because you fear it will sound obvious or unsophisticated or lame or stupid. Because critical reading and prose fiction are such hard, weird things to try to study, a stupid-seeming comment or question can end up being valuable or even profound. I am deadly-serious about creating a classroom environment where everyone feels free to ask or speak about anything she wishes. So any student who groans, smirks, mimes machines-gunning or onanism, chortles, eye-rolls, or in any way ridicules some other student's in-class question/comment will be warned once in private and on the second offense will be kicked out of class and flunked, no matter what week it is. If the offender is male, I am also apt to find him off-campus and beat him up.. . . This does not mean we all have to sit around smiling sweetly at one another for three hours a week. No truths about the form, content, structure, symbolism, theme, or overall artistic quality of any piece of fiction are etched in stone or beyond dispute.
Tony Dungy, The Mentor Leader: Secrets to Building People and Teams That Win Consistently|Remember that mentor leadership is all about serving. Jesus said, “For even the Son of Man came not to be served but to serve others and to give his life as a ransom for many” (Mark 10:45).
Hyrum W. Smith, The 3 Gaps: Are You Making a Difference?|I looked harder at Matthew 25 and realized that if  Jesus said "I was hungry and you fed me," then Christ's presence is not embodied in those who feed the hungry (as important as that work is), but Christ's presence is in the hungry being fed. Christ comes not in the form of those who visit the imprisoned but in the imprisoned being cared for. And to be clear, Christ does not come to us as the poor and hungry. Because, as anyone for whom the poor are not an abstraction but actual flesh-and-blood people knows, the poor and hungry and imprisoned are not a romantic special class of  Christlike people. And those who meet their needs are not a romantic special class of  Christlike people. We all are equally as sinful and saintly as the other. No, Christ comes to us in the needs of the poor and hungry, needs that are met by another so that the gleaming redemption of  God might be known. ... No one gets to play Jesus. But we do get to experience Jesus in that holy place where we meet others' needs and have our own needs met.
Joban Singh Bal|If you are afraid to fail, then you are afraid to succeed.
Garth Stein, The Art of Racing in the Rain|We should never forget that everything Adolph Hitler did in Germany was "legal" and everything the Hungarian freedom fighers did in Hungary was "illegal." It was "illegal" to aid and comfort a Jew in Hitler's Germany.
Paul Klee|To teach how to live without certainty and yet without being paralysed by hesitation is perhaps the chief thing that philosophy, in our age, can do for those who study it.
Israelmore Ayivor, The Great Hand Book of Quotes|Leave fears aside, clean tears away! Tell God "here I am, use me!" and he'll give you the assignments that will make your life a fulfilled one. Now dress up to work!
Suzy Kassem|Everyone wanted to see [him] fall so they could devour his remains. As is usually the case, the army of sycophants had turned into a horde of hungry hyenas
Alexander Masters, Stuart: A Life Backwards|If Stuart is a freak... it is because he has had the superhuman strength not to be defeated by this isolation. It is because he has had the almost unbelievable social adroitness to be able to fit in smoothly with an educated, soft-skinned person like myself and not make me frightened half to death. If Stuart's a freak, I salute freaks.
Anthony Liccione|Silent as a flower, her face fell in dismay, aware that the ghost of lust ate and left, sensing that there was a different scent of perfume consuming the room, and that she had numbered and counted the he loves me, he loves me not of each petal, where the lifeless dust had settle.
James Crumley|Son, never trust a man who doesn’t drink because he’s probably a self-righteous sort, a man who thinks he knows right from wrong all the time. Some of them are good men, but in the name of goodness, they cause most of the suffering in the world. They’re the judges, the meddlers. And, son, never trust a man who drinks but refuses to get drunk. They’re usually afraid of something deep down inside, either that they’re a coward or a fool or mean and violent. You can’t trust a man who’s afraid of himself. But sometimes, son, you can trust a man who occasionally kneels before a toilet. The chances are that he is learning something about humility and his natural human foolishness, about how to survive himself. It’s damned hard for a man to take himself too seriously when he’s heaving his guts into a dirty toilet bowl.
Robert Townsend|You know Morse Code?” Avian asked as we walked up.“My grandpa thought it was a fun game when I was little,” West said as he rubbed his eyes again. ”That’s a scientist’s version of fun for you.
Katlyn Charlesworth, The Tomorrows|Please challenge me becausewhenever I am challenged, I learn away to survive and a brillianttechnique to fight.
Martin Luther|The heart overflows with gladness, and leaps and dances for the joy it has found in God. In this experience the Holy Spirit is active, and has taught us in the flash of a moment the deep secret of joy. You will have as much joy and laughter in life as you have faith in God.
Seré Prince Halverson, All the Winters After|When I rode the train west,I went looking for something,but I didn't see anything wonderful.I didn't see anything better than what I already had.Home.
Rick Pitino|He who refuses to stoop, who cannot be bribed by the promise of success or the fear of failure - who walks the highway of the right, and in disaster stands erect, is the only victor.
Milan Kundera, Identity|Valentine went back to class without answering. That night Demosthenes published a scathing denunciation of the population limitation laws. People should be allowed to have as many children as they like, and the surplus population should be sent to other worlds, to spread mankind so far across the galaxy that no danger, no invasion could ever threaten the human race with annihilation. "The most noble title any child can have," Demosthenes wrote, "is Third.
William Paul Young, The Shack|He doesn’t stop a lot of things that cause him pain. Your world is severely broken. You demanded your independence, and now you are angry with the one who loved you enough to give it to you. Nothing is as it should be, as Papa desires it to be, and as it will be one day. Right now your world is lost in darkness and chaos, and horrible things happen to those that he is especially fond of… Papa has never needed evil to accomplish his good purposes. It is you humans who have embraced evil and Papa has responded with goodness. What happened to Missy was the work of evil and no one in your world is immune from it.”~Sophia
J.R. Ward, Lover Eternal|She’d found him. She’d helped him. She’d saved him. He was hers. And they’d taken him away, ripped him from her arms, literally.
Frank Zappa|The design of the Mac wasn't what it looked like, although that was part of it. Primarily, it was how it worked. To design something really well, you have to get it. You have to really grok what it's all about. It takes a passionate commitment to really thoroughly understand something, chew it up, not just quickly swallow it.
Jonathan Maas, City of Gods II: Horsemen|Delight is all around us you know, from the food we eat, to the night sky, to the dreams we have. It surrounds us with every moment, you just have to stop and take it in whenever you can.
James Riley, The Half Upon a Time Trilogy: Half Upon a Time; Twice Upon a Time; Once Upon the End|So what's the point, then, if we can't be happy? Why are we doing any of this?""Oh, there's definitely happiness," Jack said, turning his back on the ocean and looking at her. "But it's just about moments, not ever-afters." He grinned. "Like when you're right in the middle of the ocean with your friends, with no one trying to kill you in any kind of horrifying way. You have to appreciate these moments when they happen, 'cause obviously we don't get many of them.
James Dashner, The Maze Runner|They were from two different worlds. Two entirely different people. But upon their coming together, they created- they found- their own path and together they had their own world and in their own world, they were the same. Everyone else outside of it- everyone else was over there. Away. And they together- they together were here. They were right here. They were the same.
Nicole Deese, The Promise of Rayne|The more important factors are a man’s perseverance, his ability to innovate and think of new ideas, to be willing to adapt to changing conditions, to push almost tirelessly at a task or several at a time, during the difficult seasons as well as the prosperous. Certainly a man may be all these on his own, and succeed, wife or no – but to have a wife who possessed these qualities, who could bring out in her husband such steadiness and strength of character by her example and unyielding affection… The worth of such a wife is immeasurable. - James Laurence to his grandson, Laurie
Cassandra Clare, Lady Midnight|What could you do, when what threatened the ones you loved was something else you loved just as much?
Colbert, Wendy Staley|By the time we hit our forties, we've all known pain--it's been layered on us like so many coats of paint. Who's to say which heartbreak is the greatest: Losing a child or never having a romantic relationship? Surviving cancer or having a mentally ill son? All painful life events gouge deep furrows and cause emotions to bleed out of us--shock, sorrow, and dismay. Through these tragedies, we are constantly rediscovering ourselves, peeling off the personas we've created to fit in socially and reaching for the unaltered seed of self within us. We'll never completely know our raw core--never completely be able to separate the white of external influences from the yolk of our true selves. But we can ask the questions, keep on with the quest.
Elna Baker, The New York Regional Mormon Singles Halloween Dance: A Memoir|No sex?" He looked at me in disbelief. "Well if you can't have ze sex, what can you do?"For the sake of simplicity I took my left arm and lined it up just under my collarbones. "Nothing below here," I said. I took my right arm and lined it up to my knees. "Nothing above here.""What about your armpit?" he asked. "Can your boyfriend do anything he wants to your armpit?"I thought about it. Armpits seemed pretty harmless. "Yeah," I said optimistically. "My boyfriend can do anything he wants to my armpit.""This is good," the Frenchman said. "He can stick his penis in and out of your armpit, and if you grow hair there it is almost like vagine."Is it too late to change my answer? I wondered, pulling a cardigan over my bare shoulders and covering any hint of an invitation.
Philip Gourevitch, We Wish to Inform You That Tomorrow We Will Be Killed with Our Families|This is what fascinates me most in existence: the peculiar necessity of imagining what is, in fact, real.
William Thomson, 1st Baron Kelvin|Do not imagine that mathematics is hard and crabbed, and repulsive to common sense. It is merely the etherealization of common sense.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Choose to be pro-active, assertive and self-defining.
Roy T. Bennett, The Light in the Heart|Instead of worrying about what you cannot control, shift your energy to what you can create.
Tim Hudson|I've been allowed to grow over the past twenty years. I've managed to avoid being trapped in one moment of my career and for that, I'm very thankful.
Bill Strickland, Make the Impossible Possible: One Man's Crusade to Inspire Others to Dream Bigger and Achieve the Extraordinary|Trust your passion, identify your dreams, and find the courage to share them with others, no matter how many times they call you a fool.
Menna Anwar|In a world of diversity, and cultural differences... there's no such thing as 'common' sense.
Tennessee Williams, Notebooks|I believe the way to write a good play is to convince yourself it is easy to do--then go ahead and do it with ease. Don't maul, don't suffer, don't groan till the first draft is finished. A play is a pheonix and it dies a thousand deaths. Usually at night. In the morning it springs up again from its ashes and crows like a happy rooster. It is never as bad as you think, it is never as good. It is somewhere in between, and success or failure depends on which end of your emotional gamut concerning its value it approaches more closely. But it is much more likely to be good if you think it is wonderful while you are writing the first draft. An artist must believe in himself. Your belief is contagious. Others may say he is vain, but they are affected.
Robert Dykstra, She Never Said Good-Bye|We live in a society that shuns guilt, hardly knows it. It is drummed into us: "Don't feel guilty." No one wants to pay the price of reconciliation, of atonement, of forgiveness.
Joris-Karl Huysmans, Against Nature|His scorn of humanity grew by what it fed on; he realized in fact that the world is mostly made up of solemn humbugs and silly idiots.There was no room for doubt; he could entertain no hope of discovering in another the same aspirations and the same antipa- thies, no hope of joining forces with a mind that, like his own, should find its satisfaction in a life of studious idleness; no hope of uniting a keen and doctrinaire spirit such as his, with that of a writer and a man of learning.
John    Hennessy|When his life was ruined, his family killed, his farm destroyed, Job knelt down on the ground and yelled up to the heavens, "Why god? Why me?" and the thundering voice of God answered, "There's just something about you that pisses me off.
George Bank|Learned and sociological accepted lines, boundaries, internal perimeters, and partitions diminish the creative space within our minds' that is poised and ready.
Chris Lange, Blade Heart|Frank heard the glass of water thump on the stand that he now imagined might be beside the bed, which meant it was. Finally something firm to grasp, in his mind and with his hand. He reached out very slowly, as he didn’t want to risk tearing the gauze that was so precariously holding his vital organs together. He felt wood. His fingers slid shakily over the corners of the table, feeling their reality, their solidity. He tried to picture it in his head, all rough hewn and unpainted, but the white kept slipping in, even though he knew Mexicans rarely painted anything with a neutral color. Still, there it was, a whitewashed bed stand in his mind. He tried to overlook it, and reached up higher to find the glass cylinder full of what his body was screaming out for, water.That was why he felt so tight, he figured. His tissues and muscles had all dried up, and he needed to rehydrate them before even attempting to move. So at last, grasping the all important container, his fingers straining against its mighty heft, he slowly slipped it to and then off of the edge of the little table. Vast oceans of bluey refuge sloshed against their constraints, spilling their powerful waves over the side, across his sleeping hand, and onto the bed sheets below that were undoubtedly as white as Santa’s fucking beard.But the spill, the great cresting of the breakers over the levee walls, tremendous in its awesome power and glory, had only served to excite him, to intrigue him, the refreshment that the backside of his hand was lapping up osmotically served only to stoke the great thirst within him, and with God steadying his hand, he tipped his gauze laden head up, muscled the glass towards his mouth with veins rippling in his arms, and tipped it.It was not a perfect pour. Water splashed against his forehead, his eyes still clenched tightly in their death struggle against the white, as he had no idea where his mouth was at that point anyway. But he really didn’t give a shit where the life giving fluid went, for he had become a very gauzey sponge, and his tissues would reach their strange and parched tendrils across the entire room if they must to soak up the precious juices that would in turn dissolve their steely grip and allow him to rise from his low perch and sallie forth across the blue fields of agave that awaited a non-suicidal tourist’s itinerary, just outside the door he could not remember but which must surely be bolted to an opening that must surely be the gateway to the very room in which he must surely be attempting to drink.
Gabriel García Márquez|I became aware that the invincible power that has moved the world is unrequited, not happy, love.
Henri Matisse|Love is the best thing in the world, and the thing that lives the longest.
Helen Rowland|By staying neutral, I end up being somebody that everybody can trust. Even if they don't always agree with my decisions, they know I'm not working against them.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|It's funny how, in this journey of life, even though we may begin at different times and places, our paths cross with others so that we may share our love, compassion, observations, and hope. This is a design of God that I appreciate and cherish.
Carl Sagan|I'm frequently asked, "Do you believe there's extraterrestrial intelligence?" I give the standard arguments- there are a lot of places out there, the molecules of life are everywhere, I use the word billions, and so on. Then I say it would be astonishing to me if there weren't extraterrestrial intelligence, but of course there is as yet no compelling evidence for it.Often, I'm asked next, "What do you really think?"I say, "I just told you what I really think.""Yes, but what's your gut feeling?"But I try not to think with my gut. If I'm serious about understanding the world, thinking with anything besides my brain, as tempting as that might be, is likely to get me into trouble. Really, it's okay to reserve judgment until the evidence is in.
Kilroy J. Oldster, Dead Toad Scrolls|Embracing human frailty, fallibility, and heartbreaking aloneness is crucial for any person seeking to attain self-actualization and self-realization.
Derric Yuh Ndim|when you are a child you unconsciously adopt certain beliefs. Yet, there comesthe necessity to upgrade these beliefs as you grow older.
Mehmet Murat ildan|By looking at only one place, you miss everything in all the other places! Look everywhere to see everything!
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|The more you read,the eager you read many more.
Molly Ringle, Persephone's Orchard|It had always been Roth; from the moment he swaggered into that d- alley, where I'd been unsuccessfully fighting off a demon, it had been him for me. Maybe I'd been too blind to see that after he returned from the pits. Maybe I had been too angry with him after the way he initially acted.
Balroop Singh|Conflicts in relationships are as natural as breathing. While conflicts lead to healthy relationships, they can throttle us if they are not addressed at the appropriate time.
Criss Jami, Killosophy|If I were to envy any persons on this planet, it would be mountain hermits. You often hear old platitudes such as, 'Speak out. Be heard.' On the contrary, a breath of fresh air would be something like: 'Silence, think for at least 15 minutes, and then maybe speak out.
Shulamith Firestone, The Dialectic of Sex: The Case for Feminist Revolution|All men are selfish, brutal and inconsiderate--and I wish I could find one.
Lailah Gifty Akita|I only wish to read, think and write.
Sherman Alexie|Should it happen tomorrow, I would fall to my knees to give thanks to God for such a career.
Israelmore Ayivor, Leaders' Watchwords|Sometimes it is difficult to different between leaders and misleaders. However, with the measurement of true service to mankind, the evidence is very clear!
Craig D. Lounsbrough|Given the lethal enormity of sin and the inestimable value of a single soul, a baby in a manger and a man on a cross makes more sense that anything else I will ever be able to possibly imagine.
Chaim Potok, The Chosen|I went away and cried to the Master of the Universe, "What have you done to me? A mind like this I need for a son? A heart I need for a son, a soul I need for a son, compassion I want from my son, righteousness, mercy, strength to suffer and carry pain, that I want from my son, not a mind without a soul!
Amaka Imani Nkosazana, Sweet Destiny|Once You Realize your Purpose in Life, do whatever it Takes within Good means in order to Fulfill your Destiny. This is Your Life, No One can Live it for You. The Journey is Yours.
Paulo Coelho, Warrior of the Light|The masks. that men have as faces, the outward shells they hold up for others to see while their minds shift in hidden directions." Discard 2
Ogwo David Emenike, Happiness Recipe: Eat and Stay Happy|There is a good life. The goodnews is that you can live that good life. The good life is the happy life. To live this good life, be happy! A truly happy man is a good man.
Mark Batterson, A Trip Around the Sun: Turning Your Everyday Life Into the Adventure of a Lifetime|Excellence will give you the recognition you crave for, but humility will keep you standing longer than expected.
Crystal Woods, Write like no one is reading 3|I had a dream that Mark Wahlberg and his wife were our neighbors and we had dance parties in our living room and drank wine from Solo cups. I remember being confused as to why they lived in a regular neighborhood, or why it didn't seem to make anyone awkward that I had Marky's Calvin ads up in the living room.
Tig Notaro|When truth takes a backseat to ego and politics, trust is lost.
Robert Thier, Storm and Silence|Ships are my arrows, the sea my bow, the world my target.
Claire Harman|What importance should be given to details, in developing a subject?--Remorselessly sacrifice everything that does not contribute to clarity, verisimilitude, and effect.Accentuate everything that sets the main idea in relief, so that the impression be colourful, picturesque. It's sufficient that the rest be in its proper place, but in half-tone. That is what gives to style, as to painting, unity, perspective, and effect.- Constantin Georges Romain Héger, teacher to Charlotte Brontë
Alin Sav|I can´t get out of the box, while keeping God in the box.
John Green, The Fault in Our Stars|It's not life or death, the labyrinth. Suffering. Doing wrong and having wrong things happen to you.
Marti Noxon, Buffy the Vampire Slayer|Spike (to Giles) : Oh, poor Watcher. Did your life pass before your eyes — 'Cuppa tea, cuppa tea... almost got shagged... cuppa tea'?
Kevin Mitnick|You can be good at technology and like fashion and art. You can be good at technology and be a jock. You can be good at technology and be a mom. You can do it your way, on your terms.
LeAnne Mechelle, Write like no one is reading 2|I crave the violence of your affection. I ache for the way it jumbles my insides and makes my heart feel like it's harboring a thunderstorm. I've never felt more alive in all my time on this earth, as I have, being underneath your touch.
Katy Perry|Bringing good news is imparting hope to one's fellow man. The idea of redemption is always good news, even if it means sacrifice or some difficult times.
Shannon L. Alder|Your dignity can be mocked, abused, compromised, toyed with, lowered and even badmouthed, but it can never be taken from you. You have the power today to reset your boundaries, restore your image, start fresh with renewed values and rebuild what has happened to you in the past.
George Weah|In 1988, Christmas, that was my last performance because I moved to Hawaii to raise my son.
Robert A. Heinlein, Time Enough for Love|I’m tired of the lies and the cheating, and the broken promises that were never meant to be kept.
Rachel Gibson|Max looked around. "Where's your mutt?""Right here, asleep. He won't bite you again. I've talked to him about it, and he's really sorry
Gay Talese, Thy Neighbor's Wife|I remember the very day, sometime during the first two weeks of my five-year amorous sojourn in Brutland, when I was made privy to one of the most arcane of their utterings. The time was ripe for that major epiphany, my initiation into the sacred knowledge—or should I say gnosis?—of that all-important, quintessentially Brutish slang term, the word that endless hours of scholastic education by renowned mentors, plus years of scrupulous scrutiny into scrofulous texts, had disappointingly failed to impart to me, leaving me with that deep sense of emptiness begotten by hemimathy; the time was finally ripe for me to be transported by the velvety feel of the unvoiced palato-alveolar fricative, the élan of the unpronounceable and masochistically hedonistic front open-rounded vowel, and, last but not least, the (admittedly short) ejaculatory quality of the voiced velar stop: all three of them combined together to form that miraculous lexical item, the word shag.
Faye Hall|Excuses will always be made, and blame will always fall on the other. Though the truth is before you, your own love will forever blind you from it. I will not lose you just to prove a point, nor to shatter your heart with the reality before you. Instead I will smile. I will live. I will accept that it just is. I do not do this for them, but I will do it for you. I will do it because I love you." - from an untitled script
Epictetus|A man has no religion who has not slowly and painfully gathered one together, adding to it, shaping it; and one's religion is never complete and final, it seems, but must always be undergoing modification.
Anna Carey, Once|Why are you drinking? demanded the little prince."So that I may forget," replied the tippler."Forget what?" inquired the little prince, who was already sorry for him."Forget that I am ashamed," the tippler confessed, hanging his head."Ashamed of what?" insisted the little prince, who wanted to help him."Ashamed of drinking!
Daymond John|You can't reverse fame. You can lose all the money, but you'll never lose people knowing you.
J. Michael Straczynski|The best quality about Kobe Bryant? You want me to be honest? I don't know. I'll tell you why. I open my arms to everybody. But he never stepped forward for the embrace. So I never really got to know him. I don't know anything about him, and it's kinda sad.
Patrick Rothfuss, The Wise Man's Fear|But he knew instinctively what he suggested was impossible. She'd been through so much, and held her tears back for so long, that Royce doubted that anything could force her to shed them.
Terry Goodkind, The First Confessor|In the future, violence would clearly become a valuable form of social cement.
