Deyth Banger|In life and love, there are no impossibilities.
Joshua Wolf Shenk|Trying to compose even a single sentence can have the same effect, as we try to juggle grammatical and syntactical alternatives plus all the possibilities of tone, nuance, and rhythm even a simple sentence offers. Composing, then, is a cognitive activity thatconstantly threatens to overload short-term memory.
Ted Deutch|Atoms consist of a positive nucleus and negative electrons flying around outside it. Electrons closest to the nucleus feel a strong negative-on-positive tug, and the bigger atoms get, the bigger the tug. In really big atoms, electrons whip around at speeds close to the speed of light.
Amit Kalantri, Wealth of Words|Education makes your maths better, not necessarily your manners.
Oliver Wendell Holmes Sr., Autocrat of the Breakfast Table|He [Jesus] knew no sin. Do you realize this? There has never been one moment in your life— not one moment in your life that wasn’t tainted by sin. And yet, there never was a moment in His life that was tainted by sin! Someone asked me a long time ago, "What is the greatest sin you can commit?" And all of a sudden it just popped in my head so I said it— I said, “Well, I suppose the greatest sin you could commit is to break the greatest commandment that’s ever been given: to love the Lord your God with all you heart, soul, mind, and strength.” Do you realize there’s never been one moment in your life that you have loved God as God ought to be loved? To even suggest that you have is paramount to blasphemy. You have never loved God in a way that God deserves to be loved. But there was never one moment in the life of the man Jesus Christ that He did not love God as God deserves to be loved! You think Jesus is great? He’s greater than you know...
Steven M. Cahn|Above all, it seems to me wrongheaded and dangerous to invoke historical assumptions about environmental practices of native peoples in order to justify treating them fairly. ... By invoking this assumption [i.e., that they were/are better environmental stewards than other peoples or parts of contemporary society] to justify fair treatment of native peoples, we imply that it would be OK to mistreat them if that assumption could be refuted. In fact, the case against mistreating them isn't based on any historical assumption about their environmental practices: it's based on a moral principle, namely, that it is morally wrong for one people to dispossess, subjugate or exterminate another people.
Roberto Bolaño|One night I dreamed of an angel: I walked into a huge, empty bar and saw him sitting in a corner with his elbows on the table and a cup of milky coffee in front of him. She’s the love of your life, he said, looking up at me, and the force of his gaze, the fire in his eyes, threw me right across the room. I started shouting, Waiter, waiter, then opened my eyes and escaped from that miserable dream. Other nights I didn’t dream of anyone, but I woke up in tears.
David Nicholls, Us|I have always been well liked, I think, always well regarded and respected, but having few enemies is not the same as having many friends, and there was no denying that I was, if not "lonely", more solitary than I'd hoped to be at that time.
Paul Sabatier|Success isn't something you achieve by accident, but rather by design.
David Foster Wallace|When people are bored, it is primarily with their own selves that they are bored.
Paul Theroux, The Tao of Travel: Enlightenments from Lives on the Road|The wish to travel seems to me characteristically human: the desire to move, to satisfy your curiosity or ease your fears, to change the circumstances of your life, to be a stranger, to make a friend, to experience an exotic landscape, to risk the unknown..
Manuela George-Izunwa|Guard your heart:Mysterious things happen in there.Stand as the watchman of your soul,And be careful about what you let in.For, therefrom, come all your life's issues.
Bill Blais, No Good Deed|He’s here! That’s Damon over there!”Because of his height, Noah had a clear shot of the man she was pointing to. But he still couldn’t believe what he was seeing. “Oh, come on,” he groaned. “A blond haired, blue-eyed demon?”He glanced at Willow just in time to catch her impish grin. “He’s adorable, isn’t he?”“Yeah, he’s friggin’ precious,” he muttered...
Sakin Maharjan|As far as everyone is concerned, I'm in love with you today and tomorrow.
Rachel Hartman, Seraphina|Honestly I don't know why i have these parties""Because of your cat""That's true. Chairman Meow deserves my every effort
Vironika Tugaleva|A leaf does not resist the breeze. A goose does not resist the urge to fly down south. Is this not happiness? Is this not freedom? To access this incredible state, we need only one thing: Trust. Trust that, when you are not holding yourself together so tightly, you will not fall apart. Trust that it is more important to fulfill your authentic desires than listen to your fears. Trust that your intuition is leading you somewhere. Trust that the flow of life contains you, is bigger than you, and will take care of you - if you let it.
Audrey Hepburn|The beauty of a woman is not in a facial mole,but true beauty in a Woman is reflected in her soul. It is the caring that she lovingly gives, the passion that she knows.
Blaise Pascal, Pensées|There are three sources of belief: reason, custom, inspiration.
Prophet Muhammad|Be peaceful, be courteous, obey the law, respect everyone; but if someone puts his hand on you, send him to the cemetery.
Toba Beta, My Ancestor Was an Ancient Astronaut|People tend to resist a change into something new and different.But after it's succeded, they easily say that the change is a must.
Natsuki Kizu, リンクス [Links]|Isaiah lazily yet deliberately tilts his head as he stares into my eyes. My entire body hums and a fuzzy sensation fills my head, making it hard to focus. My mouth opens then closes. And as he slowly bends down, my tongue quickly licks my dry lips.I hope I’m doing this right. I want to do this right.Isaiah slips his hand from my chin to cradle my head. His fingers tunnel through my hair, making the back of my neck tingle with anticipation as the pad of his thumb whispers gently against my cheek. His lips hover right next to mine and his warm breath heats my face.The blood pounds so wildly in my veins that he has to sense the vibration. There’s a magnetic pull taking over the small distance between our lips. An energy I can’t resist. My head inclines opposite his and the moment I close my eyes, his mouth brushes mine.Soft. Warm. Gentle. His lips move slowly, exerting pressure. And I feel like I can’t breathe, yet like I’m flying. The pressure ends, but his mouth stays near mine. His hand grips my waist and my spine gives at the shockingly right pleasure of his touch.Isaiah senses my weakness and his hand snakes its way around my waist, his strong arm holds me up. And he explores again. A little pressure on my lower lip. A little pressure on the top. And then I remember that I’m supposed to kiss him back.Nerves send small shock waves through my chest, and my hand trembles as I raise it to his shoulders. I press both my lips into his lower one right as my fingers caress the side of his neck. Isaiah shivers. In a good way, I think.I open my mouth to ask when his lips move fast against mine, sucking in my lower one, causing warmth and excitement to explode in my body, the aftermath of that divine encounter melting every piece of me.I moan, and Isaiah’s arm tightens, bringing my body closer to his. My lips maneuver against his in response. A yes to his pulling me closer. A yes to his lips taking in mine. A yes to the fact that he allows me to perform the same succulent kiss on him.I can’t help it. I permit the tip of my tongue to barely brush his lower lip. Isaiah curls my hair into his fist and I love how my touch affects him, affects me. Wrapping my other arm around his neck, I lose all sense of independence with his sweet taste.I like this. I like this a lot.
Robert Owen|Oh literature, oh the glorious Art, how it preys upon the marrow in our bones. It scoops the stuffing out of us, and chucks us aside. Alas!
Richard Paul Evans, Lost December|Everyone can choose to live with a golden heart, it is a privilege of loving truly.
Plato|In politics we presume that everyone who knows how to get votes knows how to administer a city or a state. When we are ill... we do not ask for the handsomest physician, or the most eloquent one.
Jimmy Page|When Justice White retired, he gave me the chance to work for Justice Kennedy, as well. Justice Kennedy was incredibly welcoming and gracious, and like Justice White, he taught me so much. I am forever grateful. And if you've ever met Judge David Sentelle, you'll know just how lucky I was to land a clerkship with him right out of school.
Amit Kalantri|You have your God, I have my guts.
Oscar Bimpong|Silence prevailed everywhere, like the gloomy dumbness after the riots in the city.
Edward Hirsch|You're shadowed by your own dream, especially as you get older, of trying to create something that will last in poetry. And so, you're working on its behalf.
Cecilia Dart-Thornton, Fallowblade|True friendship is worth more than can be measured, a quality forever to be treasured.True friends will staunchly stand beside each other,as loyally brother shieldeth brother,remaining firm in spite of war and strife,in poverty or sickness, throughout life.True friendship doth endure while comrades agefrom boy to youth, from warrior to sage.
Charles Frazier|Back then, he'd have to leave at the end of August for the start of school, so the week before Labor Day became it's own tiny season of gloom, like a hundred Sunday nights crowded together.
Alain de Botton, The Pleasures and Sorrows of Work|Honey, there is no one right way to eat cannelloni.
Karl Marx|The education of all children, from the moment that they can get along without a mother's care, shall be in state institutions.
Mensah Oteh, The Best Chance: A Guide to Discovering Your Purpose, Reaching Your Potential, Experiencing Fulfilment and Achieving Success in Any Area of Life|You need courage because at various moments in your life you might need to attempt something new, push yourself outside your comfort zone, challenge the status quo, change your story, or overcome your fear.
John M Sheehan|Religious fundamentalists belong in a museum at the exhibit of medieval antiquities, not in any nation.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|The odds may be stacked against you. Yet, I believe, when you tap into your unique gifts and abilities, while combining them with a sense of purpose, passion, and perseverance, you will not only defy those odds, you will help create a better life for yourself and the rest of us.
Norah Vincent|This will sound strange, and yet I'm sure it was the point: it was a bit like being high. That, for me, anyway, had always been the attraction of drugs, to stop the brutal round of hypercritical thinking, to escape the ravages of an unoccupied mind cannibalizing itself.
Melita Tessy, Battle of the Spheres: Crust, Mantle and Core|If I knew how and where to sacrifice myself, I must know how and where to save myself.
Trent Reznor|I suppose the only thing at 50 you can really start to look forward to is just total irresponsibility. As you get older, you can just sit in a chair, wear anything you want, you know you can walk down; old people dress cool. You know they wear sweatpants. The elderly have it down.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|You were born a winner, a warrior, one who defied the odds by surviving the most gruesome battle of them all - the race to the egg. And now that you are a giant, why do you even doubt victory against smaller numbers and wider margins? The only walls that exist are those you have placed in your mind. And whatever obstacles you conceive, exist only because you have forgotten what you have already achieved.
Hunter S. Thompson|My meaning simply is, that whatever I have tried to do in life, I have tried with all my heart to do well; that whatever I have devoted myself to, I have devoted myself to completely; that in great aims and in small, I have always been thoroughly in earnest.
Marvin Hamlisch|Music, as many people have said, is the universal language. Of course points are made which make you think about things, but ultimately it makes you feel. And that's why people remember more songs that have meant something during their life than films. They start to define periods in your life, and that's kind of the beauty of it.
Camelia C.|Not all light is good. There is negative light, that can cast bad shadows.
Katie J. Davis|We aren't really called to save the world, not even to save one person; Jesus does that. We are just called to love with abandon. We are called to enter into our neighbors' sufferings and love them right there.
Criss Jami, Killosophy|When you aren't satisfied with what has already been done, make something better. That is the greatest responsibility and the true freedom of creativity. The freedom is in that it doesn't need to complain.
Joyce Rachelle|There is comfort, even among strangers, when people find something they are equally passionate about.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|Transition and change - guaranteed to cause anxiety. That anxiety shows itself in physical and behavioral ways, but also with thoughts (sometimes really crazy ones). This is the (primitive/automatic) brain's way of keeping us safe from the danger of change. We end up getting so involved with the feeling and thoughts of anxiety, we get distracted from the "danger". If we trust the anxiety then our primitive brain has succeeded in "protecting" us from the danger. I suggest not believing, trusting, or taking direction from the anxiety and continue your pursuits forward. Then, you will be amazed at your ability to attract and reveal your true capabilities, your light, your magic.
Haruki Murakami, The Elephant Vanishes|Unsure how to answer, I took another grape. Time was no problem for me, but I wasn't eager to hear the long life story of a dwarf. And besides, this was a dream. It could evaporate any moment.
Kristian Goldmund Aumann, The Seven Deadly Sins|If you feel hatred in your heart, pray. If you feel murder in your mind, pray. God will repay.
Mango Wodzak, The Eden Fruitarian Guidebook|Violence is weakness. True strength comes not through brutality and savagery, but through tenderness, mercy and grace.
Charles Eisenstein, The More Beautiful World Our Hearts Know Is Possible|Books,' I say sleepily. 'They don't change either. If you read a book and look at it again later on, it's still the same thing. But it's exciting all over again.
William S. Wilson, Why I Don't Write Like Franz Kafka|Psychological motivation is the desire to change relations between two points, and so psychology is the study of equations with two unbound variables. ("America: Three Audiences")
Jaclyn Friedman|A slut is someone, usually a woman, who’s stepped outside of the very narrow lane that good girls are supposed to stay within. Sluts are loud. We’re messy. We don’t behave. In fact, the original definition of “slut” meant “untidy woman.” But since we live in a world that relies on women to be tidy in all ways, to be quiet and obedient and agreeable and available (but never aggressive), those of us who color outside of the lines get called sluts. And that word is meant to keep us in line.
Henning Mankell, The Dogs of Riga|We may all deserve hell, but some of us deserve it sooner than others.
Chris Mentillo|A women does not become whole, until she has a baby.
Thomas Fuller|At some point, the government expands into the private sphere so far that you live in a place with a whole lot less freedom. I didn't like that that was the direction of travel for our country, and decided to come to Washington to try and be a small part of bringing it back.
Mina Carter, Tamed by the Mistress|She liked this. Liked the closeness. With lover’s she’d taken in the past, things had been short and sweet. She certainly hadn’t stuck about to snuggle in case they started to get ideas, not after the first time. Killing a guy you’d fucked was one thing, but to kill one you’d snuggled with damn near broke a girl’s heart
Jessica Sorensen, The Coincidence of Callie & Kayden|If the afternoon had been blue,there might have been less desire.
Abhijit Naskar|In your imagination, 16,000 animals can fit into a boat that is only 440 feet long, 73 feet wide and 44 feet high. You can even decapitate a boy and then fit an elephant’s head on his headless body to bring him back to life. You can construct a demon with as many as ten heads and conceive him to be immortal unless he is hit at his navel. As far as your imagination is concerned, there is no boundary to perception.
Aphole|What is birthday, but a celebration of death.
Nataša Nuit Pantović, Mindful Being|If a man speaks many holy words but he speaks and does not, this thoughtless man cannot enjoy the life of holiness: he is like a cowherd who counts the cows of his master.Whereas if a man speaks but a few holy words and yet he lives the life of those words, free from passion and hate and illusion—with right vision and a mind free, craving for nothing both now and hereafter—the life of this man is a life of holiness.
Raneem Kayyali|Every thought creates a plan,every decision creates a way forward, every action brings forth tangible assets. Everything starts from the mind my friend.
Jose Bergamin|The rules or 'laws' of poetry are only tentative devices, an approximate scheme. There is no Sinaitic recipe for poetry, for the individual poem is the norm.
Doris Kearns Goodwin, The Bully Pulpit: Theodore Roosevelt, William Howard Taft, and the Golden Age of Journalism|When I push the button on my laptop, it should start up. If it doesn’t, it can’t blame its nonexistent emotions. It should respond immediately and appropriately because that’s what it has been created to do.In evaluating my parenting, I realized much of my anger with my children arose from my having the wrong perspective about them. I was viewing them as if they were machines.
Robin Williams|See, the problem is that God gives men a brain and a penis, and only enough blood to run one at a time.
Tina Carreiro, Power of the Moon|When you give yourself to me, completely, I will bite you. Until then, my love, I will only nibble on you.”~Cole
Francois Rabelais|Love, having no geography, knows no boundaries.
Debasish Mridha|In life, never talk about problems. Talk about solutions.
Anthony Joshua|Scotland is my country, the nation that shaped me, that taught me my values. A nation whose achievements inspired and inspire me, a community whose failings drive me - drive my overwhelming desire to fight for social justice and equality.
Frauke Heyde|They asked me why I loved him, and I said: “Because he doesn’t remember how to love himself.
Sherwood Smith, Remalna's Children|Act'. How many good people do you really know? I discount those who mouth out platitudes for the edification of the young, and who truly are 'good', whatever that means?"What a strange subject, and from such a strange person!"Everyone I know is a mixture, some with more good than bad, and it varies on different days,
Monica O Montgomery|In diversity is life and where there's life there's hope, was the general sum of his creed, a modest one to be sure.
Jim Jensen|The definition of a relationship is like a shower. You walk in when it is cold, and comes out when it is too hot.
Adlai E. Stevenson|Beauty surrounds us, but usually we need to be walking in a garden to know it.
John McEnroe|As I'm getting older, I'm really learning unconditional love and loyalty are extremely important.
Bela Lugosi|Destiny is no matter of chance. It is a matter of choice. It is not a thing to be waited for, it is a thing to be achieved.
Katherine Heigl|Reminded of what a diet really is, I began eating more slowly, being more conscious of when I was full. I started to enjoy my buckwheat bread with goat cheese and pureed butternut-squash soup as a response to real hunger.
J. Richard Gott III, Time Travel in Einstein's Universe: The Physical Possibilities of Travel Through Time|If you see an antimatter version of yourself running towards you, think twice before embracing.
Charles R. Swindoll|Let your passion become a passionate pursuit of Me. And as you follow, the sheep will follow.' (John 21:20-22)
Mary Maina, The Proverbs 31 Lady: Unveiling Her Secrets Before Saying I Do|There is power in a Lady who trusts in God-a lady who has put all her eggs in God’s basket. Women possess some gift that touches the heart of God. This gift is so powerful that Jeremiah, the weeping prophet who was known for his great compassion found himself needing the intercession of women to tap into this power. The Lord asked Him to send for the women to let them take up wailing as God knew His ears are open to the cry of distressed women
Amit Kalantri|Foolish minds will entertain you, but confuse minds will irritate you.
Paul Walker|I think cool moments like winning a Grammy deserve a nice little party where you really soak it in and not have to work and stuff. I do remember throwing a party on that Grammy night, but it was work.
Donna Tartt, The Secret History|But walking through it all was one thing; walking away, unfortunately, has proved to be quite another, and though once I thought I had left that ravine forever on an April afternoon long ago, now I am not so sure. Now the searchers have departed, and life has grown quiet around me, I have come to realize that while for years I might have imagined myself to be somewhere else, in reality I have been there all the time: up at the top by the muddy wheel-ruts in the new grass, where the sky is dark over the shivering apple blossoms and the first chill of the snow that will fall that night is already in the air.
H.S. Crow, Lunora and the Monster King|Liar! I know that you humans build your life in lies. It starts with your mortal lords and their fabricated gods. They use fictitious stories to impregnate the minds of people, and like herds of sheep they do as their told. With manipulation alone is enough to secure their reign. After all, is it not in your nature to be wanted and purposeful? It is such an easy game to play. I have observed this falsehood accepted by fathers and mothers over and over again. The idiocy becomes one with their children, and they become the infrastructure that not only sedates but corrodes the soul with instructed conformity. In the end, lies are all that you are.
Neil Postman, Amusing Ourselves to Death: Public Discourse in the Age of Show Business|For no medium is excessively dangerous if its users understand what its dangers are. It is not important that those who ask the questions arrive at my answers or Marshall McLuhan's (quite different answers, by the way). This is an instance in which the asking of the questions is sufficient. To ask is to break the spell.
Billy Graham, Billy Graham in Quotes|Satan wants to lure us into his traps, and he knows exactly what kind of “bait” will appeal to us. He knows what we’re like, and he will attack us exactly where we are the weakest.
Delilah Marvelle, Prelude to a Scandal|Her unusual upbringing had made her worldly enough to understand that every female, no matter her genus and species, had the ability to physically coerce a male into full cooperation.And yes, she knew just the male to coerce.
Christopher Moore|If John Lennon was right that life is what happens when you're making other plans, parenthood is what happens when everything is flipped over and spilling everywhere and you can't find a towel or a sponge or your "inside" voice.
P.J. O'Rourke|Not responding is a response--we are equally responsible for what we don't do. In the case of animal slaughter, to throw your hands in the air is to wrap your fingers around a knife handle.
Emily Whitman, Wildwing|An alder tree can't become an oak at will. A maple can't pick up its roots like legs, and stride, step by powerful step, along the shore to find the sun. And everything that ever said otherwise--all those years of school, and the plays and moving pictures that promise you can be someone else, something more--they were all lies.
Tamora Pierce, Trickster's Choice|We build up pretty pictures of men, when we want to be in love. We hate to have them ruined.
Sergio Troncoso, Crossing Borders: Personal Essays|A library, no matter how big or small, is a careful balance of love and responsibility. A machine, if you will, cranked by those who care most about reading.
Tim Keel, Intuitive Leadership: Embracing a Paradigm of Narrative, Metaphor, and Chaos|In America religion is the road to knowledge, and the observance of the divine laws leads man to civil freedom.
James Jean-Pierre|It pains me to have all this knowledge and no one to share it with, I’d have to say its number 3 on my list. – Of what causes me the most pain.
Mary Jane Hathaway, Emma, Mr. Knightley, and Chili-Slaw Dogs|I'm not one of those academics that don't do shit but reads about it. The difference is, I do shit. I have a proof of concept and it works.
Kate Avery Ellison|I laughed under my breath, and it sounded bitter. “Listen to me. What am I talking about, worth it? Is any experience or bit of beauty worth the cost of my life? I know nothing but safety and self-preservation at all costs.”“And yet,” he said softly, “you’re risking everything to help me.
Evan Meekins, The Black Banner|He is a free man, not because is in a poition of political power and influence that you will never be able to achieve, and not because he has more character and heart in his fingertip than you have in your entire being, but because he is a man, and is thus entitled to be free.
Alistair Cross|.” I watched her sip at the drink some more. She was strong, healthy, but also petite enough that I was certain I could overpower her. I’d made the right decision not to tranquilize her, I thought. Slipping some powerful barbiturate into a mixed drink wasn’t something I was above, but it always felt like such a lost opportunity. I liked the fight, the tightening and clenching of a woman’s body as she writhed for freedom. I felt the slow swelling of arousal between my legs and made no effort to disguise it.
Darcy Coates, The Haunting of Blackwood House|Love yourself’ the social horde spouts from on high, mere moments later they frown at a bypassing narcissist.
Swami Dhyan Giten|Only when the seeker is lost, the truth is there. Seek, and you will miss. Seek not, and you will find. The very seeking becomes a barrier to truth, to the ultimate experience.
Mehmet Murat ildan|When you take a photo, you often take your own reality into your camera - the reality that you shaped in your mind - and not the real reality over there, whatever it is!
Compton Gage|Go thy way, and tell my people, the people of thy Lord God what manner of things, and how great wonders of the Lord thy God, thou hast seen.
Elizabeth Langston, Whisper Falls|Ben's words called to my heart. Instead of responding with terror, it opened like a fist uncurling, as though it had been waiting twenty-six years just to hear his voice.
M.A. George, Aqua|As one of the little streams starts snaking my way, inching closer to the toe of my shoe, I hop over the spreading puddle and out of its reach. I don’t look back to see if it’s going to follow me. I’m already three blocks away and still gaining speed
Kilroy J. Oldster, Dead Toad Scrolls|A fine line exists between quitting on ourselves and letting go of a restrictive position in life and moving forward to reach our ultimate destination based upon our natal predisposition honed by a lifetime of experimentation. Who has not been forced to stop and ask ourselves, ‘who are we,’ ‘what are we doing,’ and ‘where are we going?’ Who has not been forced to pause by life’s dynamic forces and ask ourselves, ‘what mystical chords bind us as a species; what is the meaning of life; and how do we give birth to our genetic blueprint while shaping a sense of purposefulness out of our own existence and striving to bring joy to other people’s hearth?’ To answer these life affirming questions that gnaw most voraciously at our consciousness at the time when tension and unsettling trauma besieges us, we must appreciate our heritage, be mindful our epoch, accept responsibility for our adult decisions, and strive to accumulate wisdom that segues our entrance into the future. Each of us must arrive at a unifying philosophy that guides our living quest, and the sooner we come to terms with our eccentric self the quicker we will perceive and appreciate the ineffable beauty of nature.
Keith Stuart, A Boy Made of Blocks|If she was liquid, she would drink her; if she was a gas, she would breathe her; if she was a pill, she would down her'; if she was a dress, she would wear her; a plate, she would lick her clean.
Rick Gualtieri, Holier Than Thou|This was shaping up to be the worst conference call of my life, even worse than that time I accidentally clogged the school toilet back in the first grade with my Boba Fett figure (I was pretending it was the Sarlaac pit).
Kilroy J. Oldster, Dead Toad Scrolls|Our life force is a form of flowing energy, a blast of verve renewed through our ongoing daily interactions and the inevitable collisions between the id and the ego.
Emile M. Cioran|When the imagination and will power are in conflict, are antagonistic, it is always the imagination which wins, without any exception.
Alexis Ohanian, Without Their Permission: How the 21st Century Will Be Made, Not Managed|You need three things to create a successful startup: to start with good people, to make something customers actually want, and to spend as little money as possible. Most startups that fail do it because they fail at one of these. A startup that does all three will probably succeed.' [Paul Graham]
J.R. Rim|In life you find pleasure. In life you find pain. Pain and pleasure is an example of the duality in life. Enjoy them both, they are part of the ride. The key is to not turn the pain into something else - regret.
Henry James|It is art that makes life, makes interest, makes importance, and I know of no substitute for the force and beauty of it's process.
Lionel Shriver, We Need to Talk About Kevin|Needing kindness myself, I am kinder now, and we get on amazingly well. [p. 110]
Walter Gropius|In architecture you should live for 150 years, because you have to learn in the first 75 years.
Jean Teulé, The Suicide Shop|She leaves, carrying a biodegradable carrier bag that reads THE SUICIDE SHOP on one side, and on the other: HAS YOUR LIFE BEEN A FAILURE? LET’S MAKE YOUR DEATH A SUCCESS!
David Miller|My reign is not yet over... you live, and my power is complete. Follow me; I seek the everlasting ices of the north, where you will feel the misery of cold and frost to which I am impassive. You will find near this place, if you follow not too tardily, a dead hare; eat and be refreshed. Come on, my enemy; we have yet to wrestle for our lives; but many hard and miserable hours must you endure until that period shall arrive.
Billy Graham, Billy Graham in Quotes|To be a disciple of Jesus means to learn from Him, to follow Him. The cost may be high.
Jennifer Echols, Endless Summer|Even if you break with me and crush my heart, I'm never getting back together with Dawn. I know that the world isn't flat now, I'm not going back.
Giorgos Seferis|Don't ask me who's influenced me. A lion is made up of all the lambs he's digested, and I've been reading all my life.
Markus Zusak, I Am the Messenger|Why can’t the world hear? I ask myself. Within a few moments I ask it many times. Because it doesn’t care, I finally answer, and I know I’m right. It’s like I’ve been chosen. But chosen for what? I ask.
Mitch Albom, Tuesdays with Morrie|when all this started, I asked myself, 'Am I going to withdraw from the world, like most people do, or am I going to live?'I decided I'm going to live---or at least try to live---the way I want, with dignity, with courage, with humor, with composure.
Anasazi Foundation, The Seven Paths: Changing One's Way of Walking in the World|The success of my journey depended on whether my heart walked forward—toward my people—instead of backward, away from them.
Marge Piercy|God invented concubinage, satan marriage.
Queen Rania of Jordan|If you really want change, you really want it to be inclusive, where everyone's included, otherwise you're just going to have more of the same in the future.
Ralph Waldo Emerson|. . .the home place is the safe haven, the convergence of waters, the place where the beloved dead are as real as the living.
Tim Floreen, Willful Machines|It made you wonder: How much of our lives was just luck or good timing, and how much was actually choice? How could it be that tiny serendipitous events could change everything? And if lucky events could change everything, could minor mishaps have the same power?
Pet Torres, Ardent Affection|Man often accords the sexual urge a merely biological significance and does not fully realize its true, existential significance - its link with existence. It is this link with the very existence of man and of the species Homo that gives the sexual urge its objective importance and meaning. This importance only emerges into consciousness when man is moved by love to take on himself the natural purpose of the sexual urge.
Benjamin Kane Ethridge|Some are taxed on their success, true. Some are taxed on their survival, also true.
Virginia McKevitt|King Yorandt to Kristina in book three of Fracture the Secret Enemy Saga~Secretsrelease date: Summer 2014 Even the master does not play perfectly. He can only hope to make fewer mistakes than his opponent, and that in the end, he is the victor. Sajah (chess) is a ruthless game where the pieces are all pawns and the Queen is the true killer. She spares no one to protect the king. The king however, is ruled by all of the pieces that lay before him, even his opponent. Every move is a decision that can change the whole board, and the endgame.
Ann Voskamp, One Thousand Gifts: A Dare to Live Fully Right Where You Are|Ultimately, if the Lord doesn’t build the house (or the Sunday school class, or the church, or the family, or the business, or the relationship, or ), we are laboring in vain anyway (Psalm 127:1). We release the burden of stress when we release the responsibilities for the outcome to the Lord.
Israelmore Ayivor, Daily Drive 365|Be passionate and become successful. Share your success, be it an information, income and emotions with someone who need them most. You are a success… Make an impact!
Claire Fullerton, A Portal in Time|If you do follow your bliss you put yourself on a kind of track that has been there all the while, waiting for you, and the life that you ought to be living is the one you are living. Follow your bliss and don't be afraid, and doors will open where you didn't know they were going to be. ” — Joseph Campbell
J.K. Rowling|There are plenty of eyewitness accounts, just because you're so narrow-minded you need to have everything shoved under your nose before you-
Robin Rose Bennett, The Gift of Healing Herbs: Plant Medicines and Home Remedies for a Vibrantly Healthy Life|Soulful healing asks, while you are healing your body with herbs from Earth, that you look for the meaning in what is happening within your body as it relates to your whole being.
Lucan|Dying is easy, it's living that scares me to death.
Sun Yat-sen|I happen to think it's the politics that makes you electable, but the reason for that is politicians sometimes talk about electability as if it's just a matter of conning the public. Actually, it's a matter of persuading the public, and in my experience, usually, the public gets it right.
Leo Tolstoy, Anna Karenina|Hypocrisy in anything whatever may deceive the cleverest and most penetrating man, but the least wide-awake of children recognizes it, and is revolted by it, however ingeniously it may be disguised.
Bernard Cornwell, The Winter King|But fate, as Merlin always taught us, is inexorable. Life is a jest of the Gods, Merlin liked to claim, and there is no justice. You must learn to laugh, he once told me, or else you'll just weep yourself to death.
Alexandre Dumas, The Count of Monte Cristo|Love is not always fireworks and magic. Often we’ll experience it in the form of patience, acceptance, loyalty, and mutual respect.
Cora Carmack, Faking It|Because you've got balls of steel.'I hated when people said that, like it assumed strength and being a male were synonymous. There was strength in being a woman. 'Spence, I don't have balls. Good thing, too, because they'd look terrible in the lingerie I'm wearing.
Victor Hugo|There are no veterans, only survivors.
Stephen Richards|You have two voices, one that only you hear, and another that you speak out loud with, so others hear you. Regardless of what you actually say with your mouth, what matters is what your inner voice says, for this is the one you listen to the most.
Alfred Stieglitz|— How do you make your pictures? — I don’t know, it’s not important.
James C. Dobson, Life on the Edge: A Young Adult's Guide to a Meaningful Future|What you feel, you can heal.
Patrick Ness, More Than This|Of course there are worlds. Millions of them! Every star you see has worlds, and most of those you don't see.
Kate Atkinson, A God in Ruins|There’s nothing wrong with an adult being a child, except whining like one.
Duncan Bannatyne, Anyone Can Do It|You can run a business any way you like, but you'll run it better if you build it around your strengths.
Robin Hobb, Assassin's Fate|If he ever wanted vengeance on me for all I did, he has it now. This is the worst thing he could do to me. Now I know how it feels to be left behind. As I left him.
Björk|We emphasize straightforwardness. You should be true to your feelings, and to your mind, expressing yourself without any reservations. This helps the listener to understand more easily.
Joseph B. Wirthlin|Nobody likes insurance companies, especially health insurance companies.
George Bernard Shaw, My Fair Lady|Metaphor isn't just decorative language. If it were, it wouldn't scare us so much. . . . Colorful language threatens some people, who associate it, I think, with a kind of eroticism (playing with language in public = playing with yourself), and with extra expense (having to sense or feel more). I don't share that opinion. Why reduce life to a monotone? Is that truer to the experience of being alive? I don't think so. It robs us of life's many textures. Language provides an abundance of words to keep us company on our travels. But we're losing words at a reckless pace, the national vocabulary is shrinking. Most Americans use only several hundred words or so. Frugality has its place, but not in the larder of language. We rely on words to help us detail how we feel, what we once felt, what we can feel. When the blood drains out of language, one's experience of life weakens and grows pale. It's not simply a dumbing down, but a numbing.
Hannah Harrington, Saving June|It's just nice, I guess. Knowing that someone else can put into words what I feel. That there are people who have been through things worse than I have, and they come out on the other side okay. Not only that, but they made some kind of twisted, fucked-up sense of the completely senseless. They made it mean something. These songs tell me I'm not alone. If you look at it at that way, music... music can see you through anything.
Stephen Hawking|For my part, I desire to see the time when education - and by its means, morality, sobriety, enterprise and industry - shall become much more general than at present, and should be gratified to have it in my power to contribute something to the advancement of any measure which might have a tendency to accelerate the happy period.
