|Stop chasing people who keep running away from your presence, because even if you succeed in catching them, sooner or later they would run away.
Orhan Pamuk, The Museum of Innocence|Abba Marcius said, 'If you rebuke someone and do it with anger, you have allowed a passion to control you. You have not saved anyone and have destroyed yourself'.
Israelmore Ayivor, Leaders' Watchwords|The rule for J.O.Y is Jesus, Others and You. You can’t have a perfect joy if all you think about is about how to groom your life!
Toni Morrison|Everything I've ever done, in the writing world, has been to expand articulation, rather than to close it.
Lord Robin|Chances are only 1% for success, need to give 99% efforts to achieve 1% Success...
William Styron|The good writing of any age has always been the product of someone's neurosis, and we'd have mighty dull literature if all the writers that came along were a happy bunch of chuckleheads.
Germany Kent|When you start loving yourself and respecting your time and energy, things will change. Get to know your worth, and your value will go up.
Martin Winterkorn|I think the best thing about being pregnant would definitely have to be seeing just my belly grow and seeing, like, wow, there is, you know, something inside of me.
Panashe Chigumadzi, Sweet Medicine|The house may have been impressive in stature, but having gasped as they drove up the driveway, she had been disappointed by the interior. It was so bare. Lacking in things. She was mystified by this invisible wealth and the austerity of the house.She didn’t understand Mrs Zvobgo, she was rich but chose to live, in Tsitsi’s opinion, like a pauper. She was clearly uninterested in buying things. Maybe it was because she had never known poverty. Tsitsi on the other hand felt she was well versed in it.Tsitsi, unlike Mrs Zvobgo, wasn’t above noveau riche vulgarities. She didn’t want any sort of English boarding school minimalism. She wanted more. She wanted things. Things . Things. Things. Many of them. That much she was willing to admit. She made a private decision then that she would change this when she became the woman of this household. She knew they said wealth whispered and rich shouted, but what good was having all that they did if she had to keep it like some sort of secret?
Alan Turing, Computing machinery and intelligence|Let us return for a moment to Lady Lovelace’s objection, which stated that the machine can only do what we tell it to do. One could say that a man can “inject” an idea into the machine, and that it will respond to a certain extent and then drop into quiescence, like a piano string struck by a hammer. Another simile would be an atomic pile of less than critical size: an injected idea is to correspond to a neutron entering the pile from without. Each such neutron will cause a certain disturbance which eventually dies away. If, however, the size of the pile is sufficiently increased, the disturbance caused by such an incoming neutron will very likely go on and on increasing until the whole pile is destroyed. Is therea corresponding phenomenon for minds, and is there one for machines? There does seem to be one for the human mind. The majority of them seem to be “sub-critical,” i.e. to correspond in this analogy to pilesof sub-critical size. An idea presented to such a mind will on average give rise to less than one idea in reply. A smallish proportion are supercritical. An idea presented to such a mind may give rise to a whole “theory” consisting of secondary, tertiary and more remote ideas. Animals’ minds seem to be very definitely sub-critical. Adhering to this analogy we ask, “Can a machine be made to be super-critical?
Kenneth Eade, Russian Holiday|War is hot, not cold.
Alain de Botton, The Art of Travel|We are humiliated by what is powerful and mean, but awed by what is powerful and noble.
Jennifer Echols, Endless Summer|Dorothy: Shut up, just shut up. You had me at "hello".- From Jerry Maguire, 1996
Michael Holbrook, Dear You, Live! Love, Life: Awaking your spirit, overcoming fears & excuses, and living a purposeful, fulfilling life.|Would you rather be a fish out of water or a fish afraid of water?The fish out of water will experience a short, exhilarating experience but will quickly die. The fish afraid of water will exist but not live.Either way, you’ll eventually die.Choosing a path is rarely easy, but it's something we all ultimately do; whether by choice or as a spectator. Either way, water continues to flow. With or without you.
Lorii Myers, No Excuses, The Fit Mind-Fit Body Strategy Book|Think in terms of opportunities and solutions instead of problems, disappointment, and failure.
Richard Carmona|I got into medical school at the University of California in San Francisco and did well. A lot of smart kids in medical school, and believe me, I wasn't not nearly the smartest one, but I was the most focused and the happiest kid in medical school. In 1979, I graduated as the valedictorian and was honored with the Gold Cane Award.
Rosabeth Moss Kanter|Your most precious, valued possessions and your greatest powers are invisible and intangible. No one can take them. You, and you alone, can give them. You will receive abundance for your giving.
Fredrik Backman, Beartown|The very worst events in life have that effect on a family: we always remember, more sharply than anything else, the last happy moments before everything fell apart.
Karen Marie Moning, Kiss of the Highlander|...When a man first awakens, it sometimes takes several moments before he starts thinking clearly.""And here I thought it took several years, perhaps a lifetime for the average man's intellect to kick in.
James Allen|I do not know whether I was then a man dreaming I was a butterfly, or whether I am now a butterfly dreaming I am a man.
Pearl Zhu, Digital Capability: Building Lego Like Capability Into Business Competency|Managing change is no longer a one-time initiative, and change management turns to be a strategical ongoing capability in today’s digital organizations.
Virginia Woolf, The Waves|When the person whom you always loved never loves you back, then you love the person who loves you, thinking it would be easy. But pretending love to someone you don't love is as difficult as actually loving someone who never loved you back.
Meghan Tifft|If we must encounter each other, let’s do it the old way—in the dark, by the fire, our breaths bated, the world a big black mystery beyond us.
Michelle Madow, The Secret Diamond Sisters|The pain of hunger beneath everything. At the end of all love-making, the dreamless sleep after the orgasm, which is like death.
Anna Barnes, How to Be Confident|It is quite possible that, even if you set the most relevant, realistic goals, you may not achieve them in the way or the time you wanted to. Life may throw something unexpected in your path, which stops you from achieving what you want, when you want. This is not failure. Feeling like you have failed is bound to lead to low mood, and can often come about if things haven't quite gone according to plan. However, the best thing to do is to draw a mental line under the experience, learn from what has happened and try again. As long as you are still trying, you are working towards your long-term aims; and as long as you are doing that, you are never truly failing.
Olivier Theyskens|For me, I exercise every morning. I exercise every day. I work out about an hour and 20 minutes, which is aerobics and resistance training. I work on agility and balance. I work on the things that are going to help my condition. I do agility training. I walk on a treadmill. I use an elliptical. I use weights.
Cynthia Hand, Hallowed|To be real successful, you must decide exactly what you want to accomplish; then resolve to pay the price to get it.
Alexander McCall Smith, Friends, Lovers, Chocolate|Pip, dear old chap, life is made of ever so many partings welded together, as I may say, and one man’s a blacksmith, and one’s a whitesmith, and one’s a goldsmith, and one’s a coppersmith. Diwisions among such must come, and must be met as they come. If there’s been any fault at all to-day, it’s mine. You and me is not two figures to be together in London; nor yet anywheres else but what is private, and beknown, and understood among friends. It ain’t that I am proud, but that I want to be right, as you shall never see me no more in these clothes. I’m wrong in these clothes. I’m wrong out of the forge, the kitchen, or off th’ meshes. You won’t find half so much fault in me if you think me in forge dress, with my hammer in my hand, or even my pipe. You won’t find half so much fault in me if, supposing as you should ever wish to see me, you come and put your head in at the forge window and see Joe the blacksmith, there, at the old anvil, in the old burnt apron, sticking to the old work. I’m awful dull, but I hope I’ve beat out something nigh the rights of this at last. And so God bless you, dear old Pip, old chap, God bless you!
Richelle E. Goodrich, Making Wishes|I think that certain emotions can compromise you when you’re at war. If you stop to mourn the dead, or even to breathe in what you’ve done, you’ll be dead as well. Your brain goes to a primitive region, one inaccessible to feelings beyond pure anger and pure fear. Your brain is reduced to two impulses: fight or flight. Kill or be killed. No room for more delicate feelings. No room for a soul. All you’re thinking about is how to maneuver your body in space so it will survive.
John Wycliffe|On the one hand, she is cut off from the protection awarded to her sisters abroad; on the other, she has no such power to defend her interests at the polls, as is the heritage of her brothers at home.
Justin K. McFarlane Beau|Want to go to West Virginia and risk life and limb with me?"Zane smirked and gave a single nod. "Sounds like fun.
Marilyn Vos Savant|What is addiction, really? It is a sign, a signal, a symptom of distress. It is a language that tells us about a plight that must be understood.
Harry Kane|Some people have that school of thought where fitness isn't enjoyable, but we're making it enjoyable, I think, by making it more fun, challenging, and engaging rather than this boring thing that you have to do. It's about using technology and data to change this experience.
Catherynne M. Valente, The Bread We Eat in Dreams|This is not a lie: Memory has the taste and texture of cooked meat. Eat it and live. Remember, but only what it is licit to remember.In Aerograd, the word for meat and memory are the same.
Emily Rapp, The Still Point of the Turning World|Tucked inside the moments of this great sadness - this feeling of being punctured, scrambling and stricken - were also moments of the brightest, most swollen and logic shattering happiness I've ever experienced. One moment would be a wall of happiness so tall it could not be scaled; the next felt like falling into a pit of sadness that had no bottom. I realized you could not have one without the other, that this great capacity to love and be happy can be experienced only with this great risk of having happiness taken from you - to tremble, always, on the edge of loss.
Anthony T. Hincks|When we turn to the heavens to look for inspiration, we miss the most important piece, and that is the person right there next to us.
Carolyn E. Cobelo|She told me it was unlucky to share a reading with others, but the main point, the one I don't mind mentioning because it seems relevant to the story, is that she said I had a kind of evil spirit following me. 'Obviously,' she added, 'that sucks. But if we get you some amber—
Tom Robbins, Skinny Legs and All|Beauty! Wasn't that what mattered? Beauty was hardly a popular ideal at that jumpy moment in history. The masses had been desensitized to it, the intelligentsia regarded it with suspicion. To most of her peers, 'beauty' smacked of the rarefied, the indulgent, the superfluous, the effete. How could persons of good conscience pursue the beautiful when there was so much suffering and injustice in the world? Ellen Cherry's answer was that if one didn't cultivate beauty, soon he or she wouldn't be able to recognize ugliness. The prevalence of social ugliness made commitment to physical beauty all the more essential. And the very presence in life of double-wide mobile homes, Magic Marker graffiti, and orange shag carpeting had the effect of making ills such as poverty, crime, repression, pollution, and child abuse seem tolerable. In a sense, beauty was the ultimate protest, and, in that it generally lasted longer than an orgasm, the ultimate refuge. The Venus de Milo screamed 'No!' at evil, whereas the Spandex stretch pant, the macrame plant holder were compliant with it. Ugly bedrooms bred ugly habits. Of course, it wasn't required of beauty that it perform a social function. That was what was valuable about it.
John Connolly, The Gates|It's such a huge arrogance to love someone, and there's too much of it around. There's too much love in this world. Sometimes I think that's what heavens is-- a place where everybody's happy because nobody loves anybody else, ever.
Lawren Leo, Love's Shadow: Nine Crooked Paths|The earth is a mosaic, and most fail to notice the gossamer tesserae floating down from the realm of the mind that form its images of beauty and horror.
Marge Kennedy|"The whole world loves a lover" is an interesting theory  but a very bad legal defense.
Maya Angelou|Find a beautiful piece of art. If you fall in love with Van Gogh or Matisse or John Oliver Killens, or if you fall love with the music of Coltrane, the music of Aretha Franklin, or the music of Chopin - find some beautiful art and admire it, and realize that that was created by human beings just like you, no more human, no less.
Keith Caserta|If you don't want to be in an argument with someone, it is probably best to try to solve the problem, rather than lying around hoping the other person will do it for you.
B. Dave Walters|Decide and communicate what you are for, what you support – not what you are against.
V.S. Carnes, Sand for Dreams|Kas was right: a woman could destroy a man. This one could do so, simply by knowing his name. She could do so, simply with her eyes.
Eiichirō Oda|If I can't even protect my captain's dream, then whatever ambition I have is nothing but talk! Luffy must be the man who becomes the Pirate King!Roronoa Zoro
John Wells|As people, we're generally optimistic, no matter how disabled our lives are, and we find the humor in the darkest situations.
Luke  Taylor, The Quiet Kill|Writers are like onions, layers upon layers upon layers.
Jojo Moyes, Me Before You|Most people believe the journey they begin with Christ goes forward, but that is not how he works. A spiritual life is not cutting ties with people, in order to walk clean in the future. The journey home isn't running away from obstacles. It is learning to stand where you are now and handle people, assert yourself, set boundaries and never feel your happiness is dependent on another person's approval of your choices, beliefs or spiritual needs.
Martin  Hopkins, Cracks in the Pavement|The slick concrete reflected the facades of the work weary - grey, cracked and old,but more importantly, trodden upon.
Keysha Jade, Intoxicated stained tears|Dear Woman,You are a beautiful flower of earth, allow the rain to feed you the same strength as the sun. Don't stop growing through the storms, they are sent to test how solid your soil is not too destroy your roots.
Jaime Allison Parker, The Delta Highway|[T]hat's the way of torturers of every age, to put the blame on the victim, especially when he strikes back.
Andy Stanley, Fields Of Gold|Any fear associated with giving to God's kingdom is irrational. It's on par with a farmer who, out of fear of losing his seed, refuses to plant his fields.
E. Jamie, The Betrayal|Bree stared down at Bernardo’s still form. The monitor was the only sound in the room apart from his deep breathing. Alessandro had gone down to the cafeteria with Will and Gianni to grab something to eat before they left for home. Bree lied and told him that she wanted to check in with Tina and her mother Roxanna for a few minutes before they left. Even unconscious, the son of a bitch was formidable and Bree felt nervous around him. “Why don’t you do everyone a favour and just die already?” Bree said. No response. Bree sneered and shook her head, turning to leave. “You could always smother me with a pillow,” a groggy voice said behind her, making her heart nearly stop. Bree whirled around wide-eyed and met Bernardo’s dark gaze. She forced herself to shrug and crossed her arms. “Do you think Alessandro would forgive you for murdering his father?” Bernardo asked. They both knew the answer to that.
James S.A. Corey, Abaddon's Gate|A man would die tonight of lying out on the marshes, I thought. And then I looked at the stars, and considered how awful it would be for a man to turn his face up to them as he froze to death, and see no help or pitty in all the glittering multitude.
Sandhya Menon, When Dimple Met Rishi|When the finally pulled apart, Rishi's mouth tingling still, Dimple smiled shyly and looked down at their hands, entwined between them on the bench. "So," she said softly. "That was unexpected."He leaned over and kissed her forehead, like it was the most natural thing to do. Was this going to be their thing now, casual kissing? He hoped so. "Unexpected but awesome." Rishi paused. "Right?"She laughed and looked up at him. "Definitely."He grinned, his heart soaked in happy.
Kellen Roggenbuck|As Christians we are called to make disciples of all the nations, meeting them where they are and serving them in ways that are relevant and meaningful. That is the challenge: as the church, to remain relevant and meaningful, in efforts to reach all people where they are in a way they need.
Terry Pratchett, Dodger|His August Majesty chided the bureaucrats for failing to understand a simple principle: the principle of the second bag. Because the people never revolt just because they have to carry a heavy load, or because of exploitation. They don't know life without exploitation, they don't even know that such a life exists. How can they desire what they cannot imagine? The people will rvolt only when, in a single movement, someone tries to throw a second burden, a second heavy bag, onto their backs. The peasant will fall face down into the mud - and then spring up and grab an ax. He'll grab an ax, my gracious sir, not because he simply can't sustain this new burden - he could carry it - he will rise because he feels that, in throwing the second burden onto his back suddenly and stealthily, you have tried to cheat him, you have treated him like an unthinking animal, you have trampled what remains of his already strangled dignity, taken him for an idiot who doesn't see, feel, or understand. A man doesn't seize an ax in defense of his wallet, but in defense of his dignity, and that, dear sir, is why His Majesty scolded the clerks. For their own convenience and vanity, instead of adding the burden bit by bit, in little bags, they tried to heave a whole big sack on at once.
Vishwas Chavan|Life is something that really cannot be explained. It got to be experienced! For experiencing life to its fullest an attitudes of openness, gratefulness, happiness, flexibility are required. But most of all 'being in love' is crucial to live life to its fullest potential.
Dorothy Thompson|We will not waver; we will not tire; we will not falter, and we will not fail. Peace and Freedom will prevail.
Ally Condie, Atlantia|Sometimes you can't speak, not because others won't let you, but because you are afraid of what you'll say.
Sylvia Dolson, Joy of Bears|Mother Nature is our teacher—reconnecting us with Spirit, waking us up and liberating our hearts. When we can transcend our fear of the creatures of the forest, then we become one with all that is; we enter a unity of existence with our relatives—the animals, the plants and the land that sustains us.
Rachel Joyce, The Music Shop|Like music, said Peg. Even when it was over, it kept living inside you.
Ainslie Hogarth|Perhaps they suspected that I thought less of them because I knew it. (I'm too aware of human frailty to have let that happen. If anything, I thought more of them for wanting to face up to what they had done and for trying to change.)
Ramakrishna|As long as I live, so long do I learn.
Alia Mamdouh, The Loved Ones: A Modern Arabic Novel|I really like you better aimless and lost among people, a little crazy, oddball, not looking like yourself. So that I don't know you at all and the nearer I get to you the more you separate yourself from me-- I get dizzy trying to follow you and I have to work really hard-- and that's what I want!
Kilroy J. Oldster, Dead Toad Scrolls|Humankind’s struggle against a hostile environment causes people throughout the ages to deploy their full armory of logic, training, strategy, imagination, inventiveness, and creativity. We are born with the natural ability to strategize. The most influential tool in humankind’s intellectual tool kit is the ability to regenerate a sense of unruffled alertness, to establish a poised stance that leads to intuitive discoveries generated by the conscious and unconscious mind constantly filtering a plethora of data, selecting critical facts, and producing elegant solutions to seemingly insoluble dilemmas.
Slavenka Drakulić, Frida's Bed|She was convinced the demonic pain she had suffered in her leg as a child had been in some sort of preparation for the accident. Engraved in her memory was how she had been left speechless by the first attack. She had yet to accept that pain cannot be expressed in words but only in inarticulate screams. It took time before she could put brush to canvas, and still more time before she could paint pictures that screamed. In place of the screams themselves. In place of verbal descriptions. She owed it to her father, she thought, to the frantic look in his eyes which she would never forget, and to his words: 'Tell me, tell me!
Leon Festinger|I prefer to rely on my memory. I have lived with that memory a long time, I am used to it, and if I have rearranged or distorted anything, surely that was done for my own benefit.
Jonathan Edwards|If I murmur in the least at affliction, if I am in any way uncharitable, if I revenge my own case, if I do anything purely to please myself or omit anything because it is a great denial, if I trust myself, if I take any praise for any good which Christ does by me, or if I am in any way proud, I shall act as my own and not God’s.
Susan Samaroo|Time stops for no one, and if we allow ourselves to focus on the negative we might miss out on some really amazing things that life has to offer. We can't go back to the past, we can only take the lessons that we have learned and the experiences that we have gained from it and move on. It is because of the heartaches, as well as the hardships, that in the end help to make us a stronger person.
Paula Altenburg, Her Secret, His Surprise|She was licking something off the end of a wooden spoon. Red froze. His body reacted as if he'd walked in on her twirling half-naked on a pole....Frankie was intriguing. Unsettling. Challenging He wanted to figure her out. He wanted to play strip poker with her. He wanted to throw her on the couch and ---"A touch more oregano, I think." Frankie pointed the spoon at him.
Colin S. Smith, The 10 Greatest Struggles of Your Life|Every great scientific truth goes through three stages. First, people say it conflicts with the Bible. Next they say it has been discovered before. Lastly they say they always believed it.
Sumangali Morhall, Auspicious Good Fortune: One woman's inspirational journey from Western disillusionment to Eastern spiritual fulfilment|There have been bleak nights along my way, many of my own making, but life is all the brighter for them now. To the human eye, without the darkness there are no stars.
Albert Camus, The Stranger|That was unthinkable, he said; all men believe in God, even those who reject Him. Of this he was absolutely sure; if ever he came to doubt it, his life would lose all meaning.
Lailah Gifty Akita|Is worth for a man to lose his soul, and gain worldly wealth?
Louie Gohmert|The strength of a civilization is not measured by its ability to fight wars, but rather by its ability to prevent them.
Stephen Wright|A lot of people ask me if I were shipwrecked, and could have only one book, what would it be? I always say, "How to Build a Boat.
Melissa Cutler, Tempted into Danger|How much the pain grew inside him after Ossie died until the only way to deal with it was to throw himself into the fray. And the whole time, Vanessa's body was wrapped around him like she was the only one being strong as a shield while he stripped his life bare.
LaMar Boschman|When I worship, I would rather my heart be without words than my words be without heart. 
Steve Sanchez, Rethinking Redemption|Contemplate for a moment hiking up a wild and rugged mountain. The mountain itself is a challenge, as well as the experience of beauty and danger. To reach the top, a person must persevere. The higher one goes up the mountain the more one can see of the landscape around. There is, in seeing an expansive view, a natural delight and exhilaration that anyone who makes the effort feels. This natural delight corresponds to the spiritual joy of gaining a higher perception of life. Mountains correspond to heaven. The delight of gaining an elevated view on a mountain is the reflection (correspondence) of spiritually gaining wisdom in one’s soul.
Anthony Marais|Advanced weaponry, victories in battle and space travel do not an advanced species or civilization make.
Dr. Katie Canty|Sometimes, time takes you the direction it wants you to travel. -Finn Foster
Seyyed Hossein Nasr|They will envy you for your success, your wealth, for your intelligence, for your looks, for your status - but rarely for your wisdom.
Terry Pratchett, Making Money|People who cannot restrain their own baser instincts, who cannot treat one another with civility, are not capable of self-government... without virtue, a society can be ruled only by fear, a truth that tyrants understand all too well
Kelly McGillis|I always tell people, anger is like liquid. It's fluid, it's like water. You put it in a container and it takes the shape of that container. So many people you see in prison, unleashing war on their people, they are angry, and they take their anger and put it into a violent container.
Justin Theroux|If China stood on an equal basis with other nations, she could compete freely with them in the economic field and be able to hold her own without failure. But as soon as foreign nations use political power as a shield for their economic designs, then China is at a loss how to resist or to compete successfully with them.
Brittany Noel Bostic, The Fight|What is the difference? Tell me what is the difference between you and me. We both kill for what we want," the man asks."We lived here first.
Tennessee Williams, A Streetcar Named Desire|I’ve always wondered why love has to be so full of conflict and strife. Why can’t love be simple? Why can’t it just be as pure as two people who realize that they can’t live as well, or as happily, apart as they can together?
- Larken Rose|As for wealth, we live in a civilization which piously denies that it is an end in itself, and treats it exactly this way in practice. One of the most powerful indictments of capitalism is that it compels us to invest most of our creative energies in matters which are in fact purely utilitarian. The means of life become the end. Life consists in laying the material infrastructure for living. It is astonishing that in the twenty-fi rst century, the material organization of life should bulk as large as it did in the Stone Age. The capital which might be devoted to releasing men and women, at least to some moderate degree, from the exigencies of labour is dedicated instead to the task of amassing more capital.
Bertrand R. Brinley, The Big Chunk of Ice: The Last Known Adventure of the Mad Scientists' Club|Whenever a river reaches the ocean, it waits to go back..
Tupac Shakur|I always wondered and perplexed about me not getting any attention for whatever good I did or keep doing in my personal and professional life. Finally, I found the gem of an answer. It was just that I was doing good for the wrong reason and not trying to do the best for the rightful reason.
John Green|Writing is something you do alone. Its a profession for introverts who want to tell you a story but don't want to make eye contact while doing it.", Nerdfighteria Wiki, January 17, 2012]
Jim Britts, To Save a Life|But God made us to life in community, to laugh and cry. To hurt and to celebrate with each other, no matter what were going through.And transformation is tough, and we dont always end up where we think we will.But we have to remember, that even when we struggle to believe in Him, He always believes in us.He fills our lives with purpose and passion, if we just let Him.And the best part of the journey, is that the God of the universe, sometimes allows us to play a part in changing the world.
Cristina Marrero|We never know when our last day on earth will be. So, love with full sincerity, believe with true faith, and hope with all of your might. Better to have lived in truth and discovered life, than to have lived half heartedly and died long before you ever ceased breathing. 
Julie Kagawa, The Iron Knight|You could be David's friend too". She glanced at Tamani when he said nothing. He was frowning. "The two of you really have a lot in common, and we're all in this together".He shook his head. "It wouldn't work"."Why not? He's a nice guy. And it would do you good to have some human friends", she said hinting at what she suspected was the root of the problem. "It's not that", Tamani said, gesturing vaguely with one hand."Then why?" Laurel asked, exasperated."I just don't want to cosy up to the guy whose girl I have every intention of stealing
Lindsay Duncan|Led by a new generation of edgy sportswriters like Lipsyte, we found new purpose in the great issues of the day - race, equal opportunity, drugs, and labor disputes. We became personality journalists, medical writers, and business reporters.
Edna O'Brien, In the Forest|Darkness is drawn to light, but light does not know it; light must absorb the darkness and therefore meet its own extinguishment.
Harry S Truman|An honest man speaks the truth, though it may give offence; a vain man, in order that it may.
Kermit Roosevelt III, Allegiance|I feel an emptiness open in my chest, coupled with a strange downward pull in my throat. I think, this is my heart sinking.
Oscar Wilde, The Importance of Being Earnest|The only way to behave to a woman is to make love to her if she is pretty, and to someone else if she is plain.
Stefon Diggs|After 25-plus years as a lawyer, prosecutor, and defense attorney, I have developed a deep appreciation for both the wisdom of the law and the role that jurists play in framing the rights and responsibilities that define our society.
Joan D. Vinge, The Snow Queen|How time slips past, masked in the rhythm of the days!
Robyn Carr, Sunrise Point|Tom. Tom, look at me. Has Nora agreed to marry you?""No, but she will because she has to.
Wu Ming-Yi, The Man with the Compound Eyes|In all honesty, I don’t envy you the possession of this power over memory, nor do I admire you. Because humans are usually completely unconcerned with the memories of other creatures. Human existence involves the willful destruction of the existential memories of other creatures and of your own memories as well. No life can survive without other lives, with the ecological memories of other living creatures have, memories of the environments in which the live. People don’t realize they need to rely on the memories of other organisms to survive. You think that flowers bloom in colorful profusion just to please your eyes. That a wild boar exists just to provide meat for your table. That a fish takes the bait just for you sake. That only you can mourn. That a stone falling into a gorge is of no significance. That a sambar deer, its head bent low to sip at a creek is not a revelation . . . When in fact the finest movement of any organism represents a change in an ecosystem.” The man with the compound eyes takes a deep sign and says: “But if you were any different you wouldn’t be human.
Ralph Waldo Emerson|What a stupendous, what an incomprehensible machine is man! Who can endure toil, famine, stripes, imprisonment and death itself in vindication of his own liberty, and the next moment . . . inflict on his fellow men a bondage, one hour of which is fraught with more misery than ages of that which he rose in rebellion to oppose.
Brenna Yovanoff, Paper Valentine|I wanted her and only her.I wanted to be a part of her storm. I wanted to feel my pulse against hers.I wanted the bitter on her sweet tongue. I wanted the sadness in her sweet syrup eyes. I wanted the silence in her screaming mind and the enigma that is really quite simple- a complicated happiness. I wasn't willing to let go. I was falling completely, forever, into solid fucking love that was swimming through my veins. I wanted to be the breath in her mouth and the rhythm in her chest that would beat only for me.
Matshona Dhliwayo|If you chase a butterfly, it will escape;if you feed it, it will come.
Stephen Batchelor, Confession of a Buddhist Atheist|Buddhism does not deny the existence of gods—they are described as powerful beings who can bring rains and victories—but they have no influence on the law that suffering arises from craving. If the mind of a person is free of all craving, no god can make him miserable. Conversely, once craving arises in a person's mind, all the gods in the universe cannot save him from suffering.
Rick Riordan, The House of Hades|Nico drew his sword. His smile was even more unsettling than his scowl."Underground," he said. "My favorite p
Latika Teotia|So caught up are we in our daily chores, our worries, anxieties, tensions and problems that we hardly notice the magnificence and splendor around us. Make a very conscious effort to see something beautiful around you; just gazing at small beauties fills us with peace. Unless we do that we’ll continue to be caught in this web of anxiety. There is so much joy to be seen in the antics of children as they go about playing unmindful of the people around them. An excited dog on a leash dragging its owner, the crazy jump of a monkey from one tree to another, squirrels playing hooky pokey trying to dodge the prying eyes of human beings are all out there for you to enjoy. Just put the pause button on your routine, take time off to stand and notice; you’ll be filled with so much joy and peace. So start taking delight in little things and appreciate small blessings.
Terri Windling|For some young artists, it can take a bit of time to discover which tools (which medium, or genre, or career pathway) will truly suit them best. For me, although many different art forms attract me, the tools that I find most natural and comfortable are language and oil paint; I've also learned that as someone with a limited number of spoons it's best to keep my toolbox clean and simple. My husband, by contrast, thrives with a toolbox absolutely crowded to bursting, working with language, voice, musical instruments, puppets, masks animated on a theater stage, computer and video imagery, and half a dozen other things besides, no one of these tools more important than the others, and all somehow working together. For other artists, the tools at hand might be needles and thread; or a jeweller's torch; or a rack of cooking spices; or the time to shape a young child's day....To me, it's all art, inside the studio and out. At least it is if we approach our lives that way.
Richard S. Hartmetz|The desolate narrowness, the definitive thinness of experience is both the vainglory and the dead giveaway of a provincial man.
Mollie King|The bed is a bundle of paradoxes: we go to it with reluctance, yet we quit it with regret; we make up our minds every night to leave it early, but we make up our bodies every morning to keep it late.
Satoshi Kanazawa, Social Class & Social Policy|There are certain questions that scientists may not ask, or, more accurately, for some questions, there are certain answers that scientists must a priori preclude from consideration.
James Hollis, What Matters Most: Living a More Considered Life|But above all, in order to be, never try to seem.
Charbel Tadros|Even if life has no purpose, it doesn’t mean that yours shouldn’t have one either. The universe will not care either way.
Patrick Süskind|To be thoroughly conversant with Man’s heart, is to take our final lesson in the iron-clasped volume of Despair
Ilchi Lee, Change: Realizing Your Greatest Potential|Consciousness is not confined within an individual brain. Otherwise, how can it cause changes in the physical state of things outside the brain?
Kenneth Cook, Wake in Fright|I think fear neutralizes alcohol, weakens its anesthetic power. It's good for small fears; your boss, your wife, your bills, your dentist; all right then to take a drink. But for big ones it doesn't do any good. Like water on blazing gasoline, it will only quicken and compound it. It takes sand, in the literal and the slang sense, to smother the bonfire that is fear. And if you're out of sand, then you must burn up.("New York Blues")
Thomm Quackenbush, Pagan Standard Times: Essays on the Craft|When I see the moon on a clear night, I do say "blessed be" and I remind myself to be grateful to the universe that I happen to exist in such a lovely and wondrous world, even and especially as I can rattle on about magma cooling, abiogenesis, and natural selection.
Jonathan Haidt, The Righteous Mind: Why Good People are Divided by Politics and Religion|My view [is] that what morality boils down to is, 'Don’t harm, and do help.' And now the question is, 'Can creatures like chickens and cows be harmed?' And the answer is, 'Of course they can.' Consequently, I think it’s immoral to harm them. And that seems to me to provide a very strong moral reason to be vegetarian, to not wear leather... it seems to me that our treatment of animals is morally appalling... and that we ought to radically revise the way we live, precisely because they feel pain, they can be hurt, and we’re constantly hurting these creatures!
Fyodor Dostoyevsky|Does it matter whether it was a dream or a reality, if the dream made known to me the truth?
Mehmet Murat ildan|Similar souls wander in the similar places! They may not know each other, but often they touch the same winds, they step on the same leaves, their looks are lost in the same horizons!
Sunday Adelaja|God created you to be a great, special, and distinguished individual among others, for you to accomplish that which God has put in you
Jill Hathaway, Slide|If you want change and don’t make choices that reflect the change, you are making a choice to keep things the same.
Stephen King, Revival|The mirror's light sparks in the eyes,And horrified, my lids drawn tight,I step back to that realm of nightWhere not a single exit lies...(Untitled: "I pass away this life of mine...")
Eric Chaisson, Epic of Evolution: Seven Ages of the Cosmos|The universe (which others call the Library) is composed of an indefinite, perhaps infinite number of hexagonal galleries.
Billy Graham, Billy Graham in Quotes|Within the New Testament, there is no indication that Christians should expect to be healthy, wealthy, and successful in this present age.
George Orwell, 1984|She had had her momentary flowering, a year, perhaps, of wildrose beauty, and then she had suddenly swollen like a fertilized fruit and grown hard and red and coarse, and then her life had been laundering, scrubbing, laundering, first for children, then for grandchildren, over thirty years. At the end of it she was still singing.
Dada Bhagwan|The person who wants to progress on the path of Vitrag (the enlightened ones), should keep the focus of the awareness to progress from the non-auspicious (bad) to the auspicious (good). And if one wants to go to final Liberation [moksha], he should keep ‘pure focus as the Self (Soul)’ (shuddha upayog). The person, who wants to go to Moksha, should not concern himself with the auspicious (good) or the inauspicious (bad). He should keep them both as the things to be cleared out.
Mensah Oteh|Hard work is the foundation of the abundant life, and sacrifice is needed to make it reality.
Rodman Philbrick|I've been fascinated with technology since I was a boy banging around on my father's adding machine. Back then I'd type in an equation, the device made some cool noises, and out came my answer. I was hooked.
Mary Oliver, Wild Geese|I read the way a person might swim, to save his or her life. I wrote that way too.
