Dick Van Dyke, Keep Moving: And Other Truths About Living Well Longer|Aging is scary but fascinating, and great talent morphs in strange and often enlightening ways.
Seneca, Letters from a Stoic|A woman is not beautiful when her ankle or arm wins compliments, but when her total appearance diverts admiration from the individual parts of her body.
Nicholas Sparks, Safe Haven|You look especially beautiful this morning, Monza."That brought a smile to the corner of her mouth. The corner he couldn't see. "Well. Facts are facts.
Dave Pelzer, Help Yourself: Finding Hope, Courage, And Happiness|Its all a matter of weeding out the bad and cultivating more productive thoughts. And just like pulling weeds, you have to get to the root otherwise that weed, the self-doubt, that negative programming, will spring back up and shoke off the flower that can blossom for you in the future.Be consistent. Apply that "weed off" whenever you feel the need. Every day see the brighter side of things. Continually tell yourself how lucky you are, how good your life is right now, and how things can only get better
Sylvia Day, Bared to You|I don’t mind working, holding my ground intellectually, artistically; but as a woman, oh, God, as a woman I want to be dominated. I don’t mind being told to stand on my own feet, not to cling, be all that I am capable of doing, but I am going to be pursued, fucked, possessed by the will of a male at his time, his bidding.” …Anias Nin
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|Though I think and speak of greater becoming, I, too, am an infinite work in progress.
J.K. Rowling, Harry Potter and the Chamber of Secrets|Thinking very often resembles napping, but the intent is different. --Stephanie Plum
Yves Behar|Electricity is an example of a general purpose technology, like the steam engine before it. General purpose technologies drive most economic growth, because they unleash cascades of complementary innovations, like lightbulbs and, yes, factory redesign.
Patch Adams|For the triangle to really work, everybody needs to be on the same page and know how to play it.
Albert Camus, The Fall|Has all the trappings of a mystery novel, doesn't it?
Meredith Duran, Written on Your Skin|Miss Masters was not content with threatening to hire away his staff, oh no. First, she had to perfume it.
Haruki Murakami, The Wind-Up Bird Chronicle|As soon as I sat down across from her, she ordered me to put the entire contents of my pants pockets on the table. I did as I was told, saying nothing. My reality seemed to have left me and was now wandering around nearby. I hope it can find me, I thought.
José Saramago, Death with Interruptions|Words have their own hierarchy, their own protocol, their own artistic titles, their own plebeian stigmas.
Chuck Palahniuk, Invisible Monsters|Game shows are designed to make us feel better about the random, useless facts that are all we have left of our education.
Adam Hochschild|So eager were its officials that the German government had telegraphed its ambassador in St. Petersburg two declarations of war to be delivered to Russia's foreign minister: one if Russia did not reply to its ultimatum, the other rejecting the Russian reply as unsatisfactory. In his haste and confusion, the ambassador handed over both messages.
Richard Paul Evans, Lost December|Armed with my positive attitude and inherent stubborn nature, I keep my mind focused and my life moving forward. I stop to rest, pout and even cry sometimes, but always, I get back up. Life is giving me this challenge and I will plow through it, out of breath with my heart racing if I have to.
Alan Bennett, The Uncommon Reader|...to her all books were the same and, as with her subjects, she felt a duty to approach them without prejudice...Lauren Bacall, Winifred Holtby, Sylvia Plath - who were they? Only be reading could she find out.
Christina Milian|When I think of the definition of cool and when I look at people, John Travolta is really the definition of cool because, not only is he great in all his movies, but, as a person, he's just really cool.
Victoria Stoklasa, Sign It Into Law: How to Put Your Petition on the Ballot|Yet the possibility of information storage, beyond what men and governments ever had before, can make available at the touch of a button a man's total history (including remarks put on his record by his kindergarten teacher about his ability and character). And with the computer must be placed the modern scientific technical capability which exists for wholesale monitoring of telephone, cable, Telex and microwave transmissions which carry much of today's spoken and written communications. The combined use of the technical capability of listening in on all these forms of communications with the high-speed computer literally leaves no place to hide and little room for privacy.
Woodrow Wilson|You are not here merely to make a living. You are here in order to enable the world to live more amply, with greater vision, with a finer spirit of hope and achievement. You are here to enrich the world, and you impoverish yourself if you forget the errand.
Amy Kuivalainen, Cry of the Firebird|I just thought that was the most noble contribution you could make to human kind, was to be a teacher.
Fyodor Dostoyevsky|She is here, near my heart again!' he cried. 'Oh Lord, I thank Thee for all, for all, for Thy wrath and for Thy mercy! . . .And for Thy sun which is shining upon us again after the storm! For all this minute I thank Thee! Oh, we may be insulted and humiliated, but we're together again, and now the proud and haughty who have insulted and humiliated us may triumph! Let them throw stones at us! Have no fear, Natasha.... We will go hand in hand and I will say to them, 'This is my darling, this is my beloved daughter, my innocent daughter whom you have insulted and humiliated, but whom I love and bless for ever and ever!
Shawn Lukas|Each of us is a story, waiting for a devoted reader who will take us off the shelf and embrace all our plot twists.
Richard Ben Cramer|It's like a drug, the feeling you could make a difference....
Maya Angelou|The truth is that when Lennon is Bosephus, she is so mean to me. She can't smile because the mustache will come off. So in between takes, it's just scowling. And then when we are on camera, Bosephus treats me like a piece of meat. I'm repulsed and also attracted to it.
Eric Maskin|It's great to design a beautiful, modern, sleek home like you'd see in a magazine. But if it doesn't suit your lifestyle, it's really wasted.
Connie Kerbs, Paths of Fear: An Anthology of Overcoming Through Courage, Inspiration, and the Miracle of Love|Three, 300, or 3,000 - these are the number of unknown days, a week, a year, or a decade, each far too precious little and yet, poignantly too much at the same time, to see an irrevocably declined loved one languish and suffer. That irreversible release lingers in the doorway, but is never quite ushered all the way in, to comfort and carry our loved one to that Better Place.” When the time finally comes, we can be enveloped in a warm cloak of long-awaited acceptance and peace that eases our own pain; that quiets the grief which has moaned inside of us, at least some, every single one one of those bittersweet days, weeks... or years.
Shaun Hume, Ewan Pendle and the White Wraith|If you do not believe in yourself, Ewan, then you will surely not succeed. Pity in ones own downfalls without the sight to rejoice in your strengths is truly the road to ruin. But if you do decide to pat your own back a little more often, then you will find that you are not the only one who believes it a worthwhile exercise. And there will always be those there to do it for you in times when you may not quite be able to reach.
Angelina Jolie|I could have played another year, but I would have been playing for the money, and baseball deserves better than that.
VD.|The scientist is more religious than the poet because his belief rests in the faith of the intangible –– a reality that stands outside of ourselves who are the observers. The poet on the other hand realizes that concepts like Truth and Beauty which form the root of our reality and identities lie not in the fleeting nature of our world, but in the eternal universal aspects of humanity.
Kimora Lee Simmons|The world is getting so small. Young people are mobile; they want to travel around the world. When you travel around the world, you exchange culture, you want to make friends, you want to exchange things.
Eddie Marsan|I grew up in a very small town, but it happened to be in western Massachusetts, where there were a lot of gay people. I remember my aunt going to a gay wedding when I was 11, and I thought it was the coolest thing.
Stephen King, Full Dark, No Stars|Twas something else. I had come to hate her, you see. I had come to wish her dead, and that was what held me back.
Robert Penn Warren, All the King's Men|During all that time I didn't see Willie. I didn't see him again until he announced in the Democratic primary in 1930. But it wasn't a primary. It was hell among the yearlings and the Charge of the Light Brigade and Saturday night in the back room of Casey's saloon rolled into one, and when the dust cleared away not a picture still hung on the walls. And there wasn't any Democratic party. There was just Willie, with his hair in his eyes and his shirt sticking to his stomach with sweat. And he had a meat ax in his hand and was screaming for blood. In the background of the picture, under a purplish tumbled sky flecked with sinister white like driven foam, flanking Willie, one on each side, were two figures, Sadie Burke and a tallish, stooped, slow-spoken man with a sad, tanned face and what they call the eyes of a dreamer. The man was Hugh Miller, Harvard Law School, Lafayette Escadrille, Croix de Guerre, clean hands, pure heart, and no political past. He was a fellow who had sat still for years, and then somebody (Willie Stark) handed him a baseball bat and he felt his fingers close on the tape. He was a man and was Attorney General. And Sadie Burke was just Sadie Burke.Over the brow of the hill, there were, of course, some other people. There were, for instance, certain gentlemen who had been devoted to Joe Harrison, but who, when they discovered there wasn't going to be any more Joe Harrison politically speaking, had had to hunt up a new friend. The new friend happened to be Willie. He was the only place for them to go. They figured they would sign on with Willie and grow up with the country. Willie signed them on all right, and as a result got quite a few votes not of the wool-hat and cocklebur variety. After a while Willie even signed on Tiny Duffy, who became Highway Commissioner and, later, Lieutenant Governor in Willie's last term. I used to wonder why Willie kept him around. Sometimes I used to ask the Boss, "What do you keep that lunk-head for?" Sometimes he would just laugh and say nothing. Sometimes he would say, "Hell, somebody's got to be Lieutenant Governor, and they all look alike." But once he said: "I keep him because he reminds me of something.""What?""Something I don't ever want to forget," he said."What's that?""That when they come to you sweet talking you better not listen to anything they say. I don't aim to forget that."So that was it. Tiny was the fellow who had come in a big automobile and had talked sweet to Willie back when Willie was a little country lawyer.
Jackie Kessler, Hell's Belles|And oil's not supposed to mix with water. But then someone invented mayonnaise, and wham - instant mixing.
Richard Cecil|I would rather be adorned by beauty of character than jewels. Jewels are the gift of fortune, while character comes from within.
Richard Lee JuiChe|Sewn together patterns, like many clashing moods,She wears what No others dare
Leora Tanenbaum, Slut!: Growing Up Female with a Bad Reputation|He believed that all people existed behind varying layers of armor which, like the archaeological layers of earth itself, reflected the historical events and turbulence of a lifetime. An individual’s armor that had been developed to resist pain and rejection might also block a capacity for pleasure and achievement, and feelings too deeply trapped might be released only by acts of self-destruction or harm to others. Reich was convinced that sexual deprivation and frustration motivated much of the world’s chaos and warfare.
Lloyd C. Douglas, The Robe|I never thought much about flowers until I made the close acquaintance of a man who knew all about them. You would have thought that the butterflies and flowers were friends of his. 'See how richly they are clad,' he said. 'Even King Solomon did not have such raiment.
Pradeepa Pandiyan|Our lives are marked and shaped by our regrets. Things we all want to take back and can’t. In a perfect world, we would never hurt the ones we love or cause hurt to befall them. But the world isn’t perfect and neither are we
Robert G. Ingersoll, Some Mistakes of Moses|Until every soul is freely permitted to investigate every book, and creed, and dogma for itself, the world cannot be free. Mankind will be enslaved until there is mental grandeur enough to allow each man to have his thought and say. This earth will be a paradise when men can, upon all these questions differ, and yet grasp each other's hands as friends. It is amazing to me that a difference of opinion upon subjects that we know nothing with certainty about, should make us hate, persecute, and despise each other. Why a difference of opinion upon predestination, or the trinity, should make people imprison and burn each other seems beyond the comprehension of man; and yet in all countries where Christians have existed, they have destroyed each other to the exact extent of their power. Why should a believer in God hate an atheist? Surely the atheist has not injured God, and surely he is human, capable of joy and pain, and entitled to all the rights of man. Would it not be far better to treat this atheist, at least, as well as he treats us?Christians tell me that they love their enemies, and yet all I ask is—not that they love their enemies, not that they love their friends even, but that they treat those who differ from them, with simple fairness.We do not wish to be forgiven, but we wish Christians to so act that we will not have to forgive them. If all will admit that all have an equal right to think, then the question is forever solved; but as long as organized and powerful churches, pretending to hold the keys of heaven and hell, denounce every person as an outcast and criminal who thinks for himself and denies their authority, the world will be filled with hatred and suffering. To hate man and worship God seems to be the sum of all the creeds.
Kendal Rob|If my stupidity makes you smile, I rather prefer to act always as stupid.
Jodi Picoult, Nineteen Minutes|If you gave someone your heart and they died, did they take it with them? Did you spend the rest of forever with a hole inside you that couldn't be filled?
Flea|In Philly, there are a lot of social programs. If you have a degree, you can go and apply. I was basically a social worker, but I became sort of a sub teacher in a special program, helping kids with reading or math. But we would also do plays, learn about music... We were doing lots of fun stuff, but that was such hard work.
Marissa Meyer, Winter|Feeling free of full & empty, feeling here but also there, Neither or but simply both, a universe within, one single stare.
Kristin Cashore, Graceling|I don't like favors; they oppress and make me fell like a slave. I'd rather do everything for myself, and be perfectly independent.
Arthur Lydiard|As every runner knows, running is about more than just putting one foot in front of the other; it is about our lifestyle and who we are.
Billy Graham, Billy Graham in Quotes|If the human race would turn from its evil ways and return to God, putting behind its sins of disobedience, idolatry, pride, greed, and belligerence, and all the various aberrations that lead to war, the possibility of peace exists.
Jillian Dodd, That Boy|Speaking of tongues, they are the main reason I'm a nervous wreck. Ryan is a senior and well, sadly, I'm not all that experienced with boys. I mean, I'm a freshman and have been to dances with boys my age and even have gone out with boys, but I've never really kissed them. Not like I hope to kiss Ryan anyway. Bobby Robinson did shove his tongue into my mouth one time, when we were kissing under the bleachers at a football game, but it didn't feel so good. I'm pretty sure he didn't have it exactly right. So I talked to my friends, Katie and Lisa, about how to properly make out. But, well, here is just a bit of their unhelpful advice.Just let him take the lead, do what ever he does.Um, couldn't that get me into a lot of trouble?Just sort of kiss his tongue, but try not to drool.Don't open your mouth too wide.And then, just open your mouth wide.See?Stupid, conflicting information.And this from girls who supposedly know how to do this!I feel like I'm an undercover CIA agent trying to wrestle vital information out of a ruthless double agent, and the fate of the free world depends upon it. All the while, the President is yelling at me in a panic, saying, Somebody! Anybody! Just get me the truth!
Bindi Irwin|Part of my advantage is that my strength is economic forecasting, but that only works in free markets, when markets are smarter than people. That's how I started. I watched the stock market, how equities reacted to change in levels of economic activity, and I could understand how price signals worked and how to forecast them.
Israelmore Ayivor, Shaping the dream|To shape a dream well, understand that it is going to happen through processes in which your hands must get on board. It takes your own responsibility to get the best dream shape
M.F. Moonzajer|Some of them will, but most of them are willed. Some of them are genuine, but most of them are bad actors.
Mahatma Gandhi|The IRS targeting certain groups for harassment because of their politics would be unfair. If we found out the NSA was keeping special tabs on everyone who worshiped at a mosque or took a Bible trip through the Middle East, you'd have an uprising.
Haruki Murakami, Dance Dance Dance|People die all the time. Life is a lot more fragile than we think. So you should treat others in a way that leaves no regrets. Fairly, and if possible, sincerely. It's too easy not to make the effort, then weep and wring your hands after the person dies.
Rollo May, The Meaning of Anxiety|I've made him a monster by overloving. Lord knows, if hatred could make him human again.
Arundhati Roy, The God of Small Things|They sensed somehow that she lived in the prenumbral shadows between two worlds, just beyond the grasp of their power. That a woman that they had already damned, now had little left to lose, and could therefore be dangerous. So on the days that the radio played Ammu's songs, people avoided her, making little loops around her, because everybody agreed that it was best to just Let Her Be.
Rachel Vincent, Alpha|So instead of ignoring the pain, I called out to it, reaching for more. Pain is part of who I am. It’s the defining characteristic of a Shifter’s transformation. Pain is what I suffer from my enemies. It is what I deal out to those who break our laws. It is what I protect my charges from. Pain is what I inherited from fate, that fickle bitch who gave me a mouth and fists, then put me in a world that wanted only my womb and my cradled arms.
Clayton M. Christensen|The fact 'Twin Peaks' had a life at all took most of us in the cast by surprise. We thought it would be too unusual for network television. The original intention was that it would be a two-hour movie. If the network didn't want to pick it up as a series, it could just show that. But ABC took a chance.
John Geddes, A Familiar Rain|Once she was standing by her locker and her puka shells broke and scattered and she made a joke about it but he could tell she was upset. He wanted to buy her some more. He wanted to give her a million strands of little nesting polished shells, and tropical flowers and ice creams and lemonades and a pale blue surfboard to teach her to surf on and anything else she wanted. Instead he let his checkered Vans step on one of the rolling shells and crush it.
Swami Dhyan Giten|To be able to die consciously, we need to prepare for death while we are still living.Only if we live consciously, we can die consciously.Only a meditator is able to die consciously as life is an opportunity to prepare for death. Meditation is a death, a death of the ego. Death is not in opposition of life, death is the finale, the crescendo of life. How we die shows us how we have been living. Death is not an end, death is a new beginning, a new life.
Zadie Smith, On Beauty|This is what a woman is: unadorned, after children and work and age, and experience-these are the marks of living.
Nynke Visser|Happiness is just a state of mind, you don’t need any artificial or superficial matter to experience happiness. I believe that happiness is an instrument to cope and an instrument to change this world full of troubles. When you stop labelling happiness to a goal or an artificial or superficial matter you will be happy.
Adam Driver|I was a little doubtful about the propriety of going to the Mammoth Cave without a gentleman escort, but if two ladies travel alone they must have the courage of men.
Mo Ibrahim|I graduated from high school in 1963. There were no computers, cell phones, Internet, credit cards, cassette tapes or cable TV.
Montesquieu, Persian Letters|All we have to do is understand that we're all here for a reason and to commit ourselves to that. Then we can laugh at our sufferings, large and small and walk fearlessly, aware that each step has meaning
William Trevor|I think: perhaps the sky is a huge sea of fresh water and we, instead of walking under it, walk on top of it; perhaps we see everything upside down and the earth is a kind of sky, so that when we die, when we die, we fall and sink into the sky.The Implacable Order of Things
Sunday Adelaja|Every blessing, just like a coin, has two sides
Susin Nielsen, Optimists Die First|Okay, even if we disagree on that point, we still need to keep living our lives, don't we?...
Oliver Gaspirtz|Yes, she'd made a mistake... but she wasn't going to be bullied. You couldn't let boys go around raining on your lava and ogling other people's watercolors.
George Osborne|I'm not an employee who goes to the office every morning at the same time. Then, vacations are needed.
Jennifer Echols, Endless Summer|Sometimes, when something hurts us, our hearts break a little-in a slightly ... more literal way than for humans. Our pain sort of spills out and onto anyone around us. We call it a cracked heart.
Naomi Novik, Uprooted|I didn't properly think about what was happening even as I kissed him back, my laughter spilling into his mouth and making stutters of my kisses. I was still bound up with him, our magic snarled up into great messy tangled knots. I didn't have anything to compare that intimacy to. I'd felt the hot embarrassment of it, but I'd thought of it vaguely like being naked in front of a stranger. I hadn't connected it to sex—sex was poetic references in songs, my mother's practical instructions, and those few awful hideous moments in the tower with Prince Marek, where I might as well have been a rag doll as far as he'd cared. But now I toppled the Dragon over, clutching at his shoulders. As we fell his thigh pressed between mine, through my skirts, and in one shuddering jolt I began to form a startled new understanding.
J. G. Ballard|Oh rage! Oh despair! Oh age, my enemy!
Dianne Bright, Mommy's Hiding in the Treehouse--- With a Glass of Merlot|Laurie herself was more focused on the years when her kids were little, when she felt so necessary and purposeful, a battery all charged up with love. Every day she used it up and every night it got miraculously replenished. Nothing had ever been as good as that.
Patsie Smith, Awaken Our Spirit Within: A Journey of Self-Realization and Transformation|To love those who love us and are good to us is easy. To love those who are indifferent to us is workable, but to love those who have harmed us, intentionally or not, is true growth and realization.
Hilary McKay, Saffy's Angel|They arrived home again to a most peculiar sight. The small garden at the front of the Banana House had been transformed. A tidal wave of cushions, beanbags, quilts, hearth rugs, and sleeping bags appeared to have swept up the lawn and broken at the wall. From Indigo's window a multicolored rope of knotted bedsheets came snaking out and ended among the cushions. As Micheal and Caddy watched, a mattress emerged and fell to the ground, followed by a rain of pillows."Indigo!" shouted Caddy, jumping out of the car.Indigo's and Rose's heads appeared in the window above."It's all right, Caddy!" Indigo called cheerfully. "We've been doing it all the time you've been gone.""We keep finding more stuff to land on!" added Rose. "Look!
Liza M. Wiemer, Hello?|I'm an answer, Frankie. Maybe you're an answer for me, too?—Emerson
Ana Claudia Antunes, ONE HUNDRED ONE WORLD ACCOUNTS in ONE HUNDRED ONE WORD COUNT|If you are having private thoughts and ask an intimate friend to listen to them in privacy or on a date will that be considered too intimi-dating? And if the thoughts are proved to be untrue, but your friend still insists on believing in them anyway, would that be considered a cons-piracy?
Jeanette Winterson|What should I do about the wild and the tame? The wild heart that wants to be free, and the tame heart that wants to come home. I want to be held. I don't want you to come too close. I want you to scoop me up and bring me home at nights. I don't want to tell you where I am. I want to keep a place among the rocks where no one can find me. I want to be with you.
Tiffany Reisz|Maybe I’ll leave you hard and aching for days, months, years. That’s how long I’ve been hard for you. Turn about’s fair play, dontcha think, Paul Guy?” (from Finding Eden Excerpt)
Jan Jansen Easy Branches|Some truths can be only be found when one looks with the heart, not the eyes.” – André Chevalier
John Green, Paper Towns|Once we got out of Jefferson Park, we rolled down the one window that worked so the world would know we had good taste in music.
Larry David|When we were at peace, Democrats wanted to raise taxes. Now there's a war, so Democrats want to raise taxes. When there was a surplus, Democrats wanted to raise taxes. Now that there is a mild recession, Democrats want to raise taxes.
Nigel Cumberland, Secrets of Success at Work: 50 Strategies to Excel: Teach Yourself|Diversity is a very popular business topic today while the negative side of diversity, discrimination, remains a touchy and sensitive topic. Even in organisations which follow the letter of the law in terms of not discriminating against any individuals, it is common for people to show prejudice and bias...Have the courage to stand out from your colleagues by being very open to and comfortable with all kinds of diversity amongst your colleagues and stakeholders. When you sense someone is being ignored or marginalized spend time with them and bring them into discussions encouraging them to speak up as needed.
Kenneth Grahame, The Wind in the Willows|After all, the best part of a holiday is perhaps not so much to be resting yourself, as to see all the other fellows busy working.
Roz Savage, Rowing the Atlantic: Lessons Learned on the Open Ocean|I have learned to be kinder to myself, to imagine that I am my own best friend, whispering comforting words in my ear and drowning out the voices of Self-Doubt and Self-Criticism. I have learned to acknowledge and appreciate the 98% that I have achieved instead of the 2% that I didn’t.
Auliq Ice|To earn respect, you must earn your own self respect before you can expect others, to respect you.
W.B. Yeats, Rosa Alchemica|The months passed away. Slowly a great fear came over Viola, a fear that would hardly ever leave her. For every month at the full moon, whether she would or no, she found herself driven to the maze, through its mysterious walks into that strange dancing-room. And when she was there the music began once more, and once more she danced most deliciously for the moon to see. The second time that this happened she had merely thought that it was a recurrence of her own whim, and that the music was but a trick that the imagination had chosen to repeat. The third time frightened her, and she knew that the force that sways the tides had strange power over her. The fear grew as the year fell, for each month the music went on for a longer time - each month some of the pleasure had gone from the dance. On bitter nights in winter the moon called her and she came, when the breath was vapor, and the trees that circled her dancing-room were black, bare skeletons, and the frost was cruel. She dared not tell anyone, and yet it was with difficulty that she kept her secret. Somehow chance seemed to favor her, and she always found a way to return from her midnight dance to her own room without being observed. Each month the summons seemed to be more imperious and urgent. Once when she was alone on her knees before the lighted altar in the private chapel of the palace she suddenly felt that the words of the familiar Latin prayer had gone from her memory. She rose to her feet, she sobbed bitterly, but the call had come and she could not resist it. She passed out of the chapel and down the palace gardens. How madly she danced that night! ("The Moon Slave")
Benjamin Franklin|Bananas are great, as I believe them to be the only known cure for existential dread. Also, Mother Teresa said that in India, a woman dying in the street will share her banana with anyone who needs it, whereas in America, people amass and hoard as many bananas as they can to sell for an exorbitant profit. So half of them go bad, anyway.
Amit Kalantri, Wealth of Words|Let someone else be the most powerful country, make ours the most peaceful country.
Sam Lipsyte, The Ask|Fuck,” said Bernie. “Fuckwinky eyeballhead.” “No, Bernie. We don’t use those words.” “Which words?” “You know which words.” “You used them, Daddy.” “I made a mistake. I am sorry I said that word. It isn’t helping with our problem.” “What’s our problem?” “There may be no school today.” “That’s okay,” said Bernie. “It’ll be okay.” We weren’t sure where he had picked up that becalming phrase, probably from us, as we tried to talk ourselves out of the awful lucidity certain days afforded. The whole mirthless dwindle of things would suddenly pull into focus, the crabbed, moneyless exhaustion that stood in for our lives, and Maura and I would both start the chatter, the cheap pep: It’s okay, it’s going to be okay, we’ll get through this. When Bernie repeated these bromides, he sounded seventy years old. It broke your heart, as did about forty-three percent of the things Bernie said and did. About twenty-seven percent of the things he said and did made you want to scream and banish him to his childproofed room, or do much more heinous and ingenious things, just so he’d get the point, whatever the point could be with an almost-four-year-old, but still, to bury him alive and then save him at the last minute, or tell him that the state had passed a law against ice cream and he would go to prison if he even thought about it, because they now had the technology to detect illegal mint-chocolate-chip cogitation, had, in fact, the chips for it, seemed, if not conducive to his development, at least on some level deserved. Thirty percent of what Bernie said and did was either on the bubble or else utterly inscrutable, just the jolts and stutters of a factory-fresh brain working out the kinks.
Alan Hollinghurst, The Stranger's Child|she kept sliding down, in small half-willing surrenders, till she was a heap, with the book held tiringly above her face.
Augustine of Hippo, Confessions|I often see how you sob over what you destroy, how you want to stop and just worship; and you do stop, and then a moment later you are at it again with a knife, like a surgeon. 
Torey L. Hayden|You're only here for a short visit. Don't hurry, don't worry. And be sure to smell the flowers along the way.
Nick Hornby, A Long Way Down|[about suicide] And why is it the biggest sin of all? All your life you're told that you'll be going to this marvellous place when you pass on. And the one thing you can do to get you there a bit quicker is something that stops you getting there at all. Oh, I can see that it's a kind of queue­jumping. But if someone jumps the queue at the Post Office, people tut. Or sometimes they say, “Excuse me, I was here first.” They don't say, “You will be consumed by hellfire for all eternity.” That would be a bit strong.
Shahida Arabi, Becoming the Narcissist's Nightmare: How to Devalue and Discard the Narcissist While Supplying Yourself|What’s important to remember is that while human beings in general can engage in toxic behaviors from time to time, abusers use these manipulation tactics as a dominant mode of communication. Toxic people such as malignant narcissists, psychopaths and those with antisocial traits engage in maladaptive behaviors in relationships that ultimately exploit, demean, and hurt their intimate partners, family members, and friends.
Jefferson Bethke, Jesus > Religion: Why He Is So Much Better Than Trying Harder, Doing More, and Being Good Enough|My generation is the most fatherless and insecure generation that's ever lived, and we are willing to sacrifice everything if we just can be told we are loved.If only we knew just how loved we really are.
Deyth Banger|The Witch 2015, has shown how religion make us, and where does this shit put us. How just by one religion a lot of people live in the lie!” ― Deyth Banger
Hunter S. Thompson, The Rum Diary|Roland of Gilead responded as he ever had and ever would when such useless, mystifying questions were raised: 'Ka.
Laura Kinsale, Flowers from the Storm|There was no public to humiliate him here. They already knew he was a lunatic. They expected it. He could burst into howls of insanity, and they would only smile those gentle smiles at him and wrestle him into the chains.
Emily Thorne|A person's true identity can often be difficult to discern, even to themselves, causing one to question their character, their calling, their very existence. For most, time gives clarity, but for others, these questions remained unanswered for an identity can not be fully defined when it is a guarded secret.
Michael Ondaatje, Running in the Family|I'd proven to the world that maturity, experience, dedication, and ingenuity can make up for a little senescence. Muscle tightening is not the only thing that happens to our bodies over time. We gain knowledge, focus, and understanding, and those things can help us win.
Chila Woychik, On Being a Rat and Other Observations|Contrary to popular belief, people always say "It was a pleasure doing business with you". It is the only thing that has stayed with me after an assignment. Always mix business with pleasure. That is a secret they don't want you to know. BUT never mix pleasure with business. Then you might just end up in a divorce.
David Brainerd|Happy is the man who has broken the chains which hurt the mind, and has given up worrying once and for all.
Sunday Adelaja|Never stop seeking, even when it seems there is no hope
Anne Holm, I Am David|There is nothing more pathetically sad than a parent who teaches a child not to hit by spanking them. Well, that, and adults who think hitting someone will solve a problem.
Keahu Kahuanui|Teenage girls read in packs. It's true today, and it was true when I was a teen growing up in a small town in northeast Oklahoma.
Harlan Coben|You've just got to have a sense of respect for the person you have children with. Anger doesn't help anybody. Ultimately you have to say forgiveness is important, and honoring what you had together is important. But it's easy to say and harder to do.
Patrick Stump|Sometimes, though, we let ourselves get so used to being 'fine' that we lose track of how 'not fine' we are.
Jonathan Gash, Jade Woman|Forgery, being the weirdest form of creativity there is, like antiques, costs lives. Why is it that antiques demand sacrificial victims? Dunno, but if they don't get enough, forgery does. You want proof? Here it is: Once a faker's found out, he dies. Truly. It always happens.
Elie Wiesel|In the beginning there was faith-which is childish; trust-which is vain; and illusion-which is dangerous.We believed in God; trusted in man, and lived with the illusion that every one of us has been entrusted with a sacred spark from the Shekhinah's flame; that every one of us carries in his eyes and in his soul a reflection of God's image.THAT was the source if not the cause of all our ordeals.
Kelly Link, The Living Dead|He wasn't my type -- my type was more the skinny hipster boys in girl jeans and thick glasses, a.k.a. the first ones to go during the outbreak -- but the sight still had me staring.
Alain de Botton, The News: A User's Manual|But even those five-and-forty minutes were too long, the bored me --and boredom is the coldest thing in the world.
Washington Irving|Great minds have purpose, others have wishes. Little minds are tamed and subdued by misfortunes; but great minds rise above them.
Louis-Ferdinand Céline, Journey to the End of the Night|A woman who spends her time worrying about pregnancy is a virtual cripple, she'll never go very far.
Munia Khan|A prisoner should know that there are thousands of imprisoned freemen living in this world…jailed in their own society, handcuffed by duties..
Hugh Mahoney, Virgins & Martyrs|Mitt Romney's first interview with Zombie Reagan:  Mitt Romney came in with cheerful assurance, because he wasn’t capable of anything else. “Let me first welcome you back to this side of the veil, Mr. President.”“Yeah, Mitt, it’s good to see you looking so well. Your father says hello, and he wanted me to add specially that whatever unfortunate negative things you might remember him saying to you when you were a kid, he always tried to tell you the truth and he hopes you’ve used it to improve, and he understands that even with the help of those comments, it might just not have been in you to improve. He wants you to remember he still loves you no matter what you’ve become, or even if you haven’t chosen to become any one thing in particular.”“That’s very kind. I miss my dad even now.”“Oh, so do I. I remember George as always that kind of guy, he had your back, whenever you’d think to watch your back, you’d find him somewhere around there, ready for action with that knife already drawn.
Jimmy Dean|Never forget the three powerful resources you always have available to you: love, prayer, and forgiveness.
Lailah Gifty Akita|Whoever fear God , shun sin.
Richard Preston|In my relationship with a young guy I was going with in a band - his name was Sylvester, and I think he had another little girl on the side - I told him, 'If you lose me, you're going to lose a good thing.' And I went home and put that poem to music.
David Malouf, The Happy Life: The Search for Contentment in the Modern World|The male frog, in mating season," said Crake, "makes as much noise as it can. The females are attracted to the male frog with the biggest, deepest voice because it suggests a more powerful frog, one with superior genes. Small male frogs - it's been documented - discover that if they position themselves in empty drainpipes, the pipe acts as a voice amplifier, and the small frog appears much larger than it really is.""So?""So that's what art is, for the artist," said Crake. "An empty drainpipe. An amplifier. A stab at getting laid.""Your analogy falls down when it comes to female artists," said Jimmy. "They're not in it to get laid. They'd gain no biological advantage from amplifying themselves, since potential mates would be deterred rather than attracted by this sort of amplification. Men aren't frogs, they don't want women who are ten times bigger than them.""Female artists are biologically confused," said Crake.
Pope Benedict XVI|Those who today always look for disciplinarian solutions, those who long for an exaggerated doctrinal 'security,' those who stubbornly try to recover a past that no longer exists - they have a static and inward-directed view of things. In this way, faith becomes an ideology among other ideologies.
Mehmet Murat ildan|If you feel you have to open a particular door, open it, otherwise all your life that door will haunt your mind!
