Jorge Luis Borges|Nothing is built on stone; All is built on sand, but we must build as if the sand were stone.
Bill Hicks|To get fruits from the tree branches, shake them with hands; to get fruits from men, shake them with clever ideas!
Erik Pevernagie|Some don’t want to be happy, inasmuch as they undergo happiness merely as languor and yawning. They are dissatisfied with a bland and vacuous state of glee and, instead, prefer to keep on running like raging bulls through the whims and quirks of life. In reality, their dissatisfaction is their contentment. ("Happiness blowing in the wind" )
Lailah Gifty Akita, Think Great: Be Great!|Love mercy, love kindness.
Sri Jibankrishna or Diamond|He plays the same game, but for the first time in his life he is truly playing, rather than working, being a human, and this is a vast distinction realized by few.
Sarah Addison Allen, The Sugar Queen|She went to the window. A fine sheen of sugary frost covered everything in sight, and white smoke rose from chimneys in the valley below the resort town. The window opened to a rush of sharp early November air that would have the town in a flurry of activity, anticipating the tourists the colder weather always brought to the high mountains of North Carolina. She stuck her head out and took a deep breath. If she could eat the cold air, she would. She thought cold snaps were like cookies, like gingersnaps. In her mind they were made with white chocolate chunks and had a cool, brittle vanilla frosting. They melted like snow in her mouth, turning creamy and warm.
Edith Pearlman|When I write now I do not invent situation, characters, or actions, but rather structures and discursive forms, textual groupings which are combined according to secret affinities among themselves, as in architecture or the plastic arts.
Josh Hatcher, Manlihood: The 12 Pillars of Masculinity|Do not let your boss, your spouse, your kids, your neighbors, or anyone push you around or walk all over you. This does not mean you need to be a butt-hole - but you may need to draw some clear lines for the people in your life. Want to do it right? Communicate expectations clearly, and consistently. People cannot treat you the way you want them to treat you unless you tell them HOW to treat you.
Charles Southwell, An Apology for Atheism|Not one of you reflects, that you ought know your Gods before you worship them.
Heather Crews, Psychopomp|The branches are a storm around me, and I fall into a deep well of green. The needles and limbs rush past. It is a whirling motion of green and brown branches.
Charlie Crist|Be your own politics, grow your own garden, and maybe you can help out more.
Rebecca Solnit, The Faraway Nearby|Empathy isn’t just listening, it’s asking the questions whose answers need to be listened to. Empathy requires inquiry as much as imagination. Empathy requires knowing you know nothing. Empathy means acknowledging a horizon of context that extends perpetually beyond what you can see.
Dave Barry|Growing up, I wanted desperately to please, to be a good girl.
Ishmael Beah, A Long Way Gone: Memoirs of a Boy Soldier|But things are so bad, I feel like I’m going to explode if I don’t do something.
Seth Shostak|The fact that we can't easily foresee clues that would betray an intelligence a million millennia farther down the road suggests that we're like ants trying to discover humans. Ask yourself: Would ants ever recognize houses, cars, or fire hydrants as the work of advanced biology?
Toba Beta, My Ancestor Was an Ancient Astronaut|Somewhere int he flesh of the earth the dreadful earthquake shuddered, the tide walked to and fro on the leash of the moon, rainbows formed, winds swept the sky like giant brooms piling up clouds before them, clouds which writhed into different shapes, melted into rain or darkened, bruised themselves against an unseen antagonist and went on their way, laced with forking rivers of lightning, complete with white electric tributaries. Out of this infinite vision an infinity of details could be drawn, but Sonny had settled on one, and from the endless series a particular beach was chosen and began to form around Laura - a beach of iron-dark sand and shells like frail stars, and a wonderful wide sea that stretched, neither green nor blue, but inked by the approach of night into violet and black, wrinkling with its own salty puzzles, right out to a distant, pure horizon.
Debasish Mridha|When you are very rational, you may not be able to dream or live in a fairy tale.
Nikos Kazantzakis, Report to Greco|Change is not always easy, but with patience and perseverance, we can find the good in change.
Janell Rhiannon, Rise of Princes|It was like she had been playing 'nhodo' with her life, foolishly trying to outsmart an imaginary playmate named Fate.
Ahmed Mostafa|August stared at her, aghast. "Did I know that kissing you would bring your soul to surface? That - THAT - would have the same effect as pain or music? No, I must have missed that lesson."She stared at him, agape. "August, was that sarcasm?
Wole Soyinka|When I return to the writing process after being away from it for a while, the first part of it always is being honest with myself: What am I into right now? Is it rock bands and guitars, is it noise, is it dance beats and electronics? Is it space, is it clutter?
Sharon Salzberg, Real Love: The Art of Mindful Connection|In reality, love is fluid; it’s a verb, not a noun.
Rachel Naomi Remen|Healing may not be so much about getting better, as about letting go of everything that isn’t you - all of the expectations, all of the beliefs - and becoming who you are. (in Bill Moyers' Healing and the Mind)
Mark Z. Danielewski, House of Leaves|Your eye will no longer linger on the light, it will no longer trace constellations. You'll care only about the darkness and you'll watch it for hours, for days, maybe even for years, trying in vain to believe you're some kind of indispensable, universe-appointed sentinel, as if just by looking you could actually keep it all at bay.
Ryohgo Narita, バッカーノ！The Rolling Bootlegs|IN THE END, THE JOURNEY OF THE STORY BEGINS
Ron Paul|Failure of government programs prompts more determined effort, while the loss of liberty is ignored or rationalized away...whether is it is the war on poverty, drugs, terrorism...or the current Hitler of the day, an appeal to patriotism is used to convince the people that a little sacrifice of liberty, here or there, is a small price to pay...The results, though, are frightening and will soon become even more so.
Rush Limbaugh|I regarded finding I had a form of Alzheimer's as an insult and decided to do my best to marshal any kind of forces I could against this wretched disease. I have posterior cortical atrophy or PCA. They say, rather ingenuously, that if you have Alzheimer's it's the best form of Alzheimer's to have.
Michael Bassey Johnson|Every great man is an idol, an oracle of inquiry. Don't aspire to know the former, but aspire to know the diety in his soul.
W.H. Auden|After years of having a dog, you know him. You know the meaning of his snuffs and grunts and barks. Every twitch of the ears is a question or statement, every wag of the tail is an exclamation.
Pooja A.H.|How embarrassing that she ever did something that silly. But, good God, she was seventeen. At that age, we're mostly high-pitched and crazy. All urgent chemicals raging around the blood course. And that's why we do dangerous and embarrassing things, as if simultaneously we're immortal and going to die tomorrow. And that's why we look back on that time so fondly from the dimmer years to come. Remembering the days when we were like Greek gods. Mighty and idiotic.
Sun Tzu|Yet, as only New Yorkers know, if you can get through the twilight, you'll live through the night.
Brian Greene|Good begets good; evil begets evil; and even if the good you give is met by evil, you have no choice but to go on giving better than you get. Otherwise-and these were Willy's exact words-why bother to go on living?
Gordon B. Hinckley|As you walk your various paths, walk with faith. Speak affirmatively and cultivate an attitude of confidence. You have the capacity to do so. Your strength will give strength to others. Do not partake of the spirit so rife in our times. Rather look for good and build upon it. There is so much of the strong and the decent and the beautiful to build upon. You are partakers of the gospel of Jesus Christ. The gospel means "good news." The message of the Lord is one of hope and salvation. The voice of the Lord is a voice of glad tidings. The work of the Lord is a work of glorious accomplishment.
Marcus Samuelsson, Yes, Chef|But one of the things I have learned during the time I have spent in the United States is an old African American saying: Each one, teach one. I want to believe that I am here to teach one and, more, that there is one here who is meant to teach me. And if we each one teach one, we will make a difference.
Aaron Schock|For most teenage runners, the right foods means a varied diet, decreasing the amount of fat found in the typical American diet and replacing those calories with carbohydrates. Avoid saturated fats, such as those found in fried foods, and eat plenty of fresh fruits and vegetables.
Robert Browning|Land and sea, weakness and decline are great separators, but death is the great divorcer for ever.
Katherine Mansfield|I believe the only thing that we really have control over is our attitude. If we focus on the positive things in our lives and learn how to cope with all the surprises, we will be happier people.
Christina Engela, Demonspawn|I don't want other people to mention my "self". Besides if I can be changed by a few words, then that wouldn't be my "self" would it?
Troy Polamalu|Each state, so that it does not abridge the great fundamental rights belonging, under the Constitution, to all citizens, may grant or withhold such civil rights as it pleases; all that is required is that, in this respect, its laws shall be impartial.
Faith Sullivan, Unexpected|Chemistry's a tricky thing, and if I'm not feeling it, I'm not gonna pretend.
Zack Eswine, Sensing Jesus: Life and Ministry as a Human Being|When teaching children with autism we must be quick to adapt, follow our instinct and go off plan.
Rob Sheffield, Love Is a Mix Tape|bitch power is the juice, the sweat, the blood that keeps pop music going. Rick James helped me understand the lesson of the eighth-grade dance: Bitch power rules the world. If the girls don't like the music, they sit down and stop the show. You gotta have a crowd if you wanna have a show. And the girls are the show. We're talking absolute monarchy, with no rules of succession. Bitch power. She must be obeyed. She must be feared.
Cathy Ostlere, Karma|This is not the way these tales end," Calliope said firmly."This is not the way that things end when they get to be tales," Amatus said, "but since ours is not yet told, we cannot count on it. There were a hundred dead princes on the thorns outside Sleeping Beauty's castle, and I'm sure many of them were splendid fellows.
Suzanne Weyn, The Bar Code Tattoo|I believe that on any trip to heaven, there are always detours through hell.
Jesse James Garrett|We want people to experience art and think about it. The art reflects our time, it is about our culture.
Kai Meyer, Pirate Wars|This showed once again that everyone had something different to lose in this battle. Some were concerned for their lives, and some for those they cared most about: rays, sea horses, even the chickens that ran free in the streets of the city because they couldn't all be caught in time.
Andrew S. Grove, Only the Paranoid Survive|That's why I bake. To fill fairies with goodness."And it was true, she realized. She didn't run the kitchen just to boss other fairies around. She didn't give orders just to make herself feel important. Well, at least she wouldn't anymore. No. The day before, she hadn't missed that part of her job at all. She had missed the baking. She had missed creating something for others to enjoy.And, oh, how she wanted to go back to work!
Nora Roberts, Public Secrets|Shall I tell you what rock and roll is, Johnno, from someone who doesn't perform, but observes? It's restless and rude. It's defiant and daring. It's a fist shaken at age. It's a voice that often screams out questions because the answers are always changing. The very young play it because they're searching for some way to express their anger or joy, their confusion and their dreams. Once in a while, and only once in a while, someone comes along who truly understands, who has the gift to transfer all those needs and emotions into music.
Emma Forrest, Your Voice in My Head|I'm in love with someone good and kind and gentle, and he's seen the darkness too, but somehow we've become each other's light.
Sophia Dembling, The Introvert's Way: Living a Quiet Life in a Noisy World|Jung was the first to propose the model of psychic energy, suggesting that for introverts, energy flows inward, while for extroverts, energy flows outward. Introverts tend to embrace this definition. It fels right for us because we know exactly what it feels like to have our energy depleted when we have sent too much flowing outward.
J. Jeffrey Means, Trauma and Evil: Healing the Wounded Soul|We can't play God.We can't do this to kids.You're evil, I'm evil.Everyone will die.No matter what.Let nature win.
Paul Alkazraji, Love Changes Everything: Seven Remarkable Real Life Stories|No matter our sins or our sufferings, we are not isolated or abandoned. Christ is there for us, in good times and bad, and if we know how to follow Him, how to walk in His footsteps, then the road home doesn’t seem quite so treacherous or impossible to scale.
Michael Marshall Smith, Only Forward|According to the prophecy a child was going to come along that would be part human and part robot and this child was going to change everything. Of course it was way too soon – both sides were totally unprepared, not to mention the fact that they had their parts mixed up. The girls were only interested in romance, and the robots in completing a transaction.
Sharon Salzberg, Real Happiness: The Power of Meditation|Meditation is a microcosm, a model, a mirror. The skills we practice when we sit are transferable to the rest of our lives.
Harriet Beecher Stowe|If we did all the things we are capable of, we would literally astound ourselves.
Bernardo Bertolucci|Whether as victim, demon, or hero, the industrial worker of the past century filled the public imagination in books, movies, news stories, and even popular songs, putting a grimy human face on capitalism while dramatizing the social changes and conflicts it brought.
James Dashner, The Scorch Trials|A small hole in his shirt revealed a gooey red blob right in the meaty part above his armpit, blood pouring from the wound. It hurt. It hurt bad. If he’d thought his headache downstairs had been tough, this was like three or four of those, all smashed into a coil of pain right there in his shoulder. And spreading through the rest of his body.Newt was at his side, looking down with worried eyes.“He shot me.” It just came out, a new number one on the list of the dumbest things he’d ever said. The pain, like living metal staples running through his insides, pricking and scratching with their little sharp points. He felt his mind going dark for the second time that day.
Annie Dillard, Pilgrim at Tinker Creek|Say you could view a time lapse film of our planet: what would you see? Transparent images moving through light, “an infinite storm of beauty.”The beginning is swaddled in mists, blasted by random blinding flashes. Lava pours and cools; seas boil and flood. Clouds materialize and shift; now you can see the earth’s face through only random patches of clarity. The land shudders and splits, like pack ice rent by widening lead. Mountains burst up, jutting, and dull and soften before your eyes, clothed in forests like felt. The ice rolls up, grinding green land under water forever; the ice rolls back. Forests erupt and disappear like fairy rings. The ice rolls up- mountains are mowed into lakes, land rises wet from the sea like a surfacing whale- the ice rolls back. A blue-green streaks the highest ridges, a yellow-green spreads from the south like a wave up a strand. A red dye seems to leak from the north down the ridges and into the valleys, seeping south; a white follows the red, then yellow-green washes north, then red spreads again, then white, over and over, making patterns of color too intricate to follow. Slow the film. You see dust storms, locusts, floods, in dizzying flash-frames.Zero in on a well-watered shore and see smoke from fires drifting. Stone cities rise, spread, and crumble, like paths of alpine blossoms that flourish for a day an inch above the permafrost, that iced earth no root can suck, and wither in a hour. New cities appear, and rivers sift silt onto their rooftops; more cities emerge and spread in lobes like lichen on rock. The great human figures of history, those intricate, spirited tissues whose split second in the light was too brief an exposure to yield any image but the hunched shadowless figures of ghosts.Slow it down more, come closer still. A dot appears, a flesh-flake. It swells like a balloon; it moves, circles, slows, and vanishes. This is your life.
Michael Sheen|I never really take shortcuts. I was always one of those people who, instead of cutting across someone's yard on the way home from school, I would go to the end of the block and turn.
Tim Chester, Everyday Church: Gospel Communities on Mission|The fact of English supremacy is something most native speakers of English unknowingly suppress, all the while enjoying the privileges that come with it. Many non-English-speaking populations, however, cannot afford to suppress that fact but are forced to face it in one way or another, though their writers generally turn their backs on the linguistic asymmetry lest they end up too discouraged to write, overwhelmed by the unfairness of it all.
Alexandra Katehakis, Mirror of Intimacy: Daily Reflections on Emotional and Erotic Intelligence|It's human to have a secret, but it's just as human to reveal it sooner or later.
Aldous Huxley, Island|Will liked to live so that no one could find fault with him, and to do that he had to live as nearly like other people as possible.
Alyson Noel, Blue Moon|Close your eyes and picture it. Can you see it?"I nod, eyes closed. its texture, shape, and color—got it?"I smile, holding the image in my head. its contours with the tips of your fingers, cradle its weight in the palms of your hands, then combine all of your senses—sight, touch, smell, taste—can you taste it?"I bite my lip and suppress a giggle. it!" he says.So I do. I do all of those things. And when he groans, I open my eyes to see for myself.. This isn't even close.""Nope, nothing fruity about him." I laugh, smiling ateach of my Damens—the replica I manifested before me, and the flesh and blood version beside me. Both of them equally tall, dark, and so devastatingly handsome they hardly seem real.
Amy Purdy|Immigrants use debt intelligently. They understand the difference between active debt: creating a business, or something to make business better, and dead debt: buying that new sports car or the 60 inch television. Those things don't lead to the good life. They delay getting it.
Charles Bukowski, Factotum|I knew what Charley would do. He would spend the evening drinking himself into the mindset of a cinder block. If they had given him as much as a hundred bucks, it would be a long night.
Karen Joy Fowler, We Are All Completely Beside Ourselves|Maybe anosognosia, the inability to see your own disability, is the human condition and I'm the only one who doesn't suffer from it.
Otep Shamaya, Quiet Lightning On The Noisy Mountain|We stand on the edge of national metamorphosis armed with hope and lengthy dreams, and the desire to leave the mistakes of the past far, far behind us. Some wake to a blessed plague of amnesia hoping never to recover the damage that was done. Some keep marching forward feeling the heavy ache of everything they wish to change about themselves and our nation dragging behind them like a long, prolonged shadow. And still others shine above the sun, sparkling like raging cosmonauts, propelled by the strength and power of their pathological optimism. I tend to slingshot between all 3 of these distinct planets with unruly fortitude. This is where art comes in. It helps me deal with my compulsive randomness, and allows me to abate life's repressions while exploring all possibilities of transformation and growth. And for this, I am eternally grateful.
Tyler Florence|First and foremost I am a chef, whether behind the stove at one of my Northern California restaurants or for the past 15 years in front of the camera on my Food Network cooking shows. Creating new dishes and flavor combinations that bring cooks and our restaurant guests pleasure is my job and I love it.
Humayun Ahmed|সারা জীবন পাশাপাশি থেকেও এক সময় একজন অন্যজনকে চিনতে পারে না। আবার এমনও হয়, এক পলকের দেখায় একে অন্যকে চিনে ফেলে।
A.J. Darkholme, Rise of the Morningstar|Emotional states change like the wind, and to indulge them only gives them more power over a person.
Thomas Merton, No Man Is an Island|It is by the Holy Spirit that we love those who are united to us in Christ. The more plentifully we have received of the Spirit of Christ, the more perfectly we are able to love them: and the more we love them the more we receive the Spirit. It is clear, however, that since we love them by the Spirit Who is given to us by Jesus, it is Jesus Himself Who loves them in us.
Osho, Tarot in the Spirit of Zen|Creativity happens only when ego is absent,when you are relaxed, in deep rest, when there is really no desire to do something. Suddenly you are gripped;some unknown force overwhelms you,takes possession of you.
Petra Hermans|we come to a rather strange fact. We tend to minimize the things we can do, the goals we can achieve, and yet, for an equally strange reason, we think others can do things that we cannot. I want you to know that that is not true. You do have deep reservoirs of talent and ability within you and you can have the things you want.
Roman Rolland|there is only one true heroism in the world: to see the world as it is, and to love it
Harold V. Hall|Your mind is my treasure, and if it were broken, it would be my treasure still
Leonardo Donofrio, Old Country|Working in Britain, particularly in the public services, they should be prepared to accept the terms and conditions of their employment. To claim special communal rights (or should one say rites?) leads to a dangerous fragmentation within society. This communalism is a canker; whether practised by one colour or another it is to be strongly condemned.
Harper Lee, To Kill a Mockingbird|Often, people hurt things on accident... No one plans on hurting anyone, but it happens.
Jack Gilbert, Collected Poems|…only in the few universes that are like ours would intelligent beings develop and ask the question: “Why is the universe the way we see it?” The answer is then simple: If it had been any different, we would not be here!
G.K. Chesterton, Heretics|In the glad old days, before the rise of modern morbidities...it used to be thought a disadvantage to be misunderstood.
Billy Dee Williams|I think it's easy to hold on to this romantic hope that communities such as Niaqornat won't change, because we're in this world where progress is unstoppable, and they're a link to some idealised past.
A Starry Eyed April|I lovehow grown childrenwill still nametheir mothersthe mostbeautiful.It isas though,their eyeshave met the cascadingcurvesand goldensilhouettesof every woman.Yettheir soulsstilldrumto the beat  of theirmother'swarmth and care.
Hideo Kojima|Sometimes you design a shoe, and you think this one is a winner, but you never know when something will be such a crazy phenomenon.
Dariusz Karłowicz|If teachers are uncomfortable at their own school, they will pass on their uncertainties or negative attitude to students.
Anthony Burgess, A Clockwork Orange|There was no trust anywhere in the world, O my brothers, the way I could see it.
Terry Pratchett|Man and animals are in reality vehicles and conduits of food, tombs of animals, hostels of Death, coverings that consume, deriving life by the death of others.
Shameik Moore|A great hallmark of mental wellness is the ability to be in the present moment, fully and with no thoughts of being elsewhere.
Annie Dillard, For the Time Being|You cannot mend the chromosome, quell the earthquake, or stanch the flood. You cannot atone for the dead tyrants’ murders and you alone cannot stop living tyrants. As Martin Buber saw it, the world of ordinary days “affords” us that precise association with god that redeems both us and our speck of world. God entrusts and allots to everyone an area to redeem: this creased and feeble life, “the world in which you live, just as it is, and not otherwise.” “Insofar as he cultivates and enjoys them in holiness, he frees their souls…he who prays and sings in holiness, eats and speaks in holiness…through him the sparks which have fallen will be uplifted, and the worlds which have fallen will be delivered and renewed.
M.K. Meredith, Seducing Seven|No matter how many women I’ve kissed over the years, your lips are the ones that still haunt me.
Theodore Roethke|My Papa's Waltz:The whiskey on your breathCould make a small boy dizzy;But I hung on like death:Such waltzing was not easy.We romped until the pansSlid from the kitchen shelf;My mother's countenanceCould not unfrown itself.The hand that held my wristWas battered on one knuckle;At every step you missedMy right ear scraped a buckle.You beat time on my headWith a palm caked hard by dirt,Then waltzed me off to bedStill clinging to your shirt.
Roxanne Gay|We could talk about the retraction of re-productive rights in North Carolina and Texas and Ohio, or we could conjure up a lot of statistics about domestic and sexual violence or women living in poverty. If the patriarchy is dead, the numbers have not gotten the memo.
Henry Louis Gates|I had a dream, my dream came true, and my mom was there for me every step of the way. We didn't do this for any other reason. I am so happy she is here to experience this with me. This would not be the same if she were not by my side.
Lailah Gifty Akita, On Eagles Wings:Rise|Heavenly Father, pour your spirit upon me, I desire to do your will in Jesus Name. Amen!!
Felicity Kendal|Nixon's grand mistake was his failure to understand that Americans are forgiving, and if he had admitted error early and apologized to the country, he would have escaped.
A.S. King, Please Ignore Vera Dietz|--he stopped and eyed Bill Corso--"if you choose to just sit here like a bored jungle gorilla, you will have to write out this quote as many times as you can during the next hour.
Christopher McCandless|Justice cannot be for one side alone, but must be for both.
Muriel Barbery, The Elegance of the Hedgehog|Because beauty consits of it's own passing, just as we reach for it. It's the ephemeral configuration of things in the moment, when you can see both their movement and their death.
Alison Miller, Healing the Unimaginable: Treating Ritual Abuse and Mind Control|It is important to learn about being multiple, and what works for their healing, from your client. To work with the alters, rather than trying to get the ANP to control the rest of the personality system.
Dada Bhagwan|The mind-speech and body remain ‘effective’, the outer environment is also ‘effective’ and when the Self (Soul) remains ‘un-effective’; that is the ultimate stage!
Nikki Rowe|You have to keep doing it, Even if no one is watching. The best artists, are those Who live from their expressions, Not chasing the impressions.
Dara Joy, Ritual of Proof|Allie noticed it all, every sound, every thought. Her senses had come alive, invigorating her, and she felt her mind drifting through the last few weeks.
Mary Lambert|I think actually it's kind of sad because something I looked forward to just getting to the NFL growing up was just being able to have more fun, the rules loosen up, being able to celebrate.
Elizabeth Heiter, Hunted|It never was about the musician or the instrument - it was about the laser notes in a hall of mirrors, the music itself. It was going to change the world for the better and it has. Maybe not as fast or as much as we wanted, but it has and it still will. Whether your name is Mozart, or Django Reinhardt, or Robert Johnson, or Jimi Hendrix, or whoever is next; who you are doesn't matter so long as you can open that conduit and let the music come through. It is the burning edge, whatever it sounds like and whoever is playing it. It is the noisy, messy, silly, invincible voice of life that comes through the LP on the turn-table, the transistor radio, or the Bose in your new Lexus that makes you want to get up out of whatever you are stuck in and dance. It is Dionysus and the Maenads all over again. No one can control it and I pity whoever tries. I am old now and only a house cat sunning herself in the window - but I was a tigress once, and I remember. I still remember.
Thich Nhat Hanh|We tend to think of nourishment only as what we take in through our mouths, but what we consume with our eyes, our ears, our noses, our tongues, and our bodies is also food. The conversations going on around us, and those we participate in, are also food. Are we consuming and creating the kind of food that is healthy for us and helps us grow?
Kelley Armstrong, Living with the Dead|So consider your options, make your choice and call me home.
Cornell Woolrich, Angels of Darkness|Patrice had long since buried the particulars of events so painful that they caused her to resolve only to see good. With such a stance, such as dissociative split, she could walk with evil and believe it did not exist. She was Joe's perfect mate.
L.M. Montgomery, Anne of Avonlea|Do you know, Mrs. Allan, I'm thankful for friendship. It beautifies life so much." "True friendship is a very helpful thing indeed," said Mrs. Allan, "and we should have a very high ideal of it , and never sully it by any failure in truth and sincerity. I fear the name of friendship is often degraded to a kind of intimacy that had nothing of real friendship in it.
John Steinbeck, The Grapes of Wrath|Fella says today, 'Depression is over. I seen a jackrabbit, an' they wasn't nobody after him.' An' another fella says, 'That aint the reason. Can't afford to kill jackrabbits no more. Catch 'em and milk 'em an' turn 'em loose. One you seen prob'ly gone dry.
Lailah Gifty Akita|Cheer up, be of good courage.
Edward Bulwer-Lytton, The Coming Race|He who studies old books will always find in them something new, and he who reads new books will always find in them something old.
John Fowles|The moon hung over the planet Earth, a dead thing over a dying thing.
Igor Stravinsky|I have known plenty of people who, in their later years, had the energy of children and the kind of curiosity and fascination with things like little children. I think we can keep that, and I think it's important to keep that part of staying young. But I also think it's great fun growing old.
A.E. Via|Day pushed God out of his space and turned to walk away without another word.“Oh no you don’t,” God snarled before grabbing Day around his waist and pulling him back into the darkness of the alley. He pushed Day up against the brick wall and pressed his forehead hard against his. “You think I’m just going to let you walk off?”“Yep. Just like you did this morning,” Day replied without a second thought.He’d be damned if that response didn’t hurt like hell. He kept their foreheads touching but lost some of his anger. “I apologized for that.”“You sent me a goddamn text message, coward. Now get off me. I’m going home…alone now, thanks to you,” Day hissed.“You were really going to fuck that guy?” God asked incredulously.“You’re goddamn right I was,” Day retorted.“Even though you’re in love with me?”Why did God say that? He watched his partner’s face go from mad to stark-raving livid. Before he could process what was happing, Day had caught him with a right punch twice to his rib cage making him cry out in pain at his already tender ribs.“Fuck!” God yelled as he was shoved backward hard enough to almost knock him off balance since he was already doubled over.“Can’t believe you just said that, asshole,” Day said while moving in on him again. “Think I’m going to let you string me along?”God held his ribs and put one hand up to stop Day’s approach but it was useless. Day dropped like a martial arts master and did a backward spin kick, effectively knocking both God’s legs from under him and sending him crashing to the ground—and two-hundred and fifty pounds hitting the asphalt really hurt.“The bigger they are, the harder they fucking fall,” Day snarled, and began to move in again.What the fuck?God knew Day was quick, he’d seen him in action too many times. God’s only defense was his muscle, but he had to get his hands on Day first, which wouldn’t be easy. God rolled and came up off the ground, quicker than Day expected, and he caught Day’s left punch in mid-throw and spun him around. He yanked Day into his chest but took a hard elbow to his right cheek with Day’s right arm before he was able to secure it with the other one.“Enough,” God growled in his ear. Day’s back was pressed hard against God’s chest, while God held both hand’s tightly in front of him. “Stop fighting me.”“No,” Day snapped.“Stop fighting me, Leo. Because I love you too,” God said, his lips pressed firmly against Day’s ear. “You can’t fuck that other guy because you’re mine,” he whispered.God felt Day’s body go limp in his tight hold and he took the opportunity to spin him around to face him. He looked into soft hazel eyes and lost himself. “I do, sweetheart. I think I may always have. I just didn’t know it until after you walked out of my apartment this morning.” God took a deep breath and shook his head, his eyes squeezed shut at the vision that popped up. “After I hurt you.”Day didn’t pull away, but God could see the hurt was still there. Man, how he wished he could take it all back. He swore he would have done it all differently. “Leo. Please forgive me. I’m so sorry, and I promise I’ll never put my hands on you in anger again.” God watched Day for any signs of forgiveness. Day’s head was down, he was still as a rock, and he still hadn’t spoken.God released Day’s arms, took one hand and slowly lifted Day’s chin so he could look into those beautiful eyes again. Day’s eyes were moist but focused.“Say something, sweetheart. Tell me you forgive me. Tell me you love me, or tell me to go to hell, just say something,” God begged, the silence driving him mad.God was beginning to think he’d really lost his best friend until Day finally spoke. “I usually don’t like endearments but I think I like you calling me sweetheart.
Franz Schubert|Every human walks around with a certain kind of sadness. They may not wear it on their sleeves, but it's there if you look deep.
Anthony M. Esolen|Irimiás: God is not made manifest in language, you dope. He's not manifest in anything. He doesn't exist... God was a mistake. I've long understood there is zero difference between me and a bug, or a bug and a river, or a river and a voice shouting above it. There's no sense or meaning in anything. It's nothing but a network of dependency under enormous fluctuating pressures. It's only our imaginations, not our senses, that continually confront us with failure and the false belief that we can raise ourselves by our own bootstraps from the miserable pulp of delay. There's no escaping that, stupid.
Mark Z. Danielewski, House of Leaves|Passion has little to do with euphoria and everything to do with patience. It is not about feeling good. It is about endurance. Like patience, passion comes from the same Latin root: pati. It does not mean to flow with exuberance. It means to suffer.
Hippocrates, Hippocratic Writings|For if a man by magical arts and sacrifices will bring down the moon, and darken the sun, and induce storms, or fine weather, I should not believe that there was anything divine, but human, in these things, provided the power of the divine were overpowered by human knowledge and subjected to it.
Katori Hall|No advance in wealth, no softening of manners, no reform or revolution has ever brought human equality a millimeter nearer.
Ilona Andrews, Magic Slays|Help me, I can’t breathe, your ego is pushing all the air out of the room.
Alan Moore, V for Vendetta|The past can't hurt you anymore. Not unless you let it. They made you into a victim, Evey. They made you into a statistic. But, that's not the real you. That's not who you are inside.
Robert McCammon|If someone wanted to have a grudge against me, or didn't agree with my lifestyle, the way I breathed, the space I took up on this planet, they had an open door to 'report' to the powers that be.
Eyden I.|When one door closes, another door opens; but we often look so long and so regretfully upon the closed door, that we do not see the ones which opens for us.- Alexander Graham Bell
Marcus Samuelsson|There is no doubt that some plant food, such as oatmeal, is more economical than meat, and superior to it in regard to both mechanical and mental performance. Such food, moreover, taxes our digestive organs decidedly less, and, in making us more contented and sociable, produces an amount of good difficult to estimate.
Swami Vivekananda|It was a confusing time in my life, a really bad day at the office.
Sylvia Plath, The Unabridged Journals of Sylvia Plath|And by the way, everything in life is writable about if you have the outgoing guts to do it, and the imagination to improvise. The worst enemy to creativity is self-doubt.
Theodora Goss|[A]nd the wizened youth trembles more and more violently, wrinkles his nose and then pounces on the story. But only I know the story, the real story. And it is simple and cruel and true and it should make us laugh, it should make us die laughing. But we only know how to cry, the only thing we do wholeheartedly is cry.
Oscar Wilde, The Picture of Dorian Gray|There is no such thing as a good influence. Because to influence a person is to give him one's own soul. He does not think his natural thoughts, or burn with his natural passions. His virtures are not real to him. His sins, if there are such thing as sins, are borrowed. He becomes an echo of someone else's music, an actor of a part that has not been written for him.
Aphra Behn, The Lucky Chance, Or, the Alderman's Bargain|That perfect tranquility of life, which is nowhere to be found but in retreat, a faithful friend and a good library.
John Fowles, The Tree|These question-boundaries ...are ours, not of reality. We are led to them, caged by them not only culturally and intellectually, but quite physically, by the restlessness of our eyes and their limited field and acuity of vision.
Stephen R. Covey, The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change|Vengeance is mine, sayeth the Lord, but sometimes it's hard not to get a jump on it yourself.
Jane Austen|I don't come from a lot of money and wasn't going to get an academic scholarship, so the only way to afford an education was to allow the military to supplement it.
Dakota Johnson|As a newcomer to America who learned to 'speak American' by watching movies, I firmly believe that to change the politics of immigration and citizenship, we must change culture - the way we portray undocumented people like me and our role in society.
N.T. Wright, Surprised by Hope: Rethinking Heaven, the Resurrection, and the Mission of the Church|Jesus's resurrection is the beginning of God's new project not to snatch people away from earth to heaven but to colonize earth with the life of heaven. That, after all, is what the Lord's Prayer is about.
Marilyn Manson|Never let life impede on your ability to manifest your dreams. Dig deeper into your dreams and deeper into yourself and believe that anything is possible, and make it happen.
