Sam Gayton|Every time you say it is impossible, you shoot yourself in the foot
Leonard Susskind|I think if everyone would write down the funny stories from their own childhoods, the world would be a better place.
Jodi Picoult, The Pact|I can't do this to you,' he said, drawing back. Emily put her hand on his and pulled the gun to her temple. 'Then do it for me,' she said.
Louisa May Alcott, An Old-Fashioned Girl|I would like to encourage you to stop thinking of what you're doing as ministry. Start realizing that your ministry is how much of a tip you leave when you eat in a restaurant; when you leave a hotel room whether you leave it all messed up or not; whether you flush your own toilet or not. Your ministry is the way that you love people. And you love people when you write something that is encouraging to them, something challenging. You love people when you call your wife and say, 'I'm going to be late for dinner,' instead of letting her burn the meal. You love people when maybe you cook a meal for your wife sometime, because you know she's really tired. Loving people - being respectful toward them - is much more important than writing or doing music.
Lucas J. Robak|Anything I can do, you can do better.
Hélène Cixous, The Book of Promethea|There are no whores in Scaithe’s Ebb, or none that consider themselves as such, although there have always been many women who, if pressed, would describe themselves as much-married, with one husband on this ship here every six months, and another husband on that ship, back in port for a month or so every nine months. The mathematics of the thing have always kept most folk satisfied; and if ever it disappoints and a man returns to his wife while one of her other husbands is still in occupancy, why, then there is a fight — and the grog shops to comfort the loser. The sailors do not mind the arrangement, for they know that this way there will, at the least, be one person who, at the last, will notice when they do not come back from the sea, and will mourn their loss; and their wives content themselves with the certain knowledge that their husbands are also unfaithful, for there is no competing with the sea in a man’s affections, since she is both mother and mistress, and she will wash his corpse also, in time to come, wash it to coral and ivory and pearls.
Danny Meyer|I've worked very hard at understanding myself, learning to be assertive. I'm past the point where I worry about people liking me.
Michael Graves, The Lost Library: Gay Fiction Rediscovered|America is a young country, young and brash and prone to errors. Like teenagers. For all our inherent goodness, we’ve been cursed with bright, shiny object disease and we don’t want a cure. Not now. Not till we get our little taste, till our kids get theirs.
Vincent van Gogh, Complete Letters of Vincent Van Gogh|We feel lonely now and then and long for friends and think we should be quite different and happier if we found a friend of whom we might say: “He is the one.” But you, too, will begin to learn that there is much self-deception behind this longing; if we yielded too much to it, it would lead us from the road.
Maggie Nelson, The Argonauts|The only guide which I feel that I can follow is not the fluctuating dicta of those who are victors in the battle for popularity at a given moment, but my own understanding of the American tradition in which I was brought up.
Michael  Grant, Lies|The intruders spoke no words as they rushed in. Five boys carrying baseball bats and tire irons. They wore an assortment of Halloween masks and stocking masks.But Derek knew who they were.“No! No!” he cried.All five boys wore bulky shooter’s earmuffs. They couldn’t hear him. But more importantly, they couldn’t hear Jill.One of the boys stayed in the doorway. He was in charge. A runty kid named Hank. The stocking pulled down over his face smashed his features into Play-Doh, but it could only be Hank.One of the boys, fat but fast-moving and wearing an Easter Bunny mask, stepped to Derek and hit him in the stomach with his aluminum baseball bat.Derek dropped to his knees.Another boy grabbed Jill. He put his hand over her mouth. Someone produced a roll of duct tape.Jill screamed. Derek tried to stand, but the blow to his stomach had winded him. He tried to stand up, but the fat boy pushed him back down.“Don’t be stupid, Derek. We’re not after you.”The duct tape went around and around Jill’s mouth. They worked by flashlight. Derek could see Jill’s eyes, wild with terror. Pleading silently with her big brother to save her.When her mouth was sealed, the thugs pulled off their shooter’s earmuffs.Hank stepped forward. “Derek, Derek, Derek,” Hank said, shaking his head slowly, regretfully. “You know better than this.”“Leave her alone,” Derek managed to gasp, clutching his stomach, fighting the urge to vomit.“She’s a freak,” Hank said.“She’s my little sister. This is our home.”“She’s a freak,” Hank said. “And this house is east of First Avenue. This is a no-freak zone.”“Man, come on,” Derek pleaded. “She’s not hurting anyone.”“It’s not about that,” a boy named Turk said. He had a weak leg, a limp that made it impossible not to recognize him. “Freaks with freaks, normals with normals. That’s the way it has to be.”“All she does is—”Hank’s slap stung. “Shut up. Traitor. A normal who stands up for a freak gets treated like a freak. Is that what you want?”“Besides,” the fat boy said with a giggle, “we’re taking it easy on her. We were going to fix her so she could never sing again. Or talk. If you know what I mean.”He pulled a knife from a sheath in the small of his back. “Do you, Derek? Do you understand?”Derek’s resistance died.“The Leader showed mercy,” Turk said. “But the Leader isn’t weak. So this freak either goes west, over the border right now. Or…” He let the threat hang there.Jill’s tears flowed freely. She could barely breathe because her nose was running. Derek could see that by the way she sucked tape into her mouth, trying for air. She would suffocate if they didn’t let her go soon.“Let me at least get her doll.
Paul Watson|The environmental movement doesn't have many deserters and has a high level of recruitment. Eventually, there will be open war.
Halldór Laxness, Independent People|You replace every molecule of every cell in your body within the course of only one year. I am not being flip when I refer to the "new you." It is quite literally possible, no matter how bad you are feeling or eating today, to be utterly transformed in just 365 days. But it won't take you that long. You can be feeling significantly better in just a couple of days and make lasting changes to your health within a month.
Nadja Sam|If man studied himself, he would see how incapable he is of going further.
Lorene Scafaria|My situation is different from Mark's. I'm not looking for home runs, I'm looking for the playoffs.
Holly Bourne|While she is still hospitalised, I take Emma out for strengthening walks, for her muscles and been under-used for a long time. She is sometimes breathless, I notice with concern, and there are other changes in her, either through a nerve her therapy touches, or through her illness, or both, which make her, quite often, disagreeable to be with.
Slavoj Žižek|God bestows great gifts on human beings with perfect justice, but not All gifts we are given come from God. Some gifts come from society or culture, and it is here that problems develop.
Cecilia Ekbäck, Wolf Winter|She wasn't sad. Not sad, more like... empty.
Kate Walbert, The Sunken Cathedral|How could I explain to this girl what Will and I had been to each other,the way I felt that no person in the world had ever understood me like he did or ever would again?How could she understand that losing him was like having a hole shot straight through me, a painful, constant reminder, an absence I could never fill?
Sunday Adelaja|One cannot have a future if he does not serve God, the one and only God
Marissa Meyer, Cinder|listen carefully, as this may be something of a shock to you." "A shock? You mean all that was just the precursor?
Denis Johnson|[Fireheart] was interrupted by a screech from Cloudtail. "Fireheart! Fireheart, Brightpaw isn't dead!"Fireheart spun around and raced across the clearing to crouch beside Brightpaw. Her white-and-ginger fur, which, she had always kept so neatly groomed, was spiky with drying blood. On one side of her face the fur was torn away, and there was blood where her eye should have been. One ear had been shredded, and there were huge claw marks scored across her muzzle.
Edna St. Vincent Millay|Oh, friend, forget not, when you fain would noteIn me a beauty that was never mine,How first you knew me in a book I wrote,How first you loved me for a written line....
Mehmet Murat ildan|If you keep wandering in the dark streets, may be it is because you find peace in the darkness rather than in the light!
Rex Stout, The Silent Speaker|Frankly, I wish I could make my heart quit doing an extra thump when Wolfe says satisfactory, Archie. It's childish.
Wallace Stegner|Creation is a knack which is empowered by practice, and like almost any skill, it is lost if you don't practice it.
Charles Bukowski, Betting on the Muse: Poems and Stories|I could never acceptlife as it was,I could never gobbledown all itspoisonsbu there were parts,tenuous magic partsopen for theasking.
William S. Burroughs, And the Hippos Were Boiled in Their Tanks|I began to get a feeling familiar to me from my bartending days of being the only sane man in a nuthouse. It doesn't make you feel superior but depressed and scared, because there is nobody you can contact.
V.C. Andrews, Seeds of Yesterday|Only I had dry eyes, a dry heart.
Bernard Malamud|The purpose of a writer is to keep civilisation from destroying itself.", September 14, 1958)
Voltaire|Speaking of Newton but also commenting more broadly on education and the Enlightenment: "I have seen a professor of mathematics only because he was great in his vocation, buried like a king who had done well by his subjects.
Sarah J. Maas, A Court of Thorns and Roses|I barely registered moving into the long gallery, one hand absentmindedly wrapping around my throat as I looked up at the paintings.So many, so different, yet all arranged to flow together seamlessly... Such different views and snippets and angles of the world. Pastorals, portraits, still lifes . . . each a story and an experience, each a voice shouting or whispering or singing about what that moment, that feeling, had been like, each a cry into the void of time that they had been here, had existed. Some had been painted through eyes like mine, artists who saw in colors and shapes I understood. Some showcased colors I had not considered; these had a bend to the world that told me a different set of eyes had painted them. A portal into the mind of a creature so unlike me, and yet . . . and yet I looked at its work and understood, and felt, and cared.
Lailah Gifty Akita, Think Great: Be Great!|What you dream of, you will possess.
Catherynne M. Valente|The next my parents and Brianna come rollin' up in here, I'm gonna scream, "Hey! Why don't y'all just MOVE IN?!
Genereux Philip|The more I change my old habits of thinking as that little boy with the shell, the easier it is for me to truly be the person I’ve chosen to be.
Beryl Markham, West with the Night|A charging black rhinoceros is nothing to mess with. When it is headed straight toward you, it is the ultimate exercise in sphincter control. In my case, it was a strange bit of weather that caused one to charge me.
Edith Schaeffer, The Hidden Art of Homemaking|The proper way is lost to me; my compass spins. I therefore give my entire attention to those works that seem to me most incorruptible: the application of heat, the proportion of seasoning, the arrangement of a plate. When robbed of all pretensions and aspirations, with no proper home nor any knowledge of what discord tomorrow brings, I still may have a pocketful of dignity. The Roman pomp and raiment have fallen away, and I see at last the glory of washed feet and shared bread.
John Flanagan, The Emperor of Nihon-Ja|You cut me,” he said. His voice was pleasant. British. Very ordinary. He looked at his hand with critical interest. “It might be fatal.”Tessa looked at him with wide eyes. “Are you the Magister?”He tilted his hand to the side. Blood ran down it, spattering the floor. “Dear me, massive blood loss. Death could be imminent.”“Are you the Magister?”“Magister?” He looked mildly surprised by her vehemence. “That means ‘master’ in Latin, doesn’t it?”“I…” Tessa was feeling increasingly as if she were trapped in a strange dream. “I suppose it does.”“I’ve mastered many things in life. Navigating the streets of London, dancing the quadrille, the Japanese art of flower arranging, lying at charades, concealing a highly intoxicated state, delighting young women with my charms…”Tessa stared.“Alas,” he went on, “no one has ever actually referred to me as ‘the master’, or ‘the magister’, either. More’s the pity…
Susan Zwinger, The Last Wild Edge: One Woman's Journey from the Arctic Circle to the Olympic Rain Forest|What is the weight of a tear? The single tear falls when the buckets have stopped, when dry eyes and a slightly raised chin sometimes let it slip, like a prayer. It carries the weight of a lifetime.
C.F.W. Walther, Law & Gospel: How to Read and Apply the Bible: A Reader's Edition|Our “ministry” should be an overflowing of our lives, an overflowing of our walk with Jesus Christ! We aren’t our ministry, it’s an byproduct of our relationship with Jesus Christ!
Christopher Marlowe|You ask me, I'd guess heaven and hell look pretty much the same," I replied. "Only in hell, everything is just a little out of reach.
Studs Terkel|The problem is, is that President Bush and the Republican leadership in the Congress have resisted attempts to increase dramatically our fuel economy standards over the last five years.
greg c warner|Safe DepositI thought that I could keep it−the light on the running tide,how your eyes give you awayno matter what you hide.I thought that I could hold it−the forest along the sand,your neck bones like pearlsunderneath my hand.But time's school has taught mehow petals brown and die.There's no saving pleasure.Don't try. Don't try.
Mike Carey, Lucifer, Book One|Because all the waters of the ocean won't fill a bucket with a hole in it. And that's their fall, and that's their fellowship. Desire. The hole in the bucket: the gulf of yearning into which the soul empties itself.
Drishti Bablani|You never lose Friends.Real ones will always stay - no matter whatand the fakes, you don't need anyways.
Albert Bandura|It is good taste, and good taste alone, that possesses the power to sterilize and is always the first handicap to any creative functioning.
Douglas Fairbanks|Acting is a sense of wonder and magic and mystery for me and when life takes me on a new journey, I simply remember the smile my first ballet recital put on my face and I move forward.
jojo1980|Some way some how i'm going to be happy i'm going to laugh i'm going to prosper,i feel good that i remain positive thru these mess up times!!!
Charles Dickens, Works of Charles Dickens|Think of every fairy-tale villainess you've ever heard of. Think of the wicked witches, the evil queens, the mad enchantresses. Think of the alluring sirens, the hungry ogresses, the savage she-beasts. Think of them and remember that somewhere, sometime, they've all been
Michael Pollan, The Omnivore's Dilemma: A Natural History of Four Meals|The first supermarket supposedly appeared on the American landscape in 1946. That is not very long ago. Until then, where was all the food? Dear folks, the food was in homes, gardens, local fields, and forests. It was near kitchens, near tables, near bedsides. It was in the pantry, the cellar, the backyard.
Abigail Brown|As Christians it is not just for us to know what we believe, but why we believe it".~R. Alan Woods [2012]
George Ella Lyon, Holding on to Zoe|I just thought I had to do it. You want this boy to like you, right? And he’s so solid, so sure of himself. He knows what he wants: you. Besides, maybe if he touches you, you’ll be real.
Amish Tripathi|In the vacuum created by fear and ignorance and hunger and want, it's evil, not good, that rushes to fill the void.
Bobby Orr|I travel around the world, experiencing every language, every religion... some places where there's just no reason to smile, because their lives are so difficult.
Soumeet Lanka|I don't know what being god must feel like, but it can't be much different that being an inventor.There is power in the idea that a certain product never existed before you thought of it, there is joy in the act of bringing the idea into reality and there is contentment in seeing the product come to life when it is being used.
Barbara W. Tuchman, The Guns of August|To some people, I may seem calm. But if you could peer beneath the surface, you would see that I'm like a duck--paddling, paddling, paddling.
Reduced Shakespeare Company, The Compleat Works of Wllm Shkspr|What's in a name, anyway? That which we call a nose by any other name would still smell.
Sarah J. Maas, Heir of Fire|My truth is mine alone; as yours is yours. For this reason, I hear and see you free of judgement, fear, anger, and resentment. This is my promise to you. This is my gift to me.
Kathleen Rooney, Lillian Boxfish Takes a Walk|We think of dogs as being more like people than pigs; but pigs are highly intelligent animals and if we kept pigs as pets and reared dogs for food, we would probably reverse our order of preference. Are we turning persons into bacon?
Richelle Mead, Last Sacrifice|I wasn't fooled. He was avoiding looking at me. "There's nothing to talk about.""I knew you'd say that. Actually, it was a toss-up between that and 'I don't know what you're talking about.'"Dimitri sighed.
Sandeep N. Tripathi|Some things are worse than death... If a man lives, he must still live with himself.
Sunday Adelaja|If we preach God, it means we preach light. Consequently we preach freedom from ignorance.
Douglas Adams|He attacked everything in life with a mix of extraordinary genius and naive incompetence, and it was often difficult to tell which was which.
Marianne Williamson, A Return to Love: Reflections on the Principles of "A Course in Miracles"|Achievement doesn't come from what we do, but from who we are.  Our worldly power results from our personal power.  Our career is an extension of our personality. People who profoundly achieve aren't necessarily people who do so much, they're people around whom things get done. Mahatma Gandhi and JFK were great examples of this.  Their great achievements lay in all the energy they stirred in other people, the invisible forces they unleashed around them.  By touching their own depths, they touched the depths within others.  That kind of charisma, the power to affect what happens on the earth, from an invisible realm within is the natural right and function of the son of god.  New frontiers are internal ones, the real stretch is always within us.  Instead of expanding our ability or willingness to go out and get anything, we expand our ability to receive what is already here for us.  Personal power emanates from someone who takes life seriously.  The universe takes us as seriously as we take it.  There is no greater seriousness than the full appreciation of the power and importance of love.  Miracles flow from the recognition that love is the purpose of our career.
Lindsey Graham|I totally accept that it's a legitimate criticism that when you are involved in the day-to-day scrum of government... that what can get lost is the narrative, the hymn sheet... the song that inspires and lifts people's sights.
Marcus Aurelius, Meditations|Night helps us appreciate daylight, while lengthy days make us yearn for a good stretch of night.
- Ralph Waldo Emerson|To progress isn’t a little step, it’s a pretty dramatic lifestyle change.
Billy Graham, Billy Graham in Quotes|It is vitally important for local church leaders to keep in touch with the spiritual state of their members, to discuss their level of biblical knowledge, and to teach them how to study God’s Word and pray.
Ned Vizzini, It's Kind of a Funny Story|I didn't want to wake up. I was having a much better time asleep. And that's really sad. It was almost like a reverse nightmare, like when you wake up from a nightmare you're so relieved. I woke up into a nightmare.
Frank Murphy|In thinking about religion and society in the 21st century, we should broaden the conversation about faith from doctrinal debates to the larger question of how it might inspire us to strengthen the bonds of belonging that redeem us from our solitude, helping us to construct together a gracious and generous social order.
Victor Hugo, Les Misérables|A man may beg, but a woman has to sell.
Fiona Thrust, Naked and Sexual|Excuse me,’ I said cheerily. ‘Is the job still going?’ I pointed to the notice.‘Of course,’ he said, looking back at me with a warm smile. I think he was as hopeful as I was about where this could lead to. ‘We need all the hands we can get.’I looked at the tight swell of his shirt against his chest, and thought, 'Mmm, yes, I can imagine my hands getting your fucking clothes off right now.
Janeane Garofalo|If his presidency is to represent the full power of the idea that black Americans are just like everyone else - fully human and fully capable of intellect, courage and patriotism - then Barack Obama has to be subject to the same rough and tumble of political criticism experienced by his predecessors.
Rebecca Traister|Proclaim human equality as loudly as you like, Witless will serve his brother.
Shelby Foote|When I started to learn how to read, I discovered the same kind of power. I could create an environment that I didn't have, and I could order this environment in the way that I couldn't in my actual life. Then, when I learned to write, I learned that I could do this not only for myself, but for other people. I could create whole things that were believable, at least to myself, at that point. And in this way, I began to wield an authority and a power that I had not had before. In other words, every child goes through this. Some pick football and some pick the library. I picked the library.
Eliezer Yudkowsky, Harry Potter and the Methods of Rationality|I find it hard to understand the mind of the true atheist, who believes that life is nothing more than a series of electrical impulses and biochemical reactions to chemical stimuli. Presumably, such thinkers see death as the worst thing that can occur, because it means the end of everything. Therefore (logically), maintaining the continuance of physical existence, under any circumstances, is entirely justifiable.
A.J. Darkholme, Rise of the Morningstar|A man's value to the community depends primarily on how far his feelings, thoughts, and actions are directed towards promoting the good of his fellows.
Sendhil Mullainathan|A lot of psychological principles and even medical principles, you see them coming around to what the Bible said hundreds of years ago: a merry heart is good like a medicine.
Leslie Ludy, Wrestling Prayer: A Passionate Communion with God|Prayer is not supposed to be all we do - it's just supposed to undergird all we do. Prayer is not supposed to be just the first thing we do, but the first, second, fourth, seventh, and final thing we do in each circumstance.
Daniel Pinchbeck|The times are too difficult and the crisis too severe to indulge in schadenfreude. Looking at it in perspective, the fact that there would be a financial crisis was perfectly predictable: its general nature, if not its magnitude. Markets are always inefficient.
Jeff Shaara, A Blaze of Glory|The best things in life are really freeLove, honor, a noble mind ....And my local library.
|Faith is not something that goes against the evidence, it goes beyond it. The evidence is saying to us, 'There is another country. There is something beyond mere reason'.
Vijender Singh|I'm always on tour, so I'm always trying new tracks out live before they're released. That's more necessity than anything, because I don't get a proper chance to sit in a studio and work on tracks like other producers do.
Abhijit Naskar, In Search of Divinity: Journey to The Kingdom of Conscience|Once the powers of the mind are concentrated and turned back upon itself, as the darkest places reveal their secrets before the penetrating rays of the sun, so would the concentrated mind penetrate its own innermost secrets.
Jenny Valentine, Me, the Missing, and the Dead|I wonder if all mothers feel like this the moment they realize their daughters are growing up- as if it is impossible to believe that the laundry I once folded for her was doll-sized; as if I can still see her dancing in lazy pirouettes along the lip of the sandbox. Wasn't it yesterday that her hand was only as big as the sand dollar she found on the beach? That same hand, the one that's holding a boy's; wasn't it just holding mine, tugging so that I might stop and see the spiderweb, the milkweed pod, any of a thousand moments she wanted me to freeze? Time is an optical illusion- never quite as solid or strong as we think it is. You would assume that, given everything, I saw this coming. But watching Kate watch this boy, I see I have a thousand things to learn.
Diane Chamberlain, Conduct Unbecoming: Rape, Torture, and Post Traumatic Stress Disorder from Military Commanders|Theirs not to make reply,Theirs not to reason why,Theirs but to do and die.Into the valley of DeathRode the six hundred.
C. JoyBell C.|Magic is only unexplained science. Science is explained magic. When I study science, I study magic. When I study magic, I study science.
Mehmet Murat ildan|Reality is not enough for us, that’s why we have invented art to create different realities!
Genevieve Gerard|By opening the door to my life, it is my hope and mission to shed light on the hidden wounds of abuse, to end the stigma and shame associated with abuse, and to show survivors true courage, strength, inspiration, and determination.
Debasish Mridha|There is nothing more powerful than this moment your living, now, more powerful than your convictions and truths, spend time with what your heart desires and souls screams for. Life ends a day before we know it, it's so important to chase everything that matters to you.
George MacDonald, Complete Works of George MacDonald|DREAMS are the ones that WAKE you, SHAKE you and make YOU..........................................
Umberto Eco, The Name of the Rose|Because learning does not consist only of knowing what we must or we can do, but also of knowing what we could do and perhaps should not do.
Mark Z. Jacobson|To give anything less than your best, is to sacrifice the gift.
Ayn Rand, The Fountainhead|But, you see, it's not what you do that matters really. It's only you.""Me what?""Just you here. Or you in the city. Or you somewhere in the world. I don't know. Just that.
Billy Graham, Billy Graham in Quotes|Christianity is not an accretion, it is not something added. It is a new total outlook which is satisfied with nothing less than penetration to the furthest corners of the mind and the understanding.
Muhammad Ali Jinnah|Democracy is in the blood of the Muslims, who look upon complete equality of mankind, and believe in fraternity, equality, and liberty.
Zack W. Van|Life is a game of common sense. You can know all the data that the encyclopedia holds, but if you can't apply it to social situations and day to day events, you're on the same rank as someone with no data at all.
Bernie Su, The Secret Diary of Lizzie Bennet|Grant me one hour on love’s most sacred shoresTo clasp the bosom that my soul adores,Lie heart to heart and merge my soul with yours.
Alexander McCall Smith|Libraries are, at heart, helpful and kind providers. It is hard for those who perhaps don't feel the need to visit their local libraries to understand what a vital service they provide for communities and individuals who do - and those who do are often the most vulnerable.
Bruce Chatwin, The Songlines|At forty-three, I bought my first house. I’d wanted one like crazy. A house meant family, a happy childhood for my litttle girl and for the little girl self inside me. . . . I was soon overwhelmed by the upkeep and overcome by the yardwork. . . . In the bright light of closing, it was obvious: it was never a house I wanted; it was what a house symbolized to me. (254)
George Orwell|This union has been divided in like a civil war - brother against brother - sister against sister. And I'm pulling it together. We've already seen evidence of that in New York, in Pennsylvania, in California. The first thing is we have to get on the same page. We have to be united in one cause.
Tom Holland|Very often I've known people who wouldn't say a word to each other, but they'd go to see movies together and experience life that way.
Jason Aldean|Women want mediocre men, and men are working to be as mediocre as possible.
Booker T. Washington, Up From Slavery: An Autobiography|I have observed this in my experience of slavery, - that whenever my condition was improved, instead of its increasing my contentment, it only increased my desire to be free, and set me to thinking of plans to gain my freedom. I have found that, to make a contented slave, it is necessary to make a thoughtless one. It is necessary to darken his moral and mental vision, and, as far as possible, to annihilate the power of reason. He must be able to detect no inconsistencies in slavery; he must be made to feel that slavery is right; and he can be brought to that only when he ceased to be a man.
Claudia Gray, A Thousand Pieces of You|My hate is stronger than the dimensions, stronger than memory, stronger than time. My hate is now the truest part of who I am.
Fernando Alonso|Just remember, you are not alone, in fact you are in a very common place with millions of others. We need to help each other and keep striving to reach our goals.
Guy Kawasaki, The Art of the Start: The Time-Tested, Battle-Hardened Guide for Anyone Starting Anything|I personally feel that I could not go out and plant the million trees, but I could go out and tell people to tell 10 people each, ‘Okay, all of us are going to go out and plant 10 trees,’ and you, eventually, plant a million trees.
Samantha Young, Blood Will Tell|I want to be able to see stuff," Iggy said. "Like I used to, when I was little. And I want to be able to totally kick Jeb's butt.
Jason Medina, A Ghost In New Orleans|He blamed television, movies, and books for his love of ghosts. It was a fascination that’s been with him since his youth. He always loved watching or reading anything that had to do with ghosts and haunted locations, especially historic sites like New Orleans, Salem, Tombstone, Gettysburg, and Old San Juan.
Pete McCarthy, McCarthy's Bar: A Journey of Discovery In Ireland|We had found nothing, and had been lost several times already in one morning, so this was shaping up into a top travel experience.
Thomas Narofsky, F(X) Leadership Unleashed!|We need leaders who can meet and adapt to new challenges, build strategic partnerships, build and sustain human capital organizations, and have the courage to act and react to the challenges
Kevin Bacon|Any marriage is hard work. But what I always say is, "Keep the fights clean and the sex dirty.
L.M. Montgomery|I ought to grow up successfully, and I'm sure it will be my own fault if I don't. I feel it's a great responsibility because I have only one chance. If I don't grow up right I can't go back and begin over again.
Israelmore Ayivor, Six Words Inspiration|In your anger, zip your lips!
Swati Kumar, The Great Indian Dilemma|Nostalgia, she knew, has the power to make you smile and also to make you cry.
Terry Pratchett, Feet of Clay|A glass poured to air for the one who sits with us unseen; the patron and protector, the Crooked Warden, the Father of Necessary Pretexts. Thanks for deep pockets poorly guarded. Thanks for watchmen asleep at their posts. Thanks for the city to nurture us and the night to hide us. Thanks for friends to help us spend the loot.
Davis Bunn, The Solitary Envoy|Give a man a noble cause and he would fight to the death for what he believed in,but get the woman he loves to leave him and his once honourable principles would cease to be quite so important.
Rashmit Kalra|Action is the only truth. Truth is the only reality. Rest is all thought - philosophy, fantasy or imagination. But, universe is not a thought. Universe is action. How does it matter what the world, society or I think what I am meant to do or what I am born to do? The truth is what I am doing and that's what makes the difference to the world; thats the only reality and that's what reflects the self that I am.
Wendy Mass, Jeremy Fink and the Meaning of Life|If an object - a star, for instance, like our own sun - is eight hundred light years away from the Earth, it would take light leaving that object eight hundred years until it reached our eyes. So when you look at that object, you are seeing it as it appeared eight hundred light years ago, not as it looks today. It might not even exist anymore. Every time you look up at the stars, you are looking into the past.
Max Frisch|You can put anything into words, except your own life
Douglas B. Reeves, Leading Change in Your School: How to Conquer Myths, Build Commitment, and Get Results|Lawrence is the supreme poet of Eros. No recriminations, no reproaches, no guilt, no 'morality'. For what's 'morality' but a leash around the neck? A noose? What's 'morality' but what other people want you to do, for their own, selfish, unstated purposes?
Luigina Sgarro|Truth be told, are you ready to defend yourself?
John Trumbull|In football, I don't have a lot of friends. The people who I really trust, there are not many... Most of the time, I'm alone.
Jamsetji Tata|With honest and straightforward business principles, close and careful attention to details, and the ability to take advantage of favourable opportunities and circumstances, there is a scope for success.
Mario Puzo, The Godfather|A man who is not a father to his children can never be a real man,
Santosh Kalwar|Each one of us comes out of our mother's body crying, with or without exceptions. But we are not aware of it. Are you? Do you remember that you cried the very first time you come out of your mother's body? If not, then why are you crying now?
Sinead O'Connor|Last period of the day was new gym class. It was her only class that didn't include Evan, which was a relief. She should be functioning at a peak concentration, but he and his luminous eyes kept distracting her. First opprtunity I have, she thought. I'll bite him.
Elle Lothlorien, Alice in Wonderland|Are you referring to the day you instructed me to ‘follow the white rabbit,’ plied me with absinthe and brownies, and tried to have your way with me? Didn’t take long for you to lose your romantic streak, did it?
Sigmund Freud, Introductory Lectures on Psychoanalysis|Words and magic were in the beginning one and the same thing, and even today words retain much of their magical power.
Graham Spaid, tireless:|The chairs - turned towards one another in groups of twos and threes - seemed like the seats of ghosts in close conversation with one another. There were sets of two chairs - very close to one another - in the far corners of the room, which spoke of recent whispered flirtations, over cold game pie and iced champagne; there were sets of three and four chairs, that recalled pleasant animated discussions over the latest scandals; there were chairs straight up in a row that still looked starchy, critical, acid, like antiquated dowagers; there were a few isolated, single chairs, close to the table, that spoke of gourmands intent on the most recherche dishes, and others overturned on the floor, that spoke volumes on the subject of my Lord Grenville's cellars.
Neal Stephenson, The Diamond Age: or, A Young Lady's Illustrated Primer|It had come from one of two corgis who were even now slamming their preposterous bodies into each other not far away, trying to roll each other over, which runs contrary to the laws of mechanics even in the case of corgis that are lean and trim, which these were not.This struggle, which appeared to be only one skirmish in a conflict of epochal standing, had driven all lesser considerations, such as guarding the gate, from the combatants' sphere of attention...
Rod Blagojevich|With my early work I got eviscerated by my male professors, and so you learned to disguise your impulses, as many women have done. And that's definitely changed.
Shannon L. Alder|Arrogance is someone claiming to have come to Christ, but they won't spend more than five minutes listening to your journey because they are more concerned about their own well being, rather than being a true disciple of Christ. Blessed is the person that takes the time to heal and hear another person so they can move on.
Erol Ozan|Help someone, you earn a friend. Help someone too much, you make an enemy.
Gene Luen Yang|France is not poetic; she even feels, in fact, a congenital horror of poetry. Among the writers who use verse, those whom she will always prefer are the most prosaic.
Stephen Richards, Lost in Care: The True Story of a Forgotten Child|During the interim, no matter how much agony the man may feel, he also experiences excitement, the excitement of learning how to cope with a closed society that reflects free society as a funhouse mirror reflects the human form: everything is there, but distorted.
Aubrey Rose, Me, Cinderella?|Life would move on with or without me, and I didn’t need to change myself in order to be beautiful, or happy, or worthly of love. I already was.
H.L. Mencken, In Defense Of Women|Civilization, in fact, grows more maudlin and hysterical; especially under democracy it tends to degenerate into a mere combat of crazes; the whole aim of practical politics is to keep the populace alarmed (and hence clamorous to be led to safety) by an endless series of hobgoblins, most of them imaginary. Wars are no longer waged by the will of superior men, capable of judging dispassionately and intelligently the causes behind them and the effects flowing out of them. The are now begun by first throwing a mob into a panic; they are ended only when it has spent its ferine fury.
Haruki Murakami, A Wild Sheep Chase|I'm going to live to be twenty-five,' she said, 'then die.
Marlene Dietrich|In all our deeds, the proper value and respect for time determines success or failure.
Hugo Black|Civilization is a movement and not a condition, a voyage and not a harbor.
Markus Zusak, Underdog|This isn’t over, Sylvia. I’ll leave you now, but I’m watching. I will not let that bastard hurt you.” I said this just as I reached the door. As she shut the door I heard a strangled whisper, “No, you’re perfectly capable of doing that on your own.
U.G. Krishnamurti|It is fear that makes you believe that you are living and that you will be dead.What we do not want is the fear to come to an end. That is why we have invented all these new minds, new sciences,new talks, therapies, choiceless awareness and various other gimmicks.
Khadija Rupa, Unexpressed Feelings|She was broken. She was useless. She was the pointless half of a friendship. The one who would live forever in shadows, no matter what she did. No matter whom she fought.
Scarlett Johansson|In history as in human life, regret does not bring back a lost moment and a thousand years will not recover something lost in a single hour.
Katie Kacvinsky, Middle Ground|You're saying,' he said, weighing each word, 'that we should send Carrot away to be a duck among humans because Bjorn Stronginthearm is my uncle.
Sunday Adelaja, The Mountain of Ignorance|When you see injustice among the nations, you will find out that the root cause is covetousness.
