Timothy Egan|Like all great readers, he could create for himself a "wall of stillness".
Claire Garber, Love is a Thief|The more things you experience, the more you discover what you really like.The more you discover what you really like, the more you learn what you're really like.The more you learn what you're really like, the more you know what you really want. And why.Share what you want and help make "things" happen.
Joyce Carol Oates|Hip-hop, this thing we love that loves us back, is our lingua franca.
William Shakespeare|Most people are other people. Their thoughts are someone else's opinions, their lives a mimicry, their passions a quotation.
Rose Wynters, Phase One: Identify|He glanced at James before continuing. “If you're going to survive this, the first rule you need to learn is never count on anyone but yourself. Never. People make mistakes, and the zombies are fast. They don't need to sleep or eat anything but us. Don't leave your protection in the hands of someone else.
Colette, Earthly Paradise|The writer who loses his self-doubt, who gives way as he grows old to a sudden euphoria, to prolixity, should stop writing immediately: the time has come for him to lay aside his pen.
Elbert Hubbard, Little Journeys to the Homes of the Great Vol. 3: American Statesmen|You have enemies? Good. That means you've stood up for something, sometime in your life.
Unarine Ramaru|Choose criticism wisely, it might help you improve some elements of what you do.
Jane Austen, Pride and Prejudice|But above all, above respect and esteem, there was a motive within her of good will which could not be overlooked. It was gratitude. -- Gratitude, not merely for having once loved her, but for loving her still well enough, to forgive all the petulance and acrimony of her manner in rejecting him, and all the unjust accusations accompanying her rejection. He who, she had been persuaded, would avoid her as his greatest enemy, seemed, on this accidental meeting, most eager to preserve the acquaintance, and without any indelicate display of regard, or any peculiarity of manner, where their two selves only were concerned, was soliciting the good opinion of her friends, and bent on making her known to his sister.
Forrest Curran, Purple Buddha Project: Purple Book of Self-Love|Freedom from stress, freedom from anxiety, freedom from depression; freedom is autonomy from all that stagnates growth in this ever complex and noisy world. By the fear of being in the unknown, we often overlook and forget the serene view of being on the raft: the glowing virgin stars, the gentle ways that the waves moves, and the endless possibilities that exist under the sun. The fundamental principle of freedom is to be lost and our state of mind never differs too far from this analogy of being stranded in the middle of the ocean.
G.S. Jennsen, Vertigo|The first time you share tea with a Balti, you are a stranger. The second time you take tea, you are an honored guest. The third time you share a cup of tea, you become family, and for our family, we are prepared to do anything, even die.
Eugène Ionesco, The Colonel's Photograph|I am sad when I think that the years go by like sacks that we mark "Returned Empty," sad when I think that we shall be separated from one another and from ourselves.
Fyodor Dostoyevsky, The Brothers Karamazov|I tell you, the old-fashioned doctor who treated all diseases has completely disappeared, now there are only specialists, and they advertise all the time in the newspapers. If your nose hurts, they send you to Paris: there's a European specialist there, he treats noses. You go to Paris, he examines your nose: I can treat only your right nostril, he says, I don't treat left nostrils, it's not my specialty, but after me, go to Vienna, there's a separate specialist there who will finish treating your left nostril.
Susan Fox|Jonathan took her hand. “Christiana.”“Yes?” Her rosebud lips parted on an involuntary sigh, and his imagination got the better of his intellect. It took every ounce of control to not crush her . . . take her right then and there.“I shouldn’t have . . . .” He had no right to her. She had not given herself to him. He had yet to even ask, and he shouldn’t. Washington was unforgiving in many matters and getting involved with a nineteen year-old would prove fatal. He already tested the boundaries with his sexual proclivities.“No, please. Do it again.
lexis smigz|life is not about how fast you start,but how the end is going to be ,so don't worry when others are ahead of you.just keep on doing what you have been doing.
Joanne Harris, Runemarks|The severing of his limbs and subsequent cauterizing of the wounds was not the most pleasurable part, no." His mad grin stretched, it seemed, from ear to ear.
Jennifer Ashley, The Madness of Lord Ian Mackenzie|Human life is inherently dualistic. It consists of or is explicable as two fundamental entities, including rivalries between subject and object, mind and matter, and conflict between the benevolent and the malevolent forces. Opposition in the universe creates a dynamic living universe composed of good and evil, body and soul. Human thoughts and feelings are the communal products of the conscious and unconscious mind’s interpretation of a constant flow of coded and symbolic dialogue.
Hiro Mashima, フェアリーテイル 15 [Fearī Teiru 15]|My Heart is Bounding! I can fly anywhere as long as I'm with the Nakama I Love!!!"~Leevy
Samuel Beckett, Texts for Nothing and Other Shorter Prose 1950-1976|When there hasn't been anything there, nothing can be said to have vanished from the place where it has not been.("Out Of The Deep")
Archibald Marwizi, Making Success Deliberate|How do you visualize the success of those parts of the world falling under your leadership? What about the success of your organisation, your family and all the people related to the two institutions? How fulfilling are the results of this personal evaluation? What can you start doing about it, today?
Margaret Mitchell, Gone with the Wind|She had never understood either of the men she had loved and so she had lost them both. Now, she had a fumbling knowledge that, had she ever understood Ashley, she would never have loved him; had she ever understood Rhett, she would never have lost him.
Suzanne Collins, Mockingjay|That what?" "That I knew i misjudged you. That you love him. I'm not saying In what way. Maybe you don't know yourself. But anyone paying attention could see how much you care about him," he says gently.
Matthew      Lewis, The Monk|Well, I must endure the presence of two or three caterpillars if I wish to become acquainted with the butterflies. It seems that they are very beautiful.And if not the butterflies– and the caterpillars– who will call upon me? You will be far away. . . as for the large animals– I am not at all afraid of any of them. I have my claws.”And, navely, she showed her four thorns. Then she added:“Don’t linger like this. You have decided to go away. Now go!”For she did not want him to see her crying. She was such a proud flower. . .
Corinne Duyvis, On the Edge of Gone|She unwinds her scarf, taking so long about it that I wonder if she expects me to respond. “You were following the rules,” I offer after a minute. It makes her words no more pleasant. Resentment. Was that how she’d looked at me? Then how am I supposed to trust how she looks at me now?My words elicit a thankful smile. “Mostly, though, I knew you could do the job. Did you ever know other autistic people?”I shake my head. I’d heard rumors about one teacher, but never asked him. Mom had encouraged me to find a local support group, but I’d never seen the appeal—or the need. It wouldn’t change anything. I had friends, anyway. Peopleonline, my fellow volunteers at the Way Station. I even got along with Iris’s friends.“Well, I did, and I feel like a fool for never recognizing your autism. I had autistic colleagues at the university. They were accommodated, and they thrived. One researcher came in earlier than everyone else and would stay the longest. I saw the same strengths in you once I knew to look for them. You’re punctual, you’re precise, you’re trustworthy. When you don’t know something, you either figure it out or you ask, and either way, you get it right. I wanted to give you the same chance my colleagues had, and that other Nassau passengers got. One of the doctors is autistic—did you know?” Els silences an incoming call. “Does that answer your question?
Stephen Richards, Be First: Achieve Every Dream|if the world is blaming you, if your not guiltythen you become the judge and do whats right even if it feels wrong, or people say its wrong
F. Scott Fitzgerald|There's only one thing in life more dangerous than a bad idea, and that's a good one.
Aman Jassal, Rainbow - the shades of love|Between lovers, betrayal is always the worst sin.
W. Somerset Maugham, Of Human Bondage|Schools are made for the average. The holes are all round, and whatever shape the pegs are they must wedge in somehow. One hasn't time to bother about anything but the average.
Arthur Koestler, Darkness at Noon|It may be considered folly by common opinion but this refusal to destroy life unnecessarily, this reverence for it, must become a deeply implanted part of his ethical standard.
Swami Vivekananda, Complete Works of Swami Vivekananda 8 Vol. set|the man who is pure, and who dares, does all things.
Anne Gracie, The Perfect Rake|Yes. And when a rake finally falls, he falls forever.
Shannon L. Alder|It is easier to tell a person what life is not, rather than to tell them what it is. A child understands weeds that grow from lack of attention, in a garden. However, it is hard to explain the wild flowers that one gardener calls weeds, and another considers beautiful ground cover.
Matshona Dhliwayo|Two hands cut down a few trees, but one matchstick clears a forest.
Dorothy L. Sayers, Gaudy Night|The rule seemed to be that a great woman must either die unwed ... or find a still greater man to marry her. ... The great man, on the other hand, could marry where he liked, not being restricted to great women; indeed, it was often found sweet and commendable in him to choose a woman of no sort of greatness at all.
Lance Secretan|It's that preparation that goes into each week. We have a term: 'Trust your training, trust your teammate, and trust yourself.'
Aziz Ansari|Chauncy made a huge effort to control himself. “I had lunch at Maisie’s Diner.”“And?”“And what? It was the most revolting lunch it has been my misfortune to consume.”“And after?”“Diarrhea, of course.
Alicen Grey, Wolves and Other Nightmares|when we're done, I'll be where the night never stopscradling a bruise that's shaped like youwondering why sleep never came to mewondering how I still dreamed
Craig D. Lounsbrough|With God, the word ‘impossible’ is itself impossible.
Edgar Rice Burroughs|Gags die, humor doesn't.
Chris Matakas, My Mastery: Learning to Live through Jiu Jitsu|We see that the vast majority of our suffering is needless, and simply arises from the misidentification with our thinking mind.
Compton Gage|For like as the ground is given unto the wood, and the sea to his floods: even so they that dwell upon the earth may understand nothing but that which is upon the earth: and he that dwell above the heavens may only understand the things that are above the height of the heavens.
Nikola Tesla|What being a socialist means is... that you hold out... a vision of society where poverty is absolutely unnecessary, where international relations are not based on greed... but on cooperation... where human beings can own the means of production and work together rather than having to work as semi-slaves to other people who can hire and fire.
Brunonia Barry, The Lace Reader|There is lace in every living thing: the bare branches of winter, the patterns of clouds, the surface of water as it ripples in the breeze.... Even a wild dog's matted fur shows a lacy pattern if you look at it closely enough.
Angela Richardson, Pieces of Truth|I guess the higher up on the food chain you go, the admiration isn’t just for the hungry, but for the ones that go the extra mile to take a bite.
Stephen Dau, The Book of Jonas|Mine was still the stronger side. I was beloved by the soldiery, who generally care very little what god they serve so long as they are caressed by their king. (“The Story of Prince Alasi and the Princess Firouzkah”)
Paulo Coelho, The Alchemist: A Graphic Novel|Because I don't live in either my past or my future. I'm interested only in the present. If you can concentrate always on the present, you'll be a happy man. You'll see that there is life in the desert, that there are stars in the heavens, and that tribesmen fight because they are part of the human race. Life will be a party for you, a grand festival, because life is the moment we're living right now.
Philip Roth, I Married a Communist|How do you sell emptiness, vulnerability, and nonsuccess?
|Life is full of surprises; however, they are nothing to a mind that shelters positive beliefs.
John Patrick Hickey, On The Journey To Achievement|The achievement of the goal is only a stepping-stone to the next, bigger and better goal. It never stops.
Italo Calvino, Under the Jaguar Sun|I was living and dying in all the fibers of what is chewed and digested and in all the fibers that absorb the sun, consuming and digesting. Under the thatched arbor of a restaurant on a river-bank, where Olivia had waited for me, our teeth began to move slowly, with equal rhythm, and our eyes stared into each other's with the intensity of serpents'—serpents concentrated in the ecstasy of swallowing each other in turn, as we were aware, in our turn, of being swallowed by the serpent that digests us all, assimilated ceaselessly in the process of ingestion and digestion, in the universal cannibalism that leaves its imprint on every amorous relationship and erases the lines between our bodies and sopa de frijoles, huachinango a la vera cru-zana, and enchiladas.
Akshay Vasu|Darkness always causes fear and chaos inside us. We are always scared of losing ourselves somewhere inside there. But some of us get so much used to it that we start feeling peaceful in there and we start spending more time in it. One weird thing about darkness is, we meet ourselves there. Who are very different from what we are. And once we start speaking with them we become addicted to that kind of conversations. We fall in love with the same thing that we tried to run away from out whole life.
Stephen White, Private Practices|The only reason I haven't shot you yet is because he's the one who should get to do it," I say. "Stay away from him or I'll decide I no longer care.
Celia Rivenbark, Belle Weather: Mostly Sunny with a Chance of Scattered Hissy Fits|Shut up. Take down your pants. I'm going to mark you as mine."Nick squeaked and held onto his belt, fighting Damian for possession of it. "Here? Everyone will hear. They'll know!""I want them to know," Damian said, winning the wrestling match for the belt as was inevitable that he would."London!" Nick gasped. "London!"Damian stopped, his eyes clearing as he noticed how terrified Nick looked. After a long minute, he pulled him into a hug. "I'm sorry, baby. I didn't mean to scare you. I thought you'd like it.
M.F. Moonzajer, LOVE, HATRED AND MADNESS|Every agnostic has a minister, Mike. Otherwise, they's be atheists.
Ella Frank, Try|Careful tate, I'm already turned on, you know how hot I get when you're mean to me.
Anonymous|Through the heartfelt mercies of our God,  God's Sunrise will break in upon us,  Shining on those in the darkness,  those sitting in the shadow of death,  Then showing us the way, one foot at a time,  down the path of peace.
Edgardo Osorio|All the information you could want is constantly streaming at you like a runaway truck - books, newspaper stories, Web sites, apps, how-to videos, this article you're reading, even entire magazines devoted to single subjects like charcuterie or wedding cakes or pickles.
Auliq Ice|Given a choice, I would never want a life totally devoid of pain, but life is meaningless without some sadness.
Lauren Beukes, Zoo City|How does paying people more money make you more money?It works like this. The more you pay your workers, the more they spend. Remember, they're not just your workers- they're your consumers, too. The more they spend their extra cash on your products, the more your profits go up. Also, when employees have enough money that they don't have to live in constant fear of bankruptcy, they're able to focus more on their work- and be more productive. With fewer personal problems and less stress hanging over them, they'll lose less time at work, meaning more profits for you. Pay them enough to afford a late model car (i.e. one that works), and they'll rarely be late for work. And knowing that they'll be able to provide a better life for their children will not only give them a more positive attitude, it'll give them hope- and an incentive to do well for the company because the better the company does, the better they'll do.Of course, if you're like most corporations these days- announcing mass layoffs right after posting record profits- then you're already hemorrhaging the trust and confidence of your remaining workforce, and your employees are doing their jobs in a state of fear. Productivity will drop. That will hurt sales. You will suffer. Ask the people at Firestone: Ford has alleged that the tire company fired its longtime union employees, then brought in untrained scab workers who ended up making thousands of defective tires- and 203 dead customers later, Firestone is in the toilet.
|Whatever belief that doesn't make you happier, stronger, healthier or wiser, surely doesn't deserve to be sheltered in your mind.
Don DeLillo|It is the form that allows a writer the greatest opportunity to explore human experience...For that reason, reading a novel is potentially a significant act. Because there are so many varieties of human experience, so many kinds of interaction between humans, and so many ways of creating patterns in the novel that can’t be created in a short story, a play, a poem or a movie. The novel, simply, offers more opportunities for a reader to understand the world better, including the world of artistic creation. That sounds pretty grand, but I think it’s true.
Dexter Palmer, Version Control|She drank the glass with breakfast and poured herself another. By the time she'd gotten Sean off to school (second grade) the edges had been taken off her thoughts and the world seemed as it should be: not too real, but real enough.
Sebastian Barry, The Secret Scripture|It is not history. But I am beginning to wonder strongly what is the nature of history. Is it only memory in decent sentences, and if so, how reliable is it? I would suggest, not very. And that therefore most truth and fact offered by these syntactical means is treacherous and unreliable. And yet I recognise that we live our lives, and even keep our sanity, by the lights of this treachery and this unreliability, just as we build our love of country on these paper worlds of misapprehension and untruth. Perhaps this is our nature, and perhaps unaccountably it is part of our glory as a creature, that we can build our best and most permanent buildings on foundations of utter dust.
Dean Koontz, Odd Interlude: A Special Odd Thomas Adventure|Making excuses as to why you cannot do something based on what you don't have, or what hasn't happened yet, only serves to hold you back even further. WAIT FOR NOTHING & NO-ONE.
Zoë Marriott, Shadows on the Moon|People trust their eyes above all else - but most people see what they wish to see, or what they believe they should see; not what is really there
Leonard Cohen|A teacher I once had told me that the older you get, the lonelier you become and the deeper the love you need. Loneliness creates an appetite for deeper love, and the entire predicament deepens. And as a result of suffering, your capacity to love deeply increases.
Malcolm X, The Autobiography of Malcolm X|He said, one time, that no true leader burdened his followers with a greater load than they could carry, and no true leader sets too fast a pace for his follows to keep up.
Kate Griffin, The Midnight Mayor|No, by God, he had no intention of going on like a blind man, plodding down a path of brainless, fruitless existence until old age or accident took him. Either he found the answer or he ditched the whole mess, life included.
Stephen King, The Green Mile|Supplication is to implore God for mercy and compassion, to have pity upon you or to grant you the request given and expect that He will do it.
Dragos Bratasanu, Ph.D., Sleepers: A Little Book on How to Find Hope, Meaning and the Courage to Fall in Love with Your Dreams|With every dream and with every love, you will have to die and be reborn, to leave the known behind and surrender to the mystery.
Mahrukh|Look how far we have come;then the fight was to save the libraries, to save knowledge and today the fight is to save the weapons, to save power.
Gabrielle Giffords|When I took command in Vietnam, I gave great emphasis to food and medical care - and to the mail.
David Nicholls|Afterward, there was some debate as to whether we'd actually "done it properly," which gives you some idea of the awesome skill and artful dexterity of my lovemaking technique.
Victoria June|Many often errors lead to discoveries, but our fantasies and limitations are tested by blunders!
Elizabeth I, Letters|The use of sea and air is common to all; neither can a title to the ocean belong to any people or private persons, forasmuch as neither nature nor public use and custom permit any possession therof.
Kahlil Gibran|You think you want me now. But you'll change. Someday you'll find it damned easy to forget about me. I'm a bastard. A servant, and not even an upper servant at that--""You're the other half of me." (Again The Magic)
Kay Ryan|The bicycle, the bicycle surely, should always be the vehicle of novelists and poets.
Eileen Anglin|When you learn to love yourself, you teach those around to love themselves. And that will be what changes our world.
Walter Isaacson, Steve Jobs|Nevertheless, by dint of his personality and controlling instincts, Jobs was soon playing a stronger role. He spewed out a stream of ideas - some reasonable, others wacky - about what Pixar's hardware and software could become. And on his occasional visits to the PIxar offices, he was an inspiring presence. "I grew up a Southern Baptist, and we had revival meetings with mesmerizing but corrupt preachers," recounted Alvy Ray Smith. "Steve's got it: the power of the tongue and the web of words that catches people up. We were aware of this when we had board meetings, so we developed signals - nose scratching or ear tugs - for when someone had been caught up in Steve's distortion field and he needed to be tugged back to reality.
Thich Nhat Hanh, The Art of Power|Seeking nothing, emulating nothing, breathing gently, he moved in an atmosphere of imperishable calm, impresihable light, inviolable peace.
Katherine J Walden|Perhaps the Lord has warned you that areas of your life that will harm you if you don't do something about it. Perhaps you have tried to barricade yourself from temptation or sinful habits by avoiding the issue. What you can't see won't hurt you, or so you try to convince yourself. Perhaps you've tried to resist temptation through sheer willpower and positive confession. You've discovered how flimsy your self-defense strategy is. Look around; the Lord has provided a way of escape. Walk through it into the light.
James Rozoff|Art is the medium through which new thoughts, perspectives, and attitudes are brought into the world.
Parker J. Palmer, Let Your Life Speak: Listening for the Voice of Vocation|If we lived close to nature in an agricultural society, the seasons as metaphor and fact would continually frame our lives. But the master metaphor of our era does not come from agriculture - it comes from manufacturing. We do not believe that we 'grow' our lives - we believe that we 'make' them. Just listen to how we use the word in everyday speech: we make time, make friends, make meaning, make money, make a living, make love.
Fiona Thrust, Naked and Sexual|He looked at me, and then looked away quickly.But I could tell he was interested.I think my tight t-shirt might have had something to do with it. And the way I was pushing my breasts towards him, with an inviting smile on my face.
Darren Main, The River of Wisdom: Reflections on Yoga, Meditation, and Mindful Living|Yoga and meditation help us to achieve physical health, emotional balance, more connected relationships, and a more satisfying life. But to measure spiritual practice by these benefits is to miss the point entirely. The truemeasure of our practice is how we respond to life when we fall short of these things—when the body falls ill or the heart breaks.
|What is the essence of having a mind, but yet living through the opinions of others?
Lisa Carlisle, Dark Stranger|The truth echoed in her head. On the same day she met him, he had tried to kill her.	Her mate.
George Chakiris|Our human compassion binds us the one to the other - not in pity or patronizingly, but as human beings who have learnt how to turn our common suffering into hope for the future.
Shannon L. Alder|A writer paradoxically seeks the truth and tells lies every step of the way. It's a lie if you make something up. But you make it up in the name of the truth, and then you give your heart to expressing it clearly.
K.R. Grace|Do we use thoughts as a medium to convey our emotions, or use our emotions to convey thoughts!
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|I can't change you and you can't change me, but together we can work to change the world.
Jules Renard|If you are afraid of being lonely, don't try to be right.
Thomas Daniel Nehrer, The Illusion of "Truth": The Real Jesus Behind the Grand Myth|Judaism, for example, presents itself as monotheistic and retrofits that claim on its history by revising its lore. But in ancient times, Judaism was much more accurately Henotheism, wherein people (particularly common folk) worshipped a principal god while accepting the existence of other deities, or Monolatrism, where many gods were acknowledged, but only one worshipped.
Courtney Allison Moulton, Shadows in the Silence|Is the love you have for me, and the feelings I have for you forever parallel, with no chance of intersecting?
Roxane Gay, Bad Feminist|How do we reconcile the imperfections of feminism with all the good it can do? In truth, feminism is flawed because it is a movement powered by people and people are inherently flawed. For whatever reason, we hold feminism to an unreasonable standard where the movement must be everything we want and must always make the best choices. When feminism falls short of our expectations, we decide the problem is with feminism rather than with the flawed people who act in the name of the movement.
Anchee Min|Whenever I run into prejudice. I smile and feel sorry for them, and I say to myself, There's one more argument for birth control.
Nuruddin Ushawu|Many people will fight you, not because you are wrong, but because you are different.
Bangambiki Habyarimana, Pearls Of Eternity|Don't be afraid to bite on a giant, learn from the mosquito
Amit Kalantri, Wealth of Words|No tricks, no tools, but talent makes a task truly top class.
Ashley Jeffery, Released Lilith: Part 2|I prefer not to call them demons. It demeans their nature. "But isn't that what they are?""We should pity them more than fear them Alfred. They were angels once.""Yea, but didn't you say they rebelled against God? They got what they deserved.""Perhaps." He sighed. "Yet do we not all hope and pray that we ourselves escape that we truly deserve? None have fallen as far or as irrevocably as the outcasts of heaven. Did you not find them beautiful." "...They have gazed upon the very face of God, the face they will see no more for all eternity-and so I pity them. Even as I envy them for having seen it.
Robin Bielman, Risky Surrender|He took in the bubbles covering her and smiled. "I think that's enough.""Enough?""To get me clean." Taking one step forward, he slipped and slided up and down the length of her body.
Anthony Powell, A Dance to the Music of Time: 4th Movement|...we take care not to touch each other in public, nor do we look into each other's eyes except furtively, because Ivan must first wash my eyes with his own, removing the images which landed on my retina before his arrival.
Mohammed Zaki Ansari, "Zaki's Gift Of Love"|My Mistake - i trusted My fault - i believed My Bad - i open my heart My Muff - i was honest My Lapse - i was caring Good People of today's world do not have all that things.So if someone have .surly deserve Punishment ,Betrayal , cheating and wounds on Heart and Soul
Seema Brain Openers|No matter what is your name, gender, race and nationality, you too are fully capable in turning your dreams into realities.
RVM|Don't be so busy making a living that you forget to enjoy your Life. Today, make a commitment to Enjoy Life.
Meghan Markle|Mom cooked a lot of turkey when I was growing up. Turkey meatloaf, turkey burgers, ground turkey shepherd's pie - my childhood was the Bubba Gump of turkey. You'd think I would be sick of it, but when I find gems like Gwyneth Paltrow's turkey meatball recipe, it's as though the fowl is no longer foul to me.
Rick Gekoski, Darke|Reading exposes is to the experiences and minds of others, makes us challenge our own provinciality, deepens and widens who we are and what we can become.
Sharon Salzberg, Real Love: The Art of Mindful Connection|The key in letting go is practice. Each time we let go, we disentangle ourselves from our expectations and begin to experience things as they are.
Paul Gallico, Honorable Cat|Some of them stole off to those cryptical realms which are known only to cats and which villagers say are on the moon's dark side, whither the cats leap from tall housetops; but one small black kitten crept upstairs and sprang in Carter's lap to purr and play, and curled up near his feet when he lay down at last on the little couch whose pillows were stuffed with fragrant drowsy herbs.
John  Adams, Letters of John Adams, Addressed to His Wife|The science of government it is my duty to study, more than all other sciences; the arts of legislation and administration and negotiation ought to take the place of, indeed exclude, in a manner, all other arts. I must study politics and war, that our sons may have liberty to study mathematics and philosophy. Our sons ought to study mathematics and philosophy, geography, natural history and naval architecture, navigation, commerce and agriculture in order to give their children a right to study painting, poetry, music, architecture, statuary, tapestry and porcelain.
Jim Butcher, The Aeronaut's Windlass|He is a cat, Miss Lancaster. Asking him such questions is an exercise in futility.
pavankumar nagaraj|If someone is angry with you, it has a reason. To know just put yourself in the same condition and at the place of that one and talk the same arguments
Jay Danzie|When you lay down with neglect & sleep around with excuses, you wake up with failure...When you marry your goals & remain intimate with your vision, you'll give birth to your dreams.
Sierra Donovan, Do Not Open 'Til Christmas|Do you want to play a game?” he asks, his tone rich and dark and sensuous like his chocolate. Every atom in me stands at attention. “What kind of game?”“We’ll call it ‘Sir Says’. The rules are very simple—I give you a command. . . and you obey.
Bobby F. Kimbrough Jr.|I've been dealing with physical pain these past few days and here is one of the things it has made me realize: a lot of times we find ourselves in situations, and the mindset that got you into the situation cannot be the mindset that frees you from the situation. Whether it is physical pain or emotional pain - you've got to see yourself beyond the pain. See yourself healthy and healed in the midst of the pain. By His Stripes...
Mark Helprin, Winter's Tale|I can't help seeing a cage for what it is. Sure, it protects the bulb, but maybe if people weren't so careless, then nothing would need to be caged.
Troy Soos, Murder at Fenway Park|Youth is feeling seventy years old, misanthropic, and ready to die at fifteen
Isaac Marion|Truth be told, I'm not an easy man. I can be an entertaining one, though it's been my experience that most people don't want to be entertained. They want to be comforted.
Thomas F. Torrance, Space, Time, And Resurrection|For truly barren is profane education, which is always in labor but never gives birth. For what fruit worthy of such pangs does philosophy show for being so long in labor? Do not all who are full of wind and never come to term miscarry before they come to the light of the knowledge of God, although they could as well become men if they were not altogether hidden in the womb of barren wisdom?
Ian Tattersall|For over a century, an evolving microcosm of Anthropology’s turbulent history has hidden behind the staid façade of the American Museum of Natural History. From an insider’s perspective, the well-known ethnologist Stan Freed engagingly introduces us to an amazing cast of explorers, eccentrics, idealists, pranksters and forbidding intellectual - an unlikely mix that played a key role in establishing the science of Anthropology as we know it today.
Richelle E. Goodrich, Making Wishes|Time machines, magic portals, transporters, worm holes, flying carpets, relocation charms—such things do exist. They're called books.
Paul Hawken|Beginning under the Roman Empire, intellectual leadership in the West had been provided by Christianity. In the middle ages, who invented the first universities - in Paris, Oxford, Cambridge? The church.
Ayn Rand|If you plan to be happy, you will find at least one reason to be happy. Real happiness is never accidental. Discover happiness on your terms.
Reyna Pryde, Unique: A New Breed|...A mirror can trick you day by day into thinking you remain looking and existing in one way forever. But a photograph presents you with the truth: it freezes you eternally, existing as a reminder that you can never, ever go back to any one moment again- that you are always changing, hour by hour, cell by cell, in tiny fragments that build skyscrapers overnight.
Munindra Misra, Eddies of Life|Looked at again and again half consciously by a mind thinking of something else, any object mixes itself so profoundly with the stuff of thought that it loses its actual form and recomposes itself a little differently in an ideal shape which haunts the brain when we least expect it.
Lailah Gifty Akita|When I see you’re hurting, I want to wipe it away. When I see you doubting yourself, I want to give you the best damned pep talk in history. When you cry, I want to make you smile. When you laugh, I want to make you laugh harder. When you moan in my arms, I want to make you dissolve into a puddle. When you’re insecure about how I feel about you, I want to replace that with a proclamation that I love you so hard that I never want you to question us again.
Christy  Hall, The Little Silkworm|I've never been high. Writing is my drug of choice. You don't ever have to come down from that kind of high, I tell ya. And, best part is, it's free.
T. Scott McLeod, All That Is Unspoken|If you stay on this path as long as I have, you’ll soon learn that the road to providence leads right through perdition. And along that road, the devil’s waiting to collect his pound of flesh.
India Drummond, Azuri Fae|When I was her age," Munro said to Eilidh, "I was chasing frogs."Oron Chuckled. "When I was your age, I was chasing frogs. Come. We have things to discuss.
The Mother|The path is long, but self-surrender makes it short; the way is difficult, but perfect trust makes it easy.
Kimberly Raye, Dead and Dateless|There are twenty-five thousand, six hundred and twelve things you don't know about me. I'll tell you one each day.""That means it will take you seventy-plus years to know everything about me. When I turn one hundred, that will be the last one. Though I expect by then you'll know the very first and very last thing you need to know about me, the only one that matters." ~ Jon Forte
Leigh Bardugo, Six of Crows|Nina, you taught me to be something better. They could be taught, too.
The Monster Pyro|And The Monster Said "Yes But No Being That Can Cause Such Destruction Without Remorse Can Consider Itself A Person
Anna Jarzab, The Opposite of Hallelujah|I keep telling myself that, and most of the time I believe it.
Shirley Tallman, Murder on Nob Hill|I find it strange that practicing law in a comfortable well-heated office is considered too demanding an occupation for women, yet laboring from dawn's first light in crowded, drafty, ill-lit sweatshops is not.
Jeffrey Tucker|This is the history of governments, - one man does something which is to bind another. A man who cannot be acquainted with me, taxes me; looking from afar at me, ordains that a part of my labour shall go to this or that whimsical end, not as I, but as he happens to fancy. Behold the consequence. Of all debts, men are least willing to pay the taxes. What a satire is this on government! Everywhere they think they get their money's worth, except for these. Hence, the less government we have, the better, - the fewer laws, and the less confided power. The antidote to this abuse of formal Government, is, the influence of private character, the growth of the Individual; the appearance of the principal to supersede the proxy; the appearance of the wise man, of whom the existing government, is, it must be owned, but a shabby imitation. That which all things tend to educe, which freedom, cultivation, intercourse, revolutions, go to form and deliver, is character; that is the end of nature, to reach unto this coronation of her king. To educate the wise man, the State exists; and with the appearance of the wise man, the State expires. The appearance of character makes the State unnecessary. The wise man is the State. He needs no army, fort, or navy, - he loves men too well; no bribe, or feast, or palace, to draw friends to him; no vantage ground, no favourable circumstance. He needs no library, for he has not done thinking; no church, for he is a prophet; no statute book, for he has the lawgiver; no money, for he is value; no road, for he is at home where he is; no experience, for the life of the creator shoots through him, and looks from his eyes. He has no personal friends, for he who has the spell to draw the prayer and piety of all men unto him, needs not husband and educate a few, to share with him a select and poetic life. His relation to men is angelic; his memory is myrrh to them; his presence, frankincense and flowers.
Geraldine Brooks, Year of Wonders|Must I wonder if your thoughts are of me? If you are missing me, wanting me, creating heart beats and poet-less words for me? [ i do…]
Suzanne Steele|Eventually you will come to understand that love heals everything, and love is all there is.
Robert Goolrick, The End of the World as We Know It: Scenes from a Life|If you had one day left to live, what would you do?
J.R. Hardesty, The Last Giant: Transgression, Part 1|The thing about alcohol, though non-drinkers, non-alcoholics and reformed alcoholics may falsely dispute this, is that each day, or night on booze, is a different journey, the destination being a mystery, but quite possibly the final one.
Michael Kelly|One of the things that has been truly incredible to observe though, is the amount of venture investment that has gone into early stage security technology.
Ngina Otiende, Blues to Bliss: Creating Your Happily-Ever-After In The Early Years|Marriage is meant to keep people together not just when things are good, but particularly when they are not. That's why we take marriage vows - not wishes
Stephen Jay Gould|I don't find it uncomfortable that I'm recognized and liked by so many people. If that were hard for me, I wouldn't be doing this work. Rather, I think I'd be more sad when a day come when people don't recognize me.
