Tom Hanks|If you're funny, if there's something that makes you laugh, then every day's going to be okay.
Julie Kagawa, Talon|My insides fluttered, sending curls of heat through my stomach and shivers all the way down my spine. So, this was what it was like to kiss someone.....and mean it.
Brandon David Hastings|If it's glorious to fail in great attempts, then #gloriousfail should definitely be a thing.
Stephen Richards|As much as the destination ends the journey, so it is of the dream coming true.
Elizabeth Montgomery|For he who has health has hope; and he who has hope, has everything.
Debasish Mridha|To reveal the beauty of life, let your tears wash away the shadows of darkness.
Irina Shayk|Everybody in my family were great storytellers. My dad and his brothers would just go on and on; they could tell amazing stories. I think it was something to do with the Celtic, oral storytelling tradition. People very much had that propensity towards telling tales.
Napz Cherub Pellazo|Some day, with the last exhaustion, peace will come. It won't be the end of all things to come.
Neil Gaiman, Good Omens: The Nice and Accurate Prophecies of Agnes Nutter, Witch|He couldn’t see why people made such a fuss about people eating their silly old fruit anyway, but life would be a lot less fun if they didn’t. And there was never an apple, in Adam’s opinion, that wasn’t worth the trouble you got into for eating it.
Stephen Jay Gould, The Flamingo's Smile: Reflections in Natural History|Not everyone has understanding, so everyone won't understand
Neil Gaiman|Set your fantasies in the here and now and then, if challenged, claim to be writing Magical Realism.
Alexandra Adornetto|WL’s [White Liberals] think all the world’s problems can be fixed without any cost to themselves. We don’t believe that. There’s a lot to be said for sacrifice, remorse, even pity. It’s what separates us from roaches
Ted Tally, Terra Nova|When you have to made a decision, there's no return, keep this in your mind.
Donald E. Knuth|Certainly the best times were when I was alone with mathematics, free of ambition and pretense, and indifferent to the world.
Narendra Modi|The poker player learns that sometimes both science and common sense are wrong; that the bumblebee can fly; that, perhaps, one should never trust an expert; that there are more things in Heaven and Earth than are dreamt of by those with an academic bent.
Matshona Dhliwayo|Pray for your needs, not your greed.
Charles Yu, Third Class Superhero|We should like to have some towering geniuses, to reveal us to ourselves in color and fire, but of course they would have to fit into the pattern of our society and be able to take orders from sound administrative types.
Tahereh Mafi, Ignite Me|I’m not sure. But there’s something about the darkness, the stillness of this hour, I think, that creates a language of its own. There’s a strange kind of freedom in the dark; a terrifying vulnerability we allow ourselves at exactly the wrong moment, tricked by the darkness into thinking it will keep our secrets. We forget that the blackness is not a blanket; we forget that the sun will soon rise. But in the moment, at least, we feel brave enough to say things we’d never say in the light.
Fernando Pessoa, The Book of Disquiet|Down below people were clipping by going nowhere fast. You could feel the long despairing history of the place. You could actually hear it, a low hum like the buzz of a sick bee that resonated with the fragments of a million broken dreams.
Darrell Calkins|We survive largely because of the existence and recognition of high-end qualities—compassion, integrity, courage, humility, etc. These are how we perceive spirit. Even the most cynical and fatalistic bastard will snap out of self-absorption, abuse and hopelessness when confronted by an extreme expression of any one of these qualities. (Case studies show that this also applies even to rapists and murderers, not always, but more so than any other technique or therapy.) That is, beyond belief, the desire to feel good, or even hope or despair, there does exist an essential intuitive value system in each of us. This runs through and across every culture, and even every species. I don’t believe that those intuitive values are there to fool us into occupying ourselves so as to feel good while waiting for the inevitable to happen. Nature is not so decadent. Or cynical.
Kamand Kojouri|Like a pair of old slippers,I feel comfort andwarmth as I slip into you.No, that is too crude.Like the match to the wick,I ignite when we touch.My counterpart andlife's purpose.Yes, as though I've known you my whole life.Every scar, every failurehas become an affirmationof what should be:You.Yes, as though I've loved you my whole life.
Robin Bielman, Keeping Mr. Right Now|You're nervous around me. I don't bite." He turned his head and swept a gaze over her that went from head to toe and back again. "Unless you like that sort of thing.
Nikki Rowe|The possibility to love another scared me; terrified me actually. Being a free spirit, apart of me is most alive when roaming, than I became a mother and for the first time I felt my heart live outside my body and that's the moment his laughter became my medicine.
Shannon L. Alder|Empowered Women 101: The moment you ignore bad behavior, in order to win a person's affection you have not won anything, but a person that has behavioral problems. If you couldn't fix their behavior before you won him, why could you fix him now?
Zach Galifianakis|Before I came out, I had a lot of anger. For years people would ask, 'How are you doing?' and I'd say, 'Good, fine.' It's show business, and that's what you have to show.
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|When you see someone smile, does it naturally make you want to smile back? When you are irritable, do you find that people mirror your irritability? When someone yawns around you, do automatically do the same? When you hear someone celebrating, do you feel inclined to join in and celebrate too? Your responses are not forced, but instinctual and empathetic.
Kilroy J. Oldster, Dead Toad Scrolls|Reading and writing are solitary activities that increase a person’s capacity for concentration, awareness, and conceptual thought as the person weaves immediate information with stored memories.
Ian McEwan, Atonement|Giovanni had awakened an itch, had released a gnaw in me. I realized it one afternoon, when I was taking him to work via the Boulevard Montparnasse. We had bought a kilo of cherries and we were eating them as we walked along. We were both insufferably childish and high-spirited that afternoon and the spectacle we presented, two grown men jostling each other on the wide sidewalk and aiming the cherry pits, as though they were spitballs, into each other's faces, must have been outrageous. And I realized that such childishness was fantastic at my age and the happiness out of which it sprang yet more so; for that moment I really loved Giovanni, who had never seemed more beautiful than he was that afternoon.
Ernst Jünger, The Glass Bees|In this place a mind was at work to negate the image of a free and intact man. It intended to rely on man power in the same way that it had relied on horsepower. It wanted units to be equal and divisable, and for that purpose man had to be destroyed as the horse had already been destroyed.
Pamela Branch, The Wooden Overcoat|Worry acts like a squatter, sneaks in and tries to stay without paying rent!" EL.
David Bajo|Do you think people love having jobs, Sylvia asks Peter in  because they offer a condoned but false responsibility that masks, for at least eight hours a day, true responsibility?
David Mathis, Habits of Grace: Enjoying Jesus through the Spiritual Disciplines|It shouldn’t surprise us…to find that prayer is not finally about getting things from God, but getting God.
Laure Lacornette|If only stupid people could have the mere intelligence to shut up while discussing serious matter, the world would go along so much better !
S. Kelley Harrell, Gift of the Dreamtime - Reader's Companion|Healing is active involvement in your process, ongoing.
Ravindra Shukla, A Maverick Heart: Between Love and Life|America runs on credit darling. Why do you worry, our credit will take care of this payment. It is not saving or cash in hand that matters. We do not need cash, we just need potential. The system in the US believes in potential. That isthe model of the future. You need not be born rich, but you should be in the league that can make it big.
Victor Hugo, Les Misérables|In moments like these, offering up his heart at the hour that night flowers offer up their perfume, lit up like a lamp in the middle of the starry night, full of ecstasy in the middle of the universal radiance of creation, he could not perhaps have said himself what was happening in his spirit; he felt something soar up out of him and something fly down into him. Mysterious exchanges between the bottomless well of the soul and the bottomless well of the universe!
Riz Ahmed|The respect for human rights is nowadays not so much a matter of having international standards, but rather questions of compliance with those standards.
Jaron Lanier|The mandate for the CTO's office is to unleash the power of technology, data, and innovation on behalf of the nation. The CTO's office is really trying to bring best practices, possibilities, pilots, and policy advising.
Bascomb James, Far Orbit: Speculative Space Adventures|One of the things that I have learned, one of the attainments of the long travails and tribulations, has been, I think, coming to a simpler sense of myself that I think correlates to a simpler sense of others. Something closer to what I now call the simple sense of being human, a sort of Wallace Stevens-esque formulation. I know that I can reach this in the audience, because when they start hearing a story, they wake up in this very clear, simple way. Almost like children. It’s the same thing: a child asks, “What’s going to happen next?” When they sense that a story is being told to them, they wake up. When they sense that it’s not being told anymore, they lose interest. I take this very seriously, because the sacred trust that allows openness is the precondition of the kind of exchange I want to have, the kind of relationship that I want to have. I don’t want to test that simple sense of being human. I don’t want to transform it.
I. Murphy Lewis|Sharing our story is one way we create intimacy. And like a good novel, it’s more engaging – and lasting – when we allow it to gradually unfold.
John Muir, The Story of My Boyhood and Youth|When I was a child in Scotland, I was fond of everything that was wild, and all my life I've been growing fonder and fonder of wild places and wild creatures. Fortunately, around my native town of Dunbar, by the stormy North Sea, there was no lack of wildness...
Thomm Quackenbush, Artificial Gods|Any relationship that developed power dynamics, where she thought she had the right to dictate someone else's behavior or have him dictate hers, was ended almost immediately. She could not stand the thought of hands on her that presumed she belonged to them.
Mike Bond, The Last Savanna|One by one and then together the birds chanted, warbled, whistled, and cooed, like a rare desert plant bursting into life after the rain.
Immanuel Kant, Groundwork of the Metaphysics of Morals|Inexperienced in the course of world affairs and incapable of being prepared for all the chances that happen in it, I ask myself only 'Can you also will that your maxim should become a universal law?' Where you cannot it is to be rejected...
Art Blakey|In art, the obvious is a sin.
Saru Singhal|If a relationship comes with conditions apply, it's not worth having.
Lesslie Newbigin, The other side of 1984|The nation state has taken the place of God. Responsibilities for education, healing and public welfare which had formerly rested with the Church devolved more and more upon the nation state ... National governments are widely assumed to be responsible for and capable of providing those things which former generations thought only God could provide - freedom from fear, hunger, disease and want - in a word: "happiness".
Rick Perlstein, The Invisible Bridge: The Fall of Nixon and the Rise of Reagan|Presidents are also always storytellers, purveyors of useful national mythologies.
Rachel Gibson, True Confessions|I feel like I should probably ask you to leave. But I don’t really want you to go. I want you to stay, but I know you shouldn’t.- Hope
Atul Gawande, Better: A Surgeon's Notes on Performance|At a cardiac arrest, the first procedure is to take your own pulse
Alain de Botton, The Pleasures and Sorrows of Work|What makes the prospect of death distinctive in the modern age is the background of permanent technological and sociological revolution against which it is set, and which serves to strip us of any possible faith in the permanence of our labours. Our ancestors could believe that their achievements had a chance of bearing up against the flow of events. We know time to be a hurricane. Our buildings, our sense of style, our ideas, all of these will soon enough be anachronisms, and the machines in which we now take inordinate pride will seem no less bathetic than Yorick's skull.
Debasish Mridha|Education is a savings account that you fill by learning and by spending. Even if you spend for the rest of your life, it will only grow to give you joy.
John Locke|I never worked hard until I got to the Howard Law School and met Charlie Houston... I saw this man's dedication, his vision, his willingness to sacrifice, and I told myself, 'You either shape up or ship out.' When you are being challenged by a great human being, you know that you can't ship out.
Christina Engela, Loderunner|If a man exists who is immune to force, even if he's the most blameless anchorite living on top of a column in the middle of the desert, he is beyond government, beyond authority, and cannot be controlled; and that would be intolerable.
Mary Casanova, Grace|When you travel, there really are no mistakes--just learning opportunities.
Philip Larkin, Philip Larkin: Letters to Monica|How little our careers express what lies in us, and yet how much time they take up. It's sad, really.
Geoffrey Wood|To win, you have to believe you will win.
Annabel Joseph, Cirque de Minuit|Bone Daddy.That's what they called him. A walking talking well-hung pleasure factory who, with a few easy orgasms, could bring you whatever your heart desired. Your boyfriend would propose, your boss would give you a raise. Rumor had it he could heal your scars, inside and out. If you satisfied his lust.
Ariel Sharon|The strength that I have comes from irrigating the citrus plantation, ploughing in the vineyard, guarding the melon fields at night. I believe that's what gave me the strength.
Ron Paul, Liberty Defined: 50 Essential Issues That Affect Our Freedom|It’s amazing that people don’t understand that the more the market is involved and the smaller the government, the lower the price, the better the distribution, and the higher the quality.
Anthony T.Hincks|The oceans and seas are forces which, if you forget, they will gladly remind you.
Hannah Arendt, Between Past and Future|We first become aware of freedom or its opposite in our intercourse with others, not in the intercourse with ourselves.
Brandon Anthony Lukstein|Maybe the answer to all of his problems was nothing more than a darkened sky and a glittering city, a lofty perch above the world below. It seemed entirely possible that it was all just a matter of setting and location, and Peter wondered why he hadn't thought of it before.
Pokemon|The circumstances of one's birth is irrelevant, it is what you do with the gift of life that determines who you are.
Sanhita Baruah|From childhood's hour I have not been As others were; I was differentI was not raised; as others wereMy passions from a common sense of ideas. From the same source I have taken Thus, this is art that connects mankind My pains; I could not awaken Resurrected, because in art there's creativity My heart too complacent at the same rate; And all I loved indeed, I loved alone.I am alone.
Woody Allen|To love is to suffer. To avoid suffering one must not love. But then one suffers from not loving. Therefore, to love is to suffer; not to love is to suffer; to suffer is to suffer. To be happy is to love. To be happy, then, is to suffer, but suffering makes one unhappy. Therefore, to be happy one must love or love to suffer or suffer from too much happiness.
Zachary Quinto|I have no fear of being less beautiful, I've always been afraid of not being beautiful.
Agatha Christie|One can't do anything without a man. Men know so much, and are able to get information in so many ways that are simply impossible to women.
Ann Brashares, The Sisterhood of the Traveling Pants|Love those wrongdoers, they need it more than you.
Jennifer A. Doudna, A Crack in Creation: Gene Editing and the Unthinkable Power to Control Evolution|As we began discussing authorship of a white paper summarizing our conclusions, we debated who our target audience should be and what kind of outcome we were hoping to achieve.
Richelle E. Goodrich, Making Wishes|Autumn is a cunning muse who steals by degrees my warmth and light. So distracted by her glorious painting of colors, I scarcely realize my losses until the last fiery leaf has fallen to the ground and the final pumpkin shrinks. Autumn departs with a cold kiss, leaving me to suffer the frigid grasp of winter in prolonged nightfall.
Lee Myung-bak|Maybe you will be afraid and maybe you will fail, but the courage to take risks in any part of your life is, I feel, a very worthwhile way to live.
Louisa May Alcott|Human beings are born into this little span of life of which the best thing is its friendships and intimacies ... and yet they leave their friendships and intimacies with no cultivation  to grow as they will by the roadside  expecting them to "keep" by force of mere inertia.
Cinda Williams Chima, The Exiled Queen|Whoa, Rebecca," Talia said smiling even wider, "Walking on the wild side, are we?"Raisa seemed to think the situation needed more explaining. "He - uh - I'm tutoring him.""She is," Han said solemnly. "She's very good. I'm learning a lot."Pearlie snickered. "What's she teaching you?""Well," Han said, "we're jumping around a lot.
M.E. Thomas, Confessions of a Sociopath: A Life Spent Hiding in Plain Sight|One nurse thought I was "brave." I think she was talking about my steely-eyed, grin-and-bear-it kind of attitude. There were no tears, no complaints from me - a total lack of affect. In a victim, it is courage and thus admirable; in a predator, it is a lack of humanity and instills fear.
Victor Shklovsky|He looked at me with the tired, ignorant, slightly stupid expression that is so common in people who aren't used to seeing the broader picture in small things.
Jack Campbell, The Dragons of Dorcastle|The more power you use--the more detailed the observation of your specimen.The more power you have, the narrower your field of vision.Exactly, you say. The more power you have, my friends, the less you see of the whole.
Thomas Daniel Nehrer, Essence of Reality: A Clear Awareness of How Life Works|Since the effects of your life that lead to pain and annoyance are always consequences of inner elements, what you commonly regard as “problems” are more accurately seen as outer symptoms of inner, causal problems. The practical approach is to begin looking at those specific aspects of your life that are not as you desire to find their source, rooted in your mindset.
Jane Kenyon, Collected Poems|To the bottle in the ditch, to the scoopin the oats, to air in the lunglet evening come.Let it come, as it will, and don'tbe afraid. God does not leave uscomfortless, so let evening come.
Richelle E. Goodrich|And what about your brother, Agus? Will he be entertaining us with his pipes?”	“Ahgg,” Shanks rasped, wrinkling his nose. “I didn’t tell you? He ain’t with us no more.” A heavy fist slammed on the arm of the Viidun’s chair as he growled, “The idiot went off and got himself killed!” 	“What?” Derian and Eena replied in unison, both horrified by the news.	“You heard me,” Shanks bellowed. “The crazy fool should’ve known when to duck. He died in a bloody challenge with some brainless Deramptium! A downright disgraceful way to die! I’m ashamed to say he was my brother!”	“That’s a little harsh, isn’t it?” Eena muttered, mostly speaking to Derian.	“What was that?” the Viidun dem
William Robertson Smith|Galileo was no idiot. Only an idiot could believe that science requires martyrdom - that may be necessary in religion, but in time a scientific result will establish itself.
Tony Osborg, Can Nigeria Bake Her Own Bread?|To survive in a corrupt country, you need to be the son of a king or be king yourself.
Rory McIlroy|A man is great by deeds, not by birth.
Evy Michaels|If you judge art by its cover, you efface the very essence of it
Epicurus|Acquaintances we meet, enjoy, and can easily leave behind; but friendship grows deep roots.
Michael   Lewis, The Undoing Project: A Friendship That Changed Our Minds|It took me a long time to realize that when someone is not sorry for their behavior, that's their problem, not mine... I'll forgive them anyway, for me. Sometimes forgiveness is loving yourself enough to move on.
Arthur Schopenhauer, Parerga and Paralipomena|Almost more than talent you need tenacity, and an infinite capacity for rejection, if you are to succeed.
John Lennon|Part of me suspects that I'm a loser, and the other part of me thinks I'm God Almighty.
Shelly Crane, Significance|She saw the scarlet thread of her lips, the light in her eyes, the family through their love, their children running barefoot in a fresh field.
Dara Horn, The World to Come|Most of the other visitors were chained to their audio guides, looking only at what their little headsets told them was worth seeing.
Terry Spear, Dragon Fae|Cassie spoke up, "He is like Peter Pan and the Lost Boys." ...Tameron said "No one is lost here. And we have just as many girls, well, maybe not as many as we have boys, but a fair amount. Who is this Peter Pan you speak of? A hero?" he asked Cassie.Alicia spoke up then ... "He led a group of boys in a world of adventure on an island paradise."Tameron looked at Cassie to see if she agreed. She smiled and nodded."This Peter Pan was real?" he asked."No, he was a fairy... uhm, tale," Cassie said.Tameron smiled. "I like the idea. I'll have to read it sometime...
Simon S. Tam|Roughly speaking: to say of two things that they are identical is nonsense, and to say of one thing that it is identical with itself is to say nothing.
Robertson Davies, Fifth Business|And though it's a bleak thing to admit all these years later, still I've never met anyone who made me feel loved the way she did. Everything came alive in her company; she cast a charmed theatrical light about her so that to see anything through her eyes was to see it in brighter colors than ordinary.
Marcus Tullius Cicero|As Commander in Chief of the United States Military, I will never send our sons and daughters and our brothers and sisters to die in a foreign land without telling the truth about why they're going there.
Paul Murray, Skippy Dies|Life makes fools of us all sooner or later. But keep your sense of humor and you'll at least be able to take your humiliations with some measure of grace. In the end, you know, it's our own expectations that crush us." -- from Skippy Dies
Marcus Samuelsson|I'm hoping that these next 20 years will show what we did 20 years ago in sequencing the first human genome, was the beginning of the health revolution that will have more positive impact in people's lives than any other health event in history.
Jay     Long|Second chances are not that important. What's important, is being ready when the first chance is given.
Dario Argento|We try to live by the secret of sevens. A friend, who has been married for over 40 years, told us about this magic. Make and keep a date every seven days, take a night away alone, for yourself, every seven weeks, and schedule an adult-only vacation every seven months.
Rainbow Rowell, Eleanor & Park|He leaned against her, pressing his shoulder into hers. "Don't be mad at me," he said, sighing. "It makes me crazy.""I'm never mad at you," she said."Right.""I'm not.""You must just be mad near me a lot.
Iris Murdoch, The Sea, the Sea|... male company, sheer complicit male company: the complicity of males which is like, indeed is, a kind of complicity in crime, in chauvinism, in getting away with things, in just gluttonously enjoying the present even if hell is all around.
Cassie Mae, How to Date a Nerd|These are her accomplishments. Challenges she's lived through. Shithead was just along for the ride. In the background. Like wallpaper. You can change the color of the walls anytime, and it might look different, but the room's still the same.
Laura Kreitzer, Forsaken Harbor|Yeye shifted in her seat as Roma stared down at her angrily. “There are inter-realm laws I must abide by, that the soul must abide by as well when it comes to an appointed manifestation. Whoever was in the world before can not go into the new world. That identity must be forsaken. It must—”“Forsaken or forgotten?” Roma barked. “Forsaken,” Yeye answered. “Unless you’re putting this soul into a blank state like that of a child, it can not be forgotten. It has to be forsaken. That’s the rule or you get no soul.” “So you’re telling me that this soul will remember but will never be able to be that person it was?” Roma asked. “I’m telling you a new memory must be formed with absolutely no reference to the previous.” “What the freak is that?” Roma asked, visibly agitated. “You can form new memories while holding on to preexisting ones.” Yeye stood. “Yes Roma, you’re right. But you can also form new memories while you are unable to access the previous ones.” “Such it would have a drive that belongs to it but would never be able to access or be forbidden to access it?” Roma asked. Yeye’s voice was low. “I’m afraid that’s the way it is going to have to be.” Roma shook his head vehemently. “Exactly which way is that Yeye. Exactly which way is that in common terms?” Yeye spoke in her most resolute tone yet. “You will never be able to know whether or not this soul is Mara.” Roma gained silence, breathing in and out rapidly. “We’re getting out of this damned Zharfar,” he said as he stormed out.
Yahoo Serious|Alliances and international organizations should be understood as opportunities for leadership and a means to expand our influence, not as constraints on our power.
Ann Coulter|From the people who brought you "zero tolerance," I present the Gun-Free Zone! Yippee! Problem solved! Bam! Bam! Everybody down! Hey, how did that deranged loner get a gun into this Gun-Free Zone?
Rainer Maria Rilke, Letters to a Young Poet|...nobody was ever really ready to turn off their mother's machine, no matter what they thought; to turn off the light of their childhood and walk away, just as if they were turning out a light and leaving a room.
Dinah Katt, Once Upon a Time Travel|I mean, were you born a freak?” I asked. I flinched at my own words. I didn’t mean to be rude it just came out that way. The girl rolled her eyes to me. “I don’t know. Were you born stupid?” Okay, maybe I deserved that. “Yeah, probably.
Joan Didion|Grief turns out to be a place none of us know until we reach it...We might expect that we will be prostrate, inconsolable, crazy with loss. We do not expect to be literally crazy, cool customers who believe that their husband is about to return and need his shoes. In the version of grief we imagine, the model will be 'healing.' A Certain forward movement will prevail. The worst days will be the earliest days. We imagine that the moment to most severely test us will be the funeral, after which this hypothetical healing will take place. When we anticipate the funeral we wonder about failing to 'get through it,' rise to the occasion, exhibit the 'strength' that invariably gets mentioned as the correct response to death. We anticipate needing to steel ourselves for the moment: will I be able to greet people, will I be able to leave the scene, will I be able even to get dressed that day? We have no way of knowing that this will not be the issue. We have no way of knowing that the funeral itself will be anodyne, a kind of narcotic regression in which we are wrapped in the care of others and the gravity and meaning of the occasion. Nor can we know ahead of the fact the unending absence that follows, the void, the very opposite of meaning, the relentless succession of moments during which we will confront the experience of meaninglessness itself.
Unarine Ramaru|The time is not there for us to act any more, the time we waited for is here right now for us to act brightly and create a bright future, for the future coming generations.
Dick Eastman|Prayer is the ascending vapor which supplies The showers of blessing  and the stream that flows Through earth's dry places  till on every side "The wilderness shall blossom as the rose."
Sarah Dessen, Keeping the Moon|The important thing to remember, ... is that you are a human being and worthy of respect.
Judith Krantz, Scruples|Did she make you laugh? Did she love you as much as you loved her? Did she protect you and warm you and keep you from suffering? Valentine turned her eyes away from him, unable to face the empty answer in his face but not wanting to stop saying what she had thought for so long. "I saw how fascinating her mystery was to you. For my part, I think that the mystery is always greatest where there is the most-emptiness. A person full of life is never mysterious, on the contrary.
Robert Musil, The Confusions of Young Törless|Es gibt immer einen Punkt dabei, wo man nicht mehr weiß, ob man lügt oder ob das, was man erfunden hat, wahrer ist als man selber.
ANIKOR Daniel|As a family, we love, we share, we play, we laugh, we fight, we are frank about the truth and we live.
Margot Lee Shetterly, Hidden Figures: The American Dream and the Untold Story of the Black Women Mathematicians Who Helped Win the Space Race|They turned their desks into a trigonometric war room, poring over equations scrawling ideas on blackboards, evaluating their work, erasing it, starting over.
Antonin Scalia|The truth cannot be deceptive, and one who sees it cannot be deceived.
Edward Abbey|Anarchism is not a romantic fable but the hardheaded realization, based on five thousand years of experience, that we cannot entrust the management of our lives to kings, priests, politicians, generals, and county commissioners.
Anne Wilson Schaef|It turns out that advancing equal opportunity and economic empowerment is both morally right and good economics, because discrimination, poverty and ignorance restrict growth, while investments in education, infrastructure and scientific and technological research increase it, creating more good jobs and new wealth for all of us.
Roger Ebert|Being a mom, it feels like I did something so powerful and amazing. It's such a gigantic blessing, and a confirmation that the Creator exists. And all of that has made me feel sexier and stronger. I call it 'lava in my spine.'
Kathy Hatfield, Secret Storms: A Mother and Daughter, Lost then Found|A mother's lap is the strongest hub and school of each religion. In other words, the mother breezes and waves the religion since she is the religion.
Anna Zabo, Takeover|The way she’d whispered this told him she was thinking about some of her less favorite attributes and how she could never see herself viewing them as assets. Women were so fucking hard on themselves. “Bailey, you are who you are, like no other. Embrace it.
Martin Scorsese|The customs and fashions of men change like leaves on the bough, some of which go and others come.
Michael Moss|I wasn't interested in politics. My attitude about it was, I can't make a difference no matter what I do. And the truth is, I don't even care enough to try.
Ken Follett, The Pillars of the Earth|But perhaps it is always so, that men form their conceptions from fictitious, conventional types, and then—all the combinations made—they are tired of the fictitious figures and begin to invent more natural, true figures.
Markus Zusak, Underdog|There’s another story I know. This one doesn’t have any swords or visions. This one is about a boy who found a girl during a terrible time.” “How did it turn out?” “I don’t know, but I do know the boy doesn’t regret it. Not a minute. No matter how it turns out. Because he’s been waiting for this girl from the time she was born, and if it takes another thousand years to meet her again, he’d wait again. Whatever it takes.
Craig D. Lounsbrough|God’s eyes readily see beyond our actions, for our actions are simply fear and selfishness pretending to be us.
Sravani Saha Nakhro|Abandon your resentments, they keep you small.
Christopher McCandless|I've learned over the years to appreciate God's timing, and you can't rush things; it's gonna happen exactly when it's supposed to.
|When your journey to success gets extremely tough, use your past accomplishments as your motivation to keep pushing forward. You did it in the past, and you can also do it again in the present, and in the future.
Diana Gabaldon|Why?" I shrieked, hitting him again and again, and again, the sound of the blows thudding against his chest. "Why, why why!".Because I was afraid!" He got hold of my wrists and threw me backward so I fell across the bed. He stood over me, fists clenched, breathing hard.I am a coward, damn you! I couldna tell ye, for fear ye would leave me, and unmanly thing that I am, I thought I couldna bear that!"~~~~~~~~~You should have told me!"And if I had?, You'd have turned on your heel and gone without a word. And having seen ye again--I tell ye, I would ha' done far worse than lie to keep you!"Voyager
Sara Sheridan|The question shouldn't be, 'Are we guilty about our Colonial past?' it should be, 'Why aren't we more guilty about our corporate present?
Mitch Albom, The Five People You Meet in Heaven|The fact is, that what de Sade was trying to bring to the surface of the conscious mind was precisely the thing that revolted that mind . . . From the very first he set before the consciousness things which it could not tolerate.
Charlie Chaplin|In the end, everything is a gag.
Charles Fillmore|My drawing, like that of most cartoonists, is intended first of all to be functional: to create believable space and communicate information. My strongest point in drawing has always been my ability to show characters' nonverbal communication through facial expression and posture.
Warren Ellis, Transmetropolitan, Vol. 5: Lonely City|Did you ever want to set someone's head on fire, just to see what it looked like? Did you ever stand in the street and think to yourself, I could make that nun go blind just by giving her a kiss? Did you ever lay out plans for stitching babies and stray cats into a Perfect New Human? Did you ever stand naked surrounded by people who want your gleaming sperm, squirting frankincense, soma and testosterone from every pore? If so, then you're the bastard who stole my drugs Friday night. And I'll find you. Oh, yes.
Teresa Schultz, The Bible In Poetry,|We cannot let our hurts, fears, and prejudices get in the way of God’s calling for our lives.
John Steinbeck|Negotiating isn't about getting what you want or giving in to what the other party wants. It's not an 'either/or situation.' It's about having both parties walk away satisfied. Over the years in both business and life, I've had to learn this hard lesson.
Debasish Mridha|That's the thing about love, you have to get lost to find someone you can trust.
C.S. Lewis|My argument against God was that the universe seemed so cruel and unjust. But how had I got this idea of just and unjust? A man does not call a line crooked unless he has some idea of a straight line. What was I comparing this universe with when I called it unjust? If the whole show was bad and senseless from A to Z, so to speak, why did I, who was supposed to be part of the show, find myself in such a violent reaction against it?... Of course I could have given up my idea of justice by saying it was nothing but a private idea of my own. But if i did that, then my argument against God collapsed too--for the argument depended on saying the world was really unjust, not simply that it did not happen to please my fancies. Thus, in the very act of trying to prove that God did not exist - in other words, that the whole of reality was senseless - I found I was forced to assume that one part of reality - namely my idea of justice - was full of sense. If the whole universe has no meaning, we should never have found out that it has no meaning: just as, if there were no light in the universe and therefore no creatures with eyes, we should never have known it was dark. Dark would be without meaning.
G.M. Ford, Who in Hell Is Wanda Fuca?|I was just a little buckaroo when they first invited me to Marlboro Country. I loved being a cowboy; and smoking seemed to fit right in with riding, roping and wrangling. But once I got to where the Flavor was, it would take me four decades to find a trail out of Nicotine Canyon. I finally ran out of reasons to smoke...when I ran out of air...
Carrie Preston|After I had the Caesarean, I was told I had really strong stomach muscles and so would heal very quickly. And I did. I was up walking about within three hours. Six days after having her, I was out shopping and shortly after that I made it to David Walliams' wedding.
Nikita Dudani|I prefer you to be rainy than the rainbow , although the rain makes you sad but rainbow only make you happy for a while
Najib Razak|I love Miami; I miss it so much. I miss the beach, the peace it brings you. I love the sound and smell of the sea.
Reba McEntire|Pictorial is something that I am not used to. You have to pose, smile, bend your arm, straighten up, look to the left.
RJ Blizzard|When the reward is not worth it, when you have to force yourself to do it, when you start changing because of it, and when you just simply loathe it, that is when you should realize that there is nothing for you in it.
Rainer Maria Rilke|He was a precocious and delicate little boy, quivering with the malaise of being unloved. When we played, his child's heart would come into its own, and the troubled world where his vague hungers went unfed and mothers and fathers were dim and far away--too far away to ever reach in and touch the sore place and make it heal--would disappear, along with the world where I was not sufficiently muscled or sufficiently gallant to earn my own regard.
Margaret Atwood, MaddAddam|Men may be the head of the house, but the women are the neck, and they can turn the head any way they want.
Ralph Waldo Emerson|That which we persist in doing becomes easier to do, not that the nature of the thing has changed, but our power to do so is increased.
J.M. Colail, Wes and Toren|Good luck on your test.”“I’m gonna ace it for sure!” I said, rolling to Wesley’s side of thebed and pulling the sheet up.“Don’t I know it,” he smiled, and then slapped the doorframe. “Ohyeah. If Gus calls, just tell him I was balls-deep in your ass and that I’mon my way now.
Daniel Keyes|Neuroscientists have discovered that when you ask the brain to meditate, it gets better not just at meditating, but at a wide range of self-control skills, including attention, focus, stress management, impulse control, and self-awareness.
Rom Amor|Death. I have fed that foul beast a feast, and yet it still hungers. I have killed… many. My hands are covered in blood that will not wash out, blood that will stain them for as long as I draw breath.
Robert Toombs|Let it be immediately added, however, that this economic independence and prosperity has always been absolutely associated in the American mind with free political institutions.
Sarah Parcak|Just by making a decision to stay out of politics, you are making the decision to allow others to shape politics and exert power over you. And if you are alienated from the current political system, then just by staying out of it, if you do nothing to change it, you simply entrench it.
