Anthony Burgess, Little Wilson and Big God: The First Part of the Confession|Nothing goes on forever. If it did, there wouldn't be anything else, would there?
Hannah Moskowitz|Like the bat, the Sufi is asleep to 'things of the day' - the familiar struggle for existence which the ordinary man finds all-important - and vigilant while others are asleep. In other words, he keeps awake the spiritual attention dormant in others. That 'mankind sleeps in a nightmare of unfulfillment' is a commonplace of Sufi literature
Suze Orman|My first car, I got it in an auction at my temple. It was an '86 Volvo that I got for 500 bucks, and then wound up throwing $10,000 into the stereo system and put TVs in the foot rests. It was the most ridiculous Volvo you'd ever seen, but I had never had money before and I was out of my mind.
Jaachynma N.E. Agu, Risk It, Be Different|Borrow my eyes so you may see your greatness and recognize the gifts that you were uniquely placed on this planet to learn from, to share, and to teach.
Friedrich Nietzsche, On Truth and Untruth: Selected Writings|In some remote corner of the universe, poured out and glittering in innumerable solar systems, there once was a star on which clever animals invented knowledge. That was the haughtiest and most mendacious minute of "world history"- yet only a minute. After nature had drawn a few breaths the star grew cold, and the clever animals had to die.
Germany Kent|Gratitude is one of the most powerful human emotions. Once expressed, it changes attitude, brightens outlook, and broadens our perspective.
Chimnese Davids, My Unrequited Love Letters|Granted, I'd waited a long time to hear those words. Would've sold a kidney-maybe two-to have heard them at one point. Now, though...they didn't have the same impact. They were, in fact, an overcooked noodle in the pasta salad of love.
Buan Boonaca, Accumulation|He thought he vomited out his soul. If ghosts were made of ectoplasm and ghosts were basically souls without bodies, then it was perfectly logical that the green mess all over the ground was his ectoplasmic essence.
Cressida Cowell, How to Twist a Dragon's Tale|And now that its ruby eyes are set into the gold, you cannot see their tear-shape, so they seem to be laughing rather than crying. It is a constant reminder to me of the human ability to create something beautiful even when things are at the darkest.
Saurabh Sharma|Good improvisers seem telepathic; everything looks pre-arranged, This is because they accept all offers made—which is something no ‘normal’ person would do.
Jeffrey A.  White|For as long as I am here, let peace reign
Sid Bolon|If you worry about missing the boat, remember the Titanic!
Paul Hawken|The stars were going out now, one by one, dropping like pennies behind the television aerials and the skylights and the washing strung between the chimneys. The sky was still dark - a sated, navy-blue woman - but the grass was jittery with the expectation of dawn.
Sherry Turkle, Alone Together: Why We Expect More from Technology and Less from Each Other|Under stress, they seek composure above all. But they do not find equanimity.
Laurie Perez, Torpor: Though the Heart Is Warm|We pick up our shots and for the first time there's a total absence of sound in the room. From the ceiling, shy silver things blink and wait. Dennis doesn't sit, but hovers at the edge of the table, leaning in with a darkroom perfected slump. His hair hangs like its edges were dipped in lead. Thin spears pointing to the table. I'm looking at his face; we're both serious in a self-aware way, pretending not to notice."It doesn't even feel like I left. God, you look fucking terrible. But it's a terrible face that drinks tequila well. Down. And cheers."We force a dull clash of cups and pour everything down at once. The hard tequila shudders that never happen in the movies. First your head feels light, then it starts receiving the distress signals from throat, lungs, belly. Your shoulders jerk to shake off the snake that wrapped around you and squeezed. It burns. The good burn.
R. W. Patterson|But it's the science of the stars!""She thinks it's Satanic. You gave her daughter a pentagram.""It's a natal chart, duh. You can't let ignorance trump science here, Miss Mary!
K. Farrell St. Germain, Then'diel's Song|I will tell you this my darlings, the very worst regrets are the things you couldn't have handled any other way.
Maya Angelou, Mom & Me & Mom|Go," she whispered. "Go. Show them you spell your name W-O-M-A-N.
George Muller|I am always interested in that relationship between outer reality and inner desire, and I think it is important to pay attention to the inner voice because it is the only way to discover your mission in life and the only way to develop the strength to break with whatever familial or cultural norms are preventing you from fulfilling your destiny.
Kakuzō Okakura, The Book of Tea|In the liquid amber within the ivory porcelain, the initiated may touch the sweet reticence of Confucius, the piquancy of Laotse, and the ethereal aroma of Sakyamuni himself.
Paul Weller|There is no self-knowledge but an historical one. No one knows what he himself is who does not know his fellow men, especially the most prominent one of the community, the master's master, the genius of the age.
Margaret Atwood, The Blind Assassin|Look, this is helping me out quite a bit, but could you just get to the punishment part? We're at the end of World War Two in history, and I can't wait to find out who wins.
Brandy Lucas, Single, Not Dead|In creating you, God has alreadygiven you everything you need to livea life of endurance, abundance, andpurpose.
Patrick deWitt|From an early period, I had the happiness to rank among the foremost in the American Revolution. In the affection and confidence of the people, I am proud to say, I have a great share.
Roald Dahl, Boy: Tales of Childhood|Feel free to like & share!I have been writing now for 3 years, managed to publish 12 books, it's coming along. I can really use you guys support. A great amount of being a writer is having the ability to persist and along the way each book sale with its additional review comments is a win and a reminder that I can make it. Pick up one of my books today and if you like it, tell a friend and maybe will do the same thing. It would be much appreciated. You'll find them on Amazon and Kobo.Claire :)
Neal Shusterman, Unwind|If you want good laws, burn those you have and make new ones.
Rick Yancey, Rags & Bones: New Twists on Timeless Tales|I'd never understood why anyone would want to live forever. It had always seemed to me that death lent life a certain poignancy, a necessary tension.
Keith Gessen|One changes, as a writer, fairly quickly; what you wrote six months or a year ago might not sound right anymore.
B.J. Daniels, Rough Rider|Her gaze locked with his and she felt her heart quicken. Slowly, he bent his head until his lips were only a breath away from her own. She couldn't breathe. Didn't dare. She thought she would die if he didn't kiss her.
Ally Condie, Matched|Lightning. Once it has forked, hot-white, from sky to earth, there is no going back
Chris Mentillo|Don't ever rely on one job, business contact, etc for your main source of income. Receive multiple sources of income for success.
Kelly Braffet|You think you're paying your dollar for a chance at the $6.2 million jackpot on Saturday, but really you're paying for the pleasure of the car ride home, deciding which credit card to pay off first and where your kid will suddenly be able to go to college.
Patricia Vanasse, Against All Odds|5.	That people do not believe in you or in your ideas does not necessary mean that you are not good or that your ideas are not good enough. The problem is not with you but with them. For every great invention, we have today encountered this opposition. If you, therefore want to be great you must learn not to live your life based on the opinion of others but on your convictions.
Beth Ramsay, #Networking is people looking for people looking for people|This is not new: people do business with people they like, know and trust. Taking that axiom in to account, would YOU trust YOU?
Kiera Van Gelder, The Buddha and the Borderline: My Recovery from Borderline Personality Disorder through Dialectical Behavior Therapy, Buddhism, and Online Dating|Anita Johnston, Ph.D., author of Eating in the Light of the Moon, taught me to look in the mirror with curiosity rather than fear. So I may look at my reflection and think, ‘That’s interesting. I wonder why my body seems bigger today than it did yesterday. Maybe it’s water weight. Maybe it’s my outfit. Or maybe my eyes are just playing tricks on me.’ I know it’s not possible for me to gain a noticeable amount of weight overnight, so I will go no further than that. I move on with my day without skipping a beat—and definitely without missing a meal.
Celso Cukierkorn, Secrets of Jewish Wealth Revealed!|A company could use bricks to measure their growth rate. How many bricks have angry investors thrown at you lately? If the answer is none, then your growth rate is probably pretty good… for the moment.
Craig D. Lounsbrough|Most often, what I don’t know will have a vastly greater bearing on my life that what I do know.
Elizabeth George, Loving God with All Your Mind|We are supposed to be different. Do not try to put round pegs in square holes. When people look at us, believe in yourself.
John Patrick Hickey, On The Journey To Achievement|A bit of research can save you hours, days of time correcting mistakes that you never had to make in the first place.
Ali ibn Abi Talib|To the press alone, chequered as it is with abuses, the world is indebted for all the triumphs which have been gained by reason and humanity over error and oppression.
Oliver Wendell Holmes Sr., Over the Teacups|What refuge is there for the victim who is oppressed with the feeling that there are a thousand new books he ought to read, while life is only long enough for him to attempt to read a hundred?
Hyrum W. Smith, The 3 Gaps: Are You Making a Difference?|He was one of life’s great helpers, for he cleaned up foul places and made them sweet.
Beth Revis|Eldest taught me about ancient religions that worshiped the sun. I never understood why- it's just a ball of light and heat. But if the sun of Sol-Earth swirls in colors and lights like that girl's hair, well, I can see why the ancients would worship that.
Greg Mortenson, Stones Into Schools: Promoting Peace With Books, Not Bombs, in Afghanistan and Pakistan|When you take the time to actually listen, with humility, to what people have to say, it's amazing what you can learn. Especially if the people who are doing the talking also happen to be children.
Sorin Cerin, Wisdom Collection: The Book of Wisdom|No one leads an army to war, unless they have first served in battle
Octavia E. Butler|You don't start out writing good stuff. You start out writing crap and thinking it's good stuff, and then gradually you get better at it. That's why I say one of the most valuable traits is persistence.
Émile Durkheim|We do not condemn it because it is a crime, but it is a crime because we condemn it.
Steve Maraboli|If you make a hiring mistake, make the change quickly. Don’t ignore problems. Don’t assume it will get better.
Susan Speranza, Tale of Lucia Grandi|A good solution applied with vigor now is better than a perfect solution applied 10 minutes later" Gen. George Patton,
Mike Dooley|Without sacrifice, true love is incomprehensible.
Albert Camus|Where there is no hope, it is incumbent on us to invent it.
Deb Baker, Murder Passes the Buck|The difference between men and women is this--if you catch a woman butt-naked, she tries to cover the private parts with her hands. A man will sit there just like you found him even if he doesn't have much to be proud of.
Thomas S. Monson|The philosophies of men surround us. The face of sin today often wears the mask of tolerance. Do not be deceived; behind that facade is heartache, unhappiness, and pain. You know what is right and what is wrong, and no disguise, however appealing, can change that. Be the one to make a stand for right, even if you stand alone. Have the moral courage to be a light for others to follow.
Victor Pelevin, Babylon|How can non-existence get sick of itself?Everytime you wake up, you appear again out of nowhere. And so does everything else. Death just means the replacement of the usual morning waking with something else, something quite impossible even to think about. We don't even have the instrument to do it, because our mind & our world are the same thing.
G.K. Chesterton, The Glass Walking Stick|Saint-worship is not the same as hero-worship; it is a much less dangerous thing than hero-worship. For hero-worship generally means the absorption or transmutation of some part, at any rate, of one's own original ideas of goodness under the heat and hypnotism of some strong personality. But saint-worship, especially when it is a worship of saints whom we know little or nothing about, is simply the worship of that tradition of goodness in which the saint's name has been embalmed; and into that empty mould our own natural idealism can much more easily be poured.
Francesca Lia Block|You can't doubt so much, Psyche
Marion G. Romney|You can give without loving ,but you can't love without giving.
Derrick Jensen, A Language Older Than Words|The reluctant will heed wisdom only when the confidence exhibited by the righteous awakens the seed of introspection,and the awareness of acountability, into the psyche of the uncertain.
David Hume|Most of the songs I write are just very directly from my life. I don't have a big imagination. Whenever I tried to write from fantasy, it comes out sounding really fake.
Nenia Campbell, Bound to Accept|My sub doesn't pay for me,” he says, pulling me to my feet. “That just doesn't happen.”“But we ordered so much,” I say helpl
Benjamin Spock|In automobile terms, the child supplies the power but the parents have to do the steering.
Pamela Meyer|I believe anger is a wasted emotion, and I don't like to waste emotions.
Cheryl Aguiar, Great Horned Owlets Rescue: Where There's a Will, There's a Way....|Never stop exploring... with Mother Nature by your side, the possibilities are endless.
Kiran Desai, The Inheritance of Loss|You lived intensely with others, only to have them disappear overnight, since the shadow class was condemned to movement. The men left for other jobs, towns, got deported, returned home, changed names. Sometimes someone came popping around a corner again, or on the subway then they vanished again. Addresses, phone numbers did not hold. The emptiness Biju felt returned to him over and over, until eventually he made sure not to let friendships sink deep anymore.
Piet Mondrian|I lend my daughter beauty products, but only as a treat. If she's going to a party, I'll let her borrow a mascara or moisturizer.
Christina Engela, Dead Beckoning|Intelligence reports and local folklore together perpetuated tales of his bloody adventures across the rim worlds and badlands of Terran space. It was his trademark and often over the last two decades, history proclaimed in large bloody letters that ‘Kilroy woz ‘ere.
Yeonmi Park, In Order to Live: A North Korean Girl's Journey to Freedom|Lack of thanksgiving result to lack of appreciation. Most people fail to appreciate because they failed to devote offering thanksgiving. You'll never appreciate your Pastor, Family, Partner or Friend, if you are not thankful of their presence. Be thankful then you'll learn to appreciate somehow.
Farshad Asl|Leaders don't assume. Assumptions are the termites of leadership. Communicate, communicate, and communicate, until you connect.
Robert    Emmett, Meowing on the Answering Machine|I thought I was in love, but it was only a head cold." (Humans)
Ishmael Beah, A Long Way Gone: Memoirs of a Boy Soldier|Revenge is like politics, one thing always leads to another until bad has become worse, and worse has become worst.
Brodi Ashton, Everneath|There are two kinds of perfect: The one you can never achieve, and the other, by just being yourself.
Cassandra Clare, Clockwork Prince|I also never would have imagined I'd quote back a church lesson, but when the rest of the crowd stood up to take communion, I found myself saying to Dimitri: "Don't you think that if God can supposedly forgive you, it's kind of egotistical for you not to forgive yourself?""How long have you been waiting to use that line on me?" he asked."Actually, it just came to me. Pretty good, huh? I bet you thought I wasn't paying attention.""You weren't. You never do. You were watching me.
Henry Wadsworth Longfellow|Although idea and form are ultimately paramount in my work, so too are chance, accident, and rawness.
Edward Frenkel, Love and Math: The Heart of Hidden Reality|Certainly not! I didn't build a machine to solve ridiculous crossword puzzles! That's hack work, not Great Art! Just give it a topic, any topic, as difficult as you like..."Klapaucius thought, and thought some more. Finally he nodded and said:"Very well. Let's have a love poem, lyrical, pastoral, and expressed in the language of pure mathematics. Tensor algebra mainly, with a little topology and higher calculus, if need be. But with feeling, you understand, and in the cybernetic spirit.""Love and tensor algebra?" Have you taken leave of your senses?" Trurl began, but stopped, for his electronic bard was already declaiming:Come, let us hasten to a higher plane,Where dyads tread the fairy fields of Venn,Their indices bedecked from one to n,Commingled in an endless Markov chain!Come, every frustum longs to be a cone,And every vector dreams of matrices.Hark to the gentle gradient of the breeze:It whispers of a more ergodic zone.In Reimann, Hilbert or in Banach spaceLet superscripts and subscripts go their ways.Our asymptotes no longer out of phase,We shall encounter, counting, face to face.I'll grant thee random access to my heart,Thou'lt tell me all the constants of thy love;And so we two shall all love's lemmas prove,And in bound partition never part.For what did Cauchy know, or Christoffel,Or Fourier, or any Boole or Euler,Wielding their compasses, their pens and rulers,Of thy supernal sinusoidal spell?Cancel me not--for what then shall remain?Abscissas, some mantissas, modules, modes,A root or two, a torus and a node:The inverse of my verse, a null domain.Ellipse of bliss, converge, O lips divine!The product of our scalars is defined!Cyberiad draws nigh, and the skew mindCuts capers like a happy haversine.I see the eigenvalue in thine eye,I hear the tender tensor in thy sigh.Bernoulli would have been content to die,Had he but known such a^2 cos 2 phi!
Anastasia Novyh "Allatra"|Get to know everything is impossible, but we should to strive for this.
Jan Mckingley Hilado, Rich Real Radical: 40 Lessons from a Magna Cum Laude and a College Drop Out|Summoning gratitude is a sure way to get our life back on track. Opening our eyes to affirm gratitude grows the garden of our inner abundance, just as standing close to a fire eventually warms our heart.
Kristian Kan|you know, a daydream properly utilized can be the most powerful force in the universe. One need only dream of freedom to begin to break the spell of enslavement.
Sebastian Japrisot|He buys Playboy magazines and looks through them once, then gives them to me. That’s what it’s like to be rich.Here’s what it’s like to be poor. Your wife leaves you because you can’t find a job because there aren’t any jobs to find. You empty the jar of pennies on the mantel to buy cigarettes. You hate to answer the phone; it can’t possibly be good news. When your friends invite you out, you don’t go. After a while, they stop inviting. You owe them money, and sometimes they ask for it. You tell them you’ll see what you can scrape up.Which is this: nothing.
Debasish Mridha|Anger dulls the sharpness of mind, hardens the softness of feelings, and replaces the sweetness of the world with bitterness.
Akhenaton|Let me alone, and go in search of someone else.
B.J. Daniels, Rough Rider|He noticed her eyes were a rich, warm brown, the same color as his favorite horse."Yes?"He realized he'd been staring. At least he had the sense not to voice his thoughts. He doubted she would appreciate her eye color being compared to that of his horse's hide even if it was his favorite.
Karen Armstrong|These days politics, religion, media seem to get all mixed up. Television became the new religion a long time back and the media has taken over.
Esmeralda Santiago, Conquistadora|I learned you pay for your happiness. That's why I don't expect to be happy all the time. I'd rather be surprised by one moment every so often to remind me that joy is possible, even if I have to pay for it later.
George MacDonald, Mary Marston|Sometimes you don’t even know how strong you are, the devil sees it before you do and attacks
C.G. Jung|We are all born free from all religious affiliations and only come to believe in such things after being introduced to it ― so, atheism is the default position. Although some children are not indoctrinated with a specific religion before the age of reason, there are many more who are.
Guy Verhofstadt|And I have been able to give freedom and life which was acknowledged in the ecstasy of walking hand in hand across the most beautiful bridge of the world, the cables enclosing us and pulling us upward in such a dance as I have never walked and never can walk with another.
Kenneth C. Goldman, Desiree|When I first read Lovecraft around 1971, and even more so when I began to read about his life, I immediately knew that I wanted to write horror stories. I had read Arthur Machen before I read Lovecraft, and I didn’t have that reaction at all. It was what I sensed in Lovecraft’s works and what I learned about his myth as the “recluse of Providence” that made me think, “That’s for me!” I already had a grim view of existence, so there was no problem there. I was and am agoraphobic, so being reclusive was a snap. The only challenge was whether or not I could actually write horror stories. So I studied fiction writing and wrote every day for years and years until I started to get my stories accepted by small press magazines. I’m not comparing myself to Lovecraft as a person or as a writer, but the rough outline of his life gave me something to aspire to. I don’t know what would have become of me if I hadn’t discovered Lovecraft.
Holly Black, Ironside|In those stories, one is often asked to do something unimaginably terrible to the creature. Cut off it's head, say. A test. Not a test of love. A test of trust. Trust lifts the spell.
Toba Beta, Master of Stupidity|As the dew drop slides down the leaf to wet the soil, they call it "fall in love". Yet, do we know the way up from the way down?
J.R.R. Tolkien|This is the ending. Now not day only shall be beloved, but night too shall be beautiful and blessed and all its fear pass away.
David Mamet|I am very close to my brother Ramesh Babu. When my father was away for shootings, my brother would take care of me, and I am very close to him, and yes, Dad's always special. He used to call me and enquire about my film's progress. Whenever I deliver a hit, I can see a glow on my father's face.
Lauren Oliver, Requiem|Simply put, the best revenge is to live an awesome life.
Zack Love, Sex in the Title: A Comedy about Dating, Sex, and Romance in NYC|If I stay, it’s going to be in your bed.” 	Her pounding heart relaxed, the fear that he’d reject her floating away like tiny grains of sand in the wind. “I know.”	“And we’re not going to sleep.”	“I’m good with that, too.
Oscar Wilde|Some have called we rock and roll performers who never retire 'troubadours.' I enjoy this misnomer immensely. While there are many differences between me and my distant predecessors in L'Occitane, I do believe there is a lineage that connects us of the last 70 years with those romantic singers of the High Middle Ages.
Ben Stein|It's the steady, quiet, plodding ones who win in the lifelong race.
Sunday Adelaja|I made my name”. What does this mean? It means you continually engaged in educating yourself, undertaking and fulfilling your responsibility and learned never to give up regardless of your circumstances
Grace Draven, Radiance|This should never have happened, Brishen. We were unimportant, you and I. We weren't supposed to mean anything to anyone.""Woman of day," he said slowly. "You mean everything to me.
Chuck Close|All architecture has a public nature, I believe, so I would like to make a public space.
Philip Yancey|To worship is to quicken the conscience by the holiness of God, to feed the mind with the truth of God, to purge the imagination by the beauty of God, to open the heart to the love of God, to devote the will to the purpose of God.
Kiersten White, Illusions of Fate|Shadows go in front of you, leading into your future, and trail behind you, leaving a part of you in the past. They are clearest when we are in the light, and disappear when we lose ourselves in darkness.
Lauren Hammond, Famished|Hello, dinner. It’s me, I’m starving. And I know where you live.
J.K. Rowling, Harry Potter and the Deathly Hallows|Like the fact that the person Sirius cared for the most about in the world was you," said Dumbledore quietly.
Christina Phillips, Hold Me Until Midnight|Love comes in seemingly insignificant moments and if you’re not paying attention, you might miss them.
Kevin James|When you think about the day-to-day, positive impact on the lives of U.S. citizens, there is no relationship that we have in the world that is more important than our relationship with Canada.
Stephen King, It|Already, I'm starting to forget the face of the man I killed.
Jessica Page Morrell|In my opinion, too much attention to weather makes for instability of character.
Nana Awere Damoah|Come to Africa and help! Wherever you may be in the world, there is something you can give back to the continent that gave you a name and an identity, at least.
Anna Godbersen, Bright Young Things|...a soft inward look some into his eyes, as if he was amazed to find himself alive on such a beautiful day.
David Halberstam, The Powers That Be|he was almost joyously what he had always been, a lot of gee whiz, it was all new and fresh even when surely he had seen much of it before, and it was as if he took delight in not having been changed externally by all that he had seen.
Ma Jun|It is the public that is illiterate in science and math, a lazy press, and environmental advocacy groups that manufacture fear for misconceptions about energy.
Mykyta Isagulov|Language, because it is imperfect, cannot encompass experience in its raw and primal condition. To verbalize emotion and action is to decrease their impact.
Morrissey|To me you are a work of art, and I would give you my heart - that's if I had one.
Judith Butler, Frames of War: When Is Life Grievable?|Precisely because a living being may die, it is necessary to care for that being so that it may live. Only under conditions in which the loss would matter does the value of the life appear. Thus, grievability is a presupposition for the life that matters.
Shannon L. Alder|Who gets to be the judge of reality? If it was deeply felt, believed, spoken about often or altered your life course, then it was real enough. Faith doesn't get the luxury of all those things one hundred percent of the time, but we call that normal behavior based on a gut feeling.” I said. I looked at his wife and she busted out laughing. Her husband was trying to catch invisible butterflies above his head—dementia. My patients teach me the most sobering of truths: Why wreck his smile. If I could see them, I would want to catch them too.
Taranpreet Singh|Talking to the Divine is possible when you have your knowledge, thoughts, mind & body in line, remembering God with every breath. In Sufism, it is called ‘Sama’. But in reality, it should be called ‘Self realization’, I think.
David Foster Wallace, Infinite Jest|We are all dying to give our lives away to something, maybe. God or Satan, politics or grammar, topology or philately (...) To games or needles, to some other person.
Elizabeth Gilbert, Eat, Pray, Love|One third, more or less, of all the sorrow that the person I think I am must endure is unavoidable. It is the sorrow inherent in the human condition, the price we must pay for being sentient and self-conscious organisms, aspirants to liberation, but subject to the laws of nature and under orders to keep on marching, through irreversible time, through a world wholly indifferent to our well-being, toward decrepitude and the certainty of death. The remaining two thirds of all sorrow is homemade and, so far as the universe is concerned, unnecessary.
Alexander Lowen, The Voice of the Body|As adults, we hvae many inhibitions against crying. We feel it is an expression of weakness, or femininity or of childishness. The person who is afraid to cry is afraid of pleasure. This is because the person who is afraid to cry holds himself together rigidly so that he won't cry; that is, the rigid person is as afraid of pleasure as he is afraid to cry. In a situation of pleasure he will become anxious. As his tensions relax he will begin to tremble and shake, and he will attempt to control this trembling so as not to break down in tears. His anxiety is nothing more than the conflict between his desire to let go and his fear of letting go. This conflict will arise whenever the pleasure is strong enough to threaten his rigidity.Since rigidity develops as a means to block out painful sensations, the release of rigidity or the restoration of the natural motility of the body will bring these painful sensations to the fore. Somewhere in his unconscious the neurotic individual is aware that pleasure can evoke the repressed ghosts of the past. It could be that such a situation is responsible for the adage "No pleasure without pain.
Shannon L. Alder|They were both sad that their love had died, but they agreed that there was nothing they could do about it. They would just have to part.
Joseph Campbell, The Hero With a Thousand Faces|It has always been the prime function of mythology and rite to supply the symbols that carry the human spirit forward, in counteraction to those that tend to tie it back.
Samuel Butler|Do you have hands? Excellent. That's a good start. Can you hold a pencil? Great. If you have a sketchbook, open it and start by making a line, a mark, wherever. Doodle.
Leonard Baskin|Canadians tend to be a bit more religious than most Europeans - though not more than the Poles or Ukrainians. Most important, their attitude to immigration and ethnic minorities is more positive than that of most Europeans.
Corliss Lamont|Thank you for stitching me up" I say."I seem to have a talent for it.
Archibald Marwizi, Making Success Deliberate|Call your personal board now and discuss the important questions. You cannot invent, re-invent or show creative brilliance without asking pertinent questions. You must demand answers from your life, from your present circumstances or from any challenge you may face. Why can’t you change? What does it take to get different results? What else can you do or try?
Katie McGrath|When I play discos in Belfast or freshers' week in Oxford, there are 1,800 kids dressed as me. It's odd, it's funny, and it pays really well.
Bobby Knight|I think what endurance sports teach you is to stay dedicated, stay focused, and also to understand you're going to have ups and downs, but you need to keep running right through them.
Hayley Hasselhoff|If efforts to do social work are couched in selfish motives, then they will die a premature death. Why would my efforts get politicised? I have values I inherited from my father. He helped many. Anyone, even a postman knocking on our door would get a glass of water and some sweets.
Jimmy Carter, Our Endangered Values: America's Moral Crisis|I believe that anyone can be successful in life, regardless of natural talent or the environment within which we live. This is not based on measuring success by human competitiveness for wealth, possessions, influence, and fame, but adhering to God's standards of truth, justice, humility, service, compassion, forgiveness, and love.
Mansur al-Hallaj, The Great Satan "Eblis"|When we make mistakes, we simply say sorry. And saying the words would cost us our pride most of the time.
Holly Smale, Geek Girl|The power to change is already within you, ready to be discovered. Find new methods to deal with old routines. It is up to you to make the conscious choices that bring a better future.
Paulo Coelho|We can't look to the world to restore our worth; we're here to restore our worth to the world. The world outside us can reflect our glory, but it cannot create it. It cannot crown us. Only God can crown us, and he already has.
Debasish Mridha|In life, you will always find what you are looking for.
Amish Tripathi, The Secret of the Nagas|The opposite of love is not hate, its apathy, when you simply don't bother about that person!
Eric Ludy, When God Writes Your Love Story: The Ultimate Approach to Guy/Girl Relationships|To serve the many, you first serve the few.
Ernest Hemingway, To Have and Have Not|Don't think that this people are stupid, probably you have caught one, but you didn't finish your work and what now???You were in their trap...
Lailah Gifty Akita|Time is life.Time for birth, time for death.
Robert W. Chambers, The King in Yellow and Other Horror Stories|Damn it, it wasn’t quite fresh enough!
Ferdinand de Saussure, Course in General Linguistics|The essence of America – that which really unites us — is not ethnicity, or nationality or religion – it is an idea — and what an idea it is: That you can come from humble circumstances and do great things. That it doesn’t matter where you came from but where you are going.
Denny Taylor|We distance ourselves for protection,Wear scarves when it’s cold. What seems most outlandish in our autobiography Is what really happened.
Laini Taylor|I had wanted to hate you that day. Believe me, I had. And then suddenly, staring at me incredulously, your extra half-tooth had blurted out aloud, ‘You get dimples on both cheeks!’ your immaculate lisp intact, on both the ‘s’es. I remember that second, the way your hair fell, the nankhatais on my tongue and the strains of Akhtar’s melody in the air. I had fallen in love with you then. I miss that second.’('Left from Dhakeshwari')
Bob Marley|It's amazing that a man who is dead can talk to people through these pages. As long as this books survives, his ideas live.
Bindi Irwin|My son is so fortunate, you know. He's always going to have food. Yes, my children are going to be privileged, but that's why it's so important for them to see different realities and to travel, and they do already.
Craig D. Lounsbrough|The old queen had failed them so miserably... She was such a bitter disappointment. But Ursula was different. There was no one to distract her, no one for her to love. She was alone in the world, alone in her grief, and alone with her pain. No, she wouldn't disappoint them. Unlike the old queen, Ursula would be able to fill her heart with hate.
Wafaa Nowaihed|عوامل عدة تسبب الحزن، لكننا نحن نصنع الفرح.... لنستمتع بالحياةGrieve caused by factors, joy is made by us… we should enjoy life
Jane Austen, Pride and Prejudice|However, he wrote some verses on her, and very pretty they were.” “And so ended his affection,” said Elizabeth impatiently. “There has been many a one, I fancy, overcome in the same way. I wonder who first discovered the efficacy of poetry in driving away love!” “I have been used to consider poetry as the food of love,” said Darcy.  “Of a fine, stout, healthy love it may. Everything nourishes what is strong already. But if it be only a slight, thin sort of inclination, I am convinced that one good sonnet will starve it entirely away.
John Kenneth Galbraith, The Great Crash of 1929|Perhaps this is the purpose of detective investigations, real and fictional -- to transform sensation, horror and grief into a puzzle, and then to solve the puzzle, to make it go away. 'The detective story,' observed Raymond Chandler in 1949, 'is a tragedy with a happy ending.' A storybook detective starts by confronting us with a murder and ends by absolving us of it. He clears us of guilt. He relieves us of uncertainty. He removes us from the presence of death.
Kilroy J. Oldster, Dead Toad Scrolls|Our personal story has many chapters that reconnoiter universal themes. We each struggle to understand ourselves and aspire to make ourselves known to the world. We struggle to win the love of other people. We seek to pick all the low hanging fruit that we come across in our journey through the corridor of time. We write our story in the Niagara of emotional experiences that flowing watercourse makes us human. We use a profusion of words, symbols, and the nuances pulled from a rich library of language to depict the cascade of our visions, sounds, smells, tastes, feelings, dreams, and infelicitous thoughts. We use logical and dialectal thought processes when communing with our inner self. We use self-speak along with the esemplastic powers of poetic imagination, sprinkled with the fizz of creativity, to cohere disparate chapters of our life into a unified whole and relay the effervescence of our story to other people.
Abhijit Naskar, In Search of Divinity: Journey to The Kingdom of Conscience|It is an utter insult towards the fascinating neurons of your cerebral cortex, to believe anybody’s words blindly, even if that person is a Scientist or a Philosopher. So, I urge to you, that you must exercise your own reasoning and judgment (that’s what your cerebral cortex is for; to be specific the frontal lobes) at all times.
James White Fellow of INSTAAR|We need leaders, we need political leaders and we need business leaders, and my hope for this book is that it helps create that next generation of business leaders that will lead us into the future.
Lalah Delia|Healing—takes time,and—so does—not healing.Chose—how you spend your time —wisely.
Frank Herbert, Chapterhouse: Dune|Create or arouse such unbridled forces and you built carnal fantasies of enormous complexity. You could lead whole populations around by their desires, by their fantasy projections.
Matshona Dhliwayo|Use your mind’s talents diligently, your heart’s powers incredibly, and your soul’s genius profitably.
Savania China, Challenge and Improve: Confronting, and Deriving Valuable Life Lessons from, Popular Quotes|Live a life that fits your specific circumstances, not one that fits someone else’s expectations
J.R.R. Tolkien|Though mortal Men have little life beside the span of the Elves, they would rather spend it in battle than fly or submit. The defiance of Húrin Thalion is a great deed; and though Morgoth slay the doer he cannot make the deed not to have been. Even the Lords of the West will honour it; and is it not written into the history of Arda, which neither Morgoth nor Manwë can unwrite?
Daniel Quinn, Ishmael: An Adventure of the Mind and Spirit|We must have clean air and water, and beautiful natural foods for everyone, everywhere.
Amy Grant|I travel around and hear from so many kids. Their parents say they were always very picky but they watch the show and they want to try stuff. The show is entertainment, but I think it has done so much for the public perception of what food can be.
