Emily Roberson|Unfeeling thing that I was, the sensibilities of the maternal heart were Greek and Hebrew to me.
Tilicia Haridat|Stars are tragic. Most of the stars are nothing but reminders of love gone horribly wrong, or men challenging the gods.
Henri J.M. Nouwen|Learn the discipline of being surprised not by suffering but by joy. As we grow old, there is suffering ahead of us, immense suffering, a suffering that will continue to tempt us to think that we have chosen the wrong road. But don't be surprised by pain. Be surprised by joy, be surprised by the little flower that shows its beauty in the midst of a barren desert, and be surprised by the immense healing power that keeps bursting forth like springs of fresh water from the depth of our pain.
Sharon A. Hersh, Brave Hearts: Unlocking the Courage to Love with Abandon|Her tone changed from shocked to curious. “How was it? Was it… different?”Sarah bit her lip, ashamed to be gossiping but feeling the strong urge to tell. “Yes,”she confided. “He’s nothing like John. Nothing like him at all.”“Really? What was different? Did he…?” Grace waved a hand as though erasing achalkboard. “Oh, forget it. I shouldn’t be asking this. But,” again her voice lowered, “is he tattooed everywhere?”Sarah knew it was wrong to talk about him like this, but her inner schoolgirl took over and she nodded, eager to share details. “He’s beautiful … like a stained glass window. And he’s really good with his … mouth.” She raised an eyebrow, giving Grace a significant look.Her friend gasped and giggled. “But isn’t it weird? Touching him?”“Skin is skin, Grace,” Sarah chided. “The tattoos are only on the surface, you know.He’s a man.” A sexy, vulnerable, intense, attractive, responsible, sweet, gentle and loving man.
Anthony Hitt|I never assumed I would have that commercial success, so it was a total surprise. And honestly, I never assumed that it would ever happen again.
Hal Borland|I do love the beginning of the summer hols,' said Julian. They always seem to stretch out ahead for ages and ages.''They go so nice and slowly at first,' said Anne, his little sister. 'Then they start to gallop.
Richelle Mead, Frostbite|In the real world, you can make your own miracles
Chelsea Sedoti, The Hundred Lies of Lizzie Lovett|Movies were movies, whether they were old or new. They always captivated me, pulled me into worlds where anything was possible. Worlds where there were adventures and surprises, and life was never dull.
Andre Rieu|How to play music may be known. At the commencement of the piece, all the parts should sound together. As it proceeds, they should be in harmony while severally distinct and flowing without break, and thus on to the conclusion.
Tim Relf, Stag|In that moment, I felt differently to myself yet the essence of who I really was.Like a perfect state of balance.
Julius Erving|With every book, you go back to school. You become a student. You become an investigative reporter. You spend a little time learning what it's like to live in someone else's shoes.
Madeleine L'Engle, Walking on Water: Reflections on Faith and Art|But I am a storyteller, and that involves language, for me the English language, that wonderfully rich, complex, and ofttimes confusing tongue. When language is limited, I am thereby diminished, too.
Chris Moneymaker|You discover how confounding the world is when you try to draw it. You look at a car, and you try to see its car-ness, and you're like an immigrant to your own world. You don't have to travel to encounter weirdness. You wake up to it.
John Cleese|I have too much respect for people to try to control them. But they are estranged from love, afraid to reach out and touch one another. We're afraid to appear sentimental or speak in platitudes because people will say, 'What a jerk!' It takes courage in our culture to be a lover.
Timothy Pina, Bullying Ben: How Benjamin Franklin Overcame Bullying|There is no reason to look back, when there is so much good in front of you. Always keep moving forward on your roads of life!
Carol Berg, Flesh and Spirit|On my seventh birthday, my father swore, for the first of many times, that I would die facedown in a cesspool. On that same occasion, my mother, with all the accompanying mystery and elevated language appropriate for a prominent diviner, turned her cards, screamed delicately, and proclaimed that my doom was written in water and blood and ice. As for me, from about that time and for twenty years since, I had spat on my middle finger and slapped the rump of every aingerou I noticed, murmuring the sincerest, devoutest prayer that I might prove my parents' predictions wrong. Not so much that I feared the doom itself - doom is just the hind end of living, after all - but to see the two who birthed me confounded.
Agona Apell|The conditions of writing change absolutely between the first novel and the second: the first is an adventure, the second is a duty. The first is like a sprint which leaves you exhausted and triumphant beside the track. With the second the writer has been transformed into a long-distance runner - the finishing tape is out of sight, at the end of life. He must guard his energies and plan ahead. A long endurance is more exhausting than a sprint, and less heroic.
Samuel Johnson|Knowledge is of two kinds. We know a subject ourselves, or we know where we can find information on it.
Joshua Rothman|FOR BEING A SUCESSFUL PERSON, ONE NEEDS TO HAVE KNOWLEDGE OF DIVERSIFIED FEILDS. IT WILL IMPROVE YOUR THOUGHTS AND GIVES YOU CREATIVE IDEAS. YOUR VISION WILL BE BROADER AND AIM WILL BE HIGH. WHAT IT NEEDS TO HAVE CONFIDENCE IN YOU!
Audrey Niffenegger, The Time Traveler's Wife|The apartment is a laboratory in which we conduct experiments, perform research on each other. We discover Henry hates it when I absentmindedly click my spoon against my teeth while reading the paper at breakfast. We agree that it is okay for me to listen to Joni Mitchell and it is okay for Henry to listen to the Shaggs as long as the other person isn't around. We figure out that Henry should do all the cooking and I should be in charge of laundry and neither of us is willing to vacuum so we hire a cleaning service.
James Goss, Doctor Who: Dead of Winter|At the moment, it's simply a difference of opinon between the Doctor and you.. You both want the best. You've only tried to kill him a couple of times... I mean, don't worry about that. I've seen people do much worse to him and at the end of the day he'll take them out for pizza. He's very forgiving. The Doctor is brilliant,' [said Rory]
Zilpha Keatley Snyder, The Changeling|Okay, try this on for size, Tall, Dark and Handsome. I won't be born for almost seven hundred hundred years. How's that strike you?
Nicole Y. Walters, Charis: Journey to Pandora's Jar|With every sunrise, we get to choose ... who we are, what we believe, and how we will live the life the gods have given us. We can’t always choose our circumstances. No. The Fates do that. But we can always choose who we will be and how we will be within them.
Neil A. Fiore, The Now Habit: A Strategic Program for Overcoming Procrastination and Enjoying Guilt-Free Play|So you must not think a man has lived long because he has white hair and wrinkles: he has not lived long, just existed long. For suppose you should think that a man had had a long voyage who had been caught in a raging storm as he left harbour, and carried hither and thither and driven round and round in a circle by the rage opposing winds. He did not have a long voyage, just a long tossing about.
Rick Riordan, The Last Olympian|The wood nymph instructors left me in the dust. They told me not to worry about it. They'd had centuries of practice running away from lovesick gods. But still, it was a little humiliating to be slower than a tree. 
Christopher J. Pumphrey, Bullet|Fiction cannot betray the truth. Though it must try"...As said by Ernest Hemingway in "Blast"...The first short story in "Bullet".
Ridley Scott|A hit for me is if I enjoy the movie, if I personally enjoy the movie.
Ansel Adams|You don't take a photograph, you make it.
David Halberstam, The Powers That Be|Like most other events that change the world, it didn't seem interesting to anyone except the people willing to do the work.
Rhonda Byrne, How The Secret Changed My Life: Real People. Real Stories.|When you change the way you think about a situation, everything connected to that situation will change.
Debasish Mridha|The practice of understanding, forgiveness, and love is the best practice for a peaceful world.
Adam Johnston|In life you get the choice, it depends on what you choose and how you live with the consequences to whether you win or lose!
Rabih Alameddine, An Unnecessary Woman|Sex, like art, can unsettle a soul, can grind a heart in a mortar. Sex, like literature, can sneak the other within one's wall, even if for only a moment, a moment before one immures oneself again.
C. Christopher Smith, Slow Church: Cultivating Community in the Patient Way of Jesus|If the good news is an invitation to a Jesus way of life and not information about somebody who accomplished something on my behalf, I’m sunk. This is law and no gospel.
DaShanne Stokes|A fool can't help but be a fool, but when others follow, he makes a fool of us all.
Toni Sorenson|If you do not direct your path, the world will. Don't ever let anyone make you go where you do not want to be.
Fidel Castro|I would encourage you to set really high goals. Set goals that, when you set them, you think they're impossible. But then every day you can work towards them, and anything is possible, so keep working hard and follow your dreams.
Nadia Bolz-Weber, Accidental Saints: Finding God in All the Wrong People|There is a reason Mary is everywhere. I've seen her image all over the world, in cafés in Istanbul, on students' backpacks in Scotland, in a market stall in Jakarta, but I don't think her image is everywhere because she is a reminder to be obedient, and I don't think it has to do with social revolution. Images of  Mary remind us of  God's favor. Mary is what it looks like to believe that we already are who God says we are.
Pattie Boyd|Creativity itself doesn't care at all about results - the only thing it craves is the process. Learn to love the process and let whatever happens next happen, without fussing too much about it. Work like a monk, or a mule, or some other representative metaphor for diligence. Love the work. Destiny will do what it wants with you, regardless.
Philip Larkin, The Whitsun Weddings|Loneliness clarifies. Here silence standsLike heat. Here leaves unnoticed thicken, Hidden weeds flower, neglected waters quicken, Luminously-peopled air ascends; And past the poppies bluish neutral distance Ends the land suddenly beyond a beach Of shapes and shingle. Here is unfenced existence: Facing the sun, untalkative, out of reach.
William Blake, Auguries of Innocence|To see a World in a Grain of Sand And a Heaven in a Wild Flower, Hold Infinity in the palm of your hand And Eternity in an hour.
Anonymous, Holy Bible: King James Version|Look up, and lift up your heads; for your redemption draweth nigh.
Alicia Keys|There are two types of poor people, those who are poor together and those who are poor alone. The first are the true poor, the others are rich people out of luck.
Aloe Blacc|For the first 50 years of your life the food industry is trying to make you fat. Then, the second 50 years, the pharmaceutical industry is treating you for everything.
D. Antoinette Foy|Before you step out into the world today, remember that you will encounter people whose struggles you do not know. Remember the way a pair of eyes light up when greeted with kindness.
David Wong|Until you've got your mouth full of cocaine, you don't know what kissing is. One kiss goes on from phase to phase like one of those novels by Balzac and Zola and Romain Rolland and D. H. Lawrence and those chaps. And you never get tire. You're on fourth speed all the time, and the engine purrs like a kitten, a big white kitten with the stars in its whiskers.
A.A. Milne|The only thing worth thinking about, when I write a story, is whether I like it, whether I want to write it, whether it excites me.
G.A. Aiken, A Tale of Two Dragons|Honey, when I look at you, you're right, I don't see anything similar to those other women. But don't you see? That's what makes you so special. That's why I love you.
|if one is unfamiliar with the infinite power of the subconscious mind, then one is absolutely far from living up to one's true potential in life.
John F. MacArthur Jr.|When you choose to love someone who is no longer attractive to you, he or she will become attractive.
Tushar Upreti|ALWAYS BE HAPPY IS NOT IMPORTANT , WHAT IMPORTANT IS TO FIGHT THE STATE OF MIND WHICH MAKES US HAPPY OR UNHAPPY !!
Marcel Proust, The Captive & The Fugitive|The creation of the world did not occur at the beginning of time, it occurs every day.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|If you make it right with yourself, it will be right with the whole world.
Maria Montessori|When you talk to a human in 2035, you'll be talking to someone that's a combination of biological and non-biological intelligence.
J.K. Rowling, Harry Potter and the Sorcerer's Stone|Hey, look — Harry’s got a Weasley sweater, too!”Fred and George were wearing blue sweaters, one with a large yellow F on it, the other a G.“Harry’s is better than ours, though,” said Fred, holding up Harry’s sweater. “She obviously makes more of an effort if you’re not family.
Abid Hussain Library Officer|More peoples getting satisfaction in wealth but real wealth is knowledge, knowledge is organized in books and books are available in the libraries.
Toba Beta, Betelgeuse Incident: Insiden Bait Al-Jauza|Money is good, but I prefer food, water, gold, weapon and energy.
Elif Shafak, The Forty Rules of Love|Many women have tried to compare to you, but they are only flawed imitations. You deserve the worlds admiration.
Jackie Haze, Borderless|Often I didn’t think I was cut out for the way the world is, being born into a common culture and system I would never choose for myself.
Mollie Gross, Confessions of a Military Wife|My father says there are more than twenty thousand turned out for the king. It seems that most men think that we will win, that York will be captured and killed, though the king in his tender heart has said he will forgive them all if they will surrender.~Will there be another battle?~Unless York decides he cannot face the king in person. It is one sort of sin to kill your friends and cousins, quite another to order your bowmen to fire at the king's banner and him beneath it. What if the king is killed in battle? What if York brings his broadsword down on the king's sanctified head?
Parul Wadhwa, The Masquerade|That happens in life sometimes, doesn't it? Something terrible happens and you think it's the worst thing ever and then it turns out to be the best.
Soumeet Lanka|Crazy things seem normal, normal things seem crazy.
Iris Murdoch, The Nice and the Good|But one must do something about the past. It doesn’t just cease to be. It goes on existing and affecting the present, and in new and different ways, as if in some other dimension it too were growing.
Lemony Snicket, The Ersatz Elevator|Are you ready?" Klaus asked finally."No," Sunny answered."Me neither," Violet said, "but if we wait until we're ready we'll be waiting for the rest of our lives, Let's go.
Madeline Miller, The Song of Achilles|Odysseus inclines his head. "True. But fame is a strange thing. Some men gain glory after they die, while others fade. What is admired in one generation is abhorred in another." He spread his broad hands. "We cannot say who will survive the holocaust of memory. Who knows?" He smiles. "Perhaps one day even I will be famous. Perhaps more famous than you.
Brian Herbert, House Harkonnen|Like enthusiasts in general, he made no inquiries into details of procedure.
Suzanne Collins, The Hunger Games|You have a... remarkable memory.""I remember everything about you. You're the one who wasn't paying attention.
Reverend Sidney E. Slaton, Cumberland Presbyterian|To be a good pastor one must have the wisdom of a Solomon, the intuition of a Newton, the patience of Job, the thinking faculties of an Einstein, and a compassion likened unto the Son of God.
Marcus Garvey|I congratulate you, my brave countrymen and fellow soldiers, on the spirit and success with which you have executed this important part of our enterprise.
Matt      Chandler|What is absolute humility (param vinaya)? It is on the one who has not disrespected anyone in the slightest! Absolute humility lies where there is no dispute, no difference of opinion or any law. Law is bondage.
Julia Child|Vegetarians, and their Hezbollah-like splinter faction, the vegans ... are the enemy of everything good and decent in the human spirit.
Emily Dickinson|Hermes, we love you," Hades said, "but you rarely do as you're told, and you always do as you wish, and I haven't the slightest idea what you'd do with an immortality fruit, but I'm sure it would be both creative and disastrous.
Stevie Nicks|Fads are the kiss of death. When the fad goes away, you go with it.
David Brier|And while a brand is so much more than a company’s logo, the logo is one of the key ambassadors to any brand.
Anna C. Salter|He wasn't yours to get hurt by. He was someone else's and you knew that, so why are you offended? What right do you have to be hurt when you were a part of the deception (lying by omission)?
Lailah Gifty Akita|A life live with God in the center of our being, overflows with joy.
Baruch Spinoza|The strength of the United States is not the gold at Fort Knox or the weapons of mass destruction that we have, but the sum total of the education and the character of our people.
James Carroll|If you want to know someone's story, they have to tell it aloud. But every time, the telling is a little but different. It's new, even to me.
A.W. Tozer|God is beautiful. His beauty demands a response that is shaped that beauty, and that is art.
Sri Jibankrishna or Diamond|Predict the predictable, it sounds something strange and difficult, but so far is stupid. To predict the predictable is the stupid thing ever done by human kind.
Simon  Palmer|I liked the idea of a person shedding their life, and someone else putting it on. -Oliver Harris on writing The Hollow Man for Crime Time online magazine
Michelle Franklin|Tea was the great arbiter of many things, and for Pastaddams, his morning cup meant the difference between expressing rational thought and succumbing to the ineptitude that occupied recesses of his dormant mind. Merely having the cup in his hand facilitated the flow of ideas, and upon tea, the great nourishment of the tailor’s life, rested all his claims to rational dependence.
David Hoffmeister, Quantum Forgiveness: Physics, Meet Jesus|In this book, I have selected seven quantum movies that carry direct healing messages. These movies are powerful because they clearly depict the truth of Jesus’ spiritual teachings from A Course in Miracles; they contain the same deep wisdom, light, and love that Jesus demonstrated. Quantum movies propel us into a direct experience that is aligned with the world-changing perspective of quantum physics. The profound lessons from these movies are directly relevant to the core concerns of life; they are helping us to see all of the ego’s myriad tricks—the belief in history, ambitions, goals, outcomes, and so forth. The Holy Spirit is now using Hollywood to reach the sleeping mind! Holy Spirit has infiltrated Hollywood!This book is our prayer to Spirit: Make everything new! Show us the world anew—fresh, clean, and clear! Then we have nothing to worry about. When we trust, listen to, and follow Spirit, it is game over for the ego. Game over for worry, sadness, and anxiety. As Jesus says in the Course, “Trust would settle every problem now!” Happiness is Who We Are Now!
Miranda Kerr|Women have been called queens for a long time, but the kingdom given them isn't worth ruling.
Christina Rossetti|Our forces saved the remnants of the Jewish people of Europe for a new life and a new hope in the reborn land of Israel. Along with all men of good will, I salute the young state and wish it well.
Matshona Dhliwayo|If a flower perseveres through concrete, you can persevere through anything.
Kilroy J. Oldster, Dead Toad Scrolls|The impeccable watchmaker geared the noble self to suffer. The ineluctable part of being human is perpetual sorrow, grief, and misery. Suffering is part of living. Life begins joyously and regretfully ends in tragedy. The cold realities of the world triumphantly crush each one of us. Between birth and death is comedic conjugation, the haunting prelude to the end of the self.
Hadi Farnoud|if you may edit, edit yourself
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|A good man will never harm or oppress another. A good man will share his last morsel of food with others in need, and die of hunger when he no longer has any food -- instead of cheat or steal from others to survive. Selflessness. Humility. Truthfulness. These are the three marks of an honorable man.
Neil deGrasse Tyson|Place a weapon in the hands ofGreed, hatred, especially of ignoranceYou've created innocent deathsThat wasn't neccasary
Margaret Clarkson, Destined for Glory: The Meaning of Suffering|If God has entrusted us with suffering, let us set our hearts and minds to work together with Him to enable Him to bring out of our trials all the glory He longs us to know.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|True beauty is measured by the number of pearls within you, not those around your neck.
Walter Mondale|Relationships like this are built on honesty and trust. If you don't trust me-trust me to know how I'm affecting you, how far I can go with you, how far I can take you-if you can't be honest with me, then we really can't do this.
Sheng Wang|Why do people say "grow some balls"? Balls are weak and sensitive. If you wanna be tough, grow a vagina. Those things can take a pounding.
Charlotte Eriksson|And you might try to hide or protect yourself, or compare the different states of love,but you must not grow up, must not act wise when it comes to love.You must stay foolish and fall for every heart will beat in different ways together with yours and love is not meant to be compared, only enjoyed, and suffered, and remembered.
John Green, Looking for Alaska|The only thing worse than having a party that no one attends is having a party attended only by two vastly, deeply uninteresting people.
Ramana Maharshi|Life is a travelling to the edge of knowledge, then a leap taken.
Linus Roache|I want to do what I love, which is act, and hopefully through that, leave a positive impact somehow, someway, with somebody.
Dan Simmons|My mother was an English teacher who decided to become a math teacher, and she used me as a guinea pig at home. My father had been a math teacher and then went to work at a steel mill because, frankly, he could make more money doing that.
Nathan Squiers, Death Metal|Brian came in heavy at that moment on his guitar, the rapid, high-pitched squeal ranging back and forth as his fingers flew along the frets. As the intro's tempo grew more rapid, Bekka heard Derek's subtle bass line as it worked its way in. After another few seconds Will came in, slow at first, but racing along to match the others' pace. When their combined efforts seemed unable to get any heavier, David jumped into the mix.As the sound got nice and heavy, Bekka began to rock back-and-forth onstage. In front of her, hundreds of metal-lovers began to jump and gyrate to their music. She matched their movements for a moment, enjoying the connection that was being made, before stepping over to the keyboard that had been set up behind her. Sliding her microphone into an attached cradle, she assumed her position and got ready. Right on cue, all the others stopped playing, throwing the auditorium into an abrupt silence. Before the crowd could react, however, Bekka's fingers began to work the keys, issuing a rhythm that was much softer and slower than what had been built up. The audience's violent thrash-dance calmed at that moment and they began to sway in response.Bekka smiled to herself.This is what she lived for.
Katie Reus, Shattered Duty|Well?" he prompted, toying with the elastic of her leggings. "What should we do with these pants, Bailey?"One teasing stroke of his fingers over her belly, and a breath shuddered out of her lungs."Take them off," she choked out.
Guy Fieri|I try and stay positive; being negative isn't good for my personality. I don't just bring myself down, I bring everyone around me down. It's like a dark cloud, 'Uh oh, here we go,' and have to snap out of it.
Margaret Thatcher|One of my earliest memories is of seeing my mother in her beach chair, reading a book under an umbrella by the water's edge while my sisters and I played beside her. Of all the life lessons she taught me, that is one of my favorites: to take time at a place I love, restore my spirit with books and the beach.
Jonathan Anthony Burkett|I live to inspire, not start the fire.
Marion Jones|The connections between and among women are the most feared, the most problematic, and the most potentially transforming force on the planet.
Pearl Zhu, Thinkingaire: 100 Game Changing Digital Mindsets to Compete for the Future|Genius is not the one who gives answers, it's the one who asks the questions.
Marielle Arias Cleofe|At this age, all we need to do is to "WAIT" in our love life.Set your priorities, Endeavor your goals!
Shirin Dubbin, To the Fifth Power|Not many people understood the inherent pain of a career in heroics. Your body aches from the demands of day-to-day protection. Your mind whirs with the things you did wrong, the ways you could’ve done better, the scores of citizens you didn’t save. And when you lose someone you love, when their blood forms a puddle beneath your cheek while you watch… Your name, Watcher, becomes the cruelest agony of all.
Colleen Chen, Dysmorphic Kingdom|Vesper felt herself turning red with humiliation. Then she looked at Allegra—really looked at her. Maybe she’d had such a problem with people not seeing her because she wasn’t seeing them. Did Allegra’s mask of rage hide pain and doubt that anyone would ever truly love her? She thought that it just might. Vesper didn’t quite feel compassion, but she no longer took Allegra’s behavior personally.
Dick Sederquist, Inside and Outside: Messages of Hope from a Life Long Hiker and Depression Survivor|People ask me how to start writing. I tell them that 'Creating Creates Creativity'. Put your notes and outline aside. Start with one anecdote or conversation, and that will lead to another and another. It's the steps, the path, not the final destination that drives the process or writing.
Anonymous, Holy Bible: King James Version|The character of Moses, as stated in the Bible, is the most horrid that can be imagined. If those accounts be true, he was the wretch that first began and carried on wars on the score or on the pretence of religion; and under that mask, or that infatuation, committed the most unexampled atrocities that are to be found in the history of any nation. Of which I will state only one instance:When the Jewish army returned from one of their plundering and murdering excursions, the account goes on as follows (Numbers xxxi. 13): 'And Moses, and Eleazar the priest, and all the princes of the congregation, went forth to meet them without the camp; and Moses was wroth with the officers of the host, with the captains over thousands, and captains over hundreds, which came from the battle; and Moses said unto them, 'Have ye saved all the women alive?' behold, these caused the children of Israel, through the counsel of Balaam, to commit trespass against the Lord in the matter of Peor, and there was a plague among the congregation of the Lord. Now therefore, 'kill every male among the little ones, and kill every woman that hath known a man by lying with him; but all the women- children that have not known a man by lying with him, keep alive for Yourse
Venus Williams|Most women file for bankruptcy in the aftermath of a serious medical problem, a job loss, or a family break up. It is hard to protect against those.
Michael Buble|I think the best thing for you to do is just live your life. Live a life that's worth living, one where you do what you want to do, pursue your passions. That way, if you meet someone, they'll be joining a life that's already really good.
Richelle E. Goodrich, Dandelions: The Disappearance of Annabelle Fancher|I made a sorry face in response to such strong insistence, but I couldn’t believe him. Fantasies were exactly that..…..fantasies. Whimsy. Wishes. Mere castles in the sky without foundation or substance. Dreams didn’t come true. To believe so would be to believe falsely, to surrender to madness, to give in to an unreliable hope that would crush me once again as it always, always did!
William Golding, Lord of the Flies|Ralph chose the firm strip as a path because he needed to think, and only here could he allow his feet to move without having to watch them. Suddenly, pacing by the water, he was overcome with astonishment. He found himself understanding the wearisomeness of this life, where every path was an improvisation and a considerable part of one's waking life was spent watching one's feet.
Emily Dickinson|I died for beauty but was scarceAdjusted in the tomb,When one who died for truth was lainIn an adjoining room.He questioned softly why I failed?"For beauty," I replied."And I for truth, the two are one;We brethren are," he said.And so, as kinsmen met a night,We talked between the rooms,Until the moss had reached our lips,And covered up our names.
Toni Morrison, Beloved|Jump, if you want to, ‘cause I’ll catch you, girl. I’ll catch you “fore you fall. Go as far inside as you need to, I’ll hold your ankles. Make sure you get back out. I’m not saying this because I need a place to stay. That’s the last thing I need. I told you, I’m a walking man, but I been heading in this direction for seven years. Walking all around this place. Upstate, downstate, east, west; I been in territory ain’t got no name, never staying nowhere long. But when I got here and sat out there on the porch, waiting for you, well, I knew it wasn’t the place I was heading toward; it was you. We can make a life, girl. A life.
Al Franken|The critical importance of honest journalism and a free flowing, respectful national conversation needs to be had in our country. But it is being buried as collateral damage in a war whose battles include political correctness and ideological orthodoxy.
Ikechukwu Izuakor|... I was feeling so depressed I didn't even think. That's the whole trouble. When you're feeling very depressed, you can't even think
Stacy Schiff, Cleopatra: A Life|As Dio observed later, democracy sounded very well and good, “but its results are seen not to agree at all with its title. Monarchy, on the contrary, has an unpleasant sound, but is a most practical form of government to live under. For it is easier to find a single excellent man than many of them.
Daniel Keys Moran|I had a handle on satisfaction, and I loved my career, but I didn't really know what happiness was. So I started on this quest to have a happy life.
Akiroq Brost|I believe we are the ones who hurt ourselves the most, by how we receive, by how we perceive.
Ross Macdonald, The Chill|...we can best understand the furies of war and politics by remembering that almost the whole of each party believes absolutely in its picture of the opposition, that it takes as fact, not what is, but what it supposes to be the fact.
Victoria  James, Falling for the P.I.|Bryce Colton is telling everyone you hooked up after the bonfire Friday night.” “What?” Everyone in the parking lot turned and stared. Okay, maybe I said that a little loud. I hooked my arm through Jane’s and steered her toward the sidewalk. “I went to the bonfire with you. Do you remember seeing me naked with Bryce Colton?”She pouted and kicked a rock off the sidewalk. “I thought maybe you went back after you dropped me off.”“Why do you sound disappointed?”“It would be nice if one of us had a sex life." I laughed so hard I snorted. That’s one of the reasons I’m best friends with Jane. I never know what she’s going to say.
Henry A. Wallace|If we define an American fascist as one who in case of conflict puts money and power ahead of human beings, then there are undoubtedly several million fascists in the United States.
Veronika Jensen|And I loved you I loved you so There were times I forgot to breathe Waiting for the phone call For the sound of your voice Touching me places You couldn't touch For the miles between us. And I loved you Like a forest loves the spring Waiting for the smallest signs Of you coming back And breathing life back into me Warming me up On my brightest fields And my darkest valleys But you stayed away. And I loved you But fate seemed to have Different plans for us. I guess now I see that It was a one-sided love Peeking through The large glasses of a binocular I am here, so very close But you are far-far-away...
Cynthia Carr, Fire in the Belly: The Life and Times of David Wojnarowicz|I ended up going into this big art historical argument.' [Barry Blinderman] invoked, for example, Matthias Grünewald’s Isenheim altarpiece, painted in the sixteenth century for a monastery where monks cared for people with skin diseases—so the suffering Christ in that painting shows symptoms of skin disease. 'It’s because he’s the man of sorrows,' Blinderman argued. 'He takes on the suffering of the world. So if Christ were to appear physically today, one of the sicknesses he would have to take on would be drug addiction.
David Gilmour, Sparrow Nights|So you're here by yourself?"“Yes."“Seems like an odd place to come by yourself."“I needed to get away."“Woman trouble? That's another of my father's expressions."“No, actually. I poisoned my neighbor's dogs."After a moment she said, “How drunk are you?"“Quite."“Is that true?"“What?"“That you poisoned your neighbor’s dogs."“I’m afraid it is."“I have dogs."“Well, keep them away from me.
Alexei Maxim Russell, Trueman Bradley - The Next Great Detective|In order that the concept of substance could originate--which is indispensable for logic although in the strictest sense nothing real corresponds to it--it was likewise necessary that for a long time one did not see or perceive the changes in things. The beings that did not see so precisely had an advantage over those who saw everything "in flux." At bottom, every high degree of caution in making inferences and every skeptical tendency constitute a great danger for life. No living beings would have survived if the opposite tendency--to affirm rather than suspend judgment, to err and make up things rather than wait, to assent rather than negate, to pass judgment rather than be just-- had not been bred to the point where it became extraordinarily strong.
Saint Bernard|Without strength and courage it's really hard to perform at the highest levels of international figure skating, because you're alone on the ice and you only have seven minutes over two nights to prove yourself.
Miguel Ruiz, The Mastery of Love: A Practical Guide to the Art of Relationship --Toltec Wisdom Book|when the need is in the mind, you cannot satisfy the need
Leon Trotsky|The Canadian government continues to say they will not help us if we go to war with Iraq. However, the prime minister of Canada said he'd like to help, but he's pretty sure that last time he checked, Canada had no army.
Kim Harrison, A Fistful of Charms|Jenks enthusiastically leaned against the counter and opened the box. Bypassing the plastic knife, he broke off about a third of it and took a huge bite. Ivy watched, appalled, and I shrugged. His mouth moving as he hummed, Jenks finished unpacking the sacks. I was half dead, Ivy was whoring herself to keep me safe, but Jenks was okay as long as he had chocolate.
Lailah Gifty Akita, Think Great: Be Great!|Sacred life;to sing,to praise, to worship, to pray, to study the Bible,to be grateful,to read,to write and to be kind to others.
Michael Bassey Johnson|Nobody does nothing. Everybody does something, sometimes nothing is something in the idle man's world.
Sri Chinmoy, The Wings of Joy: Finding Your Path to Inner Peace|Beyond speech and mind,Into the river of ever-effulgent LightMy heart dives.Today thousands of doors, closed for millennia,Are opened wide.
Adlai E. Stevenson|I'm a big fan of Daniel Day-Lewis. He's a marvelous actor. He stands alone, I think.
Gloria Burgess, Dare to Wear Your Soul on the Outside: Live Your Legacy Now|Life is so much better when your passion and calling line up. You understand the gift of your spiritual inheritance, assume responsibility for right and just choices, and you pour your signature presence into serving others.
Loretta Chase, Mr. Impossible|Shall we proceed, and ought I do so with my knife drawn?”“You’d better keep it where it is for the moment,” he said. “Otherwise you might stab me to death accidentally.” .“If I stab you to death,” she said, “it will not be accidental.
Paul Auster, Invisible|You're too good for this world, and because of that the world will eventually crush you.
Malcolm X|If God dropped acid, would he see people?
Claire Douglas, The Sisters|He's the anchor to my boat and I worry that I will float out to sea, directionless, without him.
Hubert Martin|She was the sort of girl who flooded my five senses. Her voice was melody to my ears, her taste gave birth to an eternal thirst, her scent sprouted goosebumps along the length of my body, her touch riveted with electricity that would've been static with any other... all these things considered, it was impossible for me not to stare. I began to see her everywhere, in everything.
Eileen Granfors|Today I will find something beautiful.Delicate pink blossoms on a cherry tree.The dove resting near the lemon buds.Sunbeams smiling from sky to earth.Smiling on me."Creating" in BREATHE IN
Anonymous|What I'am learning is the world laughs through its ass every day, then just lies double-time when shit goes down. It's like we're on a Pritikin diet of fucken lies. I mean - what kind of fucken life is this?
Sidney Howard|Questions of absolute good and evil are much better not opened to public debate these days, when so few people are sure of their absolutes
John Passarella|Doyle: "What is it now, then?"Cordelia: "Isn't java supposed to be a coffee?"Doyle: "Ready to abandon the the Web project?"Cordelia: "No way. We have a chance here to make contact with the millions of people out there who are glued to their computers."Doyle: "All those millions, shunning human contact. I'll never understand it. Call me old-fashioned, if you like, but I want to interface with a face, not a hunk of plastic and glass."Cordelia: "Climb out of the Dark Ages, Munchkin man."Doyle: "It's leprechaun, and either way, I don't appreciate the insult.
Tony Curl|I’m a liar, but an honest one. People reproach me for not always telling the same story in the same way. But this happens because I’ve invented the whole tale from the start and it seems boring to me and unkind to other people to repeat myself.
