Akash B Chandran|Use time and space; grow slowly into your dreams, infinity will fill you with peace.
William Shakespeare|whats here a cup closed in my true loves hand poisin i see hath been his timeless end. oh churl drunk all and left no friendly drop to help me after. i will kiss thy lips some poisin doth hang on them, to help me die with a restorative. thy lips are warm.yea noise then ill be brief oh happy dagger this is thy sheath. there rust and let me die.
Chuck Palahniuk, Fight Club|It's not love or anything, but I think I like you, too.
Charbel Tadros|We need to teach our kids to be tough: the system may be synthesized to protect them from bullies, but who will protect them against a system gone wrong?
David Mitchell, Cloud Atlas|Uninhibited, they wallowed with zest in the filth and mire of their political conceptions and needs, among the very leaders of their society, but nevertheless the very dregs of human civilisation and moral standards. A historian who finds excuses for such conduct by references to the supposed spirit of the times, or by omission, or by silence, shows thereby that his account of events is not to be trusted.
Sara Ahmed, The Promise of Happiness|Let's take the figure of the feminist killjoy seriously. One feminist project could be to give the killjoy back her voice. Whilst hearing feminists as killjoys might be a form of dismissal, there is an agency that this dismissal rather ironically reveals. We can respond to the accusation with a "yes.
Yann Martel, Life of Pi|All other swindlers upon earth are nothing to the self-swindlers, and with such pretences did I cheat myself.
Nikita Gill, Your Body is an Ocean: Love and Other Experiments|I stand out not because I am six feet tall,But because I feel six feet tall.
Jack Gilbert, Collected Poems|It is convenient for the old men to blame Eve. To insist we are damned because a country girl talked to the snake one afternoon long ago. Children must starve in Somalia for that, and old women be abandoned in our greatest cities. It’s why we will finally be thrown into the lakes of molten lead. Because she was confused by happiness that first time anyone said she was beautiful. Nevertheless, she must be the issue, so people won’t notice that rocks and galaxies, mathematics and rust are also created in His image.
Gautama Buddha|The Buddha’s principal message that day was that holding on to anything blocks wisdom. Any conclusion that we draw must be let go. The only way to fully understand the bodhichitta teachings, the only way to practice them fully, is to abide in the unconditional openness of the prajna, patiently cutting through all our tendencies to hang on.
Kristina Haynes|She dared to cry? On this day of all days? I was the one who would be married at sunset, and I hadn't let myself cry in five years. There was ice in my lungs and in my heart. I was floating. I was swept away, and out of the cold I spoke to her in a voice as soft as snow, the gentle and obedient voice I had used to consent to every order that Father and Aunt Telomache ever gave me, every order that they would never give Astraia because they actually loved her."You know, that Rhyme is a lie that Aunt Telomache only told you because you weren't strong enough to bear the truth."I had thought the words so often, they felt like nothing in my mouth, like no more than a breath of air, and as easily as breathing I went on."The truth is, Mother died because of you, and now I have to die for your sake, too. And neither one of us will ever forgive you."Then I shoved her aside and strode out of the room.
Jane Green, Straight Talking|She dumped me for the worst reason of all. For absolutely no reason at all...I mean, if she fell in love with someone else, or I did something wrong, or I let her down in some unforgivable way...That, I'd understand, right? But instead, she said...it wasn't anything. Not a single thing. It was just me. I was nice. I was kind. We just...she didn't see the connection anymore. I think she thought I was boring. And the cruelest part is, when someone says something mean about you, you know when they're right.
Mokokoma Mokhonoana|Absolute freedom is an illusion. For while an employed man might be free from starvation, he is a slave to his employer's financial aspirations, and, working-hours.
Dan Harris, 10% Happier: How I Tamed the Voice in My Head, Reduced Stress Without Losing My Edge, and Found Self-Help That Actually Works|If everything in this world was in constant decay, why expend so much energy gnashing my teeth over work?
James Wan|People saw the Depression as a necessary thing - a chance to squeeze out the excesses, get back to Puritan morality. That just made things worse.
C. JoyBell C.|There are powers far beyond us, plans far beyond what we could have ever thought of, visions far more vast than what we can ever see on our own with our own eyes, there are horizons long gone beyond our own horizons. This is courage- to throw away what is our own that is limited and to thrust ourselves into the hands of these higher powers- God and Destiny.To do this is to abide in the realm of the eternal, to walk in the path of the everlasting to follow in the footprints of God and demi-gods. The hardest part for man is the letting go. For some reason, he thinks himself big enough to know and to see what's good for him. But in the letting go........is found freedom. In the letting go........ is found the flight!
Bob Pastorella, Mojo Rising|Every time you used, it was a risk searching for a high just like the first time, a high you would never find again.
Susan C. Young|As a pearl is formed and its layers grow, a rich iridescence begins to glow. The oyster has taken what was at first an irritation and intrusion and uses it to enrich its value. How can you coat or frame the changes in your life to harvest beauty, brilliance, and wisdom?
Jim Valvano|The difficulty of IVF or of any fertility issues is the hope and the shattered hope, the dream that it might happen this time and then it doesn't happen.
Arthur Koestler, The Ghost in the Machine|As a scientist, I can not help feeling that all religions are on a tottering foundation. None is perfect or inspired.The idea that a good God would send people to a burning hell is utterly damnable to me. I don't want to have anything to do with such a God.
George R.R. Martin, A Dance with Dragons|Dreams can lie, your Grace.
Chris Matakas, My Mastery: Learning to Live through Jiu Jitsu|I use my understanding of jiu jitsu as a road map to learn other activities. I look for the similarities between the two, and use jiu jitsu as an allegory for whatever my new practice may be. I truly believe once you have learned one thing, you have learned all things because you have learned how to learn.
Parker J. Palmer|You seem to look upon depression as the hand of an enemy trying to crush you…Do you think you could see it instead as the hand of a friend, pressing you down to the ground on which it is safe to stand?
Theodore Sturgeon, Venus Plus X|The patrists poison themselves. The matrists tend to decay, which is merely another kind of poison.
Allan Savory|Go beyond science, into the region of metaphysics. Real religion is beyond argument. It can only be lived both inwardly and outwardly.
Terry Pratchett, Lords and Ladies|Nanny Ogg was an attractive lady, which is not the same as being beautiful. She fascinated Casanunda. She was an incredibly comfortable person to be around, partly because she had a mind so broad it could accommodate three football fields and a bowling alley.
|Whatever thought or belief that cannot produce happiness or growth in your life, doesn't belong in your mind.
Elisabeth Elliot|George Macdonald said, 'If you knew what God knows about death you would clap your listless hands', but instead I find old people in North America just buying this whole youth obsession. I think growing older is a wonderful privilege. I want to learn to glorify God in every stage of my life.
Hal Ashby|In this world, you can choose to be positive, or you can choose to be negative. You can choose to see things through a set of eyes that sees good, or you can choose to see things in life that aren't so good.
Frank Lentricchia, The Sadness of Antonioni|The eye solicited alone makes the ear impatient, the ear solicited alone makes the eye impatient. Use these impatiences. Power of the cinematographer who appeals to the two senses in a governable way.Against the tactics of speed, of noise, set tactics of slowness, of silence.
Maya Angelou|I can tell you character traits I admire and work to develop in myself - perseverance, self-discipline, courage to stand up for what is right even when it is against one's friends or one's self.
P.C. Cast|Zo, I'm not a damn pussy!'Erik, looking very tall and full-grown, kick-your-butt vampyre-like, snorted sarcastically and then said, 'No, you're a damn human. Wait, that does make you a pussy!
Shannon L. Alder|They will hate you if you are beautiful. They will hate you if you are successful. They will hate you if you are right. They will hate you if you are popular. They will hate you when you get attention. They will hate you when people in their life like you. They will hate you if you worship a different version of their God. They will hate you if you are spiritual. They will hate you if you have courage. They will hate you if you have an opinion. They will hate you when people support you. They will hate you when they see you happy. Heck, they will hate you while they post prayers and religious quotes on Pinterest and Facebook. They just hate. However, remember this: They hate you because you represent something they feel they don’t have. It really isn’t about you. It is about the hatred they have for themselves. So smile today because there is something you are doing right that has a lot of people thinking about you.
Will Schwalbe, The End of Your Life Book Club|The idea is that if you practice the Naikan part of Constructive Living, life becomes a series of small miracles, and you may start to notice everything that goes right in a typical life and not the few things that go wrong.
Sebastian Cole, Sand Dollar: A Story of Undying Love|And I felt, in the silence that followed, everything that had happened on the trip to bring me to this place.
Paul Roberts, The End of Food|...there's never a garden in all the parish but what there's endless waste in it for want o' somebody as could use everything up. It's what I think to myself sometimes, as there need nobody run short o' victuals if the land was made the most on, and there was never a morsel but what could find it's way to a mouth.
Kcat Yarza, KCAT CAN: I have a pen that writes|Children who are ill, in their innocence and plight, teach adults many lessons, and one of those lessons is that ‘Life must go on. Face it. Live it. Enjoy it. Despite all the odds.’ That is bravery, in the eyes of a sick child.
Maggie Georgiana Young, Just Another Number|My life views on sex, men, dating, and self-worth were sculpted with the unfiltered ramblings of a drunken misogynist.
Bruce Lee, Tao of Jeet Kune Do|Attempts to wake before our time are often punished, especially by those who love us most. Because they, bless them, are asleep. They think anyone who wakes up, or who, still asleep, realizes that what is taken to be real is a ‘dream’ is going crazy.
Robert Karjel, The Swede|He pauses then, studying me. “How would you have done it?”His question surprises me. “You mean how would I have killed you?”“Yes. Do you have a favorite method for such things?”Since he knows I am an assassin, there is no need to be coy. “I prefer a garrote. I like the intimacy it allows me when I whisper reminders of vengeance in their ears as they die. But in your case, I had sharpened my favorite knife especially for the occasion.”His brows quirk up. “Why no garrote for me?”I look pointedly at his thick neck, bulging with muscle and sinew. “I do not have one big enough,” I mutter.
Denis Johnson, Jesus' Son|My friend wants to get moving and so do I,' Eddie said. 'We've got miles to go yet.'I know that. It's on your face, son. Like a scar.'Eddie was fascinated by the idea of duty and ka as something that left a mark, something that might look like decoration to one eye and disfigurement to another. Outside, thunder cracked and lightning flashed.
Robert McKee, Story: Substance, Structure, Style, and the Principles of Screenwriting|No civilization, including Plato's, has ever been destroyed because its citizens learned too much.
Michael Chabon, The Amazing Adventures of Kavalier & Clay|Every universe, our own included, begins in conversation. Every golem in the history of the world, from Rabbi Hanina's delectable goat to the river-clay Frankenstein of Rabbi Judah Loew ben Bezalel, was summoned into existence through language, through murmuring, recital, and kabbalistic chitchat -- was, literally, talked into life.
RVM|If you celebrate Independence Day on just one day of the year, it only goes on to show that you are not truly Free…. Learn to celebrate your Freedom every day!
Hypatia|I see that the path of progress has never taken a straight line, but has always been a zigzag course amid the conflicting forces of right and wrong, truth and error, justice and injustice, cruelty and mercy.
Kody Keplinger, The DUFF: Designated Ugly Fat Friend|I stare at him, trying to comprehend what he’s done. He saved Magiano from falling overboard. He saved me. He is taking this mission seriously, however much he loathes us.“Maybe next time,” he says to me with that smile, “you won’t be so lucky.
Penelope Cruz|I am following a particular diet, and it requires me to not just eat right but also at the right time. So, I carry food from home.
Lani Woodland, Intrinsical|That was . . .” I trailed off trying to find the proper adjective.“Long overdue?”“Long overdue? You’re the one who got skittish when I mentioned how I felt and backed away when we almost kissed.”“You call me on all my crap, don’t you?” He laughed throwing his head back. “That’s one of the things I love about you,” he said. His fingersskimmed up my shoulders until they cradled my neck and my whole body tingling.
Christopher    Russell, Mockstars|And For You Zero, A Life Sized Vudu Doll"-Kaname Kuran"I DONT WANT IT!"-Zero Kiryu"HAHAHAHAHAHAHAHA"-Juri Elizabeth Marin
Dean F. Wilson, Worldwaker|Fear is leaden. Courage is golden. Let go of the weight of the world, and you will fly.
Richard Baxter, The Saints' Everlasting Rest|When shall I be past these soul-tormenting fears, and cares, and griefs, and passions? When shall I be out of this frail, this corruptible, ruinous body; this soul-contradicting, insnaring, deceiving flesh? When shall I be out of this vain and vexatious world, whose pleasures are mere deluding dreams and shadowsl whose miseries are real, numerous, and uncessant? How long shall I see the church of Christ lie trodden under the feet of persecutors ; or else, as a ship in the hands of foolish guides, though the supreme Maker doth moderate all for the best? (642-3)
Elizabeth Kostova, The Historian|If there is any good in life, in history, in my own past, I invoke it now. I invoke it with all the passion with which I have lived.
Vincent Bugliosi|The beauty of age is we grow, we learn. We have more wisdom. And as much as the youth-glorifying Hollywood would like us to believe, it's nothing. They're wrong.
Charles de Lint|So she goes to see the Old Man of the Mountains–looks just like you, Bear. Same face, same hair. A big old bear, sitting up there on the top of the mountain, looking out at everything below. Doesn’t smile so much, but understands how everybody’s got a secret dark place sits way deep down there inside, hidden but wanting to get out. Understands how you can be happy but not happy at the same time. Understands that sometimes you feel you got to go all the way out to get back in, but if you do, you can’t. There’s no way back in.
Erica Alex|Cultivate balance. After all, there's no such thing as a shadow without the involvement of light.
Stanley Victor Paskavich|In my worst moments, all I had to do was recall the love that I felt emanating from those heavenly lights and I could press on.
Stephen Northcutt, Network Intrusion Detection: An Analysts' Handbook|Security is an illusion, but it is a pleasant one.
Harriet Beecher Stowe, Uncle Tom's Cabin|In the midst of life we are in death,'" said Miss Ophelia.
Matthew Quick, Forgive Me, Leonard Peacock|We can be safe and live with other defined truths exemplified by a capital “T” or we can change and with our limited time experience truth with a small “t,” seeking our own understanding, which can change with new awareness.
Jewel|Potential home buyers have a two-step decision process. First, they determine whether they can afford to make a purchase - does their income safely cover their mortgage payment? Then they determine whether owning is a better financial choice than renting - are the costs of owning a home lower than the cost of renting it?
Julian Barnes, Flaubert's Parrot|How do we seize the past? Can we ever do so? When I was a medical student some pranksters at the end-of-the-term dance released into the hall a piglet which had been smeared with grease. It squirmed between legs, evaded capture, squealed a lot. People fell over trying to grasp it, and were made to look ridiculous in the process. The past often seems to behave like that piglet.
Mokokoma Mokhonoana|Immediately after a divorce or a breakup, your mind whispers that there are plenty more fish in the sea, while your heart shouts that there is only one whoever-you-just-divorced-or-broke-up-with.
Barry López, About This Life|Once I was asked be a seatmate on a trans-Pacific flight....what instruction he should give his fifteen-year-old daughters, who wanted to be a writer. [I said], "Tell your daughter three things." Tell her to read...Tell her to read whatever interests her, and protect her if someone declares what she's reading to be trash. No one can fathom what happens between a human being and written language. She may be paying attention to things in the words beyond anyone else's comprehension, things that feed her curiosity, her singular heart and mind. ...Second, I said, tell your daughter that she can learn a great deal about writing by reading and by studying books about grammar and the organization of ideas, but that if she wishes to write well she will have to become someone. She will have to discover her beliefs, and then speak to us from within those beliefs. If her prose doesn't come out of her belief, whatever that proves to be, she will only be passing along information, of which we are in no great need. So help her discover what she means. Finally, I said, tell your daughter to get out of town, and help her do that. I don't necessarily mean to travel to Kazakhstan, or wherever, but to learn another language, to live with people other than her own, to separate herself from the familiar. Then, when she returns, she will be better able to understand why she loves the familiar, and will give us a fresh sense of how fortunate we are to share these things. Read. Find out what you truly believe. Get away from the familiar. Every writer, I told him, will offer you thoughts about writing that are different, but these are three I trust. -- from "A Voice
Rodman Philbrick, Freak the Mighty|While there may not be a book in every one of us, there is so often a damned good short story.
Sandra Leanne Bosacki|She drifted down into the water, letting it engulf her body until even her face was underwater. The silence was delicious, just the sound of her own heartbeat in her ears.
Ambrose Bierce, The Unabridged Devil's Dictionary|Quotation, n: The act of repeating erroneously the words of another.
Mensah Oteh|Be passionate about creating a life that is exciting and fun, one that will help you reach your ultimate potential.
Sage Steadman, Ann, Not Annie|A memory of her father flitted through her consciousness. The time he played a slow, melodic tune on the saxophone in the misty rain of the yard on a summer’s night, surrounded by the patio’s twinkling lights. She remembered peering out the window and feeling like she was catching a glimpse of another world. One that was timeless and majestic. She touched his saxophone after that as if she were touching the hand of God, wishing to hold onto that feeling forever.
Jamie McGuire|Angel blinked hard and bit her lip, trying to stop the quivering of her chin. “I feel like I’ve waited my whole life for him, waited to get to this point where I could appreciate and value him most.
Jason W. Blair|He’d have denied it to his dying breath but Derwent wasn’t as tough as he pretended to be. For the very small number of people he cared about, Derwent would give his all. It made him vulnerable, and every now and then that vulnerability showed.
Milan Kundera|I don’t see Number Four though—oh.” Number Four, wearing an unflattering chartreuse jacket, was sitting alone on the chewed-up grass, despondently licking his testicles. “Hmm, I don’t know, Bel . .
Leslie Feinberg|Here all guilt ceases, for it cannot cling to such flowers as these.
David Baldacci, The Finisher|If you've brains it's better than beauty - brains last, beauty doesn't.
Ayibu Makolo, The Farewell|The problem was not an issue of availability because there were African girls everywhere. Christopher met them in church, in bars and in the cafeteria on the ground floor of the Sir Duncan Rice library.
Dan Fagin, Toms River: A Story of Science and Salvation|In the end, what I've learned is that when it comes to this type of science, you really can't be arrogant and assume you know the answers. Arrogance by these companies and by the government is what got us into all this in the first place.
Charles Bukowski, The Last Night of the Earth Poems|well, death says, as he walks by, I'm going to get you anyhow no matter what you've been: writer, cab-driver, pimp, butcher, sky-diver, I'm going to get you
Georg Wilhelm Friedrich Hegel|History is a set of repeating circles, like the tide. The wind does blow through the ruins of tomorrow. But it is more a question of two steps forward, one step back. Humans and dragons make the same mistakes, again and again, but things do get better over time
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|You cannot save people from themselves. All you can do is stand firmly in your hopes for them, with compassion.
Natasha Ahmed|I don’t have cookie-cutter relationships, Rumi. Women aren’t iPhone apps that I download and discard!
Kabir Bedi|I cook a lot of Italian food. Bucatini Pomodoro is my best: it's a fat spaghetti with tomato, olive oil, and reminds me of getting married in Italy.
Noam Chomsky|I loved the domesticity of my life as a struggling actor. When I wasn't going to auditions, I could do things like cook dishes from scratch and take them to parties or be really thoughtful about birthdays and anniversaries.
Ross Cheit, The Witch-Hunt Narrative: Politics, Psychology, and the Sexual Abuse of Children|While my sister and I were reminded we did not cause this pain, it was knowing that because we broke our silence about what had been done to us, our parents were hurting. That knowledge was hard on us.
Chris Carter, The Crucifix Killer|Fuck you! Someone has tortured and killed one of your girls and you couldn’t give a damn? I thought you were supposed to protect them, to be their guardian. Isn’t that what pimps do?’ Garcia’s face flared red.
Kylie Jenner|You can't change who you are, but you can change what you have in your head, you can refresh what you're thinking about, you can put some fresh air in your brain.
Pope Francis|I'm a person that's grounded in faith and believe that my core values, motivation, inspiration, draw from a conception of the world in that way.
M*A*S*H Episode Guide Team|One world leader warned another "the error of relying on the capability you have rather than developing the capability you need.
Amy Poehler|You will never climb Career Mountain and get to the top and shout, ‘I made it!’ You will rarely feel done or complete or even successful. Most people I know struggle with that complicated soup of feeling slighted on one hand and like a total fraud on the other. Our ego is a monster that loves to sit at the head of the table, and I have learned that my ego is just as rude and loud and hungry as everyone else’s. It doesn’t matter how much you get; you are left wanting more. Success is filled with MSG.
Bryant McGill, Voice of Reason|In so many ways we are still in the dark ages, but there is light appearing over the horizon of choice and consciousness.
Ernst Jünger, Eumeswil|It is no coincidence that precisely when things started going downhill with the gods, politics gained its bliss-making character. There would be no reason for objecting to this, since the gods, too were not exactly fair. But at least people saw temples instead of termite architecture. Bliss is drawing closer; it is no longer in the afterlife, it will come, though not momentarily, sooner or later in the here and now - in time.The anarch thinks more primitively; he refuses to give up any of his happiness. "Make thyself happy" is his basic law. It his response to the "Know thyself" at the temple of Apollo in Delphi. These two maxims complement each other; we must know our happiness and our measure.
Shah Asad Rizvi|When a dancer performs, melody transforms into a carriage, expressions turn into fuel and spirit experiences a journey to a world where passion attains fulfillment.
Guy Kawasaki, APE: Author, Publisher, Entrepreneur. How to Publish a Book|Isn't the writing of good prose an emotional excitement?""Yes, of course it is. At least, when you get the thing dead right and know it's dead right, there's no excitement like it. It's marvelous. It makes you feel like God on the Seventh Day – for a bit, anyhow.
Karen Salmansohn|The Germany I was enthused with was more old fashioned and kind of romantic. I just got there, and the next thing you know, I had this huge gilded album. It was kind of an amazing experience because I didn't intend it to be that way.
Jerry Heller|As a graduate student at Oxford in 1963, I began writing about books in revolutionary France, helping to found the discipline of book history. I was in my academic corner writing about Enlightenment ideals when the Internet exploded the world of academic communication in the 1990s.
Gift Gugu Mona|It's amazing to be a woman because even without children of your own, you can still be an excellent mother.
Susan  Scott, Dragons Will Fall|The voices belonged to dragons.Five of them lay on or sprawled over or curled around the various rocks and columns that filled the huge cave where Cimorene stood. Each of the males (there were three) had two short, stubby, sharp-looking horns on either side of their heads; the female dragon had three, one on each side and one in the center of her forehead. The last dragon was apparently still too young to have made up its mind which sex it wanted to be; it didn't have any horns at all.
Janell Rhiannon, Rise of Princes|Do all in Troy despise me?''That is a strong word, my sweet.'The young Queen of Sparta pulled away from her lover's arms. 'It is true then. I have exchanged one prison for another.'Paris gently brushed her cheek with his hand. 'If that is true, we are the most fortunate of prisoners. For we have each other and our love.
Billy Graham, Billy Graham in Quotes|Here is the judgment toward which every person outside [of] Christ is headed. The date has already been set by God. All men of all races and nationalities, both past and present, will be there. You may make and break appointments in this life—but this is one appointment you will keep.
Julieanne O'Connor, Spelling It Out for Your Man|To love without ownership, to love with total trust and faith in that very love, to love with the same faith you have that your heart will keep beating moments from now, that is the ultimate love.
J.K. Rowling, Harry Potter and the Goblet of Fire|Hermione slid out of her bunk and moved like a sleepwalker towards Ron, her eyes upon his pale face. She stopped right in front of him, her lips slightly parted, her eyes wide. Ron gave a weak, hopeful smile and half-raised his arms.Hermione launched herself forwards and started punching every inch of him that she could reach.'Ouch — ow — gerroff! What the — ? Hermione — OW!'“You — complete — arse — Ronald — Weasley!”She punctuated every word with a blow: Ron backed away, shielding his head as Hermione adv
Mike Wells, Lust, Money & Murder, Book 9 - Escape from Sudan|Just as it is hard for us, in our garden, to stop weeding, because there is always another weed there in front of us, it may be hard for her to stop grazing, because there are always a few more shoots of fresh grass just ahead of her.
Carolyn Byers Ruch|Protecting our kids from sexual abuse is not accomplished in a single conversation, but in ongoing conversations grounded in honesty and trust.
Valerie Martin, Property|Everyone else felt the need to assure me that Mother's death was part of God's plan. Exactly, I wanted to shout after reading this sentiment half a dozen times--- his plan is to kill us all, and if an innocent child dies in agony and a wicked man breathes his last at an advanced age in his sleep, who are we to call it injustice?
Claire North, The End of the Day|In all sorts of markets—music, film, art, and politics—the future of popularity will be harder to predict as the broadcast power of radio and television democratizes and the channels of exposure grow.... The gatekeepers had their day. Now there are simply too many gates to keep.
Joseph B. Wirthlin|I'm theologically in line with the Roman Catholic Church. I believe in the authority of the church, but I also have tremendous respect for my brothers and sisters in other Christian faiths.
Luffina Lourduraj|You have a color of your own- Dark chocolate,You have a culture your own- Hip pop,You have a revival of your own- Harlem Renaissance,You are the spot on a ladybug that adds its beauty,You are the pupil of an eye,You are the vastness of space,You are the richness of soil,You are the sweetness of dark chocolate,You are the mystery in nature,Blessed Black chocolate, God has made You to rule the Land, that made You a slave.
Apolo Ohno|It's just a job. Grass grows, birds fly, waves pound the sand. I beat people up.
Stephanie Bond, Whole Lotta Trouble|...big, strapping macho guys were like liquid diets--they were great for emergencies, but she wouldn't want to be on one all the time.
Criss Jami, Salomé: In Every Inch In Every Mile|Everyone has their own ways of expression. I believe we all have a lot to say, but finding ways to say it is more than half the battle.
Debasish Mridha|Love, kindness, compassion and forgiveness are divine.
Dalai Lama XIV|The buddha-dharma does not invite us to dabble in abstract notions. Rather, the task it presents us with is to attend to what we actually experience, right in this moment. You don't have to look "over there." You don't have to figure anything out. You don't have to acquire anything. And you don't have to run off to Tibet, or Japan, or anywhere else. You wake up right here. In fact, you can only wake up right here.So you don't have to do the long search, the frantic chase, the painful quest. You're already right where you need to be.
Matshona Dhliwayo|The first professor you meet in life is your mother; the second is hardship, and the last is death.
Blake Lively|I was a pitcher, and my dad played in college. The hardest day of my life was telling him I was going to quit to focus more on golf. But with golf, I felt like the game can't be perfected, and that motivated me.
Alan Moore, V for Vendetta|The real revolution is always concerned with the least glamorous stuff. With raising a reading level from second grade to third. With simplifying history and writing it down (or reciting it) for the old folks. With helping illiterates fill out a food-stamps form - for they must eat, revolution or not.
Jenim Dibie|Every avalanche was once a lonely snowflake, every flood was once an aching raindrop.
The Mexican Horse Thief|If you have one clean hand and one dirty, you do not get two clean hands by rubbing them together.
Kate Northrup, Money, A Love Story: Untangling Your Finances, Creating the Life You Really Want, and Living Your Purpose|Somewhere along the way we've gotten the message that the more we struggle and the more we suffer, the more valuable we will become and the more successful we'll eventually be. And so we overwork ourselves, overschedule ourselves, and become "busier than thou" because we think there's some sort of prize on the other side of the pain we cause ourselves. And you know what? There's no prize. All you get from suffering is more suffering.
Steve Gleason|The military is a very cool world to write about. I went down to Ft. Benning, Ga., for military training, and I learned a lot about soldiers and officers and why they joined up and what their life has been like.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|Increase calls for review, check-up,control, and analysis.
Gerard Manley Hopkins, Poems by Gerard Manley Hopkins|NOT, I’ll not, carrion comfort, Despair, not feast on thee;Not untwist—slack they may be—these last strands of manIn me ór, most weary, cry I can no more. I can;Can something, hope, wish day come, not choose not to be.
Barry Commoner|My parents grew up during the space race, and I think they imagined the future would be us living on moon bases and everyone has rocket shoes.
Aleksandra Ninkovic|The trouble was, love was such a strong emotion. It made everything else unimportant. It grabbed you and imprisoned you in the moment."Deathsworn Arc 4: The Temple of the Mad God
Deb Caletti|My mom didn't let me play video games growing up, so now I do. Gaming gives me a chance to just let go, blow somebody up and fight somebody from another dimension. It's all escapism.
André Gide|The truth is, not one of is innocent. We all have sins to confess.
Nikki Rowe|i wonder if he is seeking me; as i am seeking him. I dont know what he looks like; but i know one thing for sure, the moment i feel his soul, my entire world will change.
Sri Aurobindo, Integral Yoga: Teaching and Method of Practice|As in all infant sciences, the universal habit of the human mind - to take a partial or local truth, generalise it unduly and try to explain a whole field of nature in its narrow terms - runs riot here (in psychoanalysis). Moreover, the exaggeration of the importance of suppressed sexual complexes is a dangerous falsehood.
Jean de la Bruyere|Marriage is a unique cultural relationship that has a long-standing tradition and societal meaning, which should not be redefined by the courts.
Jon Krakauer, Missoula: Rape and the Justice System in a College Town|Male aggressiveness consists in asking a woman to have intercourse and waiting for her to say yes, or a definite no. Skilful tacticians enhance their chances of making out by distributing their attentions among several women at a time (one version of 'playing the field') thus increasing their statistical chances for a favorable answer, depending on circumstances. This is the height of male aggressiveness that is tolerated. Genuine aggressiveness - rape - [men] have forbidden themselves by law.
Deyth Banger|If your yesterday was much better than your today, then today you will most probably walk around in your yesterday!
Innocent Mwatsikesimbe, The Vision|One of the most valuable gifts that a person can give (or receive) is a productive mentality. It is with a productive mentality that people change their lives for the better, in ways profound.
Rob Liano|Each day you are leading by example. Whether you realize it or not or whether it's positive or negative, you are influencing those around you.
Mary Lou Quinlan, The God Box|I’m not for you,” I say desperately. “We are so different. Our lives are a thousand and one worlds apart. It wouldn’t work. And it’s dangerous.”But his face only brightens. “Then you do feel the same.”“We are not the same—and that is the whole point! I am not human, Aladdin. Everything that was once human in me was destroyed, and I was forged into something entirely different. I’m not here to help you—I was never here to help you, or any of my masters.”He shakes his head. “I don’t believe that.”“It doesn’t matter what you believe,” I say bitterly. “It is what it is, and it has nothing to do with what you want.”He walks around me, forcing me to face him. “You helped me get away from Darian in the desert. You got me into the palace when you could have let them find out who I really was. You taught me to dance, for sky’s sake! You’ve had a hundred opportunities to trick me and betray me, but you don’t. You’ve helped me when I didn’t wish for it.”“A chicken doesn’t fly like other birds, but it is still a bird.”“Zahra!” He spreads his hands, the wind ruffling his hair. “You do care. I see it when you think I’m not looking.
Christian Bale|I will never say never, but I will say never to doing the more typical romantic comedies. You know, unless I'm getting audited and I'm on the street and I desperately need some dough and that's the only thing that I'm getting.
G. Willow Wilson, Alif the Unseen|I was standing alone with him when she burst impetuously through the door, tall and wearing a rain-cape on top of a queen's costume, a forgotten crown on her head.She directed some rapid words at him. He began to tremble all over and dropped my hand from under his arm. Vera seized me cruelly by the arm and led me off... She led me through murky, dusty expanses, between strange machinery and constructions, through valleys and mountains and past a precarious wood to her dressing-room. And she still held me cruelly by the arm. There she slammed the door shut, rudely chasing away some handsome women with the amorous eyes of worshipers.I do not recall her words. It was as though she were all aflame. She kissed my hands and I realized then that she had seen only me that evening, that she had performed for only me, that she loved me and that this was all such madness.("Thirty-Three Abominations")
John Irving|For me, learning is a continuous process and an all-inclusive one - reading a book, learning a musical instrument or learning the martial art called taekwondo. Teach myself something new - that's my prayer.
Jayne Higgins, Exactly 23 Days|Taken from the dedication in my debut novel Exactly 23 days. To honour all women on International Women's day. For women everywhere: When you know you are finally mended, spread the word, hold out your hand, share some love from your heart and some laughter from your soul and be there for a new member of the sisterhood who needs your help. Let's all help our sisters worldwide to stand tall and know, they can and they will recover, survive and thrive, to live the life they deserve. To all the sisters who reached out and held my hand in whatever way you could, who cried my tears with me, and laughter my laughter too, I thank every one of you. I survived.
Craig Ferguson|With good parody, you have to be smarter that the people you’re parodying.
Luke Rhinehart, The Book of Est|Moment by moment the Holy Spirit will work with your beliefs, taking you step by step as you unwind your mind from the many false concepts that you believe keep you safe and make you happy. Only the release from these false beliefs can bring you true happiness and lasting peace.
Sahara Sanders|There are oceans of things to discover, to explore, to learn, to invent, to create in this world; especially with its modern possibilities offered. So, I don't understand when people complain they’re bored and have nothing to do.
Barbara Delinsky, Sweet Salt Air|Every night she breaks your heart, and yet every morning you love her more. If that’s not enough, nothing will be!
Pablo Neruda, Then Come Back: The Lost Neruda Poems|you, my friend, could be the smoke’s daughter,you who may not have known you were born of fire and rage,lightning over flaming lava etched your violet mouth,your sex in the scorched oak’s moss like a ring in a nest,your fingers there in the flames, your compact bodyrose from leaves of fire that make me recallthere were bakers in your family tree,you’re still the rainforest’s bread, ash from violent wheat,
