Joel Rosenberg|A man can be short and dumpy and getting bald but if he has fire, women will like him.
Katlyn Charlesworth, While Rome Burned|They say the eyes are the apertures to the soul. If that is so, I feared Locusta's soul was far darker than even Nero's.
Andrew  Taylor, The Four Last Things|The grief of children was unconditional, fueled by the implicit belief that it would last forever; for a child, grief was not grief unless it was eternal.
Veronica Roth, Allegiant|I have been able to be kind and pleasant to him because every time I think of what happened in Erudite headquarters, I immediately push the thought aside. But that can't be forgiveness - if I had forgiven him, I would be able to think of what happened without that hated I can feel in my gut, right?Or maybe forgiveness is just the continual pushing aside of bitter memories, until time dulls the hurt and the anger, and the wrong is forgotten.
Hina Hashmi, Your Life A Practical Guide to Happiness Peace and Fulfilment|In every moment, you make decisions based on your beliefs or inspiration which comes to you directly from the divine/universe.
Janet Fitch, White Oleander|Isn't it funny.I'm enjoying my hatred so much more than i ever enjoyed love. Love is temperamental. Tiring. It makes demands. Love uses you, changes its mind. But hatred, now, that's something you can use. Sculpt. Wield. It's hard, or soft, however you need it. Love humiliates you, but Hatred cradles you.
Elana K. Arnold, What Girls Are Made Of|About the subject of love. You know? People have it all wrong. It isn’t about What one can bring you, or do for you. Love isn’t about being even or keepingscore. It’s not even about respect…even respect; carries with it limitations. It is allabout inner strength. The inner strength to lose all pride and ego…and allow yourself to be completely, totally, and utterly…vulnerable. To allow the rippingapart, the bleeding, the complete shedding of one’s skin…so that you are availableto submit to your partner. Submitting…it’s not a weakness. It is the ultimate in strength. When one submits, they are saying;” I am imperfect, you are imperfect. Your imperfection is beautiful to me and I choose to only love you.” There is no greaterstrength. It is the ultimate in respect, reverence, adoration. There is no greater gift.
EverSkeptic|Two wrongs never add up to a right. But it's okay, I always sucked at maths.
Tom Landry|If it came to a magic genie, I would ask him for two extra wishes. One would be that no one would have to live with the muscular dystrophy disease or any disease. And the second one would be world peace, that we just stop fighting, talk about things, and we could live in harmony once again, like God intended us to do.
William H. Gass, Omensetter's Luck|It was nearing 9 O'clock, and the fist duck was drawing down. Behind the trees, the first star pricked out, low and brilliant. The light breeze of the day had dropped, and the evening was very still. The stream sounded loud. I walked down to the gate and stood leaning on the top bar, enjoying the scent of the roses, and straining to listen for any sound from the lane or the road beyond.
|Some friends would persuade you to buy a lot of expensive materialistic things, but wouldn't dare to give you a single dime if you were to find yourself in a financial crisis. So be very careful my dear friends, and stay clear from people who push you to live beyond your means. They are definitely not in your life to favor your destiny.
Billy Graham, Billy Graham in Quotes|Truly, the world is in need of moral leadership . . .that teaches the difference between right and wrong and teaches us to forgive one another even as we are forgiven by our Father in heaven.
Laura Anderson Kurk, Perfect Glass|My mom told me once that Wyatt loved her the way a boy will love his mother, but I loved her the way an artist loves another. Jo taught me what that meant.
Michelle Hodkin, The Unbecoming of Mara Dyer|I stifled a yawn. "It's too early to be such an asshat, Daniel.
Douglas Adams, Dirk Gently's Holistic Detective Agency|Unfortunately this Electric Monk had developed a fault, and had started to believe all kinds of things, more or less at random. It was even beginning to believe things they'd have difficulty believing in Salt Lake City.
Mary Calhoun|Cleery said, "We'll pass it on, Knobs. There'll still be magic in the world.
Sylvia Plath, The Bell Jar|Neurotic, ha!" I let out a scornful laugh. "If neurotic is wanting two mutually exclusive things at one and the same time, then I'm neurotic as hell. I'll be flying back and forth between one mutually exclusive thing and another for the rest of my days.
Thomas Sowell, Knowledge And Decisions|The people's government, made for the people, made by the people and answerable to the people.January 1830
Henry R. Luce|Mohr was one of the most talented people on the staff of Time, in print as well as in person—the two are often different.
Elizabeth Gilbert|Why they always look so serious in Yoga? You make serious face like this, you scare away good energy. To meditate, only you must smile. Smile with face, smile with mind, and good energy will come to you and clean away dirty energy. Even smile in your liver. Practice tonight at hotel. Not to hurry, not to try too hard. Too serious, you make you sick. You can calling the good energy with a smile.(From Ketut Liyer, the Balinese healer)
Leo Tolstoy|Happiness consists in always aspiring perfection, the pause in any level in perfection is the pause of happiness
Israelmore Ayivor, The Great Hand Book of Quotes|The first key to a purposeful living is to accept the responsibility of your mission. When you agree "yes" to the calling, then you ask God "why?".
Casi McLean|When you let go of past pain, believe in yourself, and follow your dreams—you can find true happiness!
Joe Jonas|I know. I'm lazy. But I made myself a New Years resolution that I would write myself something really special. Which means I have 'til December, right?
Grace|We don't have to always win,Sometimes we need to be deprived by others to improve ourselves.
Girdhar Joshi, Some Mistakes Have No Pardon|As all material creation consists of out-births of things spiritual, the spiritual world being the world of causes, and the natural world that of effects, and as effects are the repositories of their causes, the natural world is the reflection of the spiritual. For this reason, from the beginning of things, the sun has stood out as a pre-eminent symbol of the things of God. Of all inanimate things it bears the closest correspondence to the Supreme Being, for what it is in the natural world the Supreme Being is in the Spiritual. Its central fire is the correspondence of the essence of the Divine Nature--DIVINE LOVE; its heat the correspondence of the heat flowing from Divine Love, which is Divine Goodness and all that that comprises; its light the correspondence of Divine Truth which is the light proceeding from Divine Wisdom; and the union of heat and light in its central essence forever symbolizes the union of the Divine Love and Wisdom resulting from that of the Divine Will and Understanding.God is the SUN from whose heat and light--His Love and Wisdom--proceed all that is spiritual, and through the spiritual, by the medium of the natural sun, all that is natural. The sun is supreme in all natural things, and its operations run through all in its own world, but the Divine SUN from which it derives its origin is supreme in all and operates through all, above and below. And as the natural sun is everywhere present in its own realm, and all things derive their life and grow in more or less perfect measure according to their forms and distances, so is the Supreme One omnipresent, filling both the spiritual and the natural world.
William L. Lavell|Oh, for the love of God. There is no agent more agent than you. I swear you have pin-striped ties encrypted into your DNA. When you die, the coffin is going to read Property of the FBI.
Alice Oswald|I'm an exile. My father had the courage to leave with his wife, his mother and three children under twelve. It took more courage to leave, to sacrifice everything for freedom, than to stay.
Robin Hobb, Fool's Quest|I found myself speaking softly as if I were telling an old tale to a young child. And giving it a happy ending, when all know that tales never end, and the happy ending is but a moment to catch one’s breath before the next disaster. But I didn’t want to think about that. I didn’t want to wonder what would happen next.
Fyodor Dostoevsky|It's true hard work never killed anybody, but I figure, why take the chance?
Fiona Archer, Chloe's Double Draw|I may have one need that you could fulfill if you'd like..." he said.
Geneen Roth, Women, Food and God: An Unexpected Path to Almost Everything|Staying requires being curious about who you actually are when you don't take yourself to be a collection of memories.When you don't infer your existence form replaying what happened to you, when you don't take yourself to be the girl your mother/father/brother/teacher/lover didn't see or adore. When you sense yourself directly, immediately, right now, without preconception, who are you?
Anna Quindlen|Yes, as an oppressed people, American Indians have this epic burden, but first and foremost, they're human: sometimes a mess, sometimes funny or sad, at times very wise, and other times not wise at all - a lot like me.
Paula Stokes, Girl Against the Universe|Time doesn’t heal anything. It’s like drinking. The best it can do is help you forget, if you’re lucky.
Tom Petty|Growing up in a very big family, working together and playing together, that is something that has been part of my life since ever I was born. It has advantages and disadvantages. It's like an older style of living where everyone works in the family business.
genevieve cortese|Your mother is going to be fine," the nurse says. I breathe more easily but the word settles into my stomach. Fine. Was she fine before?
Stephen Chbosky, The Perks of Being a Wallflower|On Friday night, I was reading my new book, but my brain got tired, so I decided to watch some television instead.
Brooke Bida|The passion of Jesus is lonely only as all our deaths are lonely. He is with us in the loneliness of death, too. And so, he and we are not alone even there. The same blow that strikes him dead, strikes us all dead, and it strikes us in the same way.
Robert Louis Stevenson, Essays in the Art of Writing|We may now briefly enumerate the elements of style.  We have, peculiar to the prose writer, the task of keeping his phrases large, rhythmical, and pleasing to the ear, without ever allowing them to fall into the strictly metrical: peculiar to the versifier, the task of combining and contrasting his double, treble, and quadruple pattern, feet and groups, logic and metre—harmonious in diversity: common to both, the task of artfully combining the prime elements of language into phrases that shall be musical in the mouth; the task of weaving their argument into a texture of committed phrases and of rounded periods—but this particularly binding in the case of prose: and, again common to both, the task of choosing apt, explicit, and communicative words.  We begin to see now what an intricate affair is any perfect passage; how many faculties, whether of taste or pure reason, must be held upon the stretch to make it; and why, when it is made, it should afford us so complete a pleasure.  From the arrangement of according letters, which is altogether arabesque and sensual, up to the architecture of the elegant and pregnant sentence, which is a vigorous act of the pure intellect, there is scarce a faculty in man but has been exercised.  We need not wonder, then, if perfect sentences are rare, and perfect pages rarer.-ON SOME TECHNICAL ELEMENTS OF STYLE IN LITERATURE
Rachel Carson, The Sea Around Us|With these surface waters, through a series of delicately adjusted, interlocking relationship, the life of all parts of the sea is linked. What happens to a diatom in the upper, sunlit strata of the sea may well determine what happens to a cod lying on a ledge of some rocky canyon a hundred fathoms below, or to a bed of multicolored, gorgeously plumed seaworms carpeting an underlying shoal. or to a prawn creeping over the soft oozes of the sea floor in the balckness of mile-deep water.
Richard Dawkins, A Devil's Chaplain: Reflections on Hope, Lies, Science, and Love|It is absolutely safe to say that if you meet somebody who claims not to believe in evolution, that person is ignorant, stupid or insane (or wicked, but I'd rather not consider that).
Fyodor Dostoyevsky, Notes from Underground, White Nights, The Dream of a Ridiculous Man, and Selections from The House of the Dead|But then, we have science, and with its help we shall discover Truth once more; then we shall accept it in full knowledge. Knowledge is of a higher order than feeling; awareness of life is of a higher order than life. Science will give us wisdom, wisdom will reveal to us the laws of nature, and knowledge of the laws of nature will confer upon us a happiness beyond happiness.
Prentice Mulford, Thoughts Are Things|His thoughts were hemmed in. One can only draw curved lines on the terrestrial sphere which, as they extend, forever meet with themselves. At such intersections we always encounter what we have already seen.
Tanya Masse|The "I love you"s are exchanged excessively under our roof. Cancer teaches you how important and critical that is.
Muhammad Jawad|Mom is my best friend not because she is my mom, but because-She is the one who understand me without my saying,She is the one who can read my eyes,she is the one who can read my painful heart,She is the one who can give love without any return,She is the one who never leave my hand no matter how much i fight with her,She is the one who never complains for anything you do to her,She is the one with whom i can share everything without fear,She is my best guide,She fight for me when i am innocent,She trust me who others don't,This is why She is the one who is my Best Friend. Love you mom...
William Shakespeare, Romeo and Juliet|To be thus is nothing, but to be safely thus...
Steven Farmer|When One judges another, they unconsciously allow themselves to be judged.
Nicky Jam|You do stand-up because you have to do it. If you're doing it to become 'famous,' you're wrong. If you're doing it to become a millionaire, you're doing it for the wrong reasons. In 2003, I was flat broke. I'd been doing stand-up for 14 years at that point. I loved it and just kept at it.
Kurt Vonnegut Jr., Welcome to the Monkey House|I am committing suicide by cigarette,” I replied. She thought that was reasonably funny. I didn’t. I thought it was hideous that I should scorn life that much, sucking away on cancer sticks.
Evelyn Waugh|I knew it all, the whole drab compass of marital disillusion; we had been through it together, the Army and I, from the first importunate courtship until now, when nothing remained to us except the chill bonds of law and duty and custom. I had played every scene in the domestic tragedy, had found the early tiffs become more frequent, the tears less affecting, the reconciliations less sweet, till they engendered a mood of aloofness and cool criticism, and the growing conviction that it was not myself but the loved one who was at fault. I caught the false notes in her voice and learned to listen for them apprehensively; I recognized the blank, resentful stare of incomprehension in her eyes, and the selfish, hard set of the corners of her mouth. I learned her, as one must learn a woman one has kept house with, day in, day out, for three and a half years; I learned her slatternly ways, the routine and mechanism of her charm, her jealousy and self-seeking, and her nervous trick with the fingers when she was lying. She was stripped of all enchantment now and I knew her for an uncongenial stranger to whom I had bound myself indissolubly in a moment of folly.
Archibald Marwizi, Making Success Deliberate|You need to realize there will always be beliefs that seek to limit and others that seek to stretch you to your highest potential. Just because you cannot see or do something, does not mean it is not there or cannot be done.
Hasil Paudyal|Dream big!But not so big that it becomes a mess, and you may never reach reality.
aismj|you will never know how valuable a thing or a person is...until its not with you anymore,then you`ll regret...its not my fault.its urs..
Robin McKinley, Beauty: A Retelling of the Story of Beauty and the Beast|As I have said, you have no reason to trust me, and an excellent reason not to.
Jose Mourinho|If it's great stuff, the people who consume it are nourished. It's a positive force.
Mev Puleo, The Struggle Is One: Voices and Visions of Liberation|...the oppressor is truly repressed. Their poverty is existential, often surrounded by an abundance of material goods. (Leonardo Boff, p. 179)
Archibald Marwizi, Making Success Deliberate|Your age reflects or measures the rate at which you have been spending life. Every one born into this world is given life and that life is measured in units of time. Spending time means spending life, wasting time means wasting life. Getting value out of time means, getting value out of life. Time does not stop moving because we stopped working with purpose, meaning life does not stop or take a break even when you plan to go on vacation. You never stop spending time, even when you don’t have a penny in your pocket.
Matthew Lillard|I heard that people were really interested in the new haircut, which I think is so funny. Great haircut, I really like it. It goes great with the time period. And I was super, super, super-happy to have my bangs swept to the side rather than straight in front of me, which I dealt with for three seasons. I'm very, very much done with that.
Geraldine Brooks, March|Who is the brave man--he who feels no fear? If so, then bravery is but a polite term for a mind devoid of rationality and imagination.
Chimamanda Ngozi Adichie, The Thing Around Your Neck|Take the example of our spinner. We have seen that, to daily reproduce his labouring power, he must daily reproduce a value of three shillings, which he will do by working six hours daily. But this does not disable him from working ten or twelve or more hours a day. But by paying the daily or weekly value of the spinner's labouring power the capitalist has acquired the right of using that labouring power during the whole day or week. He will, therefore, make him work say, daily, twelve hours. Over and above the six hours required to replace his wages, or the value of his labouring power, he will, therefore, have to work six other hours, which I shall call hours of surplus labour, which surplus labour will realize itself in a surplus value and a surplus produce. If our spinner, for example, by his daily labour of six hours, added three shillings' value to the cotton, a value forming an exact equivalent to his wages, he will, in twelce hours, add six shillings' worth to the cotton, and produce a proportional surplus of yarn. As he has sold his labouring power to the capitalist, the whole value of produce created by him belongs to the capitalist, the owner pro tem. of his labouring power. By advancing three shillings, the capitalist will, therefore, realize a value of six shillings, because, advancing a value in which six hours of labour are crystallized. By repeating this same process daily, the capitalist will daily advance three shillings and daily pocket six shillings, one half of which will go to pay wages anew, and the other half of which will form surplus value, for which the capitalist pays no equivalent. It is this sort of exchange between capital and labour upon which capitalistic production, or the wages system, is founded, and which must constantly result in reproducing the working man as a working man, and the capitalist as a capitalist.
Aamir Sarfraz (aamir rajput khan)|Work hard in Silence, Let success make the noise.
John G. Diefenbaker|I am a Canadian, free to speak without fear, free to worship in my own way, free to stand for what I think right, free to oppose what I believe wrong, or free to choose those who shall govern my country. This heritage of freedom I pledge to uphold for myself and all mankind.
Roger Zelazny, Frost & Fire|I know, too, that death is the only god who comes when you call.
William Barrett, The Illusion of Technique: A Search for Meaning in a Technological Civilization|From what deep springs of character our personal philosophies issue, we cannot be sure. In philosophers themselves we seem always able to notice some deep internal correspondence between the man and his philosophy. Are our philosophies, then, merely the inevitable outcome of the body of fate and personal circumstance that is thrust upon each of us? Or are these beliefs the means by which we freely create ourselves as the persons we become? Here, at the very outset, the question of freedom already hovers in the background.
nooralam|I m not fighting with world, I am fighting with my self to improve my strength.
Geraldine Solon, Authorpreneur in Pajamas|Live, Love and be grateful you are capable of it.
Myles Horton, We Make the Road by Walking: Conversations on Education and Social Change|He was one of those men, and they are not the commonest, of whom we can know the best only by following them away from the marketplace, the platform, and the pulpit, entering with them into their own homes, hearing the voice with which they speak to the young and aged about their own hearthstone, and witnessing their thoughtful care for the everyday wants of everyday companions, who take all their kindness as a matter of course, and not as a subject for panegyric.
Shonda Rhimes, Year of Yes: How to Dance It Out, Stand In the Sun and Be Your Own Person|They tell you: Follow your dreams. Listen to your spirit. Change the world. Make your mark. Find your inner voice and make it sing. Embrace failure. Dream. Dream and dream big. As a matter of fact, dream and don’t stop dreaming until your dream comes true.I think that’s crap.I think a lot of people dream. And while they are busy dreaming, the really happy people, the really successful people, the really interesting, powerful, engaged people? Are busy doing.
Moby|Never fear a job, always respect it, and always leave yourself a hind door to escape. May your hind door always be open.
Dada Bhagwan|Some people claim, ‘I am the Knower-Seer (Gnata-Drashta)’. Hey! What do you mean you are ‘Knower-Seer’? ‘You’ are still ‘Chandubhai’? The Knower-Seer state begins after one realizes the Self, after one attains the awareness of the Self [the soul].
Frida Kahlo|You may call God love, you may call God goodness. But the best name for God is compassion.
Terence McKenna|The old man smiled. 'I shall not die of a cold, my son. I shall die of having lived.
Susan C. Young, The Art of Action: 8 Ways to Initiate & Activate Forward Momentum for Positive Impact|To Polish the Gold & Help Others Shine . . . Make a list of positives:Whether you would like to nurture a healthy relationship or improve a toxic one, make a list of positives which you admire about the other person. Begin by identifying, acknowledging, and focusing on their good qualities. Your perspective and how you feel about the person will begin to shift. You will find it much easier to polish the gold from a perspective of gratitude and appreciation.
Bobby Darin|Our national motto is 'In God we Trust,' reminding us that faith in our Creator is the most important American value of all.
Michael A. Martin & Andy Mangels, Skeletons in the Closet|Frankie runs a sex moon and has kids. My head hurts just thinking about it. You still keep up with her, too, then?”Ryelle's face took on a hunted expression. “She sends me coupons, Declan.
T.J. Klune, Burn|Just rest and soon enough, you'll be home." I assured her as she slowly closed her eyes and the smile on her face faded.
Debasish Mridha|The sun enlightens everyone, but the light of knowledge enlightens those who are actively seeking the light.
Robert Jordan|The only rules he wanted to remember were "never kiss a girl whose brothers have knife scars" and "never gamble without knowning a back way out
Liane Moriarty|I feel the older I get, the more I'm learning to handle life. Being on this quest for a long time, it's all about finding yourself.
Anne Lamott, Grace (Eventually): Thoughts on Faith|Nothing about me is "deep", but my divine creator is so.
Gina Greenlee, Postcards and Pearls: Life Lessons from Solo Moments on the Road|We can talk about it, dream about it and dissect the fine print.In the end, only action satisfies our longing.
Donna Grant, Dragon King|Grace flattened her palm on his chest. "I've not been writing it correctly."	"Writing what, exactly?"	"Passion. I forgot what it was," she whispered. "I went off what I saw in movies or read, but I haven't...experienced...it in many years."	He didn't like thinking about other men being with her, but they were in the past. Where they would remain. "Were they no' good lovers?"	"They were all right, but without passion, it all feels...empty."	Arian tightened his arm around her before he rolled her onto her back so he could look into her face. "I'll be happy to show you several times a day.
Yann Martel|Life does not end when a relationship ends, just like life doesn't start when a relationship starts.
Jamie Farrell, Sugared|If heaven existed, she’d just found it. His earthy scent. His stabilizing energy. Nothing smelled better, not even fresh bread from the oven, or a puppy or lilacs in the summer. He filled every crevice in her heart, gluing the broken pieces back together, one breath at a time.
Auliq-Ice|Forgiveness is always hard, but we must always try to leave room for reasonable attempts at reconciliation to occur.
Paul The Astronaut|RAINThunder skiesdewdrops fall,timeless motion.Heavy drizzles,blurred visionslumbering moon.
Christopher Marlowe, Edward II|Hot from hell. Caesar's spirit raging in revenge. Cry,havoc! And let slip the dogs of war.
Sunday Adelaja|Once you are saved, you have to locate your own territory
Woodrow Wilson, Congressional Government: A Study in American Politics|But having biologists outside the Beltway remained a problem for the adminisration. "They found they couldn't control us," Williams said... "That sort of thing just drove them up the wall. They were so used to saying 'do this,' and we'll just go away and do it. Never ask questions. The biologists had good connections with the press and national environmental group. "So eventually they said, 'Okay we're going to send you guys out to the hinterlands.'" The Regan administration began to dismantle the Endangered Species Office in D.C. Biologists have been working from regional offices ever since.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|‎By reacting from fear instead of responding from love, you inject poison directly into the veins of your relationship.
Lailah Gifty Akita|If you are alive, don’t ever lose hope.
Euripides|The man is happiest who lives from day to day and asks no more, garnering the simple goodness of life.
Steven Brust|The tools are real. The viewer is real, you, the artist, is real and a part of everything you paint. You connect yourself to the viewer by sharing something that is inside of you that connects with something inside of him. All you have as your guide is that you know what moves you. All you have to do it with is a brush, some chemical and canvas, and technique.
Eden Robinson, Monkey Beach|I used to think that if I could talk to the spirit world, I'd get some answers. Ha bloody ha. I wish the dead would just come out and say what they mean instead of being so passive-aggressive about the whole thing.
T.M. Frazier, The Dark Light of Day|I’m fairly certain I’m having my first truly religious experience, and it’s probably a very bad thing that it’s happening in a church, but it’s over a sculpture. Mental note: Add idol worship to your list for confession.
Richard Wiseman, 59 Seconds: Think a Little, Change a Lot|solid and dense as his own, a nose ring and angelbites.
Joan Dye Gussow|As for butter versus margarine, I trust cows more than chemists.
Gregory Cochran|Barbee had always wondered about mental institutions. He thought of taking notes for a feature story on this adventure at Glennhaven, as the evening wore on, began to seem remarkable for utter lack of anything noteworthy. It began to appear as a fragile never-never land, populated with timid souls in continual retreat from the real world outside and even from one another within.
Compton Gage, Devil's Inception|Fifth Cosmic Seal:(Liber 003 - Seal of Tuzassotama) One who has received this Cosmic Seal is mystically empowered to proclaim himself as "God, Lord, Universal Master or God-Incarnate" on earth and he controls all spirits of the occult kingdoms.
Orlando Bloom|I was home-schooled, was always very close with my mom, and was very straight-laced and square. I was never the rebellious one, and I never threw hissy fits. I was the type of person that would show a Powerpoint presentation about why I should do something versus crying and screaming over it.
Clarence Thomas|Unfortunately, our affluent society has also been an effluent society.
Stephen Richards|Poverty: a temporary financial low, curable by money.
Neil Gaiman|For an idea that does not first seem insane, there is no hope.
Craig D. Lounsbrough|If you think it is spiritual to burn food in front of starving people in hopes that your gods will bring this back to you in triplicate, you are missing the point and sowing animosity from all sides.
Gisele Bundchen|If a lot of people gripped a knife and fork the way they do a golf club, they'd starve to death.
Shannon  Mullen, See What Flowers|That’s what mountains do, they taunt you, lure you to the freedom of the wilderness, and it is fucking exhilarating.
Abhijit Naskar, The Bengal Tigress: A Treatise on Gender Equality|What a hundred caring, courageous and conscientious women can achieve in ten years, would take a thousand men a hundred years.
Nawazuddin Siddiqui|To do what I love every day and have the support of the fans, it does not happen like this all the time, so it is important to be thankful... I know it doesn't last forever, and we have to get it while we can.
Linda Howard, Loving Evangeline|Do you want me?" she whispered, licking him again. She felt very warm, and slightly drunk with her feminine power. Desire was unfurling inside her, opening like a flower. Her breasts throbbed, and she rubbed them against his leg.He gave a strangled laugh, almost undone by her natural sensuality. "Look a few inches to your right and tell me what you think.
Ernest Agyemang Yeboah|Thought—he told himself quietly—is a weapon one uses in order to act. No action was possible. Thought is the tool by which one makes a choice. No choice was left to him. Thought sets one’s purpose and the way to reach it. In the matter of his life being torn piece by piece out of him, he was to have no voice, no purpose, no way, no defense.
Susanna Kearsley|A walk through the storage facility of the community museum where I worked might easily have convinced you that people in the past wore only wedding dresses, carried silver candlesticks, and played with porcelain dolls.
Gloria Naylor|But I don't believe that life is supposed to make you feel good, or to make you feel miserable either. Life is just supposed to make you feel.
George Bernard Shaw|That is the injustice of a woman's lot. A woman has to bring up her children; and that means to restrain them, to deny them things they want, to set them tasks, to punish them when they do wrong, to do all the unpleasant things. And then the father, who has nothing to do but pet them and spoil them, comes in when all her work is done and stealstheir affection from her.
Viktor E. Frankl, Man's Search for Meaning|The pessimist resembles a man who observes with fear and sadness that his wall calendar, from which he daily tears a sheet, grows thinner with each passing day. On the other hand, the person who attacks the problems of life actively is like a man who removes each successive leaf from his calendar and files it neatly and carefully away with its predecessors, after first having jotted down a few diary notes on the back. He can reflect with pride and joy on all the richness set down in these notes, on all the life he has already lived to the fullest. What will it matter to him if he notices that he is growing old? Has he any reason to envy the young people whom he sees, or wax nostalgic over his own lost youth? What reasons has he to envy a young person? For the possibilities that a young person has, the future which is in store for him?No, thank you,' he will think. 'Instead of possibilities, I have realities in my past, not only the reality of work done and of love loved, but of sufferings bravely suffered. These sufferings are even the things of which I am most proud, although these are things which cannot inspire envy.
Jared Diamond, Guns, Germs, and Steel: The Fates of Human Societies|Not until the beginning of the 20th century did Europe's urban populations finally become self-sustaining: before then, constant immigration of healthy peasants from the countryside was necessary to make up for the constant deaths of city dwellers from crowd diseases.
Lailah Gifty Akita, Think Great: Be Great!|My hope is in you, Mighty One!
Tarun Betala, The Things We Don't Know:  How mankind found answers to some of life's most pressing questions.|We, of all the beings that we know of, can think. We can eat, write, build, save. We can predict, estimate, and count. We can preserve food for lifetimes, and in times of crisis, we can find ways to ensure our survival. With each passing generation, our sphere of control of our existence is larger. What if the earth is hit by an asteroid or there is no way to stop global warming? We look to colonize other planets. The fate of our species, in a few years, will not be tied to the fate of the earth. Our home planet must be cared for ... but as we go interplanetary and then interstellar, our control on our lives and the evolution of our species grows. As far as we know, we are the only species that has a say in the development of its future.
Gudjon Bergmann, Empowerment Basics|Many people say that time heals all wounds, but that simply is not true. People can become more bitter, arrogant and spiteful with age.
Steven Curtis Chapman|For too long, our society has shrugged off bullying by labeling it a 'rite of passage' and by asking students to simply 'get over it.' Those attitudes need to change. Every day, students are bullied into silence and are afraid to speak up. Let's break this silence and end school bullying.
Sharon Weil, ChangeAbility: How Artists, Activists, and Awakeners Navigate Change|Information can compel us to want to take action, but information, by itself, is often not enough to motivate action or change.
Pierre-Simon Laplace|We ought to regard the present state of the universe as the effect of its antecedent state and as the cause of the state that is to follow. An intelligence knowing all the forces acting in nature at a given instant, as well as the momentary positions of all things in the universe, would be able to comprehend in one single formula the motions of the largest bodies as well as the lightest atoms in the world, provided that its intellect were sufficiently powerful to subject all data to analysis; to it nothing would be uncertain, the future as well as the past would be present to its eyes. The perfection that the human mind has been able to give to astronomy affords but a feeble outline of such an intelligence.
Judith Lewis Herman, Trauma and Recovery: The Aftermath of Violence - From Domestic Abuse to Political Terror|Some people's lives seem to flow in a narrative; mine had many stops and starts. That's what trauma does. It interrupts the plot. You can't process it because it doesn't fit with what came before or what comes afterward. A friend of mine, a soldier, put it this way. In most of our lives, most of the time, you have a sense of what is to come. There is a steady narrative, a feeling of "lights, camera, action" when big events are imminent. But trauma isn't like that. It just happens, and then life goes on. No one prepares you for it.
Benjamin Franklin|Scientific studies and government records suggest that virtually all (upwards of 95 percent of) chickens become infected with E. coli (an indicator of fecal contamination) and between 39 and 75 percent of chickens in retail stores are still infected. Around 8 percent of birds become infected with salmonella (down from several years ago, when at least one in four birds was infected, which still occurs on some farms). Seventy to 90 percent are infected with another potentially deadly pathogen, campylobacter. Chlorine baths are commonly used to remove slime, odor, and bacteria.Of course, consumers might notice that their chickens don't taste quite right - how good could a drug-stuffed, disease-ridden, shit-contaminated animal possibly taste? - but the birds will be injected (or otherwise pumped up) with "broths" and salty solutions to give them what we have come to think of as the chicken look, smell, and taste. (A recent study by Consumer Reports found that chicken and turkey products, many labeled as natural, "ballooned with 10 to 30 percent of their weight as broth, flavoring, or water.
Harvey Fierstein|I think if you just eat healthy, you're active, and you don't beat yourself up, you're setting yourself up to win rather than setting yourself up for failure.
Jennifer Sky|As Americans, we have traditionally been the optimists sporting the 'can-do' attitude. But when it comes to addressing climate adaptation and resiliency, we seem to be more 'can't do' than 'can-do.'
David M. Buss, Evolutionary Psychology: The New Science of the Mind, Fifth Edition|In a fascinating study, Barrett (1999) demonstrated that children as young as threeyears of age have a sophisticated cognitive understanding of predator-prey encounters. Children from both an industrialized culture and a traditional hunter-horticulturalist culture wereable to spontaneously describe the flow of events in a predator-prey encounter in an ecologically accurate way. Moreover, they understood that after a lion kills a prey, the prey is no longer alive, can no longer eat, and can no longer run and that the dead state is permanent.This sophisticated understanding of death from encounters with predators appears to be developed by age three to four.
D. Simone|For Every Child We Teach To Cherish Learning, A Universe Is Born.
Jason Chaffetz|A friend who dies, it's something of you who dies.
Julie Kagawa, The Iron Queen|You are my heart, my life, my entire existence." -Ash
J.V. Jones, The Book of Words|He was dirty, his hair unkempt, his clothes stained with blood. Heroes in stories somehow managed to rescue maidens while looking like court dandies. Next time he went adventuring he'd remember to bring a comb.
Arthur C. Clarke|There's no real objection to escapism, in the right places... We all want to escape occasionally. But science fiction is often very far from escapism, in fact you might say that science fiction is escape into reality... It's a fiction which does concern itself with real issues: the origin of man; our future. In fact I can't think of any form of literature which is more concerned with real issues, reality.
AribaZafar|True happiness can only be found when you stop worrying about yourself and try to look out for those around you.Helping people can give your life meaning and joy. Don't expect anything in return spread happiness and get peace, there is nothing more valuable than peace..
Diana Gabaldon, Outlander|The capital-T Truth is about life BEFORE death.It is about the real value of a real education, which has almost nothing to do with knowledge, and everything to do with simple awareness; awareness of what is so real and essential, so hidden in plain sight all around us, all the time, that we have to keep reminding ourselves over and over:"This is water.""This is water."It is unimaginably hard to do this, to stay conscious and alive in the adult world day in and day out.
|You can never deceive or manipulate the future. Whatever it is you contribute towards it, is exactly what it will compensate you for.
Lisa Kleypas, Married By Morning|Don't do that again! Not ever again!" I told him."I should say the same to you," he said. I could feel his breath, warm on my neck. "Promise me!" I demanded."I... I promise.""I can't lose you.
T. B. Joshua|Asking in faith requires honesty, effort, commitment, and persistence.
Taite Adams, E-Go: Ego Distancing Through Mindfulness, Emotional Intelligence, and the Language of Love|Ego doesn't want us to be loving, forgiving and kind to each other or even to ourselves.
