Guy de Maupassant, Original Maupassant Short Stories|A gardin is where you can find a whole spectrum of life, birth and death
Jane Goodall|When we have a Deputy Prime Minister who tells people not to drive cars but has two Jags himself, and where the Minister who tells people not to have two homes turns out to have nine himself no wonder the public believe politicians are hypocrites.
Timothy Snyder, On Tyranny: Twenty Lessons from the Twentieth Century|Both of these positions, inevitability and eternity, are antihistorical. The only thing that stands between them is history itself. History allows us to see patterns and make judgments. It sketches for us the structures within which we can seek freedom. It reveals moments, of each of them different, none entirely unique. To understand one moment is to see the possibility of being the cocreator of another. History permits us to be responsible: not for everything, but for something. The Polish poet Czesław Miłosz thought that such a notion of responsibility worked against loneliness and indifference. History gives us the company of those who have done and suffered more than we have.
Madeline  Martin, Deception of a Highlander|To know, finally, what love is and not be allowed fulfilment ...
Wendell Berry, Bringing it to the Table: On Farming and Food|Instead, choose decaf for your second cup of the day, engage in good sleeping habits, moderate insulin production in your diet, exercise Primally and boost energy naturally with cold water plunges, deep breathing sequences, napping or quick exercise breaks after long periods of inactivity.
Tony Schwartz|When it comes to your career, you must always try and allow the positive aspects of your character to dictate what happens to you. Be led by your talent, not by your self-loathing; those other things you just have to manage.
Polybius|Anybody can be charming if they don't mind faking it, saying all the stupid, obvious, nauseating things that a conscience keeps most people from saying. Happily, I don't have a conscience. I say them.
Rainer Maria Rilke|There wasn't a single item of importance [in the newspaper]. A tower of illusion, all of it, made of illusory bricks and full of holes. If life were made up only of imporant things, it really would be a dangerous house of glass, scarcely to be handled carelessly. But everyday life was exactly like the headlines. And so everybody, knowing the meaninglessness of existence, sets the centre of his compass at his own home.
Sherrilyn Kenyon, No Mercy|Mardi Gras, baby. Mardi Gras. Time when all manner of weird shit cuts loose and parties down.
Billy Graham, Billy Graham in Quotes|Thanksgiving is recognition of a debt that cannot be paid. We express thanks, whether or not we are able otherwise to reimburse the giver.
Thomas Bernhard|As I discussed in the previous chapter, attachment researchers have shown that our earliest caregivers don't only feed us, dress us, and comfort us when we are upset; they shape the way our rapidly growing brain perceives reality. Our interactions with our caregivers convey what is safe and what is dangerous: whom we can count on and who will let us down; what we need to do to get our needs met. This information is embodied in the warp and woof of our brain circuitry and forms the template of how we think of ourselves and the world around us. These inner maps are remarkably stable across time.This doesn‘t mean, however, that our maps can‘t be modified by experience. A deep love relationship, particularly during adolescence, when the brain once again goes through a period of exponential change, truly can transform us. So can the birth of a child, as our babies often teach us how to love. Adults who were abused or neglected as children can still learn the beauty of intimacy and mutual trust or have a deep spiritual experience that opens them to a larger universe. In contrast, previously uncontaminated childhood maps can become so distorted by an adult rape or assault that all roads are rerouted into terror or despair. These responses are not reasonable and therefore cannot be changed simply by reframing irrational beliefs.
Virginia Woolf|To be and not to be, that is the quantum question
Gordon B. Hinckley|How sweet is the assurance, how comforting is the peace that come from the knowledge that if we marry right and live right, our relationship will continue, notwithstanding the certainty of death and the passage of time. Men may write love songs and sing them. They may yearn and hope and dream. But all of this will be only a romantic longing unless there is an exercise of authority that transcends the powers of time and death.
Vonnie Davis, For the Love of a Fireman|Passing him with frightening speed, I see him sailing downward with his open parachute. “It won’t open!” “Pull harder!” Looking down, I estimate that at this speed it will only be a matter of seconds before I collide with the black lava rocks below. They rigged it! is all I can think. President Volkov won. I lost. I failed Gemma. I failed Nicholas. I failed myself. All of a sudden, someone rams into me from behind and hooks his arms and legs around my body. I look back and see Cory. “You’re crazy!” I scream as we spin out of control.“I know!” He smiles like he really is, but he feeds off of this kind of insanity. “Hold on!” The ground is so close and I can see the green grass and smell the scent of it mixed with the sulfur. He helps me turn around and I lock my arms around his thick shoulders, my legs around his firm hips. We’ll die together, and he doesn’t seem to care one bit. He really is insane!
Stephen Colbert|Kon’s films present a fractured, multifaceted world in which everyone has their own different reality.
Adam Hamilton|Sin penetrates to the heart, darkens and hardens it until it extinguishes the light of belief. Each sin has a path that leads to unbelief. Unless that sin is swiftly obliterated by seeking God's forgiveness, it grows from a worm into a snake that gnaws at the heart.
Israelmore Ayivor, The Great Hand Book of Quotes|Learn wider, grow wiser!
Jonathan Edwards, The Religious Affections|True Christian fortitude consists in strength of mind, through grace, exerted in two things; in ruling and suppressing the evil and unruly passions and affections of the mind; and in steadfastly and freely exerting and following good affections and dispositions, without being hindered by sinful fear or the opposition of enemies... Though Christian fortitude appears in withstanding and counteracting the enemies that are without us; yet it much more appears in resisting and suppressing the enemies that are within us; because they are our worst and strongest enemies and have greatest advantage against us. The strength of the good soldier of Jesus Christ appears in nothing more than in steadfastly maintaining the holy calm, meekness, sweetness, and benevolence of his mind, amidst all the storms, injuries, strange behaviour, and surprising acts and events of this evil and unreasonable world.
Colleen Houck, Tiger's Voyage|Every time you dive, you hope you'll see something new - some new species. Sometimes the ocean gives you a gift, sometimes it doesn't.
Bruce Beresford|I wake up in the morning, I do a little stretching exercises, pick up the horn and play.
Aaron Sorkin|Josh: So, Toby, it’s election night. What do you say about a country that goes out of its way to protect even those citizens that try to destroy it?Toby: God bless America.
Shashank Rayal|Being alone will show you who you really are, and if you cannot get-on positively as the sole master of your space in that room alone, then you can absolutely forget about it after you add another person.
Anonymous|"So you want to become my son-in-law." "Not exactly. I just want to marry your daughter."
Marie de France, The Lais of Marie de France|Love is not honourable, unless it is based on equality.
Erik Pevernagie|Lightness and weightiness are both linked to a philosophy of life. They are choices in life. Heaviness can be the embodiment of a sense of responsibility, the expression of maturity, the result of profound meditation or the emanation of a search for meaning in life. Weightiness, however, may also lead to a feeling of oppression, when it is felt as a burden, an unbearable burden. Then time has come to let loose and things can finally lose their gravity. ( "The unbearable heaviness of being" )
Lailah Gifty Akita, Think Great: Be Great!|Every child must be taught how to think, read and write.
Larken Rose|The truth is, one who seeks to achieve freedom by petitioning those in power to give it to him has already failed, regardless of the response. To beg for the blessing of “authority” is to accept that the choice is the master’s alone to make, which means that the person is already, by definition, a slave.
Edward Gorey, Floating Worlds: The Letters of Edward Gorey & Peter F. Neumeyer|On the way home I absently minded (you know what I mean) went through a stop sign in Hyannis so of course there was a police car to apprehend me. A soft answer turnethed away wrath, fortunately.
Stanisław Lem, His Master's Voice|And yet we knew, for a certainty, that when first emissaries of Earth went walking among the planets, Earth's other sons would be dreaming not about such expeditions but about a piece of bread.
Chela Sandoval, Methodology of the Oppressed|The 1970s-80s social movement called U.S. third world feminism functioned as a central locus of possibility, an insurgent social movement that shattered the construction of any one ideology as the single most correct site where truth can be represented. Indeed, without making this kind of metamove, any 'liberation' or social movement eventually becomes destined to repeat the oppressive authoritarianism from which it is attempting to free itself, and become trapped inside a drive for truth that ends only in producing its own brand of dominations. What U.S. third world feminism thus demanded was a new subjectivity, a political revision that denied any one ideology as the final answer, while instead positing a tactical subjectivity with the capactiy to de- and recenter, given the forms of power to be moved. These dynamics are what were required in the shift from enacting a hegemonic oppositional theory and practice to engaging in the differential form of social movement, as performed by U.S. feminists of color during the post-World War II period of great social transformation. p. 58-59. 
Bob Iger|I watch a lot of sport on television. I only watch certain sports, and I only watch them live - I don't think I've ever been able to watch a replay of a match or game of which the result was already decided. I feel bound to cheat and look up what can be looked up.
Susan Forward, Mothers Who Can't Love: A Healing Guide for Daughters|The healing process kicks into gear with with the words "This is what you did to me." That statement is not gentle or polite; it's absolutely direct. In fact, I know that seeing it might feel like a punch in the stomach. I deliberately removed the distancing veil of "objectivity" from the words "This is what you did" by adding 'to me'.
Donald J. Trump, Crippled America: How to Make America Great Again|The law. Lady Frances, is an uncertain animal. It has twists and turns that surprise the non-legal mind.
Drew Barrymore|I do value the respect I get from my contemporaries, but to have Oasis cover my song, to have Puff Daddy cover a song, to have Goldie come along to my gigs - that's where my ego is at. To have my fellow musicians like what I do, that's very cool.
Emily Raboteau, The Professor's Daughter|I love the man that can smile in trouble, that can gather strength from distress, and grow brave by reflection. 'Tis the business of little minds to shrink; but he whose heart is firm, and whose conscience approves his conduct, will pursue his principles unto death.
Judah Smith, Jesus Is: Find a New Way to Be Human|Jesus is not your accuser. He’s not your prosecutor. He’s not your judge. He’s your friend and your rescuer. Like Zacchaeus, just spend time with Jesus. Don’t hide from him in shame or reject him in self-righteousness. Don’t allow the opinions of other people to shape your concept of him. Get to know him for yourself, and let the goodness of God change you from the inside out.
Eileen Anglin|Calling upon the angels when we are in need, helps the angels fulfill their heavenly mission. We are truly co-creators with them.
David Fairchild, The World Was My Garden: Travels Of A Plant Explorer|The human mind prefers something which it can recognize to something for which it has no name, and, whereas thousands of persons carry field glasses to bring horses, ships, or steeples close to them, only a few carry even the simplest pocket microscope. Yet a small microscope will reveal wonders a thousand times more thrilling than anything which Alice saw behind the looking-glass.
Mark Twain, Pudd'nhead Wilson|Dominicans are in fact, Haitians by default.Since the natives named the whole island named Haïti, stop being a dolt.
Sharman Apt Russell, Teresa of the New World|Now she could smell what the jaguar could smell, odors deeper and richer than anything she had experienced before, layers of smell she could read like Fray Tomás had read the words in her father’s book: the wet decay of leaves, the death fear of a mouse, the poisonous cloy of datura, water and mud and insects, the wind carrying the smell of other animals, the wind itself, and the girl, of course, always the girl with her juicy flesh. The girl smelled incredibly good. Should the jaguar do this? Should Teresa eat herself?
Debasish Mridha|I am fresh, I am radiant, I am full of love, and I am joyful. I am complete.
Miranda Lambert, Miranda Lambert - Revolution|I thought if I could touch this place or feel it this brokenness inside me might start healing. Out here its like I'm someone else, I thought that maybe I could find myself if I could just come in I swear I'll leave. Won't take nothing but a memory from the house that built me.
John Paul II, Love and Responsibility|Limitation of one's freedom might seem to be something negative and unpleasant, but love makes it a positive, joyful and creative thing. Freedom exists for the sake of love.
John Piper|The logic of the Bible says: Act according to God's "will of command," not according to his "will of decree." God's "will of decree" is whatever comes to pass. "If the Lord wills, we will live and do this or that" (James 4:15). God's "will of decree" ordained that his Son be betrayed (Luke 22:22), ridiculed (Isaiah 53:3), mocked (Luke 18:32), flogged (Matthew 20:19), forsaken (Matthew 26:31), pierced (John 19:37), and killed (Mark 9:31). But the Bible teaches us plainly that we should not betray, ridicule, mock, flog, forsake, pierce, or kill innocent people. That is God's "will of command." We do not look at the death of Jesus, clearly willed by God, and conclude that killing Jesus is good and that we should join the mockers.
Israelmore Ayivor, The Great Hand Book of Quotes|Words can express true feelings, true emotions and wisdom. It is up to you to use them wisely... Choose your words carefully and express the peacefully!
Mary J. Williams, If Tomorrow Never Comes|Lindsey imagined him looking like a model in his business clothes, shopping for toilet parts for her. Perfect. What girl wouldn't want a smokin' hot guy associating her with toilet parts?
Boria Sax|History, for better or worse, is 'us' on a grand scale ─ full of secrets, beauty, fear, longing, and stifled love. Without history, our lives would not be complete, and we could not be, in the best sense, fully 'human.
Laci Paige, The Silken Edge|He needed the hand on his shoulder, the kiss to his temple and the hot, ragged breath of his Master over his face.
Anne Fadiman, Ex Libris: Confessions of a Common Reader|A philosophy professor at my college, whose baby became enamored of the portrait of David Hume on a Penguin paperback, had the cover laminated in plastic so her daughter could cut her teeth on the great thinker.
Alice Walker|I am a woman, and I am a Latina. Those are the things that make my writing distinctive. Those are the things that give my writing power.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|When you stress out, things will stress out around you. Always control your thoughts and pacify any unnecessary stress. Control your vibrations and you are the master of your own harmony.
Marc Andreessen|Originally, I was in both software and in online computing. The first innovation really was sort of at that time that we're marrying the telephone and the computer so that people wouldn't have to drive to the computer center. We didn't have $1,000 computers.
Paulo Coelho, By the River Piedra I Sat Down and Wept|You love the word love but you don’t really love and you don’t want to love because love, which is really sacrifice, would prevent you from doing what you want to do.
Mari Mancusi, Stake That|So not only do I have to go out and fight evil villains, I have to take up woodworking, too?
Anne Lamott, Plan B: Further Thoughts on Faith|One of Sir Topher's rules was to never indulge in sentimentality, never return for what was left behind.
Carrie Fisher, Wishful Drinking|My brain sometimes departs from the agreed-upon reality, and my private reality is a very lonely place. But in the end, I'm not sure I wish I'd never gone there.
Barbara DeLeo, The Bouquet List|He lifted her chin so she was looking directly in his eyes. "I have every faith that whatever you take on in your life, you'll do it with passion and determination, and I know you'll succeed."	And then before she could make any sort of reply, he dipped his chin and placed his lips on hers.
Nalini Singh, Bonds of Justice|Don't they always go from bad to worse? There's no turning back--yourold self rejects you, and shuts you out. ~Lilly Bart
J.R.R. Tolkien, The Fellowship of the Ring|You can trust us to stick to you through thick and thin – to the bitter end. And you can trust us to keep any secret of yours – closer than you yourself keep it. But you cannot trust us to let you face trouble alone, and go off without a word. We are your friends, Frodo. Anyway: there it is. We know most of what Gandalf has told you. We know a good deal about the ring. We are horribly afraid–but we are coming with you; or following you like hounds.
Henry Johnson Jr, Liberian Son|Art should be expressed without objectification.It's more than just attraction. Creative expression is not "art for art's sake" but art that breathes true meaning.
Markus Peterson|There cannot be love without loss, just like there cannot be happiness without sadness, or light without dark.
Christopher Riche Evans, Mind In Chains|The terrors of the future will not come from the drab repressions of an encroaching bureaucracy, but from the neon lights of a thousand supermarkets, the sounds of a million automobile accidents and from the public cremation of the dead astronauts as they return to earth.
Magaly Guerrero, AlmaMia Cienfuegos and Other Stories|We can choose not to remember this day, but bones have strong memories. And earth never forgets.
Carew Papritz, The Legacy Letters: his Wife, his Children, his Final Gift|A Good Man. Every night, like a question-and-answer prayer, my son and I recite...What are you going to be? And he says...An honest man. A fair man. A courageous man. And a good man. That's the most important thing, Papa. And my job is finally done. For the night.
Rollo May|The power of well a formulated question unlocks the mind, frees the spirit and allows the imagination to realize a vision through the clarity of intent.
J.B. McGee, Mending|She looked around the room, glanced over him and Micah waited.Her Gaze passed him, then again. On the third pass she lingered as she continued to watch her, allowing his gaze to memorize those features just before her eyes met his.A jolt od power flashed through him. Her ligth blue eyes flickered with interest, fear, then interest again, as though she wasn't certain which she should feel.He let his gaze continue to hers, let his mind reach out to her, soothe her, ease her. He used his eyes rather than his expression to calm the fear that he knew he would be rising within her.Micah knew the power of a look. When two people touched from across a distance, that touch could be frightening, wary, or a stroke of gentleness. He stroked her gently. He never let his eyes dip below her chin; rather, he let himself take in every nuance of expression, every shift of each facial motion, the flicker of her lashes, the shadows in her eyes, the tension in her small body.She was like a little bird ready to fly. Poised at the edge of her seat.her body stiff and prepared to run.Easy, little bird, he thought, letting his thoughts touch his gaze. There is no pain here; there is no fear.
Kusum Manjeshri|Do one thing today to move yourself towards a big goal. Repeat tomorrow, and the next day. You'll be surprised at how fast you'll attain it!
Stephen E. Ambrose|Readers have a loyalty that cannot be matched anywhere else in the creative arts, which explains why so many writers who have run out of gas can keep coasting anyway, propelled on to the bestseller lists by the magic words AUTHOR OF on the covers of their books.
Thomas Daniel Nehrer, Essence of Reality: A Clear Awareness of How Life Works|Clearly, when western cultures absorbed Christianity, they got an all-inclusive package: ancient Hebrew rituals and myths steeped in lost purpose, scantily recorded and broadly misinterpreted teachings of Jesus, revisions and distortions by Paul, twisted cosmology and superstitions supplied by priesthoods and bureaucratic/political distortions innate to man’s traditionalendeavors.
Dew Platt|The Yorubas have a saying, here, my translation in English--a poor fool is a bigger fool rich. In other words, money only allows and enables you to be more of who you are. My bigger translation? You don't jump essence, you jump environs!
Emma McLaughlin, The Real Real|You should totally get implants," she said admiringly in the mirror. I shake my head. "I don't yet know what I'm going to do with my life, Diane. But I'm hoping being shaped like a barbell could only be a hindrance.
Anne Hines, The Spiral Garden|Someone once told me that we move when it becomes less painful than staying where we are".
Richard Feynman|It is astonishing to realize that growing up actually means to become one with Existence. It means to find the whole Existence within myself, it means to discover that Existence is alive in my own heart and being. The song of a bird echoes my own inner voice, the beauty of a flower reflects my own inner beauty, a dog becomes an expression of my own unconditional love and friendship, the majestic mountains create an exstatic joy, and I discover all the shining stars of the sky within my own heart. It is to realize that the whole Existence is alive, and that the underlying thread of consciousness is God.
Karen Swallow Prior, Fierce Convictions: The Extraordinary Life of Hannah More—Poet, Reformer, Abolitionist|The topic was eloquence, something Christians had been conflicted about since the first-century church when Paul wrote that in bringing the gospel, he did not come with “eloquence.” A few centuries later, Saint Augustine wrestled with the value of eloquence, associating it with his pagan background and training in Greek rhetoric while simultaneously employing it winsomely in his Christian writings. Such suspicion of beauty and form, whether in art, literature, speech, or human flesh, has shadowed Christian thought throughout the history of the church; sadly so, considering God is the author of all beauty.
Adoniram Judson|When we step out in faith and use the talents He's given us, we show that we trust God, that we believe He will bless our actions and cause us to succeed.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|May we celebrate the sacredness of Christmas with joy, faith and hope.
Samuel Johnson|Statism is a mental disorder, much akin to Stockholm Syndrome.
Kilroy J. Oldster, Dead Toad Scrolls|We gain knowledge about the interworking of our personal mind through observation of the external world and personal introspection. Contemplation requires a degree of stillness, the willingness to consider deep thoughts.
The Town and Country Magazine. vol. 11, 1779|There is not a man of common sense who would not chuse to be agreeable in company; and yet, strange as it may seem, very few are
Jodi Picoult, The Storyteller|I'll stop eating steak when you stop killing spiders." Absurdity: comparing cows to spiders. Arachnids are pure evil. They're like a cigarette manufacturer or a terrorist. They're organized religion on eight legs.
C.G. Faulkner, Unreconstructed|If you're gonna shoot an elephant Mr. Schneider, you better be prepared to finish the job.
Stevie Nicks|We fought very hard for feminism, for women's rights. What I'm seeing today is a very opposite thing. I don't know why, but I see women being put back in the place. And I hate it. We're losing all we worked so hard for and it really bums me out.
Don Juan|When one has nothing to lose, one becomes courageous. We are timid only when there is something we can still cling to.
Steven Redhead, Unleash The Power of Your Heart and Mind|Take notice of those intuitive whispers from the heart, they represent your true desires.
Mads Sukalikar, Do Virgins Taste Better? And Other Tales of Whimsy|At first, Maisie had been glad to work with a female crewmember. So much the better to fend off the sneers, leers, and veiled derision of her male majority shipmates. But now she knew better. Karen was here to make neither friends nor feminist stands. She was here to ruin Maisie’s career!
Manoj Arora|Money should not dictate how I live my life..I must take charge and become the master of money, so that I decide what I want to do with my time.
Lilo Abernathy, The Light Who Shines|The Paco's Loco Tacos sign on my right lures me in. Not for the first time, I wonder if the tacos are crazy, if Paco is crazy, or if we are crazy for buying them. Well, I personally think a touch of crazy is one of the spices of life.
Steve Harvey, Act Like a Lady, Think Like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment|To us, your power comes from one simple thing: you’re a woman, and we men will doanything humanly possible to impress you so that, ultimately, we can be with you. You’re the driving force behind why we wake up every day. Men go out and get jobs and hustle to makemoney because of women. We drive fancy cars because of women. We dress nice, put on cologne, get haircuts and try to look all shiny and new for you. We do all of this because the more our game is stepped up, the more of you we get. You’re the ultimate prize to us.
Marsha Norman|The greatest friend of truth is Time, her greatest enemy is Prejudice, and her constant companion is Humility.
Raymond Chandler, The Little Sister|It is acknowledged that father-daughter incest occurs on a large scale in the United States. Sexual abuse has now been included in child abuse legislation. A conservative estimate is that more than 1 million women have been sexually victimized by their fathers or other male relatives, but the true figure probably is much higher. Many victims still fear reporting incest, and families continued to collude to keep the situation secret. Issues of family privacy and autonomy remain troublesome even when incest is reported and must be resolved for treatment to be effective. " Mary de Chesnay J. Psychosoc. Nurs. Med. Health Sep. 22:9-16 Sept 1984 reprinted in Talbott's 1986 edition
Paul Oberschneider, Why Sell Tacos in Africa?: 16 life-changing business strategies you can use anywhere, from the man who turned $400 into $200 million|Walt reorganized the fickleness of audiences and the challenge of always providing something new. For me, this great entrepreneurial adventure was an exposure to 'yes if' consulting as a more useful format than 'no because'...'Yes if' was the language of an enabler, pointing to what needed to be done to make the possible plausible. Walt liked this language. 'No because' is the language of a deal killer. 'Yes if' is the approach of a deal maker. Creative people thrive on 'yes if'.
Crystal Woods, Write like no one is reading 2|I’d tell you what happened, but I can’t remember all of it. And I don't wanna put words in my dreams thoughts.
Kevin Durant|In marketing I've seen only one strategy that can't miss - and that is to market to your best customers first, your best prospects second and the rest of the world last.
Ben H. Winters, The Last Policeman|Write what you know, and what do you know better than your own secrets?
Brent Weeks, The Way of Shadows|Assassination is an art, milord. And I am the city's most accomplished artist.
Ann Charles, Dead Case in Deadwood|Lucille,” Norma Jean whispered loud enough for me to hear from my foliage hideout. She leaned over her walker and adjusted her glasses. “Is that Willis Harvey up front by Elsa?”“Well, pinch my pooch, I believe it is,” Lucille said. “I barely recognize him with his clothes on.
Germany Kent|Do not let others drive that vehicle, called life, for you. Grab that steering wheel and discover unexplored destinations.
John Quelch|I have nightmares that I'm going to wake up, and everyone's driving a Prius and living in a condo, and we're all getting health insurance.
J. Ryan Stradal, Kitchens of the Great Midwest|Life do your worst; we are plump of knee and mild of eye, we are douce, glib and blithe; we inherit the semi, while others inherit the wind.
Amy Leigh Mercree, Joyful Living: 101 Ways to Transform Your Spirit and Revitalize Your Life|My ancestors offer me bliss, love, and light. I gratefully receive that which is for my highest good and release the rest back into the pure, white light.
Jennie L. Hopkins|Life is too short not to show your truest form EVERY day... Live it, Like it, Love it and then push for more ~~
Julian Barnes, The Sense of an Ending|At thirty a man suspects himself a fool;Knows it at forty, and reforms his plan;At fifty chides his infamous delay,Pushes his prudent purpose to resolve;In all the magnanimity of thoughtResolves; and re-resolves; then dies the same.
Abraham Lincoln|It's very hard to respect people on holiday - everybody looks so silly at the beach, it makes you hate humanity - but when you see people at their work they elicit respect, whether it's a mechanic, a stonemason or an accountant.
Alejandra Pizarnik|An unchangeable colour rules over the melancholic: his dwelling is a space the colour of mourning. Nothing happens in it. No one intrudes. It is a bare stage where the inert I is assisted by the I suffering from that inertia. The latter wishes to free the former, but all efforts fail, as Theseus would have failed had he been not only himself but also the Minotaur; to kill him then, he would have had to kill himself
David Revilla, The River Styx|For centuries, pilgrims have travelled to Ayodhya identifying it as a birthplace of Ram. But the exact location is a subject of dispute and political turmoil. Ever since colonial times, Hinduism has felt under siege, forced to explain itself using European templates, make itself more tangible, more structured, more homogenous, more historical, more geographical, less psychological, less emotional, to render itself as valid as the major religions of the world like Christianity, Judaism and Islam. The fallout of this pressure is the need to locate matters of faith in a particular spot. What used to be once a matter of faith becomes a territorial war zone where courts have to intervene
Erica Jong, Fear of Fifty: A Midlife Memoir|I should never have dreamed of purpose, I am coming to the conclusion that privacy, the small individual lives of men, are preferable to all this inflated macrocosmic activity.
Lailah Gifty Akita|Without grace, how can we do the good, we ought to do?
R. Alan Woods|Behold divinity divine enough to abandon divinity. Behold majesty secure enough to proceed un-majestically. Behold strength strong enough to become weakness, goodness good enough to be unmindful of its reputation. Behold love plenteous enough to give and take not again.
Phillip C. McGraw|Far too many people are looking for the right person, instead of trying to be the right person.
Mehmet Murat ildan|If you have a good light inside you, you will get a good light from outside!
Jeanne McElvaney, Time Slipping|In the energy field, you have the power to create synchronicity at any time. Feel the joy, surprise, and perfect fit of connecting with the very person who is part of igniting your desire.
Graham Greene, The Quiet American|Even though my reason wanted the state of death, I was afraid like a virgin of the act. I would have liked death to come with due warning, so that I could prepare myself. For what? I didn't know, nor how, except by taking a look at the little I will be leaving.
Chris Heimerdinger, Gadiantons and the Silver Sword|All creatures must learn that there exist predators. Without this knowing, a woman will be unable to negotiate safely within her own forest without being devoured. To understand the predator is to become a mature animal who is not vulnerable out of naivete, inexperience, or foolishness.
George Sheehan, George Sheehan on Running to Win: How to Achieve the Physical, Mental, and Spiritual Victories|Start slow, then taper off
Tahir Shah, In Arabian Nights: A Caravan of Moroccan Dreams|The forests were crippled, the wheat fields vanished; in place of the grass there reappeared stone and drifting sand. Men perished and moved on, the cities sank back into the sand, the dust settled over them. Thousands of years later Nordic dreamers dug up the petrified culture from the rubble and ashes. Today, the entire picture of the former paradise stands before our eyes as a spent dream which had once produced life, beauty and strength as long as a superior race ruled. It will live again and it will dream again. But as soon as races of a dreamless kind took over and attempted to realize the dream, reality vanished with the dream.
Debasish Mridha|It isn't important who is going to hurt me, but its important who is going to love me.
Patti Smith Just Kids|It was a grungy, dangerous, bankrupt city without normal services most of the time. The garbage piled up and stank during long strikes of the sanitation workers. A major blackout led to days and days of looting. We gay guys wore whistles around our necks so we could summon help from other gay men when we were attacked on the streets by gangs living in the projects between Greenwich Village and the West Side leather bars...The upside was that the city was inexpensive…
Donald Barthelme, Sixty Stories|Now, here is the point about the self: it is insatiable. It is always, always hankering. It is what you might call rapacious to a fault. The great flaming mouth to the thing is never in this world going to be stuff full.
Ian Leslie, Curious: The Desire to Know and Why Your Future Depends On It|We’re both made of stars, Jory Birch. Everybody is.
Eric Micha'el Leventhal|In every man, of course, a demon lies hidden-the demon of rage, the demon of lustful heat at the screams of the tortured victim, the demon of lawlessness let off the chain
Andre Gide|We are only beginning to learn what to say in a photograph. The world we live in is a succession of fleeting moments, any one of which might say something significant.
Warren G. Harding|I made a big mistake, and I didn’t use it to make my life better. I used it to be okay with a life less lived. I used it to be okay with mediocrity and the mundane. And I didn’t make myself any better because of it.And that’s not okay with me.
Faraaz Kazi|It’s just the love for her in my heart that is morphing into this madness and how can I run away from it? Sometimes I want to when I can’t bear it anymore, but where will I go?
Italo Calvino, If on a Winter's Night a Traveler|I am the man who comes and goes between the bar and the telephone booth. Or, rather:that man is called 'I' and you know nothing else about him, just as this station is called only 'station' and beyond it there exists nothing except the unanswered signal of a telephone ringing in a dark room of a distant city.
Lillian Gordy Carter|Global markets must be balanced by global values such as respect for human rights and international law, democracy, security and sustainable economic and environmental development.
Carl Sagan|If we know ourselves, and know our hearts, we're always home, anywhere.
Stephani Hecht North's Complications|Oh man, Alex. That's sad. Seriously, mate, go get yourself laid.""What?" He gave Baldrick a quick kiss on his little head--he didn't care how stupid he looked, he loved his ugly cat--and put him down on his kitty bed in the corner."Isn't that what single sad people do--get cats when they've given up on human companionship?
Ayn Rand, The Fountainhead|As a matter of fact, people erroneously think that life is about spending.
Lao Tzu, Tao Te Ching|Rushing into action, you fail.Trying to grasp things, you lose them.Forcing a project to completion,you ruin what was almost ripe.Therefore the Master takes actionby letting things take their course.He remains as calm at the end as at the beginning.He has nothing,thus has nothing to lose.What he desires is non-desire;what he learns is to unlearn.He simply reminds peopleof who they have always been.He cares about nothing but the Tao.Thus he can care for all things.
Imania Margria|Primo, si deve ricordare che il vostro sogno può essere realizzato con o senza che qualcuno di aiuto.Secondo, il miglior aiuto proviene dal vostro cuore e dalla vostra mente.(First, you must remember that your dreams can be realized with or without others' help.Second, the best help comes from your heart and mind.)
Mitch Albom, The First Phone Call from Heaven|Miracles prove nothing except to those whose faith is bought very cheap, sir.
Mark Helprin, Memoir from Antproof Case|When faced with something I fear, I tend to eat spaghetti.
Eileen Anglin|No matter how different you are, your idea is, your art, your writing, your product, your concept, show it to the world. Just do it. Show who you are to the world. This is what you are here to do.
Melody  Lee, Moon Gypsy|Dear Gris, if there's one thing I can't abide it's a bad poet.
Meg Rosoff, What I Was|I am almost a hundred years old; waiting for the end, and thinking about the beginning.There are things I need to tell you, but would you listen if I told you how quickly time passes?I know you are unable to imagine this.Nevertheless, I can tell you that you will awake someday to find that your life has rushed by at a speed at once impossible and cruel. The most intense moments will seem to have occurred only yesterday and nothing will have erased the pain and pleasure, the impossible intensity of love and its dog-leaping happiness, the bleak blackness of passions unrequited, or unexpressed, or unresolved.
Mark Schatzker, The Dorito Effect: The Surprising New Truth About Food and Flavor|I've never seen anyone get so excited by breakfast before.""Are you serious? It's the most important meal of the day. Sometimes, at bedtime, I plan what I'm going to make for breakfast and then get so excited I can't sleep.
Voltaire|The game jostled back and forth, and then came the final inning. Some player named Casey came to bat, like his teammates, looking like a rock. Lightning ripped through the air as rain came down in sheets. The scoreboard said the horses were beating the rocks by two points, but there were two men on base. If Casey hit a homerun, the rocks would beat the horses. If not, too bad for the rocks. This man, Ben, and the two people with him looked horrified as this Casey came to bat. They had red shirts with horses painted on them. They jumped up and down for joy when they saw the final pitch, and Casey sulking back to the dugout. He had struck out. After the game, the four hiked back to a very small car.
Celine Dion|The biggest surprise, which is also the best, is that I didn't know I would love motherhood as much as I do.
Debasish Mridha|By sharing, we express our gratitude for abundance and create emptiness for receiving.
