Marcia Lynn McClure, The Pirate Ruse|We should learn to smile as we fall, So much so as when we have it all.
Pablo Casals|When you put on clothes that are fighting against something, you can feel your courage grow. Clothing can set you free.
Tapan Singhel|Time. So much of our human experience is bound up in time, I muse. It reflects in our everyday colloquialisms, and drives so much of our activities. Yet this obsession with the passing of the hours is a relatively modern phenomenon; an inevitable product of the Industrial Revolution, and its fixation on efficiency. A new master exported by England across the globe, so that in the developed world at least everyone has one wrist on which is clamped the new and unforgiving shackle we call a watch. In less pressurised days, men observed the ageing of the universe through the more sedate changing of the seasons. But no more. Now the hour is king, or the minute and sometimes even the second. We are all people in a rush, where speed is of the essence, and slow is often deployed as a term of abuse.
Colleen Hoover, Ugly Love|But the second she opened her eyes and looked at me, I knew. She was either going to be the death of me . . . or she was going to be the one who finally brought me back to life.
Amelia Hutchins, A Demon's Dark Embrace|You should have been born a poet,” she whispered as she pulled away.“Screw that,” he laughed as he placed a gentle kiss to her forehead. “I’d rather be a porn star,” he said
Cornel West, Race Matters|But for a society built on exploitation, there is no greater threat than having no one left to oppress. And now, if nothing else is done, Syl Anagist must again find a way to fission its people into subgroupings and create reasons for conflict among them. There's not enough magic to be had just from plants and genegineered fauna; someone must suffer, if the rest are to enjoy luxury.
F. Scott Fitzgerald, This Side of Paradise|Three kinds of people get talked about: The fascinating, the freaks and the nefarious.
Manil Suri, The City of Devi|Since the future's so iffy, I'll turn my attention to the past.
Kōbō Abe, The Box Man|I want to spy on all sorts of places, and the box is a portable hole that occurred to me under the circumstances, it being impossible to punch holes throughout the world.
Jean Giraudoux|You are all the colours in one, at full brightness.
Chapman Cohen|This Land Is Protected By Million’s Blood Bath, If Needed, We’ll Fight Again By Sipping The Death Bowl....
Bryant McGill, Voice of Reason|Modern society, the political body, the legal and judiciary system, the state of governance, capitalism and the very fabric of the society itself, including our religions and so-called morals and values, are institutions steeped in traditions of absolute and total violence.
Augustus De Morgan|What kind of people?"The dead kind. The still-walking-around kind. The reeking, stinking, rotting-from-the-inside-out kind. Toothy and grinning, nasty with the dark and the dust of abandoned strip mines. But none of that was the whole truth. They were more than that. - page 135
Erin Hunter, The Last Hope|Without us, in other words, there can never be hope of a We.
Robert James Waller, The Bridges of Madison County|Sometime I'm going to do an essay called 'The Virtues of Amateurism' for all of those people who wish they earned their living in the arts. The market kills more artistic people than anything else. It's a world of safety out there, for most people. They want safety, the magazines and manufacturers give them safety, give them homogeneity, give them the familiar and comfortable, don't challenge them.
William S. Burroughs, Painting and Guns|The forest did not tolerate frailty of body or mind. Show your weakness, and it would consume you without hesitation.
Catherynne M. Valente, Deathless|It always turns out this way: at first people idolize you, swear to be your faithful friend forever and then spit in your tea and in your soul, too.
Julian Barnes, Levels of Life|From ashes I cameTo ashes, I'll return.But tonight I'm contentTo sit here and burn.
Emily Brontë, Poems by Currer, Ellis, and Acton Bell|And leaning on the windowsill to enjoy the day, gazing at the variegated mass of the whole city, just one thought fills my soul: that I profoundly wish to die, to cease, to see no more light shining on this city or any city, to think no more, to feel no more, to leave behind the march of time and the sun like a piece of wrapping paper, to remove like a heavy suit – next to the big bed – the involuntary effort of being.
Sadhguru, Inner Engineering: A Yogi's Guide to Joy|The Yogic system does not talk about God. It does not talk about the soul or heaven. Such talk invariably makes people hallucinatory. Yoga talks only about the barriers that you have set up, because this resistance is all that needs to be attended to. The creator is not looking for your attention. The ropes that bind you and the walls that block you- these are one hundred percent of your making. And these are all you need to unknot and dismantle. You have no work with existence. You only have work with the existence that you created.
Jeff Lindsay, Darkly Dreaming Dexter|In that tremendous flash of freedom, on my way to do The Thing for the first time, sanctioned by Almighty Harry, I receded, faded back into the scenery of my own dark self, whole the other me crouched and growled. I would do It at last, do what I had been created to do. And I did.
Harry S Truman|A people without the knowledge of their past history, origin and culture is like a tree without roots.
Emily Flake, Mama Tried: Dispatches from the Seamy Underbelly of Modern Parenting|He never cried, not even when his alarm went off. Swaddled in his Moses basket, wires trailing out the bottom, his monitor flashing green, green, green, his entire four-pound body motionless except his eyelids, it seemed he understood everything I was working so hard to understand: his mother's love, his brother's ceasless crying: he was alreday forgiving me my shortcomings as a father; he was a distillation of a dozen generations, all stripped into a single flame and stowed still-burning inside the this slip of his ribs. I'd hold him to the window and he's stare out into the night, blue tributaries of veins pulsing his neck, his big eyelids slipping down now and then, and it would feel as if tethers were falling away, and the two of us were gently rising, through the glass, through the trees, through the interweaving layers of atmosphere, into whatever was beyond the sky.
Jake Arrieta|After one Olympics, if we invest in sports and say we will get a gold medal in the next Olympic, it doesn't work like that in sports. How it works is that you provide the infrastructure, provide education about nutrition and health.
Kristine Kathryn Rusch|The only way to build a fan base is to have a lot of material out there for readers to find. You can't manufacture a fan base. You create it, one story at a time.
Deb Caletti, Stay|I've heard that people stand in bad situations because a relationship like that gets turned up by degrees. It is said that a frog will jump out of a pot of boiling water. Place him in a pot and turn it up a little at a time, and he will stay until he is boiled to death. Us frogs understand this.
K.M. Peyton, The Beethoven Medal|He considered for a moment, then started to play a piece that was very familiar to Ruth, although she had no idea what it was. It was lilting and wistful, and she could have sung the melody if she had wished.'Alright?' He raised his eyebrows inquiringly.'Yes. Exactly.'It was effortless and perfect, and he played it through to the end, closing with the softest and most delicate chords, which hung and faded in the quiet hall like the grains of dust raining through the evening light. Ruth was touched. It was all she had wanted. He did not move until there was complete silence again, then he closed the lid without saying anything, and stood up, shoving back the chair. ... 'What was that piece?''A Brahms waltz.''Hasn't it got a name?' she wanted it to remember.'Number fifteen. Opus thirty-nine.'It hadn't sounded like numbers to Ruth.
Daniel Kahneman, Thinking, Fast and Slow|The upbringing based on criticizing the wrong and rejecting it since childhood is considered to be one of the factors that support the ability to choose the right choice based on correct criteria and overall vision.As much as the sons and daughters practiced this criticism against the mistakes they see in the community as much they will feel more self strength, and will be more able to control their emotions as long as they are convinced with their opinions, which will free them from any feeling of lacking and will avoid them from standing in the position of defending their own beliefs, but vice versa it will give them the ability to express their opinions in the social events which will influence the others, and that is a result that both parents should care to achieve.
Arthur John Strutt|Here we are at last. The Italian proverb says “See Naples and die” but I say, see Naples and live; for there seems a great deal worth living for.
Julia Sorel|if youre never scared, or embarased, or hurt, it means you never take any chances.
Trishelle Cannatella|One of my favorite times of year is around Christmas when my entire family gets together and we make tamales together. It's a full two-day event, and we create an assembly line. It's awesome because everyone has his or her own part in making the dish. It's so much fun.
Dan Pearce, Single Dad Laughing|People who love themselves, don’t hurt other people. The more we hate ourselves, the more we want others to suffer.
Hunter Hayes|We're not that much smarter than we used to be, even though we have much more information - and that means the real skill now is learning how to pick out the useful information from all this noise.
Atul Gawande|History is moving the furniture around in the house of mankind just about everywhere but the U.S.A. Things have changed, except here, where people come and go through the rooms of state, and everything looks shabbier by the day, and lethargy eats away at the upholstery like an acid fog, and the walls reverberate with meaningless oratory.
Lissa Matthews, Simple Need|By morning you won't remember his name and you won't want to forget mine." -Vinter
Andrew Davidson, The Gargoyle|There is no logical reason to believe in God. There are emotional reasons, certainly, but I cannot have faith that nothing is something simply because it would be reassuring. I can no more believe in God than I can believe an invisible monkey lives in my ass; however, I would believe in both if they could be scientifically proven. 
Ted Rubin|ROR: Return on Relationship™, #RonR… simply put the value that is accrued by a person or brand due to nurturing a relationship. ROI is simple $’s and cents. ROR is the value (both perceived and real) that will accrue over time through connection, trust, loyalty, recommendations and sharing.
Ted Conover|...required for good fiction: character, conflict, change through time. And if you're really blessed, you get resolution. But life doesn't usually work out that way.
Frances McCall Rosenbluth, Japan Transformed: Political Change and Economic Restructuring|Once the state starts providing, it feels free to hand out the rules, too!" Larch blurted hastily. ..."In a better world..." she began patiently."No, not in a better world!" he cried. "In this one--in this world. I take this world as a given. Talk to me about this world!" ..."Oh, I can't always be right," Larch said tiredly."Yes, I know," Nurse Caroline said sympathetically. "It's because even a good man can't always be right that we need a society, that we need certain rules--call them priorities, if you prefer," she said. ...Always in the background of his mind, there was a newborn baby crying... And they were not crying to be born, he knew; they were crying because they were born.
John Steinbeck|As falsehood peels like paint, eternal truth is uncovered.
Eleni Zaude Gabre-Madhin|Dreaming of a tomorrow, which tomorrow, will be as distant then as 'tis today.
Taona Dumisani Chiveneko, Sprout of Disruption|Being a hangman requires you to take someone else’s life based on someone else’s judgment, and carry it out on someone else’s schedule. The job does not provide the same satisfaction that an ordinary murderer gets from smashing a skull. It robs them of the fulfillment of plunging a knife into someone’s throat. In the world of capital punishment, the prisoner’s crimes have been sanitized by years of sitting on death row. By then, the execution is a cold and impersonal affair. There is prayer, a noose, and a few last words. The prisoner then experiences a sudden rush of blood to the head. At the end of it all, you have a broken neck and a dead body swinging from the end of a rope. That is it. You don’t get to manhandle them with your own hands. That’s why the brutes you mention will never be hired. So you see, Vaida, this is not a job for a murderer. It is a job for a humanitarian.
Paul McGirl|F. Scott Fitzgerald believed inserting exclamation points was the literary equivalent of an author laughing at his own jokes, but that's not the case in the modern age; now, the exclamation point signifies creative confusion. All it illustrates is that even the writer can't tell if what they're creating is supposed to be meaningful, frivolous, or cruel. It's an attempt to insert humor where none exists, on the off chance that a potential reader will only be pleased if they suspect they're being entertained. Of course, the reader isn't really sure, either. They just want to know when they're supposed to pretend to be amused.
Luigi Pirandello, Six Characters in Search of an Author|For man never reasons so much and becomes so introspective as when he suffers ; since he is anxious to get at the cause of his sufferings, to learn who has produced them, and whether it is just or unjust that he should have to bear them. On the other hand, when he is happy, he takes his happiness as it comes and doesn't analyse it, just as if happiness were his right.
Shah Asad Rizvi|Dance as the narration of a magical story; that recites on lips, illuminates imaginations and embraces the most sacred depths of souls.
Yannick Noah|Fortune cookies are a good idea. If the message is positive, it can make your day a little better.
Aristotle|Political society exists for the sake of noble actions, and not of mere companionship.
Dick Gephardt|As far as those kinds of things, I also played at the concert to call for the release of Nelson Mandela when he was a political prisoner in South Africa. We were celebrating his 70th birthday and calling for his release.
Ron Paul|Mr. Speaker, I once again find myself compelled to vote against the annual budget resolution for a very simple reason: it makes government bigger.
Émile Zola, La Bête humaine|Working simultaneously, though seemingly without a conscience, was Dr. Ewen Cameron, whose base was a laboratory in Canada's McGill University, in Montreal. Since his death in 1967, the history of his work for both himself and the CIA has become known. He was interested in 'terminal' experiments and regularly received relatively small stipends (never more than $20,000) from the American CIA order to conduct his work. He explored electroshock in ways that offered such high risk of permanent brain damage that other researchers would not try them. He immersed subjects in sensory deprivation tanks for weeks at a time, though often claiming that they were immersed for only a matter of hours. He seemed to fancy himself a pure scientist, a man who would do anything to learn the outcome. The fact that some people died as a result of his research, while others went insane and still others, including the wife of a member of Canada's Parliament, had psychological problems for many years afterwards, was not a concern to the doctor or those who employed him. What mattered was that by the time Cheryl and Lynn Hersha were placed in the programme, the intelligence community had learned how to use electroshock techniques to control the mind. And so, like her sister, Lynn was strapped to a chair and wired for electric shock. The experience was different for Lynn, though the sexual component remained present to lesser degree...
Tim Walberg|There are three hundred and sixty-four days when you might get un-birthday presents, and only one for birthday presents, you know.
Bonnie Bassler|I know this is going to sound corny, but I love my life. I love my baby, so I love getting to wake up with him. And I have the most amazing job, with writing that any actor would love and costars who I can't wait to see on Monday mornings. And I love coming home to my husband.
Debasish Mridha|To change yourself, never forget to challenge yourself.
Mae West|Friends are generally of the same sex, for when men and women agree, it is only in the conclusions; their reasons are always different.
Frederick Douglass, Narrative of the Life of Frederick Douglass|He slid his hands to the back of her neck, fumbling for the necklace’s clasp. He undid it and held the chain of rubies up, red and gold in the flickering candlelight. “No shackles for us,” he said, “no matter how rich.
Joe Hill, The Fireman|While keeping an open mind, beware, politicians will gladly fill it with garbage.
Gudjon Bergmann|Jacob offered Ann pot, this time from a bowl. She shook her head no.“You gotta keep doing it and eventually it will start to feel good, and your body will adapt,” he encouraged. It was the same thing her mom’s yoga instructor had said to her once and her answer was the same both times.
Nancy Pelosi|Acting was important, but it was not as important as getting an education, and I credit my parents with a lot of that.
John     Mason, A Brief History of the Pequot War|But GOD was above them, who laughed his Enemies and the Enemies of his People to Scorn, making them as a fiery Oven: Thus were the Stout Hearted spoiled, having slept their last Sleep, and none of their Men could find their Hands: Thus did the LORD judge among the Heathen, filling the Place with dead Bodies!
Patrick Ness|It is not for nothing that an ominous feeling often attaches itself to a procession. In films and stories we see spectacles forming in the street and parades coming from around the corner, and we know to greet then with distrust and apprehension: their intent is still to be revealed.
J.A. Redmerski|Live like the season is ending and the birds are leaving, fight against the winds of the fall like the last leave.
Dyls Downs|We took a bowl each and started eating. He went back into the little room, and by the time he returned to the table with his own bowl of food to eat with us, we had already finished. He was shocked and looked around to see if we had done something else with the food.
James Wolfe|To burn always with this hard, gem-like flame, to maintain this ecstasy, is success in life.
Alan Moore, V for Vendetta|It is the business of the very few to be independent; it is a privilege of the strong. And whoever attempts it, even with the best right, but without being OBLIGED to do so, proves that he is probably not only strong, but also daring beyond measure. He enters into a labyrinth, he multiplies a thousandfold the dangers which life in itself already brings with it; not the least of which is that no one can see how and where he loses his way, becomes isolated, and is torn piecemeal by some minotaur of conscience. Supposing such a one comes to grief, it is so far from the comprehension of men that they neither feel it, nor sympathize with it. And he cannot any longer go back! He cannot even go back again to the sympathy of men!
Bastille Pompeii|It was those eyes as much as anything that had earned him his reputation as a man to be reckoned with. When he stared at a person, clear and unwavering, men grew uncomfortable. Women positively shivered.
Comte de Lautréamont, Maldoror and Poems|If that other fellow doesn't know his happiness, well, he'd better look for it soon, or he'll have to deal with me.
Abhijit Naskar, Illusion of Religion: A Treatise on Religious Fundamentalism|Be skeptic, be doubtful, be rebellious towards every single dogma of the society. Only then there will be hope of progress for humanity.
H.P. Lovecraft|Trees are the earth's example of beauty, duty, wisdom and happiness.
Frances Farmer, Will There Really Be a Morning?|Psychiatrists look for twisted molecules and defective genes as the causes of schizophrenia, because schizophrenia is the name of a disease. If Christianity or Communism were called diseases, would they then look for the chemical and genetic “causes” of these “conditions”?
Jerzy Kosinski|I realize that protest paintings are not exactly in vogue, but I've done many.
Timothy Noah|Practically every technology that is ever invented is touted as being the new savior, the thing that will bring peace and goodwill to the earth, but immediately it falls into other hands who see it as the opportunity to promote the very opposite.
Gail Hayes|If you don't know who you are, you will never know what belongs to you!
Nitesh Nishad|Be still and calm, don't fear your past but use it for our future..!
Fisher Amelie, Greed|I followed suit, a little bit nervous, and very unaware of what I was supposed to do. I had that same sensation you get when you were new to a school and had no idea who anyone was in your lunch period. You’d take your lunch tray and sort of stand around for a moment looking for a good spot to take a seat but the entire time you’re searching, all you can feel is everyone’s eyes on you. That’s a shitty feeling.
Gabrielle Zevin, Memoirs of a Teenage Amnesiac|Joel, lad, school is about learning to learn. If you don't practice studying things you don't like, then you'll have a very hard time in life.
Joan Aiken, The Stolen Lake|The Auditors fluttered anxiously. And, as always happens in their species when something goes radically wrong and needs fixing instantly, they settled down to try to work how who was to blame.
Laini Taylor, Strange the Dreamer|And that's how you go on. You lay laughter over the dark parts. The more dark parts, the more you have to laugh. With defiance, with abandon, with hysteria, any way you can.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|Do not get down on your knees to pray just to show God that you always remember him. Instead stay on your feet, and always do as he would do in place of him.
Terry Pratchett|Sanity for anyone is pretty much out of the question, as both the saint and the sinner appear only equally insane: the saint appears it for actually believing in a place of eternal torment; the sinner, for deciding to risk going to that place of eternal torment.
Melissa McCarthy|Growing up, I was never the kind of girl to dream about wedding dresses and pretty houses.
A. J. P. Taylor|The surrealists, and the modern movement in painting as a whole, seemed to offer a key to the strange postwar world with its threat of nuclear war. The dislocations and ambiguities, in cubism and abstract art as well as the surrealists, reminded me of my childhood in Shanghai.
Carrie Fisher, Postcards from the Edge|It must be wonderful to be seventeen, and to know everything.
Mitch McConnell|I watch 'Morning Joe' occasionally. I used to watch a lot more than I do now, but I watched it, and all of a sudden, there was this love fest, for crying out loud - this inexplicable love fest one morning - for The Donald.
Chris Rock|My mom grew up in poverty in Oklahoma - like Dust Bowl, nine people in one room kind of place - and the way she got out of poverty was through education. My dad grew up without a dad, with very little and he also made his way out through education.
Cai Guo-Qiang|Those who are devoted to amusements; who love the society of those who love pleasure, have an aversion to religious exercises.
E. M. Forster|Freedom of expression is the matrix, the indispensable condition, of nearly every other form of freedom.
Jack Kerouac, The Dharma Bums|Aw I don't wanta go to no such thing, I just wanta drink in alleys.'...But you'll miss all that, just for some old wine.'There's wisdom in wine, goddam it!' I yelled. 'Have a shot!
Rebecca Solnit, Men Explain Things to Me|Of course, women are capable of all sorts of major unpleasantness, and there are violent crimes by women, but the so-called war of the sexes is extraordinarily lopsided when it comes to actual violence. Unlike the last (male) head of the International Monetary Fund, the current (female) head is not going to assault an employee at a luxury hotel; top-ranking female officers in the US military, unlike their male counterparts, are not accused of any sexual assaults; and young female athletes, unlike those male football players in Steubenville, aren't likely to urinate on unconscious boys, let alone violate them and boast about it in YouTube videos and Twitter feeds. No female bus riders in India have ganged up to sexually assault a man so badly he dies of his injuries, nor are marauding packs of women terrorizing men in Cairo's Tahrir Square, and there's no maternal equivalent to the 11 percent of rapes that are by fathers or stepfathers.
Aldo Leopold|It seemed strange to Kellan that the more people were crowded together, the less they were willing to acknowledge it; their interaction became a thing of unwelcome necessity and their gaze turned ever inward.
F. Scott Fitzgerald|His eagerness had turned into a routine; he embraced her at the same time every day. It was a habit like any other, a favourite pudding after the monotony of dinner.
Lailah Gifty Akita, Think Great: Be Great!|My body, my soul and my mind, simultaneously response to good music.
Chuck Wendig, Aftermath: Life Debt|All hail the light, the dark, and the grey.
Greg LeMond|I'm tired of hearing about money, money, money, money, money. I just want to play the game, drink Pepsi, wear Reebok.
Erin Merryn, Living for Today: From Incest and Molestation to Fearlessness and Forgiveness|In all the interviews I have done, I cannot remember one offender who did not admit privately to more victims than those for whom he had been caught. On the contrary, most offenders had been charged with and/or convicted of from one to three victims. In the interviews I have done, they have admitted to roughly 10 to 1,250 victims. What was truly frightening was that all the offenders had been reported before by children, and the reports had been ignored.
Euripides, Suppliant Women|Again, where the people are absolute rulers of the land, they rejoice in having the openness and exuberance of youth, while a tyrant counts this a danger, and seeks to slay or silence those possessed of spirit, while the discreet fear his power and violence.
Giorge Leedy, Uninhibited From Lust To Love|MISERABLERelease the toxic and infectious-Spreaders of misery,Souls destroying souls-And poisonous liars.Awaken from the hallucinations-And take back your heart.Reclaim your self-esteem-And leave the toxic be.
Craig Wright, The Pavilion - Acting Edition|At every single moment, the whole creation is beginning again, stretching the tent of the present moment to bursting. And the waves that push up through the oceans, and the waves that push up through the stars; and the waves that push upwards through history are the same waves that push up through us. And so we have to say yes to time, even though it means speeding forward into memory; forgetfulness; and oblivion. Say “no” to time; hold on to what you were or what she was; hold onto the past, even out of love... and I swear it will tear you to shreds. This universe will tear you to shreds.
Jennifer Melzer, Beauty and Other Dangerous Things|Beauty doesn't die with the beholder; it moves on. Hiding in the shadows, afraid of the light, she flees to find another host, possessing the body like a demon in need of exorcising.
Alexis de Tocqueville, Democracy in America|Well, whose opinion did you take?”“I don’t ask for opinions.”“What do you go by?”“Judgment.”“Well, whose judgment did you take?”“Mine.”“But whom did you consult about it?”“Nobody.
Cassandra Clare, City of Lost Souls|Pity.""You're serious? You just met me.""And already I have a strong urge to devour you.
Faisal Khosa|Maybe I have said it, maybe I haven't chess isn't about math, it's about strategy. If you know math this doesn't make you good in chess, you must have strategy to win.
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|Have you decided to simply smile and nod to avoid a confrontation with someone who was being a jerk? Have you ever feigned agreement with your face to get along with others, even when you disagreed with their position? We all have. Your expressions of emotion can protect you at times in awkward situations, and when used with integrity. Test the waters by responding with an expression of curiosity or bewilderment when someone is acting inappropriately.
Cassandra Clare, Clockwork Princess|Well, I learned to cook. At my age," she told him. "What's next? Art therapy? Anyway, I've had quite a time of it this summer, and who knows what eases down on any road. Come, Rain. A quick goodbye, and off you go." "Goodbye," said Rain to the Lion, and then to the woman. "Not to them," said Glinda, "To me."She turned eyes that were saucerly upon Glinda. "Mum?
Robyn Schneider, The Beginning of Everything|The world tends toward chaos, you know," Cassidy said. You could too. Just write down a made up name, or even a fictional character. And the next person who finds this geocache, it's as though things really hapened that way. You have to at least allow for the possibility of it.
Andrea Gibson|Autumn is the hardest season. The leaves are all falling, and they're falling likethey're falling in love with the ground.
William Tecumseh Sherman|I come from - I came from Wales, and it's a strong, butch society. We were in the war and all that. People didn't waste time feeling sorry for themselves. You had to get on with it. So my credo is get on with it. I don't waste time being soft. I'm not cold, but I don't like being, wasting my time with - life's too short.
Krista Tippett, Becoming Wise: An Inquiry into the Mystery and Art of Living|John Lewis said, "You have to be taught the way of peace, the way of love, the way of nonviolence. In the religious sense, in the moral sense, you can say that in the bosom of every human being, there is a spark of the divine. So you don’t have a right as a human to abuse that spark of the divine in your fellow human being. From time to time, we would discuss that, if you have someone attacking you, beating you, spitting on you, you have to think of that person. Years ago that person was an innocent child, an innocent little baby. What happened? Did something go wrong? Did someone teach that person to hate, to abuse others? You try to appeal to the goodness of every human being and you don’t give up. You never give up on anyone.
Ben-Hur: A Tale of the Christ|Great leadership is not about giving orders, it's about taking others
Carl Levin|We live less and less, and we learn more and more. Sensibility is surrendering to intelligence.
Christian Louboutin|Many scientists think that philosophy has no place, so for me it's a sad time because the role of reflection, contemplation, meditation, self inquiry, insight, intuition, imagination, creativity, free will, is in a way not given any importance, which is the domain of philosophers.
Henri Matisse|God, what a ghastly enterprise to be in, though--and what an odd way to achieve success. I'm an exhibitionist who wants to hide, but is unsuccessful at hiding; therefore, somehow I succeed.
Matthew Quick, Forgive Me, Leonard Peacock|There's a lot for you to live for. Good things are definitely in your future, Leonard. I'm sure of it. You have no idea how many interesting people you'll meet after high school's over. Your life partner, your best friend, the most wonderful person you'll ever know is sitting in some high school right now waiting to graduate and walk into your life - maybe even feeling all the same things you are, maybe even wondering about you, hoping that you're strong enough to make it to the future where you'll meet.
Lee Monroe, Dark Heart Forever|Our hearts are bound together,' he said, 'and I am free to decide who I love. And what I want. Nothing - not the pressure of my family, or what anyone else thinks - matters.
Stephanie Laurens, The Edge of Desire|My heart only ever had one thought, one want. One need. Despite all, in spite of all...All my heart has ever wanted is you.
Emlyn Chand, Farsighted|There are two types of visions. Those that will happen no matter what, and those that can be stopped. Now more than ever, I wish I could tell them apart.
Hilary Mantel, A Place of Greater Safety|It’s certainly TOUGH being AWESOME all the time, but I do it so the kids have someone to look up to!
Pearl Zhu, 100 Creativity Ingredients: Everyone’s Playbook to Unlock Creativity|Innovation is about moving forward. If you are not moving forward, you are moving backward. There is no standing still.
Nelly Furtado|Talent works, genius creates.
Criss Jami, Salomé: In Every Inch In Every Mile|Self-righteousness is much like a spiritual egocentricity. It constitutes a secular type of love that thrives under conditionality, one in which is only existent after an individual meets the adopted standards of the condemner; oppositely, unconditional love is a holy love.
J.G. Ballard, Millennium People|The Constitution, the National Assembly, the dynastic parties, the blue and the red republicans, the heroes of Africa, the thunder from the platform, the sheet lightning of the daily press, the entire literature, the political names and the intellectual reputations, the civil law and penal code, the liberté, égalité, fraternité and the second of May 1852—all have vanished like a phantasmagoria before the spell of a man whom even his enemies do not make out to be a magician. Universal suffrage seems to have survived only for a moment, in order that with its own hand it may make its last will and testament before the eyes of all the world and declare in the name of the people itself: Everything that exists has this much worth, that it will perish.
Sylvia Plath, Johnny Panic and the Bible of Dreams: Short Stories, Prose and Diary Excerpts|So many people are shut up tight inside themselves like boxes, yet they would open up, unfolding quite wonderfully, if only you were interested in 
Krishna Udayasankar, Kurukshetra|I am death; I am this blood, these ravaged lands, and this wanton destruction. – Panchali Draupadi
Willa Cather, My Ántonia|The so-called poet with his vague dreams and ideals is indeed no better than a harmless lunatic; the true poet is the worker, who grips life's throat and wrings out its secret, who selects austerely and composes concisely, whose work is as true and clean as razor-steel, albeit its sweep is vaster and swifter than the sun's!
Brian Eno|Doctors, dressed up in one professional costume or another, have been in busy practice since the earliest records of every culture on earth. It is hard to think of a more dependable or enduring occupation, harder still to imagine any future events leading to its extinction.
Josh Alan Friedman, Black Cracker|At best, the natural good-nature is edged with complaint or has changed into sullenness and gloom. And now and then it blazes forth in veiled but hot anger.
Jiddu Krishnamurti, Freedom from the Known|Seeing everything that goes on in your daily life, your daily activities - when you pick up a pen, when you talk, when you go out for a drive or when you are walking alone in the woods - can you with one breath, with one look, know yourself very simply as you are? When you know yourself as you are, then you understand the whole structure of man's endeavour, his deceptions, his hypocrisies, his search. To do this you must be tremendously honest with yourself throughout your being.
Carey Digsby|Anything that you truly believe inAny dream or goal you haveAny project you are a part of It’s going to take workIt’s going to need effortNothing comes easy or drops out the skyFor you to appreciate it, you’ve got to be in it 100%
Jed McKenna|If Enlightenment was the salad, Entanglement is the soup
Krystal Shannan, A Very Russian Christmas|Well, with that filly in my line of vision blushing like a virgin, something in me was bound to stand at attention. And my walking legs were occupied.
Sarah J. Maas, Queen of Shadows|Aelin took a step forward. One step, as if in a daze.She loosed a shuddering breath, and a small, whimpering noise came out of her - a sob. And then she was sprinting down the alley, flying as though the winds themselves pushed at her heels.She flung herself on the male, crashing into him hard enough that anyone else might have gone rocking back into the stone wall. But the male grabbed her to him, his massive arms wrapping around her tightly and lifting her up. Nesryn made to approach, but Aedion stopped her with a hand on her arm.Aelin was laughing as she cried, and the male was just holding her, his hooded head buried in her neck. As if he were breathing her in."Who is that?" Nesryn asked.Aedion smiled. "Rowan.
Michael Duncan|If history is written by the victorious, what if the victors lied?
Dada Bhagwan|If one knows how to ‘digest’ an insult after attaining Self-realization, he will become a ‘Gnani’ [the enlightened one]. And if he ‘digests’ an insult before attaining Self-realization, he will become shameless (impudent).
David H. Murdock|The more colorful the food, the better. I try to add color to my diet, which means vegetables and fruits.
Zenfex|The mind is matter in and of itself, but I don't mind, and it doesn't matter.
Catherynne M. Valente, Radiance|Writing is new, relatively speaking. Story telling is ancient. Tell your story first putting aside all other worries. Leave fretting over homonyms, semicolons, and Oxford commas to editors and friends you can be bribe with baking.
Julie Kagawa, Soldier|When Morrigan and Brighid created Aerric, he had no need for emotions, he only needed to be a great warrior, and for thousands of years he was just that… the perfect killing machine.
Sunday Adelaja, The Mountain of Ignorance|Where the spirit of godliness is, where there are godly principles in action, where there is justice and peace, there will surely be prosperity.
Alexandra Kleeman, You Too Can Have a Body Like Mine|I do believe that people can only be in love with one landscape in their lifetime. One can appreciate and enjoy many geographies, but there is only one that one feels in one’s bones.
Renee Ahdieh, The Wrath and the Dawn|Games? War is not a game, my friend. Games are for small children and old men like me. War is a young man's blighted delight
Shaun David Hutchinson, We Are the Ants|Each petal in the universe whispers in our ears that an unknown power is at work. If we align ourselves with this divine energy, offer our work to Him and move on in life, we will never have any worries and anxieties in our life.
Erich Fromm, Escape from Freedom|The more man gains freedom in the sense of emerging from the original oneness with man and nature and the more he becomes an 'individual,' he has no choice but to unite himself with the world in the spontaneity of love and productive work or else to seek a kind of security by such ties with the world that destroys his freedom and the integrity of his individual self.
J. Tonzelli, The End of Summer: Thirteen Tales of Halloween|We're supposed to love flowers, yet we rip them from their homes, and give them to people who don't love us."-Toril Withers (Dark Winter).
Kevin Bacon|One of the top comments I get from people is, 'Oh my God, you're like a regular person!' That's kind of a bizarre thing to live with. I know a lot of famous people, and their lives may not be regular, but they are regular people.
Ian Lustick|I stay in Jersey - it's home, man. It's home. And I think that's the foundation of the true strength of the communities where we live in America.
Ruth Ahmed, When Ali Met Honour|After reading the Qur'an, I realized that I couldn't possibly endorse Islam as a religion, as a philosophy, as a moral standard, as an ethical code, or even as useful fiction. I determined that these philosophies and this image of Allah could only come from an extremely warped and disturbed person who suffered from an aggregation of the most severe and profound human weaknesses.
Craig Groeschel, Weird: Because Normal Isn't Working|He sat there looking at her smiling and laughing, watching her hair fall over her eyes and she setting it back behind her ear. He turned away bowed his head down and smiled himself looking back at the sky.
