Michael Faudet, Dirty Pretty Things|Unbutton, unzip, unclip, untie, undo, undress.”“Understood,” she replied.
Salma Hayek|Women must pay for everything. They do get more glory than men for comparable feats, but, they also get more notoriety when they crash.
Philip Roth, American Pastoral|I learned a strange thing... that in a jumble of unintelligible talk, the word "nigger" leaps out with electric clarity. You always hear it and it always stings. And always it casts the person using it into a category of brute ignorance. I thought with some amusement that if these two women only knew what they were revealing about themselves to every Negro on that bus, they would have been outraged.
Robert A. Heinlein, Stranger in a Strange Land|Customs, morals--is there a difference?
Salman Rushdie|Free societies...are societies in motion, and with motion comes tension, dissent, friction. Free people strike sparks, and those sparks are the best evidence of freedom's existence.
Patrick deWitt|'Commercial' is not the word that has to be said only by CEOs. It has to be something that is maybe the essence of design, because design has some sort of art in it and creation, but it's also some object that you have to use. There is also this pragmatic end to it.
Sammy Davis, Jr.|To be successful you have to be lucky, or a little mad, or very talented, or find yourself in a rapid growth field.
Natalia Sanmartín Fenollera|I scrutinized his face for honesty and then looked away. He was either a lunatic, a really good liar, or he was actually telling the truth.
Dave Obey|'Everything To Me' is about everything that's important. It's about my wife, my kids, it's about life, about being happy. It's about life in general, you know, about not knowing what's going to be around the corner, but you've got to enjoy it and enjoy the things you have. My wife, my kids, my health, and stuff like that.
Tim O'Brien, The Things They Carried|One thing you have to realize from now on is that it doesn't matter if this is a dream or not. Survival depends on what you do, not what you think.
Khaled Hosseini, The Kite Runner|When she quieted the jet engine buzz of worries assaulting her brain, when she stopped thinking altogether and just felt, she knew this was right. Feeling the silence of peace and conviction was so foreign to her she wasn't even sure what to do with it.
Alan Moore|I am thrilled to write 'The Treasure Chest,' and to bring to life not only the childhoods of famous people from history, but also the characters of Maisie and Felix, who I hope you will fall in love with just as I have!
Elizabeth Gilbert, Big Magic: Creative Living Beyond Fear|And since creativity is still the most effective way for me to access wonder, I choose it. I choose to block out all the external (and internal) noise and distractions, and to come home again and again to creativity. Because without that source of wonder, I know that I am doomed. Without it, I will forever wander the world in a state of bottomless dissatisfaction—nothing but a howling ghost, trapped in a body made of slowly deteriorating meat
Steve Maraboli|Through the twist and turns of life, I find myself so grateful for my friends. Even though sometimes the days can seem so dark, and my heart can feel so hurt, I am never alone; my friends are beside me.
Frank O'Hara| Andalways embrace things, people earthsky stars, as I do, freely and withthe appropriate sense of space. 
Idries Shah, The Sufis|The totality of life cannot be understood, so runs Sufi teaching, if it is studied only through the methods which we use in everyday living.
Edith Wharton|A sense of having been decoyed by some world-old conspiracy into this bondage of body and soul filled her with despair. If marriage was the slow life-long acquittal of a debt contracted in ignorance, then marriage was a crime against human nature.
Toba Beta, Master of Stupidity|Smartass Disciple: Master, I want to be the better me by forgetting my past.Master of Stupidity: If you just forget it, how would you measure you're better?
Brad Pitt|My dad would always say, 'What can you do to make the world a better place?' Well, I can make people laugh.
gracetamio|.."I let people walk away, the one who loved me, the one who cares for me, I push them to their limits but the saddest part is...I felt nothing, too much pain makes me numb..
Lucy Punch|Ask any teenage girl to describe her perfect bedroom, and you'll get answers like 'a room with a private phone line, a place to hang out with friends, and for it to be way-cool and funky.' Ask parents the same question, and 'a locked door that opens on their 21st birthday' might top the list!
Matshona Dhliwayo|Love is fierce like a lion; once it has entered the heart, it is in vain to resist.
Bhagat Negi|When possible, the brain makes a behavior into a habit, which saves effort and therefore gives us more capacity to deal with complex, novel, or urgent matters.
Kelly R. Michaels, Prince of the Vale|What about the other girl with you—Forra? Why is she with you?”“I saved her from execution. She is very vocal about her dislike of the king.”“Then why did you save her?” Garvanna asked.Caelfel's expression hardened. “Because the king is wrong, and she is right. King Orrik wouldn’t even save his own son.
Zia Haider Rahman|Is it not possible — I often wonder — that thingswe have felt with great intensity have anexperience independent of our minds; are in factstill in existence? And if so, will it not be possible,in time, that some device will be invented by whichwe can tap them? … Instead of remembering herea scene and there a sound, I shall fit a plug into thewall; and listen in to the past
Ingmar Heytze|Ik vind het doodzonde van mijn tijd om me te verdiepen in de organische geesteswoekeringen van een dichter die me niets beters te melden heeft dan het niets, de leegte, het onverstaanbare. Het onverstaanbare heb ik thuis ook, als ik door de WC-deur heen probeer te praten met mijn vriendin. Het onzegbare, dat roeren wij thuis door de muesli. Ik wil poëzie die me meeneemt naar een wereld die ik nog niet ken, naar een inzicht dat ik nog niet had, naar een uitzicht dat ik nergens anders had kunnen vinden. Ik wil een gedicht dat zo goed is, dat ik bijna vergeet dat het, zoals elk gedicht, een taalbouwsel is – een volmaakt bedrieglijke travestie waar het grote niets doorheen schijnt, een van zijn eigen leugenachtigheid getuigende leugen van inkt. Ik wil een gedicht als een huis, dat me op één steen na laat geloven dat ik er werkelijk in zou kunnen wonen.
Sufian Chaudhary, World of Archangels|I feel so trapped, by my ego.
Doug   Cooper, Outside In|Aunts offer kids an opportunity to try out ideas that don't chime with their parents and they also demonstrate that people can get on, love each other and live together without necessarily being carbon copies.
Christina Romer|I do not think it is an exaggeration to say history is largely a history of inflation, usually inflations engineered by governments for the gain of governments.
Kim Stanley Robinson, Icehenge|And in this curious state I had the realization, at the moment of seeing that stranger there, that I was a person like everybody else. That I was known by my actions and words, that my internal universe was unavailable for inspection by others. They didn't know. They didn't know, because I never told them.
Charles de Secondat|9/11 was a deliberate, carefully planned evil act of the long-waged war on the West by Koran-inspired soldiers of Allah around the world. They hated us before George W. Bush was in office. They hated us before Israel existed. And the avengers of the religion of perpetual outrage will keep hating us.
Erik Pevernagie|If differences can be hidden, perhaps there aren't differences at all
Astro|Unfortunately, we are living in an era where plenty of songs with vulgar, objectionable lyrics are also becoming popular. It's a disturbing trend, and I feel really sad when I see small kids dancing to such numbers in television shows. In my career so far, I have refused any song whose lyrics I haven't been comfortable with.
Tomie dePaola|Reading a book, for me at least, is like traveling in someone else's world. If it's a good book, then you feel comfortable and yet anxious to see what's going to happen to you there, what'll be around the next corner. But if it's a lousy book, then it's like going through Secaucus, New Jersey -- it smells and you wish you weren't there, but since you've started the trip, you roll up the windows and breathe through your mouth until you're done.
Michel Houellebecq, The Elementary Particles|People often say that the English are very cold fish, very reserved, that they have a way of looking at things – even tragedy – with a sense of irony. There’s some truth in it; it’s pretty stupid of them, though. Humor won’t save you; it doesn’t really do anything at all. You can look at life ironically for years, maybe decades; there are people who seem to go through most of their lives seeing the funny side, but in the end, life always breaks your heart. Doesn’t matter how brave you are, how reserved, or how much you’ve developed a sense of humor, you still end up with your heart broken. That’s when you stop laughing. In the end there’s just the cold, the silence and the loneliness. In the end, there’s only death.
Robert Penn Warren, Wilderness: A Tale Of The Civil War|He thought of night coming on. He thought of the loneliness of tonight, this first night in the ground. This, he thought, was the moment when the dead must first feel truly alone. This was the moment when the dead, in loneliness, feel the first stirrings of the long penance of decay. This was the moment when the dead realize the truth: This is it, it will never be different.To be dead, he thought, that was to know that nothing would ever be different.
Steven Cuoco|Once you replace negative thoughts with positive ones, you'll start having positive results.
William Hazlitt|Some sleepers have intelligent faces even in sleep, while other faces, even intelligent ones, become very stupid in sleep and therefore ridiculous. I don't know what makes that happen; I only want to say that a laughing man, like a sleeping one, most often knows nothing about his face. A great many people don't know how to laugh at all. However, there's nothing to know here: it's a gift, and it can't be fabricated. It can only be fabricated by re-educating oneself, developing oneself for the better, and overcoming the bad instincts of one's character; then the laughter of such a person might quite possibly change for the better. A man can give himself away completely by his laughter, so that you suddenly learn all of his innermost secrets. Even indisputably intelligent laughter is sometimes repulsive. Laughter calls first of all for sincerity, and where does one find sincerity? Laughter calls for lack of spite, but people most often laugh spitefully. Sincere and unspiteful laughter is mirth. A man's mirth is a feature that gives away the whole man, from head to foot. Someone's character won't be cracked for a long time, then the man bursts out laughing somehow quite sincerely, and his whole character suddenly opens up as if on the flat of your hand. Only a man of the loftiest and happiest development knows how to be mirthful infectiously, that is, irresistibly and goodheartedly. I'm not speaking of his mental development, but of his character, of the whole man. And so, if you want to discern a man and know his soul, you must look, not at how he keeps silent, or how he speaks, or how he weeps, or even how he is stirred by the noblest ideas, but you had better look at him when he laughs. If a man has a good laugh, it means he's a good man. Note at the same time all the nuances: for instance, a man's laughter must in no case seem stupid to you, however merry and simplehearted it may be. The moment you notice the slightest trace of stupidity in someone's laughter, it undoubtedly means that the man is of limited intelligence, though he may do nothing but pour out ideas. Or if his laughter isn't stupid, but the man himself, when he laughs, for some reason suddenly seems ridiculous to you, even just slightly—know, then, that the man has no real sense of dignity, not fully in any case. Or finally, if his laughter is infectious, but for some reason still seems banal to you, know, then, that the man's nature is on the banal side as well, and all the noble and lofty that you noticed in him before is either deliberately affected or unconsciously borrowed, and later on the man is certain to change for the worse, to take up what's 'useful' and throw his noble ideas away without regret, as the errors and infatuations of youth.
Candace Bushnell, Lipstick Jungle|it's telling yourself that you want the things that society tells you you should want. women thikn that survival depends on conformity. but for some women, conformity is death. it's a death to the soul. the soul, "she said, "is a precious thing. when you live a lie, you damage the soul.
Mark A. Rayner, The Fridgularity|But the more I think about it, the more I think PC words are a crock of shit. If I want to describe something using a stupid word, I should.
Debasish Mridha|Whatever you can dream and believe, you can achieve.
C.S. Woolley|If you want a language to survive, capture great thoughts within it. William Shakespeare has ensured Elizabethan English will never perish from this world.
Alison Weir, Innocent Traitor|If only they would all just leave me alone with my books and my letters, I would be content to let life, and the world pass me by
Ann Voskamp, One Thousand Gifts: A Dare to Live Fully Right Where You Are|How my eyes see, perspective, is my key to enter into His gates. I can only do so with thanksgiving. If my inner eye has God seeping up through all things, then can't I give thanks for anything? And if I can give thanks for the good things, the hard things, the absolute everything, I can enter the gates to glory. Living in His presence is fullness of joy- and seeing shows the way in.
Ron Baratono, The Writings of Ron Baratono|You’re not going to always hit a home run in life. You’re going to strike out! You’re going to walk to the dugout of life, frustrated, while spectators chirp your name in judgment. They’re afraid to even get on the field, and you know it. The fact that you get back up there, unafraid, going after that next home run, makes you the person you are.
Leo Tolstoy, Anna Karenina|Apparently, the easiest way to overcome any awkwardness of speaking about sex is to sterilize it and outsource it to the professionals.
Abdulazeez Henry Musa|In a business world, only the smartest survive”.
David Almond, Jackdaw Summer|I don’t want to be little again. But at the same time I do. I want to be me like I was then, and me as I am now, and me like I’ll be in the future. I want to be me and nothing but me. I want to be crazy as the moon, wild as the wind and still as the earth. I want to be every single thing it’s possible to be. I’m growing and I don’t know how to grow. I’m living but I haven’t started living yet. Sometimes I simply disappear from myself. Sometimes it’s like I’m not here in the world at all and I simply don’t exist. Sometimes I can hardly think. My head just drifts, and the visions that come seem so vivid.
Robin McKinley, Deerskin|Guilt -- if there was any guilt -- spread out and diffused itself over everybody and everything. . . . Perhaps at some point in time, at some spot in the world, a moment of responsibility existed.
Kare Anderson, Mutuality Matters How You Can Create More Opportunity, Adventure & Friendship With Others|Quiet the chattering mind promotes directed action. We can't know which interactions will deepen into richer relationships, yet we can keep the faith that our mutuality mindset affirms them. Mutuality most demonstrates our humanity and, in the end, that may be what most matters in our lives.
Bauvard, I Had a Dream About You|I had a dream about you. We couldn't decide on a sunrise. You wanted a tan, I only cared about the view. Then World War III fulfilled both our desires.
Julius Erving|Luckily, I was raised by a kind of gypsy family, which is why I always get along better with people who worked in circuses than with kids of other actors. My mom was so carefree with us in a beautiful way. We were used to sleeping anywhere.
Nina Lugovskaya, I Want To Live: The Diary of a Young Girl in Stalin's Russia|Now I understand why women want to have children - it's simply the urge to create happiness for yourself, somehow to fill the oppressive, unbearable emptiness in your soul.
Bernard Kelvin Clive, The No Nonsense Guide to Personal Branding for Career Success|Personal Branding is the combination of one’s skills and talents to produce value for people that creates an impression, a perception and reputation in the mind of others
Jacqueline Carey, Kushiel's Chosen|And having once chosen, never to seek to return to the crossroads of that decision-for even if one chooses wrongly, the choice cannot be unmade.
Abdul'Rauf Hashmi|Ritual may be vital to reaction, but it is also the life blood of revolution.
Jellis Vaes|It’s true that no one ever said life would be easy, but it’s also true that no ever said you had to do it alone.
Zadie Smith, On Beauty|O youth! The strength of it, the faith of it, the imagination of it! To me she was not an old rattle-trap carting about the world a lot of coal for a freight--to me she was the endeavour, the test, the trial of life. I think of her with pleasure, with affection, with regret--as you would think of someone dead you have loved. I shall never forget her. . . . Pass the bottle.
Whitney Houston|Fantasies can be great, but we shouldn't make the wedding a fantasy, because the wedding is the gateway to married life. It shouldn't be a moment of illusion; it should be a moment of preparation.
Fyodor Dostoyevsky, The Idiot|Why then you're as mad as me. No, madder. For I distrust 'reality' and its moron mother, the universe, while you fasten your innocence to fallible devices which pretend at happy endings.
Adam Mansbach|I've no patience for people who say they never watch television. It's a great way to keep in touch with popular culture, and it's important that children can relate to what their schoolmates are watching.
Rainbow Rowell, Eleanor & Park|There's only one of him, she thought, and he's right here.He knows I'll like a song before I've heard it. He laughs before I even get to the punch line. There's a place on his chest, just below his throat, that makes me want to let him open doors for me.There's only one of him.
Stanley Keleman, Myth & the Body - A colloquy with Joseph Campbell|We as humans tend to overlook lesser beings and things, but we should instead come to love and respect them.
RVM|Within us is Energy which when channelized, spirals into Inspiration.
C.D.Reiss, Hardball|I believe in a world where love can still catch you off guard and where the best part is the falling stage. Those shy glances, the racing heart, flushed cheeks, and the butterflies? That's magic.~Sarah Brocious on More Than Scars
Beth Yarnall, Wake Up Maggie|She was strength and power and so many things he’d pretended for twelve years he didn’t miss, didn’t need.
Clarissa Pinkola Estes|To such an extent does nature delight and abound in variety that among her trees there is not one plant to be found which is exactly like another; and not only among the plants, but among the boughs, the leaves and the fruits, you will not find one which is exactly similar to another.
Ridley Pearson, The Initiation|It's true, I'm impressed with myself, almost daily. If I don't impress myself then how am I ever to feel accomplished?" "Who cares if you impress others?" "Indeed. Others' opinions hardly matter, but one's own sense of accomplishment is paramount, is it not?
|Those who don't care about the positive side of you, are too dangerous to have on your side.
Diriye Osman|As her body expanded so did her interior landscape. She imagined minarets, skyscrapers, entire cities being constructed inside her. Thighs thickened, belly became basketball-sized, buttocks deepened with dimples. Even her taste-buds shifted, and she held her tongue out for crushed ice, chalk, charcoal.
Matshona Dhliwayo|Don't wait for wisdom to come and rescue you, seek it daily.
Lailah Gifty Akita|Be yourself, that is all there is.
Sivaprakash Sidhu|YOU MATTER- "if you forgive yourself then you can forgive others, if you control yourself then you can control others, if you understand yourself then you can understand others, if you love yourself then you can love others, if you respect yourself then you can respect others. Everything starts with only YOU. You Matter in your life.
Ludwig von Mises, Liberalism|In a battle between force and an idea, the latter always prevails.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|Play the game of life, without any fear.
Anonymous, Bhagavad Gita: El Canto del Senor|The immature think that knowledge and action are different, but the wise see them as the same.
Roger Lawrence Butler, Claiming the Mantle: How Presidential Nominations Are Won and Lost Before the Votes Are Cast|A democracy is nothing more than mob rule, where fifty-one percent of the people may take away the rights of the other forty-nine.
C.J. Redwine, Deception|Sylph and Jodi return to my side, each carrying a cloth sack full of chickweed. I wrap my arm around Sylph's waist and give her a quick squeeze. "Lesson's over for today. I have something to discuss with Logan.""Sounds serious." Jodi wiggles her brows at me."I think that's just Rachel for 'I need to go kiss my boy.'" Sylph laughs when I glare at her.
Ernst Haeckel, The History of Creation V2: Or the Development of the Earth and Its Inhabitants by the Action of Natural Causes|An irrefutable proof that such single-celled primaeval animals really existed as the direct ancestors of Man, is furnished according to the fundamental law of biogeny by the fact that the human egg is nothing more than a simple cell.
Nick Carter|I have had cardiomyopathy, which is a non-coronary condition and is in no way related to diet.
Naomi Wolf, The Beauty Myth|A man is unlikely to be brought within earshot of women as they judge men's appearance, height, muscle tone, sexual technique, penis size, personal grooming, or taste in clothes--all of which we do. The fact is that women are able to view men just as men view women, as objects for sexual and aesthetic evaluation; we too are effortlessly able to choose the male "ideal" from a lineup and if we could have male beauty as well as everything else, most of us would not say no. But so what? Given all that, women make the choice, by and large, to take men as human beings first.
Francis de Sales|Helping others carries its own rewards, the first of which is a return to humanity.
Greg Anderson|Because those events are so real that they cast their shadow forward and backwards through all time, whenever men think of these matters at all. Even if they are mired in ignorace, they will see...fragments of the Truth, as men imprisoned in a cave see shadows cast by the sun. Likewise, all men derive their moral intuitions from God; how not? There is no other source, just as there is no other way to make a wheel than to make it round.
Michelle K. Pickett, Milayna|The penguins that spent most of their time fighting were the ones with no chicks...It's like they're supposed to be taking care of their chicks. But because they don't have any, they have nothing to do with all their energy. So they just pick fights.
John Green|He thinks he’ll be remembered as the villain in the story”She snorted.“But I forgot to tell him,” I said too quietly, opening the door, “that the villain is usually the person who locks up the maiden and throws away the key.”“Oh?”I shrugged, “He was the one who let me out.
Heikki Kovalainen|Short stories, for me, it's like you step inside this brand new car and you drive it and you drive it into a tree and you walk away from it.
Peter Gray, Free to Learn: Why Unleashing the Instinct to Play Will Make Our Children Happier, More Self-Reliant, and Better Students for Life|Once compulsory systems of state-run schools were established, they became increasingly standardized, both in content and in method. For the sake of efficiency, children were divided into separate classrooms by age and passed along, from grade to grade, like products on an assembly line. The task of each teacher was to add bits of officially approved knowledge to the product, in accordance with a preplanned schedule, and then to test that product before passing it on to the next station.
Douglas Coupland|I was always the youngest person in class, skinny, scrawny, no good at sports. I asserted myself by being smart. But then I got to college and started to get C's and D's. That was fantastic. I no longer had to be the smartest person in the room.
Lang Leav, Love & Misadventure|A pebble thrown in a poolmay ripple from end to end,but tossed into the sea,it is swallowed by enormity.
Oscar Wilde, The Picture of Dorian Gray|To reveal art and conceal the artist is art’s aim. The critic is he who can translate into another manner or a new material his impression of beautiful things. The highest, as the lowest, form of criticism is a mode of autobiography.
Ben Fountain, Billy Lynn's Long Halftime Walk|Only in America can you be pro-death penalty, pro-war, pro-unmanned drone bombs, pro-nuclear weapons, pro-guns, pro-torture, pro-land mines, and still call yourself 'pro-life.
Peter  Kirby, The Dead of Winter|But you know how it is with fathers and sons. We can’t say what we want to say. We think a nod is a paragraph and a sentence is a book, and, in the end, all that’s important is left unspoken.
Tim Griffin|There are fewer people living in tents, more people with access to quality health care, more kids who are in school, and for the first time in a long, long time, Haiti is attracting private sector investments.
Roy T. Bennett, The Light in the Heart|The comfort zone is a psychological state in which one feels familiar, safe, at ease, and secure.If you always do what is easy and choose the path of least resistance, you never step outside your comfort zone. Great things don’t come from comfort zones.
Joanne Van Leerdam|Doing anything worthwhile will present challenges, but everyone who achieves their goal is an ordinary person who becomes extraordinary.
Stanley Hauerwas, Resident Aliens: Life in the Christian Colony|The cross is not a sign of the church's quiet, suffering submission to the powers-that-be, but rather the church's revolutionary participation in the victory of Christ over those powers. The cross is not a symbol for general human suffering and oppression. Rather, the cross is a sign of what happens when one takes God's account of reality more seriously than Caesar's. The cross stands as God's (and our) eternal no to the powers of death, as well as God's eternal yes to humanity, God's remarkable determination not to leave us to our own devices.
Ayana Prende, The Anatomy of Desire|Resting my head on the high-backed chair, I silently marvel at emotion so strong itcan quite literally chase away all reason and good sense. It is something I have neverexperienced. I pity Frances for being victim to such devastating passions. But, if I amhonest, a small part of me envies her, for she possesses something that I should: desirefor my husband. Moreover, she knows what it is to feel alive.
Mother Angelica|Performers should really go to the best schools, like Lady Gaga, you know, she went to NYU and had great teachers... It's best to really study your technique as much as you possibly can so you can have a long career instead of a quick one that's a failure.
Lailah Gifty Akita, Think Great: Be Great!|Set example to your children, in speech and in conduct.
Eleanor Catton, The Luminaries|for Pop, who sees the starsand Jude, who hears their music
Mohadesa Najumi|In our global community, when a woman becomes an authoritative figure- it scares the world. She is no longer giving into traditional patriarchal notions of submissiveness, she does not require validation, and subsequently she becomes one of the most feared individuals on the planet. I want all women of the world to throw out notions of validation and act whichever way they want regardless of how they are perceived
Jean Paul Gaultier|In liberal logic, if life is unfair then the answer is to turn more tax money over to politicians, to spend in ways that will increase their chances of getting reelected.
Sheldon B. Kopp, If You Meet the Buddha on the Road, Kill Him: The Pilgrimage Of Psychotherapy Patients|So it is that God tugs at a pilgrim's sleeve telling him to remember that he is only human. He must be his own man, remain in exile, and belong to himself. He must pay attention to his own feelings and to the meaning of what he does, if he is to be for himself, and yet for others as well.
Scott Hastie|Where once there was a void,Now at least there are Seeds of splendour,Becalmed belief for another time.
Ziad K. Abdelnour, Economic Warfare: Secrets of Wealth Creation in the Age of Welfare Politics|The heart is a hollow muscle,and it will beat billions of time during our life. About the size of a fist,it has four chambers....How this muscle can house something as emcompassing as love is beyond me.
Matt Labash|The only way to reduce ugliness in the world is to reduce it in yourself,
Ronald J. Sider, Rich Christians in an Age of Hunger: Moving from Affluence to Generosity|What an ironic tragedy that an affluent, “Christian” minority in the world continues to hoard its wealth while hundreds of millions of people hover on the edge of starvation!
David Ben-Gurion|The answer to all questions of human society is in the lessons of human history, which are revealed in the Bible.
Kim Jong-un|Comrade Kim Jong Il, who was faithful to Comrade Kim Il Sung's ideas and cause, led our revolution along the glorious road of victory, braving the severe trials and adversities of history by dint of his unique leadership of the Songun revolution.
Albert Goldbarth|You deny our vows. You deny my rights. You abuse my pride and leave me nothing of yourself. You send me from you on some lackey's strength. You betray me at every turn." Shanna met his glare and hurled a fierce reply. "You took my heart and set your fingers firm around it, then, no doubt delighted at your success, you rent it with unfaithfulness.""Unfaithfulness is only from a husband. You play the same to me and yet do say I am no spouse.""You plead you are my husband true and spite the suitors come to woo me.""Yea!" Ruark raged. "Your suitors flock about your skirts in heated lust, and you yield them more than me."Shanna paused before him, rage etched upon her face. "You're a churlish cad!""They fondle you boldly and you set not their hands away from you.""A knavish blackguard!""You are a married woman!""I am a widow!""You are my wife!" Ruark shouted to be heard over the rising wind outside.
Ernest Hemingway, To Have and Have Not|Perhaps it is true that all that happens is in accordance with Your will, and thus it is good. But sometimes You leave blood on Your instruments.
Douglas Coupland, Generation X: Tales for an Accelerated Culture|You know, I really think that when God puts together families, he sticks his finger into the white pages and selects a group of people at random and then says to them all, 'Hey! You're going to spend the next seventy years together, even though you have nothing in common and don't even like each other. And, should you not feel yourself caring about any of this group of strangers, even for a second, you will just feel dreadful
Virginia Woolf, Night and Day|Who are we without our addictions; without our media-induced hungers? So often the voices we hear echoing in our mind are not our own but that of our influencers. Isolation, while arguably going against human nature, is essential for mental and emotional health. Solitude is a detoxification of all that distorts our personality and misguides our path in life. It allows us to filter out the foreign opinions and hear our own voice—reach our authentic character—and practice fidelity to self.
Dinesh D'Souza, Letters to a Young Conservative|In my view, the pro-life movement at this point should focus on seeking to reduce the number of abortions. At times it will require political education and legal fights, at times it will require education and the establishment of alternatives to abortion, such as adoption centers. Unfortunately, such measures are sometimes opposed by so-called hard-liners in the pro-life movement. These hard-liners are fools. Because they want to outlaw all abortions, they refuse to settle for stopping some abortions; the consequence is that they end up preventing no abortions.
Carl Honore|We sleep in separate rooms, we have dinner apart, we take separate vacations - we're doing everything we can to keep our marriage together.
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Be intelligent, but know it is better to be kind than smart.
Toni Sorenson|Do not ask, "Is is possible?" rather, "Is is worth what it will require of me to make it happen?
Elizabeth Kelly, The Recruit: Book Two|The test of our knowledge is not what we know, but what we can do.
Pope Benedict XVI|Our Generation has had no Great war, no Great Depression. Our war is spiritual. Our depression is our lives.
Stephen Richards, Scottish Hard Bastards|Gary Moore is another legendary figure of sheer violence. In prison, Gary has spent most of his adult life inside one jail or another. When, on the odd occasion, he does get out of prison, it doesn’t take him long to go on a murderous campaign of total terror. Gary has been charged and stood trial for some three or four different murders.
Jane Ripley, Collaboration Begins with You: Be a Silo Buster|As a leader, it's your job to get everyone to share what they know.
Laurie Buchanan, PhD|Taro taught me that people respect spirit, but even cowards don't respect cowards.
Olivia Cunning, Tie Me|Well, that explains why we jumped into bed with each other so quickly. We were both hornier than a bucket of desert toads.
Pushkar Saraf|People say you have expensive tastes.My Humble reply : I appreciate fine art, and fine art is not cheap.
William A. Carroll, Catholic Girl's Manual and Sunday Missal|It has been said that when we pray, we speak to God; when we read, He speaks to us. Keeping this in mind, look for more in good books than entertainment. You will find in these books much that applies to you, and even in good novels, you will find many points that can help you become a finer person and a better Christian.
Acts 2:15|Any attempt to reduce the Bible to a guidebook for how to live is not only wrong, it's also idolatrous. It replaces Christ at the center with something else, with moralism. The point of the Word, the goal of Christianity, is not to teach you how to be a good person, or a good man. The goal is repentance and forgiveness, given freely to sinners, because of the substitutionary death of the God-man, Jesus.
Chris Milk|If future generations are to remember us more with gratitude than sorrow, we must achieve more than just the miracles of technology. We must also leave them a glimpse of the world as it was created, not just as it looked when we got through with it.
Hermann Hesse, Siddhartha|I have always believed, and I still believe, that whatever good or bad fortune may come our way we can always give it meaning and transform it into something of value.
Neil Gaiman, The Ocean at the End of the Lane|When I was a little kid I had a very different meaning of life; simple like a cup of tea with sugar and a piece of cake, today the whole world doesn’t give me that life.
Iggy Pop|I don't feel guilty about the music I love. If you feel guilty about something you dig, then you should stop feeling guilty about it. One of my favorite albums to this day is the 10th anniversary ensemble cast of 'Les Miserables,' the ultimate cast recording, and it is still something I love listening to top to bottom.
Vikki Wakefield, All I Ever Wanted|Courage isn't something you can conjure, it's either in you or it's not.
Frank Wanderer|First you must face your own reality in the present, here and now! If you fail to do that, if you do not obtain first-hand experience from it, there will be no deep, far-reaching changes in you.
Kim Harrison, The Outlaw Demon Wails|Big lots,' I said, seeing the eighty-year-old oaks and shady lawns. The houses were set way back and had iron fences and stone drives. The harder to hear your neighbors scream, my dear,' was David’s answer, and I sent my head up and down in agreement.
Kate Kerrigan, Recipes for a Perfect Marriage|Beware of destructive individuals whose spirits breathe every day the worst toxic oxygen of the soul, "SALIGIA" Superbia, Avaritia, Luxuria, Invidia, Gula, Ira, Acedia.No matter how much goodness, patience, understanding, assistance, forgiveness and letting go you have given them, they will resurface again and again at the doors of your home to impede your happiness.Let truth and goodness always prevail but never be again a doormat of their abusive, evil ways.
Chris DiSano Davenport, See the Little People...An Enchanting Adventure|Now Arthur, if humans could learn to gaze with their eyes or use their special sight, they would realize there is more to seeing than just what is in front of them!” Den the Wise Oak Tree, Meet the Little People…An Enchanting Adventure
Ben Robertson, Red Hills and Cotton|The past that Southerners are forever talking about is not a dead past--it is a chapter from the legend that our kinfolks have told us, it is a living past, living for a reason. The past is a part of the present, it is a comfort, a guide, a lesson.
Jennifer Weiner, Certain Girls|Writer is always alone. But every author is a creator, and gods are lonely.
Jackson Browne|With my daughter, we do arts and crafts, we read a lot, we listen to music, and we cut the strings off balloons and bounce them around after birthday parties.
H.G. Wells, The Outline of History, Vols. I and II|The development of the telescope marks, indeed, a new phase in human thought, a new vision of life. It is an extraordinary thing that the Greeks, with their lively and penetrating minds, never realized the possibilities of either microscope or telescope. They made no use of the lens. Yet they lived in a world in which glass had been known and had been made beautiful for hundreds of years; they had about them glass flasks and bottles, through which they must have caught glimpses of things distorted and enlarged. But science in Greece was pursued by philosophers in an aristocratic spirit, men who, with a few such exceptions as the ingenious Archimedes and Hiero, were too proud to learn from such mere artisans as jewellers and metal- and glass-workers.Ignorance is the first penalty of pride. The philosopher had no mechanical skill and the artisan had no philosophical education, and it was left for another age, more than a thousand years later, to bring together glass and the astronomer.(The Earth in Space and Time §1)
C.P. Snow|When you think of the long and gloomy history of man, you will find more hideous crimes have been committed in the name of obedience than have ever been committed in the name of rebellion.
Sinclair Lewis, Kingsblood Royal|The fact that none of these civic worriers had ever heard of such a case was unimportant, because they all had heard of somebody who had heard of it!
Gena Showalter, The Darkest Pleasure|Legion hissed like a startled cat, the noise scraping at Reyes’s skin. “Me no boy. You think me a boy?”Everyone stopped, stared. Even Aeron.Reyes was the first to find his voice. “You’re a…girl?”A nod. “Me pretty.”“Yes, you are.” Reyes exchanged a glance with Lucien. “Beautiful.
