Kim Stanley Robinson, The Years of Rice and Salt|It is a long time ago. So many lives ago--I get them all confused, don’t you?
Sui Ishida, Tokyo Ghoul, tome 1|For a moment, she thought it natural in a way seeing a plane fall from the sky can seem natural, too. The horror comes later.
James Prescott Joule, The Scientific Papers of James Prescott Joule - Volume 1|He who knows Mars, Venus, Mercury or Jupiter very well will also know very well how very precious our earth is!
Charlie Parker|First you learn the instrument, then you learn the music, then you forget all that s**t and just play.
Félix J. Palma, The Map of the Sky|Maybe all Americans who suffer from melancholy act as if they have gone mad. But I truly thought he might throw himself in the river, and I don't want his ghost visiting to keep telling me he's sorry.
Lucy H. Pearce, Burning Woman|We often fear that the Revolution needed is too big for what we can give.Too much change is required inside, outside.And we are too small.But all that is required is that you step into the truth of your life. And speak it, write it, paint it, dance it.That you shine your light on your truth, for the world to see.And as hundreds, then thousands, then millions do this – each sparking the courage of yet more – Suddenly we have a world alight with truth.
Michael Gove|Learning lessons is a little like reaching maturity. You're not suddenly more happy, wealthy, or powerful, but you understand the world around you better, and you're at peace with yourself. Learning life's lessons is not about making your life perfect, but about seeing life as it was meant to be.
Philip Larkin, Philip Larkin: Letters to Monica|In life, as in art, talking vitiates doing.
Denise Moreland, Management Culture|Imagine going to work every day to do only and exactly what you love!! All the work gets done because of the abundant diversity of your team. Different skills, interests and talents are woven together into a whole that is much greater than the sum of the parts!
Trevor Noah, Born a Crime: Stories From a South African Childhood|Jerkish". That was the name of a language of 225 words, developed in Atlanta for mutual communications between humans and chimpanzees - and there was no doubt (...) that more and more unfortunate creatures would be able to talk to each other in jerkish. It occurred to me immediately that at last a language had been found in which the spirit of our age could speak, and because that language would spread rapidly from pole to pole, to the east and the west, it would be the language of the future.
James Madison, Letters and Other Writings of James Madison Volume 3|Religious bondage shackles and debilitates the mind, and unfits it for every noble enterprise, every expanded prospect.]
Joan Abelove, Saying it Out Loud|Everyone was eating, talking softly, glancing at me, hugging me, eating. It was as if someone had turned the volume down. Everything looked normal, but the sound was muted. Death did this, set all this weirdness in motion, made people appear out of nowhere carrying casseroles, saying 'I'm sorry' over and over, death muffled their voices.
Lu Yu|Sometimes when I'm aloneI Cry, Cause I am on my own.The tears I cry are bitter and warm.They flow with life but take no formI Cry because my heart is torn.I find it difficult to carry on. If I had an ear to confide in, I would cry among my treasured friend, but who do you know that stops that long, to help another carry on.The world moves fast and it would rather pass by.Then to stop and see what makes one cry, so painful and sad. And sometimes...I Cry and no one cares about why.
Craig D. Lounsbrough|When you open yourself up to people, you show them where to put the knife in.
Ann Voskamp|Say what you will about Queen Eleanor, she was a savvy, quick-witted woman who made her mark on history. And as the founder of the Courts of Love, what better patron monarch could there be for a romantic novelist?
Andrew Vachss, Only Child|A couple of buffoons were running for some state-senate seat just vacated by the incumbent's prison term. One accused the other of being "against the Internet" - a knockout punch in a world where whole hordes of humans think better sex is a faster modem.
Oscar Wilde, The Picture of Dorian Gray|Nothing can cure the soul but the senses, just as nothing can cure the senses but the soul.
Mark Lawrence|To some life is a complaint, to some it is a competition and to some it is a conquest.
Richard Meier|The artistic part of us all - I think that the easiest way to appreciate this - is through architecture. Architecture is very impressive; the beauty of buildings, temples.
S.A. Tawks, The Spirit of Pessimism|Self-critical thoughts and detrimental predictions about yourself have a huge impact on our mood/feelings. It affects our attitude, decisions and behavior. They ensure our self-esteem stays low and can create physical illnesses.
RVM|Money is important, no doubt it is. But is it everything? That's the question we miss when we make our Choices in Life.
Terra Elan McVoy, The Summer of Firsts and Lasts|Mattia thought that he and Alice were like that, twin primes, alone and lost, close but not close enough to really touch each other.
Durga Chew-Bose, Too Much and Not the Mood|What tethers me to my parents is the unspoken dialogue we share about how much of my character is built on the connection I feel to the world they were raised in but that I've only experienced through photos, visits, food. It's not mine and yet, I get it. First-generation kids, I've always thought, are the personification of déjà vu.
Julia Quinn, The Duke and I|Any man, you'll soon learn, has an insurmountable need to blame someone else when he is made to look a fool.
Emma Forrest, Your Voice in My Head|It's like he has emotional amnesia... I think you have to accept that the person you knew isn't there at the moment. I was witness to how much he loved you. I have the photos. This isn't the person we knew. I don't recognize this person. He's shed his skin." Her heart is broken too. She has to say the thing that will give me back my life. She draws on every reserve. I see how much it hurts her and it hurts me too. I came from her joy and her pain, I lived in it and I live in it now.
Howard Tayler, Emperor Pius Dei|Captain, you have heard the charges. How do you plead? Before you answer, you should know that if you plead "guilty" you'll be immediately extradited and U.N.S. law will take over.""Not guilty.""Also, it's not very nice to lie in court.""But it beats extradition.
John Cage, Silence: Lectures and Writings|The emotions - love, mirth, the heroic, wonder, tranquility, fear, anger, sorrow, disgust - are in the audience.
Angie karan|Forgive your self and others by removing the anger that stands in your way and replace it with love, to heal your soul and your spirit.
Janis Karpinski|It was the most pleasurable thing I've ever done, playing this character, and I just remember feeling so at home and so - I don't know, I was just happy - and it just wasn't ever work! It was like a sandbox for me, and I would crack myself up rehearsing.
Umberto Eco, Foucault's Pendulum|…the more things you know, or pretend to know, the more powerful you are. It doesn’t matter if things are true. What counts, remember, is to possess a secret.
Robin Sacredfire|For many people, money is an index of how successful one is. And so they fear competition and attach themselves to their shadows. Such path drives one towards materialism rather than spiritualism. So what’s the difference between such individuals and those that work in the hope of quitting their job? Well, the main difference is that materialist people separate the two realities in the hope they can earn money from the work they love and then quit the work they don’t like. And by creating such division they remain there, in the middle, trapped. They think that by following what they love to do, step by step, they’ll be guided towards the right direction. But if their thoughts were clear, they would know they’re diving themselves and perpetuating their fate, rather than solving it. They neglect the mental barriers stopping them from achieving their goal. And anyone is responsible for determining the result that one holds in his thoughts. In other words, if you had not made such division in the first place, and instead accepted the lack of duality, you would achieve your result much faster. That is why almost all entrepreneurs rather work hard and be poor when starting a business than waiting for the right time to quit their job. There’s not such thing as the right time, or a shift from one reality unto another, because you create both things, your fortune and your unfortunate, and you own your luck and results, all the time. Whatever you believe in present time, perpetuates that same present time.
Christina Channelle, Those Four Letter Words|That narrows down the search quite a bit,” Daniel commented. “But what if you still don’t find her?”“Then I’m still not going to join the throng of mindless dicks out there looking for a dizney-whore to take advantage of.” Will was frowning but Daniel laughed explosively through his nose.“I can’t believe you just said that!
Thilsath|A person who has the power to take a life, should have the intelligence to choose not to.
Kazim Ali, Our Deep Gossip: Conversations with Gay Writers on Poetry and Desire|In the lingering moments before you die your body releases DMT. The same drug that makes you dream. The same drug found in every living animal. It's not an evolutionary trick to make you survive. Your body is choosing to release this drug now because it believes your fate is too grim for you to comprehend. So you dream. You dream that everything will be fine. You dream that nothing happened at all. It's in this moment that your body sits across from you. It tells you 'looks like we're not gonna make it this time.' You sit around a fire and recollect the past before soon parting ways back to the atomic ether. Your body does this because it loves you. You have never met anyone like your body. Your body has been with you everyday, good and bad. It's even kept a journal of your life carved in scars. Your eyelashes always wiped the tears from your eyes.
D. B. Sweeney|I am not really into paintings, to be honest, but for me, the art I love is when I see singers putting their heart into their song, actors giving the performance of their lives, and books and movies that make me feel something I never thought I could; there's art in everything as long as it's made with soul.
Kiersten White, Perfect Lies|When you are in love, you do all sorts of crazy, impossible things with and for the person you love.
Kevin Systrom|I gravitated towards the field of clothing design, partly because it is a creative format that is modern and optimistic.
Samuel Beckett|I have tried to live very quietly, so I could be happy.
Jean Rhys, Good Morning, Midnight|To destroy that which seeks to destroy me, God invites me to stand against it until it stands down and then falls down.
Chidi Okonkwo|Knowledge is like an endless resource; a well of water that satisfies the innate thirst of the growing human soul. Therefore never stop learning... because the day you do, you will also stop maturing.
T.S. Eliot, The Rock|O Light Invisible, we praise Thee! Too bright for mortal vision. O Greater Light, we praise Thee for the less; The eastern light our spires touch at morning, The light that slants upon our western doors at evening, The twilight over stagnant pools at batflight, Moon light and star light, owl and moth light, Glow-worm glowlight on a grassblade. O Light Invisible, we worship Thee! We thank Thee for the light that we have kindled, The light of altar and of sanctuary; Small lights of those who meditate at midnight And lights directed through the coloured panes of windows And light reflected from the polished stone, The gilded carven wood, the coloured fresco. Our gaze is submarine, our eyes look upward And see the light that fractures through unquiet water. We see the light but see not whence it comes. O Light Invisible, we glorify Thee!
Michael Arad|I like to be surrounded by books. My wife Evelyn has a Ph.D. in comparative literature, so we have a lot of her Spanish and German literature books which are wasted on me, plus a lot of novels and books on art and architecture shared by us both. Evelyn used to edit an art magazine called 'FMR,' so we have a common interest in design.
Anne Brontë, Agnes Grey|It is only through dialogue, deep listening, and passionate disagreement that we find our way to something larger than a singular and isolated point of view.
China Miéville|I just can't get with this idea that literature is a 12-step program. If someone wants to read a book to see good people get rewarded and the bad people get punished, essentially what they want is a fairy tale.
Chris Van Allsburg, The Chronicles of Harris Burdick: 14 Amazing Authors Tell the Tales|But the central branch of the Enoch Pratt Free Library was still a place of wonders to Tess, even if the book budget had been slashed and the hours cut. Her parents had made a lot of mistakes, a fact Tess compulsively shared on first dates, but she gave them credit for doing one thing right: Starting when she was eight, they gave her a library card and dropped her off at the downtown Pratt every Saturday while they shopped. Twenty-one years later, Tess still entered through the children's entrance on the side, pausing to toss a penny in the algae-coated fish pond, then climbing the stairs to the main hall. If she could be married here, she would.
Ernest Rutherford|If antimatter and matter make contact, both are destroyedinstantly. Physicists call the process ‘annihilation.
Abhijit Naskar, Human Making is Our Mission: A Treatise on Parenting|Let your child see you doing a good deed instead of you telling him or her to do it, and the little child shall one day grow up to become a real kind human being.
Susan Faludi, Backlash: The Undeclared War Against American Women|Are you still as angry as you used to be?' Julia, the World War II resistance fighter, asked Lillian Hellman in the biographical [movie] Julia. "I like your anger…. Don't you let anyone talk you out of it.
Jayce O'Neal|Cynicism is when a small mind and a hurt heart rejects the hope, love, and truth of a big and caring God.
Kilian Grey|When you’re speaking in the truest, most intimate voice about your life, you are speaking with the universal voice.
Choa Kok Sui, Compassionate Objectivity - The Golden Lotus Sutras on Character Building|Courage is the difference between success and failure. You must have this attitude, this is the right thing to do.
Dada Bhagwan|What is the body complex (pudgal)? It is influx and outflow (puran-galan); it is credit and debit. And if you attain knowledge of the Soul, the Self, then you will attain Moksha (liberation).
Mishi McCoy|Your present circumstances may seem limited, but you are never limited by your present circumstances.
Trae Crowder, The Liberal Redneck Manifesto: Draggin' Dixie Outta the Dark|In our humble12 opinion, the South in general’s attitude regarding the war and everything that came after needs a major paradigm shift. Put simply: we need to be more like Germany. Ya see, after World War II, Germany as a nation took responsibility for its crimes, owned up to them, and has refused to make excuses for the atrocities that occurred. Germans own it. That’s just the way it is. (Or at least the perception of the way it is, and as we keep reiterating, the perception can be just as important as the reality.) How many people in the South could stomach the idea of Nazi statues existing in Germany in order to “honor the past” but “not meant to offend the Jews, of course?” Because y’all do realize that’s what most of these Civil War monuments are, right?
Megan Jacobson, Yellow|I'm sitting in front of the TV, watching Jerry Springer, and it makes me think of how many mad people there are in the world, and whether everyone is mad deep down, they just pretend they're not, and it's the people in asylums or on Jerry Springer who are the honest ones. I have a notebook and a chewed-up pen, and I'm trying to think of a topic for the Youth Issues speech. Mrs Thomas says she thinks I have a lot to say, but I don't. Nothing I can put words to anyway. I could talk about bullying, or alcoholism, but I don't think I could speak about that out loud, it's too real, and it'd be like I was standing up there naked. More than naked. It would be like my skin was all peeled off and I was just standing there with my heart all bloody and thumping in my rib cage for everyone to see.
Gary Zukav|He took over anger to intimidate subordinates, and in time anger took over him.
Tracey Alvarez, In Too Deep|Wow," Clay said. "Never thought I'd see the day a woman walked away from you. And in the middle of a the desert." He cracked up and pulled his cell phone from his pocket. "I'm definitely tweeting this.
Jake Wood, Among You: The Extraordinary True Story of a Soldier Broken By War|Let go of toxic control, in order to regain healthy control.
Kevin Kwan|What's interesting about the shift from an industrial age to a technological age is that we keep inventing new media: movies, records, radio, television, the Internet, and now ebooks - and one of the things that's most interesting about the invention of a new medium is watching it reinvent itself as it penetrates the culture.
Ehud Barak|World War II had a very important impact on the development of technology, as a whole.
Alan Kreider, The Change of Conversion and the Origin of Christendom|Missiologists have in recent years begun to think seriously about inculturation, and historians have begun to learn from them. When the Christian message is inserted into a cultural framework, if the messengers are insensitive to the local culture the result can be cultural imperialism. On the other hand, if they grant too much hegemony to the local culture, the result at best is 'syncretism' and at worst 'Christo-paganism.' Things are most wholesome when sensitive interchange takes place leading to 'a truly critical symbiosis.' But for this to happen, there must be a second stage - a time of 'pastoral follow-up work,' of catechizing and life formation enabling the new faith to express its genius in the institutions and reflexes of its new host culture.
Sara Baume, A Line Made by Walking|Blending into the tinctures and textures of the countryside. The tree which falls without any human hearing still falls, as the creatures who die without being found by a human still die.
Charles M. Schulz|All right, so you believe in Santa Claus, and I'll believe in the 'Great Pumpkin.' The way I see it, it doesn't matter what you believe just so you're sincere! (Linus)
Leo Tolstoy, A Confession|Let us hush this cry of 'Forward', till ten thousand years have gone.
Sarah Dessen, Saint Anything|They had been there. I had seen my mother’s anxious face, desperate to catch my eye and give me a warm smile. I had tried to smile back, but I had not known how. That old curse again. How to smile. If I smiled too broadly it might look like triumphalism; if I smiled too weakly it might look like a feeble bid for sympathy. If I smiled somewhere in between it would, I knew, look, as always, like plain smugness. Somehow I managed to bare my teeth in a manner that expressed, I hope, sorrow, gratitude, determination, shame, remorse and resolve.
Sarah Rees Brennan, What to Buy the Shadowhunter Who Has Everything|Magnus remembered a town in Peru whose Quechua name meant “quiet place.” He recalled even more vividly being obscenely drunk and unhappy over his heartbreak of that time, and the maudlin thoughts that had recurred to him over the years, like an unwanted guest slipping in through his doors: that there was no peace for such as he, no quiet place, and there never would be.Except he found himself remembering lying in bed with Alec—all of their clothes on, lounging on the bed on a lazy afternoon, Alec laughing, head thrown back, the marks Magnus had left on his throat very plain to see.
Tom Colicchio|Reason is a crutch for age, but youth is strong enough to walk alone.
Valerie Tarico, The Dark Side: How Evangelical Teachings Corrupt Love and Truth|Before we apply Joshua to our lives, we need to make sure which side of the Jordan we are living on. Militarism invites God's wrath.
Chimamanda Ngozi Adichie, We Should All Be Feminists|We teach girls that they cannot be sexual beings in the way boys are. If we have sons, we don’t mind knowing about their girlfriends. But our daughters’ boyfriends? God forbif. (But we of course expect them to bring home the perfect man for marriage when the time is right.)
Elizabeth von Arnim|I had dedicated my life to words. But sometimes, words are not needed.
Sabina Berman, Me, Who Dove into the Heart of the World|Acceptability is that secret, which brings in surrender,Which brings in totality, which brings in love,From where arises our Oneness.
Margaret Way, Bauhinia Junction|He takes a few dazed steps, the waiters turn out the lights and he slips into unconsciousness: when this man is lonely he sleeps.
Mehmet Murat ildan|If the storm underestimates your power, nothing happens to him; but if you underestimate the power of the storm, you sink!
Ramana Pemmaraju|As long as you try to think intelligently, you have missed the point.
Alexander Pope|To wake the soul by tender strokes of art,To raise the genius, and to mend the heart
Andrew Breitbart|I was pretty bad. When I first was diagnosed with kidney failure, my function - the function of my kidney was less than 8 percent.
Jeanette Winterson, Weight: The Myth of Atlas and Heracles|Earth is ancient now, but all knowledge is stored up in her. She keeps a record of everything that has happened since time began. Of time before time, she says little, and in a language that no one has yet understood. Through time, her secret codes have gradually been broken. Her mud and lava is a message from the past.Of time to come, she says much, but who listens?
Cecilia Robert, Reaper's Novice|It is possible to reclaim your future, to build a happy life despite an imperfect past. We can order the universe to our will and mind.
Jennifer L. Armentrout, The Return|And that, my friends, is how a revolution dies.-Haymitch Abernathy
C.S. Lewis, The Four Loves|The typical expression of opening Friendship would be something like, 'What? You too? I thought I was the only one!
Miya Yamanouchi, Embrace Your Sexual Self: A Practical Guide for Women|By all means be submissive in the bedroom (if you are that way inclined), but don't be submissive to life. Being life's bitch is no fun at all. Life may play up in many ways, but it's up to you to take control, take charge and show life who's really calling the shots.
Abraham Myerson, The Foundations Of Personality|You know what, Sam? We created the council to take pressure off of you. Because you were falling apart.”Sam just stared at her. Not quite believing she’d said it. And Astrid seemed shocked herself. Shocked at the venom behind her own words.“I didn’t mean…,” she started lamely, but then couldn’t find her way to explaining just what it was she didn’t mean.Sam shook his head. “You know, even now, as long as we’ve been together it still surprises me that you can be so ruthless.”“Ruthless? Me?”“You will use anyone to get what you want. Say anything to get your way. Why was I ever even in charge?” He stabbed an accusing finger at her. “Because of you! Because you manipulated me into it. Why? So I would protect you and Little Pete. That’s all you cared about.”“That’s a lie!” she said hotly.“You know it’s the truth. And now you don’t have to bother manipulating me, you can just give me orders. Embarrass me. Undercut me. But as soon as some problem hits, guess what? It’ll be, oh, please, Sam, save us.”“Anything I do, I do for everyone’s good,” Astrid said.“Yeah, so you’re not just a genius now, you’re a saint.
Jeanette Coron|Anybody who leads with hate, is not fit for leadership.
Maurice Maeterlinck, Wisdom And Destiny|Truly they who know still know nothing if the strength of love be not theirs; for the true sage is not he who sees, but he who, seeing the furthest, has the deepest love for mankind. He who sees without loving is only straining his eyes in the darkness.
Robert A. Heinlein|When the winter comes, the summer shines infinitely in our hearts!
Clare Furniss|They get quieter over the years. They still whisper to you sometimes, but the world gets louder. You can see it and hear it again. There's a gap in it, where they used to be. But you get used to the gap; so used to it that you can hardly see it. And then some days, out of nowhere, you're making the tea or banging out the washing or sitting on the bus and it's there again: that aching, empty space that will never be filled.
Israelmore Ayivor, Dream Big!: See Your Bigger Picture!|If you are going to devote your time to do something you claim you love, take this thought; "is this what I was sent to do? What do I have to have it do well?" This is potential.
J.K. Rowling, Harry Potter and the Order of the Phoenix|I won't let that night ruin you forever." But it did, it broke me into a million pieces and blew them away in the wind, like crumbled leaves.
Rick Riordan|My dear young cousin, if there's one thing I've learned over the eons, it's that you can't give up on your family, no matter how tempting they make it.
Robert  Black|Many scorned women delude themselves that the past was negative and to be forgotten, whereas the present is positive and to be celebrated. But what they also forget is, at one time they celebrated that past, as the positive present.
Siobhan Davis, Beyond Reach|(...)Through the ship's telescopes, he had watched the death of the solar system. With his own eyes, he had seen the volcanoes of Mars erupt for the first time in a billion years; Venus briefly naked as her atmosphere was blasted into space before she herself was consumed; the gas giants exploding into incandescent fireballs. But these were empty, meaningless spectacles compared with the tragedy of Earth.That, too, he had watched through the lenses of cameras that had survived a few minutes longer than the devoted men who had sacrificed the last moments of their lives to set them up. He had seen ...... the Great Pyramid, glowing dully red before it slumped into a puddle of molten stone ...... the floor of the Atlantic, baked rock-hard in seconds, before it was submerged again, by the lava gushing from the volcanoes of the Mid-ocean Rift...... the Moon rising above the flaming forests of Brazil and now itself shining almost as brilliantly as had the Sun, on its last setting, only minutes before ...... the continent of Antarctica emerging briefly after its long burial, as the kilometres of ancient ice were burned away ...... the mighty central span of the Gibraltar Bridge, melting even as it slumped downward through the burning air ...In that last century the Earth was haunted with ghosts - not of the dead, but of those who now could never be born. For five hundred years the birthrate had been held at a level that would reduce the human population to a few millions when the end finally came. Whole cities - even countries - had been deserted as mankind huddled together for History's closing act.
James Salter|Once you're in a room like '30 Rock,' it's a creative setting, so you write more even after you go home, just because you're still in that mode of coming up with jokes. So the job wasn't sapping standup jokes, but it was sapping stand up time and energy, and I wouldn't be able to travel as much.
Richelle E. Goodrich, Slaying Dragons|Progressing at a snail’s pace is still progress, and slow progress is better than no progress. Never be stagnant, and never give up.
H.P. Lovecraft|At night, when the objective world has slunk back into its cavern and left dreamers to their own, there come inspirations and capabilities impossible at any less magical and quiet hour. No one knows whether or not he is a writer unless he has tried writing at night.
Lyubko Deresh, Спустошення|Я почуваюся мов немовля, яке надто довго жило в череві цього світу, аж поки він не став затісним для нього. Це небо придавлює мене, ці будинки накликають напади клаустрофобії. Мені час виходити назовні.
Immanuel Kant|By this freedom the will of a rational being, as belonging to the sensuous world, recognizes itself to be, like all other efficient causes, necessarily subject to the laws of causality, while in practical matters, in its other aspect as a being in itself, it is conscious of its existence as determinable in an intelligible order of things. It is conscious of this not by virtue of a particular intuition of itself but because of certain dynamic laws which determine its causality in the world of sense, for it has been sufficiently proved in another place that if freedom is attributed to us, it transfers us into an intelligible order of things."―from_Critique of Practical Reason_. Translated, with an Introduction by Lewis White Beck, p. 43.
Sophie Oak, Siren in the City|I want to glide in a world of beauty,’ I said. ‘To be carried away into a world of luxurious things.
Alma Luz Villanueva, Song of the Golden Scorpion|A trance healer in Bali, an eagle woman, asked me, 'What is freedom, madam?' She had a chained eagle, her ally in healing, and it broke my heart, those huge, folded wings. So I asked her why the eagle couldn't fly free, why it was chained. And then her eagle eyes dug into mine, and she asked, 'What is freedom, madam?
Phil Volatile, Crushed Black Velvet|When people who remember her better than me talk of her, she is always described as headstrong and irresponsible, which, if you think about it, are just different words for untameable. The wind is untameable, and so are rivers, and there is something poetic in that.
Jonathan Sacks|A system of education is not one thing, nor does it have a single definite object, nor is it a mere matter of schools. Education is that whole system of human training within and without the school house walls, which molds and develops men.
Rich Mullins|Redemption came as a wave of relief, but then it followed with a burden.
Martin Yan|I believe one of the best things about managing people is that we can influence lives in a positive way. That's basically what a manager is about. When I can do that, I am very happy.
Naomi Wolf, Vagina: A New Biography|There, alone in the sterile room, sitting on a pink vinyl chair that boasts many cracks in its once nice upholster, you wait. You think to yourself , who would have thought I would be ringing in the New Year by urinating into a cup to see if I have chlamydia?
Richard Dawkins, The God Delusion|A god who is capable of sending intelligible signals to millions of people simultaneously, and of receiving messages from all of them simultaneously, cannot be, whatever else he might be, simple. Such Bandwidth!
Marion Woodman|I use the word mystery,rather than magic.I love magic.something magic was always going to happen. When it did, it never did anything but land me in trouble. MYSTERY is the depth of the sacred.Page 33 coming home to my self
Ian Sansom, Paper: An Elegy|Believe it or not working in libraries is very similar to working on an ambulance or a fire truck. You take care of a lot of homeless people, you sometimes have to clean up things that require latex gloves, you always wear comfortable shoes, and you put out a lot of “fires”!
Erica Bauermeister, The School of Essential Ingredients|While the egg yolks cooled, he directed the beaters at the egg whites, setting the mixer on high speed that sent small bubbles giggling to the side of the bowl, where a few became many until they were a white froth rising up and then lying down again in patters and ridges, leaving an intricate design like the ribs of a leaf in the wake of the beaters
Jonathan P. Lamas|We often take for granted those familiar faces and places, the repetitive nature of something once new, excitement wanes. To capture that early moment and hold onto it for all our days, true bliss. Looking at the old in in a different way, making it new once again.
Israelmore Ayivor, The Great Hand Book of Quotes|In His manifesto, Jesus promised to send the Holy Spirit of God to us when He ascended into the Kingdom above. He fulfilled this mission. Mission accomplished! Great people make plans and promises that they yearn to fulfill. Keep your eyes on the goals you set to accomplish; let them be done as planned!
Deyth Banger|Off so stupid mothers... so stupid plans... what are you planning..., for god sake???
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|The more light in your composition, the more generous you are. That is the first sign of a true light warrior. They give without waiting for you to ask. They give without expecting to be repaid. They give to strangers and even offer help to enemies. And sadly, because their light is so bright, they also attract tons of bugs and flies their way.
Susan   Hamilton, Hit Woman|Every day is a new beginning, the building of a habit. Every action is a step in some direction. There is no pause in living.
Dan Pink|I like learning stuff. The more information you can get about a person or a subject, the more you can pour into a potential project. I made a decision to do different things. I want to do things that have a better chance of being thought of as original. I do everything I can to disrupt my comfort zone.
Lailah Gifty Akita, Pearls of  Wisdom: Great  mind|The spark of divinity enfolds in love, in light and in faith.
Duane Hewitt|In dream, delusion, and fantasy, exist man’s next best reality: that place where he is the creator of his own worlds; where he builds, learns, discovers and entertains; is master of all outcomes, his own god of destiny, and thus the student of his own evolving and ever uncertain truth.
Himmilicious|So you'll be my bodyguard for any guys who want to introduce me to anal?' I joke.'I will defend your virtue and your ass to the death,' he says with a knightly vow.
Richelle E. Goodrich, Secrets of a Noble Key Keeper|Gavin stood within the trees, observing her from the shadows. He watched the basket rise to her nose as she closed her eyes to sniff at its contents. A smile told him it smelled delicious, but she didn’t open the container to pinch off a sample. Instead, the basket lowered to swing at her side as it had previously done.	All at once the air was filled with soft singing--a sweet, merry tune comprised of ludicrous lyrics. It was impossible not to grin at the 
Lauren Kate, Passion|I’ll love you with all my heart, in every life, through every death. Iwill not be bound by anything but my love for you.
Ron Johnson|I'm pretty positive, optimistic, so I always expect the best.
Amanda Mosher, Better to be able to love than to be loveable|Sometimes I dig holes for people to fall in. Then I shout, “I've got you!
Rick Riordan, The Demigod Files|I tried to imagine how things could get much worse. The gods were in the Midwest fighting a huge monster that had almost defeated them once before. Poseidon was under siege and losing a war against the sea Titan Oceanus.Kronos was still out there somewhere. Olympus was virtually undefended. The demigods of Camp Half-Blood were on our own with a spy in our midst.Oh, and according to the ancient prophecy, I was going to die when I turned sixteen—which happened to be in five days, the exact same time Typhon was supposed to hit New York. Almost forgot that.
Simon Sinek|It is unfortunate, considering that enthusiasm moves the world, that so few enthusiasts can be trusted to speak the truth.
Bernard Kelvin Clive|Trust is that tiny thread that holds your brand together; when trust is torn or tampered with, you will have a broken brand; your business will fall.
Jack Campbell, The Hidden Masters of Marandur|During the last ten years of his life my father gradually lost the power of speech. At first he simply had trouble calling up certain words or would say similar words instead and then immediately laugh at himself. In the end he had only a handful of words left, and all his attempts at saying anything more substantial resulted in one of the last sentences he could articulate: 'That's strange.'Whenever he said 'That's strange,' his eyes would express an infinite astonishment at knowing everything and being able to say nothing. Things lost their names and merged into a single, undifferentiated reality. I was the only one who by talking to him could temporarily transform that nameless infinity into the world of clearly named entities.
Thomas Wolfe, Of Time and the River: A Legend of Man's Hunger in His Youth|The thought of these vast stacks of books would drive him mad: the more he read, the less he seemed to know — the greater the number of the books he read, the greater the immense uncountable number of those which he could never read would seem to be…. The thought that other books were waiting for him tore at his heart forever.
Viola Shipman, The Charm Bracelet|So long as you have life, you can pursue your dream.
Gil A. Waters|The capital of the United States is the home to the best of the worst humanity has to offer. The most corrupt, the most deceitful, the most tyrannical, the most greedy, and the most evil rise through the ranks of the political machines and eventually find themselves safely in bed participating in the incestuous orgy of corruption occurring daily in Washington, DC.
Rick Riordan|I don't get a chance to be funny with the thrillers. I like to be funny, and I think I am really funny. So with 'Middle School: The Worst Years of My Life', it was fun to let loose.
Scott Adams|The truth is, people don't know me. When people don't know you, they're going to try to get to know you as quickly as possible, because you're now taking the place of somebody that they love dearly, or somebody that they hate sincerely, and so they need to know who you are.
Jeff Greenfield|Widespread public access to knowledge, like public education, is one of the pillars of our democracy, a guarantee that we can maintain a well-informed citizenry.
Anonymous, Holy Bible: New International Version|About two-thirds of Americans believe that the Bible "answers all or most of the basic questions of life"—and 28 percent of them admit that they rarely or never read it!
Russell Kyle, Awakened Living: A Practical Guide to the Spiritual Life|I count myself lucky, having long ago won a lottery paid to me in seven sunrises a week for life.
Mo Farah|When I came to America, I dreamed bigger dreams.
Sumit Agarwal|Patriotism is not defined by loyalty to a particular elected official or political party. Indeed, excess loyalty to a single individual or party is the very antithesis of patriotism, as it places fealty to that individual or party over allegiance to the country, its interests, and its values. True patriotism is measured by the extent to which one believes in, and is willing to fight for and defend, the defining values and core principles of our country.
Biz Stone|The point of school, after all, isn’t to do homework. The point of school is to learn. It was a mistake to assume that teachers—or anyone else, for that matter—automatically knew what was best for me.Rules are there to help us—to create a culture, to streamline productivity, and to promote success. But we’re not computers that need to be programmed. If you approach your bosses or colleagues with respect, and your goals are in alignment, there’s often room for a little customization and flexibility. And on the other side, those in positions of power shouldn’t force people to adhere to a plan for the sake of protocol. The solution, always, is to listen carefully—to your own needs and to those of the people around you.
J.D. Lakey, Black Bead|The thing stank of unnamed yearnings, unfulfilled wishes, and a hunger so deep it make her feel hollow inside.
