Kemi Sogunle|You cannot be a light to others or yourself, if you have dark intentions in your heart.
Amaka Imani Nkosazana|If you can only do one thing today, choose to help someone in need. There are many who are less fortunate. Take some time to lend a helping hand. You will be surprised by how much you will uplift their spirit.
Guy de Maupassant, The Complete Short Stories of Guy de Maupassant, Part One|....and I gazed at these forms incomprehensible to me, but which revealed the immortal thoughts of the greatest shatterer of dreams who had ever dwelt on earth.
Stephen Hunt, The Court of the Air|The bonds of friendship dwindle with age, Oliver. But a little blackmail lasts forever.
Ellery A. Kane, Prophecy|If love was a lucky penny, shiny and unspoiled, secreted in a most unlikely place, then it's tarnished flipside was loss.
Robert Peate|Everything is temporary. Well, except government programs.
Robin M. King, Memory of Monet|It may take us years and years to find our true calling in our life. But one fine day, we eventually do find it!Till then make merry, laugh, fight, dance and enjoy the craziness...
Oscar Wilde, The Critic as Artist|It is sometimes said that the tragedy of an artist's life is that he cannot realize his ideal. But the true tragedy that dogs the steps of most artists is that they realize their ideal too absolutely. For, when the ideal is realized, it is robbed of its wonder and its mystery, and becomes simply a new starting point for an ideal that is other than itself. This is why music is the perfect type of art. Music can never reveal its ultimate secret.
Debasish Mridha|When you truly love someone, you don't want anything except giving everything you have.
Archibald Marwizi, Making Success Deliberate|Every leader must be challenged to educate their followers and capacitate them with knowledge, tools and a voice to champion their own causes and become actively involved in setting the agenda for citizen participation in social transformation. Don’t create a dependent constituency; develop and lead other leaders who demonstrate a growing personal responsibility for their own success as well as for those around them.
Sarah Dessen, Lock and Key|But it's important to acknowledge that while we may make mistakes, in the long run, we may also learn from them.
William Golding|In Kingdom - Like the King, Like the People In Democracy - Like the People, Like the Ruler
Anna Kessel, Eat Sweat Play: How Sport Can Change Our Lives|Maybe exercise and sport can be something we do for ourselves. For fun! For Happiness! For clear thinking! Because physical activity should be something integral to our being alive. And it is the essential part that really concerns us here, not the bit about how many millimetres it might shave off your inside thigh measurements.
Marya Hornbacher, Waiting: A Nonbeliever's Higher Power|Heroin was a coping mechanism that I had used to deal with my underlying fears. They were the real problems; heroin wasn't the culprit, my fears were.
Miyuki Miyabe, The Gate of Sorrows|I have friends like that—very straightforward and responsible, good at what they do, good home life. But they get stressed, and they blow off steam by posting aggressive comments on the web. Their web personality is different from their real personality. They keep them separate. They just laugh and say it’s okay to write whatever you can’t say in the real world, no matter how critical or negative it is. That does seem to be one purpose of the Internet for a lot of people.”Kotaro nodded.“But I think my friends are wrong. Their posts will never disappear. They think they’re just putting opinions out there. They don’t use real names. They say what they think. They assume no one pays attention for more than a few moments. That’s a big mistake.”“Most of what goes on the net, stays on the net—somewhere.”“That’s not what I mean. No matter how carefully they choose their words, whatever they say, the words they use stay inside them. Everything is cumulative. Words don’t ‘disappear.’“Maybe they post a comment saying a certain actress should just die. They think they’ve blown off steam by criticizing someone no one likes anyway. But those words—’I hope she dies’—stay inside the writer, along with the feeling that it’s acceptable to write things like that. All that negativity accumulates, and someday the weight of it will change the writer.“That’s what words do. However they’re expressed, there’s no way people can separate their words from themselves. They can’t escape the influence of their own thoughts. They can divide their comments among different handles and successfully hide their identity, but they can’t hide from themselves. They know who they are. You can’t run from yourself.”Mom would say, “What goes around, comes around.”“So be careful, Kotaro. If the real world is stressing you out, deal with your stress in the real world, no matter how dumb you think it makes you look. Okay?
Shari Arison|So much of life is a negotiation - so even if you're not in business, you have opportunities to practice all around you.
Debasish Mridha|If you love everyone, you will not need to fight with enemy.
James K. Morrow, The Eternal Footman|Pleasure, ecstasy, they cannot seem to bear: their escape from it is in violence, in drinking and fighting and apparently inescapable----And so why should not their religion drive them to crucifixion of themselves and one another? he thinks.
Michael Bassey Johnson, Master of Maxims|Do not, for one more minute, spend your precious time and energy on or surround yourself with people who are less than you deserve.
A.E. Via|Good afternoon, Detective Godfrey. I like your hair when you pull it back like that…it looks sexy.” She smiled and ran her thin fingers through God’s chestnut waves.Day didn’t give God a chance to respond. “Didn’t you say you had a follow-up to respond to, Vikki?” Day’s harsh tone startled her out of her lust.She frowned at him with confusion on her face before turning with Ronowski and walking off.God looked back at him. “You want to come cock your leg up and piss around my fucking desk too, Leo?”Day didn’t hesitate. “Maybe.
Giovanni Pico della Mirandola|The real sin against life is to abuse and destroy beauty, even one's own even more, one's own, for that has been put in our care and we are responsible for its well-being.
Leila Samarrai|By noon, silence arrives one last time, flowing into every space of her room. And before long, silence swallows sound and color and seconds and equations and entire stanzas of old poetry, leaving new words. The sheets are breathless. The room is bruised.My mother is still warm.
Northrop Frye, The Bush Garden|‎"I was born in the US and l have lived in Mexico since 1946. I believe that all these states of being have influenced my work and made it what you see today. I am inspired by Black people and Mexican people, my two peoples. My art speaks for both my peoples" ~ Elizabeth Catlett
John Connolly, The Book of Lost Things|These stories were very old, as old as people, and they had survived because they were very powerful indeed. They were the tales that echoed in the head long after the books that contained them were cast aside. They were both an escape from reality and an alternative reality themselves. They were so old, and so strange, that they had found a kind of existence independent of the pages they occupied. The world of the old tales existed parallel to ours, but sometimes the walls separating the two became so thing and brittle that the two worlds started to blend into each other. That was when the trouble started. That was when the bad things came. That was when the Crooked Man began to appear to David.
Nina LaCour, Hold Still|My best friend is dead, and I could have saved her. It’s so wrong so completely and painfully wrong, that I walked through my front door tonight smiling.
Charles M. Schwab|I never played Freddy as real. In the true bible of Wes Craven's outline for the films, Freddy only manifests himself in dreams. And a lot goes into a dream, not the least of which is imagination. So Freddy is secondhand information. Freddy is an urban legend that's been handed down to these teenagers over the years.
James Rozoff|Forget scientists. The next space launch we should send up painters, poets and musicians. I’d be more interested in what they discover than anything that takes place in a test tube.
Barbara Samuel, A Bed of Spices|It's not being a woman I mind so much," she said slowly. "'Tis the way men seem to always order my life." She leaned earnestly toward him. "Your hand, Papa, has wielded a sword and cradled a child and held power over hundreds of men." She held up her own hand. "This one has far fewer adventures before it.
Scott Stabile|We can’t always be as brave as we want or need to be. We don’t always make the harder choice, the one we know we need to make in order to change things for real. Sometimes we give in to our fear. We choose known over unknown, comfort over uncertainty. Even though that’s often not ideal—to create our lives from fear—it’s definitely human. And, it’s okay. Our courage doesn’t suddenly disappear just because we choose to ignore it. It may hide for a bit and make us work a little harder for its attention, but it’s always there within us. We are born courageous, after all. Beautiful and brave. Whenever we get tired of playing at life with fear’s rules, at last determined to change things for real, our courage will be there—ready, able, excited for us to let it do its thing.
Yevgeny Zamyatin, We|It is said there are flowers that bloom only once in a hundred years. Why should there not be some that bloom once in a thousand, in ten thousand years? Perhaps we never know about them simply because this "once in a thousand years" has come today.
David Kinnaman, unChristian: What a New Generation Really Thinks about Christianity... and Why It Matters|Many outsiders clarified that they believe Christians have a right (even an obligation) to pursue political involvement, but they disagree with our methods and our attitudes. They say we seem to be pursuing an agenda that benefits only ourselves; that we expect too much out of politics; they question whether we are motivated by our economic status rather than faith perspectives when we support conservative politics; they claim we act and say things in an unchristian manner; they wonder whether Jesus would use political power as we do; and they are concerned that we overpowered the voices of other groups.
Douglas Booth|It's a bit of a cliche, but I think girls like to get flowers. I think books are quite romantic, too. If you can find an interesting book, that brings something out in your partner that can be very romantic.
Ursula K. Le Guin|The law of evolution is that the strongest survives!' 'Yes, and the strongest, in the existence of any social species, are those who are most social. In human terms, most ethical...There is no strength to be gained from hurting one another. Only weakness.
Napoleon Hill|Patience, persistence and perspiration make an unbeatable combination for success.
Leslie Marmon Silko, Storyteller|No, my career as a warrior princess, short as it had been, was over, I thought morosely. Violence only works if you're good at it. Otherwise, it hurts too much.
Jostein Gaarder, Sophie's World|A lot of people experience the world with the same incredulity as when a magician pulls a rabbit out of a hat.…We know that the world is not all sleight of hand and deception because we are in it, we are part of it. Actually we are the white rabbit being pulled out of the hat. The only difference beween us and the white rabbit is that the rabbit does not realize it is taking part in a magic trick.
Auliq-Ice|Never become impatient with the process, bored with the pace, frustrated at the meager results, just keep trying.
James De Mille, A Strange Manuscript found in a Copper Cylinder|Horror is a feeling that cannot last long; human nature is incapable of supporting it. Sadness, whether it be from bereavement, or disappointment, or misfortune of any kind may linger on through life
Lailah Gifty Akita, Think Great: Be Great!|When people say they try to find themselves, their inner self, to understand the meaning of life I smile and I say, instead why don't you create yourself and give a new meaning to your life
Jimmy Smits|As I explain at some length in my book 'Energy Victory,' during World War II, the American strength in oil production was a decisive advantage for the Allies. Airplanes, ships, and tanks all ran on oil, and we controlled the supply.
shady_N|I think about the hurt that stories cannot ease, not with a thousand tellings.
The School of Life, Relationships|We may believe we are seeking happiness in love, but what we are really after is familiarity.
Richie Tankersley Cusick, Teacher's Pet|The mist covered the ground like the white veil over a new bride's face. The air was thick with smoke - smelling of death and decay. The birds were no longer singing their sweet songs, nor were there any immediate signs of life in the area. The charred ground crunched under my feet and I realized it was the only sound I could hear in the eerie silence. I looked up at the once milky moon and cringed at its new bright crimson color. What could've possibly caused the moon to turn blood red? I thought to myself as I continued to walk cautiously through the unrecognizable forest.
A.J. Darkholme, Rise of the Morningstar|[Everything you write is] not simply a collection of words, but a means of influence not to be taken lightly. Let your recipient's emotions be the gondola, and your words, its gondolier.
Gregory of Nazianzus|Hesitating, I stood in the doorway to the room holding the proof of my sin.
Sunday Adelaja|When we fight with the truth and stand in it to the end, then God Himself comes and confirms His Word, His righteousness and His truth
Robert Redford|My best advice is to not start in PowerPoint. Presentation tools force you to think through information linearly, and you really need to start by thinking of the whole instead of the individual lines.
Siggy Buckley, Next Time Lucky: Confessions Of Dating Guru|So anyway. If I let Corey take me out again, he’s got this buddy – Kyle maybe? Dunno – anyway, he’s single. Maybe you could come along and we could go doubles.”Lisa thought being involved in a shop class accident sounded more fun, but she managed a somewhat pleasant expression, or so she hoped. “Isn’t Kyle the one who spent a week in ICU after he tried to jump over a UPS truck with his bike?”“I think so. Why?”Lisa sighed. “If I have to explain it…
Sharon Salzberg, Lovingkindness: The Revolutionary Art of Happiness|Contemplating the goodness within ourselves is a classical meditation, done to bring light, joy, and rapture to the mind. In contemporary times this practice might be considered rather embarrassing, because so often the emphasis is on all the unfortunate things we have done, all the disturbing mistakes we have made. Yet this classical reflection is not a way of increasing conceit. It is rather a commitment to our own happiness, seeing our happiness as the basis for intimacy with all of life. It fills us with joy and love for ourselves and a great deal of self-respect. Significantly, when we do metta practice, we begin by directing metta toward ourselves. This is the essential foundation for being able to offer genuine love to others
Sue Miller, While I Was Gone|Are you sure I can't mend a shirt or darn a sock for you in trade? Anything?""You can quit your yammerin' and carry this table downstairs so I can get back to minding my own business instead of messing around in yours.
Benjamin E. Mays|Social media is the most disruptive form of communication humankind has seen since the last disruptive form of communications, email.
Michael Ben Zehabe, Song of Songs The Book for Daughters|You know, there's a million fine looking women in the world, dude. But they don't all bring you lasagna at work. Most of 'em just cheat on you. (As Silent Bob)
Mehmet Murat ildan|You may give up your big dream and that is very hard! If necessary, give it up but then create a new one! Never live without big dreams because they will keep you alive in life!
Caroline Knapp, Appetites: Why Women Want|And so I was scared. I was scared of my own sexual hunger, which felt so secretive and uncharted, and I was scared of the sexual hunger of boys, which felt so vivid and overt, and I was terribly uncertain of the relationships between sex and power and value, which seemed so merged and hard to tease apart. In the midst of all that, I didn't exactly loathe my body, or feel ashamed of it, but I was deeply ashamed of my fear, which felt disabling and immature and woefully, painfully uncool, a terrible secret, evidence of some profound failing and ignorance on my part. Other girls, or so I imagined, knew what to do, how to use their power, how to derive pleasure from it, and in contrast, I felt not only freakish but isolated, as though I was standing outside a vital, defining loop.
Kelly Wilson, Caskets from Costco|I have become conscious of my own “cry face.” My face puckers like the business end of a hot dog except for my mouth, which stretches in a grimace so wide as to accommodate said hotdog horizontally within it. It’s not pretty.
Sharon E. Rainey, Making a Pearl from the Grit of Life|I thought by masking the depression with silence, the feelings might disappear.
Debasish Mridha|All humans are sentient and sapient beings so they have the ability to perceive, think, and act using their knowledge, experience, insight, and conscience.
Jennifer Lane, Blocked|it’s okay if college isn’t your thing. I’m sure there’s a pole somewhere with your name on it, but next time you might not want to buy your tits off Craig’s List. Just sayin’.
Bob Proctor|The person who have a highly evolved will they think, they build an image and they focus on that image.
Daniel Craig|The road to recovery is to stimulate small business and innovation by reducing taxation, regulation, and litigation.
Lauren Myracle (Let It Snow)|The universe was a vast expanse, far greater than he could ever conceive, and he had seen but a fraction of an inch of it.
Julie   Johnson, Not You It's Me|When you start to fall, don't try to talk yourself out of it. The right man will be there at the bottom, to catch you.
Confucius|Although Americans justify their self-interest in moral terms, their true interest is never itself moral.
Ursula K. Le Guin|The art of fiction has not changed much since prehistoric times. The formula for telling a powerful story has remained the same: create a strong character, a person of great strengths, capable of deep emotions and decisive action. Give him a weakness. Set him in conflict with another powerful character -- or perhaps with nature. Let his exterior conflict be the mirror of the protagonist's own interior conflict, the clash of his desires, his own strength against his own weakness. And there you have a story. Whether it's Abraham offering his only son to God, or Paris bringing ruin to Troy over a woman, or Hamlet and Claudius playing their deadly game, Faust seeking the world's knowledge and power -- the stories that stand out in the minds of the reader are those whose characters are unforgettable.To show other worlds, to describe possible future societies and the problems lurking ahead, is not enough. The writer of science fiction must show how these worlds and these futures affect human beings. And something much more important: he must show how human beings can and do literally create these future worlds. For our future is largely in our own hands. It doesn't come blindly rolling out of the heavens; it is the joint product of the actions of billions of human beings. This is a point that's easily forgotten in the rush of headlines and the hectic badgering of everyday life. But it's a point that science fiction makes constantly: the future belongs to us -- whatever it is. We make it, our actions shape tomorrow. We have the brains and guts to build paradise (or at least try). Tragedy is when we fail, and the greatest crime of all is when we fail even to try.Thus science fiction stands as a bridge between science and art, between the engineers of technology and the poets of humanity.
Sharon Kay Penman, Devil's Brood|The flames of the luau bonfire burned brightly. Sparks flew into the sky and disappeared before they reached the stars above. Near the horizon, the moon was large and round and flawless as porcelain.
John Marmysz|The collective sign of relief heaved on V-J Day ought to have inspired Hollywood to release a flood of "happily ever after" films. But some victors didn't feel too good about their spoils. They'd seen too much by then. Too much warfare, too much poverty, too much greed, all in the service of rapacious progress. A bundle of unfinished business lingered from the Depression — nagging questions about ingrained venality, mean human nature, and the way unchecked urban growth threw society dangerously out of whack. Writers and directors responded by delivering gritty, bitter dramas that slapped our romantic illusions in the face and put the boot to the throat of the smug bourgeoisie. Still, plenty of us took it — and liked it.
Nick Jonas|I've always had to conquer fear when I'm on stage. Basically, I was and still am a very shy person. It's absolutely in conflict with what I do. But once I deliver the first joke I'm okay. It's like I'm out there all by myself just delivering my lines to nobody in particular without ever trying to notice the audience in front of me.
Innocent Mwatsikesimbe, The Reason|If you don't mind them and accept that they don't like you, you'll see that you won't return the negativity.
Robert G. Ingersoll|When I lie back and close my eyes, this farthest lip of beach right next to the end of the ocean feels like being up close to an enormous breathing being, the bass drum surf thump reverberating through the sand. Living out here with no lights, alone, you would indeed become sensitive to seasons, rhythms, weather, sounds- right up next to the sea, right up under the sky, like lying close to a lover’s skin to hear blood and breath and heartbeat.
Ian Strang|Ian: I don't believe in luck. I do believe we've known each other since forever, though.Sofi: Really?Ian: Yeah. You know how? When the big bang happened, all the atoms in the universe, they were all smashed together into one little dot that exploded outward. So my atoms and your atoms were certainly together then, and, who knows, probably smashed together several times in the last 13.7 billion years. So my atoms have known your atoms and they've always known your atoms. My atoms have always loved your atoms.
Darren Hardy, The Compound Effect: Jumpstart Your Income, Your Life, Your Success|When you've prepared, practiced, studied, and consistently put in the required effort, sooner or later you'll be presented with your own moment of truth. In that moment, you will define who you are and who you are becoming. It is in those moments where growth and improvement live--when we either step forward or shrink back, when we climb to the top of the podium and seize the medal or we continue to applaud sullenly from the crowd for others' victories.
Jennifer McMahon|And deep down, she felt like maybe she didn't deserve it-that she belonged with the petty thieves and guys who drank Pabst Blue Ribbon for breakfast
Bryant McGill, Simple Reminders: Inspiration for Living Your Best Life|Man himself is a great deep, whose very hairs Thou numberest, O Lord, and they fall not to the ground without Thee. And yet are the hairs of his head easier to be numbered than his feelings, and the beatings of his heart.
Lemony Snicket, Shouldn't You Be in School?|Terrible fires resemble terrible people. They are unpredictable. They are selfish. they are deadly and ruinous. And no matter where they are prowling, no matter what treachery they are cooking up, they have something in common. They can be stopped.
Mie Hansson, Where Pain Thrives|Women in love are patheticand I cannot be bothered, for now,I am back to metaphysicsand my armpits gather hair.
Sunday Adelaja|Freedom is a choice, and we have to defend our choices.
A.E.  Kirk, Demons at Deadnight|He fanned his fingers and spider lines cracked the ice. Seconds later the tea boiled.“You control tea?”Jayden’s satisfied smile faltered. “No. I…I control water. The tea, the actual plant doesn’t change, however—” He caught my look and nodded. “Ohhh. You were being facetious.”“If that means joking, yes I was
Rejoice Denhere, Trash to Treasure|As an author, I breathe life into each and every character within the stories that I write. But it is the reader who gives them their souls.
John Eldredge|I am an optimist, unrepentant and militant. After all, in order not to be a fool an optimist must know how sad a place the world can be. It is only the pessimist who finds this out anew every day.
Harlan Coben|I will not play tug o' war. I'd rather play hug o' war. Where everyone hugs instead of tugs, Where everyone giggles and rolls on the rug, Where everyone kisses, and everyone grins, and everyone cuddles, and everyone wins.
Leigh Bardugo, Ruin and Rising|I was just a girl again, but this girl didn’t owe her strength to fate or chance or a grand destiny. I’d been born with my power; the rest I’d earned.
Michael Brent Jones, Dinner Party: Part 2|Personality is a physical matter almost entirely; it lowers the people it acts on - I've seen it vanish in a long sickness. But while a personality is active, it overrides 'the next thing.' Now a personage, on the other hand, gathers. He is never thought of apart from what he's done. He's a bar on which a thousand things have been hung — glittering things sometimes, as ours are; but he uses those things with a cold mentality back of them.
Samuel Smiles|Those who govern, having much business on their hands, do not generally like to take the trouble of considering and carrying into execution new projects. The best public measures are therefore seldom adopted from previous wisdom, but forced by the occasion.
Janet Fitch, White Oleander|Loneliness is the human condition. Cultivate it. The way it tunnels into you allows your soul room to grow. Never expect to outgrow loneliness. Never hope to find people who will understand you, someone to fill that space. If you expect to find people who will understand you, you will grow murderous with disappointment.
Daphne Oz|I think of reading like a balanced diet; if your sentences are too baggy, too baroque, cut back on fatty Foster Wallace, say, and pick up Kafka as roughage.
Alisa Hope Wagner|Multiple Spiritual Choices towards Light will accumulate your positive karma, upgrade your vision, develop your leadership skills
Elizabeth Strout, My Name Is Lucy Barton|You can't protect him from being hurt, babe, no mattter what you do. Being vulnerable, letting people in, getting hurt...it's all a part of being in love.
Jean M. Auel|Life is neither static nor unchanging. With no individuality, there can be no change, no adaptation and, in an inherently changing world, any species unable to adapt is also doomed.
Hugh Jackman|Building a sports power is a patriotic undertaking aimed at translating into reality the plan and wish of the great leaders, who devoted their efforts to building ours into a country that prospers and grows stronger on the strength of sports.
Nick Kroll|There's nothing to be said for being famous. It's a pain. You can't be rude to people - it's inexcusable not to be nice. Anyway, it's not in my nature. I was trained to be nice.
Rebecca Solnit, A Paradise Built in Hell: The Extraordinary Communities That Arise in Disaster|How many millions there are who don't want to go to Hell, but they don't want to get off the road to Hell.
Alexander Hamilton|We don't need no more danger, we don't need no more difficulties, we don't need no more misunderstanding, and we don't need no more violence. We need the people to see each other and know of each other, feel each other, touch each other, share with each other, and change hearts with each other.
Rem Koolhaas|Good conductors know when to let an orchestra lead itself. Ninety percent of what a conductor does comes in the rehearsal - the vision, the structure, the architecture.
Lewis Carroll, Alice's Adventures in Wonderland & Through the Looking-Glass|With me and India it's all about leaving and returning. Madras is home. It's a very complicated relationship. When you are away too long you get homesick, and when you are there too long you are sick of home.
Christopher Marlowe, Complete Poems and Translations|... We [can't] escape the influence of sin in the world, but [do] we have to pay money to see and hear it firsthand?
Kay Redfield Jamison, An Unquiet Mind: A Memoir of Moods and Madness|No amount of love can cure madness or unblacken one's dark moods. Love can help, it can make the pain more tolerable, but, always, one is beholden to medication that may or may not always work and may or may not be bearable
Rushabh Patel|- in the end she felt pity for me, for the lost man. And when a girl's heart is moved to pity, that is, of course, most dangerous for her. She's sure to want to "save" him then, to bring him to reason, to resurrect him, to call him to nobler aims, to regenerate him into a new life and new activity. Well, everyone knows what can be dreamt up in that vein. I saw at once that the bird was flying into my net on its own.
Mark  Lawrence, Prince of Fools|It can't be more than a quarter of a mile to the finish, but it seems to go on forever. Do I really have to do this? My legs are entirely dead. Would it really matter if I stopped here?But I know I'd regret it if I did, so I plod leadenly on, distracting myself...with the thought that, whatever troubles I may have been carrying around in my head before the race, I have now entirely forgotten what they were. This thought is rather refreshing. Whatever physical pains it has involved, this ordeal has utterly absorbed me, forcing my brain to focus on the kind of concerns for which it evolved - navigation, survival, balance, digging deep - rather than on the fretful urban anxieties to which it has become habituated. Reconnecting with your inner animal, I suppose you could call it; and it feels good. Especially when, blissfully, I catch sight of the finish.
George Eliot|...I hear the sounds of melting snow outside my window every night and with the first faint scent of spring, I remember life exists...
Vernita Naylor, Get the Cheese, Avoid the Traps: : An Interactive Guide to Government Contracting|As a business owner don't think your limitations, think business; it's all about business.
Kimberly Kinrade, Forbidden Mind|I opened the door and stepped in. Raw pain filled me at the sight of my painting. 'Show me what it looked like, before the fire.' His request surprised me, but I did as he asked. With eyes closed, I projected the exact details of the painting I had poured my soul into. Just as I had experienced his love of surfing in a visceral way, he shared not just the visual beauty of my work, but the love and passion with which I had dedicated myself to it. 'Thank you. Now, it will never truly be gone.' I choked back a sob and went to Mr. K's office.
Stephen Colbert|Whenever someone like a plumber or a mechanic tries to explain something technical to me, I listen for about three seconds before it all just becomes white noise, like Charlie Brown's teacher.
Anita Desai, Clear Light of Day|We fall back into silence. I look around XO Café and notice that chatter happens mostly at tables where the diners are young and hip. The older couples, the ones sporting wedding bands that wink with their silverware, eat without the pepper of conversation. Is it because they are so comfortable, they already know what the other is thinking? Or is it because after a certain point, there is simply nothing left to say?
Helen Goldie, Nell of Whitemoss: You Are Never Alone|He would cry out, stretch his back in an arch, and his eyes would roll back in his head, and I was terrified that I would lose him before reaching the hospital. I kept crying out to God to save my boy. "Please, Lord! Please, Lord! Don't let him die!
Lailah Gifty Akita|All the material wealth cannot be substituted for the spiritual, physical, emotion and mental well-being.
John Steinbeck|Learning to read is probably the most difficult and revolutionary thing that happens to the human brain and if you don't believe that, watch an illiterate adult try to do it.
Maggie Macnab, Design by Nature: Using Universal Forms and Principles in Design|Design is a fundamental human activity, relevant and useful to everyone. Anything humans create—be it product, communication or system—is a result of the process of making inspiration real. I believe in doing what works as circumstances change: quirky or unusual solutions are often good ones. Nature bends and so should we as appropriate. Nature is always right outside our door as a reference and touch point. We should use it far more than we do.
Frederick Barthelme, Elroy Nights|There is a feeling of disbelief that comes over you, that takes over, and you kind of go through the motions. You do what you're supposed to do, but in fact you're not there at all.
John Zakour, The Doomsday Brunette|Our universe might have slid into equilibrium emitting nothing more than a quiet hiss. The fact that it spawned such plenitude is a miracle, one that is matched only by your universe giving rise to you.
Étienne de La Boétie|Not only my arrest but the others smack of the Haymarket. The police are very much in disrepute all over the country, and they wish to do something to clear themselves. They are trying to make it an anarchist plot. If they wish to make up a case, they may succeed.
George Eliot, Middlemarch|The memory has as many moods as the temper, and shifts its scenery like a diorama.
Adriana Trigiani|My family makes these vinegars - out of everything from grapes to peaches and cherries. We go through the whole process with the giant vat and drainer, label them, and give them as Christmas presents.
Katie Reus, Love Thy Enemy|His gaze strayed to her mouth as her tongue darted out to swipe cream off her bottom lip. He had to actually bite back a groan at the sight. He'd been with women who knew how to seduce, how to do everything right - because it was all choreographed and fake. With Dominique, he knew there was not artifice.	Even if she was driving him crazy.
Kim Holden, So Much More|My homeland,' says the guest, 'no longer exists. My homeland was Poland, Vienna, this house, the barracks in the city, Galicia, and Chopin. What’s left? Whatever mysterious substance held it all together no longer works. Everything’s come apart. My homeland was a feeling, and that feeling was mortally wounded. When that happens, the only thing to do is go away.
Patricia Riggen|When I'm off the golf course, and my wife and I have free time, which is not very often, we really enjoy movies. I'm a movie nut; she might even be more so. Holiday in our house is the Oscars.
Sumit Agarwal, The Four Patriots|There is a difference between needy and helpless. While doling out free benefits to the needy is condemnable, the helpless must be assisted to get their lives back on track. No one should be living in fear or under oppressive conditions.
Morgan Matson, Since You've Been Gone|When you move as much as I have...you know how it ends. You promise to stay in touch with people, but it doesn't work out. It never does. And you forgot about what the friendship used to be like, why you liked that person. And I hated it. And I just didn't want to do it again. Not with you.
R.E. Butler|He didn't want just one morning with her, just one dawn breaking across the horizon. He wanted every dawn forever, every night, and the hours in between.
Edward Abbey, Postcards from Ed: Dispatches and Salvos from an American Iconoclast|The more we learn of outer space and inner space, of quasars and quarks, of Big Bangs and Little Blips, the more remote, abstract and intellectually inconsequential it all becomes.
Criss Jami, Healology|Question like a child, reason like an adult, and write like a sage.
Jerome K. Jerome, Three Men in a Boat|He just waited until I stopped talking and said, 'Jesus, kid, you're almost a detective. All you need now is a gun, a gut, and three ex-wives. So what's your theory?
David Gemmell, Lord of the Silver Bow|One day the enemy will cross the Great Green. They will bring war and tragedy to these eastern lands. Such is the nature of vile men. Yet we cannot live in dread of them. We cannot hide behind these high walls, our hearts trembling. For that is not life. We must accept the needs and the duties of each day, and face them one at a time.
Rati Tsiteladze|Everyone lets the present moment slip by, and then looks for it as though he thought it were somewhere else. No one seems to have noticed this. But while grasping this firmly, one must pile experience upon experience. Once a man has come to this understanding he will be a different person from that point on, though he may not always bear his truth in mind.
David L. Conroy, Out of the Nightmare: Recovery from Depression and Suicidal Pain|Even if we accept the view that biochemical imbalances may contribute to depression and suicide, it is a mistake to assume that the biochemical aspect of the problem is entirely within the victim. It is also partly within the physiological makeup of the people around the suicide.
Charles Baudelaire|Evil is committed without effort, naturally, fatally; goodness is always the product of some art.
Gail Carson Levine, Ella Enchanted|In that moment I found a power beyond any I'd had before, a will and a determination I would never have need if not for Lucinda, a fortitude I hadn't been able to find for a lesser cause.
Lailah Gifty Akita, Think Great: Be Great!|Great God, Great faith.
Georgia Clark, Parched|Perhaps he still hopes. If there’s any justice in the Gods’ injustice, then may they let us keep our dreams, even when they’re impossible, and may our dreams be happy, even when they’re trivial....Every dream is the same dream, for they’re all dreams. Let the Gods change my dreams, but not my gift for dreaming.
Terry Pratchett|Mister Rob Anybody and sundry others?" said one of the figures in a dreadful voice."There's naebody here o' that name!" shouted Rob Anybody. "We dinna know anythin'!""We have here a list of criminal and civil charges totaling nineteen thousand, seven hundred and sixty-three separate offenses-""We wasna there!" yelled Rob Anybody desperately. "Isn't that right, lads?""-including more than two thousand cases of Making an Affray, Causing a Public Nuisance, Being Found Drunk, Being Found Very Drunk, Using Offensive Language (taking into account ninety-seven cases of Using Language That Was Probably Offensive If Anyone Else Could Understand It), Committing a Breach of the Peace, Malicious Lingering-""It's mistaken identity!" shouted Rob Anybody. "It's no' oour fault! We wuz only standing there an' someone else did it and ran awa'!""-Grand Theft, Petty Theft, Burglary, Housebreaking, Loitering with Intent to Commit a Felony-""We wuz misunderstood when we was wee bairns!" yelled Rob Anybody. "Ye're only picking on us 'cause we're blue! We always get blamed for everythin'! The polis hate us! We wasna even in the country!
Alysha Speer, Sharden|Life is hell, at some point we all just have to get used to it.
Salvador Dalí|Those who do not want to imitate anything, produce nothing.
Dada Bhagwan|Where there is any kind of doer-ship, there is karmic bondage, and where there is knower-ship and inner understanding, there is Moksha [Liberation].
Gift Gugu Mona|One of the most difficult things to remember is to remember to remember. We forget that we live in a body with senses and feelings and thoughts and emotions and ideas. We get caught up in rumination and fantasy, isolating us from the world of colors, shapes, sounds, smells, tastes, and sensations constantly bombarding our input sensors. To stop and pay attention to the moment is one way of snapping out of these mindscapes, and is a definition of meditation. This awareness is a process of deepening self-acceptance. Whatever it observes, it embraces. There is nothing unworthy of acceptance.
