Joseph Prince|I like people and I like them to like me, but I wear my heart where God put it, on the inside.
Grimes|No doubt, the most important thing in my career was my time with Mr. Bergman, with whom I worked in so many films and also in so many stage productions, so it was a continuous working relationship and also a friendship, of course, that lasted for so many years.
Linda Winfree|She needed this. For the comfort, for the love, for all the glorious things she did not deserve and yet could not stop herself from wanting.
Krishnamurti|If you see that you are a bundle of memories and words, the restless monkey comes to an end.
Akemi G, Why We Are Born: Remembering Our Purpose through the Akashic Records|Imran Khan says 'End your ego, think of nation
Aniruddha Sastikar|We have come to understand the phenomena of life only as an assemblage of the lifeless. We take the mechanistic abstractions of our technical calculation to be ultimately concrete and "fundamentally real," while our most intimate experiences are labelled "mere appearance" and something having reality only within the closet of the isolated mind. Suppose however we were to invert this whole scheme, reverse the order in which it assigns abstract and concrete. What is central to our experience, then, need not be peripheral to nature. This sunset now, for example, caught within the network of bare winter branches, seems like a moment of benediction in which the whole of nature collaborates. Why should not these colours and these charging banners of light be as much a part of the universe as the atoms and molecules that make them up? If they were only "in my mind," then I and my mind would no longer be a part of nature. Why should the pulse of life toward beauty and value not be a part of things? Following this path, we do not vainly seek to assemble the living out of configurations of dead stuff, but we descend downwards from more complex to simpler grades of the organic. From humans to trees to rocks; from "higher grade" to "lower grade" organisms. In the universe of energy, any individual thing is a pattern of activity within the flux, and thereby an organism at some level.
Peter Fenn|The law was made for one thing alone, for the exploitation of those who don't understand it, or are prevented by naked misery from obeying it.
Ronnie Ray Jenkins|When reading dies, the imagination soon follows.
Suzumu, 終焉の栞 [Shuuen no Shiori]|In this world, there are only 'things that seem like the truth' and 'things that seem like rumors - A-ya
Joanna Russ|The reply to this was that Three took out a small revolver, and this surprised me; for everyone knows that anger is most intense towards those you know: it is lovers and neighbors who kill each other. There's no sense, after all, in behaving that way toward a perfect stranger; where's the satisfaction? No love, no need; no need, no frustration; no frustration, no hate, right? It must have been fear.
Mario Cuomo|I'm a scientist and I know what constitutes proof. But the reason I call myself by my childhood name is to remind myself that a scientist must also be absolutely like a child. If he sees a thing, he must say that he sees it, whether it was what he thought he was going to see or not. See first, think later, then test. But always see first. Otherwise you will only see what you were expecting. Most scientists forget that.
Jack Kevorkian|I think my father gave me a great reverence for medical science. He was about as opposite to the personality of House as one could imagine. He was polite and easygoing, and would have gone to great lengths to make his patients feel attended to and heard and sympathized with.
Jane Rainwater, Red Hats & Renegades|Miz Ellen, what do you carry in that handbag of yours that has enough wallop to knock down a full-grown man? - Dan Landry
John Burdett, Bangkok Tattoo|...killing Dirk, killing anybody, was not going to change anything apart from Francisco's f***ing ego, which was already large enough to house the world's poor twice over, with a few million bourgeoisie in the spare-room.
Orhan Pamuk, The Black Book|As I was looking at myself in the bathroom mirror, it occurred to me that if all else failed, a man could at least kiss himself, and I stared in to the mirror, conjuring up the memory of the couple in the film. I couldn't get the image of their lips out of my mind. But by now I'd realised I'd not even be kissing myself; I'd be kissing the mirror.
Brian Castner, The Long Walk: A Story of War and the Life That Follows|I hope to offer the personal as a way to connect to the universal, not a claim for one universal experience of having breasts, but a universal hope for kindness—to each other and our selves and our bodies.
Robert S. Cosmar|If we worship another, then we remain in duality. We have not fully entered the path within.Through awareness, we learn to worship the essence of our nature and the truth of existence within the temple of our own consciousness. Our worship is a realization of truth and oneness. It is rejoicing within our being.True worship is to fill ourselves with the awareness of eternity, to know our godliness as beings of light.Worship no person, or image -- only the awareness of who you are becoming.
Kyra Lennon, If I Let You Go|His jaw was set, telling me I should back off. Unfortunately, being a gobby cow meant I couldn’t.
Darwun St. James, CRICKET|That poor innocent snake was far more terrified of Nana then she ever was of the snake. Cricket could barely believe her eyes, but when that shotgun went off with a boom so did the snake. Up until yesterday, Cricket had never seen a snake fly!
Cheryl Strayed, Tiny Beautiful Things: Advice on Love and Life from Dear Sugar|She still loves him. This is the fact she wakes up to each morning. She checks it, sometimes, a tongue probing an aching tooth, making sure it still hurts.
Ted Lindsay|Here you do have forests, where pigs could be raised by letting them root about in the forests for a good part of the year. Therefore, you have a different attitude toward them compared with what continues to exist in the Middle East.
Ophelia London, Kissing Her Crush|You’re not broken, Dylan. I know you’re not.
Francine Rivers, The Atonement Child|I am much afraid that the universities will prove to be the great gates of hell, unless they diligently labour in explaining the Holy Scriptures, and engraving them in the hearts of youth. I advise no one to place his child where the Scriptures do not reign paramount. Every institution in which men are not unceasingly occupied with the Word of God must become corrupt.
Christopher Janaway|The will has no overall purpose, aims at no highest good, and can never be satisfied. Although it is our essence, it strikes us as an alien agency within, striving for life and procreation blindly, mediated only secondarily by consciousness. Instinctive sexuality is at our core, interfering constantly with the life of the intellect. To be an individual expression of this will is to lead a life of continual desire, deficiency, and suffering. Pleasure or satisfaction exists only relative to a felt lack; it is negative, merely the cessation of an episode of striving or suffering, and has no value of itself. Nothing we can achieve by conscious act of will alters the will to life within us. There is no free will. Human actions, as part of the natural order, are determined [....] As individual parts of the empirical world we are ineluctably pushed through life by a force inside us which is not of our choosing, which gives rise to needs and desires we can never fully satisfy, and is without ultimate purpose. Schopenhauer concludes that it would have been better not to exist—and that the world itself is something whose existence we should deplore rather than celebrate.
Meredith Ann Pierce, Birth of the Firebringer|Shortly after we were in bed I began my story, but made it so absurd, so long, and so tiresome, that, as my intention was, I sent her to sleep, and should have gone to sleep myself - but dark plots are ever wakeful. (“The Story of Prince Barkiarokh”)
Ford Madox Ford, Parade's End|Beshrew me but I love her heartily, For she is wise, if I can judge of her, And fair she is, if that mine eyes be true, And true she is, as she hath proved herself: And therefore like herself, wise, fair, and true, Shall she be placed in my constant soul.
Michael Reaves, Jedi Healer|I think this galaxy would be a whole lot nicer and more pleasant place to live if we all just stop killing one another. Who's with me on this?"A few chuckles and a couple of faux cheers were the response."You're a visionary," I-Five told him."Float it past Palpatine, see what he thinks," Uli suggested.
Santosh Thankachan|The big, bad unknown is only that until it is known. Then you look back and wonder what all the fuss and worry was about.
H.W. Brands, T.R.: The Last Romantic|Have you ever had an experience where, had things turned out just a little bit differently, your entire life would have been transformed?Like a Supreme Court clerkship, a Rhodes Scholarship gets mentioned in your obituary.The door was open just a crack, in a way that seemed to say “I have an ‘open door’ policy, but I really don’t want to be bothered.”Success didn’t take you off the treadmill, but simply put you on a different treadmill, at a higher speed and with a steeper incline.When we’re young, overachieving, and unstoppable, we all think we’re special. But as we grow older, we reach a more realistic understanding of our place in the world. It happens at different times for different people, but eventually we all come to terms with our own ordinariness.
Tanya Thistleton|Besides, there's nobody who is going to watch your back better than me. You know that. And that's why I'm going to be there with you, whenever there is, whenever you ask, and as long as I'm able, he said. It's what fathers do.Most father's don't show up with hand grenades and bowie knives.They should be ashamed of themselves, Jake said.
Cody Edward Lee Miller|Poetry without truth, is like a rose without thorns.Still pretty,But sometime the real beauty comes from the things that can make us bleed.
Shruti Upadhaya, White Noise|But during those two months of fog . . . the saddest and the heaviest thing was to stand beside the sea. To be upon the beach yourself, and see the long waves coming in; to know that they are long waves, but only see a piece of them. And to hear them lifting roundly, swelling over smooth green rocks, plashing down in the hollow corners, but bearing on all the same as ever, soft and sleek and sorrowful, till their little noise is over.
Émile Zola, The Masterpiece|The thing is, work has simply swamped my whole existence. Slowly but surely it's robbed me of my mother, my wife, and everything that meant anything to me. It's like a germ planted in the skull that devours the brain, spreads to the trunk and the limbs, and destroys the entire body in time. No sooner am I out of bed in the morning than work clamps down on me and pins me to my desk before I've even had a breath of fresh air. It follows me to lunch and I find myself chewing over sentences as I'm chewing my food. It goes with me when I go out, eats out of my plate at dinner and shares my pillow in bed at night. It's so extremely merciless that once the process of creation is started, it's impossible for me to stop it, and it goes on growing and working even when I'm asleep. ... Outside that, nothing, nobody exists.
Alexander Hamilton|Is ours a government of the people, by the people, for the people, or a kakistocracy rather, for the benefit of knaves at the cost of fools?
Stuart Ayris, Tollesbury Time Forever|The only place I see you headed, Grady, is where you want to go. Wherever that might be. You’re in control of your life. You have it in you to achieve whatever you set your mind to. And don’t let Drew or anybody else tell you different.
Chrys Fey, 30 Seconds|Okay, more disclosure. I'm not a fugitive at the moment, but I might become one. I don't know if I'm going back for a trial. I can't go to prison and leave the twins alone. We'll leave before it comes to that. I don't want to get you in trouble."	Hilda waved off the words. "I'm an old woman. They ain't gonna take me out of here in shackles. I've seen most of the local officers run around in diapers."	Luanne was pretty sure that didn't mean immunity. She'd seen Chase naked, and that hadn't stopped him from arresting her. She didn't tell that to Aunt Hilda.
James Dobson|The average American returning from a trip abroad likely - and understandably - assumes the contents of his or her electronic device does not come close to meeting the threshold of 'criminal' activity, such as would give a government agent the right to seize and peruse their iPad just because they are returning from a vacation.
Josh Stern, And That's Why I'm Single: What Good Is Having A Lucky Horseshoe Up Your Butt When The Horse Is Still Attached?|My heart goes out to some of those rather hostile yet highly intelligent individuals who may see problems really because they have solutions. That hostility is learned in defense; not offense. An often stubborn and prideful world, in its self-destructive, temporary bliss of ignorance, may be violently resistant to the watchful mind.
Ivan Rusilko, Dessert|What do you know about me, Isabeau?" He leaned forward, and I forced myself to stay still instead of shying away. He was so close that I could smell the subtle notes of his cologne: musk and wood with a hint of leather. What did he want me to say? That everyone said he was an ogre? Or that they all wanted to sleep with him anyway?"I...""Go on. You won't hurt my feelings." He was still smiling, slight dimples visible in both cheeks. The sight was destracting, to say the least."I know that you're the youngest CEO and partner in the company's history, and I know that you earned the spot by working your way up after graduate school instead of using your inheritance as a crutch.""Everyone knows that. What do you know about me? The real stuff. None of this press release bullshit."I looked down at my hands, anything not to have to look up at his face so close to me. "Um. People say... they say that you're scary. And that your assistants don't last long."He laughed, a deep, warm sound that seemed to fill up the office. I glanced up to see him smirking at me. I relaxed my grip on the desk a little. Maybe I wasn't being fired after all."What else do they say?"Oh, God. He can't possibly want me to tell him everything. Does he? The look on his face confirmed that he did. It was clear by the way he looked at me that I wasn't leaving this office until I gave him exactly what he wanted."They say. Um... They say that you're very, uh, good looking... and impossible to please.""Oh they do, do they?" He sat back, and tented his fingers beneath his chin. "Well, do you agree with them? Do you think I'm scary, handsome and woefully unsatisfied?"My mouth dropped open, and I quickly closed it with a snap. "Yes. I mean, no! I mean, I don't know..."He stood, then, and leaned in close, towering over me. "You were right the first time."Anxiety coursed through me, but I have to admit, being this close to him, smelling his scent and feeling the heat radiating off his body, it made me wonder what it would be like to be in his arms. To be his. To be owned by him...His face was almost touching mine when he whispered to me. "I am unsatisfied, Isabeau. I want you to be my new assistant. Will you do that for me? Will you be at my beck and call?"My breath left me as his words sunk in. When I finally regained it, I felt like I was trembling from head to toe. His beck and call."Wh-what about your old assistant?"Mr. Drake leaned back again and took my chin in his hand, forcing my eyes to his. "What about her? I want you."His touch on my skin was electric. Are we still talking about business? "Yes, Mr. Drake."His thumb stroked my cheek for the briefest of moments, and then he released me, breathless, and wondering what I'd just agreed to.
Mark Wahlberg|And the bummer thing is, ghosts never leave. They might leave you alone sometimes, but they're always there deep down, whispering lies in your ear. They echo the lies others told you: That you're not smart enough; that you're not pretty; that you'll never amount to anything.
Andrew James Pritchard, One In an Eleven Million|One day you will just wake up and you will do not want to remember that it was real fact, what has happened before you fell asleep.
Julia Hoban, Willow|And she knows then that she was right about her brother, that it takes an unbelievable strength to feel this kind of grief, and she doesn't know if she can handle it, because it really hurts, hurts her more than the razor ever could.
Amber Hurdle, The Bombshell Business Woman: How to Become a Bold, Brave, and Successful Female Entrepreneur|You want how you do business to be consistent among all team members, including partners, management, employees, and even vendors.
Samura|If you can't remember past history, don't worry;you are born to create a history for the future
Jeff Garvin, Symptoms of Being Human|Remembering that moment stirs something inside -- anger, at first, and then a deep, hollow sadness that ripples through me in its own spiderweb pattern.
Joseph Campbell, Thou Art That: Transforming Religious Metaphor|The Garden is a metaphor for the following: our minds, and our thinking in terms of pairs of opposites--man and woman, good and evil--are as holy as that of a god. (50)
C.G. Jung, The Psychogenesis of Mental Disease|The normal is that which nobody quite is. If you listen to seemingly dull people very closely, you'll see that they're all mad in different and interesting ways, and are merely struggling to hide it.
Ali ibn Abi Talib|If what you achieve today is equal to what you achieved yesterday, then you are at a loss. And if what you have achieved today is less than what you achieved yesterday, then you are deprived from the Almighty's blessings. Anyone who is not progressing, is in fact regressing, and if you are regressing, then you might as well be dead.
Sylvia Day, In The Flesh|The moment I met her she struck me dumb, deaf, and stupid. At only eighteen, she’d had everything— brains, beauty, class. And she’d known it too. In the eight years since, I’ve watched her toy with one man after another, sometimes for a weekend, sometimes for a couple of months. But the affairs always ended the same. With her handing him his hat and a don’t-slam-the-door-on-your-way-out.
Alexander Theroux|To this day I don't ever remember seeing a pet inside Moscow, I never saw anyone carrying a dog, or leading a dog. Err I finally saw a, a pet some years later in Kiev, so I thought that life must have been, different.
Harriet Beecher Stowe, Uncle Tom's Cabin|I wonder Why we make huge revolutions and then the result is zero of hopes,freedom or even to find the food !
Debasish Mridha|There is no love without kindness, there is no kindness without love.
Georges Limbour|Having spent a long time in open spaces, whether sea or desert, it is a luxury to be able to take refuge in towns with narrow streets which provide a fragile fortress against the assaults of the infinite. There is such a sense of security against the boundless there, even if the murmur of the wave or the silence of the sands still pursue one through tortuous corridors. The winds, despite their subtle spirits, are themselves lost in the vestibules of this labyrinth and, unable to find a way through, whistle and turn in turbulence like demented dervishes. They will not break through the walls of this den in which life still pulsates in the shadows of humanity's black sun.
Darren Hardy, The Compound Effect: Jumpstart Your Income, Your Life, Your Success|Why are you choosing to be unhappy, when you're created for happiness?
Lish McBride, Hold Me Closer, Necromancer|She whistled when she noticed my back. I assume because of my injuries. I mean, my ass just isn't that spectacular.
Diana Dentinger, Modus Vivendi: Your Life Your Way|Your Life Purpose is a blend of your Core Personality Needs. Remember it, define it and refine it as you journey through life.
Louise Penny, Bury Your Dead|Not everything buried is actually dead. For many, the past is alive.
Mike Jay, A Visionary Madness: The Case of James Tilly Matthews and the Influencing Machine|To look back before 1800 is to enter another world, one where the number of institutions for the mad was a tiny fraction of today's and what we would now call mental disorders were often understood as religious ecstasies or diabolical possessions.
Paul Bowles, Up Above the World|At some point in the night she had a dream. Or it was possible that she was partially awake, and was only remembering a dream? She was alone among the rocks on a dark coast beside the sea. The water surged upward and fell back languidly, and in the distance she heard surf breaking slowly on a sandy shore. It was comforting to be this close to the surface of the ocean and gaze at the intimate nocturnal details of its swelling and ebbing. And as she listened to the faraway breakers rolling up onto the beach, she became aware of another sound entwined with the intermittent crash of waves: a vast horizontal whisper across the bossom of the sea, carrying an ever-repeated phrase, regular as a lighthouse flashing: Dawn will be breaking soon. She listened a long time: again and again the scarcely audible words were whispered across the moving water. A great weight was being lifted slowly from her; little by little her happiness became more complete, and she awoke. Then she lay for a few minutes marveling the dream, and once again fell asleep.
Jamie McGuire, Beautiful Disaster|Are you asking me to undress, Tris?'A nervous laugh gurgles from my throat. 'Only ... partially
Ron Carlson, Ron Carlson Writes a Story|In brief, the teaching process, as commonly observed, has nothing to do with the investigation and establishment of facts, assuming that actual facts may ever be determined. Its sole purpose is to cram the pupils, as rapidly and as painlessly as possible, with the largest conceivable outfit of current axioms, in all departments of human thought—to make the pupil a good citizen, which is to say, a citizen differing as little as possible, in positive knowledge and habits of mind, from all other citizens. In other words, it is the mission of the pedagogue, not to make his pupils think, but to make them think right, and the more nearly his own mind pulsates with the great ebbs and flows of popular delusion and emotion, the more admirably he performs his function. He may be an ass, but this is surely no demerit in a man paid to make asses of his customers.
T.S. Eliot, The Family Reunion|One thing you cannot know: The sudden extinction of every alternative, The unexpected crash of the iron cataract. You do not know what hope is, until you have lost it. You only know what it is not to hope: You do not know what it is to have hope taken from you Or to fling it away, to join the legion of the hopeless Unrecognized by other men, though sometimes by each other.
Norman Lewis|I am looking for the people who have always been there, and belong to the places they live. The others I do not wish to see.
Robert Tew|There is only one real misfortune: to forfeit one's own good opinion of oneself. Lose your complacency, once betray your own self-contempt and the world will unhesitatingly endorse it.
Garth Nix, To Hold the Bridge|There are lots of people out there who are terribly hateful. She could avoid a whole lot of trouble and dress and act as they want her to, but she chooses to be herself. That's brave. Also - the last time we met she stopped Jackaby from hurting the men who hurt her. They might have killed her. Kindness is an act of bravery. I think, just as hatred is an act of fear. I'm sure can appreciate that not all strength is muscle, Mr. Finstern. She has a strong spirit, and I believe she is brave about the way she chooses to use it.
Amy Grant|Working with Roshni gives me lot of confidence. When I started SSN - in 1994, after a windfall gain from HCL-HP then - I was OK to do it alone. My brother, who was supposed to head it, passed away. We had a governing council to run it. That was a leap of faith, and we didn't know where we will get.
Swami Vivekananda|There are only two mistakes one can make along the road to truth; not going all the way, and not starting.
John Calvin|However many blessings we expect from God, His infinite liberality will always exceed all our wishes and our thoughts.
Jay Woodman|ego promenades, flounces, pushes in unwanted places, trips, stands on others, whereas a sense of destiny grounds - you just do what you do
Nate Parker|I'm an advocate of the great Dr. Johnson, the English man of letters who said that patriotism was the last refuge of the scoundrel.
Amber Silvia, Unspoken|You must really love this guy, huh? I mean, to be crying as ugly as you are?
Erica Bauermeister, The Lost Art of Mixing|Stories of her children when they were small, their round little bodies barely containing their personalities, which bloomed and glittered and melted into her.
Rebecca Solnit|Thanks to demographics, that conservative push is not going to work-the United States is not going to be a mostly white country again- and because genies don't go back into bottles and queer people are not going back into the closet and women aren't going to surrender. It's a war, but I don't believe we're losing it, even if we won't win it anytime soon either; rather, some battles are won, some are engaged, and some women are doing really well while others suffer. And things continue to change in interesting and sometimes even auspicious ways.
Richelle E. Goodrich, Making Wishes|Never give up.This applies to more than goals and dreams, it is a maxim for basic daily struggles. It shapes one's life, including the will to continue to live. It supports love and committed relationships; it bolsters hope, faith, and charity; it is power in every area of existence. Never give up on anything or anyone of any worth, especially yourself.
David Hume|The happiest folks are those that are busy, for their minds are starved of time to seek out woe. -The Crone's Eyes
Howard Tayler, Emperor Pius Dei|So you're a fellow mercenary, then.""Does this mean you'll afford me some professional courtesy?""Don't ask for that. All it means is that you might get to face the person who kills you. . . But only if it's convenient.
P.G. Wodehouse, The Man Upstairs and Other Stories|I was ambitious and desperate to direct my first film, so I capitulated and blew it. Never again. Never fucking again.
Carl Sagan, Dragons of Eden: Speculations on the Evolution of Human Intelligence|And despite the insignificance of the instant we have so far occupied in cosmic time, it is clear that what happens on and near Earth at the beginning of thesecond cosmic year will depend very much on the scientific wisdom and the distinctly human sensitivity of mankind.
Richard Stallman|The American legal industry is a medieval guild in which the prosecutors, bar, and bench join hands to ensure that legal invoices are paid, no matter how excessive.
Margaret Mitchell, Gone with the Wind|I sort of thought that maybe people had to talk that way, sort of saying the same things over and over because that way they can get along together without thinking." She stopped and thought. Why I was so worried,” she said, “was because if people didn't say those damn things over and over, then they wouldn't talk to each other at all.
Alain de Botton, Art as Therapy|Curiosity takes ignorance seriously, and is confident enough to admit when it does not know. It is aware of not knowing, and it sets out to do something about it
Lorenzo Snow|When in doubt as to what you should do, err on the side of 'giving.
Chimnese Davids, Muses of Wandering Passions|That is what you meant to me: a light that shone through the darkness.” (Your smile, p. 56)
Elizabeth Gilbert, Committed: A Skeptic Makes Peace with Marriage|I'd learned enough from life's experiences to understand that destiny's interventions can sometimes be read as invitation for us to address and even surmount our biggest fears. It doesn't take a great genius to recognize that when you are pushed by circumstance to do the one thing you have always most specifically loathed and feared, this can be, at the very least, an interesting growth opportunity.
Adam Young|Reality is a lovely place, but I wouldn't want to live there.
Franz Kafka|I am too tired, I must try to rest and sleep, otherwise I am lost in every respect. What an effort to keep alive! Erecting a monument does not require an expenditure of so much strength.
Keeper Peace|Lose yourself in the music, not the fog
Iyanla Vanzant|My mother's not a political person. She just doesn't want me to be mean... sometimes I have to be mean. It's like a parent or a teacher. Sometimes for the good of everybody you have to be a little bit strong, a little bit confrontational.
Carl Bernstein|I guess you'd call me an independent, since I've never identified myself with one party or another in politics. I always decide my vote by taking as careful a look as I can at the actual candidates and issues themselves, no matter what the party label.
Dean Koontz, Odd Thomas|Considering that the modern and contemporary literature taught in most universities is largely bleak, cynical, morbid, pessimistic, misanthropic dogmatism, often written by suicidal types who sooner or later kill themselves with alcohol or drugs, or shotguns, Professor Takuda was a remarkably cheerful man.
John Kenneth Galbraith, The Great Crash of 1929|Professors go batty too, perhaps more often than other people, although owing to their profession, their madness is less often remarked. 
Karen Chance, Hunt the Moon|I’d have been dead a long time ago if not for my friends, one of whom had just jumped off the cliff after me. I’d have been a lot more appreciative if he hadn’t pushed me first." ~Cassandra Palmer
Kenny Porpora, The Autumn Balloon|For a long time, I felt like I was destined to inherit a certain kind of life and so I wouldn’t let myself think of it for fear of being even cognitively associated with it. But writing about those same people and places changed that, and I could suddenly face them and understand them and forgive them. It was really then that I was able to understand that I wasn’t my past. Nobody is. One thing I have always loved about writing is how it can transform you and allow you to reinvent yourself. You could spend your whole life as a teacher, a doctor, a mother, a convict, whatever it may be; but the day you start writing, you start over. You’re a writer now.
Mehmet Murat ildan|Sarek frowned. "Insubordination?""Eccentricity," Spock replied. "Captain Kirk allows a great deal of leeway as long as his crewmembers do their jobs well. Mr. Chevron simply takes advantage of it.""That good at his job, is he?" asked Sarek."Indeed. Extremely good.
Ned Vizzini, It's Kind of a Funny Story|I don't-" I shake my head. (...) "What? What were you going to say?" This is another trick of shrinks. They never let you stop in midthought. If you open your mouth, they want to know exactly what you had the intention of saying.
Barbara Casey, The Cadence of Gypsies|Hurry up, he'll be coming back pretty soon!"Lynda spelled with a "y" Corgill, who was two years behind Dara, Mackenzie, and Jennifer, and had just completed her sophomore year, squeezed the hot glue gun into the door lock of the headmaster's office. Shelby Andrews, her accomplice and the newest resident to be accepted at Wood Rose, stood watch."I see the lights of the truck. Hurry! He's coming back! Are you finished?"Lynda gave the metal apparatus one last squeeze, filling the lock with the quick-drying cement glue guaranteed to harden on contact. "Finished."In the soft illumination of the crescent moon high overhead, the two girls, barefooted and wearing dark blue pajamas, ran across the lawn crisscrossed by dark, elongated shadows and dampened by night-cooled air to the maintenance shed where they placed the glue gun on the top shelf where it was normally kept. With their task completed, they quickly returned to the dormitory, to the far end from where Ms. Larkins slept, and crawled through the open window. Within minutes they were back in their rooms, in their individual beds, and sound asleep. The sleep of innocent angels.It would soon be light; and Wood Rose Orphanage and Academy for Young Women would start another day.
Suzanne Collins, Mockingjay|If you can't do something smart, do something right.
Hans Zimmer|If somebody tells you a rule, break it. That's the only way to move things forward.
Jay Woodman|Because here’s something else that’s weird but true: in the day-to-day trenches of adult life, there is actually no such thing as atheism. There is no such thing as not worshipping. Everybody worships. The only choice we get is what to worship. And the compelling reason for maybe choosing some sort of god or spiritual-type thing to worship–be it JC or Allah, be it YHWH or the Wiccan Mother Goddess, or the Four Noble Truths, or some inviolable set of ethical principles–is that pretty much anything else you worship will eat you alive. If you worship money and things, if they are where you tap real meaning in life, then you will never have enough, never feel you have enough. It’s the truth. Worship your body and beauty and sexual allure and you will always feel ugly. And when time and age start showing, you will die a million deaths before they finally grieve you. On one level, we all know this stuff already. It’s been codified as myths, proverbs, clichés, epigrams, parables; the skeleton of every great story. The whole trick is keeping the truth up front in daily consciousness. Worship power, you will end up feeling weak and afraid, and you will need ever more power over others to numb you to your own fear. Worship your intellect, being seen as smart, you will end up feeling stupid, a fraud, always on the verge of being found out. But the insidious thing about these forms of worship is not that they’re evil or sinful, it’s that they’re unconscious. They are default settings. They’re the kind of worship you just gradually slip into, day after day, getting more and more selective about what you see and how you measure value without ever being fully aware that that’s what you’re doing.
Maggie Stiefvater, Linger|Some people never say the words ‘I love you’, for like a child they’re longing to be told.
Jonathan Glover, Humanity: A Moral History of the Twentieth Century|Sir Edward Grey echoed this: More than one true thing may be said about the causes of the war, but the statement that comprises most truth is that militarism and the armaments inseparable from it made war inevitable. Armaments were intended to produce a sense of security in each nation – that was the justification put forward in defence of them. What they really did was to produce fear in everybody.
Anna-Marie McLemore, When the Moon Was Ours|They prickled her like thorns and leaves growing under her skin, and she felt the ache of a glass vine caging her forearm. They would crack, and the jagged pieces would cut into her wrists. Her blood would tint the glass. It would splinter and cut deeper into her.
Geoffrey Hill|Snooki is a bestselling author? Huh? What? I don't know if I should dumb down my book, shoot myself or find a publisher who'll settle for a rough draft written on a Pop-Tart and a coconut lotion handie..
Plato, Ion|The reason is that they utter these words of theirs not by virtue of a skill, but by a divine power - otherwise, if they knew how to speak well on one topic thanks to a skill, they would know how to speak about every other topic too.
Angela Richardson, All the Pieces|All I have ever wanted, needed, dreamed and desired is contained within you.
Terry Pratchett, Guards! Guards!|There are many horrible sights in the multiverse. Somehow, though, to a soul attuned to the subtle rhythms of a library, there are few worse sights than a hole where a book ought to be.Someone had stolen a book.
Sunday Adelaja|The word “marriage” lingered in Guy’s ears, too. It was a solemn word to him. It had the primordial solemnity of holy, love, sin. It was Miriam’s round terra cotta-coloured mouth saying, “Why should I put myself out for you?” and it was Anne’s eyes as she pushed her hair back and looked up at him on the lawn of her house where she planted crocuses. It was Miriam turning from the tall thin window in the room in Chicago, lifting her freckled, shield-shaped face directly up to his as she always did before she told a lie, and Steve’s long dark head, insolently smiling.
George Eliot, Daniel Deronda|I believe in good and evil," said Jem. "And I believe the soul is eternal. But I don't believe in the fiery pit, the pitchforks, or endless torment. I do not believe you can threaten people into goodness.
Suzanne Enoch, Sins of a Duke|But virtue, as it never will be moved,Though lewdness court it in a shape of heaven,So lust, though to a radiant angel linked,Will sate itself in a celestial bedAnd prey on garbage.
Eeva Lancaster, In Loving You - A Journey of Love and Self Discovery|We met last fall, and dreamt of summer days together. Winter came, and when you left, Winter stayed.
Peace Pilgrim|For the first time ever I was taking the family on the road. We stayed with my in-laws, which on life's list of experiences ranks right below sitting in a tub full of scissors.
Derek Jacobi|I worked as a secretary, a waitress and a dance teacher - all in high school.
Leonard Mlodinow|Mohammed was not an apparent failure. He was a dazzling success, politically as well as spiritually, and Islam went from strength to strength to strength.
Christina Dodd|No matter how they fought they had always been like this: balanced between anger and passion, between hurt and glory. When they first got together, she didn't understand how two people who had so little in common could be so madly, passionately in love. When they split, she had realized madness and passion could never keep a couple together.
Ben Carson|Not to discriminate every moment some passionate attitude in those about us, and in the very brilliancy of their gifts some tragic dividing on their ways, is, on this short day of frost and sun, to sleep before evening.
Ralph Waldo Emerson|When younger writers and poets, musicians and painters are weakened by a stemming of funds, they come to me saddened, not as full of dreams and excitement and ideas. I am then weakened and diminished, and made less rich.
Saurabh Sharma|They say love is all about raging hormones. For me, it's mind's way of breaking through its self-imposed limitations in order to set the eternally ecstatic soul free.
Chris Hedges, Empire of Illusion: The End of Literacy and the Triumph of Spectacle|The thing about dignity: it can be destroyed, but not taken unless it's given away. It can always be beautified.
Leslie W.P. Garland, The Golden Tup|You know,” he continued reflectively, “there is something very satisfying about making something, creating it, modelling it on your dream and making that dream become a reality. Yes, we all have dreams. That's the easy bit. It's making them come real that's not so easy.
inkness//IG poet|Doubt quit stopping by when I started staying out late, dancing in a flood of self assurance discovered when holding your hand.
Leslie Feinberg, Stone Butch Blues|Entertainment in its broadest sense- popular ballads, vaudeville, films, sculptures, plays, paintings, pornography, pulp novels-- has not only been a primary mode of expression of LGBT identity, but one of the most effective means of social change. Ironically, the enormous political power of these forms was often understood by the people who wanted to ban them, not by the people who were simply enjoying them.
Erin McCarthy, Bad Boys Online|Though Trish and her bad boy types weren't exactly Kindra's style, she had to agree that Violet went for quiet and uninteresting. Sort of like mild salsa. Why even bother? You'd be better off just biting a tomato.
D.E. Stevenson, Listening Valley|...some people might think our lives dull and uneventful, but it does not seem so to us. ...it is not travel and adventure that make a full life. There are adventures of the spirit and one can travel in books and interest oneself in people and affairs. One need ever be dull as long as one has friends to help, gardens to enjoy and books in the long winter evenings.
Onyi Anyado|As a leader, it’s critical to take the time to reflect in order to create a powerful vision for the company.
John Kenneth Galbraith|The first time I met Elizabeth Edwards, she greeted me at the door of her home juggling a yogurt in one hand and a Diet Coke in the other.
