Rand Olson, Children of Promise: The Ultimate Guide to Raising Healthy Kids|To enjoy true, vibrant health, increased awareness, effort, and focus are required.
Liza Featherstone, False Choices: The Faux Feminism of Hillary Rodham Clinton|A Hillary Clinton presidency would symbolically break the glass ceiling for women in the United States, but it would be unlikely to break through the military-industrial complex that has been keeping our nation in a perpetual state of war--killing people around the world, many of them women and children.
Marita Knobel, Singing Opera in Germany: A Practical Guide|So what I’m getting at is this. Okay, maybe it’s cold in the grave. Maybe you come out of the light and you think, Fuck your mother, this is bad. This is worse than anything I would have guessed. But the trick is to clench your teeth, get a running start and dive.When I hit that other country, from whose bourne no traveller back-pedals, I’m going to be moving fast. I’m gambling that the first ten seconds or so will be the worst.
Rupa Mehta, The Nalini Method: 7 Workouts for 7 Moods|I can hear the tick tick tick in my head: A tripwire ready to explode in fury. And then, in my mind, I start to count down from ten…any moment now.
Sarah Dessen, This Lullaby|There is also a tradition about Socrates. He liked walking, it is recorded, until a late hour of the evening, and when someone asked him why he did this he said he was trying to work up an appetite for his dinner.
Nenia Campbell, The Pocketbook of Sunshine and Rain|be my sonata, my cantata, my lovesing me something sweetbut not too sweet(or i may grow deaf to our harmonyas we decrescendo into silence)
William Arthur Ward|We can throw stones, complain about them, stumble on them, climb over them, or build with them.
Roshan Sharma|One of the hallmarks of great men is that they never make us conscious of their presence, instead they dwelve into our unconscious state and transform into conscious being!
Saginaw Chippewa|Blood memory is described as our ancestral (genetic) connection to our language, songs, spirituality, and teachings. It is the good feeling that we experience when we are near these things.
Robin Bielman, Worth the Risk|I don't bite, Lucy."She wanted him to. She wanted him to bite and suck and nibble and have his wicked way with her. She had a feeling he did things to a girl that made her body so turned on it took hours to turn off.
Pierre Boulle, Planet of the Apes|But once an original book has been written-and no more than one or two appear in a century-men of letters imitate it, in other words, they copy it so that hundreds of thousands of books are published on exactly the same theme, with slightly different titles and modified phraseology. This should be able to be achieved by apes, who are essentially imitators, provided, of course, that they are able to make use of language.
Ronald Reagan|Status quo, you know, is Latin for 'the mess we're in'.
Jennifer McMahon, The Winter People|You are a book being read every moment, By someone or the other, Though only in parts! But, you are extremely safe, Rather, unfortunate For no one has ever read the entire book!
Josephine Harwood, Empathy|With chemistry like theirs, this was the perfect setup for a fling...and Sherry wanted to go out on a high note."BRING ON THE ROADIE!
Leo Tolstoy|Only people who are capable of loving strongly can also suffer great sorrow, but this same necessity of loving serves to counteract their grief and heals them.
Thomas Huxley|Mixing one's wines may be a mistake, but old and new wisdom mix admirably.
Kunal Narayan Uniyal, Unanswered|It is a human propensity to refuse any change. After all, who desires to move out of their cosy caves and battle in this ever-developing world.
Daisaku Ikeda, For the Sake of Peace: A Buddhist Perspective for the 21st Century|Instead of engaging in cutthroat competition, we should strive to create value. In economic terms, this means a transition from a consumer economy - the mad rush for ownership and consumption - to a constructive economy where all human beings can participate in the act of creating lasting worth.
Robert Penn Warren, A Place to Come To|But, the stultifying lingo aside, the question I raise is a vital one for us all, we are all stuck with trying to find the meaning of our lives, and the only thing we have to work on, or with, is our past.
|The long road to success isn't meant to discourage and stress you; rather, it's only for the purpose of adding value to the prize you seek.
Brandi L. Bates, Remains To Be Seen|THE NEXT DAY WAS RAIN-SOAKED and smelled of thick sweet caramel, warm coconut and ginger. A nearby bakery fanned its daily offerings. A lapis lazuli sky was blanketed by gunmetal gray clouds as it wept crocodile tears across the parched Los Angeles landscape.When Ivy was a child and she overheard adults talking about their break-ups, in her young feeble-formed mind, she imagined it in the most literal of essences. She once heard her mother speaking of her break up with an emotionally unavailable man.She said they broke up on 69th Street. Ivy visualized her mother and that man breaking into countless fragments, like a spilled box of jigsaw pieces. And she imagined them shattered in broken shards, being blown down the pavement of 69th Street.For some reason, on the drive home from Marcel’s apartment that next morning, all Ivy could think about was her mother and that faceless man in broken pieces, perhaps some aspects of them still stuck in cracks and crevices of the sidewalk, mistaken as grit.She couldn’t get the image of Marcel having his seizure out of her mind. It left a burning sensation in the center of her chest. An incessant flame torched her lungs, chest, and even the back door of her tongue. Witnessing someone you cared about experiencing a seizure was one of those things that scribed itself indelibly on the canvas of your mind. It was gut-wrenching. Graphic and out-of-body, it was the stuff that post traumatic stress syndrome was made of.
José Saramago|Life is like that, full of words that are not worth saying or that were worth saying once but not any more, each word that we utter will take up the space of another more deserving word, not deserving in its own right, but because of the possible consequences of saying it.
Richard Corliss|Costumes say a lot about a character. When it came to 'Palo Alto,' it was important for me that the kids didn't look perfect. In most teen movies today, all of the clothes are expensive. I remember wearing a lot of dirty vintage clothes.
Walt Handelsman|When I first left university, I thought about going into the private sector. But I discovered when I went to interview that I could only have a career in the back office, or doing HR. The attitude was, 'My dear lady, you cannot possibly think about going on the board.'
John Green, Looking for Alaska|You can't keep acting like this," Lillian says, and for the first time in months, it's like she's actually trying to be nice. "Tragedy isn't this evil thing that came from outer space. It's just there, you know. Along with everything else.
Dada Bhagwan|One who experiences prasantta [blissful happiness] within, he will have prasantta [blissful happiness] externally. The mind is a mirror (reflection) for the external.
Ne-Yo|Mothers and children are human beings, and they will sometimes do the wrong thing.
Christopher Paolini, Inheritance|Go slowly, so that you do not bite your tail by accident.
|You don't have to get emotional and bitter at their negative opinions of you; instead, you have to rise to the challenge and show them that you are truly made of massive success. Vow to always push forward with faith and courage.
Rick Santorum|There is a growing literature about the multitude of journalism's problems, but most of it is concerned with the editorial side of the business, possibly because most people competent to write about journalism are not comfortable writing about finance.
Ludwig Wittgenstein|I looked at what he built, and to me it explained the stars.
Melina Marchetta, Looking for Alibrandi|A different Australia emerged in the 1950s. A multicultural one, and 30 years on we're still trying to fit in as ethnics and we're still trying to fit the ethnics in as Australians.
Emil M. Cioran, The New Gods|Somehow, the road rises up to meet you Patch, when you are ready.
Eyden I., Woman's Book: Only For Men|We spent a lot of money on buying clothes, but we spend our best times naked.
Pete Carroll|My school friends thought I was outgoing and bubbly, but that masked a lot of insecurities, and maybe that's the reason I chose drama - to build a bit of self-confidence. I had a great teacher, and I won a few speech and drama competitions and just fell in love with it.
Joseph Lewis, An Atheist Manifesto|Man's inhumanity to man will continue as long as man loves God more than he loves his fellow man. The love of God means wasted love. 'For God and Country' means a divided allegiance—a 50 per cent patriot.The most abused word in the language of man is the word 'God.' The reason for this is that it is subject to so much abuse. There is no other word in the human language that is as meaningless and incapable of explanation as is the word 'God.' It is the beginning and end of nothing. It is the Alpha and Omega of Ignorance.It has as many meanings as there are minds. And as each person has an opinion of what the word God ought to mean, it is a word without premise, without foundation, and without substance. It is without validity. It is all things to all people, and is as meaningless as it is indefinable. It is the most dangerous in the hands of the unscrupulous, and is the joker that trumps the ace. It is the poisoned word that has paralyzed the brain of man.'The fear of the Lord' is not the beginning of wisdom; on the contrary, it has made man a groveling slave; it has made raving lunatics of those who have attempted to interpret what God 'is' and what is supposed to be our 'duty' to God. It has made man prostitute the most precious things of life—it has made him sacrifice wife, and child, and home.'In the name of God' means in the name of nothing—it has caused man to be a wastrel with the precious elixir of life, because there is no God.
Timothy Snyder, Bloodlands: Europe Between Hitler and Stalin|The American and British soldiers who liberated the dying inmates from camps in Germany believed that they had discovered the horrors of Nazism. The images their photographers and cameramen captured of the corpses and the living skeletons at Bergen-Belsen and Buchenwald seemed to convey the worst crimes of Hitler...this was far from the truth. The worst was in the ruins of Warsaw, or the fields of Treblinka, or the marshes of Belarus, or the pits of Babi Yar.
Catherine Aird, Parting Breath|Sloane wasn't interested. As a police officer he was concerned with crime, not punishment.
Shawn Stewart Ruff, Finlater|See, you don't wanna be a Jew. Too much work--there's a lot of holidays but it's even more work. It's sanctioned oppression, it's God's tyranny.
Vladimir Prelog|As hardware doubles its density every 18-24 months, courtesy of Moore's Law, and as software eats the world, technology will replace a broad swathe of jobs outright - from burger-flippers to diagnosticians - and atomize many others from full-time positions into gigs performed by many fungible workers. Tech, in short, will eat jobs.
Andrew Carnegie|When fate hands us a lemon, let's try to make lemonade.
Mark Boyer|When a man loves a woman, as our old troubadours used to say, even if he has heard or seen something that puts his beloved in a bad light, he should believe neither his ears nor his eyes, he should listen to his heart alone.
Isaac of Nineveh, The Ascetical Homilies of Saint Isaac the Syrian|Do you wish to take control of your life? Begin by focusing on steering the storm, rather than where the lightening strikes.
Justina Chen, North of Beautiful|When the creative impulse sweeps over you, grab it. You grab it and honor it and use it, because momentum is a rare gift.
Mitch Albom, Tuesdays with Morrie|There is no point in keeping vengeance or stubbornness. These things" -he sighed- "these things I so regret in my life. Pride. Vanity. Why do we do the things we do? Morrie Schwartz
Kevin DeYoung, What is the Mission of the Church?: Making sense of social justice, Shalom and the Great Commission|We’ve all heard that little woman who says, “Oh, it’s terrible what these young people do to themselves, in my lsi other drugs, is a terrible thing”.Then you look, the woman who speaks in this way: you have no eyes, no teeth, no brains, no soul, no ass, no mouth, no warmth, no spirit, nothing, just a stick… and avran made ​​you wonder how to reduce it in that state teas and pastries and the church.
Claire Scovell LaZebnik|I think films about men are often about characters who don't want to express their feelings. You're supposed to kind of admire them for not expressing their feelings. And I feel that's a bit dull. Women's stories often have stronger emotional content, which I enjoy doing. What I really love doing is mixing that with humor.
Lailah Gifty Akita, Think Great: Be Great!|You ought to recognise your special talent, for your specific purpose.
Richelle E. Goodrich, Slaying Dragons|It's not wrong to feel sorry for yourself. Just like it's not wrong to stand in a puddle of water while the rain pours down on your head. But neither is productive, unless you enjoy feeling cold and miserable and soggy while mascara runs down your face.
Olivia Sudjic, Sympathy|In al-Qaeda we see a terrorist grouping with, in many ways, a medieval ideology, employing today's technology to great advantage. It works in a thoroughly modern way, virtual, amorphous, franchised and unbounded by geography. It has recruited people from all over the world. It understands the power of images, both in its campaign of terror and in its recruitment and proselytising material. It skillfully exploits the instant communications and social networking of the IT age.
Debasish Mridha|Speak with silence, listen with heart, and forgive with kindness.
Allie Everhart, Forever You|I plucked one plump black olive from the plate and put it in my mouth immediately before saying, “Well, I feel bad for you, then.”“Why’s that?”“Because I love antipasto.”“I guess I don’t understand why that’s a problem.”“Because,” I emphasized, cutting into a piece of salmon. “I don’t like to share.” I quickly slipped the smoked meat in my mouth before winking at him. His smile finally met his eyes again. “Good to know, because I’m not the sharing kind of guy either.” He winked back at me, but it was so blatantly comical that I couldn’t help the laugh that flew out of my mouth. “Something tells me you’re not talking about cured meats,” I said before slapping his hand away from my olives. “I knew you were smart.”I swallowed the olive I’d snatched from his hand and glared at him, while mouthing, “Mine.”“Funny, that’s what I was thinking, too,” he said, looking directly at me.
Hope Alcocer, Where Hope Lies|On the contrary, I think making you happy should be taken very seriously.
Oscar Wilde, The Picture of Dorian Gray|As we must always remember, the most important freight that a road carries may be neither household goods, nor livestock, nor munitions of war—but ideas!
Amaka Imani Nkosazana, Sweet Destiny|Free your mind from the prison of your past. Time has allowed you to grow and develop into the person you're meant to be. Now, you are living a purposed filled life.
Stephen Jay Gould, Bully for Brontosaurus: Reflections in Natural History|Darwin's theory was received in Russia with profound sympathy. While in Western Europe it met firmly established old traditions which it had first to overcome, in Russia its appearance coincided with the awakening of our society after the Crimean War and here it immediately received the status of full citizenship and ever since has enjoyed widespread popularity.
Lisa Lampanelli|Being a father has fulfilled me in parts of my life that sustain me. It gives me a comfort and patience. All actors have this hole inside that they're trying to fill by performing. I'm anxious to keep creating, but I'm not so desperate any more because I have the love and support of my kids and wife.
Allison Tolman|Life is about not knowing, having to change, taking the moment and making the best of it, without knowing what's going to happen next.
Lillian Faderman, Odd Girls and Twilight Lovers: A History of Lesbian Life in Twentieth-Century America|Wilem: 'What is the word for that here? A man who is intimate with both women and men?''Lucky?' Denna suggested. 'Tired? Ambidextrous?''Ambisextrous,' I corrected.
A.M. Willard, Heated Sweets|His eyes settled due west and gazed through the silhouetted, leaf-bare branches to the now-black rolling hills of the mountains he called home. The sun was setting on another day in Laurel Cove, though he couldn’t help but wonder what was rising on the horizon.
Patricia Grasso, Courting an Angel|Thank ye."“For what?"“For bein’ who ye are."Gabby chuckled and shook her head, saying, “And who else could I be?
Don Roff|We often wait for that knock of opportunity, though I've found it's better to just grab a chainsaw and cut open your own fucking door.
Brandon Sanderson, The Alloy of Law|While some of us act without thinking, too many of us think without acting.
Noam Chomsky, On Language|Moynihan, when he was ambassador to the United Nations, produced the same effect when he attacked the Third World. These attacks aroused great admiration here; for example, when he denounced Idi Amin of Uganda as a "racist murderer." The question is not whether Idi Amin is a racist murderer. No doubt the appellation is correct. The question is, what does it mean for Moynihan to make this accusation and for others to applaud his honesty and courage in doing so? Who is Moynihan? He served in four administrations, those of Kennedy, Johnson, Nixon, and Ford - that is to say, administrations that were guilty of racist murder on a scale undreamed of by Idi Amin. Imagine that some minor functionary of the Third Reich had correctly accused someone of being a racist murderer.
Brené Brown|It is easy to see how quickly expectations become layered, competitive and conflicting. This is how the shame web works. We have very few realistic options that allow us to meet any of these expectations. Most of the options that we do have feel like a "double bind." When Marilyn Frye describes a double bind as "a situation in which options are very limited and all of them expose us to penalty, censure or deprivation.
Rhiannon Thomas, A Wicked Thing|I admired so many things about you. Almost everything. But I don’t want to wind up like you. I don’t want to starve to death, all alone on some island inside my own head. Hopeless.
Emil M. Cioran|Like a good Indian, he knew when to talk and when to remain silent. Like a good Indian, he knew there was never a good time to talk.
Mokokoma Mokhonoana|It’s easy to write a sentence, paragraph, or book. What’s difficult is writing the best sentence, paragraph, or book, you can write.
Amit Kalantri, Wealth of Words|A magician may step out without a purse, but he should never step out without a pack of playing cards.
Stephen Fry, Moab Is My Washpot|Sticks and stones may break my bones, but words will always hurt me. Bones mend and become actually stronger in the very place they were broken and where they have knitted up; mental wounds can grind and ooze for decades and be re-opened by the quietest whisper.
Raji Singh, Tales of the Fiction House|My great-great grandfather and I were the best of friends, although we never met
James D. Sass, Essays in Satanism|If you believe Might is Right, it follows that whoever cannot hold their ground does not deserve to keep it.
Kiersten White, Illusions of Fate|I don't dislike them, nor do I like them. I've never understood why one must love children simply because they are children. I don't love people because they are people; in fact, I rarely like any people at all. If a child is somehow deserving of admiration, I certainly won't deny it, but why hand it out like candy on Queen's Day?
Avery Flynn, Trouble on Tap|Maybe it's time to stop punishing yourself for past sins."	He wished it was that easy, but it wasn't. So if he was already this deep in, what was one more transgression? Snagging the hem of her tank top between two fingers, he tugged it taut. "I suppose you think you're the woman to show me the way?"	Leaning in close, she whispered into his good ear, "No one knows more about sinning than a Sweet.
Martha Hall Kelly, Lilac Girls|I walked home with a lighter step, for that night had knocked something loose in me, something long overdue to be knocked. At long last, I saw that group for what they were, with a few exceptions - a queer assortment of layabouts and late risers, most overdrawn at the bank or at least cutting into principal, only interested in who's going in the drawer at the Maidstone Club or their wedge on the fifteenth hole at Pebble Beach or dressing down the staff about a bit of shell in the lobster while shoveling canapés in. Jinx had done me a favor, freed me of any lingering allegiances to New York Society, snipped my fear of being on their bad side.
Martin Luther King Jr.|Those who are not looking for happiness are the most likely to find it, because those who are searching forget that the surest way to be happy is to seek happiness for others.
Lena Coakley, Worlds of Ink and Shadow|They both had the same calm and dreamy little cast of mind. They delighted in stories, in old Breton legends, and their favorite sport was to go and ask for them at the cottage-doors, like beggars:"Ma'am..." or, "Kind gentleman... have you a little story to tell us, please?"And it seldom happened that they did not have one "given" them; for nearly every old Breton grandame has, at least once in her life, seen the "korrigans" dance by moonlight on the heather.
Stephen Fry, The Fry Chronicles|Wine can be a better teacher than ink, and banter is often better than books
Meagan Spooner, Hunted|She moves like beauty, she whispers to us of wind and forest—and she tells us stories, such stories that we wake in the night, dreaming dreams of a life long past. she reminds us of what we used to be.She reminds us of what we could be.
Tim McGraw|In response to our fast-food culture, a 'slow food' movement appeared. Out of hurried parenthood, a move toward slow parenting could be growing. With vital government supports for state-of-the-art public child care and paid parental leave, maybe we would be ready to try slow love and marriage.
Betty Wason, Miracles in Hellas: The Greeks Fight On|In the midst of the heavy, hot fragrance of summer, and of the clean salty smell of the sea, there was the odor of wounded men, a sickly odor of blood and antiseptics which marked the zone of every military hospital. All Athens quickly took on that odor, as the wounded Greek soldiers were moved out of hospitals and piled into empty warehouses to make way for German wounded. Now every church, every empty lot, every school building in Athens is full of wounded, and on the pathways of Zappion, the park in the heart of Athens, bandaged men in makeshift wheel chairs are to be seen wherever one walks. Zappion is a profusion of flowers, heavy-scented luxurious flowers; but even the flower fragrance is not as strong as that of blood.
Ahtizaz Wani|Numbers are important to the life, you better stay good at arithmetics.
Dorothy Allison|He looked at me intently before speaking. “Why do you do that?”I frowned at him. “Do what?”“Push everyone away.” Danny told me simply.I was a little stunned and when I didn’t say anything, Danny continued on.“Darcie, what are you so afraid of? Why do you shut people out?” He looked at me searchingly.“Because it’s easier that way!” I yelled at him suddenly and he looked taken aback. I took a deep breath to calm down and added, “And I don’t like feeling vulnerable.” Danny stared at me. “Being vulnerable is nothing to be ashamed of Darcie …it’s what makes us human.”I shook my head furiously. “No! Being vulnerable makes you weak – just like every other emotion … if you allow yourself to care, you only end up getting hurt.”Danny threw me a consoling look. “But there’s nothing wrong with caring –”“No!” I interrupted angrily. “I don’t want to care! You only end up getting hurt … and it hurts so bad that you can’t breathe. I don’t want to feel like that. I don’t want to feel at all! It’s just easier to shut everyone out … if you don’t care about them – you won’t get hurt!
Gautama Buddha|We are not going in circles, we are going upwards. The path is a spiral; we have already climbed many steps.
Chris Manby, Getting Personal|How was it possible to be with someone and yet feel so utterly alone? How was it possible to be with someone as wonderful, warm and kind as Andrew and yet still wonder if love would ever find you?
Azar Nafisi|A novel is not an allegory.... It is the sensual experience of another world. If you don't enter that world, hold your breath with the characters and become involved in their destiny, you won't be able to empathize, and empathy is at the heart of the novel. This is how you read a novel: you inhale the experience. So start breathing.
David W. Earle|When it all comes crashing downTry to understand your meaningsNo one said it would be easyThis living, it ain't easy, ohYou were sewn togetherwith a tapestry of moleculesA billion baby galaxiesand wide open spacesAnd everything you need is hereEverything you fear is hereAnd it's holding you upIt just keeps holding you upWhen you came up from the groundFrom a million little piecesYou're a pretty human being
Anthony Biglan, The Nurture Effect: How the Science of Human Behavior Can Improve Our Lives and Our World|While humans have the propensity to develop a suite of prosocial behaviors, they are also capable of developing antisocial behavior, engaging in substance abuse, experiencing depression, and bearing children at an early age...Young people who develop aggressive behavior tendencies are likely to develop problems with tobacco, alcohol, and other drug use; to fail academically; to have children at an early age;and to raise children likely to have the same problems.
Rick Riordan|I’ll leave you guys to get acquainted. Somebody show Leo to dinner when it’s time?” “I got it,” one of the girls said. Nyssa, Leo remembered. She wore camo pants, a tank top that showed off her buff arms, and a red bandanna over her mop of dark hair. Except for the smiley-face Band-Aid on her chin, she looked like one of those female action heroes, like any second she was going to grab a machine gun and start mowing down evil aliens. “Cool,” Leo said. “I always wanted a sister who could beat me up.
Tara Sivec, Seduction and Snacks|...he called me whore, slut, bitch…all the beautiful ugly words that secretly thrilled me.
Mehmet Murat ildan|I wish I could invent a square, said everyone.
Parker J. Palmer|The limitation of riots, moral questions aside, is that they cannot win, and their participants know it.
Mehmet Murat ildan|If God is truth, that truth must reign supreme on the earth even as he reigns over the universe
Maureen Corrigan, Leave Me Alone, I'm Reading: Finding and Losing Myself in Books|It's a gift of tranquility when your adult desires mesh with your childhood background. I don't quite know why mine didn't, although I think books, again, are partly to blame.
Allie Burke, Paper Souls|Now, Emily didn't make a sound. There was something more defining about the soundless reality that condemned the paradigm of passion.
Barack Obama, The Audacity of Hope: Thoughts on Reclaiming the American Dream|To appreciate how income taxation reduces prosperity form what it could be, imagine a 100 percent tax on incomes. We wouldn't expect much prosperity in such a society. People would have no incentive to earn money. They would devote resources to hiding the little they did earn. No investments would be made. No savings would exist to increase living standards. People's activities would be grossly influenced by the tax. If we lower the rate from 100 percent, the principle does not change. . . If you want less of something, tax it.
Mehmet Murat ildan|No writer can be the ‘Master of the Words’ without loving them! Loving is the way for Mastering! No Love, no Master!
Christopher Isherwood, A Single Man|As they embrace, she kisses him full on the mouth. And suddenly sticks her tongue right in. She has done this before, often. It’s one of those drunken long shots which just might, at least theoretically, once in ten thousand tries, throw a relationship right out of its orbit and send it whizzing off on another. Do women ever stop trying? No. But, because they never stop, they learn to be good losers.
Temperance|I’d like to think that the day I realize we will always be miserable will differ from every other. I hope it will so obnoxiously stand out from the monotonous cycle of my days, that I wouldn’t forget that sorrowful moment of comprehension. But, when that breeze of reality comes by, it wont be a memorable hurricane, nor a momentous tornado. It will be the same, sad, soft wind that I felt the day before, and the day before that. Because the moment you understand your inevitable misery in life, may also be the day you see you are to always be dejected.
Nia Vardalos|During World War II, law-abiding Japanese-American citizens were herded into remote internment camps, losing their jobs, businesses and social standing, while an all-Japanese-American division fought heroically in Europe.
Lierre Keith, The Vegetarian Myth: Food, Justice, and Sustainability|We had a crisp, oily salad and slices of pink country sausages, an aioli of snails and cod and hard-boiled eggs with garlic mayonnaise, creamy cheese from Fontvielle, and a homemade tart. It was the kind of meal that the French take for granted and tourists remember for years.
Fakeer Ishavardas|It is no use dying, before one does.
Dan Groat, An Enigmatic Escape: A Trilogy|I had always been a boy in this place, and many of the trees and rocks and streams had been old men when I knew them. Some had died. All had changed. I knew that. I had changed the most.
Carl Raschke, GloboChrist: The Great Commission Takes a Postmodern Turn|Jesus’s use of the phrasing “a new commandment” is frequently scanted in light of its implicit ramifications. Because Jesus at the Last Supper has executed the “new covenant” with his disciples, the Great Commandment itself now acquires an unprecedented meaning. Its new meaning belongs to this sudden revelation not merely about who God is but also about what love is. Previously the Great Commandment bade us to love God and our neighbor. Now this love can be comprehended only in an incarnational situation. Its incarnate presence is the activation of profound rhizomic relations that explode from the center toward the ends of the earth. We are commanded to be incarnational in relation to one another just as God at the cross was incarnational in Christ. . . . We are no longer simply Christ’s “followers" - the pre-Easter form of relation to a master-and-teacher that is conventionally called “disciple” - but also perpetual Christ incarnators . . .
Jojo Moyes, Me Before You|When you graduate from "Being In Love" to "Loving Someone" you understand - Love is not about owning, Love is about wanting the best for them, It's about seeing or Helping them achieve great heights, with or without you. Love is not what you say, it's what you do.
Unarine Ramaru|Success is not for everyone, but if everyone had a phobia of failure, success was going to be a common thing.
A. Ashley Straker, Connected Infection|Do you realize that a middle-class couple, one archaeologist, one dolls' expert, can't move from their house because ancient spirits are blocking them in? It's a reasonable sort of day's experience, isn't it?
Frederick Buechner, Secrets in the Dark: A Life in Sermons|We are above all things loved--that is the good news of the gospel--and loved not just the way we turn up on Sundays in our best clothes and on our best behavior and with our best feet forward, but loved as we alone know ourselves to be, the weakest and shabbiest of what we are along with the strongest and gladdest. To come together as people who believe that just maybe this gospel is actually true should be to come together like people who have just won the Irish Sweepstakes. It should have us throwing our arms around each other like people who have just discovered that every single man and woman in those pews is not just another familiar or unfamiliar face but is our long-lost brother and our long-lost sister because despite the fact that we have all walked in different gardens and knelt at different graves, we have all, humanly speaking, come from the same place and are heading out into the same blessed mystery that awaits us all. This is the joy that is so apt to be missing, and missing not just from church but from our own lives--the joy of not just managing to believe at least part of the time that it is true that life is holy, but of actually running into that holiness head-on.
Mike Mullin, Ashfall|So I thought I’d feel different afterward, after the visible neon sign proclaiming 'virgin' had blinked out on my forehead. I’d spent years obessessing about it, so it seemed like somthing should have changed. Maybe it would have if I’d still been at Ceder Falls High School surrounded by the gossip and the braggadocio of teenage boys. But on my uncle's farm, nobody noticed, or at least nobody said anything. The next day, like every day, we dug corn, chopped wood, and carried water. And it didn’t really change much between Darla and me, either. Yes, making love was fun, but it wasn’t really any more fun than anything we’d already been doing together. Just different.
Steven Norton, Fly Away Days|It is nothing short of a transformed vision of reality that is able to see Christ as more real than the storm, love more real than hatred, meakness more real than pride, long-suffering more real than annoyance, holiness more real than sin. - Discipline
Denis Waitley|When I was at drama school, I wanted to change the world, and thought I had some great wisdom to impart to people about humanity. Now that I'm older, I know enough to realise that I know nothing at all.
Geoffrey S. Fletcher|We need to be politically engaged, but peculiar in how we engage. Jesus and the early Christians had a marvelous political imagination. They turned all the presumptions and ideas of power and blessing upside down.
William Hazlitt, The Round Table; Characters Of Shakespeare's Plays|Because we are human. We adapt, we adjust, and we think too damn much.
Katie MacAlister, Sex, Lies and Vampires|Man is by nature a curious animal. You can hide the truth from him temporarily, but not for ever.
Ashly Lorenzana|Storytelling wasn't about making things up. It was more like inviting the stories to come through her, let themselves be told.
Émile Zola, Pot Luck|Monsieur Josserand died very quietly - a victim of his own honesty. He had lived a useless life, and he went off, worthy to the last, weary of all the petty things in life, done to death by the heartless conduct of the only human beings that he had ever loved.
Jesse Ventura|Today, no less than five Supreme Court justices are on record, either through their opinions or speeches (or both), that they will consult foreign law and foreign-court rulings for guidance in certain circumstances. Of course, policymakers are free to consult whatever they want, but not justices. They're limited to the Constitution and the law.
Christos Yannaras, Relational Ontology|Every specific human being, however, thinks, judges, imagines, wills and expresses himself or herself in a unique, dissimilar, and unrepeatable mode--a mode of unpredictable difference, or otherness, which objectively defies description or delimitation.
Paige Tyler, Her Fierce Warrior|What man didn't enjoy a beautiful woman curled up in his lap, even if she did treat him like a scratching post every time she woke up?
Carlos Ruiz Zafón, The Angel's Game|He was waiting for me at the best table in the room, toying with a glass of white wine and listening to the pianist who was playing a piece by Granados with velvet fingers.
Mensah Oteh|If you don’t understand the concept of time or appreciate its value, it’s almost impossible to be successful.
Victoria Aveyard, King's Cage|Remember when we told each other no distractions?Yes. He runs a blazing finger over my earrings, touching each one in turn.Distract me.
A.J. Flowers, Fallen to Grace|Gabriel: What’s the point of having power, if one cannot use it? What’s the point of immortality, if one cannot truly live?
Idries Shah|The secrets of evolution, are time and death. There's an unbroken thread that stretches from those first cells to us.
Jenna Evans Welch, Love & Gelato|Before I could catch it, my heart slammed straight down to my feet, leaving me with a massive hole in my chest. It was amazing how I could just be going along, doing okay, and then suddenly-wham-I missed her so much even my fingernails hurt.
Carollynn Lemky, The Musical Mermaid|Well i am just going to try!" she thought confidently!
Debajyoti Ghosh|Every father and mother who struggle and earn honestly to nurture his children, is also soldier.
James Joyce|The idea is to make the ingredients sing, not a grand opera, but a jolly chanson.
Nina George, The Little Paris Bookshop|Without risk, life is far too predictable
Halldór Laxness|Human beings, in point of fact, are lonely by nature, and one should feel sorry for them and love them and mourn with them. It is certain that people would understand one another better and love one another more if they would admit to one another how lonely they were, how sad they were in their tormented, anxious longings and feeble hopes.
Sunshine Rodgers, Last Night, When I Prayed|His real name is A.J., but he is known in Heaven as Armor because of how resilient he is in his faith and how persistent he is with his prayers.
William Shakespeare, Henry VIII|Today is your big moment. Moments, really. The life you’ve been waiting for is happening all around you. The scene unfolding right outside your window is worth more than the most beautiful painting, and the crackers and peanut butter that you’re having for lunch on the coffee table are as profound, in their own way, as the Last Supper. This is it. This is life in all its glory, swirling and unfolding around us, disguised as pedantic, pedestrian non-events. But pull of the mask and you will find your life, waiting to be made, chosen, woven, crafted. Your life, right now, today, is exploding with energy and power and detail and dimension, better than the best movie you have ever seen. You and your family and your friends and your house and your dinner table and your garage have all the makings of a life of epic proportions, a story for the ages. Because they all are. Every life is. You have stories worth telling, memories worth remembering, dreams worth working toward, a body worth feeding, a soul worth tending, and beyond that, the God of the universe dwells within you, the true culmination of super and natural. You are more than dust and bones. You are spirit and power and image of God. And you have been given Today.
Nina George, The Little Paris Bookshop|What a hideous life he had chosen, how painful was the loneliness he endured because he didn't have the courage to trust someone again. To trust someone entirely because in love there is no other way.
Delano Johnson, Rare Images of Love|Does anybody remember the day when family was family, a woman was a woman, and a man was a man?
John Irving, In One Person|As you near a finish line, do not slow down. Instead, run faster. Give all you have left until it is done. It is then that you may collapse.
Fernando Pessoa, The Education of the Stoic|Our problem isn't that we're individualists. It's that our individualism is static rather than dynamic. We value what we think rather than what we do. We forget that we haven't done, or been, what we thought; that the first function of life is action, just as the first property of things is motion.
