Faisal Nawaz Maitlo|Those people make us strong and then valuable, whom we do not like initially.
Javier Enríquez Serralde|Husbands are the leftovers of a stew called love –she thought—, and with hair on their faces.
Dada Bhagwan|The whole world believes that performing good deeds is dharma (religion). Performing good deeds is known as laukik dharma (worldly religion, that religion which does not lead us to self-realization but binds merit karmas).
H.G. Wells, The Holy Terror|You English," said Steenhold."You Americans," said Rud."When you aren't as fresh as paint," he said, "you Americans are as stale as old cabbage leaves. I'm amazed at your Labour leaders, at the sort of things you can still take seriously as Presidential Candidates. These leonine reverberators tossing their manes back in order to keep their eyes on the White House -- they belong to the Pleistocene. We dropped that sort of head in England after John Bright. When the Revolution is over and I retire, I shall retire as Hitler did, to some remote hunting-lodge, and we'll have the heads of Great Labour Leaders and Presidential Hopes stuck all round the Hall. Hippopotami won't be in it.
Sravani Saha Nakhro|Live more, whine less. Smile more, worry less. Love more, hate less.
Rick Riordan, The House of Hades|Nico drank from the chalice, then offered it to Jason. "You asked me about trust, and taking a risk? Well, here you go, son of Jupiter. How much do you trust me?"Frank wasn't sure what Nico was talking about, but Jason didn't hesitate. He took the cup and drank.
Ronald Steel|I like to talk. That's why I can't karaoke in a private room. Those types of shenanigans are only good in a public space. I got to say, though, with smartphones and instant upload of everything, our generation and definitely the next generation coming up, it's going to be hard to act a fool.
Eliot Coleman, The New Organic Grower: A Master's Manual of Tools and Techniques for the Home and Market Gardener|How many of us lobby for green energy or protected lands, but don't engage with the local bounty to lay by for tomorrow's unseasonal reality? That we tend to not even think about this as a foundation for solutions in our food systems shows how quickly we want other people to solve these issues.
Bruce Springsteen|From my father's point of view, without a thought for self, a true patriot stands up against the stones of condemnation and speaks for those who are given no real voice in the halls of justice or the halls of government.
J. Sarraf|The winter came with blossoms and the bees left their hive,The love was ephemeral when he became the prince charming,And the unbalanced promises couldn't take their stake
Robert Wald Sussman, The Myth of Race: The Troubling Persistence of an Unscientific Idea|Until slow and steady could win the race, being fast and speedier can bring no further grace
Agatha Christie, Murder in Mesopotamia|The amount of women you hear say, "If Donald—or Arthur—or whatever his name was—had only lived." And I sometimes think but if he had, he'd have been a stout, unromantic, short-tempered, middle-aged husband as likely as not.
Stendhal|Hope, deceiving as it is, serves at least to lead us to the end of our lives by an agreeable route.
Susane Colasanti, City Love|The time for equivocation has passed. You can stop this at any point by telling me we will rule the court apart from a distance, but until you do so"-he let liquid sunlight drip onto her skin-"I'm playing for keeps. I'm not a mortal, Aislinn. I'm the Summer King, and I'm done pretending to be anything other than that."He leaned down and said, "We could be amazing together."Then he was gone.
Charles J. Shields|There are no college courses to build up self-esteem or high school or elementary school. If you don't get those values at a early age, nurtured in your home, you don't get them.
Ismail Haniyeh|One simple way to keep organizations from becoming cancerous might be to rotate all jobs on a regular, frequent and mandatory basis, including the leadership positions.
Jennifer Castle, The Beginning of After|Now I lay facedown on the bed, sobbing for the womanwho once slept here not knowing that someday one of herworst fears would come true
Ilchi Lee, Change: Realizing Your Greatest Potential|For most people, meditation is associated with relaxation and peace of mind, and these are the practical reasons many people seek out, learn, and practice meditation. However, relaxation and peace of mind are only half of the uses of meditation. The other, probably more important aspect, is for creation.
Madeleine L'Engle, Walking on Water: Reflections on Faith and Art|Aeschylus writes, "In our sleep, pain that cannot forget falls drop by drop upon the heart and in our own despair, against our will, comes wisdom through the awful grade of God.
Jenny Han, Always and Forever, Lara Jean|He texts back: I love you.I'm starting to text back, I love you, too, when my phone rings. It's Peter's house number, and I answer it eagerly."I love you, too," I say.There is surprised silence on the other end, then a little laugh to cover it up. "Hi, Lara Jean. This is Peter's mom.
Sophocles, The Oedipus Cycle: Oedipus Rex/Oedipus at Colonus/Antigone|Because he had been- and in many ways still was- such a brilliant man, he no doubt understood the nature of his memory problem. It wasn't pride that prevented him from asking for help but a deep aversion to causing more trouble than necessary for those of us who lived in the normal world.
Christopher Hitchens|Our weapons are the ironic mind against the literal: the open mind against the credulous; the courageous pursuit of truth against the fearful and abject forces who would set limits to investigation (and who stupidly claim that we already have all the truth we need). Perhaps above all, we affirm life over the cults of death and human sacrifice and are afraid, not of inevitable death, but rather of a human life that is cramped and distorted by the pathetic need to offer mindless adulation, or the dismal belief that the laws of nature respond to wailings and incantations.
Martin Luther King Jr.|Our nation was born in genocide when it embraced the doctrine that the original American, the Indian, was an inferior race. Even before there were large numbers of Negroes on our shore, the scar of racial hatred had already disfigured colonial society. From the sixteenth century forward, blood flowed in battles over racial supremacy. We are perhaps the only nation which tried as a matter of national policy to wipe out its indigenous population. Moreover, we elevated that tragic experience into a noble crusade. Indeed, even today we have not permitted ourselves to reject or feel remorse for this shameful episode. Our literature, our films, our drama, our folklore all exalt it. Our children are still taught to respect the violence which reduced a red-skinned people of an earlier culture into a few fragmented groups herded into impoverished reservations.
Dietrich Bonhoeffer, Life Together: The Classic Exploration of Christian Community|Jesus Christ lived in the midst of his enemies. At the end all his disciples deserted him. On the Cross he was utterly alone, surrounded by evildoers and mockers. For this cause he had come, to bring peace to the enemies of God. So the Christian, too, belongs not in the seclusion of a cloistered life but in the thick of foes. There is his commission, his work. 'The kingdom is to be in the midst of your enemies. And he who will not suffer this does not want to be of the Kingdom of Christ; he wants to be among friends, to sit among roses and lilies, not with the bad people but the devout people. O you blasphemers and betrayers of Christ! If Christ had done what you are doing who would ever have been spared' (Luther).
James Gilligan|As a society, our decision to heap shame and contempt upon those who struggle and fail in a system designed to keep them locked up and locked out says far more about ourselves than it does about them.
Cheryl Sterling, Mr. Right, Mr. Wrong, Mr. Alien: A science fiction short story romance|Light side? Dark side? Oh no, it's all grey to me.
Mark McKinnon|I was raised in the '70s, and I've worked with people I love, and I've been on sets with my parents, with people who run a set and require of actors a sense of liberty and freedom and exploration and failure into brave achievement.
Tyler Kord, A Super Upsetting Cookbook About Sandwiches|It's important to achieve balance in sandwiches, because who really knows how to achieve it in life? Life is messy, difficult, occasionally great but mostly upsetting and out of your control. But you can always make a good sandwich, and a good sandwich will make you happy!
The Mumonkan Case 29 translation by Robert Aitken|Two monks were arguing about the temple flag waving in the wind. One said, "The flag moves." The other said, "The wind moves." They argued back and forth but could not agree. The Sixth Ancestor said, "Gentlemen! It is not the wind that moves; it is not the flag that moves; it is your mind that moves.
Billy Graham, Billy Graham in Quotes|America’s Declaration of Independence speaks of “the pursuit of happiness,” but nowhere in the Bible are we told to pursue this. Happiness is elusive, and we don’t find it by seeking it.
Arthur Conan Doyle, Sherlock Holmes: The Complete Novels and Stories, Volume I|Miss Morstan and I stood together, and her hand was in mine. A wondrous subtle thing is love, for here were we two, who had never seen each other until that day, between whom no word or even look of affection had ever passed, and yet now in an hour of trouble our hands instinctively sought for each other. I have marveled at it since, but at the time it seemed the most natural thing that I would go out to her so, and, as she has often told me, there was in her also the instinct to turn to me for comfort and protection. So we stood hand in hand like two children, and there was peace in our hearts for all the dark things that surrounded us.
Debasish Mridha|In summer, we grow younger and stay young forever.
R.A.Delmonico|If our leaders ignore the rule of law, it is certain that they have broken the social contract. The social contract is not a declaration of a lasting war but of a lasting peace who's regulation is charged by the will of the people under the rule of law. I pray the we are wise enough to keep our moral compass.
Truth Devour, Wantin|When blackened night falls, darkness exists if one chooses to rely on sight as thy only guide.
David Horowitz|My generation took on political equality. I believe young people, who have graduated into a poor economy, have an incentive to take on much tougher issues of income equality. If they show the leadership they have demonstrated in the last few elections, they can bring changes even greater than my generation achieved.
Christopher Pike, Thirst No. 1: The Last Vampire, Black Blood, and Red Dice|I loved her [Gilberte]; I was sorry not to have had the time and the inspiration to insult her, to hurt her, to force her to keep some memory of me. I thought her so beautiful that I should have liked to be able to retrace my steps so as to shake my fist at her and shout, "I think you're hideous, grotesque; how I loathe you!"_
Guatama Buddha|A wise person can enter and dwell in his own teacher's knowledge, having realized it for himself through knowledge.
Hannah Lillith Assadi, Sonora|We are all cursed. We live in the era of the curse. A world that cannot be fixed. The best thing would be an alien ship. Another planet. One with three moons. But you, I saw you in my dreams. I saw you coming. You came to heal my broken heart. That's why I named you Ahlam.
Stephen Hawking|Teaching's hard! You need different skills: positive reinforcement, keeping students from getting bored, commanding their attention in a certain way.
Tiesto|The reason we have cancer and heart disease is the same reason you can't get rid of the wear and tear on your tires on your car: as soon as you use them, you are wearing them away. You can't make eternal tires, and it's the same with the human body.
Jay Parini|I don't really care what people tell children - when you believe in Santa Claus, the Easter Bunny and the Tooth Fairy, one more fib won't hurt. But I am infuriated by the growing notion, posited in some touchy-feely quarters, that all women are, or can be, beautiful.
John O'Donohue|I'm in love with beauty and things and people and love and being in love, and those things, I think, on the inside, show on the outside.
Mary Daly|"Plain English" - everybody loves it  demands it - from the other fellow.
T.S. Eliot, Old Possum's Book of Practical Cats|The Pekes and the Pollicles, everyone knows, Are proud and implacable, passionate foes;It is always the same, wherever one goes.And the Pugs and the Poms, although most people saythat they do not like fighting, will often displayEvery symptom of wanting to join in the fray.And theyBark bark bark bark bark barkUntil you can hear them all over the park.
Clemence Poesy|I have beautiful, beautiful clothes, designed by my bachelor boy son, Kenny. Kenny has a big following as it is, and even Lady Gaga has asked Kenny to design dresses for her. But Kenny isn't very keen on, well, shall we say, extreme women. He likes someone that women all over the world can identify with.
Hunter S. Thompson, Hell's Angels: A Strange and Terrible Saga|Hello, Kanta. They're saying interesting things about you on the news," she said. "I wondered if you'd survived.""He didn't," I said. "I killed him."Silence."I killed Mkhai, too," I said. "Tens of thousands of years, gone in the blink of an eye.""Why are you telling me this?" asked the voice."Because you're next," I said. "I'm the demon slayer. Come and get me.
Jim Butcher, Small Favor|Fairy tales are such evil stories for young children. Every time I'm in a mess I expect a long-haired posh-speaking man to come trotting into my life (on a horse of course, literally trotting himself...) Then you realize you don't want a long-haired posh-speaking man trotting into your life because he's the one who put you in the bloody mess in the first place.
Alexis de Tocqueville|It is only natural, of course, that each man should think his own opinions best: the crow loves his fledgling, and the ape his cub.
Karsten Knight, Wildefire|It's a never ending dream for everyone it seems, to find again what was once precious and has been lost.
Tarang Sinha|It's difficult to carry the weight of responsibilities. But, it's more difficult to carry the weight of expectations.
Terry Goodkind, The First Confessor|Chickens can move and flop for hours after their heads are cut off. They have no heartbeat either," Naja said, "and that doesn't involve magic.
H.E. Davey, Japanese Yoga: The Way of Dynamic Meditation|If we fail to realize our full potential as human beings, we live more on an animalistic level. This is fine for dogs, cats, and chimpanzees but doesn’t work quite so well for women and men. Without the capacity to freely shape our own lives, much as a sculptor might carve stone, we inevitably slip into negativity and depression.
Philip Sington, The Valley of Unknowing|Every secret of the body was rendered up--bone risen through flesh, sacrilegious glimpses of an intestine or an optic nerve. From this new and intimate perspective, [Briony] learned a simple, obvious thing she had always known, and everyone knew: that a person is, among all else, a material thing, easily torn, not easily mended.
Steven Magee|There are no electromagnetic field (EMF) book millionaires yet, but that may change with the roll out of the fifth generation (5G) wireless networks.
Lisa Renee Jones, The Master Undone|We reach the trailer and Shane digs through the pockets of the cargo pants slung over his arm until he finds the key. He pushes open the door and waits for me to pass through. Maybe later I’ll tell myself I should have thought long and hard about what I was going to do, that I should have counted to ten and waited until I regained my sanity before stepping over the threshold, evaluated the pros and cons like a thoughtful, rational adult. But I do no such thing. Shane’s eyes are on mine as I step out of my wet sneakers, drop my damp clothes in a ball on the porch, and walk inside. He follows right behind me, and even through my wet shirt I can feel the heat radiating off his bare chest. The man is a furnace. Every warning about playing with fire zings through my mind, but I dismiss them. I want this. I’m not playing games, and neither is Shane as he grips my shoulders and turns us so my back is to the door and he’s pressed up against me. He lowers his head so our eyes are inches apart and looks at me more closely and thoughtfully than anyone ever has. He’s checking to make sure I’m okay, that my expectations are in line with what today is about. And they are. Just once, we agreed. And that will be enough.
Rosslyn Elliott, Lovelier Than Daylight|For an entire wing of the G.O.P., a dysfunctional government, whose only visible activity is mismanaging crises, is not an embarrassment but the vindication of a worldview.
Mehmet Murat ildan|I can’t simulate you with moon, moon is fully naked and you are fully clothed.
Richelle E. Goodrich, Slaying Dragons|The hero isn’t the one who is right, but the one who steps forward to take the blame—deserved or not—and apologize to save a relationship.
G.K. Chesterton, Saint Thomas Aquinas|All great art contains at its center contemplation, a dynamic contemplation.
Fakeer Ishavardas|I love religious nuts. They make me remember I have them too. So, being a health nut, I scratch them religiously. Just as I do my butt.
Mehmet Murat ildan|Those who want to have a beautiful future must first dream of a beautiful future! Dream is the first step; it is the first action; it is the first move before any move, it is the first of everything!
Hayao Miyazaki|The friendship I had with Elvis began to take shape in 1968 when I was recording in Memphis. I'd record during the day, and Elvis would send one of his guys over to bring me to Graceland at night. Everything you've heard about Graceland during Elvis's glory days is true and then some.
Stephen King|JAMIE'S SONG 'HEAVEN':You hold me so tight that I can’t breathe,You make me feel light that I can’t sleep.Float from our bed, fly away,Soaring like angels through the heavens and seas.I wish that we hadn’t taken so long,To realise this is where we belong.This is the life, that you and IHave been dying for.If heaven is this,This place in your arms,I’m not afraid of dying,I want to die tonight.If heaven is this,Your lips when we kiss,I’m not afraid of dying,Let them kill me tonight.And I know I’ll go to heaven, Because I made you smile.Yes, I know I’ll go to heaven,Because you loved our life.But if they banish me to hell,You will pull me out again.You belong in heaven, And I belong with you.
Paul Rand|Design is the method of putting form and content together. Design, just as art, has multiple definitions; there is no single definition. Design can be art. Design can be aesthetics. Design is so simple, that's why it is so complicated.
Maya Angelou|Have you ever just laid down on the grass and watch as the day slowly transitions to evening? The sky flows through hues of orange and slowly fades to greys, the incredible palette of dusk. This is where the magic begins to happen. First the planets reveal themselves as bright pinpoints of light against the bleak canvas, and for a few moments they are the only thing you can focus on - they’re so bright that they draw away from anything else. When you stare at only one, when there is so much distance between it and anything else, it almost seems to be dancing back and forth in space, playing mind tricks on you. However, as you emerge from its hypnotic trance, you begin to see the less significant stars awaken from what seems like nowhere. They too earn your attention, but in a different way. You can’t look at them directly because otherwise you won’t see their beauty. You have to glance at them from the side, from the corner of your eye to really see them in their fullness. The sky is not yet completely in darkness and the universe is already showing off. Distant stars even further light years away and planets orbiting from afar being to emerge and before you know it you almost don’t know where to look, there are little grains of sand lighting up the sky from everywhere. This happens every night - a spectacular natural light show but so many people miss it. It’s sad to think that, but it makes viewing it that much more special when you get to experience it. Just you and the universe, watching itself through your own very eyes.
Bridget Zinn, Poison|I'm glad you escaped, Kyra," Fred said, looking serious again. "And that I found you.""Me too," Kyra said, glancing up at him. "It wouldn't have been much of a life trying to live in the dumbwaiter."Fred leaned down and kissed Kyra full on the lips.Kyra pulled away. "How do you know I'm interested in you? Just because you've decided I'm worth hanging around for doesn't mean I feel the same way."Fred cocked his head at her. "Really?""Oh, okay," Kyra said.Then she kissed him back.
Mara Wilson, Where Am I Now?|A lot of men wonder what a woman wants. The answer is power. There are many ways to get it, but the easiest way is to tear other girls down. Any girl can play that game, but there's no way to win, except not to play at all.
Ernest Agyemang Yeboah|The wealth of some people is here on earth. The wealth of other people is somewhere afar from the earth. Whatever the wealth may be, we must think of a wealth that is distinctive
Jettie Necole, The Vault|We’re in an underground vault, and here’s my first order: You’re going to do everything I tell you to do.
Joyce Dennys, Henrietta Sees It Through: More News from the Home Front 1942-1945|I don't think it's a question of liking or disliking it," Tengo said..."It was the one thing he was best at." "Hmm. I see," Kumi said. She pondered this. "But that might very well be the best way to live your life.
Arthur Schopenhauer, Parerga and Paralipomena|When you have mastered numbers, you will in fact no longer be reading numbers, any more than you read words when reading books. You will be reading meanings.
Robert C. Merton|Because I spent many years during my previous life as an academic researching game theory, some commentators rushed to presume that as Greece's new finance minister, I was busily devising bluffs, stratagems and outside options, struggling to improve upon a weak hand. Nothing could be further from the truth.
Susanna Clarke, The Ladies of Grace Adieu and Other Stories|That one,” Ferox said, pointing at Johann with a claw. “I can see he’s communicated like that before and I think I can speak to his mind. Let me see.”“After a moment, Johann broke from the line and approached the dragon.“You did ask me to come closer, didn’t you?” he asked.“Yes, I can speak to this one. He can be my rider.
Markus Zusak, The Book Thief|To be happy, be happy with what you have. To be sad, want what you deserve.
Van Harden, Life in the Purple Wedge!|[God] wants your adoration. He wants your confessions. He wants your thankfulness. He wants your requests. But most of all, He wants you and your love for Him with all your heart, strength, mind, and soul. What a joy it is to be so wanted by the Creator of everything.
Tove Jansson, Comet in Moominland|My Lasher is powerful beyond yourdreams of a daimon, and he has learnt much.’‘Learned,’ I repeated in amazement. ‘How learned, Deborah, for he is merely a spirit, and they areforever foolish and therein lies the danger, that in granting our wishes they do not understand thecomplexity of them, and thereby prove our undoing. There are a thousand tales that prove it. Has this nothappened? How so do you say learned?
|The presence of a problem in your life isn't to give you something to worry and cry about, but to occupy you with solving it and growing from its process.
Patience Johnson, Why Does an Orderly God Allow Disorder|In God’s Kingdom there are no overnight sensations or flash-in-the-pan successes.Anyone who wants to be used of God will experience hidden years in the backside of the desert. During that time the Lord is polishing, sharpening and preparing us to fit into His bow, so at the right time, like “a polished shaft” He can launch us into fruitful service. The invisible years are years of serving, studying, being faithful in another person’s ministry and doing the behind-the-scenes work. The Bible says, ‘God is not unjust; he will not forget your work’ (Hebrews 6:10 NIV 2011 Edition). Be patient; when the time is right He will bring forth the fruit He placed inside you.
Shannon A. Thompson, November Snow|I meant that the hatred of that July day in Nashville was alive and well on that horrible day in Pittsburgh. People hate others so they strike like snakes. It’s all connected—we’re all connected, bumping around into each other, some of us good, some bad, most a mixture. Every thought acted upon has consequences. Every one.
Louis Pasteur|The big lesson of planetary science is when you do a first reconnaissance of a new kind of object, you should expect the unexpected.
Johann Wolfgang von Goethe|If we should be worrying about anything to do with the future of English, it should not be that the various strands will drift apart but that they will grow indistinguishable. And what a sad, sad loss that would be.
Mary Elizabeth Owens, The Crimson Parasol|An Army wife is probably the only woman in the world whoknows and readily accepts that she is the mistress, because, let’sface it, the Army is the wife and the wife gets all the damnattention!
Chris Matakas, My Mastery: Continued Education Through Jiu Jitsu|Relationships formed through Jiu Jitsu are deeply rooted in respect for one another, and this is often not the case in matters of modern society.
Robert Jordan, The Eye of the World|The power of monsters is their ability to fuse opposites, to merge contraries, to subvert rules, to overthrow cognitive barriers, moral distinction, and ontological categories. Monsters overcome the barrier of time itself. Uniting past and present, demonic and divine, guilt and conscience, predator and prey, parent and child, self and alien, our monsters are our innermost selves.
William Faulkner|Let the writer take up surgery or bricklaying if he is interested in technique. There is no mechanical way to get the writing done, no shortcut. The young writer would be a fool to follow a theory. Teach yourself by your own mistakes; people learn only by error. The good artist believes that nobody is good enough to give him advice. He has supreme vanity. No matter how much he admires the old writer, he wants to beat him.
Sara Zarr, Roomies|Is that the destiny of all friendships, no matter how good they are? To die out or fade away? To end?
Michael Delaware|Savor the moments in life that make your heart glow. Chase after and find the moments that will take your breath away. In the end, it is only those milestones on life's journey that matter.
Nina LaCour, The Disenchantments|If man could be crossed with a cat, it would improve man but deteriorate the cat.
Doris Lessing, The Golden Notebook|You deplore what I did, but you still want to know the results of my research.
Elizabeth Gilbert, Eat, Pray, Love|Heaven knows we need never be ashamed of our tears, for they are rain upon the blinding dust of earth, overlying our hard hearts. I was better after I had cried, than before--more sorry, more aware of my own ingratitude, more gentle.
Maurizio Seracini|Anthropology demands the open-mindedness with which one must look and listen, record in astonishment and wonder that which one would not have been able to guess.
Frank Lentricchia, The Sadness of Antonioni|You think you know it, but you always find out new stuff.
David Joy, Where All Light Tends to Go|I did wonder what happened when we died, though, and I'd wondered about it for most of my life. Thinking that nothing happened, that there was absolutely nothing following all of this pain, seemed just as silly as magic. No, there had to be something.
Debasish Mridha|When computers are able to imagine, then humanity will get its death notice.
Ludwig van Beethoven|Some people ask the secret of our long marriage. We take time to go to a restaurant two times a week. A little candlelight, dinner, soft music and dancing. She goes Tuesdays, I go Fridays.
Donald J. Trump|Given the amount the human suffering Communists have caused, why is Communist so much less a term of revulsion than Nazi? When people describe particularly evil individuals or regimes, why do they use the terms Nazi or fascist but almost never Communist? And, unlike Hitler, Communist mass murderers are rarely used as examples of evil incarnate. Sometimes, in fact, they are used in a heroic or even entertaining way. There are “Mao” restaurants in various cities in the Western world. It is unlikely that there are any “Hitler” restaurants in the West. So, too, while Che Guevara T-shirts and posters are ubiquitous, there is nothing similar celebrating a Nazi, or fascist, or perhaps any non-Communist killer.
Hugh Howey, Dust|Sleep was a vehicle for passing the time, for avoiding the present. It was a trolley for the depressed, the impatient, and the dying.
Charles Haddon Spurgeon|if God spared not His own Son, how much less will He spare you!
Mensah Oteh|Circumstances, events or situations have no power except that which you give them.
Veronica Roth|There was only one option left, and it was letting go.
Alexander McCall Smith, The Revolving Door of Life|Patriotism in its simplest, clearest and most indubitable signification is nothing else but a means of obtaining for the rulers their ambitions and covetous desires, and for the ruled the abdication of human dignity, reason, conscience, and a slavish enthrallment to those in power.
Charles F. Glassman, Brain Drain   The Breakthrough That Will Change Your Life|Happiness is a habit,it’s more than fleeting,more than a disintegrating lozenge.
Dean C.Curry|What is the Christian's responsibility to this world? Is the Christian's responsibility simply, as the "Great Commission" suggests, to share the Good News of God's Kingdom to others, with the goal of making disciples of all nations and perhaps also, along the way, through acts of charity to help meet the material needs of human beings? In other words, is this the only justification for Christian engagement of the larger world?
Stella McCartney|Sally Jenkins of the 'Washington Post' is the best sports columnist in the country. Second best is Gene Wojciechowski of ESPN.com, and third is Dan Wetzel on Yahoo!
Glenn Turner|Beyond racing, I just love the art form of running, of conceiving new ideas like the 50 Marathons in 50 States in 50 Days. It's the ultimate expression of what I love to do, which is run, and travel, and see this great country.
Mark Twain|Lies and secrets, Tessa, they are like a cancer in the soul. They eat away what is good and leave only destruction behind.
Joyce Rachelle|No decent person deliberately chooses to be violent or cruel. We must remove our blinkers and learn that in order to live according to our true values, we need to stop viewing animals as commodities to be used, abused and killed for our own selfish benefit.
Saim .A. Cheeda|Regret is the strongest anchor that latches on to the ground, and you carry it within you, it is a feeling quite unlike others for it is despair mingled with hope.
Debasish Mridha|Rainbows paint the sky with different colors of love, sadness, and joy.
Daniel J. Siegel|In a brain scan, relational pain—that caused by isolation during punishment—can look the same as physical abuse. Is alone in the corner the best place for your child?
Chanaka Satharasinghe.|So, what do you photograph?”I swallow my wine.“What?”“You know – city scapes, nature, portraits, candid shots...”Boobs. I photograph boobs.“Uhh... people?
Nella Larsen, Passing|It hurt. It hurt like hell. But it didn’t matter, if no one knew.
Jeanette Winterson|Do you wake up as I do, having forgotten what it is that hurts or where, until you move? There is a second of consciousness that is clean again. A second that is you, without memory or experience, the animal warm and waking into a brand new world. There is the sun dissolving the dark, and light as clear as music, filling the room where you sleep and the other rooms behind your eyes.
Loren Weisman|If some musicians put half as much effort in to the business side as they do their outer look and appearances, they could be twice as far.
Jenna Alatari|Relationships are like gardening. If you don't water the plants, they die.
Parul Wadhwa|Love does that. It makes you feel infinite and invincible, like the whole world is open to you, anything is achievable, and each day will be filled with wonder. Maybe it’s the act of opening yourself up, letting someone else in— or maybe it’s the act of caring so deeply about another person that it expands your heart. I’ve heard so many people say some version of I never knew how much I could love another human being until . . . And after the until is usually something like my niece was born or I gave birth to a child or I adopted a baby. I never knew how much I could love another human being until I met you, Gabe.I’ll never forget that.
Zeshan Ali Sheikh|The more I read, the less I know.
Mary Wollstonecraft Shelley|If grammar is the skeleton of expression and usage the flesh and blood, then style is the personality.
Mizuho Kusanagi, NG Life, Volume 9|She was one of six people accused of the murder, five of hom took pleas; to had internalised their guilt so deeply that, aven after being freed, they still had vivid memories of committing the crime.
Bauvard, Some Inspiration for the Overenthusiastic|I bet there are a lot of women out there who want to sleep with a guy who reads. And being the head of the reading foundation, I’m very well endowed.
Fannie Flagg, Fried Green Tomatoes at the Whistle Stop Cafe|Nothing is ever as simple as it seems. At the edge of perception, weird things dance and howl.
Ilyan Kei Lavanway|Those who know you, don’t know you. Those who don’t know you, want to know you; and the cycle goes on.
Red Delachina|Weird is my personality, Complicated are my words and Mystery I am but those what gets you to like me.
Carsten Ostergaard Pedersen|When you get up in the morning, you select what you want to wear, however you do not realise you can also select what thoughts you are going to have. Your clothe leaves an impression on other people, your thoughts leaves an impression on you, choose wisely - Carsten Ostergaard Pedersen-
Viktor Orban|Most of the time, we keep looking outside and feeling sad about what others have. Those are mere excuses.
Samuel Beckett, Molloy|There have been extensive human rights violations by American psychiatrists over the last 70 years. These doctors were pad by the American taxpayer through CIA and military contracts. It is past time for these abuses to stop, it is past time for a reckoning, and it is past time for individual doctors to be held accountable. The Manchurian Candidate Programs are of much more than "historical" interest. ARTICHOKE, BLUEBIRD, MKULTRA and MKSEARCH are precursors of mind control programs that are operational in the twenty first century. Human rights violations by psychiatrists must be ongoing in programs like COPPER GREEN, the interrogation program at Abu Ghraib prison in Iraq. Such programs must be carried out within CIA units like Task Force 121 (The Dallas Morning News, December 1, 2004, p. 1A). Information pointing to ongoing human rights violations by psychiatrists is available in publications like The New Yorker (see article by Seymour M. Hersh, May 24, 2004). Yes the indifference, silence, denial, and disinformation of organized medicine and psychiatry continue. One purpose of The CIA Doctors: Human Rights Violations By American Psychiatrists is to break that silence.
Thomas Aquinas|Beneath all the rhetoric about relevance lies a profoundly disturbing possibility - that people may base their lives upon an illusion, upon a blatant lie. The attractiveness of a belief is all too often inversely proportional to its truth... To allow "relevance" to be given greater weight than truth is a mark of intellectual shallowness and moral irresponsibility.
Juliet Castle, The Silent Partner And Other Stories Of Truth|We are living in the falsehood due to the erroneous teachings of the society, community and the bordered nations.
K. Martin Beckner, A Million Doorways|She chose the attractive room, not noticing the cloven hoof exposed beneath the ornate curtains. That decision has surely haunted her every day since, finally catching up to her.
Kyung-Sook Shin, I'll Be Right There|And the tiresome part of sorrows is that they do not hurt in proportion to their validity and excusability. If we are to be sympathetic, we can remember always that silly suffering hurts just as much as sensible suffering.
Colleen Hoover, Too Late|ALL LOSSES IN THIS WORLD ARE DUE TO A LACK OF ABILITY. IF YOU WANT TO CURSE SOMETHING, CURSE YOUR OWN WEAKNESS
Susan C. Young, The Art of Communication: 8 Ways to Confirm Clarity & Understanding for Positive Impact|Listening is one of the finest ways to demonstrate our love for another human being. How many marriages could be saved, friendships healed, careers made, and opportunities enjoyed if people would simply stop what they are doing and listen deeply to what another person has to say. If practiced by everyone, this principle could be a world-changer!
William Paul Young, The Shack|As a Christian and a feminist, the most important message I can carry and fight for is the sacredness of each human life, and reproductive rights for all women are a crucial part of that. It is a moral necessity that we not be forced to bring children into the world for whom we cannot be responsible and adoring and present. We must not inflict life on children who will be resented; we must not inflict unwanted children on society.
Dave Davies|In the fourth grade, my history teacher gave us a project: Why was the auto industry located in Detroit, Michigan? I didn't know I was going to be an economist, but I knew I was going to do something that was involved in answering questions like that one because I thought that was a fascinating question.
Debasish Mridha|As a physician, we heal by sharing our bestowed power of knowledge, love, and compassion.
Caleb Crain, Necessary Errors|But what are they?” Annie asked.“An omphalos, probably,” said Jacob.“A what, dear?” Melinda asked.“A bellybutton of the world.”“I didn’t know it had one.
Phil Cooke|Today we must begin again. Step by small step, without any more protection than comes from our own bodies.
A.J. Darkholme, Rise of the Morningstar|Just like our story, the original Christmas tales were stories of searching, not so much for the lost, as for the familiar. Mary and Joseph sought in Bethlehem- the home of their familial ancestry- a place to start their own family; the three kings from the East journeyed beneath the sentinel star to find the King of Kings; and the shepherds sought a child in a place most familiar to them: a manger.
Queen Elizabeth II|Classic Christmas cookies are really time-consuming. Instead, make a bar you can bake in a pan and just cut up, like a brownie or a blondie or a shortbread, which still has that Christmas vibe.
Alfie Kohn, The Homework Myth: Why Our Kids Get Too Much of a Bad Thing|It is time that we had uncommon schools, that we did not leave off our education when we begin to be men and women.
Friedrich Nietzsche, Thus Spoke Zarathustra|As yet hath his knowledge not learned to smile, and to be without jealously ; as yet hath his gushing passion not become calm in beauty.
