Thomas Huxley|I'm not broke. Like everybody else, I owe money.
Dan Brown, The Da Vinci Code|Faith ― acceptance of which we imagine to be true, that which we cannot prove.
Neil Postman, Amusing Ourselves to Death: Public Discourse in the Age of Show Business|Regular crises perpetuate the past by reinvigorating cycles which started long ago. In contrast, (capital-C) Crises are the past's death knell. They function like laboratories in which the future is incubated. They have given us agriculture and the industrial revolution, technology and the labour contract, killer germs and antibiotics. Once they strike, the past ceases to be a reliable predictor of the future and a brave new world is born.
Dada Bhagwan|Just as one has no choice but to defecate, one has no choice but to get married. If your mind remains single, then there is no problem. However, one has no choice but marry if the mind is already married.
Richelle Mead, The Indigo Spell|I love snow for the same reason I love Christmas: It brings people together while time stands still. Cozy couples lazily meandered the streets and children trudged sleds and chased snowballs. No one seemed to be in a rush to experience anything other than the glory of the day, with each other, whenever and however it happened.
Lauren Beukes, Moxyland|You can map out a whole city according to the weight of memory, like pins on the homicide board tracking the killer's movements. But the connections get thicker and denser and more complicated all the time.
Marie Howe|Even If I Don’t See it Again Even if I don’t see it again.–nor ever feel it I know it is–and that if once it hailed me it ever does– and so it is myself I want to turn in that direction not as towards a place, but it was a tilting within myself, as one turns a mirror to flash the light to where it isn’t.–I was blinded like that–and swam in what shone at me only able to endure it by being no one and so specifically myself I thought I’d die from being loved like that.
S.L. Jennings, Fear of Falling|Life may not be pretty but it's always beautiful. We may only see the ugliness on the surface. The shit that only the world chooses to notice. But, if we dig deep, if we get to the heart of life, where there's no pain or fear, where we can just be who we are and love freely without judgement, it's really beautiful.
Seymour Hersh|God does not require you to follow His leadings on blind trust. Behold the evidence of an invisible intelligence pervading everything, even your own mind and body.
Bernadette Jiwa, Difference: The one-page method for reimagining your business and reinventing your marketing|As soon as we open our eyes in the morning, what we want most is to matter, to live a life and to do a work that has meaning. We have evolved to feel this way. Man's first thought was 'I AM'.
Julia L. Roberts|Deana Carter sings about it. Lady Antebellum sings about it. Eric Church. Gosh, not just country artists. Katy Perry. Everybody has a song about it because everybody's been through it. You find that person at eighteen and you lose yourself. And the tragedy is, it's the person who's completely opposed to everything you've ever wanted. You bond with that person, and that person breaks your heart. I'm that tragedy for you, and you're mine.
David W. Earle|When this low self-worth is hidden, one can understand why the person becomes hypersensitive to the opinions of others and has a great deal of difficulty accepting criticism no matter how warranted or gently said.
John Geddes, A Familiar Rain|...writers, like priests, should have compassion...and a sensitivity to pain...
Karen Armstrong, The Great Transformation: The Beginning of Our Religious Traditions|Unless there is some kind of spiritual revolution that can keep abreast of our technological genius, it is unlikely that we will save our planet. A purely rational education will not suffice.
Julian Quintero|The most difficult thing is letting go of something you believed you were born to do, but there is always other options.
T.F. Hodge, From Within I Rise: Spiritual Triumph Over Death and Conscious Encounters with "The Divine Presence"|What is different is not necessarily dangerous, and what is similar is not always secure.
Idries Shah, Sufi Thought and Action|Envy, is Pride's greatest Fear.
Russell Gutierrez|If you treat every situation as a life and death matter, you’ll die a lot of times.
Charlotte Brontë, Jane Eyre|Smartass Student : 'a man must have his own master.'Master of Stupidity: 'yea, everyone's somebody's bitch.
Peter Heller, The Dog Stars|If there is nothing else there is this: to be inundated, consumed.
André Aciman, Call Me by Your Name|They are embossed on every song that was a hit that summer, in every novel I read during and after his stay, on anything from the smell of rosemary on hot days to the frantic rattle of the cicadas in the afternoon—smells and sounds I’d grown up with and known every year of my life until then but that had suddenly turned on me and acquired an inflection forever colored by the events of that summer.
Dwayne Johnson|Cooking with your kids and engaging them in hands-on activities are two ways to begin to educate children about the healthy eating, and kick start the important task to help change how the younger generation looks at food and nutrition.
Margaret George, The Memoirs of Cleopatra|So I learned two things that night, and the next day, from him: the perfection of a moment, and the fleeting nature of it.
Catherynne M. Valente, The Girl Who Soared Over Fairyland and Cut the Moon in Two|You haven't met your Way yet. It hasn't so much as kissed your hand! You haven't even at the door of the hall where your Way dances. But look here, look see, I've got them, I've caught them up just for you, a big bouquet of anywhere you want to go. Just pick a bloom, my girl, hold it to your pretty nose.
Destin Bays, True Love|I mean, I don’t want to pass judgment—I just wish my husband didn’t shoot deer.”“Oh, Mel, don’t worry. I’ve been hunting with your husband—the deer are completely safe.
Alain de Botton, Status Anxiety|There is always an inertia to be overcome in striking out a new line of conduct – not more in ourselves, it seems, than in circumscribing events, which appear as if leagued together to allow no novelties in the way of amelioration.
Melinda Gebbie|I think, honestly, the film industry is eating up comics characters at such a fast pace, and spewing them out as so much unspeakable, stench-y, crap. I mean, I think people are going to get pretty sick of the comics product of superhero, per se. Super-heroism seems to be so visceral for these times. Nobody needs a big clunky guy to throw cars about. You know, we’ve got drunks in town here that can do that. We don’t need that kind of superhero. What we need is a super-sage. We need a genuine group of wise people. We need to become wise. That’s the job of tomorrow; becoming wise, and integrated, and understanding.
Sarah Silverman|In my circle of friends, I've always been loud and funny and talkative. But as soon as I step out of that circle, I get very quiet and introspective. I don't want the spotlight on me.
Sanjo Jendayi|When you are doing all that you know to do yet all hell is breaking out around you, Hold onto your faithdon't you dare break! You're on the edge of your breakthroughNow is the time to praise your way through! God has already made a way for you.Remain prayerful & thankful!
Paul Monette, Borrowed Time: An AIDS Memoir|Tears are part of the leeway of the common areas of a hospital, since so many have to do their crying away from the patient's bed. You don't care who sees you cry in the lobby: it was port of entry for all the sorrows, and one gave up all one's previous citizenship at the border.
Thomas King|We’re currently faced with two entirely different challenges – facing down Islamism and jihadism on the one hand, and advancing human rights and democratic culture on the other.
Kate Meader, One Week to Score|In the name of forever, let's burn down our today and tomorrows.
Karen Chance, Embrace the Night|Oh no. Oh God. I couldn't possibly be so stupid.""Don't limit yourself. You can be anything you wish.
Thomas A. Edison|People who will not turn a shovel full of dirt on the project nor contribute a pound of material, will collect more money from the United States than will the People who supply all the material and do all the work. This is the terrible thing about interest ...But here is the point: If the Nation can issue a dollar bond it can issue a dollar bill. The element that makes the bond good makes the bill good also. The difference between the bond and the bill is that the bond lets the money broker collect twice the amount of the bond and an additional 20%. Whereas the currency, the honest sort provided by the Constitution pays nobody but those who contribute in some useful way. It is absurd to say our Country can issue bonds and cannot issue currency. Both are promises to pay, but one fattens the usurer and the other helps the People. If the currency issued by the People were no good, then the bonds would be no good, either. It is a terrible situation when the Government, to insure the National Wealth, must go in debt and submit to ruinous interest charges at the hands of men who control the fictitious value of gold.
Henryk Sienkiewicz, In Desert and Wilderness|...he began to fear whether in the presence of far greater events, all his acts would not fade into insignificance, just as a drop of rain disappears into the sea.
Jack Kornfield|Yes, our goal as Christians should be to do away with the things in our world that keep people from knowing the love and freedom of Christ. Equally, and maybe more so, our goal should be noticing and doing away with the things on our own lives that keep people from understanding Christ as well. After all, don't the systematic injustices usually grow from the individual ones?
Larry Wilde|Letter home from  college boy: "There are 370 boys here - I wish there were 369."
Bette Davis|I married the first man I ever kissed. When I tell this to my children, they just about throw up.
Ripley Patton|It’s very hard — weirdly hard — to clear your mind of all that crap so that you can just sit down and write and find that place where you’re just involved and enjoying the imaginary place you’ve discovered. All the other “problems” with writing are just puzzles, and they can be interesting to try to crack, even when it’s frustrating.
Nadine Artemis, Holistic Dental Care: The Complete Guide to Healthy Teeth and Gums|Through knowing death we can hold a beacon of love for every moment that has just passed, for every friend who has lost a friend, for every child who has lost a parent, for every parent who has lost a child; for any suffering anywhere.
Lailah Gifty Akita|I also able to graciously survive the PhD from the grace, which comes from prayer, bible reading, extensive story reading, fasting, fellowship, listen to music, daily dance and sacred writing.
Sophocles, Antigone|And of a Sunday swarm the folkUnder the honeysuckle vine, Quaffing, the while they talk and smoke, The sun, the melody, the wine.
Debasish Mridha|In our external world we create and attract with our beliefs, thoughts, emotions and perceptions.
Neil Gaiman, The View from the Cheap Seats: Selected Nonfiction|It's oneiric, a beautiful, formless sequence of silver nitrate shadows, and when it ends I wonder what happened, and then I begin to rebuild it in my head
A. Lynn, Itsy's Ugly|Reading haiku is as much an art as writing it. The reader needs to pause and listen to the silences, to feel the spaces between the words, and to journey into the depths of many multi-colored worlds.
Jessica Valenti, Sex Object|We say "misogynist"; I've written that "misogyny kills," but the world falls flat on your tongue - it's too academic sounding, not raw or horrifying enough to relay the truth of what it means.
Adedayo Olabamiji|Look forward, not behind. "Your best days are still out in front of you." Be focus & keep your dreams ALIVE
Ash Gray, Qorth|She is mad, and I am sane. To speak to her, even the first word, would be an acknowledgement and an acceptance of her madness, and from there I would have no choice but to follow her down the hole until both of us would be here alone in this ship among the clouds, endlessly circling the earth, our needs carefully ministered to by mechanical men, howling ourselves hoarse and counting off the ticks of the clock before the moon falls out of the sky.
Ai Weiwei|I was impressed by Hendrix. Not so much by his playing, as his attitude - he wasn't a great player, but everything else about him was brilliant.
Andrew Wilson, Patricia Highsmith, Ζωή στο σκοτάδι|As the new year began, [Patricia Highsmith] felt completely paralysed, incapable of reading or picking up the phone. 'I can feel my grip loosening on my self,' she wrote. 'It is like strength failing in the hand that holds me above an abyss.' She wished there was a more awful-sounding word for what she was feeling than simply 'depression'. She wanted to die, she said, but then realised that the best course of action would be to endure the wretchedness until it passed. Her wish was, 'Not to die, but not to exist, simply, until this is over'.
Patricia Briggs, River Marked|Riley knelt down, clasping the fur at the back of her neck. “You’re fucking bruised all down your back. Why the hell didn’t you tell me it hur
Matsuri Hino|You know that's why mermaids swim around topless all the time, right? It's because their boobs are too big and all bras are C shells.
Patience Johnson, Why Does an Orderly God Allow Disorder|When you learn to have the heart of praise in the presence of your enemies, you set the table; if you can work with God in darkness enough depending on the light that He showed you in the last season, you will learn to read your enemies as a sign that it is time to eat. ( a bit deep). Whenever you sense a crisis in your life, note that your harvest is near.
Emm Roy, The First Step|I listen to the rain talk to the leaves. She tells a story of love and leaving (isn’t that always the story? Isn’t that always the punchline?) She tells it softly like someone who has recently lost something that cannot be replaced. She closes her eyes and remembers. The leaves quietly wait. They love in silence. They understand in the dark. And I too begin to understand. We are all part pouring rain, part fallen leaves. We are all part of the world, and we all have a story.
Holly Near|One day, people will be able to buy tickets to visit space.
Dorothy Koomson, My Best Friend's Girl|If things go wrong, you don't have to accept you made a bum decision.
Shannon L. Alder|The German language is so sonorous, isn't it? Beautiful language...the language of poetry. Angry, angry poetry.
David    Allen, Getting Things Done: The Art of Stress-Free Productivity|Most people feel best about their work the week before their vacation, but it's not because of the vacation itself. What do you do the last week before you leave on a big trip? You clean up, close up, clarify, and renegotiate all your agreements with yourself and others. I just suggest that you do this weekly instead of yearly.
Vivian Gornick, Fierce Attachments: A Memoir|At first I had not understood Mama. But as I grew older, maybe not wiser, certainly more realistic, I realized she did the best she could. She loved me, in her own way. Not everyone is born to be a mother. It does not come naturally to some women.
Cass Sunstein|From 1859 to 1971, the U.S. oil industry grew virtually continuously, in the process serving mightily to drive our economy and win our wars. But that growth was stopped dead in 1971 and sent into decline thereafter, as the advent of the EPA and the accompanying National Environmental Policy Act made it increasingly difficult to drill.
Lemony Snicket, The End|It is almost as if happiness is an acquired taste, like coconut cordial or ceviche, to which you can eventually become accustomed, but despair is something surprising each time you encounter it.
Pierce Brown, Golden Son|He always thinks because I'm reading, I'm not doing anything. There is no greater plague to an introvert than the extroverted.
Priya Ardis|Rough palms cradled my face while my fingers gripped the pillow on either side of his. Lips, teeth, tongue, mingled together. I ate him up and didn’t let go until I had to come up for air.
D.L. Hess, Sir: The Awakening|...a small part of me that worried that Tori wouldn’t be here when I arrived, that I pushed her too far, too fast, that somehow I read her wrong and asked her for more than she was willing to give. But she’s here. She’s magnificent. And she’s mine. That thought steals the air from my lungs. Her shoulders tense at my gasp, when she realizes she’s no longer alone. “Hello, beautiful,” my voice husky. I drop my bags by the door and swiftly cross the room. I only have a split second to take in how devastating she looks in her blue gown. I don’t know who moves first, but she’s in my arms as my lips descend on hers. With that first contact, the knot of tension that’s taken up residence between my shoulder blades releases, and I finally feel like I can breathe fully for the first time since I left for Los Angeles.
Diane Claire Benant, Just Jenna: How hard can it be to last a week without a man?|Toni Morrison said that if you can't find the book you want to read, write it. So I did! It's high time to give our heroines a different kind of happy ending.
Deyth Banger|Screams and laughter simultaneously rent the air. Women were being physically harassed by the soldiers who had just killed their husbands, fathers and brothers. After the battle, men would win but the women always lost.
J.G. Ballard, Cocaine Nights|With the sensation that he was passing through the Looking-Glass, Max stared at his father as if he had never seen him before—simultaneously impressed and unnerved at the thought that, after all these years, he still knew so little about him.
Jim George|Despite the sorrows of sin, you can count on God’s faithfulness and forgiveness.
Mark  Benjamin, A Change Of Heart|The sum is this, —As thou makest conscience of praying daily, so do thou of the acting of thy graces in meditation; and more especially in meditating on the joys of heaven, To this end, set apart one hour or half hour every day, wherein thou mayst lay aside all worldly thoughts, and with all possible seriousness and reverence, as if thou wert going to speak with God himself, or to have a sight of Christ, or of that blessed place so do thou withdraw thyself into some secret place, and set thyself wholly to the following work: if thou canst, take Isaac's time and place, who went forth into the field in the evening to meditate; but if thou be a servant, or poor man, that cannot have that leisure, take the fittest time and place that thou canst, though it be when thou are private about thy labours.Were there left one spark of wit or reason, they would never sell their rest for toil, or sell their glory for worldly vanities, nor venture heaven for the pleasure of a sin (627).
Violet Weingarten|Is life too short to be taking this shit, or is life too short to be minding it?
Homer|I'd die for your sins, but I'd probably enjoy them first
E.E. Cummings|I thank you God for this most amazing day, for the leaping greenly spirits of trees, and for the blue dream of sky and for everything which is natural, which is infinite, which is yes.
Robert M. Pirsig, Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values|Intuitions are like migratory birds, they come without a map without a reason.
Rick Riordan, The Lightning Thief|Christmas in the Underworld was NOT my idea. If I'd known what was coming, I would've called in sick. I could've avoided an army of demons, a fight with a Titan, and a trick that almost got my friends and me cast into eternal darkness. But no, I had to take my stupid English exam.
Patrick Rothfuss, The Name of the Wind|I once heard someone say that the concept of moderation seems a little extreme, and tonight...I agree.
Sergio Aragones|The waltz is a very important part of my life. It's a very important way for me to express my positiveness, bringing humor to the world.
Laurie Garrett, Betrayal of Trust: The Collapse of Global Public Health|In all, 86 per cent of the increased life expectancy was due to decreases in infectious diseases. And the bulk of the decline in infectious disease deaths occurred prior to the age of antibiotics. Less than 4 per cent of the total improvement in life expectancy since 1700s can be credited to twentieth-century advances in medical care.
Siim Land, Becoming a Self-Empowered Being: The Journey Towards Achieving Body-Mind-Mastery and Living According to One's Calling.|Feel body as luxury-- as a bird feels when shooting through the air, and as a child does always -- is health
Mary Roach, Gulp: Adventures on the Alimentary Canal|It's called the FATLOSE trail. FATLOSE stands for 'Fecal Administration To LOSE weight,' an example of PLEASE— Pretty Lame Excuse for an Acronym, Scientists and Experimenters.
Richelle E. Goodrich, Eena, The Companionship of the Dragon's Soul|Persistence is the twin sister of excellence. One is a matter of quality; the other, a matter of time.
Harriet Lerner, The Dance of Fear: Rising Above Anxiety, Fear, and Shame to Be Your Best and Bravest Self|Some people are like satellite. They can be in the middle of nowhere and still will strike messages like lightning using Whatsapp, Facebook, SMS and Skype to tell others what to do. Dont let people be the "Dick Taters" in your life and stop you from changing your lifestyle. Take control of your life as your happiness is in your hands.
Sun Yat-sen|The government should help and guide the weak and small racial groups within its national boundaries toward self-determination and self-government. It should offer resistance to foreign aggression, and simultaneously, it should revise foreign treaties in order to restore our equality and independence among the nations.
Jenni Schaefer, Goodbye Ed, Hello Me: Recover from Your Eating Disorder and Fall in Love with Life|Sometimes I felt lonely because I pushed people away for so long that I honestly didn’t have many close connections left. I was physically isolated and disconnected from the world. Sometimes I felt lonely in a crowded room. This kind of loneliness pierced my soul and ached to the core. I not only felt disconnected from the world, but I also felt like no one ever loved me. Intellectually, I knew that people did, but I still felt that way.
Dennis Prager|Another example was relentlessly expressed during Hillary Clinton’s campaign for the presidency, and especially since her defeat: the assertion that she was the victim of misogynistic comments and that she lost because she was a woman. None of it is true. But it keeps feminists thinking of women as victims — and people who think of themselves as victims are rendered weak....Modern feminists are afraid of life. They are afraid of differences of opinion, and especially afraid of men.....Feminists are outraged and unduly stressed by much of life itself.
Franz Kafka, The Zürau Aphorisms|In a deserted stretch of the Karadj highway Munis had come face-to-face with unbridled lust, although she knew what lust was before being touched by it. The problem was that she had an unbounded awareness of things, an awareness that instilled undue caution in her, making her fearful that action would lead to ignominy, humiliation. This created in her a desire to be ordinary, average. Yet she did not truly know what it meant to be ordinary. She did not know that it meant not loving an earthworm, not genuflecting at the altar of withered leaves, not standing in prayer at the call of a lark, not climbing a mountain to see the sunrise, not staying awake all night to gaze at the Ursa Major. She did not differentiate between earth and gravel, but she distinguished the earth from the sky. She had not seen the skies of the earth, but she knew there were earths of the sky. She saw herself in an inevitable process of stagnation. She was already partially rotten within."What can I do with this mass of trivial knowledge?" she wondered aloud. "How can I cut through it?
John Paul Warren|Cream always rises to the top...so do good leaders".
Alan Shepard|It is precisely the purpose of the public opinion generated by the press to make the public incapable of judging, to insinuate into it the attitude of someone irresponsible, uninformed.
Charlie Kimball|The first thing I think about when I wake up most mornings is the fact that I'm tired. I have been tired for decades. I am tired in the morning and I am tired while becalmed in the slough of the afternoon, and I am tired in the evening, except right when I try to go to sleep.
Julie Ann Knudsen, In the Middle of Nowhere|In the meantime, I’llwish it upon a star.'- Michael Cooper
Steve Wozniak|The day I realized I could speak well, I decided I won't speak for myself anymore.
Eknath Easwaran|You occasionally hear it said that spiritual aspirants should drop everything and set off for the woods, or go to India and wander about on the slopes of the Himalayas. But only through daily contact with people--not trees or brooks or deer--can we train ourselves to be selfless in personal relationships.
Eleesha, The Soulful Pathway To Inspiration: Soulfully Inspiring You to Attain Your Goals by Utilizing the Power of Inspiration|Fathom the destiny that, does not just lay before you - but, awaits you.
Patrick Stuart, False Readings|Then Viol Chrime-Forgot and Sir Duno Chrime held each other tightly and wept sweet tears and Sir Duno Chrime swore that he did not care if his squire was a little strange and that he would never abandon him again so long as he lived and Viol Chrime-Forgot said he did not care if Duno Chrime was old, or mad or thought that he was made of glass, for he would never be apart from him again no matter what adventure fell, and though neither could hear each other over the roaring of the endless falls, or see each others tears for the misty dripping of the cave each knew what the other said and meant, and so they were friends again and remained so for as long as they both lived.
Jen Lancaster|The sheer novelty and glamor of the Western diet, with its seventeen thousand new food products every year and the marketing power - thirty-two billion dollars a year - used to sell us those products, has overwhelmed the force of tradition and left us where we now find ourselves: relying on science and journalism and government and marketing to help us decide what to eat.
Virchand Gandhi|A babe in the house is a well-spring of pleasure, a messenger of peace and love, a resting place for innocence on earth, a link between angels and men.
Emma Hooper, Etta and Otto and Russell and James|I have made you some things, for when you get back. I understand now, all the baking you sent me, stale and crumbled in brown paper and rough twine. Now you’re away and I am here. So I will make and make until you get back to remind you, and myself: there are reasons to come home.
Lois Greiman, Unplugged|There are lots of fish in the sea. Some are sharks, some are angels, and some are bottom feeders.
Sarah Lynn Phillips|One's ugly face and features may not be a problem. Conversely, one's such character displays, well a problem since no one tolerates it.
Jenny Downham, Before I Die|Stop being afraid of fear, let it be scared of you
Patrick Ness, A Monster Calls|So we got hold of him and cracked him with a few good horrorshow tolchocks, but he still went on singing.
Claude Monet|Color is my daylong obsession, joy, and torment.
Raj Tak|The word felt good, liberating. So, I repeat it. "Fuck." Then, again. And again. Because it made me someone else, someone normal and happy, someone who used words like that, like St. John. I repeated it, over and over until she walked away, wounded. Then, I was glad. And still, I kept repeating it, because that was the only thing that kept me from crying.
Kurt Vonnegut Jr.|1492. As children we were taught to memorize this year with pride and joy as the year people began living full and imaginative lives on the continent of North America. Actually, people had been living full and imaginative lives on the continent of North America for hundreds of years before that. 1492 was simply the year sea pirates began to rob, cheat, and kill them.
Anthony Marra, The Tsar of Love and Techno|The very act of writing then, conjuring/coming to 'see', what has yet to be recorded in history is to bring into consciousness what only the body knows to be true. The body - that site which houses the intuitive, the unspoken, the viscera of our being - this is the revolutionary promise of "theory in the flesh
Noel Jesse Heikkinen, Unchained: If Jesus Has Set Us Free, Why Don't We Feel Free?|Mmm, bacon.
Shannon L. Alder|Who were these people, these specially selected tenants? They were mothers and fathers and children. A dressmaker, a secretary, an inventor, a doctor, a judge. And, oh yes, one was a bookie, one was a burglar, one was a bomber, and one was a mistake.
Brynn Kelly, Edge of Truth|Looking at that pain in her eyes, he felt a closeness with her that he had never experienced before. Like they shared something powerful and unspoken, something so deep and devastating, it bonded them together. He knew then, that if she didn't forgive him, he would never survive.He was nothing without her.
Lily Collins|I just felt being part of my peer group so strongly. I was immersed in teen culture, but not taken in by it.
Deepak Chopra, The Return of Merlin|And stop talking in that puffed-up way they taught you. Words aren't brains, you know.
Vera Nazarian, The Perpetual Calendar of Inspiration|Neither sugar nor salt tastes particularly good by itself. Each is at its best when used to season other things. Love is the same way. Use it to "season" people.
Charles Dickens|Oh, miss Haversham said I,there have been sore mistakes and my life has been a blind and thankless one, and I want forgiveness and direction far too much to be bitter with you.
Frederic Arnold Kummer Jr., Ladies in Hades: A Story of Hell's Smart Set & Gentlemen in Hades: The Story of a Damned Debutante|Politicians tend only to like democracy when it is to their personal advantage(From LONE WOLF, p.50)
Tamara Morgan, If I Stay|Forget being turned on. This man, this kiss, encompassed everything she ever wanted.
Benazir Bhutto|The Soviet government sprouted and grew out of the habits, the psychology, and the condition of the Russian people. It fitted them. They understand it.
Nicole Krauss, Man Walks Into a Room|I got in a fight with my girlfriend," I said. "I was just driving around, blowing off steam, you know?"Well, you should be more careful where you drive," the officer said. "You're making people nervous. You don't fit the profile of the neighborhood."I wanted to tell him that I didn't fit the profile of the country but I knew it would just get me into trouble.
Oscar Wilde|All I want to do now is look at life. You may come and look at it with me, if you care to.
I Love the way you love me|A series problem with a reactive language is that it become a self-fulfilling prophecy, People become reinforced in the paradigm that they are determined, and they produce evidence to support the belief, They ( Reactive People) feel increasingly victimized and out of control, not in charge of their life or their destiny, They blame outside forces -- other people, circumstances, even the stars -- for their own situation
Steve Maraboli|Even though she would dream of love, respect, and unfettered romance... it was a cyclical dilemma in her life that she seemed to be most attracted to poisonous men.
André Breton|My identity might begin with the fact of my race, but it didn't, couldn't end there. At least that's what I would choose to believe.
Lyman Abbott|Every life is a march from innocence, through temptation, to virtue or vice.
Mehmet Murat ildan|There was a time when I could have slept with his friend Briffa, for instance. Around him the air was always fraught with possibilities.
Emiliano Campuzano, Cielo Por Tu Luz|I just don’t know where to go from here, Alex.”“You don’t have to, we can trace our map together.
Armistead Maupin, More Tales of the City|Men whose only concern is other people's opinion of them are like actors who put on a poor performance to win the applause of people of poor taste; some of them would be capable of good acting in front of a good audience. A decent man plays his part to the best of his ability, regardless of the taste of the gallery.
Judith Krantz|I've been on so many blind dates, I should get a free dog.
Hanya Yanagihara, A Little Life|No empty words and gestures, but hands filled with hands, hands pointing the way, hands tracing new lines as age slowly creases its course from the corners of my eyes.
Paul C. Nagel, John Quincy Adams: A Public Life, a Private Life|John Quincy Adams' depression was treated by his aunt with some reliable remedies, first sleep and then compassion. She said, " He was half cared for by having someone to care for him.
Ashly Lorenzana, Speed Needles|In some ways, forcing me to leave was the best thing that could have happened to me. In other ways, it was a disaster. I'm still glad they did it though, because I think I might have just died if I had stayed at the coast. Although I ended up there a couple years later, when my mother relapsed on a whim, I think I needed that two years away from that horrible little coastal town where time is frozen and ideas creep forward too slow to notice any progress.
Ernest Agyemang Yeboah|Marriage is a great blessing, but it can be a great lesson
Susan C. Young, The Art of Communication: 8 Ways to Confirm Clarity & Understanding for Positive Impact|With your mind alert and your eyes wide open, you will be better able to assess your space and your place for optimizing exchanges and your communication impressions.
Ron Baratono, The Writings of Ron Baratono|People are never going to act exactly like we want them to. So if we stop expecting things from others, we’ll find peace in our hearts that will last a lifetime.
Paul W.S. Bowler, Death and Duty|Haftor was the Easer to the Easers. This was the most powerful man in Creation. Peder knew trouble was coming, but knew not what it was or how to deal with it.
Melissa Kantor, If I Have a Wicked Stepmother, Where's My Prince?|Everything that was not so must go. All the beautiful literary lies and flights of fancy must be shot in mid-air! So they lined them up against a library wall one Sunday morning thirty years ago, in 2006; they lined them up, St. Nicholas and the Headless Horseman and Snow White and Rumpelstiltskin and Mother Goose--oh, what a wailing!--and shot them down, and burned the paper castles and the fairy frogs and old kings and the people who lived happily ever after (for of course it was a fact that nobody lived happily ever after!), and Once Upon A Time became No More! And they spread the ashes of the Phantom Rickshaw with the rubble of the Land of Oz; they filleted the bones of Glinda the Good and Ozma and the shattered Polychrome in a spectroscope and served Jack Pumpkinhead with meringue at the Biologists' Ball! The Beanstalk died in a bramble of red tape! Sleeping Beauty awoke at the kiss of a scientist and expired at a fatal puncture of his syringe. And they made Alice drink something from a bottle which reduced her to a size where she could no longer cry 'Curiouser and curioser,' and they gave the Looking Glass one hammer blow to smash it and every Red King and Oyster away!
Tim Gunn, Gunn's Golden Rules: Life's Little Lessons for Making It Work|You can be too rich and too thin, but you can never be too well read or too curious about the world.
Colleen Houck|I want you to learn the lesson of the lotus. This flower springs forth from muddy waters. It raises its delicate petals to the sun and perfumes the world while, at the same time, its roots cling to the elemental muck, the very essence of the mortal experience. Without that soil, the flower would wither and die.
Robert W. McChesney, Profit Over People: Neoliberalism and Global Order|In a democracy the people choose a leader in whom they trust. Then the chosen leader says, 'Now shut up and obey me.' People and party are then no longer free to interfere in his business.
Stefan Molyneux|My practice as a scientist is atheistic. That is to say, when I set up an experiment I assume that no god, angel or devil is going to interfere with its course; and this assumption has been justified by such success as I have achieved in my professional career. I should therefore be intellectually dishonest if I were not also atheistic in the affairs of the world.
Mark Batterson, All In: You Are One Decision Away From a Totally Different Life|When God stirs our spirit or breaks our heart, we cannot sit back. We've got to step up and step in. We've got to go all in by going all out. But if we have the courage to make the choice or take the risk, it will become the defining moment of our lives.
Eva Chen|Traditionally, scientists have treated the laws of physics as simply 'given,' elegant mathematical relationships that were somehow imprinted on the universe at its birth, and fixed thereafter. Inquiry into the origin and nature of the laws was not regarded as a proper part of science.
Kandi Steiner, Tag Chaser|Sometimes you have to walk out on a limb, knowing you could fall thirty feet to the hard ground, just to see if that apple on the edge is worth the risk like you think it is.”“And what if it’s not?”“Then you get up, dust yourself off, and keep walking til you find the next tree.
Harrish Sairaman|Change is inevitable; what matters is whether you spend more time in denial, acceptance or performance?
Miranda Seymour|If you meet a woman in a burqa, she can't reply to your smile. It's a denial of identity.
Margot Lee Shetterly|We need leadership in this country, which will improve the lives of working families, the children, the elderly, the sick and the poor. We need leadership which brings our people together and makes us stronger.
Daniel Keyes, Flowers for Algernon|And as Sean climbs into bed and closes his eyes, Mother comes, riding astride a lion the size of a house, blowing a clarion from a horn made out of a hollowed-out elephant's tusk. Her eyes have a faint crimson glow from the lasers that are mounted behind her irises, ready to fire at will.'I touched a prince's chest today and made his heart stop,' she says. 'I'll do it again if I have to: they'll see what happens if anyone gets in my way. Good night, my son. Remember that I will always keep you safe; that I am always everywhere and always here.''Good night, Mom,' Sean says, and falls asleep.And Mother recedes, wise and beautiful and strong, a genius and a hero, a punisher of thieves and a slayer of wicked men, to watch over her son in all her different versions.
Juan Felipe Herrera|I came to poetry through the urgent need to denounce injustice, exploitation, humiliation. I know that's not enough to change the world. But to remain silent would have been a kind of intolerable complicity.
P.D. Ouspensky|When one realises one is asleep, at that moment one is already half-awake.
A.R. Braun, Horrorbook: twenty-two tales of terror|I essentially killed those men. Am I slated for hell?"He stepped to me. Put his fingers underneath my chin. Raised it until our gazes locked. "You're a god, Dutch. And the reaper. You don't get slated. You are the slate.
Jackie Braun, Revenge Best Served Hot|For my little dog, Pip, who joined our family during the writing ofthis story. Thanks for rescuing me.
Sham Hinduja|Georgie,' he said. Then he kissed her. That was it, really. That was when she added Neal to the list of things she wanted and needed and was bound to have someday. That's when she decided that Neal was the person who was going to drive on those overnight trips. And Neal was the one who is going to sit next to her at the Emmys. He kissed her like he was drawing a perfectly straight line. He kissed her in India ink. That's when Georgie decided, during that cocksure kiss, that Neal was what she needed to be happy.
