Jules Renard|Old age is like a plane flying through a storm. Once you're aboard, there's nothing you can do.
Amit Ray, Beautify your Breath - Beautify your Life|Conscious breathing is the best antidote to stress, anxiety and depression.
Ezio Auditore da Firenze|Sometimes the truth stares us in the face, but we just choose not to look.
Steven Redhead, The Solution|Each of us has immense potential to achieve what we desire, unless you enliven and enlighten your life with inspiration, bring your dreams into reality through the power of desire you will never shine as bright as your potential.
Richard Dawkins, The Greatest Show on Earth: The Evidence for Evolution|Despite the Great Chain of Being's traditional ranking of humans between animals and angels, there is no evolutionary justification for the common assumption that evolution is somehow 'aimed' at humans, or that humans are 'evolution's last word'.
Terry Pratchett, The Color of Magic|If you are reading this... I'm dead so far probably or still alive who knows?It's bad day in bad time, I can tell this for sure!
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|THE MOTH AND THE BUTTERFLYWhen the sun rises over the horizon,the butterfly emerges to dance in its brilliant light.It flickers its colorful wings with euphoria,To celebrate all the beauty foundin the majestic garden of life.When the moon arrives in the darkness,The moth appears at the disappearance of sunlight.It flickers its pale wings as it shakes from its deep slumber,To go search for foodTo carry it through the night.The moth prefers the moon and detests the sun,while the butterfly loves the sun and hides from the moon.Every living creature responds to light,But depending on the amount of light you have inside,Determines which lamp in the skyYour heart will swoon. Poetry by Suzy Kassem
Bangambiki Habyarimana, Book of Wisdom|Nature cannot be bribed, when the necessary conditions are not met, it does not happen
Rose Gordon, Her Secondhand Groom|Sqwaak!" from Fletcher, the environmental crime fighting parrot in The Big Belch graphic novel by Kay Wood.
Aravind Adiga, The White Tiger|The two of them kept an eye open for every tree or temple we passed by, and turned to me for a reaction of piety which I gave them, of course, and with growing elaborateness: first just touching my eye, then my neck, then my clavicle, and even my nipples.  They were convinced I was the most religious servant on earth.
Vineet Raj Kapoor|God doesn't listen to me too, but people have their suspicions. सुनता तो रब हमारी भी नहीं,पर लोगों को अल्लाह पे शक बेशक है
Rebecca McNutt|Sadly, atheists are becoming everything they aren't supposed to be: obnoxious, oppressive, loud, pushy, smug, condescending and annoying. Since when did the definition of atheism become "an anti-religious person"? It's one thing to say "I don't believe in God because I see no proof in God. We'll just agree to disagree". It's another thing to make it your sworn duty to put down and berate religious people, to view them as primitive morons, to turn every conversation into a debate and to make it your mission to put forth this vision of a faith-free society fueled only by science and technology. This kind of oppression is against everything atheists stand for. Atheists believe in the freedom of choice, the choice to not be religious if one does not want to be. This does not mean being pushy or rude towards anybody else who has made their own choices to be religious. For some people, religion gives them a purpose, helps them cope with trauma and grief, gives them hope, gives them something to hold onto. So, as long as they aren't pushing their faith on others, why should atheists do the same thing to them?
Andrew Peterson, The Monster in the Hollows|The matron glanced at the old man and suppressed a smile. “He is absolutely miserable.” “I enjoy miserable. It gives one a contrast to all the delectabilities of life. But is he housebroken, inpala? He is rather rumpled. He will look well on my ship, but will he wash well? Do professors fray as a general rule? I will not have my ship looking ragged.”“They do tend to fade after a few years of hard use.
Elisabeth Elliot, Discipline: The Glad Surrender|God will never disappoint us. He loves us and has only one purpose for us : holiness, which in His kingdom equals joy.
Israelmore Ayivor, The Great Hand Book of Quotes|Don't compare yourself to other Christians. Compare yourself to Christ. He is the one you follow. He is the one other Christians too follow".
Billy Collins, Sailing Alone Around the Room: New and Selected Poems|I see all of us reading ourselves away from ourselves,  straining in circles of light to find more light until the line of words becomes a trail of crumbs that we follow across a page of fresh snow
A.E. Housman, More Poems|The thoughts of othersWere light and fleeting,Of lovers' meetingOr luck or fame.Mine were of trouble,And mine were steady;So I was readyWhen trouble came.
Darynda Jones, Fourth Grave Beneath My Feet|Insanity does NOT run in my family. It strolls through, takes its time, and gets to know everyone personally. —T-SHIRT
M.Rishad Sakhi|You feel as if everybody has been given an instruction manual on how to be likable, but you didn't get it. And they all sold out now. And if you are what you eat, then you must have surely spent the last few years of your life eating dog food and cat shit. Because when you look in the mirror, it is all that you see.
Helen Shucman, A Course in Miracles, Combined Volume: Text, Workbook for Students, Manual for Teachers, 2nd Edition|Don't focus on the mountain; focus on the mountain mover!" HS/el
Dara Khosrowshahi|Even though Laverne and Shirley were always, like, submitting themselves for medical testing and falling asleep on a date or whatever, they always had each other's back.
Colleen McCullough, The Thorn Birds|And gradually his memory slipped a little, as memories do, even those with so much love attached to them; as if there is an unconscious healing process within the mind which mends up in spite of our desperate determination never to forget.
Susan Cain, Quiet: The Power of Introverts in a World That Can't Stop Talking|Open-plan offices have been found to reduce productivity and impair memory. They’re associated with high staff turnover. They make people sick, hostile, unmotivated, and insecure.
Jennifer Crusie, Manhunting|It's a tradition to drink rakia with snacks. Not like the Russians, you know, who just drink to get drunk. I like a little snack with the news.
Dejan Stojanovic, The Sun Watches the Sun|The same word we love and hate, leaves in different directions, taking different paths.
Steven Magee|Animals are a lot like humans for when we are happy our immunity is strong and love and life force races through our veins. When we are depressed our immunity runs low and we can easily get sick. Many pet parents are very careful about feeding the right food, providing plenty of exercise and buying the right toys and treats. Not that those things aren’t important too, for they are, but the best thing you can do for us is to make yourself happy because when you are happy then we are happy too.
Karon Waddell|When someone says you've changed, it's because you are no longer willing to live your life their way
Q.M. Sidd|If we agree that God did not create poverty then, in my opinion, it came in to being as a consequence of human rights violations.
Violet Blue, The Smart Girl's Guide to Privacy|Women have become trained to be lone soldiers online, knowing that to send up a signal flare for help is more likely to attract enemies than allies.
Lailah Gifty Akita|There's always next level, new decisions, and new episode. My life inspired by challenges
John Cornforth|At the National Institute for Medical Research, I came into contact with biological scientists and formed collaborative projects with several of them. In particular, George Popjak and I shared an interest in cholesterol.
V.S. Carnes|Care for her. He was unworthy of such a gift. Unworthy of her blind trust and her sparkling, slightly crooked smiles, let alone her heart. But he wanted her, selfish fool he was and had always been. Care for her? Ah, God, she consumed him.
Dean Cavanagh|There is no moment that exceeds in beauty that moment when one looks at a woman and finds that she is looking at you in the same way that you are looking at her. The moment in which she bestows that look that says, "Proceed with your evil plan, sumbitch." The initial smash on glance. The, the drawing near. This takes a long time, it seems like months, although only minutes pass, in fact. Languor is the word that describes this part of the process. Your persona floats toward her persona, over the Sea of Hesitation. Many weeks pass before they meet, but the weeks are days, or seconds. Still, everything is decided. You have slept together in the glance.
Rashmit Kalra|An amber sunset, a flowing river, a snow capped mountain, a beautiful heart, a calm mind, deep eyes, the moon, the earth and the sky - they are all silent. It's the words that give them meaning, decipher their essence and share their message.
Peter Ackroyd, Albion: The Origins of the English Imagination|The English seem to relish unsystematic learning of this kind, in the same manner that they embarked upon "Grand Tours" of Europe in pursuit of a peripatetic scholarship.
Pat Conroy, The Prince of Tides|What is certain is that he [the baby] has too much attention from the one person who is entirely at his disposal. The intimacy between mother and child is not sustaining and healthy. The child learns to exploit his mother's accessibility, badgering her with questions and demands which are not of any real consequence to him, embarrassing her in public, blackmailing her into buying sweets and carrying him.
Julie Taymor|I commuted to the prestigious Hibiya High School from my uncle's home in Tokyo. During the high school years, I developed an interest in chemistry, so upon graduation, I chose to take an entrance examination for the Department of Chemistry of the University of Kyoto, the old capital of Japan.
Victoria Hanley|After God and my family, it's surf. I don't imagine me not surfing. Surf brings me smile every day.
Kate Grenville, The Lieutenant|Mathematics is the most exact science, and its conclusions are capable of absolute proof. But this is so only because mathematics does not attempt to draw absolute conclusions. All mathematical truths are relative, conditional.
Mark Twain|If books are not good company, where shall I find it?
Paul Stamets|The fall is my favorite time of year. I love the colors. The sun is out, you get warmth on your skin but there's the coolness of the breeze. It's really comfortable.
Antonin Scalia|For a country to have a great writer is like having a second government. That is why no regime has ever loved great writers, only minor ones.
Yasmin Mogahed|i loved him, every inch of his being, but i realised one day; if loving him meant losing me, than loving him was not enough anymore.
Andrea Dworkin|Feminists know that if women are paid equal wages for equal work, women will gain sexual as well as economic independence. But feminists have refused to face the fact that in a woman-hating social system, women will never be paid equal wages. Men in all their institutions of power are sustained by the sex labor and sexual subordination of women. The sex labor of women must be maintained; and systematic low wages for sex-neutral work effectively force women to sell sex to survive. The economic system that pays women lower wages than it pays men actually punishes women for working outside marriage or prostitution, since women work hard for low wages and still must sell sex. The economic system that punishes women for working outside the bedroom by paying low wages contributes significantly to women's perception that the sexual serving of men is a necessary part of any woman's life: or how else could she live? Feminists appear to think that equal pay for equal work is a simple reform, whereas it no reform at all; it is revolution. Feminists have refused to face the fact that equal pay for equal work is impossible as long as men rule women, and right-wing women have refused to forget it.
Stephen Richards, NAPS: Discover The Power Of Night Audio Programs|Now here is the fascinating thing, it is actually your own race! And just as a horse in a race, you do not look over to see what the next horse is doing. You are focused and you run your own race. That is how to create NAPS, create it for you and listen to yourself express those words with meaning and conviction.
Wendy Mass, Jeremy Fink and the Meaning of Life|A fight is going on inside me," said an old man to his son. "It is a terrible fight between two wolves. One wolf is evil. He is anger, envy, sorrow, regret, greed, arrogance, self-pity, guilt, resentment, inferiority, lies, false pride, superiority, and ego. The other wolf is good. he is joy, peace, love, hope, serenity, humility, kindness, benevolence, empathy, generosity, truth, compassion, and faith. The same fight is going on inside you." The son thought about it for a minute and then asked, "Which wolf will win?" The old man replied simply, "The one you feed.
Orson Scott Card, Earthfall|Better to have the trust of the people than their respect. With trust, their respect could be earned later; without it, respect could never be deserved, and so to have it would be like poison.
Richard Rohr, Adam's Return: The Five Promises of Male Initiation|Great leaders are the first to say, “I was wrong. Let’s make a change.
T.K. Kiser, The Firebrand Legacy|The more she tried to forget, the more she remembered.
Jon Kabat-Zinn|If we don't change, millions of American families are just one medical emergency, or one layoff, away from financial disaster and bankruptcy.
Steve Maraboli, Unapologetically You: Reflections on Life and the Human Experience|Never sit under a tree waiting for the apple to fall. Climb the tree, grab that apple!When it comes, never be inert and take your time, TIME TO MOVE!
John     Nichols, A Fragile Beauty: John Nichols' Milagro Country: Text and Photographs from His Life and Work|We are touched by magic wands. For just a fraction of our day life is perfect, and we are absolutely happy and in harmony with the earth. The feeling passes much too quickly. But the memory – and the anticipation of other miracles – sustains us in the battle indefinitely.
Michael Bassey Johnson|I often think we should have tattooed on the back of whatever hand we use to shoot or write, 'I might be wrong.
Steve Jobs|I come from a poor family, I have seen poverty. The poor need respect, and it begins with cleanliness.
Joe L. Wheeler, Abraham Lincoln, a Man of Faith and Courage: Stories of Our Most Admired President|Man’s glory lies not, Lincoln thought, in ‘his goodness,’ for this is often nonexistent. He derives glory, instead, from his being made in the image of the Living God.
Abhijit Naskar, In Search of Divinity: Journey to the Kingdom of Conscience|If there is a God you must see it (literally), even clearer than you see this page, otherwise it is better not to believe. It is better to be an outspoken atheist, than a hypocrite.
Shelley Ramsey, Grief: A Mama's Unwanted Journey|Just days after Joseph died, we sat down to eat dinner at the dining room table. We each sat there, choking down our food, tears streaming down our faces, and no one speaking. There was no one in his chair; his side of the table had a gaping hole. A large part of the nightly conversation was missing. Everything felt wrong.
Nikki Rowe|Some people build houses, buildings. I don't. I build stories. ~ Ryan Mark, Author
Beth Underdown, The Witchfinder's Sister|For it is a choice, I think, to close the heart, just as it is a choice to open it. It is a choice to look at what distresses you, and a choice to shut your eyes. It is a choice to hold tight your pain, or else let it slip your grasp, set it free to make its mark upon the world.
Colleen McCullough, A Creed for the Third Millennium|But work used to be the lot of every man, and now it is rapidly becoming an aristocratic privilege. Men nowadays are more often paid not to work.
Alice Brown|You know some minutes warn you they're going to be mighty short and you'd better take a snapshot of 'em while you can. ("Golden Baby")
Lailah Gifty Akita|Prof. Christoph Heubeck said, "Dream on, dreams can come true.
Teddy Sears|People sometimes say the way things happen in the movies is unreal, but actually, it's the way things happen to you in life that's unreal.
Ash Gray, Time's Arrow|Return me safely to my home,” the princess said, “and I shall reward you with your weight in eggs.”	Olorun snorted derisively. “You’re joking, right?”	The woman’s eyes flitted in embarrassment. 	“Now wait a minute,” said Helianthus. “We’re talkin’ eggs here. What sort of eggs? Ostrich eggs?”	Neferre made an impatient noise. “Hel! She doesn’t have any eggs! Unless they’re hidden in a very . . . delicate place.” Neferre grinned at the princess. “Tell me your eggs are hidden where I think they’re hidden.
Suzanne Collins, Mockingjay|But I’d rather look back and regret something I did when I was young and crazy, than look back and regret something I never had the courage to do, and realize it’s too late.
Swami Dhyan Giten, Presence - Working from Within. The Psychology of Being|When I did a therapist education in USA 1984, one of the course leaders – who had given personal and spiritual guidance to thousands of seekers of truth from all over the world, and who I consider to be one of the best spiritual therapists in the world – said that I was going to get enlightened, that I would ”disappear into the silence”. I did not really understand what he meant then, and it was totally absurd for me when other course participants congratulated me afterwards. The thought that I was going to be enlightened was totally absurd for me. For me enlightenment was something that happened to special and chosen persons like Osho, Buddha, Jesus, Lao-Tzu and Krishnamurti. I did not feel either special or chosen. I did not feel worthy of being enlightened.
Magda Alexander, Storm Conquered|I’m so exhausted with worry, I go to bed early that day. But hours later, I’m still awake. I can’t seem to fall asleep. Not without him by my side. When did I become so addicted to Jake? Why do I crave his company? Since forever, my conscience responds. After my father’s death, I went off the deep end because he was not there. I sought the BDSM lifestyle, not because I yearned for it, but because I wanted the pain. If Jake had been there, somehow I could have muddled through the aftermath of my father’s funeral without looking for someone to tie me up and administer punishment. I wanted to be beaten as an outlet for my agony. Not that it made any difference. Even after I flew to Brazil, the pain was still there. It still is. And I know why. Because he’s not by my side. As much as I want him to be here with me, he never signed on to babysit me for life.
Claire Holden Rothman, The Heart Specialist|I looked briefly up from my notes. I was surrounded by hearts, sectioned and preserved. Hearts with holes. Hearts with leaking valves or thickened walls. Hearts with narrow or transposed aortas. I closed my eyes.
Jim Trelease|The more you read, the better you get at it; the better you get at it, the more you like it;and the more you like it, the more you do it. And the more you read, the more you know;and the more you know, the smarter you grow.
Barry Lyga, Game|Your words hurt, Jazz. They hurt like cotton balls thrown in my direction.
Kate Upton|Even between the best of friends, mistakes and misunderstandings can happen.
Neil deGrasse Tyson, Astrophysics for People in a Hurry|During our brief stay on planet Earth, we owe ourselves and our descendants the opportunity to explore - in part because it's fun to do. But there's a far nobler reason. The day our knowledge of the cosmos ceases to expand, we risk regressing to the childish view that the universe figuratively and literally revolves around us. In that bleak world, arms-bearing, resource-hungry people and nations would be prone to act on their 'low contracted prejudices.' And that would be the last gasp of human enlightenment - until the rise of a visionary new culture that could once again embrace, rather than fear, the cosmic perspective.
Dashama Konah Gordon, Journey to Joyful: Transform Your Life with Pranashama Yoga|Polarity exists so that we may discover the truth beyond this world of duality, which is the ultimate purpose of life.
Ayn Rand, Atlas Shrugged|Evil is unspectacular and always human,And shares our bed and eats at our own table ....
James     Baldwin|You read something which you thought only happened to you, and you discovered it happened 100 years ago to Dostoyevsky.
Lailah Gifty Akita|With the pursuit of faith, I am a free soul.
Wendell Berry, The Unsettling of America: Culture and Agriculture|It could be said that a liberal education has the nature of a bequest, in that it looks upon the student as the potential heir of a cultural birthright, whereas a practical education has the nature of a commodity to be exchanged for position, status, wealth, etc., in the future. A liberal education rests on the assumption that nature and human nature do not change very much or very fast and that one therefore needs to understand the past. The practical educators assume that human society itself is the only significant context, that change is therefore fundamental, constant, and necessary, that the future will be wholly unlike the past, that the past is outmoded, irrelevant, and an encumbrance upon the future -- the present being only a time for dividing past from future, for getting ready.But these definitions, based on division and opposition, are too simple. It is easy, accepting the viewpoint of either side, to find fault with the other. But the wrong is on neither side; it is in their division...Without the balance of historic value, practical education gives us that most absurd of standards: "relevance," based upon the suppositional needs of a theoretical future. But liberal education, divorced from practicality, gives something no less absurd: the specialist professor of one or another of the liberal arts, the custodian of an inheritance he has learned much about, but nothing from.
S.A. Wolfe, Faithful|It’s frightening because love is unpredictable, emotionally unstable, and uncontainable.
Joyce Rachelle|I don't know what I was looking for . . . I felt empty. I guess. Not hearing from you made it all seem surreal, like you were never there, a dream, a figment of my imagination.I went to your site that day to . . . I guess, double-check.I thought. . . maybe you wrote something, a new story . . . a message . . . anything.I did find a new story . . . It wasn't about us . . .And I ended up feeling even emptier.
Guy de Maupassant, The Necklace and Other Short Stories|Charles went to kiss her shoulder.-Leave me alone! she said, you're creasing my dress.
Henry Cabot Lodge|To me, acting is the most logical way for people's neuroses to manifest themselves, in this great need we all have to express ourselves.
Lindy Zart, Complete|It’s one thing to go into a fight knowing you’ll probably lose. Quite another to be told that to win, you must offer up your throat to be slit.
Lee Ellis, Leading With Honor: Leadership Lessons from the Hanoi Hilton|…some leaders don’t want to celebrate with their team because they are afraid—yes, afraid that if they celebrate, people will quit working hard and lower the standards. I say don’t let your fear take you out.
Patrick Ness, The Ask and the Answer|A peace that blacked yer eye,' I say. 'A peace that split yer lip.' He looks at me for another second and then gives a sad snort. “The words of a sage,” he says, “in the voice of a hick.
David Byrne|A Miami must-have is the trendy Panther Coffee in Wynwood. I like Alma Mexicana for the ever-popular breakfast burrito. For out-of-this-world Cuban food, the Cubano at Little Bread Cuban Sandwich Co. will satisfy your craving. My friends all love Shorty's Bar-B-Q for the mouth-watering corn on the cob and BBQ, of course.
Criss Jami, Killosophy|Senses of humor define people, as factions, deeper rooted than religious or political opinions. When carrying out everyday tasks, opinions are rather easy to set aside, but those whom a person shares a sense of humor with are his closest friends. They are always there to make the biggest influence.
Criss Jami, Killosophy|When enemies, the intellect and the heart only see one another as the hater and the fool.
Katie MacAlister, The Importance of Being Alice|I don't know whether to be pleased that our lovemaking was of such a high quality that you immediately want more, or if it's an indication you are one of those sex-addicted people who are never satisfied.
Stephanie Rawlings-Blake|When my time ends, I want people to say, 'Man her music made me smile; it just enlightened my life; it inspired me; it made me feel good every time.'
David Malpass|I love language, and I love the failure of language.
Abhijit Naskar, Principia Humanitas|Doctrines, no matter which path of human endeavor they come from, must serve the humans, not the humans serving the doctrines. “Love thy neighbor” - is a great doctrine, but more importantly, it is an unparalleled piece of magnificent human teaching – as such, whoever practices it, becomes a better human, a real human. On the other hand, there is another doctrine that says “God may purify the believers and destroy the disbelievers” – now would you, as a real conscientious human being, consider this one as a great beneficial doctrine or teaching for humanity? Far from being great, doctrines like this are the ones that compel the human society to forget its innate humanism.
Tom Robbins, Even Cowgirls Get the Blues|I see, these books are probably law books, and it is an essential part of the justice dispensed here that you should be condemned not only in innocence but also in ignorance.
Mensah Oteh|Happiness resides in your mind, brain, heart and tongue. Connect all four and you’ll live in bliss.
George R.R. Martin, A Game of Thrones|For in every adult there dwells the child that was, and in every child there lies the adult that will be.
Laura Thalassa, The Queen of All that Lives|When you live without someone for as long as I have, love becomes this abstract concept, something you attach to a memory. And when memories are that old, they feel like dreams, and you wonder if any of it was real, or if your mind created it all.
Michael  Grant, Light|Our mother used to say that a hero doesn't always have to slay a dragon to save the day." She swept a lock of hair behind her ear in an honest gesture, then pursed her lips and looked back at him, her gaze endearing. "Sometimes he just walks through the fire alongside you, and that's enough.
Criss Jami, Healology|Some of the simplest of truths are also some of the most difficult of truths, but such is Christianity: 'If it's not about Christ, it's not about life.
James A. Murphy, The Waves of Life Quotes and Daily Meditations|What is the one thing that gets you up every morning? The one thing that keeps you going every day, every month, every year? Let me get you started. My one thing is this, ‘I'm one day closer...’ One day closer to a goal, an outcome, or the results I'm after in my life. This is my way of remembering the importance of focusing on the life I desire and living a life of gratitude! So, what’s your one thing…?
Michael "Bommi" Baumann|The only thing people regret is that they didn't live boldy enough, that they didn't invest enough heart, didn't love enough. Nothing else really counts at all.
Jayesh Varma|Feel pity for the person who judged you rudely. For they are selfish in their judgment, trying to make their life feel just a little bit better. It was never about you it was all about them.
Richard Price, Samaritan|When you think of the amount of turnover and profit made by most companies in this country - and especially the big chains, it's a shame that they pay their employees minimum wage and no more than that. What that really says is: 'We're paying you minimum wage, because we're not allowed to pay you any less.
මාර්ටින් වික්‍රමසිංහ, Kaliyugaya|An outsider's inquisitiveness to know another's private affairs is natural, but not so in children with respect to their parents. Children know the overt personal life of their parents. It is a crime for children to probe into mistakes made by their parents, like detectives looking for evidence of crimes. Any man can make mistakes, however good he may be. It is wrong for children to inquisitively probe into their parents' lives, and have fun or show anger over what they uncover. It is like digging into the heads of ancient statues in search of archaeological artefacts. Nanda spoke with anger.
Red Haircrow|Sometimes we need to examine who we are,what we stand for and the people we allow in our lives.
Lori Wilde, Once Smitten, Twice Shy|Their tongues met, starving, two years without this delicious meal. They kissed and kissed and kissed. The joining of their mouths was more intense than that night on the ferry. This was a kiss of reunion. Of forgiveness. Of coming home.
John 13 35 The Holy Bible|Religion is for those who are without the pure knowledge of the Almighty true God- Jehovah the Creator of the Heavens and the earth..it is also for those who are ignorant of the fact of who God is and are neither founded in Him nor allign themselves to His righteous standards...but are lovers of sins and every acts and pleasures that does not glorify Him. Christianity is not a religion and will never be. It is a relationship consisting of our being in unity with Jesus Christ and with others...tuned and under the banner of Christ-likeness, upholding justice and righteousness.
Jeaniene Frost, One Foot in the Grave|I have been stabbed, shot, burned, bitten, beaten unconscious too many times to count, and even staked. None of those held a candle to the pain I felt at seeing his mouth on hers.
Billy Graham, Billy Graham in Quotes|Learn from your disappointments and failures and with God’s help seek to overcome them. Ask yourself, could I have done anything to prevent this? Were my hopes and dreams unrealistic, or were my motives wrong?Is there a new path God wants me to explore?
Colleen Hoover, Hopeless|Did life treat everyone so wantonly, ripping the good things to pieces while letting bad things fester and grow like fungus
Chester Brown|Our country was thereby saved from the consequences of its distracting individualistic conception of democracy, and its merely legal conception of nationality. It was because the followers of Jackson and Douglas did fight for it, that the Union was preserved.
Kaui Hart Hemmings|I won't regret, because you can grow flowers where dirt used to be.
Jack Kerouac, On the Road|It is a fair, even-handed, noble adjustment of things, that while there is infection in disease and sorrow, there is nothing in the world so irresistibly contagious as laughter and good-humour.
Maaza Mengiste, Beneath the Lion's Gaze|When you are convinced that everything that happens is the will of God, what is there to do but wait until God has mercy?
Lewis Carroll, Alice's Adventures in Wonderland & Through the Looking-Glass|Dreams, unlike eggs, don’t hatch from sitting on them.
Haruki Murakami, Norwegian Wood|Love is never hurtful; It’s never about forgetting who you are, it’s about exploring yourself more.
Elyn R. Saks|The Parents, as my mother and father refer to Mr. Finch and Mrs. Finch, are insisting it was an accident, which, I guess, means we're free to mourn him out in the open in a normal, healthy, unstigmatised way. No need to be ashamed or embarrassed since suicide isn't involved.
Carlos Castañeda|We either make ourselves miserable, or we make ourselves strong. The amount of work is the same.
Lailah Gifty Akita, Think Great: Be Great!|Dear God,Let the anointing and the power of the Holy Spirit be mighty upon me, so I can who you want me to be.
Mary Doria Russell, The Sparrow|He's not a bad guy, John. It's human nature. He wanted it to be some mistake I made that he wouldn't have made, some flaw in me that he didn't share, so he could believe it wouldn't have happened to him. But it wasn't my fault. It was either blind, dumb, stupid luck from start to finish, in which case, we are all in the wrong business gentleman, or it was a God I cannot worship.
Howard Coble|At the very outset I want to say how the people of America appreciate the steadfast support of the people of Morocco, the leadership of Morocco in our war against terrorism.
Eliza Victoria, LONTAR #4|Rebecca woke up with her knees hurting and her fingers ice-cold, and the specifics of her life returned to her as the dream disappeared: weekend, hotel room, Baguio, memory, memory, memory.
Tamela Miles, Sleeping Beauties|Seth embraced her tightly. “Don’t write your future so grim. You will not die, Chloe. I will not let you die here in Alexander’s mad kingdom.” He moved her back, reaching down with one hand to gently wipe away her tears.
Henry Miller, Tropic of Capricorn|The same wolfish greed beats in your heart: to have what you will, and kill for it.
Linda Sue Park|The boy was still looking at him. "Your family?" he asked.Salva shook his head."Me, too, " the boy said. He sighed, and Salva heard that sigh all the way to his heart.
Winston S. Churchill|The idea of labor, of hard work, leading to increased productivity was so novel, so radical, in the overall span of Western history that most ordinary people, most of those who labored, could scarcely believe what was happening to them. Labor had been so long thought to be the natural and inevitable consequence of necessity and poverty that most people still associated it with slavery and servitude. Therefore any possibility of oppression, any threat to the colonists' hard earned prosperity, any hint of reducing them to the povery of other nations, was especially frightening; for it seemed likely to slide them back into the traditional status of servants or slaves, into the older world where labor was merely a painful necessity and not a source of prosperity.
Stefan Molyneux|The word "rights", is something that governments need to provide you and protect you from but, the governments are the basic violators of all human rights.
Phillips Brooks|Dreadful will be the day when the world becomes contented, when one great universal satisfaction spreads itself over the world. Sad will be the day for every man when he becomes absolutely contented with the life that he is living, with the thoughts that he is thinking, with the deeds that he is doing, when there is not forever beating at the doors of his soul some great desire to do something larger which he knows that he was meant and made to do because he is a child of God.
Robin Sacredfire|There’s a reason for the word heartbeat not be called beat of heart. The perfect woman only needs a good beat. The heart will follow. Emotions, when put in equilibrium with reason, create more miracles than any emotion, no matter how strong, deprived from reason. This is why it’s much easier to love a woman that can play the drums or any other instrument with rhythm, than one that believes in unreasonable magic, simply because there’s more magic in reason than in the lack of it. You see, loving someone that you truly want to love, someone you admire, someone you want to spend your time with, helping, sharing and growing together, makes much more sense than expecting someone to love you for no reason than your will, needs and desires. And when humans understand this, they will understand love, find it easily and never lose it again.
C.P. Snow, Variety of Men|That not adhering to those notions Reason dictates (concerning the nature of God), has been the occasion of all superstition, and those innumerable mischiefs that mankind (on account of religion) have done to themselves or to one another.
Nikki Sex, Carmen's New York Climax|Mmmm I like the sounds you're making," he murmured in a honeyed whisper. "I just bet that you're a screamer. Should I have brought earplugs?Kurt Nielsen
Denis Hachey, Mind to Mind Conversation: Change Your Mind, Change Your Life|People don’t like surprises,” Caine shot back.“People love surprises Caine; it's change, they hate. Everything that is living is always changing. If it’s not changing, it’s dying.
Thomas Gibson|The goal of spiritual practice is full recovery, and the only thing you need to recover from is a fractured sense of self.
Joanne Van Leerdam|Whatever your dreams may be, never dismiss them as impossible. Always hope. Always try. You just never know when things will happen.
Lao Tzu|Do your work, then step back. The only path to serenity.
Tom Drury|I have my own dance and production companies, and acting is my creative outlet. It's what I'm passionate about. I've actually created a lifestyle where I could act for free. I could get a job to pay the bills and act on the weekends to make me smile.
Charles Eisenstein, The More Beautiful World Our Hearts Know Is Possible|It is the cry of the separate self, ‘What about me?’ As long as we keep acting from that place, it doesn’t matter who wins the war against (what they see as) evil. The world will not deviate from its death-spiral.
Martin Page, The Discreet Pleasures of Rejection|Like sexual intercourse, death needs foreplay.
Ashley Monroe|Hear me, my chiefs! I am tired. My heart is sick and sad. From where the sun now stands, I will fight no more forever.
Israelmore Ayivor, Leaders' Watchwords|To know the purpose of a product, you must pay attention to what the manufacturer said about it. What God said about you is that you must have dominion over all other creation. Just pay attention and take the lead!
Susan C. Young, The Art of Body Language: 8 Ways to Optimize Non-Verbal Communication for Positive Impact|In 1966, American anthropologist Edward T. Hall specified four distinct distance zones to describe the perception of physical space around us. Understanding these zones and honoring their invisible boundaries will give you a sixth sense about another person’s “space” as well as your own.Intimate Zone (less than 2’) —This zone represents our personal space and is reserved for the most trusted and loved people in our lives. Touching, hugging, standing side by side, and engaging in private conversations is common and encouraged. When an interloper violates this personal space, great discomfort and awkwardness can be created. What to do? Take a step back or sideways.Personal Zone (2’-4’) —This is the distance for interaction with good friends, family, social gatherings, or parties. It's an easy and relaxed space for talking, shaking hands, gesturing, laughing and making faces. Social Zone (4’-12') —This zone seems to be an appropriate distance for casual friends, colleagues, and acquaintances to interact. It is the comfortable distance we maintain while interacting or addressing large groups of people.Public Zone (over 12’) —This is the distance we keep from strangers or persons with little acquaintance. It provides the greatest distance between people. This is a safe space that still allows us to experience community and belonging with new people.
Andrew Kadziolka|When you didn't force yourself to think in formal reconstructions, when you didn't catch these moments of ravishments under the lens of premises and conclusions, when you didn't impale them and label them, like so many splayed butterflies, bleeding the transcendental glow right out of them, then... what?
Violet Cross, Survivors: Secrets|The secret of the whole matter is that a habit is not the mere tendency to repeat a certain act, nor is it established by the mere repetition of the act. Habit is a fixed tendency to react or respond in a certain way to a given stimulus; and the formation of habit always involves the two elements, the stimulus and the response or reaction. The indolent lad goes to school not in response to any stimulus in the school itself, but to the pressure of his father's will; when that stimulus is absent, the reaction as a matter of course does not occur.
J.B. McGee, Broken|You look…” he shook his head looking her up and down, “You look delicious. If I don’t get you out of here, I’m going to devour you like it’s my birthday, and you’re my cake.
Lailah Gifty Akita, Think Great: Be Great!|Power of prayer, serenity for the soul.
