Victoria Schwab, Our Dark Duet|If you want to prosper, prosper God.
Jimmy Carter, A Call to Action: Women, Religion, Violence, and Power|Divide and rule, the politician cries;Unite and lead, is watchword of the wise.
Julie Kagawa, Rogue|Do you hear that?” he says. “You mean the crashing thunder and pounding rain?” He shakes his head. I listen closely, trying to filter out the sounds of the storm. Then I hear it. A whooshing sound with a fast buzzing underneath it. It’s so, so familiar but I can’t quite put my finger on it. A very definite black spot appears among the dark gray clouds. The spot lengthens horizontally. The puzzle pieces click into place and I get the full picture: Fighter jet. Headed straight for us. It could be a coincidence, right? F-22 Raptors flylow through giant thunderstorms over major metropolitan areas in the middle of the night all the time. Right. My illusions of a coincidence are shattered - by a missile flying straight at me. It would seem this guy has infrared, too. I mean, missiles? Really? Isn’t that a bit overkill? I start flying away, but Sani stops me. “Dive!
David Brin, Brightness Reef|Creative people see Prometheus in a mirror, never Pandora.
Erckmann-Chatrian, Terror by Gaslight: More Victorian Tales of Terror|I reeled with giddiness - flames passed before my eyes.I remembered those precipices that drew one towards them with irresistible power - wells that have had to be filled up because of persons throwing themselves into them - trees that have had to be cut down because of people hanging themselves upon them - the contagion of suicide and theft and murder, which at various times has taken possession of people's minds, by means well understood; that strange inducement, which makes people kill themselves because others kill themselves. My hair rose upon my head with horror!("The Invisible Eye")
Anne Rice, Pandora|He was mocking me. I could see his mouth beginning to lift in a maddening smirk, a smile that was half sardonic and half secretive, as if the fate of the world depended on the answer to a riddle only he knew and would never share.
Thiruvalluvar, Thirukkural|Uttering foul words, while there are the sweetest of words, is like going for the unripe fruits while there are a lot of ripe ones.
Jill Lepore|Taxes are what we pay for civilized society, for modernity, and for prosperity. The wealthy pay more because they have benefitted more. Taxes, well laid and well spent, insure domestic tranquility, provide for the common defense, and promote the general welfare. Taxes protect property and the environment; taxes make business possible. Taxes pay for roads and schools and bridges and police and teachers. Taxes pay for doctors and nursing homes and medicine. During an emergency, like an earthquake or a hurricane, taxes pay for rescue workers, shelters, and services. For people whose lives are devastated by other kinds of disaster, like the disaster of poverty, taxes pay, even, for food.
Vashti Quiroz-Vega|Be kind to people and don’t judge, for you do not know what demons they carry and what battles they are fighting.
Mehmet Murat ildan|The history of the own that is grasped on too small a scale and the foreign that is treated too badly reaches an end at the moment when a global co-immunity structure is born, with a respectful inclusion of individual cultures, particular interests and local solidarities. This structure would take on planetary dimensions at the moment when the earth spanned by networks and built over by foams, was conceived as the own, and the previously dominant exploitative excess as the foreign. With this turn, the concretely universal would become operational. The helpless whole is transformed into a unity capable of being protected. A romanticism of brotherliness is replaced by a cooperative logic. Humanity becomes a political concept. Its members are no longer travellers on the ship of fools that is abstract universalism, but workers on the consistently concrete and discrete project of a global immune design. Although communism was a conglomeration of a few correct ideas and many wrong ones, its reasonable part - the understanding that shared life interests of the highest order can only be realized within a horizon of universal co-operative asceticisms - will have to assert itself anew sooner or later. It presses for a macrostructure of global immunizations : co-immunism.
Auliq Ice|No matter how much I think, no matter how much I try, I can't fill this void of loneliness in my heart.
Unknown|The 3 C's of life: Choices, Chances, Changes. You must make the choice, to take a chance, if you want anything in life to change.
Eric Idle|Life doesn't make any sense, and we all pretend it does. Comedy's job is to point out that it doesn't make sense, and that it doesn't make much difference anyway.
Danika Stone, Edge of Wild|It was Red Rock Canyon. One of the most beautiful places in Waterton... in the Rockies, for that matter. And it was there, waiting for him to find it. As long as he was willing to look for it.
Saint Teresa of Avila|I think, at heart, unless you discover faith in something else, something other, it's very hard to shake the thing that you're adrift alone.
Trenton Lee Stewart|I am also very proud to be a liberal. Why is that so terrible these days? The liberals were liberatorsthey fought slavery, fought for women to have the right to vote, fought against Hitler, Stalin, fought to end segregation, fought to end apartheid. Liberals put an end to child labor and they gave us the five day work week! What's to be ashamed of?
Codi Gary, The Trouble With Sexy|She didn’t have to act like she couldn’t wait to have him, because that was exactly what was making her slip her bra down her arms so eagerly.
Charlotte Munro, The Lockharts|Such a pity, really; the prey falling for the predator. The victim in love with the killer... A mere mortal girl thinking a demon was capable of love.
Melody  Lee, Moon Gypsy|You're too sane for a lunatic girl like me. You live in reality, while I tango in the jungle of my imagination making love to firecracker dreams.
Cassandra Clare, City of Glass|Alec?" Magnus was staring at him. He had dispatched the remaining Iblis demons, and the square was empty but for the two of them. "Did you just- did you just save my life?" Alec knew he ought to say something like, Of course, because I'm a Shadowhunter and that's what we do, or That's my job. Jace would have said something like that. Jace always knew the right thing to say. But the words that actually came out of Alec's mouth where quite different- and sounded petulant, even to his own ears. "You never called me back," he said. "I called you so many times and you never called me back." Magnus looked at Alec as if he'd lost his mind. "Your city is under attack," he said. "The wards have broken, and the streets are full of demons. And you want to know why I haven't called you?
Toni Sorenson|God is not someone you meet when you die. His smiling face will be the first and the most familiar to greet you on the other side of mortality. You’ll recognize Him and know in your heart of hearts that you’re not entering a new sphere, but returning home to the place you’ve always belonged.
David  Holdsworth|Precious to the Lord are the death of His saints."DEATH IS NOT FINAL.God has set eternity in the hearts of men. Why would you want there to be nothing at the end of life?DEATH IS A MYSTERY.Death is not a secret but a mystery. Solomon asked so long ago if animals will be in heaven. And how do people get there.NO ONE KNOWS WHEN THEY WILL DIE. We should then live everyday to God's glory. So make haste to be right with God.DEATH IS THE ULTIMATE LEVELER. Mourning makes people think about mortality. It helps reveal what is important in life more than a party ever could. The king and the pawn go back in the same box. Rich or poor - are we ready to meet God? Do we have faith in Him and His son whose very name is love? Without Him, without love what else matters? We need to love others and love God. The importance of this can become clear in mourning. Are you ready?WE TAKE NOTHING WITH US.Except that done in love for the glory of Jesus. Though these things won't save us, it is His merit alone that can do that, these things give an abundant entry into eternity. Solomon in the end hated what he couldn't take with him. He was the richest man on earth leading a vast empire, surrounded by wives and servants. Jesus asks what good would it do to gain the whole world and lose ones own soul? Therefore store up treasures in heaven.AFTER DEATH COMES JUDGEMENT.It is uncomfortable to think on, but needed. Will we be with Christ on that day or lost in sin? Even if you are a follower of Jesus consider that if we do the things Jesus told us in secret and it comes out it will be nice, but the bad stuff we shouldn't do that we did anyway coming out would be unpleasant. Therefore walk in the light as He is in the light. Shine like the stars in the heavens. Love Him who first loved us."For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life." John 3:16 KJV(Refs: Eccl 2:18, Eccl 12:13, Ps 115, Eccl. 3:11, Eccl 3:21, Eccl 8:7,8, Eccl 7:2).
J.K. Rowling, 해리 포터와 마법사의 돌 2|And we'll let the world dance around us while you lie here in my arms. The beat of your heart is all the music I need to hear. I spent my whole life searching for this melody, so I'll listen while I hold you near.
Mensah Oteh, Unlocking Life's Treasure Chest: Wisdom keys to keep you inspired, encouraged, motivated and focused|Although time is equally possessed by everyone, it is valued and used differently by the successful.
Neil Gaiman, Smoke and Mirrors: Short Fiction and Illusions|People talk about books that write themselves, and it's a lie. Books don't write themselves. It takes thought and research and backache and notes and more time and more work than you'd believe.
Riccardo Bruni|Moses Luzzatto always said to be patient during the hard times, that they would have to endure and make sacrifices while they waited for better times to come. He urged Simone and the other Jewish boys not to provoke the Venetians, saying they should remain separate and focus on their work. He said their traditions were crucial to their identity, just as they were for their fathers before them.
Arthur Conan Doyle, The Memoirs of Sherlock Holmes|Anyway, it was big and I set up the trickiest structure. Accounts all over the world and money flying around like... The right mix of drugs and Remy Martin. Like a big whirl of light and money, pulsating like it was alive, like one of those glowing jellyfish things deep in the ocean."His voice softened and the distance that was always between Mickey and the world melted away as he spoke. I had the first glimpse into what passed for Mickey’s soul: a love for illegal mathematics.
Melina Marchetta, On the Jellicoe Road|After the bitching I'd done to Abe about going to remote, crappy places, I should have been excited about the prospect of going to Sin City.
Harriet Beecher Stowe, Uncle Tom's Cabin|People who think with their epidermis or their genitalia or their clan are the problem to begin with. One does not banish this specter by invoking it. If I would not vote against someone on the grounds of 'race' or 'gender' alone, then by the exact same token I would not cast a vote in his or her favor for the identical reason. Yet see how this obvious question makes fairly intelligent people say the most alarmingly stupid things.
Barack Obama, The Audacity of Hope: Thoughts on Reclaiming the American Dream|The stakes involved in Washington policy debates are often so high-- whether we send our young men and women to war; whether we allow stem cell research to go forward-- that even small differences in perspective are magnified. The demands of party loyalty, the imperative of campaigns, and the amplification of conflict by the media all contribute to an atmosphere of suspicion. Moreover, most people who serve in Washington have been trained either as lawyers or as political operatives-- professions that tend to place a premium on winning arguments rather than solving problems. I can see how, after a certain amount of time in the capital, it becomes tempting to assume that those who disagree with you have fundamentally different values-- indeed, that they are motivated by bad faith, and perhaps are bad people.
Anthony Kiedis, Scar Tissue|She was probably the girl I loved the most of all my girlfriends, but also the toughest one to make things work out with. If I had put that much effort into any of my other relationships, I'd be married with five kids now.
Honoré de Balzac, The Wild Ass's Skin|Have you ever plunged into the immensity of space and time by reading the geological treatises of Cuvier? Borne away on the wings of his genius, have you hovered over the illimitable abyss of the past as if a magician's hand were holding you aloft? As one penetrates from seam to seam, from stratum to stratum and discovers, under the quarries of Montmartre or in the schists of the Urals, those animals whose fossilized remains belong to antediluvian civilizations, the mind is startled to catch a vista of the milliards of years and the millions of peoples which the feeble memory of man and an indestructible divine tradition have forgotten and whose ashes heaped on the surface of our globe, form the two feet of earth which furnish us with bread and flowers. Is not Cuvier the greatest poet of our century? Certainly Lord Byron has expressed in words some aspects of spiritual turmoil; but our immortal natural historian has reconstructed worlds from bleached bones.
Albert Bushnell Hart|If God gives you rights, no man and no government can take them away from you.
Otto Weininger, Sex and Character: An Investigation of Fundamental Principles|Okay, so he wasn't dreaming anymore, but did this fall into same song second verse? He would just have to play this out and see what happened.
Olaotan Fawehinmi|The 'Dance of Love' is much more of a dialogue, one takes the lead and the other follows. One dictates a step and the other carries it out. One determines the direction, the other determines the distance travelled in a given figure. One sets the pace, the other reveals the grace. One understands the language of the other and knows what is coming next. The one leading leads with love and respect; never seeing the follower as being weak or inferior. And in the same manner, the one following follows with Trust and Submission; never feeling too big to be led or scared to jump. There is a blind assurance that someone is there to catch.
Wilford W. Andersen|These early Saints were indeed homeless, but they were not hopeless. Their hearts were broken, but their spirits were strong. They had learned a profound and important lesson. They had learned that hope, with its attendant blessings of peace and joy, does not depend upon circumstance. They had discovered that the true source of hope is faith—faith in the Lord Jesus Christ and in His infinite Atonement, the one sure foundation upon which to build our lives.
Mark X., Citations: A Brief Anthology|Only in sleep, where there's nothing but mind, can the mind clearly process all of the day's experiences/memories - without distraction. And, perhaps, only in sleep, where there's nothing but mind, can the mind truly understand the meaning of these memories, as well, and assimilate them with all the other memories you've accumulated over time, forming greater meanings - unintelligible in the light of day - building, perhaps, to some ultimate meaning at the culmination of life - unintelligible in the light of living.
Marcel Proust|It should tell you something that Pakistan's Inter-Services Intelligence (ISI) agency invented the Taliban in the early 1990s only because Hekmatyar, its primary U.S.-bankrolled proxy in the war for control of Afghanistan, had proved too bloodthirsty after the Soviets withdrew, even by the low standards of the ISI's ghastly generals in Rawalpindi.
Rick Perlstein, The Invisible Bridge: The Fall of Nixon and the Rise of Reagan|Politics is motion." John Sears
Yann Martel, Life of Pi|I used to hope that if I went to church long enough, all my inside weight would go away. That ain't right. Jesus may have come to take away our sins, but he left our feelings right where they've always been. I still have inside me some of what I've always had, built up over a lifetime. I just keep adding to it, everyday, like everybody else, and hope the stew gets better the more ingredients I put in.
Vladimir Kramnik|Everyday life is like programming, I guess. If you love something you can put beauty into it.
W.B. Yeats|Be you still, be you still, trembling heart;Remember the wisdom out of the old days:*Him who trembles before the flame and the flood,And the winds that blow through the starry ways,Let the starry winds and the flame and the floodCover over and hide, for he has no partWith the lonely, majestical multitude*.
Thomas Reid|Custom, that is before all law; Nature, that is above all art.
Julie   Johnson, Erasing Faith|Being heartbroken doesn’t mean you stop feeling. Just the opposite — it means you feel it all more. With your heart in fragments, every sensation is sharper, every emotion more acute. Your feelings are enhanced, like a blind man with an impeccable sense of smell, or a deaf woman whose eyes can perceive things a normal person would never recognize. The brokenhearted are the best empaths of all.
Raymond Loewy|Students of the psychedelic realm know that one's expectations are a powerful determinant of the direction, content, and outcome of the experience. So, we should say at the outset that the experiences recounted here were preceded by careful preparation, where the trip was presented as a learning experience and a process of self-discovery. They all took place in safe, supportive environments. They generally did not fit the stereotypical model of teenagers dropping acid at a rock concert, looking for awesome visuals and good vibes.
Billy Graham, Billy Graham in Quotes|Forgiveness does not come easily to us, especially when someone we have trusted betrays our trust. And yet if we do not learn to forgive, we will discover that we can never really rebuild trust.
Karen Joy Fowler|When the flow of a river is blocked, it overflows or breaks the barriers. Similarly, our emotions can get out of control if their expression is blocked.
Anna Sewell, Black Beauty|My troubles are all over, and I am at home; and often before I am quite awake, I fancy I am still in the orchard at Birtwick, standing with my friends under the apple trees.
Stephenie Meyer|In my own opinion (key word), the foundation of feminism is this: being able to choose. The core of anti-feminism is, conversely, telling a woman she can't do something solely because she's a woman—taking any choice away from her specifically because of her gender. ... One of the weird things about modern feminism is that some feminists seem to be putting their own limits on women's choices. That feels backward to me. It's as if you can't choose a family on your own terms and still be considered a strong woman. How is that empowering? Are there rules about if, when, and how we love or marry and if, when, and how we have kids? Are there jobs we can and can't have in order to be a "real" feminist? To me, those limitations seem anti-feminist in basic principle.
Abhysheq Shukla|Self-observation is simply the observation of an internal state and an external event. It is pure awareness, which gives one the ability to choose one's actions. Only by having the choice can one perform what is right.
Maira Kalman, The Principles of Uncertainty|if something does go wrong, here is my advice... KEEP CALM and CARRY ON.
Anne M. Chappel, Zanzibar Uhuru: revolution, two women and the challenge of survival|He did it because he could not help himself, which explains everything and nothing
Hesham Nebr|Miss you?" He grated the incredulous question, dropping his mouth to her temple. "You left me without a soul. I can barely remember the days since you left. They passed without me feeling a single thing. Because you are feeling for me. You're the only thing that keeps me from being numb. Twice in my life you've turned me back into a living, breathing man, and missing you... missing you, Peggy, doesn't even begin to cover it. You revive me.
Robert L. Leahy|I tried to write how I felt. The pen remained frozen. The paper stayed white and empty,while my brain was dark and full
C.S. Lewis, The Chronicles of Narnia|But very quickly they all became grave again: for, as you know, there is a kind of happiness and wonder that makes you serious. It is too good to waste on jokes.
Mehmet Murat ildan, Galileo Galilei|It is better to go near the truth and be imprisoned than to stay with the wrong and roam about freely, master Galilei. In fact, getting attached to falsity is terrible slavery, and real freedom is only next to the right.
Benjamin Franklin|Keep your eyes wide open before marriage, half shut afterwards.
Lynette Mather, Unspoken Secrets|Once Kimmy and Bobby walked in Taco Bell they saw their two friends already sitting at the table, and Kimmy and Bobby ordered their food before they joined them. “What’s up?” Manning asked.“Not much, just hanging out,” Bobby answered.  “And of course the two of you are always hanging out,” Dave said, nodding toward Kimmy.Kimmy smiled. “Of course we are always hanging out. That’s what you do when you’ve got a best friend, Dave. You’ll learn that maybe one day when you have a best friend.
L.A. Casey, Ryder|I think you are very beautiful," René said, "especially when you are admiring mischief." "You must think that every time I look at you, then." He gave her all of his grin. "You admire me, Mademoiselle?
Mark Curtis, Unpeople: Britain's Secret Human Rights Abuses|The principle victims of British policies are Unpeople—those whose lives are deemed worthless, expendable in the pursuit of power and commercial gain. They are the modern equivalent of the ‘savages’ of colonial days, who could be mown down by British guns in virtual secrecy, or else in circumstances where the perpetrators were hailed as the upholders of civilisation.
Anthony Liccione|Nothing like being in a dream, then waking up to a nightmare.
Christopher Buckley|When I woke up Sunday morning at the Open and stepped outside and felt the wind and rain in my face, I knew I had an excellent chance to win if I just took my time and trusted myself.
Aphra Behn|Basketball, in America, is like a culture. It is like a foreigner learning a new language. It is difficult to learn foreign languages and it will also be difficult for me to learn the culture for basketball here.
Erin McCarthy, Hot Finish|Did I ever tell you the difference between a Northern fairy tale and a Southern one?" she asked him, indulging herself and letting her head rest on his shoulder. God, he felt good. Her man. Where her head was meant to lie, right there, on him. "What's the difference?""A Northern one starts 'once upon a time,' while a Southern one starts 'y'all ain't going to believe this shit.
Miyoko Hikiji|It can be said that one slip of point of view by a writer can hurt a story badly, and several slips can be fatal.' Stein on Writing
Daniel Defoe, Moll Flanders|I watched as she, with a half-life-worth of anger and resolve, flickered into this dark night and tried with all her might to get back what was taken from her.
Tim O'Brien|Life is never all one thing. It bounces around. Certainly, my own life has. Look at Woody Allen's funny movies - all the humor comes out of sad stuff. Sometimes you have to laugh, no matter what life deals you.
Sue Monk Kidd, The Invention of Wings|I said out loud, "Damn you for saving yourself. How come you left me with nothing but to love you and hate you, and that's gonna kill me, and you know it is."Then I turned round, went back to the cellar room, and picked up the sewing.Don't think she wasn't in every stitch I worked. She was in the wind and the rain and the creaking from the rocker. She sat on the wall with the birds and stared at me. When darkness fell, she fell with it.
Sarah C. Yung, The Piano Catastrophe|Sometimes I wonder about good and evil. If the villain wins, isn't he heralded as the hero? I've tried so hard to be good since that day, but sometimes I wonder whether it's even worth it. After all, to be the hero, I have to win.
Jamie Ford, Hotel on the Corner of Bitter and Sweet|I had my chance.' He said it, retiring from a lifetime of wanting. 'I had my chance, and sometimes in life, there are no second chances. You look at what you have, not what you miss, and you move forward.
William Banting|Today, it is research with human embryonic stem cells and attempts to prepare cloned stem cells for research and medical therapies that are being disavowed as being ethically unacceptable.
Susan C. Young, The Art of Communication: 8 Ways to Confirm Clarity & Understanding for Positive Impact|Whether your awareness is focused on your own emotions and perceptions or directed toward the preferences, needs, and feelings of others, being mindful (aware and attentive) will enable you to respond more appropriately.
C. JoyBell C.|The most adventurous journey to embark on; is the journey to yourself, the most exciting thing to discover; is who you really are, the most treasured pieces that you can find; are all the pieces of you, the most special portrait you can recognize; is the portrait of your soul.
Ally Carter, Uncommon Criminals|Don't let two men fall in love with you, girls. It's not the sort of thing that ends well."-Uncle Charles
John Green, An Abundance of Katherines|She felt justified in hurting him, because he had hurt her...but now all her justifications fell away like dead butterflies...
W. Somerset Maugham, Of Human Bondage by Somerset Maugham|You know, there are two good things in life, freedom of thought and freedom of action.
Tove Jansson, Fair Play|She had an immense curiosity about life, and was constantly staring and wondering.
Vivienne Westwood|I have too much product, and I'm trying to rein it in and sell more of my main collection. I wish you didn't have to design so often; it would be good if you could keep on selling the same things for a few years and not have to do new things all the time.
Rick Yancey|Crap, make one, two really bad decisions in your life, and you spend the rest of it doubting everything.
Ludwig Wittgenstein, Tractatus Logico-Philosophicus|The right method of philosophy would be this. To say nothing except what can be said, i.e. the propositions of natural science, i.e. something that has nothing to do with philosophy: and then always, when someone else wished to say something metaphysical, to demonstrate to him that he had given no meaning to certain signs in his propositions. This method would be unsatisfying to the other - he would not have the feeling that we were teaching him philosophy - but it would be the only strictly correct method. My propositions are elucidatory in this way: he who understands me finally recognizes them as senseless, when he has climbed out through them, on them, over them. (He must so to speak throw away the ladder, after he has climbed up on it.) He must surmount these propositions; then he sees the world rightly. Whereof one cannot speak, thereof one must be silent.
Janet Evanovich, High Five|That's why ears have cartilage, to keep them from flapping.
Paul Gibbons, The Science of Successful Organizational Change: How Leaders Set Strategy, Change Behavior, and Create an Agile Culture|Green light, STOP - if you want to see where you are taking the most risk, look where you are making the most money.
Simon Blackburn|People who have cut their teeth on philosophical problems of rationality, knowledge, perception, free will and other minds are well placed to think better about problems of evidence, decision making, responsibility and ethics that life throws up.
Swami Vivekananda, The Complete Works of Swami Vivekananda: v. 3|What better hiding place than an old, woodlice-ridden album of photographs!
Abhijit Naskar, Autobiography of God: Biopsy of A Cognitive Reality|It doesn’t matter whether you face the wall, the sky or the ground. It doesn’t matter what is your body posture while you are praying to God. It doesn’t matter whether you sit in a lotus position, or a bogus position, neither does it bother God whether your palms are joined together, or your arms wide open. God would still answer your prayers, not because he/she loves you all as his/her children, rather because you believe that God does.
Lance Gross|On stage, we just want to generate hysteria. We don't care about looking cool or posing.
Olaf Stapledon, Last and First Men|In the long run, success or failure will beconditioned upon the way in which the average man, the average women, does his or her duty, first in the ordinary, every-day affairs of life, and next in those great occasional cries which call for heroic virtues. The average citizen must be a good citizen if our republics are to succeed. The stream will not permanently rise higher than the main source; and the main source of national power and national greatness is found in the average citizenship of the nation.
Tommy Cotton, Just Went Out for Milk|When you fall in love with someone you treasure their quirks as much as anything else. Flaws become unique marks of character, things you'd miss if they weren't there.
Tom Althouse, The Frowny Face Cow|When choosing friends, I seek quality, not quantity.
Joyce Rachelle|If I exist, then surely there must be someone else out there like me.
Benjamin Franklin|Since I was a boy - born into a farming family in Bonaire, GA - I've had agriculture running through my veins.
Amit Ray, Peace on the Earth  A Nuclear Weapons Free World|Line of control should be a garden, a place of art and cultural festival.
Neil Gaiman, Preludes & Nocturnes|All Bette's stories have happy endings. That's because she knows where to stop.She's realized the real problem with stories - if you keep them going long enough, they always end in death.
Marguerite Duras, Practicalities|He said he owned the land,He said he owned the sea,Through his sweet lies and manipulation,He was trying to own me
A.Z. Kelvin, Rise of the Altered Moon|Lampaxa Vorheridine? My Latin was never very good. What does that Translate to?"  "Um, nothing. It wasn't named by an Earth scientist. According to the database it was named by a Cheblookan aboard a frieghter when it stopped here looking for fresh food. His friend was killed by one as they searched the swamp for Greppers. After the hunting party killed the creature and determined that it was safe to eat if processed properly, the Cheblookan reportedly named it after his mother-in-law, Lampaxa Vorheridine. he said it sort of reminded him of her, even though they look nothing alike.
Yevgeny Zamyatin|The explanations for the things we do in life are many and complex. Supposedly mature adults should live by logic, listen to their reason. Think things out before they act.But maybe they never heard what Dr. London told me one, Freud said that for the little things in life we should react according to our reason. But for really big decisions, we should heed what our unconscious tells us.
Hannah Sulfridge|Powerpoint presentations are a kind of theater, a kind of augmented stand-up. Too often it's a boring and tedious genre, and audiences are subjected to the bad as well as the good.
L.M. Montgomery|Perhaps, after all, romance did not come into one’s life with pomp and blare, like a gay knight riding down; perhaps it crept to one’s side like an old friend through quiet ways; perhaps it revealed itself in seeming prose, until some sudden shaft of illumination flung athwart its pages betrayed the rhythm and the music, perhaps . . . perhaps . . . love unfolded naturally out of a beautiful friendship, as a golden-hearted rose slipping from its green sheath.
Andrea Speed, Infected: Bloodlines|#Outlander QOTD Claire and Master Raymond.Snapped abruptly to a realization of how rudely I had been staring, I blushed and said without thinking, "I was just wondering if you've ever been kissed by a beautiful young girl?" I went still redder as he shouted with laughter. With a broad grin, he said "Many times, madonna. But alas, it does not help. As you see. Ribbit.
E.A. Bucchianeri|I am sorry, I am not a writer. I simply put my thoughts on paper. Those helped by them call them a book and me a writer. Those who are not helped call it rubbish and me a fool. Both have reason.
Sherry Turkle|It is true that many young people who wrongly, that is, simply with abandon and unsolitarily, feel the oppressiveness of a failure and want to make the situation in which they have landed viable and fruitful in their own personal way—; for their nature tells them that, less even than all else that is important, can questions of love be solved publicly and according to this or that agreement; that they are questions, intimate questions from one human being to another, which in any case demand a new, special, only personal answer—: but how should they, who have already flung themselves together and no longer mark off and distinguish themselves from each other, who therefore no longer possess anything of their own selves, be able to find a way out of themselves, out of the depth of their already shattered solitude?
Kendall Kulper, Salt & Storm|Looking at the ocean makes me miss people, and hanging out with people makes me miss the ocean.
Tupelo Hassman, Girlchild|Silence is peace, silence is quiet, silence is calming, silence is what you can be.
Sravani Saha Nakhro|Unsuccessful people are seduced by celebrity, name and fame.
Deyth Banger|Death, according to one's belief, means either annihilation or release from the limitations of the senses, but it involves no change of character. You don't suddenly alter just because the body's gone.
Kristin Cashore, Bitterblue|YOU HAVE TO START OUT LEARNING TO BELIEVE THE LITTLE LIES."So we can believe the big ones?"YES. JUSTICE. MERCY. DUTY. THAT SORT OF THING.
Umberto Eco, The Name of the Rose|I did not know then what Brother William was seeking, and to tell the truth, I still do not know today, and I presume he himself did not know, moved as he was solely by the desire for truth, and by the suspicion - which I could see he always harbored - that the truth was not what was appearing to him at any given moment.
Joey W. Hill|You’re not like other girls, you know that, right?’ Ed asks.‘I’ve been aware of the problem,’ I tell him.
Lora Leigh|I am yours," he whispered. "I live to hold you, Risa. I breathe to touch you.
Stanley Victor Paskavich|A friend once said his father use to say "I don't want to be a millionaire I just want to live like one" if we could all be so lucky.
Aleister Crowley, The Book of the Law|Would you approach a crazy person with a loaded gun? Well, that is exactly what you are doing with some police officers when you approach them.
Colleen Hoover, Maybe Not|The best way to love your man, is to help him rise, let him feel his worth so strongly through your eyes; that he has no option but to become greater.
Widad Akreyi|An equation: 40,000 dead young men = 3,000 tons of bone and flesh, 124,000 pounds of brain matter, 50,000 gallons of blood, 1,840,000 years of life that will never be lived, 100,000 children that will never be born (the last we can afford: there are too many starving children in the world already).
Jeff Goins, Wrecked: When a Broken World Slams into your Comfortable Life|Often, people give up without knowing success was just around the corner; if they had only preserved a little longer, if they had only tried one more time, they could have succeed.
Mehmet Murat ildan|Not setting the 'proper and accepted' religious example for them conjured up images of the bad mother, the worst mother. Yet wouldn't the example of a mother being true to her journey, taking a stand against patriarchy, and questing for spiritual meaning and wholeness, even when it meant exiting circles of orthodoxy, be a worthwhile example?
Debasish Mridha|Be simple, don't carry the baggage the past, open your hands, and let it go.
Jan Struther, Mrs. Miniver|A single person is a manageable entity, whom you can either make friends with or leave alone. But half of a married couple is not exactly a whole human being: if the marriage is successful it is something a little more than that; if unsuccessful, a little less. In either case, a fresh complication is added to the already intricate business of friendship: as Clem had once remarked, you might as well try to dance a tarantella with a Siamese twin.
Rudyard Kipling|Art is feminine... Look, if you're handsome and young and beautiful, well, people are always going to say that you're gay.
W.E.B. Du Bois|What do nations care about the cost of war, if by spending a few hundred millions in steel and gunpowder they can gain a thousand millions in diamonds and cocoa?
Rusty Fischer, Ushers, Inc.|I remember when I was twenty-five,â€� he said. â€œNo client comes to you when youâ€™re twenty-five. Itâ€™s like when you are looking for a doctor. You donâ€™t want the new one that just graduated. You donâ€™t want the very old one, the one shaking, the one twenty years past his prime. You want the seasoned one who has done it so many times he can do it in his sleep though. Same thing with attorneys.
Algernon Charles Swinburne|Here now in his triumph where all things falter, Stretched out on the spoils that his own hand spread,As a god self-slain on his own strange altar, Death lies dead.
Darmie O-Lujon|When in place of love you have grieves. And in place of glory nonfulfillment of hopes you earn, know that it's a natural catastrophe preparing you for distinguished conditions." - Darmie Orem
Molly Harper, Nice Girls Don't Have Fangs|You want to stab me again, don't you?"He didn't look at all ashamed. "Think of it as testing the limits of your new abilities."I groaned. "I've created a monster.""I don't think someone who recently crawled from the grave should be throwing around labels like 'monster,'" he said, making sarcastic little air-quotes fingers. "It wasn't a grave," I sniffed. "It was a comfy four-poster.
Margaret George|It was always too late to retract, to try and retrieve what one had done.
Richelle E. Goodrich, Slaying Dragons|When dragons attack, the only thing you should seek to stand behind is your own sword.
Arash Tabish|UNSOPHISTICATEDI sing my merry songat first blush of daythis external peacetendered by the soft shadeof tidy clouds idly crossing places,a fresh note returns to mind:I am unsophisticated at heart.
Erik Pevernagie|I can't blame you for trying to categorize me. It's a human instinct. It's why scientists are, to this day, completely flabbergasted by the duck-billed platypus: it's furry like a mammal, but lays eggs like a bird. It defies conventional classification. I AM THE PLATYPUS (Coo coo ka-choo)
Piers Anthony|Well some are born to be hanged, and some are not; and many of those who are not hanged are much worse than those who are.
Tracy Brogan, My Kind of You|That place is turning into the Hotel California.You know, you can check in, but you can never leave.
