David Archuleta, Chords of Strength: A Memoir of Soul, Song and the Power of Perseverance|I made up my mind not to care so much about the destination, and simply enjoy the journey.
Stacy Schiff|Of the twenty-two civilizations that have appeared in history, nineteen of them collapsed when they reached the moral state the United States is in now.
Craig D. Lounsbrough|Opportunity is not a rock, it is a bird! You either catch it or you miss it!
Marty Rubin|One learns by doing, not by learning to do.
Vishwas Chavan|Cleanliness beings with purity of your own mind, thoughts and heart.
Nikki Rowe|Sometimes all it takes is a little watering everyday and a sunny day to follow, that's how weeds become flowers and new dawns rise - why would it be any less then for a human life?
Philip Kerr|We do need a return to individual integrity, self-reliance, and old-fashioned gumption. We really do.
Chip Ingram, Spiritual Simplicity: How Loving More Means Doing Less|If you simplify your life, quit chasing the wind, and be quiet before Him, He'll show up.
Rotik the marathi rapper|Not afraid to die , but not the fear of death
Aleksandr Solzhenitsyn, The Gulag Archipelago 1918-1956|The man who refuses to judge, who neither agrees nor disagrees, who declares that there are no absolutes and believes that he escapes responsibility, is the man responsible for all the blood that is now spilled in the world. Reality is an absolute, existence is an absolute, a speck of dust is an absolute and so is a human life. Whether you live or die is an absolute. Whether you have a piece of bread or not, is an absolute. Whether you eat your bread or see it vanish into a looter's stomach, is an absolute.There are two sides to every issue: one side is right and the other is wrong, but the middle is always evil. The man who is wrong still retains some respect for truth, if only by accepting the responsibility of choice. But the man in the middle is the knave who blanks out the truth in order to pretend that no choice or values exist, who is willing to sit out the course of any battle, willing to cash in on the blood of the innocent or to crawl on his belly to the guilty, who dispenses justice by condemning both the robber and the robbed to jail, who solves conflicts by ordering the thinker and the fool to meet each other halfway. In any compromise between food and poison, it is only death that can win. In any compromise between good and evil, it is only evil that can profit. In that transfusion of blood which drains the good to feed the evil, the compromise is the transmitting rubber tube.
Chris Coppernoll, A Beautiful Fall|Community, community, community. It's ALL about community. That's the explanation of why it pains us when we find ourselves isolated from others. That's the reason why it hurts to say good-bye to those we love........ Nothing you purchase can replace community with your friends, family or God. No position at work can fill the void. Wealth can't take its place, and fame won't make any difference.
Soke Behzad Ahmadi|Time changes things; rather, a person's action over the passage of time changes things.
John Howard Griffin, Black Like Me|If virtue does not equal powers, powers will be misused.
Lisa See, Snow Flower and the Secret Fan|Our body is simply a vehicle for our soul. But if we want our soul to travel in style, we must take good care of our body.
Karen Harper, The First Princess of Wales|Thomas, says there are no real dragons. Only they are in your head, he says.""Thomas is right, my love, so do not be afraid of the dark.""But they are in my head sometimes, so I guess they are real.
Tessa Vanluchene|Silence allows people to put thoughts into words. Some people might need several minutes to put thoughts into words. Silence may indicate the person is reflecting on experiences, and he or she may just need time to process.
Richard Branson|I don't create companies for the sake of creating companies, but to get things done.
George MacDonald, A Dish of Orts|If we speak of direct means for the culture of the imagination, the whole is comprised in two words--food and exercise.
William Shakespeare, The Tempest|O, wonder!How many goodly creatures are there here!How beauteous mankind is! O brave new world,That has such people in't!
Janny Wurts, Initiate's Trial|This is my present, also yours, free to choose. I am here at your side, alive, and no ghost. Let beauty and care forge the weapons tonight.
John Green, Paper Towns|We don't suffer from a shortage of metaphors, is what I mean. But you have to be careful which metaphor you choose, because it matters.
Terre Thaemlitz, Nuisance - Writings on identity jamming & digital audio production|As every good marxist already knows, the ideological shift toward a terminally optimistic humanism was vital to the rise of bourgeoisie, and the decline of aristocracy.
F. Scott Fitzgerald, This Side of Paradise|What are you going to do? "Can't say - run for president, write -" "Greenwich Village?" "Good heavens, no - I said write - not drink.
J.R.R. Tolkien, The Fellowship of the Ring|It is wisdom to recognize necessity when all other courses have been weighed, though as folly it may appear to those who cling to false hope.
Shawnee Smith|Humor is a serious thing. I like to think of it as one of our greatest earliest natural resources, which must be preserved at all cost.
Raymond D. Longoria Jr.|Know that EVERYTHING in Life has purpose. There are no accidents, no coincidences, EVERY moment is a blessing given for our Spiritual benefit and learning.
Abhijit V. Banerjee, Poor Economics: A Radical Rethinking of the Way to Fight Global Poverty|the parts of the brain corresponding to the limbic system (thought to respond only to more visceral, immediate rewards) were activated only when the decision involved comparing a reward today with one in the future. In contrast, the lateral prefrontal cortex (a more “calculating” part of the brain) responded with a similar intensity to all decisions, regardless of the timing of the options. Brains that work like this would produce a lot of failed good intentions. And indeed, we do see a lot of those, from New Year’s resolutions to gym memberships that lie unused.
Jun'ichirō Tanizaki|We find beauty not in the thing itself but in the patterns of shadows, the light and the darkness, that one thing against another creates.
Kaley Cuoco|My whole family actually, but my parents. I had such a normal and amazing childhood. I've been so lucky. My parents are cool and normal. They don't talk about the business and I still have stuff to do at their house.
Peter Carey|Back in school, there was this guy who had a huge crush on me. One day, when he mustered the courage to propose to me on a Rose Day, my friends burst out laughing right in front of him. I'm sure we all have had such experiences, and I've had crushes in the past. Right now, all I can think about is my films and deliver my best.
Lloyd Jones, Mister Pip|For six days I didn’t get up except to make a cup of tea, or fry an egg, or lie in the skinny bath gazing at a cracked ceiling. The days punished me with their slowness, piling up the hours on me, spreading their joylessness about the room.A doctor would have said I was suffering from depression. Everything I have read since suggests this was the case. But when you are in the grip of something like that it doesn’t usefully announce itself. No. what happens is you sit in a dark, dark cave, and you wait. If you are lucky there is a pinprick of light, and if you are especially lucky that pinprick will grow larger and larger, until one day the cave appears to slip behind, and just like that you find yourself in daylight and free. This is how it happened for me.
Ginnifer Goodwin|There's a long life ahead of you and it's going to be beautiful, as long as you keep loving and hugging each other.
Stephen R. Covey, The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change|Dewey sent him, I thought, when I saw those eyes.
Felix Wantang, Face to Face Meetings with Jesus Christ 2: Preparing for God's Paradise|If you lose God's paradise in Heaven, then you never existed.
Tatyana Tolstaya, The Slynx|To one who loves birds, morning always wakes up singing.
Neal Shusterman, UnDivided|And so, as the mob backs away to give them space... as the riot police holster their weapons, standing down, and as Risa takes the podium, calming the crowd with a voice as soothing as a sonata, Connor Lassiter holds his family like he'll never let them go.
José Saramago|Some people would say- you're only a drop, your word-breaking is only a drop, it wouldn't matter. But all the evil in the world's made up of little drops. It's silly talking about the unimportance of the little drops. The little drops and the ocean are the same thing.
Neil Gaiman, Preludes & Nocturnes|Most people today couldn't tell a bombardier from a brigadier" - said during a lecture in aid of the Army Benevolent Fund in 2009
Celine Kiernan|(on teaching writing) So many writers come to class with one question dominant in their mind, 'How do I make a living from this?' It's a fair enough question and one I always try to answer well - but it saddens me that it so often overshadows the more relevant questions of 'why am I writing' and 'what am I saying' and 'how do I keep it honest.
Kamand Kojouri|I know you not quite wellYet I foolishly surrender my mind to you. Slowly and carefully you have cast a spellNow my virgin heart only longs for you. There is no need to push, I am already falling. Once proudly tall, I’m no longer standing. Knowing well that I am doomed to misery,I will roll the dice and take delight in my suffering.
Paul Thomas Anderson|Making people laugh is giving, and it's healing, too, when people can go up to the movies and forget about their problems. It's a good thing. That's why I want to work.
Scott McClellan, What Happened: Inside the Bush White House and Washington's Culture of Deception|We go on in her room, where we like to set. I get up in the big chair and she get up on me and smile, bounce a little. "Tell me bout the brown wrapping. And the present." She so excited, she squirming. She has to jump off my lap, squirm a little to get it out. Then she crawl back up. That's her favorite story cause when I tell it, she get two presents. I take the brown wrapping from my Piggly Wiggly grocery bag and wrap up a little something, like piece a candy, inside. Then I use the white paper from my Cole's Drug Store bag and wrap another one just like it. She take it real serious, the unwrapping, letting me tell the story bout how it ain't the color a the wrapping that count, it's what we is inside.
William D. Burt|The greatest help oft comes in harm's disguise, to those with trusting hearts and open eyes.
Joan Aiken, Best New Horror 23|So, we're not enemies anymore?" She said. "I never said I wanted to be, believe me. When I saw you sitting in your own, eating lunch, all I wanted to do was fool around and make you smile." He shot her a shy glance.
M.F. Moonzajer|You can’t dream, if you don’t sleep.
Ann Aguirre, Horde|We enslave in the manner we talk to ourselves. But the truth is, God already set us free. He secured our release. To constantly hurt ourselves, resting in our inadequacy, is to call Him a LIAR.
Dylan Lauren|I've read that the ancient Chinese art of feng shui can bring a sense of peace, well-being, and positive energy to a home - same as beer.
Lionel Suggs|Power is the gem of necessity. Without observing power, identity remains undiscovered.
Russell Tovey|My dad never decided what he wanted to do; at times he fought in the army, was a teacher, a boxer, a light engineer, and a then a publican. My mum was a traditional housewife and mother. They showed my brother and I unconditional love.
Doug Stanhope|Oh, most unhappy man,' he cried, 'try to be happy! You have red hair like your sister.'My red hair, like red flames, shall burn up the world,' said Gregory.
C. JoyBell C.|No man was born in chains; it is their fellow man who has put them in chains, and at any given time, every single man and woman has the absolute right to break free from those chains of any nature and of any form! It is not God who has put you in any sort of bondage! It is your fellow man who puts you in bondage in the name of God!
Jeff Hobbs, The Short and Tragic Life of Robert Peace: A Brilliant Young Man Who Left Newark for the Ivy League|Though she had been surprised to find that murder was so thoroughly enjoyable, Mrs Bennet did not believe that this reflected any fault or wickedness in her character. She knew she only committed these acts tosecure the future well-being of her daughters. Naturally, she would be able to stop killing once her daughters had husbands and there was no further use for such bloodthirsty deeds. Indeed, she felt adamant that she only enjoyed the planning and execution of such matters because her daughters had not been so good as to provide her with wedding preparations to occupy her active mind.
Carine Roitfeld|I have a charity called the Chain Of Hope, where we target children from poor areas where heart surgery is not available, and we offer our services.
Angela Richardson, Pieces of Lies|Have you ever had a moment in time when it felt like it moved in slow motion? As if a split second felt like an hour because your mind cannot seem to process in the instant it’s supposed to, and the moment implodes on itself so you can barely breathe, and everything feels like a dream. A slow, heart-wrenching, time-freezing, dream.Well, this was one of those moments for me.
Brian Rathbone, Call of the Herald|This life is but a brief tenure, one of many perspectives a spirit must experience in the quest for eternity.
Cath Crowley|I love nine hundred and ninety nine facial expressions of Jemma Garner, none of them is sad look.
William Blake|The following Discourse [on art, by Sir Joshua Reynolds] is particularly Interesting to Blockheads as it endeavours to prove that There is No such thing as Inspiration & that any Man of a plain Understanding may by Thieving from Others become a Mich Angelo.
Zig Ziglar|Lead yourself whenever your boss' leadership deteriorates. When your boss doesn't praise what you do, praise yourself. When your boss doesn't make you big, make yourself big. Remember, if you have done your best, failure does not count.
Steven Pinker, How the Mind Works|Many people think that the theory of the selfish gene says that “animals try to spread their genes.” That misstates the facts and it misstates the theory. Animals, including most people, know nothing about genetics and care even less. People love their children not because they want to spread their genes (consciously or unconsciously) but because they can’t help it. That love makes them try to keep their children warm, fed, and safe. What is selfish is not the real motives of the person but the metaphorical motives of the genes that built the person. Genes “try” to spread themselves by wiring animals’ brains so the animals love their kin and try to keep warm, fed, and safe.
Sharad Vivek Sagar|Some of the world's biggest challenges can be solved by some of the world's most marginalized communities themselves. The moment you inject information, education, and an entrepreneurial spark in a community, it gets empowered enough to inspire, build, and uplift itself.
Timothy Ferriss, The 4-Hour Chef: The Simple Path to Cooking Like a Pro, Learning Anything, and Living the Good Life|It is possible to become world-class, enter the top 5% of performers in the world, in almost any subject within 6-12 months, or even 6-12 weeks.
S.R. Crawford, No Secrets: Eternity series|No matter who you are, everyone has a shadow; a constant darkness that follows them wherever they go…unless where you go is into the darkness itself, of course, because then you have already been consumed.
Anthony Pan|It is good to have a dream, as long as the dream does not have you.
Edward Cline, Hugh Kenrick|I have lived long enough to see real, significant changes made for the good...and I have been fortunate enough to have participated in some of them...One person can make a difference!(Father Ted Hesburgh, C.S.C., quoted in our book, God's Icebreaker by Jill A. Boughton and Julie Walters)
Nikki Rowe|For as long as I write, I will never be lost.
Sam Kean, The Tale of the Dueling Neurosurgeons: The History of the Human Brain as Revealed by True Stories of Trauma, Madness, and Recovery|I want to affect people like a clap of thunder, to inflame their minds with the breadth of my vision, the strength of my conviction and the power of my expression.
Stephen Hawking|I believe the simplest explanation is, there is no God. No one created the universe and no one directs our fate. This leads me to a profound realization that there probably is no heaven and no afterlife either. We have this one life to appreciate the grand design of the universe and for that, I am extremely grateful.
Ally Condie, Matched|And the seventh rule is if this is your first night at fight club, you have to fight.
John Ruskin|Look at a football field. It looks like a big movie screen. This is theatre. Football combines the strategy of chess. It's part ballet. It's part battleground, part playground. We clarify, amplify and glorify the game with our footage, the narration and that music, and in the end create an inspirational piece of footage.
Alexandra Bracken, The Darkest Minds|Dill said striking a match under a turtle was hateful."Ain't hateful, just persuades him- 's not like you'd chunk him in the fire," Jem growled."How do you know a match don't hurt him?""Turtles can't feel , stupid," said Jem."Were you ever a turtle, huh?
Rod Serling|As long as they talk about you, you're not really dead, as long as they speak your name, you continue. A legend doesn't die, just because the man dies.
Jerry Gladstone, The Common Thread of Overcoming Adversity and Living Your Dreams|Never abandon your personal message. No matter what comes your way, remain dedicated to that which you hold close to your heart
Jared Stone, Year of the Cow: How 420 Pounds of Beef Built a Better Life for One American Family|The white-hot singularity at the core of the Machine is – ultimately - a fear of death. It's the inevitability of a journey's end and the threat of a question nobody can honestly answer: what does it mean to make the most of a life? How can you tell that you've spent your time well? There is no metric, no answer key at the back of the book. It's a question that I think everyone had to answer for themselves, and hold tight onto that answer with both hands.
Dick Francis, Whip Hand|Winning isn't about finishing in first place. It isn't about beating the others. It is about overcoming yourself. Overcoming your body, your limitations, and your fears. Winning means surpassing yourself and turning your dreams into reality.
Amit Ray, Nonviolence: The Transforming Power|World is a divine play. At the beginning and at the end, we are the same.
Richelle E. Goodrich, Eena, The Two Sisters|You know the story.” The Nalnom rotated his hand in the air as if she should recall it.	“I don’t. I’ve never heard the story.”	Joshlon summarized it for her. “Prometheus was turned into a dragon by his angry lover, Naradite. She refused to turn him back into his manly form. He became the first fire-breathing dragon—Naga the Terrible.”	Eena dropped her lower jaw. “What?”	“Naradite turned Prometheus into a dragon,” Joshlon repeated. “Naga.”	“And Prometheus is Edgar’s father?” She was sure the surrounding stares were the result of her virtually shouting out the question.	Joshlon answered with some hesitance in his voice. “I don’t know who Edgar is, but Edgarmetheus was supposedly the son of Prometheus, the illegitimate child of him and his lover, Naradi
Marcha A. Fox, A Psilent Place Below|He looked down at the mask hanging around his neck. So simple a lie, and he could walk freely throughout the world.But would he then be trapped within the web of his own deception? What freedom could he find in denying the truth about himself?
Veronica Roth, Insurgent|I'll be your family now," he says. "I love you," I say. (....)He stares at me. I wait with my hands clutching his arms for stability as he considers his response. He frowns at me. "Say it again.""Tobias," I say, "I love you.
Judith McNaught, Almost Heaven|If you would take one step forward, darling, you could cry in my arms. And while you do, I'll tell you how sorry I am for everything I've done -" Unable to wait, Ian caught her, pulling her tightly against him. "And when I'm finished," he whispered hoarsely as she wrapped her arms around him and wept brokenly, "you can help me find a way to forgive myself."Tortured by her tears, he clasped her tighter and rubbed his jaw against her temple, his voice a ravaged whisper: "I'm sorry," he told her. He cupped her face between his palms, tipping it up and gazing into her eyes, his thumbs moving over her wet cheeks. "I'm sorry." Slowly, he bent his head, covering her mouth with his. "I'm so damned sorry.
Eric Weiner, The Geography of Genius: A Search for the World's Most Creative Places from Ancient Athens to Silicon Valley|Your fancy alien train is broken?""My fancy alien material transfer system has been sitting unused for over a billion years and half the planet just exploded. Your ship was built less than a decade ago and you can barely keep the coffee pot running.”“You are a sad, bitter little man.
Matshona Dhliwayo|The thing about past love is that they exist, only in your fantasy as a fantasy.
Marguerite Kaye, The Soldier's Dark Secret|The soldier in the portrait had been a respected and admired officer...The man he had become was fighting a different battle now. He had his demons, just as she had her ghosts.
Mehmet Murat ildan|If you are not afraid of the dark, the darkness will start being afraid of you!
Theresa Pecku-Laryea, Hannah's Song|It’s the simplest things in your life that help you achieve the greatest BLESSINGS. None of those things cost you, yet they can bring abundant reward. Faith, honesty and good manners will take you places and assist you in obtaining things that money NEVER will.
Israelmore Ayivor, Shaping the dream|Don’t answer every critic. Sometimes, the answers you give may be right but misconceived and misunderstood.
Jojo Moyes, Me Before You|I had never considered that you might miss a job like you missed a limb -- a constant, reflexive thing. I hadn't thought as well as the obvious fears about money, and your future, losing your job would make you feel inadequate, and a bit useless. That it would be harder to get up in the morning than you were rudely shocked in to consciousness by the alarm. That you might missed the people you worked with, no matter how little you had in common with them.
Guy Laliberte|Money is a good thing, but every morning you have to get up with something no one else in the world gets up with - that's that image. That face you see in the mirror, you got to love it, and you better do some things that you feel good about inside of you. Of course, money is going to come, but make certain that you do some good with it.
Samuel Goldwyn|When I hear theists and atheists pontificating on how they know God does or does not exist, I can only smile at the irrationality and, yes, vanity of the notion.
Steven Redhead, Unleash The Power of Your Heart and Mind|Learn about the true powers of your heart, it’s not just pulsing blood throughout your entire body, but also communicating with every cell including those of your mind.
Sunday Adelaja, How To Become Great Through Time Conversion: Are you wasting time, spending time or investing time?|Time is the raw material from which products are made, when products are sold, money is made.
Elizabeth J. Kolodziej|A piercing screech from above caught my attention. However, it was the arm landing beside me with teeth marks that let me know what was going on. “Can you be a little more careful where you let body parts fall?”- Faith, Witch Devotions
Mercedes Lackey, Bastion|Why, you mean you didn't get abducted and dragged across country purely to make us a story for us to chew over endlessly?" asked Pip, tossing his shock of tow-colored hair indignantly. "The nerve!
Michelangelo Buonarroti|The greater danger for most of us lies not in setting our aim too high and falling short; but in setting our aim too low, and achieving our mark.
Serena Jade, Charismatic Connection|Creativity is making regret free mistakes, Wisdom is knowing which ones have value
Susan C. Young, The Art of Action: 8 Ways to Initiate & Activate Forward Momentum for Positive Impact|Whoever came up with the idea that "nice guys finish last" must have been either very jaded or downright malicious. Why would a caring, emotionally healthy human being ever think that being “un-nice” is a virtue? Anyone who wants to get ahead in life and have quality outcomes needs to understand that kindness is a strength. You will move forward faster by making friends rather than foes.
Gabriel García Márquez, Love in the Time of Cholera|One could be happy not only without love, but despite it.
David Allan Coe|Under Tunisian law, a woman can divorce her husband. Total equality.
Lailah Gifty Akita|Every sacred soul must walk and keep the way of God in the wilderness for years, to begin the sacred writings.
Debasish Mridha|It is not the beauty of nature, but it is our dream-filled actions that create our futures.
Carl Sandburg|Begin at once to live, and count each separate day as a separate life.
Sarah Perry, Every Cradle is a Grave: Rethinking the Ethics of Birth and Suicide|Nehemia was gone. That vibrant, fierce, loving soul; the princess who had been called the Light of Eyllwe; the woman who had been a beacon of hope—just like that, as if she were no more than a wisp of candlelight, she was gone.When it had mattered most Celaena hadn't been there.Nehemia was gone.
Rick Riordan|The only way I could get comfortable around people was to make them laugh. I was an obedient girl, and humor was my one form of rebellion. I used comedy to deflect. Like, 'Hey, check out my zit!' - you know, making fun of yourself before someone else has a chance to.
Toba Beta, My Ancestor Was an Ancient Astronaut|Any pride or haughtiness, is displeasing to us, merely because it shocks our own pride, and leads us by sympathy into comparison, which causes the disagreeable passion of humility.
Ngina Otiende, The Wedding Night: Embracing Sexual Intimacy as New Bride|Dear newlywed wife, somebody out there is determined to shape your view of intimacy and marriage. You get to choose who will shape your opinion; the Author of marriage or offended humans?
Amanda Bonilla, When Shadows Call|Rachel knew what she was doing. And when she didn't, she could improvise on the fly, coming up with options that left a lot of collateral damage but usually only hurt herself, not the people around her. It was one of the things he would never admit that he admired about her.
Pat Spence - Blue Moon|Gazing into his eyes, I was lost in their intensity. It was like looking into the bluest sky and carrying on to infinity. I felt mesmerised, hypnotised and transfixed all at once.
T.H. White, Ghostly, Grim and Gruesome|Henry,that's how you get rid of fleas. You keep them from laying eggs. You go to war with them.
Milan Kundera, The Unbearable Lightness of Being|When graves are covered with stones, the dead can no longer get out. But the dead can’t go out anyway! What difference does it make whether they’re covered with soil or stones?
Morrie Schwartz|The most important thing in life is to learn how to give out love, and to let it come in.2.	Forgive yourself before you die. Then forgive others.3.	Death ends a life, not a relationship.4.	Once you learn how to die, you learn how to live.5.	Sometimes you cannot believe what you see, you have to believe what you feel. And if you are ever going to have other people trust you, you must feel that you can trust them too-even when you are in the dark. Even when you're falling.6.	As you grow old, you learn more. If you stayed at twenty-two, you'd always be as ignorant as you were at twenty-two. Aging is not just decay, you know. It's growth. It's more than the negative that you're going to die, its also the positive that you understand you're going to die, and that you live a better life because of it.
Douglas Adams, The Salmon of Doubt|There's always a moment when you start to fall out of love, whether it's with a person or an idea or a cause, even if it's one you only narrate to yourself years after the event: a tiny thing, a wrong word, a false note, which means that things can never be quite the same again.
Maureen Brady, Beyond Survival: A Writing Journey for Healing Childhood Sexual Abuse|As we move away from the old role in which we were helplessly entrapped as a victim, we make friends with the people who affirm us. Their enthusiasm about us mirrors the positive experience we are having.
Sydney J. Harris|At it's highest level, the purpose of teaching is not to teach—it is to inspire the desire for learning. Once a student's mind is set on fire, it will find a way to provide its own fuel.
Ernest Holmes, The Science of Mind|The latent abundance of your inner most resources matter less. What matters most is the impact you can make with your inner resources and the distinctive footprints you can leave with what is within you. The excuse not to dare is there for everybody. When you see so many people crowded at the entrance, think of the roofing and if the roofing is too high, think of the next door and if the next door is not penetrable, create a door within the wall.
Jodi Picoult, The Pact|I love you," he whispered, and that was the moment he knew what he was going to do. When you loved someone, you put their needs before your own. No matter how inconceivable those needs were; no matter how fucked up; no matter how much it made you feel like you were ripping yourself into pieces.
Roberto Bolaño, 2666|His words saddened them greatly, though they couldn't say why.
Dietrich Bonhoeffer, The Cost of Discipleship|One source of frustration in the workplace is the frequent mismatch between what people must do and whatpeople can do. When what they must do exceeds their capabilities, the result is anxiety. When what they must do falls short of their capabilities,the result is boredom. But when thematch is just right, the results can be glorious. This is the essence of flow.
Mehmet Murat ildan|One face of the cloud sees the sun, other face of the cloud sees the darkness! To survive in this universe, you must do the same! See the sun, see the darkness! Enjoy the life, but prepare for the worst as well!
A.N. Jones|Perhaps when I first arrived on this world so long ago I may have known more. Now, though, I do not have knowledge of as much as I used to. The years, many of them, have changed this world and the great societies flourish with change. Although I feel nothing but pride for this, I am saddened as well. For as the changes occur my knowledge of this world dwindles. As such, I seek to learn, to regain that which I have lost. Do you now understand?" ~ except from "Raging Land", book 2 of 3 in the "Patrons of Earth" Trilogy by A. N. Jones (quote is subject to change)
Louise Brown, The Dancing Girls of Lahore: Selling Love and Saving Dreams in Pakistan's Pleasure District|And the next day the gondolier came with a train of other gondoliers, all decked in their holiday garb, and on his gondola sat Angela, happy, and blushing at her happiness. Then he and she entered the house in which I dwelt, and came into my room (and it was strange indeed, after so many years of inversion, to see her with her head above her feet!), and then she wished me happiness and a speedy restoration to good health (which could never be); and I in broken words and with tears in my eyes, gave her the little silver crucifix that had stood by my bed or my table for so many years. And Angela took it reverently, and crossed herself, and kissed it, and so departed with her delighted husband.And as I heard the song of the gondoliers as they went their way--the song dying away in the distance as the shadows of the sundown closed around me--I felt that they were singing the requiem of the only love that had ever entered my heart.
Richelle Mead, Bloodlines|Takes a lot of tries before you hit perfection." He paused to reconsider that. "Well, except for my parents. They got it on the first try." (Adrian)
David Mitchell, Cloud Atlas|I believe in the power of love, and planting positive thought seeds into the collective consciousness.
Confucius, The Analects|The porpoises and whale themselves, in their quests for entertainment, often created problems. One summer a fashion developed in the training tanks (I think Keiki started it) for leaning out over the tank wall and seeing how far you could balance without falling out. Several animals might be teetering on the tank edge at one time, and sometimes one or another did fall out. Nothing much happened to them, except maybe a cut or a scrape from the gravel around the tanks; but of course we had to run and pick them up and put them back in. Not a serious problem, if the animal that fell out was small, but if it was a 400-pound adult bottlenose, you had to find four strong people to get him back, and when it happened over and over again, the people got cross. We feared too, that some animal would fall out at night or when no one was around and dry out, overheat, and die. We yelled at the porpoises, and rushed over and pushed them back in when we saw them teetering, but that just seemed to add to the enjoyment of what I'm sure the porpoises thoguht of as a hilariously funny game. Fortunately they eventually tired of it by themselves.
Rebecca Solnit, Wanderlust: A History of Walking|Of course women's walking is often construed as performance rather than transport, with the implication that women walk not to see but to be seen, not for their own experience but for that of a male audience, which means that they are asking for whatever attention they receive.
Toba Beta, My Ancestor Was an Ancient Astronaut|(In reply to the question, 'Would you like some suggestions for a plot for your next book?')There are three problems with getting plot suggestions from other people. The first is that ideas are the easy part of writing; finding the time and energy to get them down on paper is the hard part. I have plenty of ideas already. Which brings me to the second problem: the ideas that excite you, the ones you think would make a terrific book, are not necessarily the same ideas that excite me. And if a writer isn't excited about an idea, she generally doesn't turn out a terrific book, even if the idea is terrific. And the third problem with my using your suggestions is that, theoretically, you could sue me if I did, and that tends to make publishers nervous, which makes it hard to sell a book. So thank you, but no.
Alastair Reynolds, Thousandth Night / Minla's Flowers|Oh, Creator! Can monsters exist in the sight of him who alone knows how they were invented, how they invented themselves, and how they might not have invented themselves?
Starla Huchton, Shadows on Snow|We all eventually find that life is a series of adjustments, but anything can be overcome when there is love around you. Once can be strong on their own, but there is greater strength in knowing when to rely on others.
Gabriel García Márquez, Love in the Time of Cholera|The world is full of love stories, and all lovers are in a sense the avatars of their predecessors.
Veronica Roth, Insurgent|Tris," he says. "What did they do to you? You're acting like a lunatic.""That's not very nice of you to say," I say. "They put me in a good mood, that's all. And now I really want to kiss you, so if you could just relax-
Nayyirah Waheed|if the ocean can calm itself, so can you.we are both salt water mixed with air.
Reuven Rivlin|For 25 years, it has been my privilege to represent the city of San Francisco and the great state of California; to work to strengthen our vibrant middle class; to secure opportunity and equality.
Criss Jami, Killosophy|The self-centered man will always expect nothing but praise. He will hope and expect all incoming criticism to be mere self-projection from the critic because when you're self-centered, self-projection is all you can imagine one can do.
Jack White|When I write a song, I always start on acoustic guitar, because that's a good test of a song, when it's really open and bare. You can often mislead yourself if you start with computers and samples and programming because you can disguise a bad song.
Munindra Misra, PT. Kanhaiya Lal Misra - My Father|But science can only be created by those who are thoroughly imbued with the aspiration toward truth and understanding. This source of feeling, however, springs from the sphere of religion. To this there also belongs the faith in the possibility that the regulations valid for the world of existence are rational, that is, comprehensible to reason. I cannot conceive of a genuine scientist without that profound faith. The situation may be expressed by an image: science without religion is lame, religion without science is blind.
Neil Gaiman, The View from the Cheap Seats: Selected Nonfiction|No two readers can or will ever read the same book, because the reader builds the book in collaboration with the author.
George Orwell, 1984|Suddenly, by the sort of violent effort with which one wrenches one's head away from the pillow in a nightmare, Winston succeeded in transferring his hatred from the face on the screen to the dark−haired girl behind him. Vivid, beautiful hallucinations flashed through his mind. He would flog her to death with a rubber truncheon. He would tie her naked to a stake and shoot her full of arrows like Saint Sebastian. He would ravish her and cut her throat at the moment of climax. Better than before, moreover, he realized why it was that he hated her. He hated her because she was young and pretty and sexless, because he wanted to go to bed with her and would never do so, because round her sweet supple waist, which seemed to ask you to encircle it with your arm, there was only the odious scarlet sash, aggressive symbol of chastity.
Tana French, Faithful Place|Was it possible this one would be a son too? She hoped so, but not because she favored men. Her husband modeled the seriousness, the stoicism, that she hoped her sons would inherit, but she had nothing to teach a daughter. She could teach her to dream—say, to be a painter, as she herself had been trained—and then teach her to let it go. Teach her to cloister herself in dark hallways, admiring how the light fell through the rice-paper doors while knowing that there was no point in putting it on canvas.
Sanchita Pandey, Voyage to Happiness!|Sometimes doesn't mean behaving nice, means you will got the same answer, it never means that everything done in positive = returns positive.... sometimes comes and negative.
Jonathan Edwards, The Works of Jonathan Edwards, Vol. 16: Letters and Personal Writings|One of these grand defects, as I humbly conceive, is this, that children are habituated to learning without understanding.
Haruki Murakami, Blind Willow, Sleeping Woman|Durum semolina, golden wheat wafting in Italian fields. Can you imagine how astonished the Italians would be if they knew that what they were exporting in 1971 was really loneliness
Billy Graham, Billy Graham in Quotes|One of life’s mysteries is why two children growing up in the same home sometimes take radically different paths—one following Christ, the other rebellious and scornful. Yet it happens.
Balroop Singh|If you think that you gonna survive with this emotions... better stay home... there you are safe... if you expose too much of this emotions... soona people will use this as weakness.......If you can do something...Start as "I ignore myself on basic emotions..."...
Jerome K. Jerome, Idle Thoughts of an Idle Fellow|Mirror Mirror on the Wall,Who's fairest of them all?I'm Mona Lisa and She is plain,But the truth is - we all are Vain.
Billy Graham, Billy Graham in Quotes|Our youth are desperately searching for purpose and meaning in their lives. They are searching for fulfillment . . . I believe that a return to biblical conversion, faith, and conviction would have a great impact in our day.
Pope Francis|It is our job above all in politics to tackle the big issues and to explain them, and have the honesty to say to people, 'There are no easy solutions here.'
