Tim O'Brien, The Things They Carried|Men killed, and died, because they were embarrassed not to.
Mitch Albom, Tuesdays with Morrie|...and often Lisa thought bitterly of the ideas she had held on "college life" before coming to Denton, ideas and images culled from a hundred magazine stories and as many movies. Where were the convertibles, the secret bottles of liquor, the gay young men and their wild girl friends?
Jeanette Winterson, Oranges Are Not the Only Fruit|Everyone who tells a story tells it differently, just to remind us that everybody sees it differently
J.K. Rowling, Harry Potter and the Half-Blood Prince|What do I care how 'e looks? I am good-looking enough for both of us, I theenk! All these scars show is zat my husband is brave!
Audrey Niffenegger, Her Fearful Symmetry|She had been his talisman, his cure for the insecurities and worries that he knew deep down didn't really matter, but somehow had always managed to get the best of him.
Margaret Atwood, The Penelopiad|I see murky visions of other gods and rival magic."That REALLY didn't sound good."What do you mean?" I asked. "what OTHER GODS?""I don't know, Sadie. But Egypt has always faced challenges from outside –– magicians from elsewhere, even gods from elsewhere. Just be vigilant."~Ruby & Sadie Kane about...? Possibly Greeks?
Toba Beta, Master of Stupidity|Mood has to be controlled.Otherwise, it's your master.
A.A. Milne, Winnie-the-Pooh|But every tomorrow has led to today— to us being alone, hungry, and cold on an unknown island somewhere in the South Pacific.
Moza bint Nasser|The absolute dependence of a newborn infant inspired many things in me, but it did not activate any magical knowledge about what to do for the next twenty years.
Criss Jami, Killosophy|Pretentiousness isn't always just big words and meaningless jargon, but also pretty words that either when put into action don't mean beans or hurt you in the long run. Oftentimes, the former appeals to the intellect whereas the latter appeals to the heart.
Greenway Heirs|And now here I was in McDonald's again for the first time since my earlier fracas. I vowed to behave myself, but McDonald's is just too much for me. I ordered a chicken sandwich and a Diet Coke.'Do you want fries with that?' the young man serving me asked.I hesitated for a moment, and in a pained but patient tone said: 'No. That's why I didn't ask for fries, you see.''We're just told to ask like,' he said.'When I want fries, generally I say something like, "I would like some fries, too, please." That's the system I use.''We're just told to ask like,' he repeated.'Do you need to know the other things I don't want? It is quite a long list. In fact, it is everything you serve except for the two things I asked for.''We're just told to ask like,' he repeated yet again, but in a darker voice, and deposited my two items on a tray and urged me, without the least hint of sincerity, to have a nice day.I realized that I probably wasn't quite ready for McDonald's yet.
Mohammed Sekouty|But attempts to evade anxiety are not only doomed to failure. In running from anxiety you lose your most precious opportunities for the emergence of yourself, and for your education as s human being.
Ian McEwan, Sweet Tooth|Progress means to be true to the world, If we need to make a change.
J.R.R. Tolkien, The Two Towers|Being a cheerful hobbit, he had not needed hope, as long as despair could be postponed.
Lian Hearn, Autumn Princess, Dragon Child|But, as your saints teach and we have always known, attachment enslaves you. Only those free from it see the world as it really is and have power over themselves and all things.
Louise Penny, The Cruelest Month|She knew that kindness kills. All her life she'd suspected this and so she'd only ever been cold and cruel. She'd faced kindness with cutting remarks. She'd curled her lips at smiling faces. She'd twisted every thoughtful, considerate act into an assault. Everyone who was nice to her, who was compassionate and loving, she rebuffed.Because she'd loved them. Loved them with all her heart, and wouldn't see them hurt. Because she'd known all her life that the surest way to hurt someone, to maim and cripple them, was to be kind. If people were exposed, they die. Best to teach them to be armored, even if it meant she herself was forever alone. Sealed off from human touch.
Robert Downey, Jr.|Military dictatorship is born from the power of the gun, and so it undermines the concept of the rule of law and gives birth to a culture of might, a culture of weapons, violence and intolerance.
Louise Glück|Up here it seems we have only the stars, but even they seem small in the midst of that terrifying night sky...I suppose even monsters can be afraid of the dark.
Aspen Matis, Girl in the Woods: A Memoir|She’d taken care of me in all the ways my body needed, but the devastation of my rape had made me feel the weight of the essential way she had neglected me: she hadn’t nurtured the potential of my strong and healthy independence.
Innocent Mwatsikesimbe, The Reason|If you look at it, life is like one big series of lessons, that starts the moment we are born.
Kristin Cashore, Fire|She's just jealous, people say, as if jealousy is something minor. But it's not, it's the worst, it's the worst feeling there is - incoherent and confused and shameful, and at the same time self-righteous and focused and hard as glass, like a view through a telescope. A feeling of total concentration, but total powerlessness.
Sanhita Baruah|When you know the inside stories, no matter how good looks the cover, you just cannot appreciate it...
Rick Yancey, The Last Star|Our hearts, the war.Her body, the battlefield.
Jennifer Hudson|It's difficult for me to trust a woman. Men are attracted to beautiful women. Women are attracted to men who offer security - financial security. And if you have money and you're famous, women find that sexy.
Penelope Douglas, Corrupt|Like the teens I worked with, I understood the need for miracles--they kept reality from paralyzing you
Dada Bhagwan|If one’s mind becomes conflict-free, that is ‘moksha’; conflict filled mind, that is worldly life.
Terry Pratchett, Unseen Academicals|I wished for you on every shooting star when I was little. Now, if I gathered all of the stars I wished for you on, none could ever shine brighter than you. You are my shooting star, Ren. You are here with me walking this beach. I may have fucked up, but I swear to you, to God, and every single star in this sky, I will never give you up!”Stefan
Michelle Madow, Remembrance|They say when you meet the love of your life, time stops, and that's true. What they don't tell you is that when it starts again, it moves extra fast to catch up.
Toba Beta, Betelgeuse Incident: Insiden Bait Al-Jauza|When you are dealing with an invisible enemy,use most resources as shield, and a bit as a bait.
Gina Greenlee, Postcards and Pearls: Life Lessons From Solo Moments in New York|Whether you need to make a call or answer one,don’t put your passions on hold.
Rivka Galchen, Little Labors|The mother of an adult child sees her work completed and undone at the same time.' If this holds true, I may have to withstand not only rage, but also my undoing. Can one prepare for one's undoing? How has my mother withstood mine? Why do I continue to undo her, when what I want to express above all else is that I lover her very much?
Don Bluth|I think we are at the very beginning of high changes, not only in terms of digital film, but in the way the movies will be screened, whether they'll be screened on phones, on computers - on everything.
Albert Claude|We must vote for hope, vote for life, vote for a brighter future for all of our loved ones.
Forrest Curran, Purple Buddha Project: Purple Book of Self-Love|Only in the moments of being alone in the darkness on the raft, will you have the space to speak, listen, and to act from the heart. Only in the moments of pain, do we begin to empathize with humankind. Only when you are lost, you will find new meaning. Float on.
Marion Cotillard|I don't have any superstitions, but what I always travel with is my pillow and my coffee.
Marta Acosta, The Shadow Girl of Birch Grove|Wait," I say. "Aren't soulmates supposed to be perfect? What if you find yours and shes not a virgin, not even a girl? What if he's a fixer upper? What if he has an STD?
David Suzuki|Every person gets negative things, they learn from those negative things, and you become a positive person.
Sundar Singh|Surely your longings and feelings arise from the God who created you. They were created in order to be filled, not crushed. Surely we shall find peace not by eliminating desire, but by finding its fulfillment and satisfaction in the One who created it.
Ogden Nash|You are only young once, but you can stay immature indefinitely.
Moonshine Noire|(...) pick up your axe, start at the rootsdon't miss the trunk, never forget:to end life truly and finallystart at the roots or end there.
Jessica Kristie|In that wounded place,buried betweenmy ribs and letting go,I miss you.
Shirley Parenteau, Ship of Dolls|Rain clouds and stormy moods take time to blow away, but sooner or later the sun always comes out.
Suzanne Collins, Catching Fire|She's really gone, then. The little girl with the back of her shirt sticking out like a duck tail, the one who needed help reaching the dishes, and who begged to see the frosted cakes in the bakery window. Time and tragedy have forced her to grow too quickly, at least for my taste, into a young woman who stitches beeding wounds and knows our mother can hear only so much.
Osip Mandelstam, Selected Poems|Where to start?Everything cracks and shakes,The air trembles with similes,No one world's better than another;the earth moans with metaphors.
Dean Koontz, Odd Hours|By doing, I learn what to do. By going, I learn where to go. One day, by dying, I'll learn how to die, and leave the world and hope to land in light.
Joshua Oppenheimer|I want roles without anger and feistiness. I want to show weakness and sadness, some love, some happiness.
Tennessee Williams|The last we heard of him was a picture postcard from Mazatlan, on the Pacific coast of Mexico, containing a message of two words: "Hello - Goodbye!" and no address.
Thomas Szasz, Cruel Compassion: Psychiatric Control of Society's Unwanted|Duty is a good thing, a calling without which no civilization can survive, but it is also a weight and chain that sometimes seems sure to sink you to the airless bottom of a dark pool
Unarine Ramaru|Start looking at the glass as half full and not half empty, a positive life is secondary to you being positive.
Ursula K. Le Guin, The Tombs of Atuan|I want to kiss you.” It was rather magical, she thought, how those five simple words, said in his lovely deep voice, could set her aflame, like a lamp tipped over and burning up everything in sight. She said: “Well, kiss me then.” “How imperious you are.” He smiled, came close, and set his hand gently under her chin. He bent and touched his lips to hers, lightly, sweetly, and it was as if her whole being rushed to meet him in his kiss. It was light, sweet, tender, caressing, demanding, and fiery hot all at once. How did he do that? There was absolutely no doubt about it. He was an excellent kisser. She could easily get used to this.
John  David, The Carrot and The Stick: A Call to Action|There is no one force, no group, and no class that is the preserver of liberty. Liberty is preserved by those who are against the existing chief power. Oppositions which do not express genuine social forces are as trivial, in relation to entrenched power, as the old court jesters.
Tare Munzara|Belief is the creed of the fearless.. Follow through your dreams religiously ,keep it running like the DNA embedded in your system... Believe
Javier Marías|There was nothing dishonourable in not being blown about by every little modern wind. Better to have worth, to entrench, to be an oak of one's own generation.
Charles Eisenstein, The More Beautiful World Our Hearts Know Is Possible|We are all here to contribute our gifts toward something greater than ourselves, and will never be content unless we are.
Martin Suarez|Tell your children the most important things To Be when they grow up, is to be kind and compassionate, to be loving and grateful, and to be happy and at peace with who they are, no matter of what they chose to do when they grow up.
Northern Adams, Mickey and the Gargoyle|Diversion is the absolute worst remedy for depression. When we ignore the things that haunt us or taunt us, not only do they keep coming back, but they’re bigger and stronger each time they return. Stop shoving us depressives in that direction.
Matthew Quick, The Silver Linings Playbook|You need to know it's your actions that will make you a good person, not desire.
Latif Mercado|It's Easy To Feel Like A Big Fish, When Your Pond is Just A Puddle!
Anthony T. Hincks|You may silence the critics, but you don't silence the pain.
Holly Mosier|We have a right to decide how we want our bodies to look and feel, but unfortunately we do not exercise these rights. Instead, we tend to drift along, victims of our own ignorance of the fact that we can have what we want, if we are willing to take that first step toward developing the self-discipline to govern our thoughts.
Patrick Ness, The Rest of Us Just Live Here|We share out craziness, our neuroses, our little bit of screwed-up-ness that comes from our family. We share it. And it feels like love.
Nancy Reagan|If you're going to put yourself above everybody else, you might end up alone.
Sami Leino, Startup Africa: A must-read guide for curious minds and anyone aiming to do business in Africa|Europe is made of history,America of philosophy,Asia of prosperity,and Africa of opportunity.
Shawn Michael Severud, Perdida: Essays to Be Read While Intoxicated|I knew we were not alone, but there was something in the air, something good and pure that reassured me. It’s a beautiful energy, and has been with me ever since.
Lorin Morgan-Richards|One day stores will no longer have gender classifications. Instead the consumer decides how and what they want, rather than the social engineering of corporations. The concept of gender will be extinct.
Toba Beta, My Ancestor Was an Ancient Astronaut|I had seen a different side of her, the one where she didn't feel threatened by me, and I liked that side. That side was vulnerable and happy and kind.
Donal Ryan, The Thing About December|There’s always another option.There’s always another one.It’s never only 'this' or 'that,'The moon or else the sun.Don’t sigh and choose the greaterOr lesser of two plights.But look to see the stars beyondFor options vast and bright.
Michael Hayden|If the whole U.S. was like Silicon Valley, we'd be in good shape. But now, the entire U.S. is not driven by technology, is not driven by innovation.
Soke Behzad Ahmadi, Ryukyu Kobujutsu : Bo - Tanbo - Toifa|. . in Old Karate, you learned you Art through pain. You learned quickly that your techniques had to be fast or powerful or both. If you did not embrace pain and it's lessons adequately, you simply did not survive
Mumia Abu-Jamal|Each day of not writing, of comfort, of being that which he despised, dulled his ability and softened his will to work so that, finally, he did no work at all.
Clarissa Pinkola Estés, Women Who Run With the Wolves: Myths and Stories of the Wild Woman Archetype|Human glory is not just found in what people were originally created to be – the image of dynamic God, spiritually functioning like him in the physical world. This glory is displayed even more powerfully in what they are now redeemed to be – the image of his Son, Jesus Christ.
Brandi L. Bates|You are not property. If you choose to leave, no one will stop you.
Naomi Wolf|Kids are naturally gifted at art from a very young age. The problem is when they get older and become self-conscious. The process should always be fun, though.
William Gaddis|Donald Trump is actually the voice of the silent majority, and I think he's awoken that silent majority. People are very angry, and the people who are the most angry are actually the legal immigrants who see their jobs fleeing.
Tracey Kidder|...Stella’s tiny butt stuck in the air as she stretched to reach a weed. She was wearing a pair of jeans and a button-down pink and white checked shirt that was tucked into the elastic waistband of her pants. She reminded Rusty of an elf. “Excuse me, Stella?” “You stop right there if you have trouble on your mind. As you can see, I have plenty of birds, and I’ll knock you out with one of them,” Stella said without looking up. Rusty wanted to say that she’d yank up her own plastic flamingo and work Stella over with it in a heartbeat. Instead, she took a calming breath and said, “I made something you might like to have.” “If it’s a grenade launcher, I’m listening, Achmed.
Victoria Aveyard, King's Cage|Be thankful when you find yourself worrying about the smallest things, for it often means there aren't any bigger things to truly worry about.
Joseph Addison|Every year its a blessing year, because it brings another years in advance
Lidiya K., This Moment|Most of the pain we experience, whether we realize it or not, comes from the fantasies we live in.We create our own worlds, where there are certain rules, things to be done and said and events to happen. And every time that doesn’t go according to the plan (which, basically, means anything because we have no control over what might happen and can’t predict it), we panic.
Tabitha Suzuma, A Voice in the Distance|They say that depression makes you see everything in a negative light. I disagree. It makes you see things for what they are. It makes you take off the fucking rose-tinted glasses and look around and see the world as it really is- cruel, harsh and unfair. It makes you see people in their true colours- stupid, shallow and self-absorbed. All that ridiculous optimism, all that carpe diem and life-is-what-you-make-of-it. Words, jsut empty words in an attempt to give meaning to an existence taht is both doomed and futile.
Paulo Coelho, The Devil and Miss Prym|Grandfather looked away from me and out to sea, and when he spoke, it was as though he spoke to himself. “The obligations of normal human kindness – chesed, as the Hebrew has it – that we all owe. But there’s a kind of vanity in thinking you can nurse the world. There’s a kind of vanity in goodness.”I could hardly believe my ears. “But aren’t we supposed to be good?”“I’m not sure.” Grandfather’s voice was heavy. “I do know that we’re not good, and there’s a lot of truth to the saying that the road to hell is paved with good intentions.
Isaac Marion, Warm Bodies|I wish I could read what she's written there. Instead, I pretend the letters are stars. The words, constellations.
Kurt Vonnegut Jr., Cat's Cradle|I was a man fifteen years older than she, you understand. I had reached that stage in life where I identified with cynical villains in a book.
Nikki Rowe|The girl was a gypsy before an illness took control of her legs, now she watches in awe the world pass by whilst stillness teaches her about inner strength.
Paul Weller|I've loved car racing all my life. I watch NASCAR regularly, and drag racing because we have Raceway Park in New Jersey. I think I got it from my father.
Michael Morpurgo, Toto: The Dog-Gone Amazing Story of the Wizard of Oz|Home.” This was my mantra, my four-letter savior.
Shahenshah Hafeez Khan|Relations be it personal or with customers are very sensitive in nature, If you only remember people in time of your need, they will surely not return the favor, instead their favor will benefit someone who often keeps in touch without any visible benefits. The relationship will last longer if we start earning it & not take it for granted.
David Mamet|You see it everywhere and everyone seems to be doing it but you. You could have had it as well, and you know it, and that’s what bothers you. Your worst enemy is yourself, and sadly, you know that what you did wasn't worth what you lost.
Mitch Albom, The Five People You Meet in Heaven|My funeral," the Blue Man said. "Look at the mourners. Some did not even know me well, yet they came. Why? Did you ever wonder? Why people gather when others die? Why people feel they should?"It is because the human spirit knows, deep down, that all lives intersect. That death doesn't just take someone, it misses someone else, and in the small distance between being taken and being missed, lives are changed."You say you should have died instead of me. But during my time on earth, people died instead of me, too. It happens every day. When lightning strikes a minute after you are gone, or an airplane crashes that you might have been on. When your colleague falls ill and you do not. We think such things are random. But there is a balance to it all. One withers, another grows. Birth and death are part of a whole."It is why we are drawn to babies . . ." He turned to the mourners. "And to funerals.
Jennifer Wilson, New World: Rising|I know you’re scared. I’m scared too, all of the time. But I have been running for the last six years and I can’t run anymore. Our world is falling apart. We aren’t living, not really. We are just… surviving.
Andrew Marvell, To His Coy Mistress|Had we but world enough, and time
Andrea Hirataira|I wanted to climb to the summit of challenges, attack my way through hardships as solid as granite, tempt all sorts of peril, and break through mysteries with science. I longed to inhale all sorts of experience and then explore the labyrinthine ins and outs of life that in the end cannot be guessed. I yearned for possibilities that react with each other, like the collision of uranium molecules: binding, multiplying, bursting, and dispersing in unexpected directions. I wanted to go to faraway places and meet with endless varieties of foreign languages and peoples. I wished to rove, finding my direction through reading the stars of constellations. I wanted to cross fields and deserts, to be burned by the sun until I blistered, to be shook by the assaulting wind, and shrink from being gripped by cold. I wanted a life that was thrilling, filled with conquest. I wanted to live! To feel the essence of being!
Mark Zero, The French Art of Revenge|In French culture, the best way of buying time or getting off the hook entirely in a thorny personal situation is to claim that it’s complicated. The French did not invent love, but they did invent romance, so they’ve had more time than any other culture on earth to refine the nuances of its language.
Geraldine Brooks, The Secret Chord|All of us are creatures of a day; the rememberer and the remembered alike. All is ephemeral—both memory and the object of memory. The time is at hand when you will have forgotten everything; and the time is at hand when all will have forgotten you. Always reflect that soon you will be no one, and nowhere.
Maria Augusta von Trapp, The Story of the Trapp Family Singers|Our age has become so mechanical that this has also affected our recreation. People have gotten used to sitting down and watching a movie, a ball game, a television set. It may be good once in a while, but it certainly is not good all the time. Our own faculties, our imagination, our memory, the ability to do things with our mind and our hands–they need to be exercised. If we become too passive, we get dissatisfied.
Isaac Newton|My purpose is to help people look at themselves and begin to shift their concepts. Remember, we are not our country, our race, or religion. We are eternal spirits. Seeing ourselves as spiritual beings without label is a way to transform the world and reach a sacred place for all of humanity.
Kristi Ling, Operation Happiness: The 3-Step Plan to Creating a Life of Lasting Joy, Abundant Energy, and Radical Bliss|Caring for your body, mind, and spirit is your greatest and grandest responsibility. It's about listening to the needs of your soul and then honoring them.
Nikki Rowe|Maybe it's easier to conform, to stay in a job I hate to pay bills of the things I don't even enjoy and marry a man I'm not passionately in love with, whilst surrounded by those who have absolutely no life to their smile but I don't want easy. I never have. I want a life so fucking grande' I reach every little milestone in sweats or tears knowing I Followed what was true to my heart. I don't care if I walk alone for the rest of my days, if it means I get to stay true to myself.
Stephen Richards, Six Figure Success: Time To Think Big - You Can Do It|All your strength must come from within, because no external source can provide it.
bell hooks, The Will to Change: Men, Masculinity, and Love|No matter that information abounds that lets the public know that gay males come from two-parent homes and can be macho and women-hating, misguided assumptions about what makes a male gay still flourish. Every day boys who express feelings are psychologically terrorized, and in extreme cases brutally beaten, by parents who fear that a man of feeling must be homosexual. Gay men share with straight men the same notions about acceptable masculinity.
Elizabeth Berg, Home Safe|Anxiously attached Codependents demonstrate the ability to maximize the attention they get from their partner, regardless of whether it is positive or negative (i.e., "I'd rather be screamed at than ignored"). Manipulation is used to keep the inattentive or inconsistent partner involved by alternating dramatic angry demands with needy dependence. When the partner is preoccupied and not paying attention, the anxious Codependent explodes in angry demands and behaviors that cannot be ignored.
Alexander Schmemann|I think you are wrong, partner Elijah. My briefing on human characteristics here among the people of Earth includes the information that, unlike the men of the Outer Worlds, they are trained from birth to accept authority. Apparently this is the result of your way of living. One man, representing authority firmly enough, was quite sufficient, as I proved. Your own desire for a squad car was only an expression, really, of your almost instinctive wish for superior authority to take responsibility out of your hands. On my own world, I admit that what I did would have been most unjustified.
Budd Schulberg, What Makes Sammy Run?|We don’t really communicate […]. We talk all right, talk in that strange language we’ve evolved for the purposes of avoiding communication. That non-language we’ve created. Perhaps it’s a sign that civilisation is regressing. Something is anyway.
Michelle Obama|The arts are not just a nice thing to have or to do if there is free time or if one can afford it. Rather, paintings and poetry, music and fashion, design and dialogue, they all define who we are as a people and provide an account of our history for the next generation.
Stewart Lee|What's happened is somewhere, along the line, as a society, we confused the notion of 'home' with the possibility of 'an investment opportunity'. What kind of creature wants to live in an 'investment opportunity'? Only man.The fox has his den. The bee has his hive. The stoat, has, uh... his stoat-hole... but only man chooses to make his nest in an investment opportunity. Mmm, snuggled down in the lovely credit! All warm, in the mortgage payment, mmmmm...
Eden Ahbez|A good youth ought to have a fear of God, to be subject to his parents, to give honor to his elders, to preserve his purity; he ought not to despise humility, but should love forbearance and modesty. All these are an ornament to youthful years.
Michael Makai, Domination & Submission: The BDSM Relationship Handbook|My aim is to touch infinity, My desires are many, And i can not be contacted.
Khloe Kardashian|It took me a long time to be convinced that marriage was right for me because I've come from a long line of broken marriages. My parents divorced, and I had two broken marriages myself.
Sabaa Tahir, An Ember in the Ashes|No trouble ever got fixed late at night," he said. "Midnight is for regrets.
Belsebuub|We can't just restrict ourselves to what we know, because we are talking about the unknown.
J.R.R. Tolkien, The Children of Húrin|On their deathbed men will speak true, they say.
Betty Williams|When I received the news of the Nobel Peace Award, I could not believe it. I told my father, 'I think they have the wrong name, Dad. Please, can you talk to this man on the phone? I'm busy cooking!'
R. William Bennett, Jacob T. Marley|These souls were eternally disconnected, forever separated with a force that would not allow any interchange. They were like another race with no societal tie to each other, bound on their own miserable, independent journeys, alike only in the obvious countenance of pain.
Malcolm X, The Autobiography of Malcolm X|Human laws pattern divine laws, but divine laws use only originals.
Charles B. Rangel|I don't do sports, really.
Suzy Kassem, Rise Up and Salute the Sun: The Writings of Suzy Kassem|You are a valuable instrument in the orchestration of your own world, and the overall harmony of the universe. Always be in command of your music. Only you can control and shape its tone. If life throws you a few bad notes or vibrations, don't let them interrupt or alter your song.
Samantha Young, Castle Hill|I love you," I whispered hoarsely. "You're my favourite person." The tears blurred in my eyes again. "And if you ever tell anyone I cried during this moment I will withhold sex for a year.
Ella Leya, The Orphan Sky|Life is a desert of shifting sand dunes. Unpredictable. Erratic. Harmony changes into dissonance, the immediate outlives the profound, esoteric becomes cliched. And vice versa.
April Mae Monterrosa|Better to step out of your comfort zone, enjoy new experiences & not know what's coming your way, than stick to routines & be bored with the same end results.
John J. Geddes|...glass words for you, Beloved—rain beads from an abacus of pain...
Seun Ayilara|Ownership of words is the reason, only few of us truly keep and respect our words. If you won't keep yours, it's probably not yours.
Jorge Luis Borges, The Book of Imaginary Beings|We are ignorant of the meaning of the dragon in the same way that we are ignorant of the meaning of the universe; but there is something in the dragon’s image that fits man’s imagination, and this accounts for the dragon’s appearance in different places and periods.
Joanne Fedler|When teenagers aren’t turning like weathervanes in a high wind, they’re as stiff as Puritans.
Goitsemang Mvula|They're making me go to school," Pram said. "I don't think it's a very good idea. I've read about how cruel kids can be.""Are you afraid they'll be cruel, or that being around them for too long will make you cruel?" Felix said."Both, I suppose.
Stephen Colbert|God works in mysterious ways but at least he works, he's never on welfare in a mysterious way.
J.R.R. Tolkien|So now I just assume that it won't work, and that if it does work, I'll lose it anyway. This is meant to protect me, although it doesn't, because somehow the hope sneakily finds its way in. I'm never aware of the hope until it's gone, whooshed away like a rug pulled from under my feet, each time I hear another "I'm sorry.
Pearl Zhu, Thinkingaire: 100 Game Changing Digital Mindsets to Compete for the Future|Wisdom is the intelligent use of our knowledge, whereas sensibility is an intelligent use of our judgment.
Angie  Smith|For we know that our old self was crucified with him so the the body of sin might be brought to nothing, that we should no longer be enslaved to sin.
Archibald Marwizi, Making Success Deliberate|After you acquire knowledge and skill, aim to be a practitioner. Time for practice on the job or in life will still test your authenticity. Knowledge is one of the greatest sources of confidence, and you will need that confidence to do your work and demonstrate you know what you have been trained for.
Melissa de la Cruz, Blue Bloods|I don't suppose I can wear the flamingo tie," he said as he pulled on black socks. "It's a bit festive, given the occasion," I responded. "Can't wear it to the opera," said the Colonel, almost smiling. "Can't wear it to a funeral. Can't use it to hang myself. It's a bit useless, as ties go." I gave him a tie.
Robert A. Heinlein, By His Bootstraps|He was dead. However, his nose throbbed painfully, which he thought odd in the circumstances.
Linda Howard, Blood Born|Chloe put aside worries about her job, her life, and turned to face him. "Sex can't be the answer to everything," she said as she draped her arms around his strong neck.He bent his head to hers. "For now, it can," he said and kissed her.
Hermann Hesse, Narcissus and Goldmund|One thing, however, did become clear to him—why so many perfect works of art did not please him at all, why they were almost hateful and boring to him, in spite of a certain undeniable beauty. Workshops, churches, and palaces were full of these fatal works of art; he had even helped with a few himself. They were deeply disappointing because they aroused the desire for the highest and did not fulfill it. They lacked the most essential thing—mystery. That was what dreams and truly great works of art had in common: mystery.
David Mitchell, The Bone Clocks|...Power is lost or won, never created or destroyed. Power is a visitor to, not a possession of, those it empowers. The mad tend to crave it, many of the sane crave it, but the wise worry about its long-term effects. Power is crack cocaine for your ego and battery acid for your soul. Power’s comings and goings, from host to host, via war, marriage, ballet box, diktat, and accident of birth, are the plot of history. The empowered may serve justice, remodel the Earth, transform lush nations into smoking battlefields, and bring down skyscrapers, but power itself is amoral.” Immaculée Constantin now looks up at me. “Power will notice you. Power is watching you now. Carry on as you are, and power will favor you. But power will also laugh at you, mercilessly, as you lie dying in a private clinic, a few fleeting decades from now. Power mocks all its illustrious favorites as they lie dying…
William Outerson, Monster Mix|The plane banked, and he pressed his face against the cold window. The ocean tilted up to meet him, its dark surface studded with points of light that looked like constellations, fallen stars. The tourist sitting next to him asked him what they were. Nathan explained that the bright lights marked the boundaries of the ocean cemeteries. The lights that were fainter were memory buoys. They were the equivalent of tombstones on land: they marked the actual graves. While he was talking he noticed scratch-marks on the water, hundreds of white gashes, and suddenly the captain's voice, crackling over the intercom, interrupted him. The ships they could see on the right side of the aircraft were returning from a rehearsal for the service of remembrance that was held on the ocean every year. Towards the end of the week, in case they hadn't realised, a unique festival was due to take place in Moon Beach. It was known as the Day of the Dead......When he was young, it had been one of the days he most looked forward to. Yvonne would come and stay, and she'd always bring a fish with her, a huge fish freshly caught on the ocean, and she'd gut it on the kitchen table. Fish should be eaten, she'd said, because fish were the guardians of the soul, and she was so powerful in her belief that nobody dared to disagree. He remembered how the fish lay gaping on its bed of newspaper, the flesh dark-red and subtly ribbed where it was split in half, and Yvonne with her sleeves rolled back and her wrists dipped in blood that smelt of tin.It was a day that abounded in peculiar traditions. Pass any candy store in the city and there'd be marzipan skulls and sugar fish and little white chocolate bones for 5 cents each. Pass any bakery and you'd see cakes slathered in blue icing, cakes sprinkled with sea-salt.If you made a Day of the Dead cake at home you always hid a coin in it, and the person who found it was supposed to live forever. Once, when she was four, Georgia had swallowed the coin and almost choked. It was still one of her favourite stories about herself. In the afternoon, there'd be costume parties. You dressed up as Lazarus or Frankenstein, or you went as one of your dead relations. Or, if you couldn't think of anything else, you just wore something blue because that was the colour you went when you were buried at the bottom of the ocean. And everywhere there were bowls of candy and slices of special home-made Day of the Dead cake. Nobody's mother ever got it right. You always had to spit it out and shove it down the back of some chair. Later, when it grew dark, a fleet of ships would set sail for the ocean cemeteries, and the remembrance service would be held. Lying awake in his room, he'd imagine the boats rocking the the priest's voice pushed and pulled by the wind. And then, later still, after the boats had gone, the dead would rise from the ocean bed and walk on the water. They gathered the flowers that had been left as offerings, they blew the floating candles out. Smoke that smelt of churches poured from the wicks, drifted over the slowly heaving ocean, hid their feet. It was a night of strange occurrences. It was the night that everyone was Jesus......Thousands drove in for the celebrations. All Friday night the streets would be packed with people dressed head to toe in blue. Sometimes they painted their hands and faces too. Sometimes they dyed their hair. That was what you did in Moon Beach. Turned blue once a year. And then, sooner or later, you turned blue forever.
Marguerite Duras, The Lover|I feel a sadness I expected and which comes only from myself. I say I’ve always been sad. That I can see the same sadness in photos of myself when I was small. That today, recognizing it as the sadness I’ve always had, I could almost call it by my own name, it’s so like me.
Patricia Briggs, Masques|When I die of heart failure the next time you frighten me like that, you can put that on my gravestone—‘I didn’t mean to startle her.
Bill Gates|Sabotage did not involve loss of life, and it offered the best hope for future race relations. Bitterness would be kept to a minimum and, if the policy bore fruit, democratic government could become a reality.
Anup Joshi|Libertarian opponents of anarchy are attacking a straw man. Their arguments are usually utilitarian in nature and amount to "but anarchy won’t work" or "we need the (things provided by the) state." But these attacks are confused at best, if not disingenuous. To be an anarchist does not mean you think anarchy will "work" (whatever that means); nor that you predict it will or "can" be achieved. It is possible to be a pessimistic anarchist, after all. To be an anarchist only means that you believe that aggression is not justified, and that states necessarily employ aggression. And, therefore, that states, and the aggression they necessarily employ, are unjustified. It’s quite simple, really. It’s an ethical view, so no surprise it confuses utilitarians.Accordingly, anyone who is not an anarchist must maintain either: (a) aggression is justified; or (b) states (in particular, minimal states) do not necessarily employ aggression.
Hope Edelman|Writers seek to create order out of the chaos of everyday life, and to extract meaning from both the tragic and the mundane
Jim Butcher, Side Jobs: Stories from the Dresden Files|Girls are caterpillars while they live in the world, to be finally butterflies when the summer comes; but in the meantime there are grubs and larvae, don't you see - each with their peculiar propensities, necessities and structure.
Cassandra Clare, The Last Stand of the New York Institute|I have been a friend to Shadowhunters. I know many of your families, going back for hundreds of years.""There is nothing we can do to correct the questionable judgments of our ancestors," Lucian said.Magnus hated this guy.
Jim Butcher, Changes|I was angry with my friend:I told my wrath, my wrath did end.I was angry with my foe:I told it not, my wrath did grow.
